t=,3600, id=,B00, PRDE,actvstrat=,0.006741, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.008876, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.370048, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.017115, actvprof=,0.024444, id=,B04, PRDE,actvstrat=,-0.497061, actvprof=,0.123332, id=,B05, PRDE,actvstrat=,-0.005054, actvprof=,0.358329, id=,B06, PRDE,actvstrat=,0.253218, actvprof=,1.035821, id=,B07, PRDE,actvstrat=,0.037795, actvprof=,1.621648, id=,B08, PRDE,actvstrat=,0.640794, actvprof=,3.410794, id=,B09, PRDE,actvstrat=,-0.219096, actvprof=,3.697457, id=,B10, PRDE,actvstrat=,0.277475, actvprof=,5.659379, id=,B11, PRDE,actvstrat=,-0.658682, actvprof=,6.962142, id=,S00, PRDE,actvstrat=,-0.243111, actvprof=,3.290795, id=,S01, PRDE,actvstrat=,0.853719, actvprof=,7.883242, id=,S02, PRDE,actvstrat=,0.488090, actvprof=,4.359950, id=,S03, PRDE,actvstrat=,0.980433, actvprof=,4.231618, id=,S04, PRDE,actvstrat=,0.291668, actvprof=,1.388039, id=,S05, PRDE,actvstrat=,0.804638, actvprof=,2.146364, id=,S06, PRDE,actvstrat=,-0.561562, actvprof=,0.068888, id=,S07, PRDE,actvstrat=,-0.810030, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,-0.143012, actvprof=,0.004444, id=,S09, PRDE,actvstrat=,0.120446, actvprof=,0.004722, id=,S10, PRDE,actvstrat=,0.056792, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.661165, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.962142, best_B_strat=,-0.658682, best_S_id=,S01, best_S_prof=,7.883242, best_S_strat=,0.853719, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.163534, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.925085, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.342408, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.216059, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.774084, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.470143, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.432873, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.559374, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.302223, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.465430, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.894333, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.923361, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.600890, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.711989, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.431432, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.807737, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.420636, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.660699, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.422675, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.892542, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.271570, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.405510, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.461905, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.260413, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.163534, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.600890, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.163534, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.925085, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.342408, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,0.216059, actvprof=,0.008611, id=,B04, PRDE,actvstrat=,0.774084, actvprof=,0.047222, id=,B05, PRDE,actvstrat=,-0.470143, actvprof=,0.045277, id=,B06, PRDE,actvstrat=,0.432873, actvprof=,0.541105, id=,B07, PRDE,actvstrat=,-0.559374, actvprof=,0.612215, id=,B08, PRDE,actvstrat=,0.302223, actvprof=,2.124698, id=,B09, PRDE,actvstrat=,-0.465430, actvprof=,2.268585, id=,B10, PRDE,actvstrat=,-0.894333, actvprof=,3.548848, id=,B11, PRDE,actvstrat=,-0.923361, actvprof=,4.915499, id=,S00, PRDE,actvstrat=,-0.600890, actvprof=,2.023588, id=,S01, PRDE,actvstrat=,0.711989, actvprof=,6.658812, id=,S02, PRDE,actvstrat=,0.431432, actvprof=,3.440516, id=,S03, PRDE,actvstrat=,-0.807737, actvprof=,0.086110, id=,S04, PRDE,actvstrat=,0.420636, actvprof=,0.901101, id=,S05, PRDE,actvstrat=,0.660699, actvprof=,0.657770, id=,S06, PRDE,actvstrat=,0.422675, actvprof=,0.092499, id=,S07, PRDE,actvstrat=,0.892542, actvprof=,0.088888, id=,S08, PRDE,actvstrat=,-0.271570, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.405510, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.461905, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.260413, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.915499, best_B_strat=,-0.923361, best_S_id=,S01, best_S_prof=,6.658812, best_S_strat=,0.711989, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.163534, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.681280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.342408, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.017115, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.697728, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.259718, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.432873, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.695553, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.914377, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.968222, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.745946, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.909274, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.600890, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.358756, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.273710, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.332515, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.477975, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.659903, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.600978, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.123450, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.970268, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.734773, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.296665, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.852541, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.163534, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.600890, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.163534, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.681280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.342408, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.017115, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.697728, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,0.259718, actvprof=,0.010000, id=,B06, PRDE,actvstrat=,0.432873, actvprof=,0.177778, id=,B07, PRDE,actvstrat=,0.695553, actvprof=,0.753333, id=,B08, PRDE,actvstrat=,-0.914377, actvprof=,0.785000, id=,B09, PRDE,actvstrat=,-0.968222, actvprof=,2.194444, id=,B10, PRDE,actvstrat=,-0.745946, actvprof=,2.265833, id=,B11, PRDE,actvstrat=,-0.909274, actvprof=,2.656944, id=,S00, PRDE,actvstrat=,-0.600890, actvprof=,2.279167, id=,S01, PRDE,actvstrat=,-0.358756, actvprof=,1.476944, id=,S02, PRDE,actvstrat=,-0.273710, actvprof=,1.079722, id=,S03, PRDE,actvstrat=,0.332515, actvprof=,2.251667, id=,S04, PRDE,actvstrat=,0.477975, actvprof=,1.489167, id=,S05, PRDE,actvstrat=,0.659903, actvprof=,0.811944, id=,S06, PRDE,actvstrat=,0.600978, actvprof=,0.135556, id=,S07, PRDE,actvstrat=,0.123450, actvprof=,0.011944, id=,S08, PRDE,actvstrat=,-0.970268, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.734773, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.296665, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.852541, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.656944, best_B_strat=,-0.909274, best_S_id=,S00, best_S_prof=,2.279167, best_S_strat=,-0.600890, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.163534, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.681280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.342408, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.017115, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.697728, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.259718, actvprof=,0.014167, id=,B06, PRDE,actvstrat=,0.432873, actvprof=,0.163195, id=,B07, PRDE,actvstrat=,0.695553, actvprof=,0.848755, id=,B08, PRDE,actvstrat=,-0.914377, actvprof=,0.718337, id=,B09, PRDE,actvstrat=,-0.968222, actvprof=,2.227791, id=,B10, PRDE,actvstrat=,-0.745946, actvprof=,2.210152, id=,B11, PRDE,actvstrat=,-0.909274, actvprof=,2.746405, id=,S00, PRDE,actvstrat=,-0.600890, actvprof=,2.202096, id=,S01, PRDE,actvstrat=,-0.358756, actvprof=,1.510009, id=,S02, PRDE,actvstrat=,-0.273710, actvprof=,1.106534, id=,S03, PRDE,actvstrat=,0.332515, actvprof=,2.216263, id=,S04, PRDE,actvstrat=,0.477975, actvprof=,1.372230, id=,S05, PRDE,actvstrat=,0.659903, actvprof=,0.809588, id=,S06, PRDE,actvstrat=,0.600978, actvprof=,0.136112, id=,S07, PRDE,actvstrat=,0.123450, actvprof=,0.009167, id=,S08, PRDE,actvstrat=,-0.970268, actvprof=,0.001806, id=,S09, PRDE,actvstrat=,-0.734773, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.296665, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.852541, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.746405, best_B_strat=,-0.909274, best_S_id=,S03, best_S_prof=,2.216263, best_S_strat=,0.332515, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.032604, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.848061, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.254282, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.128998, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.366507, actvprof=,0.054167, id=,B07, PRDE,actvstrat=,0.856648, actvprof=,0.792787, id=,B08, PRDE,actvstrat=,0.781580, actvprof=,1.441406, id=,B09, PRDE,actvstrat=,-0.086445, actvprof=,1.365294, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,3.915045, id=,B11, PRDE,actvstrat=,-0.147539, actvprof=,3.696987, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,8.193984, id=,S01, PRDE,actvstrat=,-0.889166, actvprof=,0.498895, id=,S02, PRDE,actvstrat=,-0.679408, actvprof=,1.489462, id=,S03, PRDE,actvstrat=,0.091245, actvprof=,2.665586, id=,S04, PRDE,actvstrat=,-0.008136, actvprof=,1.423905, id=,S05, PRDE,actvstrat=,-0.041819, actvprof=,0.433061, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.586129, id=,S07, PRDE,actvstrat=,0.721705, actvprof=,0.253614, id=,S08, PRDE,actvstrat=,-0.997182, actvprof=,0.047223, id=,S09, PRDE,actvstrat=,-0.345672, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,0.712027, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.155117, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.915045, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.193984, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.407248, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.925085, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.284086, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.848061, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.289143, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.782099, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.009727, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.097965, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.781580, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.465430, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.516416, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.770025, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.741892, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.711989, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.497072, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.091245, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.045398, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.041819, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.361637, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.133942, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.120446, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.006686, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.150135, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.407248, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.741892, 
t=,32400, id=,B00, PRDE,actvstrat=,0.407248, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.925085, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.284086, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.848061, actvprof=,0.018056, id=,B04, PRDE,actvstrat=,-0.289143, actvprof=,0.012500, id=,B05, PRDE,actvstrat=,0.782099, actvprof=,0.362504, id=,B06, PRDE,actvstrat=,0.009727, actvprof=,0.357226, id=,B07, PRDE,actvstrat=,0.097965, actvprof=,1.037512, id=,B08, PRDE,actvstrat=,0.781580, actvprof=,2.766143, id=,B09, PRDE,actvstrat=,-0.465430, actvprof=,2.289193, id=,B10, PRDE,actvstrat=,-0.516416, actvprof=,3.676154, id=,B11, PRDE,actvstrat=,-0.770025, actvprof=,5.207005, id=,S00, PRDE,actvstrat=,-0.741892, actvprof=,1.857521, id=,S01, PRDE,actvstrat=,0.711989, actvprof=,7.419808, id=,S02, PRDE,actvstrat=,0.497072, actvprof=,4.387829, id=,S03, PRDE,actvstrat=,0.091245, actvprof=,1.690297, id=,S04, PRDE,actvstrat=,-0.045398, actvprof=,0.610840, id=,S05, PRDE,actvstrat=,-0.041819, actvprof=,0.330559, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.098902, id=,S07, PRDE,actvstrat=,-0.361637, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,-0.133942, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.120446, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.006686, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.150135, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.207005, best_B_strat=,-0.770025, best_S_id=,S01, best_S_prof=,7.419808, best_S_strat=,0.711989, 
t=,36000, id=,B00, PRDE,actvstrat=,0.407248, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.925085, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.284086, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.848061, actvprof=,0.014306, id=,B04, PRDE,actvstrat=,-0.289143, actvprof=,0.013611, id=,B05, PRDE,actvstrat=,0.782099, actvprof=,0.332363, id=,B06, PRDE,actvstrat=,0.009727, actvprof=,0.368197, id=,B07, PRDE,actvstrat=,0.097965, actvprof=,0.971256, id=,B08, PRDE,actvstrat=,0.781580, actvprof=,2.701405, id=,B09, PRDE,actvstrat=,-0.465430, actvprof=,2.276263, id=,B10, PRDE,actvstrat=,-0.516416, actvprof=,3.671827, id=,B11, PRDE,actvstrat=,-0.770025, actvprof=,5.081002, id=,S00, PRDE,actvstrat=,-0.741892, actvprof=,1.535842, id=,S01, PRDE,actvstrat=,0.711989, actvprof=,7.560322, id=,S02, PRDE,actvstrat=,0.497072, actvprof=,4.483498, id=,S03, PRDE,actvstrat=,0.091245, actvprof=,1.812094, id=,S04, PRDE,actvstrat=,-0.045398, actvprof=,0.607642, id=,S05, PRDE,actvstrat=,-0.041819, actvprof=,0.276668, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.066395, id=,S07, PRDE,actvstrat=,-0.361637, actvprof=,0.002917, id=,S08, PRDE,actvstrat=,-0.133942, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.120446, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,0.006686, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.150135, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.081002, best_B_strat=,-0.770025, best_S_id=,S01, best_S_prof=,7.560322, best_S_strat=,0.711989, 
t=,39600, id=,B00, PRDE,actvstrat=,0.481275, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.730898, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.044890, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.007500, id=,B05, PRDE,actvstrat=,0.940319, actvprof=,0.143613, id=,B06, PRDE,actvstrat=,-0.823480, actvprof=,0.110001, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.289726, id=,B08, PRDE,actvstrat=,-0.840475, actvprof=,0.806954, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.594185, id=,B10, PRDE,actvstrat=,0.494440, actvprof=,3.123647, id=,B11, PRDE,actvstrat=,0.474947, actvprof=,4.561997, id=,S00, PRDE,actvstrat=,-0.888021, actvprof=,1.207514, id=,S01, PRDE,actvstrat=,0.384996, actvprof=,8.465931, id=,S02, PRDE,actvstrat=,0.473442, actvprof=,6.706189, id=,S03, PRDE,actvstrat=,0.395091, actvprof=,4.703388, id=,S04, PRDE,actvstrat=,-0.045398, actvprof=,1.712798, id=,S05, PRDE,actvstrat=,-0.041819, actvprof=,0.995289, id=,S06, PRDE,actvstrat=,0.561676, actvprof=,1.358905, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,1.110013, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.452505, id=,S09, PRDE,actvstrat=,0.069471, actvprof=,0.013056, id=,S10, PRDE,actvstrat=,-0.260673, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.197687, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.561997, best_B_strat=,0.474947, best_S_id=,S01, best_S_prof=,8.465931, best_S_strat=,0.384996, 
