t=,0, id=,B00, PRDE,actvstrat=,-0.093215, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.043133, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.971199, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.917857, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.194657, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.236752, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.033011, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.098511, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.098252, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.031559, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.541543, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.942849, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.586527, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.547867, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.315864, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.326989, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.177925, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.310959, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.985706, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.365867, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.493296, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.904539, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.092337, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.006777, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.093215, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.586527, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.093215, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.043133, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.971199, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,0.917857, actvprof=,0.020833, id=,B04, PRDE,actvstrat=,0.194657, actvprof=,0.015278, id=,B05, PRDE,actvstrat=,-0.236752, actvprof=,0.088888, id=,B06, PRDE,actvstrat=,0.033011, actvprof=,0.359996, id=,B07, PRDE,actvstrat=,-0.098511, actvprof=,0.578882, id=,B08, PRDE,actvstrat=,-0.098252, actvprof=,1.495260, id=,B09, PRDE,actvstrat=,0.031559, actvprof=,2.664414, id=,B10, PRDE,actvstrat=,-0.541543, actvprof=,3.235240, id=,B11, PRDE,actvstrat=,-0.942849, actvprof=,6.018541, id=,S00, PRDE,actvstrat=,0.586527, actvprof=,9.039618, id=,S01, PRDE,actvstrat=,-0.547867, actvprof=,2.510249, id=,S02, PRDE,actvstrat=,0.315864, actvprof=,4.394671, id=,S03, PRDE,actvstrat=,-0.326989, actvprof=,1.138042, id=,S04, PRDE,actvstrat=,-0.177925, actvprof=,0.611104, id=,S05, PRDE,actvstrat=,-0.310959, actvprof=,0.222220, id=,S06, PRDE,actvstrat=,-0.985706, actvprof=,0.333052, id=,S07, PRDE,actvstrat=,0.365867, actvprof=,0.094721, id=,S08, PRDE,actvstrat=,-0.493296, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.904539, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.092337, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.006777, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.018541, best_B_strat=,-0.942849, best_S_id=,S00, best_S_prof=,9.039618, best_S_strat=,0.586527, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.719094, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.343543, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.807110, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.348295, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.038230, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.831406, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.333392, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.821783, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.824137, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.055338, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.219943, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.901978, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.576681, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.311504, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.277947, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.946911, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.490961, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.312200, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.457776, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.467117, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.720876, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.086599, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.299888, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.541613, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.719094, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.576681, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.719094, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.343543, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.807110, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.348295, actvprof=,0.012500, id=,B04, PRDE,actvstrat=,-0.038230, actvprof=,0.101942, id=,B05, PRDE,actvstrat=,-0.831406, actvprof=,0.401380, id=,B06, PRDE,actvstrat=,-0.333392, actvprof=,0.887757, id=,B07, PRDE,actvstrat=,-0.821783, actvprof=,1.604407, id=,B08, PRDE,actvstrat=,-0.824137, actvprof=,2.632439, id=,B09, PRDE,actvstrat=,0.055338, actvprof=,4.542950, id=,B10, PRDE,actvstrat=,0.219943, actvprof=,6.310132, id=,B11, PRDE,actvstrat=,-0.901978, actvprof=,7.702322, id=,S00, PRDE,actvstrat=,0.576681, actvprof=,6.982616, id=,S01, PRDE,actvstrat=,0.311504, actvprof=,4.040462, id=,S02, PRDE,actvstrat=,-0.277947, actvprof=,1.091364, id=,S03, PRDE,actvstrat=,0.946911, actvprof=,3.342978, id=,S04, PRDE,actvstrat=,0.490961, actvprof=,1.294692, id=,S05, PRDE,actvstrat=,0.312200, actvprof=,0.561931, id=,S06, PRDE,actvstrat=,0.457776, actvprof=,0.348325, id=,S07, PRDE,actvstrat=,0.467117, actvprof=,0.106386, id=,S08, PRDE,actvstrat=,0.720876, actvprof=,0.060554, id=,S09, PRDE,actvstrat=,0.086599, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,-0.299888, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.541613, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.702322, best_B_strat=,-0.901978, best_S_id=,S00, best_S_prof=,6.982616, best_S_strat=,0.576681, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.359009, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.742185, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.998860, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.699625, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.867049, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.961458, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.980950, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.513748, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.824137, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.674329, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.219943, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.939484, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.653833, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.199376, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.427910, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.634085, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.490961, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.126351, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.215229, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.304554, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.715892, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.687436, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.439299, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.541613, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.359009, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.653833, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.359009, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.742185, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.998860, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.699625, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.867049, actvprof=,0.031667, id=,B05, PRDE,actvstrat=,-0.961458, actvprof=,0.219167, id=,B06, PRDE,actvstrat=,0.980950, actvprof=,0.348056, id=,B07, PRDE,actvstrat=,0.513748, actvprof=,0.933889, id=,B08, PRDE,actvstrat=,-0.824137, actvprof=,1.207778, id=,B09, PRDE,actvstrat=,0.674329, actvprof=,3.070833, id=,B10, PRDE,actvstrat=,0.219943, actvprof=,3.363333, id=,B11, PRDE,actvstrat=,-0.939484, actvprof=,5.328056, id=,S00, PRDE,actvstrat=,0.653833, actvprof=,11.390556, id=,S01, PRDE,actvstrat=,0.199376, actvprof=,6.984167, id=,S02, PRDE,actvstrat=,-0.427910, actvprof=,2.056389, id=,S03, PRDE,actvstrat=,0.634085, actvprof=,4.794722, id=,S04, PRDE,actvstrat=,0.490961, actvprof=,2.946389, id=,S05, PRDE,actvstrat=,0.126351, actvprof=,1.168889, id=,S06, PRDE,actvstrat=,-0.215229, actvprof=,0.126667, id=,S07, PRDE,actvstrat=,0.304554, actvprof=,0.155833, id=,S08, PRDE,actvstrat=,-0.715892, actvprof=,0.003056, id=,S09, PRDE,actvstrat=,0.687436, actvprof=,0.010000, id=,S10, PRDE,actvstrat=,-0.439299, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.541613, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.328056, best_B_strat=,-0.939484, best_S_id=,S00, best_S_prof=,11.390556, best_S_strat=,0.653833, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.359009, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.742185, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.998860, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.699625, actvprof=,0.001528, id=,B04, PRDE,actvstrat=,-0.867049, actvprof=,0.030000, id=,B05, PRDE,actvstrat=,-0.961458, actvprof=,0.192779, id=,B06, PRDE,actvstrat=,0.980950, actvprof=,0.316252, id=,B07, PRDE,actvstrat=,0.513748, actvprof=,0.835144, id=,B08, PRDE,actvstrat=,-0.824137, actvprof=,1.150701, id=,B09, PRDE,actvstrat=,0.674329, actvprof=,3.038351, id=,B10, PRDE,actvstrat=,0.219943, actvprof=,3.368631, id=,B11, PRDE,actvstrat=,-0.939484, actvprof=,5.295031, id=,S00, PRDE,actvstrat=,0.653833, actvprof=,11.105064, id=,S01, PRDE,actvstrat=,0.199376, actvprof=,6.781845, id=,S02, PRDE,actvstrat=,-0.427910, actvprof=,2.153207, id=,S03, PRDE,actvstrat=,0.634085, actvprof=,4.981279, id=,S04, PRDE,actvstrat=,0.490961, actvprof=,2.983073, id=,S05, PRDE,actvstrat=,0.126351, actvprof=,1.110562, id=,S06, PRDE,actvstrat=,-0.215229, actvprof=,0.140279, id=,S07, PRDE,actvstrat=,0.304554, actvprof=,0.181668, id=,S08, PRDE,actvstrat=,-0.715892, actvprof=,0.002917, id=,S09, PRDE,actvstrat=,0.687436, actvprof=,0.013333, id=,S10, PRDE,actvstrat=,-0.439299, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.541613, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.295031, best_B_strat=,-0.939484, best_S_id=,S00, best_S_prof=,11.105064, best_S_strat=,0.653833, 
t=,25200, id=,B00, PRDE,actvstrat=,0.388776, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.565073, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.341602, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,0.447746, actvprof=,0.050835, id=,B05, PRDE,actvstrat=,0.119825, actvprof=,0.130003, id=,B06, PRDE,actvstrat=,0.355449, actvprof=,0.414176, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.758096, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.638950, id=,B09, PRDE,actvstrat=,-0.160031, actvprof=,2.603671, id=,B10, PRDE,actvstrat=,0.441233, actvprof=,6.044584, id=,B11, PRDE,actvstrat=,0.532164, actvprof=,7.852404, id=,S00, PRDE,actvstrat=,0.479121, actvprof=,8.298248, id=,S01, PRDE,actvstrat=,-0.877099, actvprof=,0.567513, id=,S02, PRDE,actvstrat=,0.430992, actvprof=,4.000648, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.185676, id=,S04, PRDE,actvstrat=,0.442812, actvprof=,1.809209, id=,S05, PRDE,actvstrat=,-0.204619, actvprof=,0.247228, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.826130, id=,S07, PRDE,actvstrat=,0.265607, actvprof=,0.070279, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.159448, id=,S09, PRDE,actvstrat=,-0.682679, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.140563, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.190034, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.852404, best_B_strat=,0.532164, best_S_id=,S00, best_S_prof=,8.298248, best_S_strat=,0.479121, 
t=,28800, id=,B00, PRDE,actvstrat=,0.388776, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.565073, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.341602, actvprof=,0.004861, id=,B04, PRDE,actvstrat=,0.447746, actvprof=,0.054862, id=,B05, PRDE,actvstrat=,0.119825, actvprof=,0.126529, id=,B06, PRDE,actvstrat=,0.355449, actvprof=,0.407505, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.777659, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.635586, id=,B09, PRDE,actvstrat=,-0.160031, actvprof=,2.649753, id=,B10, PRDE,actvstrat=,0.441233, actvprof=,5.926319, id=,B11, PRDE,actvstrat=,0.532164, actvprof=,7.995648, id=,S00, PRDE,actvstrat=,0.479121, actvprof=,8.244818, id=,S01, PRDE,actvstrat=,-0.877099, actvprof=,0.663897, id=,S02, PRDE,actvstrat=,0.430992, actvprof=,4.135187, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.316589, id=,S04, PRDE,actvstrat=,0.442812, actvprof=,1.717242, id=,S05, PRDE,actvstrat=,-0.204619, actvprof=,0.218753, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.810843, id=,S07, PRDE,actvstrat=,0.265607, actvprof=,0.067223, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.160696, id=,S09, PRDE,actvstrat=,-0.682679, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.140563, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.190034, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.995648, best_B_strat=,0.532164, best_S_id=,S00, best_S_prof=,8.244818, best_S_strat=,0.479121, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.719094, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.640341, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.292453, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.507148, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.388705, actvprof=,0.092503, id=,B05, PRDE,actvstrat=,-0.831406, actvprof=,0.244731, id=,B06, PRDE,actvstrat=,0.400072, actvprof=,0.925032, id=,B07, PRDE,actvstrat=,0.732443, actvprof=,2.185909, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.284871, id=,B09, PRDE,actvstrat=,0.611928, actvprof=,4.611549, id=,B10, PRDE,actvstrat=,-0.316787, actvprof=,4.887114, id=,B11, PRDE,actvstrat=,-0.901978, actvprof=,6.376333, id=,S00, PRDE,actvstrat=,0.604675, actvprof=,8.538908, id=,S01, PRDE,actvstrat=,0.707083, actvprof=,7.386645, id=,S02, PRDE,actvstrat=,-0.146625, actvprof=,1.664224, id=,S03, PRDE,actvstrat=,0.946911, actvprof=,4.510990, id=,S04, PRDE,actvstrat=,-0.793767, actvprof=,0.144449, id=,S05, PRDE,actvstrat=,0.096416, actvprof=,0.475850, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.893087, id=,S07, PRDE,actvstrat=,0.467117, actvprof=,0.082225, id=,S08, PRDE,actvstrat=,-0.719030, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,0.687436, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,-0.299888, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.385071, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.376333, best_B_strat=,-0.901978, best_S_id=,S00, best_S_prof=,8.538908, best_S_strat=,0.604675, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.719094, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.640341, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.292453, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.507148, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.388705, actvprof=,0.096807, id=,B05, PRDE,actvstrat=,-0.831406, actvprof=,0.284448, id=,B06, PRDE,actvstrat=,0.400072, actvprof=,0.943900, id=,B07, PRDE,actvstrat=,0.732443, actvprof=,2.189331, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.217688, id=,B09, PRDE,actvstrat=,0.611928, actvprof=,4.608664, id=,B10, PRDE,actvstrat=,-0.316787, actvprof=,4.786167, id=,B11, PRDE,actvstrat=,-0.901978, actvprof=,6.248683, id=,S00, PRDE,actvstrat=,0.604675, actvprof=,8.683295, id=,S01, PRDE,actvstrat=,0.707083, actvprof=,7.262584, id=,S02, PRDE,actvstrat=,-0.146625, actvprof=,1.630297, id=,S03, PRDE,actvstrat=,0.946911, actvprof=,4.559358, id=,S04, PRDE,actvstrat=,-0.793767, actvprof=,0.126390, id=,S05, PRDE,actvstrat=,0.096416, actvprof=,0.508478, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.866677, id=,S07, PRDE,actvstrat=,0.467117, actvprof=,0.076112, id=,S08, PRDE,actvstrat=,-0.719030, actvprof=,0.000694, id=,S09, PRDE,actvstrat=,0.687436, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,-0.299888, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.385071, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.248683, best_B_strat=,-0.901978, best_S_id=,S00, best_S_prof=,8.683295, best_S_strat=,0.604675, 
