t=,3600, id=,B00, PRDE,actvstrat=,0.305440, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.148320, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.738214, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.482227, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.475511, actvprof=,0.027777, id=,B05, PRDE,actvstrat=,0.675319, actvprof=,0.221664, id=,B06, PRDE,actvstrat=,-0.640753, actvprof=,0.185553, id=,B07, PRDE,actvstrat=,0.475916, actvprof=,1.080543, id=,B08, PRDE,actvstrat=,0.744958, actvprof=,2.298585, id=,B09, PRDE,actvstrat=,-0.790611, actvprof=,2.362473, id=,B10, PRDE,actvstrat=,0.678545, actvprof=,4.492726, id=,B11, PRDE,actvstrat=,-0.156871, actvprof=,4.816611, id=,S00, PRDE,actvstrat=,-0.203515, actvprof=,7.498524, id=,S01, PRDE,actvstrat=,0.374352, actvprof=,8.267404, id=,S02, PRDE,actvstrat=,-0.441023, actvprof=,3.606347, id=,S03, PRDE,actvstrat=,0.022585, actvprof=,3.452182, id=,S04, PRDE,actvstrat=,0.277791, actvprof=,2.834412, id=,S05, PRDE,actvstrat=,-0.441861, actvprof=,0.608049, id=,S06, PRDE,actvstrat=,-0.910459, actvprof=,0.410829, id=,S07, PRDE,actvstrat=,0.434495, actvprof=,0.503050, id=,S08, PRDE,actvstrat=,-0.728722, actvprof=,0.023889, id=,S09, PRDE,actvstrat=,-0.162106, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,-0.599969, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.478252, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.816611, best_B_strat=,-0.156871, best_S_id=,S01, best_S_prof=,8.267404, best_S_strat=,0.374352, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.874829, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.130053, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.288378, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.973179, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.646985, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.387861, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.158667, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.059043, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.509013, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.039071, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.303107, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.733665, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.814192, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.479574, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.929168, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.636533, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.945491, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.658063, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.434422, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.686144, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.381452, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.288044, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.679555, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.162555, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.874829, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.814192, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.874829, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.130053, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.288378, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.973179, actvprof=,0.083331, id=,B04, PRDE,actvstrat=,-0.646985, actvprof=,0.049721, id=,B05, PRDE,actvstrat=,0.387861, actvprof=,0.616375, id=,B06, PRDE,actvstrat=,0.158667, actvprof=,1.146640, id=,B07, PRDE,actvstrat=,-0.059043, actvprof=,1.674406, id=,B08, PRDE,actvstrat=,-0.509013, actvprof=,2.802435, id=,B09, PRDE,actvstrat=,0.039071, actvprof=,4.275179, id=,B10, PRDE,actvstrat=,-0.303107, actvprof=,5.088493, id=,B11, PRDE,actvstrat=,-0.733665, actvprof=,7.570380, id=,S00, PRDE,actvstrat=,-0.814192, actvprof=,2.510497, id=,S01, PRDE,actvstrat=,0.479574, actvprof=,6.014583, id=,S02, PRDE,actvstrat=,0.929168, actvprof=,5.126548, id=,S03, PRDE,actvstrat=,-0.636533, actvprof=,0.721928, id=,S04, PRDE,actvstrat=,0.945491, actvprof=,2.433277, id=,S05, PRDE,actvstrat=,0.658063, actvprof=,1.122196, id=,S06, PRDE,actvstrat=,-0.434422, actvprof=,0.027499, id=,S07, PRDE,actvstrat=,0.686144, actvprof=,0.149163, id=,S08, PRDE,actvstrat=,0.381452, actvprof=,0.018055, id=,S09, PRDE,actvstrat=,0.288044, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.679555, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.162555, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.570380, best_B_strat=,-0.733665, best_S_id=,S01, best_S_prof=,6.014583, best_S_strat=,0.479574, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.874829, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.851210, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.206862, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.973179, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.972598, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.590984, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.252311, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.257890, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.597921, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.039071, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.756156, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.626243, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.679797, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.334987, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.637543, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.534885, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.759216, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.005126, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.910459, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.283733, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.372203, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.300485, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.679555, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.213208, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.874829, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.679797, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.874829, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.851210, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.206862, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.973179, actvprof=,0.024444, id=,B04, PRDE,actvstrat=,0.972598, actvprof=,0.118610, id=,B05, PRDE,actvstrat=,0.590984, actvprof=,0.309441, id=,B06, PRDE,actvstrat=,-0.252311, actvprof=,0.311941, id=,B07, PRDE,actvstrat=,-0.257890, actvprof=,0.890823, id=,B08, PRDE,actvstrat=,0.597921, actvprof=,2.966077, id=,B09, PRDE,actvstrat=,0.039071, actvprof=,3.043576, id=,B10, PRDE,actvstrat=,0.756156, actvprof=,5.341883, id=,B11, PRDE,actvstrat=,-0.626243, actvprof=,5.944098, id=,S00, PRDE,actvstrat=,0.679797, actvprof=,10.363213, id=,S01, PRDE,actvstrat=,-0.334987, actvprof=,4.001620, id=,S02, PRDE,actvstrat=,0.637543, actvprof=,6.306871, id=,S03, PRDE,actvstrat=,-0.534885, actvprof=,1.735535, id=,S04, PRDE,actvstrat=,0.759216, actvprof=,3.795234, id=,S05, PRDE,actvstrat=,0.005126, actvprof=,1.127765, id=,S06, PRDE,actvstrat=,-0.910459, actvprof=,0.540272, id=,S07, PRDE,actvstrat=,0.283733, actvprof=,0.284719, id=,S08, PRDE,actvstrat=,0.372203, actvprof=,0.120554, id=,S09, PRDE,actvstrat=,0.300485, actvprof=,0.007500, id=,S10, PRDE,actvstrat=,0.679555, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.213208, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.944098, best_B_strat=,-0.626243, best_S_id=,S00, best_S_prof=,10.363213, best_S_strat=,0.679797, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.874829, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.851210, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.206862, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.973179, actvprof=,0.023333, id=,B04, PRDE,actvstrat=,0.972598, actvprof=,0.117917, id=,B05, PRDE,actvstrat=,0.590984, actvprof=,0.313474, id=,B06, PRDE,actvstrat=,-0.252311, actvprof=,0.309168, id=,B07, PRDE,actvstrat=,-0.257890, actvprof=,0.886255, id=,B08, PRDE,actvstrat=,0.597921, actvprof=,2.830989, id=,B09, PRDE,actvstrat=,0.039071, actvprof=,3.157379, id=,B10, PRDE,actvstrat=,0.756156, actvprof=,5.264892, id=,B11, PRDE,actvstrat=,-0.626243, actvprof=,5.981562, id=,S00, PRDE,actvstrat=,0.679797, actvprof=,10.196587, id=,S01, PRDE,actvstrat=,-0.334987, actvprof=,4.173774, id=,S02, PRDE,actvstrat=,0.637543, actvprof=,6.205175, id=,S03, PRDE,actvstrat=,-0.534885, actvprof=,1.725566, id=,S04, PRDE,actvstrat=,0.759216, actvprof=,3.752661, id=,S05, PRDE,actvstrat=,0.005126, actvprof=,1.177229, id=,S06, PRDE,actvstrat=,-0.910459, actvprof=,0.509447, id=,S07, PRDE,actvstrat=,0.283733, actvprof=,0.312918, id=,S08, PRDE,actvstrat=,0.372203, actvprof=,0.102501, id=,S09, PRDE,actvstrat=,0.300485, actvprof=,0.009722, id=,S10, PRDE,actvstrat=,0.679555, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.213208, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.981562, best_B_strat=,-0.626243, best_S_id=,S00, best_S_prof=,10.196587, best_S_strat=,0.679797, 
t=,25200, id=,B00, PRDE,actvstrat=,0.060127, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.570177, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.674058, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,0.601940, actvprof=,0.046112, id=,B04, PRDE,actvstrat=,0.852660, actvprof=,0.316115, id=,B05, PRDE,actvstrat=,0.553221, actvprof=,0.373893, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.412227, id=,B07, PRDE,actvstrat=,-0.780765, actvprof=,1.346682, id=,B08, PRDE,actvstrat=,0.074519, actvprof=,2.202248, id=,B09, PRDE,actvstrat=,-0.190026, actvprof=,3.146425, id=,B10, PRDE,actvstrat=,-0.576496, actvprof=,4.183660, id=,B11, PRDE,actvstrat=,0.261946, actvprof=,6.660633, id=,S00, PRDE,actvstrat=,-0.147579, actvprof=,6.463964, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.311207, id=,S02, PRDE,actvstrat=,0.542892, actvprof=,5.512842, id=,S03, PRDE,actvstrat=,0.244582, actvprof=,2.921145, id=,S04, PRDE,actvstrat=,0.111401, actvprof=,1.576407, id=,S05, PRDE,actvstrat=,0.257008, actvprof=,0.965845, id=,S06, PRDE,actvstrat=,0.209803, actvprof=,0.329726, id=,S07, PRDE,actvstrat=,-0.582330, actvprof=,0.029445, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.144724, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,0.283905, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.961078, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.660633, best_B_strat=,0.261946, best_S_id=,S01, best_S_prof=,8.311207, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.060127, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.570177, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.674058, actvprof=,0.002361, id=,B03, PRDE,actvstrat=,0.601940, actvprof=,0.050278, id=,B04, PRDE,actvstrat=,0.852660, actvprof=,0.305280, id=,B05, PRDE,actvstrat=,0.553221, actvprof=,0.398197, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.405836, id=,B07, PRDE,actvstrat=,-0.780765, actvprof=,1.458481, id=,B08, PRDE,actvstrat=,0.074519, actvprof=,2.095845, id=,B09, PRDE,actvstrat=,-0.190026, actvprof=,3.044462, id=,B10, PRDE,actvstrat=,-0.576496, actvprof=,4.361414, id=,B11, PRDE,actvstrat=,0.261946, actvprof=,6.866151, id=,S00, PRDE,actvstrat=,-0.147579, actvprof=,6.535177, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.204770, id=,S02, PRDE,actvstrat=,0.542892, actvprof=,5.711561, id=,S03, PRDE,actvstrat=,0.244582, actvprof=,2.967101, id=,S04, PRDE,actvstrat=,0.111401, actvprof=,1.532231, id=,S05, PRDE,actvstrat=,0.257008, actvprof=,0.909033, id=,S06, PRDE,actvstrat=,0.209803, actvprof=,0.304863, id=,S07, PRDE,actvstrat=,-0.582330, actvprof=,0.028056, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.151529, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.006250, id=,S10, PRDE,actvstrat=,0.283905, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,-0.961078, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.866151, best_B_strat=,0.261946, best_S_id=,S01, best_S_prof=,8.204770, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.187359, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.130053, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.288378, actvprof=,0.012778, id=,B03, PRDE,actvstrat=,-0.688504, actvprof=,0.043334, id=,B04, PRDE,actvstrat=,-0.830752, actvprof=,0.366671, id=,B05, PRDE,actvstrat=,0.553221, actvprof=,0.964733, id=,B06, PRDE,actvstrat=,-0.580895, actvprof=,1.152791, id=,B07, PRDE,actvstrat=,-0.222001, actvprof=,2.251137, id=,B08, PRDE,actvstrat=,0.077155, actvprof=,3.353094, id=,B09, PRDE,actvstrat=,-0.101056, actvprof=,5.095615, id=,B10, PRDE,actvstrat=,0.465772, actvprof=,7.408697, id=,B11, PRDE,actvstrat=,-0.733665, actvprof=,8.203706, id=,S00, PRDE,actvstrat=,-0.924346, actvprof=,3.131981, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.905624, id=,S02, PRDE,actvstrat=,0.542892, actvprof=,3.839767, id=,S03, PRDE,actvstrat=,0.079983, actvprof=,1.601963, id=,S04, PRDE,actvstrat=,0.945491, actvprof=,2.048079, id=,S05, PRDE,actvstrat=,0.899803, actvprof=,1.683631, id=,S06, PRDE,actvstrat=,0.209803, actvprof=,0.184447, id=,S07, PRDE,actvstrat=,-0.546811, actvprof=,0.018611, id=,S08, PRDE,actvstrat=,-0.809408, actvprof=,0.003333, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,0.494719, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.961078, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.203706, best_B_strat=,-0.733665, best_S_id=,S01, best_S_prof=,5.905624, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.187359, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.130053, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.288378, actvprof=,0.010833, id=,B03, PRDE,actvstrat=,-0.688504, actvprof=,0.060278, id=,B04, PRDE,actvstrat=,-0.830752, actvprof=,0.375836, id=,B05, PRDE,actvstrat=,0.553221, actvprof=,0.910422, id=,B06, PRDE,actvstrat=,-0.580895, actvprof=,1.161673, id=,B07, PRDE,actvstrat=,-0.222001, actvprof=,2.108901, id=,B08, PRDE,actvstrat=,0.077155, actvprof=,3.513354, id=,B09, PRDE,actvstrat=,-0.101056, actvprof=,5.068224, id=,B10, PRDE,actvstrat=,0.465772, actvprof=,7.567683, id=,B11, PRDE,actvstrat=,-0.733665, actvprof=,8.359354, id=,S00, PRDE,actvstrat=,-0.924346, actvprof=,3.416964, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.945729, id=,S02, PRDE,actvstrat=,0.542892, actvprof=,4.032523, id=,S03, PRDE,actvstrat=,0.079983, actvprof=,1.680982, id=,S04, PRDE,actvstrat=,0.945491, actvprof=,2.075151, id=,S05, PRDE,actvstrat=,0.899803, actvprof=,1.668204, id=,S06, PRDE,actvstrat=,0.209803, actvprof=,0.210973, id=,S07, PRDE,actvstrat=,-0.546811, actvprof=,0.010139, id=,S08, PRDE,actvstrat=,-0.809408, actvprof=,0.003333, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.005139, id=,S10, PRDE,actvstrat=,0.494719, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.961078, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.359354, best_B_strat=,-0.733665, best_S_id=,S01, best_S_prof=,5.945729, best_S_strat=,1.000000, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.261867, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.797018, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.158442, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.419117, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.022500, id=,B05, PRDE,actvstrat=,-0.970300, actvprof=,0.215002, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.273892, id=,B07, PRDE,actvstrat=,-0.895147, actvprof=,0.573618, id=,B08, PRDE,actvstrat=,-0.861242, actvprof=,0.956678, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.038403, id=,B10, PRDE,actvstrat=,-0.945345, actvprof=,3.584208, id=,B11, PRDE,actvstrat=,-0.397032, actvprof=,5.045058, id=,S00, PRDE,actvstrat=,0.473834, actvprof=,9.106494, id=,S01, PRDE,actvstrat=,-0.958797, actvprof=,1.218625, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.040915, id=,S03, PRDE,actvstrat=,0.405931, actvprof=,3.004201, id=,S04, PRDE,actvstrat=,-0.326033, actvprof=,0.473617, id=,S05, PRDE,actvstrat=,0.566951, actvprof=,0.775009, id=,S06, PRDE,actvstrat=,0.804746, actvprof=,0.344726, id=,S07, PRDE,actvstrat=,0.599503, actvprof=,0.047778, id=,S08, PRDE,actvstrat=,0.125187, actvprof=,0.004722, id=,S09, PRDE,actvstrat=,-0.678224, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.897810, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.038403, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.106494, best_S_strat=,0.473834, 
