t=,0, id=,B00, PRDE,actvstrat=,-0.290243, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.604720, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.980135, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.514896, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.460448, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.555116, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.412404, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.535732, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.268488, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.160648, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.063210, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.309403, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.734174, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.760136, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.915190, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.662432, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.938811, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.036279, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.989807, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.932260, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.320203, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.217626, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.893289, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.606713, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.290243, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.734174, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.290243, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.604720, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.980135, actvprof=,0.017777, id=,B03, PRDE,actvstrat=,0.514896, actvprof=,0.050554, id=,B04, PRDE,actvstrat=,-0.460448, actvprof=,0.043332, id=,B05, PRDE,actvstrat=,-0.555116, actvprof=,0.234717, id=,B06, PRDE,actvstrat=,0.412404, actvprof=,0.974422, id=,B07, PRDE,actvstrat=,0.535732, actvprof=,2.088007, id=,B08, PRDE,actvstrat=,0.268488, actvprof=,2.964098, id=,B09, PRDE,actvstrat=,-0.160648, actvprof=,3.764635, id=,B10, PRDE,actvstrat=,0.063210, actvprof=,5.475429, id=,B11, PRDE,actvstrat=,0.309403, actvprof=,7.848429, id=,S00, PRDE,actvstrat=,0.734174, actvprof=,8.855073, id=,S01, PRDE,actvstrat=,-0.760136, actvprof=,1.868568, id=,S02, PRDE,actvstrat=,-0.915190, actvprof=,1.743015, id=,S03, PRDE,actvstrat=,0.662432, actvprof=,3.814078, id=,S04, PRDE,actvstrat=,0.938811, actvprof=,2.753547, id=,S05, PRDE,actvstrat=,0.036279, actvprof=,0.631652, id=,S06, PRDE,actvstrat=,0.989807, actvprof=,0.896090, id=,S07, PRDE,actvstrat=,-0.932260, actvprof=,0.194162, id=,S08, PRDE,actvstrat=,-0.320203, actvprof=,0.022777, id=,S09, PRDE,actvstrat=,-0.217626, actvprof=,0.005000, id=,S10, PRDE,actvstrat=,-0.893289, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.606713, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.848429, best_B_strat=,0.309403, best_S_id=,S00, best_S_prof=,8.855073, best_S_strat=,0.734174, 
t=,7200, id=,B00, PRDE,actvstrat=,0.593837, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.479118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.580550, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.508717, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.253068, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.122763, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.136091, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.018065, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.953177, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.053055, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.584703, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.244048, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.607657, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.631831, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.109314, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.755804, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.452169, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.557473, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.396087, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.969208, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.699936, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.583525, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.934163, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.122550, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.593837, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.607657, 
t=,10800, id=,B00, PRDE,actvstrat=,0.593837, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.479118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.580550, actvprof=,0.009444, id=,B03, PRDE,actvstrat=,0.508717, actvprof=,0.025555, id=,B04, PRDE,actvstrat=,0.253068, actvprof=,0.109721, id=,B05, PRDE,actvstrat=,0.122763, actvprof=,0.289163, id=,B06, PRDE,actvstrat=,-0.136091, actvprof=,0.503328, id=,B07, PRDE,actvstrat=,0.018065, actvprof=,1.098321, id=,B08, PRDE,actvstrat=,0.953177, actvprof=,1.706369, id=,B09, PRDE,actvstrat=,0.053055, actvprof=,2.876911, id=,B10, PRDE,actvstrat=,-0.584703, actvprof=,3.569125, id=,B11, PRDE,actvstrat=,-0.244048, actvprof=,4.981887, id=,S00, PRDE,actvstrat=,0.607657, actvprof=,9.748498, id=,S01, PRDE,actvstrat=,0.631831, actvprof=,7.978241, id=,S02, PRDE,actvstrat=,0.109314, actvprof=,4.059397, id=,S03, PRDE,actvstrat=,-0.755804, actvprof=,0.904156, id=,S04, PRDE,actvstrat=,0.452169, actvprof=,2.432750, id=,S05, PRDE,actvstrat=,0.557473, actvprof=,1.673592, id=,S06, PRDE,actvstrat=,-0.396087, actvprof=,0.098054, id=,S07, PRDE,actvstrat=,-0.969208, actvprof=,0.170831, id=,S08, PRDE,actvstrat=,0.699936, actvprof=,0.087499, id=,S09, PRDE,actvstrat=,-0.583525, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.934163, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.122550, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.981887, best_B_strat=,-0.244048, best_S_id=,S00, best_S_prof=,9.748498, best_S_strat=,0.607657, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.057273, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.291635, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.221229, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.369805, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.714694, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.824139, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.079515, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.287970, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.610984, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.705524, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.280831, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.863682, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.871826, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.944095, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.042298, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.191261, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.483646, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.557473, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.989807, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.744288, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.068429, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.286263, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.934163, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.395345, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.057273, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.871826, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.057273, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.291635, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.221229, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.369805, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,-0.714694, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.824139, actvprof=,0.024444, id=,B06, PRDE,actvstrat=,0.079515, actvprof=,0.100278, id=,B07, PRDE,actvstrat=,-0.287970, actvprof=,0.112500, id=,B08, PRDE,actvstrat=,0.610984, actvprof=,1.282500, id=,B09, PRDE,actvstrat=,0.705524, actvprof=,2.534444, id=,B10, PRDE,actvstrat=,0.280831, actvprof=,2.813611, id=,B11, PRDE,actvstrat=,0.863682, actvprof=,4.456667, id=,S00, PRDE,actvstrat=,-0.871826, actvprof=,1.833056, id=,S01, PRDE,actvstrat=,-0.944095, actvprof=,2.046667, id=,S02, PRDE,actvstrat=,0.042298, actvprof=,5.262778, id=,S03, PRDE,actvstrat=,-0.191261, actvprof=,2.104167, id=,S04, PRDE,actvstrat=,-0.483646, actvprof=,1.340556, id=,S05, PRDE,actvstrat=,0.557473, actvprof=,3.388611, id=,S06, PRDE,actvstrat=,0.989807, actvprof=,2.766111, id=,S07, PRDE,actvstrat=,-0.744288, actvprof=,0.103611, id=,S08, PRDE,actvstrat=,0.068429, actvprof=,0.258611, id=,S09, PRDE,actvstrat=,-0.286263, actvprof=,0.011667, id=,S10, PRDE,actvstrat=,-0.934163, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.395345, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.456667, best_B_strat=,0.863682, best_S_id=,S02, best_S_prof=,5.262778, best_S_strat=,0.042298, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.057273, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.291635, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.221229, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.369805, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,-0.714694, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,-0.824139, actvprof=,0.031945, id=,B06, PRDE,actvstrat=,0.079515, actvprof=,0.084306, id=,B07, PRDE,actvstrat=,-0.287970, actvprof=,0.105278, id=,B08, PRDE,actvstrat=,0.610984, actvprof=,1.310285, id=,B09, PRDE,actvstrat=,0.705524, actvprof=,2.547931, id=,B10, PRDE,actvstrat=,0.280831, actvprof=,2.871822, id=,B11, PRDE,actvstrat=,0.863682, actvprof=,4.458498, id=,S00, PRDE,actvstrat=,-0.871826, actvprof=,1.664037, id=,S01, PRDE,actvstrat=,-0.944095, actvprof=,2.180985, id=,S02, PRDE,actvstrat=,0.042298, actvprof=,5.438087, id=,S03, PRDE,actvstrat=,-0.191261, actvprof=,2.231680, id=,S04, PRDE,actvstrat=,-0.483646, actvprof=,1.315563, id=,S05, PRDE,actvstrat=,0.557473, actvprof=,3.114879, id=,S06, PRDE,actvstrat=,0.989807, actvprof=,2.723071, id=,S07, PRDE,actvstrat=,-0.744288, actvprof=,0.091112, id=,S08, PRDE,actvstrat=,0.068429, actvprof=,0.251251, id=,S09, PRDE,actvstrat=,-0.286263, actvprof=,0.010139, id=,S10, PRDE,actvstrat=,-0.934163, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.395345, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.458498, best_B_strat=,0.863682, best_S_id=,S02, best_S_prof=,5.438087, best_S_strat=,0.042298, 
t=,25200, id=,B00, PRDE,actvstrat=,0.186003, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.410184, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.217176, actvprof=,0.014167, id=,B05, PRDE,actvstrat=,0.877901, actvprof=,0.237225, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.720008, id=,B07, PRDE,actvstrat=,-0.540126, actvprof=,0.448061, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.338916, id=,B09, PRDE,actvstrat=,0.238232, actvprof=,2.430306, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,2.928367, id=,B11, PRDE,actvstrat=,0.648979, actvprof=,5.542009, id=,S00, PRDE,actvstrat=,0.336106, actvprof=,9.856225, id=,S01, PRDE,actvstrat=,0.439889, actvprof=,8.103149, id=,S02, PRDE,actvstrat=,0.367984, actvprof=,6.249795, id=,S03, PRDE,actvstrat=,0.743145, actvprof=,6.197016, id=,S04, PRDE,actvstrat=,0.058551, actvprof=,2.298360, id=,S05, PRDE,actvstrat=,0.118190, actvprof=,1.612796, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.791132, id=,S07, PRDE,actvstrat=,-0.850435, actvprof=,0.059723, id=,S08, PRDE,actvstrat=,0.049419, actvprof=,0.203613, id=,S09, PRDE,actvstrat=,-0.317357, actvprof=,0.007222, id=,S10, PRDE,actvstrat=,0.721466, actvprof=,0.011945, id=,S11, PRDE,actvstrat=,0.121610, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.542009, best_B_strat=,0.648979, best_S_id=,S00, best_S_prof=,9.856225, best_S_strat=,0.336106, 
t=,28800, id=,B00, PRDE,actvstrat=,0.591805, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.479118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.732469, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.253068, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.940817, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.727408, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.953177, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.015613, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.584703, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.080491, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.607657, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.106109, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.304130, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.610519, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.212570, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.118190, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.177970, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.087021, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.699936, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.217626, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.721466, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.405702, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.591805, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.607657, 
t=,32400, id=,B00, PRDE,actvstrat=,0.591805, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.479118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.732469, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.253068, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.940817, actvprof=,0.090002, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.276118, id=,B07, PRDE,actvstrat=,0.727408, actvprof=,0.555291, id=,B08, PRDE,actvstrat=,0.953177, actvprof=,1.001412, id=,B09, PRDE,actvstrat=,-0.015613, actvprof=,1.199750, id=,B10, PRDE,actvstrat=,-0.584703, actvprof=,1.687261, id=,B11, PRDE,actvstrat=,-0.080491, actvprof=,3.316743, id=,S00, PRDE,actvstrat=,0.607657, actvprof=,11.725549, id=,S01, PRDE,actvstrat=,-0.106109, actvprof=,4.631496, id=,S02, PRDE,actvstrat=,-0.304130, actvprof=,2.325332, id=,S03, PRDE,actvstrat=,0.610519, actvprof=,5.367902, id=,S04, PRDE,actvstrat=,-0.212570, actvprof=,1.169749, id=,S05, PRDE,actvstrat=,0.118190, actvprof=,1.399755, id=,S06, PRDE,actvstrat=,0.177970, actvprof=,0.583347, id=,S07, PRDE,actvstrat=,-0.087021, actvprof=,0.060001, id=,S08, PRDE,actvstrat=,0.699936, actvprof=,0.131114, id=,S09, PRDE,actvstrat=,-0.217626, actvprof=,0.001111, id=,S10, PRDE,actvstrat=,0.721466, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,-0.405702, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.316743, best_B_strat=,-0.080491, best_S_id=,S00, best_S_prof=,11.725549, best_S_strat=,0.607657, 
t=,36000, id=,B00, PRDE,actvstrat=,0.591805, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.479118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.732469, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,0.253068, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,0.940817, actvprof=,0.089029, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.282503, id=,B07, PRDE,actvstrat=,0.727408, actvprof=,0.572507, id=,B08, PRDE,actvstrat=,0.953177, actvprof=,1.036956, id=,B09, PRDE,actvstrat=,-0.015613, actvprof=,1.157513, id=,B10, PRDE,actvstrat=,-0.584703, actvprof=,1.614046, id=,B11, PRDE,actvstrat=,-0.080491, actvprof=,3.267677, id=,S00, PRDE,actvstrat=,0.607657, actvprof=,11.865137, id=,S01, PRDE,actvstrat=,-0.106109, actvprof=,4.564914, id=,S02, PRDE,actvstrat=,-0.304130, actvprof=,2.279749, id=,S03, PRDE,actvstrat=,0.610519, actvprof=,5.475897, id=,S04, PRDE,actvstrat=,-0.212570, actvprof=,1.134041, id=,S05, PRDE,actvstrat=,0.118190, actvprof=,1.305987, id=,S06, PRDE,actvstrat=,0.177970, actvprof=,0.548895, id=,S07, PRDE,actvstrat=,-0.087021, actvprof=,0.067362, id=,S08, PRDE,actvstrat=,0.699936, actvprof=,0.114724, id=,S09, PRDE,actvstrat=,-0.217626, actvprof=,0.001250, id=,S10, PRDE,actvstrat=,0.721466, actvprof=,0.001250, id=,S11, PRDE,actvstrat=,-0.405702, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.267677, best_B_strat=,-0.080491, best_S_id=,S00, best_S_prof=,11.865137, best_S_strat=,0.607657, 
