t=,0, id=,B00, PRDE,actvstrat=,-0.926300, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.277436, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.735401, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.852997, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.514852, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.021075, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.282728, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.223096, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.538504, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.416699, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.338318, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.492397, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.074845, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.997095, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.304097, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.304085, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.283275, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.461175, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.763338, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.897711, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.801137, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.951520, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.861789, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.510344, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.926300, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.074845, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.926300, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.277436, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.735401, actvprof=,0.012222, id=,B03, PRDE,actvstrat=,0.852997, actvprof=,0.165831, id=,B04, PRDE,actvstrat=,-0.514852, actvprof=,0.133054, id=,B05, PRDE,actvstrat=,0.021075, actvprof=,0.459995, id=,B06, PRDE,actvstrat=,0.282728, actvprof=,1.191375, id=,B07, PRDE,actvstrat=,-0.223096, actvprof=,1.671647, id=,B08, PRDE,actvstrat=,-0.538504, actvprof=,2.638025, id=,B09, PRDE,actvstrat=,-0.416699, actvprof=,3.803012, id=,B10, PRDE,actvstrat=,0.338318, actvprof=,6.644368, id=,B11, PRDE,actvstrat=,-0.492397, actvprof=,7.449636, id=,S00, PRDE,actvstrat=,-0.074845, actvprof=,6.116596, id=,S01, PRDE,actvstrat=,0.997095, actvprof=,6.286316, id=,S02, PRDE,actvstrat=,-0.304097, actvprof=,2.094976, id=,S03, PRDE,actvstrat=,0.304085, actvprof=,2.269696, id=,S04, PRDE,actvstrat=,0.283275, actvprof=,1.322485, id=,S05, PRDE,actvstrat=,0.461175, actvprof=,0.657492, id=,S06, PRDE,actvstrat=,0.763338, actvprof=,0.593604, id=,S07, PRDE,actvstrat=,0.897711, actvprof=,0.317219, id=,S08, PRDE,actvstrat=,0.801137, actvprof=,0.016666, id=,S09, PRDE,actvstrat=,0.951520, actvprof=,0.005278, id=,S10, PRDE,actvstrat=,-0.861789, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.510344, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.449636, best_B_strat=,-0.492397, best_S_id=,S01, best_S_prof=,6.286316, best_S_strat=,0.997095, 
t=,7200, id=,B00, PRDE,actvstrat=,0.903400, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.262891, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.607701, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.111335, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.059344, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.626154, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.755618, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.720859, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.681883, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.930997, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.238395, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.752229, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.207147, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.860283, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.552436, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.766962, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.493458, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.803939, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.246538, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.068554, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.970668, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.252689, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.649334, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.258839, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.903400, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.207147, 
t=,10800, id=,B00, PRDE,actvstrat=,0.903400, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.262891, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.607701, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.111335, actvprof=,0.010000, id=,B04, PRDE,actvstrat=,-0.059344, actvprof=,0.044722, id=,B05, PRDE,actvstrat=,-0.626154, actvprof=,0.116388, id=,B06, PRDE,actvstrat=,-0.755618, actvprof=,0.341940, id=,B07, PRDE,actvstrat=,-0.720859, actvprof=,0.950545, id=,B08, PRDE,actvstrat=,0.681883, actvprof=,2.639136, id=,B09, PRDE,actvstrat=,-0.930997, actvprof=,2.820801, id=,B10, PRDE,actvstrat=,0.238395, actvprof=,4.733001, id=,B11, PRDE,actvstrat=,0.752229, actvprof=,6.882976, id=,S00, PRDE,actvstrat=,0.207147, actvprof=,7.434081, id=,S01, PRDE,actvstrat=,-0.860283, actvprof=,2.509415, id=,S02, PRDE,actvstrat=,0.552436, actvprof=,5.810211, id=,S03, PRDE,actvstrat=,-0.766962, actvprof=,1.038877, id=,S04, PRDE,actvstrat=,-0.493458, actvprof=,0.660548, id=,S05, PRDE,actvstrat=,0.803939, actvprof=,2.539693, id=,S06, PRDE,actvstrat=,-0.246538, actvprof=,0.168331, id=,S07, PRDE,actvstrat=,-0.068554, actvprof=,0.114721, id=,S08, PRDE,actvstrat=,0.970668, actvprof=,0.428328, id=,S09, PRDE,actvstrat=,0.252689, actvprof=,0.017778, id=,S10, PRDE,actvstrat=,0.649334, actvprof=,0.002222, id=,S11, PRDE,actvstrat=,0.258839, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.882976, best_B_strat=,0.752229, best_S_id=,S00, best_S_prof=,7.434081, best_S_strat=,0.207147, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.458426, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.499783, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.736024, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.868727, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.499742, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.021075, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.701324, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.720859, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.471850, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.683016, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.704545, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.752229, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.327719, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.900409, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.552436, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.213356, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.493458, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.803939, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.188426, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.315235, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.922201, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.940827, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.103802, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.229116, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.458426, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.327719, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.458426, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.499783, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,-0.736024, actvprof=,0.007500, id=,B03, PRDE,actvstrat=,0.868727, actvprof=,0.166943, id=,B04, PRDE,actvstrat=,-0.499742, actvprof=,0.050833, id=,B05, PRDE,actvstrat=,0.021075, actvprof=,0.444162, id=,B06, PRDE,actvstrat=,-0.701324, actvprof=,1.095821, id=,B07, PRDE,actvstrat=,-0.720859, actvprof=,1.939144, id=,B08, PRDE,actvstrat=,0.471850, actvprof=,3.318573, id=,B09, PRDE,actvstrat=,0.683016, actvprof=,4.853277, id=,B10, PRDE,actvstrat=,-0.704545, actvprof=,5.796044, id=,B11, PRDE,actvstrat=,0.752229, actvprof=,7.822687, id=,S00, PRDE,actvstrat=,0.327719, actvprof=,7.861576, id=,S01, PRDE,actvstrat=,0.900409, actvprof=,7.370470, id=,S02, PRDE,actvstrat=,0.552436, actvprof=,4.877166, id=,S03, PRDE,actvstrat=,0.213356, actvprof=,2.571637, id=,S04, PRDE,actvstrat=,-0.493458, actvprof=,0.525549, id=,S05, PRDE,actvstrat=,0.803939, actvprof=,2.044699, id=,S06, PRDE,actvstrat=,0.188426, actvprof=,0.449439, id=,S07, PRDE,actvstrat=,0.315235, actvprof=,0.185553, id=,S08, PRDE,actvstrat=,0.922201, actvprof=,0.417217, id=,S09, PRDE,actvstrat=,-0.940827, actvprof=,0.051111, id=,S10, PRDE,actvstrat=,-0.103802, actvprof=,0.001944, id=,S11, PRDE,actvstrat=,-0.229116, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.822687, best_B_strat=,0.752229, best_S_id=,S00, best_S_prof=,7.861576, best_S_strat=,0.327719, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.198591, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.711541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.097619, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.416856, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.186746, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.612235, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.063995, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.772068, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.151783, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.411380, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.290737, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.647007, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.219142, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.904403, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.426835, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.842993, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.198591, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.290737, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.198591, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.711541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.097619, actvprof=,0.020278, id=,B03, PRDE,actvstrat=,-0.416856, actvprof=,0.039723, id=,B04, PRDE,actvstrat=,0.186746, actvprof=,0.250003, id=,B05, PRDE,actvstrat=,0.612235, actvprof=,1.153347, id=,B06, PRDE,actvstrat=,0.063995, actvprof=,1.758354, id=,B07, PRDE,actvstrat=,-0.772068, actvprof=,1.932245, id=,B08, PRDE,actvstrat=,-0.151783, actvprof=,3.588375, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.940358, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,8.755101, id=,B11, PRDE,actvstrat=,0.411380, actvprof=,10.823459, id=,S00, PRDE,actvstrat=,-0.290737, actvprof=,2.590308, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.973402, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.317828, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.180581, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.253903, id=,S05, PRDE,actvstrat=,-0.647007, actvprof=,0.099168, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.322782, id=,S07, PRDE,actvstrat=,0.219142, actvprof=,0.044445, id=,S08, PRDE,actvstrat=,-0.904403, actvprof=,0.016667, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.005556, id=,S10, PRDE,actvstrat=,0.426835, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.842993, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.823459, best_B_strat=,0.411380, best_S_id=,S01, best_S_prof=,5.973402, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.198591, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.711541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.097619, actvprof=,0.014167, id=,B03, PRDE,actvstrat=,-0.416856, actvprof=,0.035000, id=,B04, PRDE,actvstrat=,0.186746, actvprof=,0.234585, id=,B05, PRDE,actvstrat=,0.612235, actvprof=,1.115145, id=,B06, PRDE,actvstrat=,0.063995, actvprof=,1.601398, id=,B07, PRDE,actvstrat=,-0.772068, actvprof=,1.978484, id=,B08, PRDE,actvstrat=,-0.151783, actvprof=,3.702799, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.124625, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,8.817412, id=,B11, PRDE,actvstrat=,0.411380, actvprof=,10.721034, id=,S00, PRDE,actvstrat=,-0.290737, actvprof=,2.428903, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.859617, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.339608, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.235568, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.256396, id=,S05, PRDE,actvstrat=,-0.647007, actvprof=,0.082223, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.311391, id=,S07, PRDE,actvstrat=,0.219142, actvprof=,0.034306, id=,S08, PRDE,actvstrat=,-0.904403, actvprof=,0.008333, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.012639, id=,S10, PRDE,actvstrat=,0.426835, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.842993, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.721034, best_B_strat=,0.411380, best_S_id=,S01, best_S_prof=,5.859617, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.671553, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.499783, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.319986, actvprof=,0.006389, id=,B03, PRDE,actvstrat=,0.568808, actvprof=,0.090557, id=,B04, PRDE,actvstrat=,-0.118611, actvprof=,0.180835, id=,B05, PRDE,actvstrat=,-0.891658, actvprof=,0.924733, id=,B06, PRDE,actvstrat=,0.282728, actvprof=,1.876133, id=,B07, PRDE,actvstrat=,0.376809, actvprof=,3.145036, id=,B08, PRDE,actvstrat=,-0.939008, actvprof=,4.656998, id=,B09, PRDE,actvstrat=,-0.624638, actvprof=,5.297839, id=,B10, PRDE,actvstrat=,0.238395, actvprof=,8.312041, id=,B11, PRDE,actvstrat=,-0.915135, actvprof=,8.796768, id=,S00, PRDE,actvstrat=,0.500148, actvprof=,6.299795, id=,S01, PRDE,actvstrat=,0.997095, actvprof=,5.885068, id=,S02, PRDE,actvstrat=,0.768291, actvprof=,4.001991, id=,S03, PRDE,actvstrat=,-0.436982, actvprof=,0.246947, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.137235, id=,S05, PRDE,actvstrat=,0.397494, actvprof=,0.280003, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.305004, id=,S07, PRDE,actvstrat=,0.897711, actvprof=,0.113057, id=,S08, PRDE,actvstrat=,0.754008, actvprof=,0.008889, id=,S09, PRDE,actvstrat=,-0.910784, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.523585, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.040289, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.796768, best_B_strat=,-0.915135, best_S_id=,S00, best_S_prof=,6.299795, best_S_strat=,0.500148, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.671553, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.499783, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.319986, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,0.568808, actvprof=,0.096112, id=,B04, PRDE,actvstrat=,-0.118611, actvprof=,0.174029, id=,B05, PRDE,actvstrat=,-0.891658, actvprof=,0.861949, id=,B06, PRDE,actvstrat=,0.282728, actvprof=,1.866122, id=,B07, PRDE,actvstrat=,0.376809, actvprof=,3.071268, id=,B08, PRDE,actvstrat=,-0.939008, actvprof=,4.692527, id=,B09, PRDE,actvstrat=,-0.624638, actvprof=,5.225169, id=,B10, PRDE,actvstrat=,0.238395, actvprof=,8.115741, id=,B11, PRDE,actvstrat=,-0.915135, actvprof=,8.884218, id=,S00, PRDE,actvstrat=,0.500148, actvprof=,6.126980, id=,S01, PRDE,actvstrat=,0.997095, actvprof=,5.769339, id=,S02, PRDE,actvstrat=,0.768291, actvprof=,3.939884, id=,S03, PRDE,actvstrat=,-0.436982, actvprof=,0.372085, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.177507, id=,S05, PRDE,actvstrat=,0.397494, actvprof=,0.256390, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.303057, id=,S07, PRDE,actvstrat=,0.897711, actvprof=,0.123751, id=,S08, PRDE,actvstrat=,0.754008, actvprof=,0.005972, id=,S09, PRDE,actvstrat=,-0.910784, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.523585, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.040289, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.884218, best_B_strat=,-0.915135, best_S_id=,S00, best_S_prof=,6.126980, best_S_strat=,0.500148, 
