t=,1, id=,B00, PRDE,actvstrat=,-0.960563, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.282564, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.052187, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.805854, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.876380, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.428273, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.338431, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.528785, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.980129, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.517087, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.635321, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.857204, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.457573, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.338466, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.836212, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.500568, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.384267, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.436742, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.957635, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.748982, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.967988, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.610218, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.049920, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.144822, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.960563, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.457573, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.960563, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.282564, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.052187, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.805854, actvprof=,0.026111, id=,B04, PRDE,actvstrat=,-0.876380, actvprof=,0.089166, id=,B05, PRDE,actvstrat=,0.428273, actvprof=,0.346107, id=,B06, PRDE,actvstrat=,-0.338431, actvprof=,0.338607, id=,B07, PRDE,actvstrat=,-0.528785, actvprof=,0.886379, id=,B08, PRDE,actvstrat=,-0.980129, actvprof=,2.615803, id=,B09, PRDE,actvstrat=,-0.517087, actvprof=,2.692191, id=,B10, PRDE,actvstrat=,0.635321, actvprof=,5.492714, id=,B11, PRDE,actvstrat=,0.857204, actvprof=,7.014919, id=,S00, PRDE,actvstrat=,0.457573, actvprof=,8.167683, id=,S01, PRDE,actvstrat=,-0.338466, actvprof=,2.527749, id=,S02, PRDE,actvstrat=,0.836212, actvprof=,6.380204, id=,S03, PRDE,actvstrat=,-0.500568, actvprof=,0.808324, id=,S04, PRDE,actvstrat=,-0.384267, actvprof=,0.550549, id=,S05, PRDE,actvstrat=,-0.436742, actvprof=,0.386384, id=,S06, PRDE,actvstrat=,0.957635, actvprof=,1.861367, id=,S07, PRDE,actvstrat=,0.748982, actvprof=,0.634159, id=,S08, PRDE,actvstrat=,-0.967988, actvprof=,0.350274, id=,S09, PRDE,actvstrat=,0.610218, actvprof=,0.055277, id=,S10, PRDE,actvstrat=,0.049920, actvprof=,0.002222, id=,S11, PRDE,actvstrat=,0.144822, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.014919, best_B_strat=,0.857204, best_S_id=,S00, best_S_prof=,8.167683, best_S_strat=,0.457573, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.413901, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.633171, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.559542, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.467791, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.601525, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.917948, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.196005, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.721281, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.300930, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.873781, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.968692, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.428392, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.134731, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.024923, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.198752, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.720250, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.783546, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.464293, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.943671, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.927438, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.915107, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.983834, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.203021, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.673864, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.413901, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.134731, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.413901, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.633171, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.559542, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.467791, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.601525, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.917948, actvprof=,0.308608, id=,B06, PRDE,actvstrat=,-0.196005, actvprof=,0.283886, id=,B07, PRDE,actvstrat=,-0.721281, actvprof=,0.678048, id=,B08, PRDE,actvstrat=,-0.300930, actvprof=,1.425261, id=,B09, PRDE,actvstrat=,-0.873781, actvprof=,2.075809, id=,B10, PRDE,actvstrat=,-0.968692, actvprof=,4.402449, id=,B11, PRDE,actvstrat=,-0.428392, actvprof=,6.392982, id=,S00, PRDE,actvstrat=,0.134731, actvprof=,4.979109, id=,S01, PRDE,actvstrat=,-0.024923, actvprof=,2.995799, id=,S02, PRDE,actvstrat=,0.198752, actvprof=,2.514693, id=,S03, PRDE,actvstrat=,-0.720250, actvprof=,0.239164, id=,S04, PRDE,actvstrat=,0.783546, actvprof=,1.427483, id=,S05, PRDE,actvstrat=,0.464293, actvprof=,0.227220, id=,S06, PRDE,actvstrat=,0.943671, actvprof=,0.421940, id=,S07, PRDE,actvstrat=,0.927438, actvprof=,0.105277, id=,S08, PRDE,actvstrat=,-0.915107, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.983834, actvprof=,0.001667, id=,S10, PRDE,actvstrat=,0.203021, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.673864, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.392982, best_B_strat=,-0.428392, best_S_id=,S00, best_S_prof=,4.979109, best_S_strat=,0.134731, 
t=,14400, id=,B00, PRDE,actvstrat=,0.154009, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.543464, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.784748, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.805854, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.698099, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.776142, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.954440, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.307206, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.300930, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.873781, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.519067, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.915409, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.040601, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.792476, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.049715, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.500568, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.514663, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.695671, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.395454, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.748982, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.947389, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.610218, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.429530, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.673864, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.154009, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.040601, 
t=,18000, id=,B00, PRDE,actvstrat=,0.154009, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.543464, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.784748, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.805854, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.698099, actvprof=,0.006944, id=,B05, PRDE,actvstrat=,0.776142, actvprof=,0.081111, id=,B06, PRDE,actvstrat=,0.954440, actvprof=,0.306667, id=,B07, PRDE,actvstrat=,-0.307206, actvprof=,0.192222, id=,B08, PRDE,actvstrat=,-0.300930, actvprof=,0.361111, id=,B09, PRDE,actvstrat=,-0.873781, actvprof=,1.190833, id=,B10, PRDE,actvstrat=,0.519067, actvprof=,3.275278, id=,B11, PRDE,actvstrat=,0.915409, actvprof=,4.904444, id=,S00, PRDE,actvstrat=,0.040601, actvprof=,7.507222, id=,S01, PRDE,actvstrat=,-0.792476, actvprof=,2.025000, id=,S02, PRDE,actvstrat=,-0.049715, actvprof=,3.550278, id=,S03, PRDE,actvstrat=,-0.500568, actvprof=,1.371389, id=,S04, PRDE,actvstrat=,-0.514663, actvprof=,0.899722, id=,S05, PRDE,actvstrat=,-0.695671, actvprof=,0.383889, id=,S06, PRDE,actvstrat=,0.395454, actvprof=,0.832222, id=,S07, PRDE,actvstrat=,0.748982, actvprof=,0.929444, id=,S08, PRDE,actvstrat=,0.947389, actvprof=,0.975833, id=,S09, PRDE,actvstrat=,0.610218, actvprof=,0.079444, id=,S10, PRDE,actvstrat=,-0.429530, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,0.673864, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.904444, best_B_strat=,0.915409, best_S_id=,S00, best_S_prof=,7.507222, best_S_strat=,0.040601, 
t=,21600, id=,B00, PRDE,actvstrat=,0.154009, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.543464, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.784748, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.805854, actvprof=,0.002639, id=,B04, PRDE,actvstrat=,0.698099, actvprof=,0.004722, id=,B05, PRDE,actvstrat=,0.776142, actvprof=,0.069167, id=,B06, PRDE,actvstrat=,0.954440, actvprof=,0.291391, id=,B07, PRDE,actvstrat=,-0.307206, actvprof=,0.188057, id=,B08, PRDE,actvstrat=,-0.300930, actvprof=,0.375697, id=,B09, PRDE,actvstrat=,-0.873781, actvprof=,1.166257, id=,B10, PRDE,actvstrat=,0.519067, actvprof=,3.282797, id=,B11, PRDE,actvstrat=,0.915409, actvprof=,4.972112, id=,S00, PRDE,actvstrat=,0.040601, actvprof=,7.248931, id=,S01, PRDE,actvstrat=,-0.792476, actvprof=,2.130846, id=,S02, PRDE,actvstrat=,-0.049715, actvprof=,3.690438, id=,S03, PRDE,actvstrat=,-0.500568, actvprof=,1.352230, id=,S04, PRDE,actvstrat=,-0.514663, actvprof=,0.816116, id=,S05, PRDE,actvstrat=,-0.695671, actvprof=,0.417641, id=,S06, PRDE,actvstrat=,0.395454, actvprof=,0.812227, id=,S07, PRDE,actvstrat=,0.748982, actvprof=,0.957644, id=,S08, PRDE,actvstrat=,0.947389, actvprof=,0.975978, id=,S09, PRDE,actvstrat=,0.610218, actvprof=,0.063750, id=,S10, PRDE,actvstrat=,-0.429530, actvprof=,0.001250, id=,S11, PRDE,actvstrat=,0.673864, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.972112, best_B_strat=,0.915409, best_S_id=,S00, best_S_prof=,7.248931, best_S_strat=,0.040601, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.402449, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.315697, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.655215, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.119778, actvprof=,0.010556, id=,B04, PRDE,actvstrat=,-0.475861, actvprof=,0.042222, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.358333, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.749167, id=,B07, PRDE,actvstrat=,-0.356518, actvprof=,0.987222, id=,B08, PRDE,actvstrat=,0.284146, actvprof=,2.941389, id=,B09, PRDE,actvstrat=,-0.986867, actvprof=,3.868056, id=,B10, PRDE,actvstrat=,0.704303, actvprof=,6.916111, id=,B11, PRDE,actvstrat=,-0.637017, actvprof=,6.551111, id=,S00, PRDE,actvstrat=,0.440929, actvprof=,7.332222, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.962778, id=,S02, PRDE,actvstrat=,-0.845840, actvprof=,0.358889, id=,S03, PRDE,actvstrat=,0.901409, actvprof=,4.680000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.865000, id=,S05, PRDE,actvstrat=,-0.071398, actvprof=,0.229444, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.620000, id=,S07, PRDE,actvstrat=,-0.608462, actvprof=,0.006944, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.113056, id=,S09, PRDE,actvstrat=,-0.784295, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.509020, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.999683, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.916111, best_B_strat=,0.704303, best_S_id=,S01, best_S_prof=,7.962778, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.402449, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.701081, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.674096, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.983349, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.930469, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.196005, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.356518, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.392945, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.486505, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.968692, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.428392, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.134731, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.112593, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.371025, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.056715, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.929123, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.695671, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.957635, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.512870, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.928415, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.601547, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.779830, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.847921, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.402449, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.134731, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.402449, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.701081, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.674096, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.983349, actvprof=,0.004445, id=,B04, PRDE,actvstrat=,0.930469, actvprof=,0.038612, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.271395, id=,B06, PRDE,actvstrat=,-0.196005, actvprof=,0.161670, id=,B07, PRDE,actvstrat=,-0.356518, actvprof=,0.472233, id=,B08, PRDE,actvstrat=,-0.392945, actvprof=,1.049191, id=,B09, PRDE,actvstrat=,-0.486505, actvprof=,2.109493, id=,B10, PRDE,actvstrat=,-0.968692, actvprof=,3.648973, id=,B11, PRDE,actvstrat=,-0.428392, actvprof=,5.750689, id=,S00, PRDE,actvstrat=,0.134731, actvprof=,6.060418, id=,S01, PRDE,actvstrat=,0.112593, actvprof=,4.263154, id=,S02, PRDE,actvstrat=,0.371025, actvprof=,3.397023, id=,S03, PRDE,actvstrat=,-0.056715, actvprof=,0.915855, id=,S04, PRDE,actvstrat=,-0.929123, actvprof=,0.107780, id=,S05, PRDE,actvstrat=,-0.695671, actvprof=,0.018889, id=,S06, PRDE,actvstrat=,0.957635, actvprof=,0.783907, id=,S07, PRDE,actvstrat=,0.512870, actvprof=,0.039168, id=,S08, PRDE,actvstrat=,0.928415, actvprof=,0.050001, id=,S09, PRDE,actvstrat=,0.601547, actvprof=,0.000556, id=,S10, PRDE,actvstrat=,0.779830, actvprof=,0.002222, id=,S11, PRDE,actvstrat=,-0.847921, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.750689, best_B_strat=,-0.428392, best_S_id=,S00, best_S_prof=,6.060418, best_S_strat=,0.134731, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.402449, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.701081, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.674096, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.983349, actvprof=,0.003750, id=,B04, PRDE,actvstrat=,0.930469, actvprof=,0.046667, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.259864, id=,B06, PRDE,actvstrat=,-0.196005, actvprof=,0.161669, id=,B07, PRDE,actvstrat=,-0.356518, actvprof=,0.453894, id=,B08, PRDE,actvstrat=,-0.392945, actvprof=,1.027095, id=,B09, PRDE,actvstrat=,-0.486505, actvprof=,2.140997, id=,B10, PRDE,actvstrat=,-0.968692, actvprof=,3.657681, id=,B11, PRDE,actvstrat=,-0.428392, actvprof=,5.555759, id=,S00, PRDE,actvstrat=,0.134731, actvprof=,5.762011, id=,S01, PRDE,actvstrat=,0.112593, actvprof=,4.257688, id=,S02, PRDE,actvstrat=,0.371025, actvprof=,3.472957, id=,S03, PRDE,actvstrat=,-0.056715, actvprof=,0.909038, id=,S04, PRDE,actvstrat=,-0.929123, actvprof=,0.135279, id=,S05, PRDE,actvstrat=,-0.695671, actvprof=,0.037917, id=,S06, PRDE,actvstrat=,0.957635, actvprof=,0.813482, id=,S07, PRDE,actvstrat=,0.512870, actvprof=,0.030973, id=,S08, PRDE,actvstrat=,0.928415, actvprof=,0.055556, id=,S09, PRDE,actvstrat=,0.601547, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,0.779830, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,-0.847921, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.555759, best_B_strat=,-0.428392, best_S_id=,S00, best_S_prof=,5.762011, best_S_strat=,0.134731, 
