t=,0, id=,B00, PRDE,actvstrat=,-0.544534, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.452463, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.605319, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.068544, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.795778, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.914652, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.970467, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.733691, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.752240, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.607488, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.495979, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.675185, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.982269, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.594431, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.427036, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.914306, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.553696, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.291697, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.975282, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.274853, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.966898, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.641668, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.038407, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.697096, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.544534, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.982269, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.544534, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.452463, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.605319, actvprof=,0.008889, id=,B03, PRDE,actvstrat=,-0.068544, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,0.795778, actvprof=,0.146109, id=,B05, PRDE,actvstrat=,-0.914652, actvprof=,0.506939, id=,B06, PRDE,actvstrat=,0.970467, actvprof=,0.499716, id=,B07, PRDE,actvstrat=,-0.733691, actvprof=,0.930545, id=,B08, PRDE,actvstrat=,0.752240, actvprof=,2.512193, id=,B09, PRDE,actvstrat=,-0.607488, actvprof=,2.856078, id=,B10, PRDE,actvstrat=,-0.495979, actvprof=,3.654402, id=,B11, PRDE,actvstrat=,0.675185, actvprof=,7.344359, id=,S00, PRDE,actvstrat=,0.982269, actvprof=,11.266536, id=,S01, PRDE,actvstrat=,-0.594431, actvprof=,2.745524, id=,S02, PRDE,actvstrat=,-0.427036, actvprof=,2.323029, id=,S03, PRDE,actvstrat=,0.914306, actvprof=,5.418826, id=,S04, PRDE,actvstrat=,-0.553696, actvprof=,0.572216, id=,S05, PRDE,actvstrat=,-0.291697, actvprof=,0.341940, id=,S06, PRDE,actvstrat=,0.975282, actvprof=,1.130820, id=,S07, PRDE,actvstrat=,-0.274853, actvprof=,0.050277, id=,S08, PRDE,actvstrat=,0.966898, actvprof=,0.404162, id=,S09, PRDE,actvstrat=,-0.641668, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,0.038407, actvprof=,0.003889, id=,S11, PRDE,actvstrat=,-0.697096, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.344359, best_B_strat=,0.675185, best_S_id=,S00, best_S_prof=,11.266536, best_S_strat=,0.982269, 
t=,7200, id=,B00, PRDE,actvstrat=,0.329660, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.770142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.673470, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.521426, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.567521, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.987731, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.112146, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.740615, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.369696, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.829779, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.354435, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.460330, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.027928, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.529537, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.631495, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.528338, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.623749, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.225599, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.827832, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.035033, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.150883, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.412637, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.505594, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.402309, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.329660, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.027928, 
t=,10800, id=,B00, PRDE,actvstrat=,0.329660, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.770142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.673470, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,0.521426, actvprof=,0.009444, id=,B04, PRDE,actvstrat=,0.567521, actvprof=,0.029722, id=,B05, PRDE,actvstrat=,0.987731, actvprof=,0.070277, id=,B06, PRDE,actvstrat=,-0.112146, actvprof=,0.132776, id=,B07, PRDE,actvstrat=,0.740615, actvprof=,1.043321, id=,B08, PRDE,actvstrat=,0.369696, actvprof=,1.378873, id=,B09, PRDE,actvstrat=,0.829779, actvprof=,2.851356, id=,B10, PRDE,actvstrat=,0.354435, actvprof=,3.627180, id=,B11, PRDE,actvstrat=,-0.460330, actvprof=,4.138563, id=,S00, PRDE,actvstrat=,0.027928, actvprof=,6.617979, id=,S01, PRDE,actvstrat=,0.529537, actvprof=,8.557401, id=,S02, PRDE,actvstrat=,0.631495, actvprof=,6.934086, id=,S03, PRDE,actvstrat=,-0.528338, actvprof=,1.014710, id=,S04, PRDE,actvstrat=,0.623749, actvprof=,3.531904, id=,S05, PRDE,actvstrat=,-0.225599, actvprof=,0.347218, id=,S06, PRDE,actvstrat=,0.827832, actvprof=,1.953033, id=,S07, PRDE,actvstrat=,0.035033, actvprof=,0.180553, id=,S08, PRDE,actvstrat=,-0.150883, actvprof=,0.010000, id=,S09, PRDE,actvstrat=,-0.412637, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.505594, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.402309, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.138563, best_B_strat=,-0.460330, best_S_id=,S01, best_S_prof=,8.557401, best_S_strat=,0.529537, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.269555, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.770142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.081225, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.353368, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.485122, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.511011, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.674733, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.058708, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.159866, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.829779, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.202608, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.161217, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.852284, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.171003, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.631495, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.784706, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.083227, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.250916, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.684467, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.396517, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.275338, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.641668, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.586201, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.077449, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.269555, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.852284, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.269555, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.770142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.081225, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.353368, actvprof=,0.050556, id=,B04, PRDE,actvstrat=,0.485122, actvprof=,0.228333, id=,B05, PRDE,actvstrat=,-0.511011, actvprof=,0.212778, id=,B06, PRDE,actvstrat=,-0.674733, actvprof=,0.900556, id=,B07, PRDE,actvstrat=,0.058708, actvprof=,1.614444, id=,B08, PRDE,actvstrat=,-0.159866, actvprof=,2.214167, id=,B09, PRDE,actvstrat=,0.829779, actvprof=,3.970000, id=,B10, PRDE,actvstrat=,0.202608, actvprof=,5.111667, id=,B11, PRDE,actvstrat=,-0.161217, actvprof=,5.914444, id=,S00, PRDE,actvstrat=,0.852284, actvprof=,10.211944, id=,S01, PRDE,actvstrat=,-0.171003, actvprof=,2.710278, id=,S02, PRDE,actvstrat=,0.631495, actvprof=,5.391944, id=,S03, PRDE,actvstrat=,0.784706, actvprof=,5.256944, id=,S04, PRDE,actvstrat=,0.083227, actvprof=,1.547500, id=,S05, PRDE,actvstrat=,0.250916, actvprof=,1.017778, id=,S06, PRDE,actvstrat=,0.684467, actvprof=,1.001944, id=,S07, PRDE,actvstrat=,-0.396517, actvprof=,0.028611, id=,S08, PRDE,actvstrat=,-0.275338, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,-0.641668, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.586201, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.077449, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.914444, best_B_strat=,-0.161217, best_S_id=,S00, best_S_prof=,10.211944, best_S_strat=,0.852284, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.269555, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.770142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.081225, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.353368, actvprof=,0.051250, id=,B04, PRDE,actvstrat=,0.485122, actvprof=,0.230001, id=,B05, PRDE,actvstrat=,-0.511011, actvprof=,0.193334, id=,B06, PRDE,actvstrat=,-0.674733, actvprof=,0.846672, id=,B07, PRDE,actvstrat=,0.058708, actvprof=,1.508064, id=,B08, PRDE,actvstrat=,-0.159866, actvprof=,2.166540, id=,B09, PRDE,actvstrat=,0.829779, actvprof=,3.993773, id=,B10, PRDE,actvstrat=,0.202608, actvprof=,5.092252, id=,B11, PRDE,actvstrat=,-0.161217, actvprof=,5.921145, id=,S00, PRDE,actvstrat=,0.852284, actvprof=,10.377977, id=,S01, PRDE,actvstrat=,-0.171003, actvprof=,2.521265, id=,S02, PRDE,actvstrat=,0.631495, actvprof=,5.440726, id=,S03, PRDE,actvstrat=,0.784706, actvprof=,5.109335, id=,S04, PRDE,actvstrat=,0.083227, actvprof=,1.466814, id=,S05, PRDE,actvstrat=,0.250916, actvprof=,0.962089, id=,S06, PRDE,actvstrat=,0.684467, actvprof=,1.017645, id=,S07, PRDE,actvstrat=,-0.396517, actvprof=,0.018611, id=,S08, PRDE,actvstrat=,-0.275338, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.641668, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.586201, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.077449, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.921145, best_B_strat=,-0.161217, best_S_id=,S00, best_S_prof=,10.377977, best_S_strat=,0.852284, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.523217, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.377055, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-0.033784, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,-0.500491, actvprof=,0.046389, id=,B05, PRDE,actvstrat=,0.363810, actvprof=,0.215002, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.700008, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.715842, id=,B08, PRDE,actvstrat=,-0.666685, actvprof=,1.048068, id=,B09, PRDE,actvstrat=,-0.239441, actvprof=,1.723631, id=,B10, PRDE,actvstrat=,0.429913, actvprof=,3.821433, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.314529, id=,S00, PRDE,actvstrat=,0.818904, actvprof=,11.539300, id=,S01, PRDE,actvstrat=,0.533809, actvprof=,7.188972, id=,S02, PRDE,actvstrat=,-0.874981, actvprof=,0.285281, id=,S03, PRDE,actvstrat=,0.636864, actvprof=,4.282550, id=,S04, PRDE,actvstrat=,0.668398, actvprof=,2.905034, id=,S05, PRDE,actvstrat=,-0.154769, actvprof=,0.216391, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.166680, id=,S07, PRDE,actvstrat=,-0.439580, actvprof=,0.005000, id=,S08, PRDE,actvstrat=,-0.660830, actvprof=,0.005278, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.022778, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.174444, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.314529, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.539300, best_S_strat=,0.818904, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.523217, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.377055, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.033784, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,-0.500491, actvprof=,0.031945, id=,B05, PRDE,actvstrat=,0.363810, actvprof=,0.204029, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.688060, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.664032, id=,B08, PRDE,actvstrat=,-0.666685, actvprof=,1.011673, id=,B09, PRDE,actvstrat=,-0.239441, actvprof=,1.707093, id=,B10, PRDE,actvstrat=,0.429913, actvprof=,3.837244, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.301570, id=,S00, PRDE,actvstrat=,0.818904, actvprof=,11.674651, id=,S01, PRDE,actvstrat=,0.533809, actvprof=,7.126013, id=,S02, PRDE,actvstrat=,-0.874981, actvprof=,0.272224, id=,S03, PRDE,actvstrat=,0.636864, actvprof=,4.310025, id=,S04, PRDE,actvstrat=,0.668398, actvprof=,3.030434, id=,S05, PRDE,actvstrat=,-0.154769, actvprof=,0.198751, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.198062, id=,S07, PRDE,actvstrat=,-0.439580, actvprof=,0.009028, id=,S08, PRDE,actvstrat=,-0.660830, actvprof=,0.002639, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.024583, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.174444, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.301570, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.674651, best_S_strat=,0.818904, 
t=,32400, id=,B00, PRDE,actvstrat=,0.329660, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.902780, actvprof=,0.001667, id=,B02, PRDE,actvstrat=,-0.377055, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.521426, actvprof=,0.019167, id=,B04, PRDE,actvstrat=,0.519026, actvprof=,0.105835, id=,B05, PRDE,actvstrat=,-0.026778, actvprof=,0.135002, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.937511, id=,B07, PRDE,actvstrat=,0.058708, actvprof=,0.925288, id=,B08, PRDE,actvstrat=,0.175743, actvprof=,1.763632, id=,B09, PRDE,actvstrat=,-0.284985, actvprof=,2.379750, id=,B10, PRDE,actvstrat=,0.047511, actvprof=,3.930045, id=,B11, PRDE,actvstrat=,0.991977, actvprof=,5.318950, id=,S00, PRDE,actvstrat=,0.818904, actvprof=,10.594845, id=,S01, PRDE,actvstrat=,-0.513129, actvprof=,2.238915, id=,S02, PRDE,actvstrat=,-0.209879, actvprof=,1.395294, id=,S03, PRDE,actvstrat=,0.603523, actvprof=,3.990324, id=,S04, PRDE,actvstrat=,0.316905, actvprof=,1.943356, id=,S05, PRDE,actvstrat=,0.393416, actvprof=,1.108902, id=,S06, PRDE,actvstrat=,0.827832, actvprof=,1.626685, id=,S07, PRDE,actvstrat=,-0.396517, actvprof=,0.058890, id=,S08, PRDE,actvstrat=,-0.146103, actvprof=,0.021111, id=,S09, PRDE,actvstrat=,0.936851, actvprof=,0.283337, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.026667, id=,S11, PRDE,actvstrat=,0.616224, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.318950, best_B_strat=,0.991977, best_S_id=,S00, best_S_prof=,10.594845, best_S_strat=,0.818904, 
t=,36000, id=,B00, PRDE,actvstrat=,0.329660, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.902780, actvprof=,0.001667, id=,B02, PRDE,actvstrat=,-0.377055, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.521426, actvprof=,0.021111, id=,B04, PRDE,actvstrat=,0.519026, actvprof=,0.089167, id=,B05, PRDE,actvstrat=,-0.026778, actvprof=,0.141806, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.010139, id=,B07, PRDE,actvstrat=,0.058708, actvprof=,0.909306, id=,B08, PRDE,actvstrat=,0.175743, actvprof=,1.835972, id=,B09, PRDE,actvstrat=,-0.284985, actvprof=,2.216111, id=,B10, PRDE,actvstrat=,0.047511, actvprof=,3.852778, id=,B11, PRDE,actvstrat=,0.991977, actvprof=,5.300278, id=,S00, PRDE,actvstrat=,0.818904, actvprof=,10.574306, id=,S01, PRDE,actvstrat=,-0.513129, actvprof=,2.104861, id=,S02, PRDE,actvstrat=,-0.209879, actvprof=,1.441667, id=,S03, PRDE,actvstrat=,0.603523, actvprof=,4.001806, id=,S04, PRDE,actvstrat=,0.316905, actvprof=,1.811806, id=,S05, PRDE,actvstrat=,0.393416, actvprof=,1.081111, id=,S06, PRDE,actvstrat=,0.827832, actvprof=,1.557083, id=,S07, PRDE,actvstrat=,-0.396517, actvprof=,0.067222, id=,S08, PRDE,actvstrat=,-0.146103, actvprof=,0.018472, id=,S09, PRDE,actvstrat=,0.936851, actvprof=,0.285556, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.031528, id=,S11, PRDE,actvstrat=,0.616224, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.300278, best_B_strat=,0.991977, best_S_id=,S00, best_S_prof=,10.574306, best_S_strat=,0.818904, 
