t=,3600, id=,B00, PRDE,actvstrat=,-0.921938, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.996058, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.529527, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.165665, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.789001, actvprof=,0.009167, id=,B05, PRDE,actvstrat=,0.371873, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.334905, actvprof=,0.020000, id=,B07, PRDE,actvstrat=,0.908498, actvprof=,0.297774, id=,B08, PRDE,actvstrat=,0.801263, actvprof=,0.559716, id=,B09, PRDE,actvstrat=,0.874001, actvprof=,1.227764, id=,B10, PRDE,actvstrat=,0.633038, actvprof=,1.889423, id=,B11, PRDE,actvstrat=,0.867766, actvprof=,3.057742, id=,S00, PRDE,actvstrat=,-0.564317, actvprof=,6.489647, id=,S01, PRDE,actvstrat=,-0.113482, actvprof=,6.491036, id=,S02, PRDE,actvstrat=,-0.957755, actvprof=,1.426928, id=,S03, PRDE,actvstrat=,-0.548584, actvprof=,2.374695, id=,S04, PRDE,actvstrat=,0.495055, actvprof=,5.397438, id=,S05, PRDE,actvstrat=,-0.856060, actvprof=,0.281108, id=,S06, PRDE,actvstrat=,0.018798, actvprof=,1.222208, id=,S07, PRDE,actvstrat=,0.690592, actvprof=,1.816646, id=,S08, PRDE,actvstrat=,0.541190, actvprof=,0.582771, id=,S09, PRDE,actvstrat=,0.016359, actvprof=,0.084166, id=,S10, PRDE,actvstrat=,-0.590211, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.344758, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.057742, best_B_strat=,0.867766, best_S_id=,S01, best_S_prof=,6.491036, best_S_strat=,-0.113482, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.232495, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.611748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.395077, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.514850, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.945644, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.170510, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.560369, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.906523, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.357692, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.615360, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.853681, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.508334, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.669290, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.648399, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.163529, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.293442, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.117273, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.955905, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.708884, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.043700, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.678882, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.868956, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.190007, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.993606, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.232495, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.669290, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.232495, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.611748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.395077, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.514850, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,0.945644, actvprof=,0.178053, id=,B05, PRDE,actvstrat=,0.170510, actvprof=,0.197498, id=,B06, PRDE,actvstrat=,0.560369, actvprof=,0.873045, id=,B07, PRDE,actvstrat=,-0.906523, actvprof=,1.680814, id=,B08, PRDE,actvstrat=,-0.357692, actvprof=,1.848034, id=,B09, PRDE,actvstrat=,-0.615360, actvprof=,2.710246, id=,B10, PRDE,actvstrat=,0.853681, actvprof=,5.014664, id=,B11, PRDE,actvstrat=,0.508334, actvprof=,7.211583, id=,S00, PRDE,actvstrat=,0.669290, actvprof=,9.751832, id=,S01, PRDE,actvstrat=,0.648399, actvprof=,7.266027, id=,S02, PRDE,actvstrat=,0.163529, actvprof=,3.762456, id=,S03, PRDE,actvstrat=,0.293442, actvprof=,3.108020, id=,S04, PRDE,actvstrat=,-0.117273, actvprof=,0.835824, id=,S05, PRDE,actvstrat=,0.955905, actvprof=,2.806912, id=,S06, PRDE,actvstrat=,-0.708884, actvprof=,0.133610, id=,S07, PRDE,actvstrat=,-0.043700, actvprof=,0.135832, id=,S08, PRDE,actvstrat=,0.678882, actvprof=,0.333052, id=,S09, PRDE,actvstrat=,-0.868956, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.190007, actvprof=,0.005000, id=,S11, PRDE,actvstrat=,-0.993606, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.211583, best_B_strat=,0.508334, best_S_id=,S00, best_S_prof=,9.751832, best_S_strat=,0.669290, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.232495, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.646372, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.744227, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245800, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.945644, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.724985, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.772610, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.621891, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.033471, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.942523, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.603347, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.855756, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.274351, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.567420, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.184175, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.472647, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.495055, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.542496, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.510867, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.336993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.838913, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.628906, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.399630, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.864685, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.232495, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.274351, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.232495, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.646372, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.744227, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245800, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.945644, actvprof=,0.036111, id=,B05, PRDE,actvstrat=,0.724985, actvprof=,0.071389, id=,B06, PRDE,actvstrat=,0.772610, actvprof=,0.315833, id=,B07, PRDE,actvstrat=,-0.621891, actvprof=,0.153333, id=,B08, PRDE,actvstrat=,0.033471, actvprof=,0.517778, id=,B09, PRDE,actvstrat=,0.942523, actvprof=,1.213889, id=,B10, PRDE,actvstrat=,0.603347, actvprof=,2.560556, id=,B11, PRDE,actvstrat=,0.855756, actvprof=,3.273056, id=,S00, PRDE,actvstrat=,0.274351, actvprof=,11.229444, id=,S01, PRDE,actvstrat=,-0.567420, actvprof=,4.761111, id=,S02, PRDE,actvstrat=,0.184175, actvprof=,7.248333, id=,S03, PRDE,actvstrat=,-0.472647, actvprof=,2.653889, id=,S04, PRDE,actvstrat=,0.495055, actvprof=,5.284722, id=,S05, PRDE,actvstrat=,-0.542496, actvprof=,0.895278, id=,S06, PRDE,actvstrat=,-0.510867, actvprof=,0.492500, id=,S07, PRDE,actvstrat=,-0.336993, actvprof=,0.235556, id=,S08, PRDE,actvstrat=,-0.838913, actvprof=,0.022778, id=,S09, PRDE,actvstrat=,0.628906, actvprof=,0.241667, id=,S10, PRDE,actvstrat=,0.399630, actvprof=,0.024722, id=,S11, PRDE,actvstrat=,-0.864685, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.273056, best_B_strat=,0.855756, best_S_id=,S00, best_S_prof=,11.229444, best_S_strat=,0.274351, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.232495, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.646372, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.744227, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245800, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.945644, actvprof=,0.028333, id=,B05, PRDE,actvstrat=,0.724985, actvprof=,0.059028, id=,B06, PRDE,actvstrat=,0.772610, actvprof=,0.284029, id=,B07, PRDE,actvstrat=,-0.621891, actvprof=,0.187918, id=,B08, PRDE,actvstrat=,0.033471, actvprof=,0.520003, id=,B09, PRDE,actvstrat=,0.942523, actvprof=,1.305563, id=,B10, PRDE,actvstrat=,0.603347, actvprof=,2.566404, id=,B11, PRDE,actvstrat=,0.855756, actvprof=,3.145157, id=,S00, PRDE,actvstrat=,0.274351, actvprof=,11.160898, id=,S01, PRDE,actvstrat=,-0.567420, actvprof=,4.652249, id=,S02, PRDE,actvstrat=,0.184175, actvprof=,7.340320, id=,S03, PRDE,actvstrat=,-0.472647, actvprof=,2.552237, id=,S04, PRDE,actvstrat=,0.495055, actvprof=,5.297392, id=,S05, PRDE,actvstrat=,-0.542496, actvprof=,0.919728, id=,S06, PRDE,actvstrat=,-0.510867, actvprof=,0.471531, id=,S07, PRDE,actvstrat=,-0.336993, actvprof=,0.231946, id=,S08, PRDE,actvstrat=,-0.838913, actvprof=,0.019722, id=,S09, PRDE,actvstrat=,0.628906, actvprof=,0.226529, id=,S10, PRDE,actvstrat=,0.399630, actvprof=,0.024583, id=,S11, PRDE,actvstrat=,-0.864685, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.145157, best_B_strat=,0.855756, best_S_id=,S00, best_S_prof=,11.160898, best_S_strat=,0.274351, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,-0.259333, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.196077, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,0.614817, actvprof=,0.140557, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.505006, id=,B06, PRDE,actvstrat=,0.588195, actvprof=,1.058346, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.557530, id=,B08, PRDE,actvstrat=,-0.397810, actvprof=,1.583907, id=,B09, PRDE,actvstrat=,0.746108, actvprof=,4.713110, id=,B10, PRDE,actvstrat=,0.045819, actvprof=,5.434785, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,8.405097, id=,S00, PRDE,actvstrat=,0.467798, actvprof=,6.952580, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,9.317608, id=,S02, PRDE,actvstrat=,-0.100992, actvprof=,1.655297, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.686987, id=,S04, PRDE,actvstrat=,-0.530613, actvprof=,0.260836, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.283070, id=,S06, PRDE,actvstrat=,-0.541194, actvprof=,0.026667, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.457505, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.210558, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.420583, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.277847, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.405097, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,9.317608, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.259333, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.196077, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,0.614817, actvprof=,0.126529, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.515003, id=,B06, PRDE,actvstrat=,0.588195, actvprof=,1.031812, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.525570, id=,B08, PRDE,actvstrat=,-0.397810, actvprof=,1.748760, id=,B09, PRDE,actvstrat=,0.746108, actvprof=,4.904056, id=,B10, PRDE,actvstrat=,0.045819, actvprof=,5.436420, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,8.611022, id=,S00, PRDE,actvstrat=,0.467798, actvprof=,6.918651, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,9.246304, id=,S02, PRDE,actvstrat=,-0.100992, actvprof=,1.539314, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.728633, id=,S04, PRDE,actvstrat=,-0.530613, actvprof=,0.226390, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.218063, id=,S06, PRDE,actvstrat=,-0.541194, actvprof=,0.042778, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.443753, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.202779, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000972, id=,S10, PRDE,actvstrat=,-0.420583, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.277847, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.611022, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,9.246304, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.974348, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.611748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.265491, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.955528, actvprof=,0.065277, id=,B04, PRDE,actvstrat=,0.498211, actvprof=,0.118610, id=,B05, PRDE,actvstrat=,0.174889, actvprof=,0.229442, id=,B06, PRDE,actvstrat=,-0.645061, actvprof=,0.519716, id=,B07, PRDE,actvstrat=,0.196315, actvprof=,1.543315, id=,B08, PRDE,actvstrat=,-0.727933, actvprof=,2.055810, id=,B09, PRDE,actvstrat=,0.079170, actvprof=,4.235784, id=,B10, PRDE,actvstrat=,-0.874715, actvprof=,3.880788, id=,B11, PRDE,actvstrat=,0.747188, actvprof=,8.526568, id=,S00, PRDE,actvstrat=,0.467798, actvprof=,6.567146, id=,S01, PRDE,actvstrat=,0.648399, actvprof=,5.549102, id=,S02, PRDE,actvstrat=,-0.173452, actvprof=,0.995266, id=,S03, PRDE,actvstrat=,-0.980695, actvprof=,2.146086, id=,S04, PRDE,actvstrat=,-0.382843, actvprof=,0.133332, id=,S05, PRDE,actvstrat=,0.981923, actvprof=,1.377762, id=,S06, PRDE,actvstrat=,0.217043, actvprof=,0.176109, id=,S07, PRDE,actvstrat=,0.690592, actvprof=,0.171665, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.203609, id=,S09, PRDE,actvstrat=,0.016359, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,-0.993472, actvprof=,0.004722, id=,S11, PRDE,actvstrat=,-0.277847, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.526568, best_B_strat=,0.747188, best_S_id=,S00, best_S_prof=,6.567146, best_S_strat=,0.467798, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.974348, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.611748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.265491, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.955528, actvprof=,0.059306, id=,B04, PRDE,actvstrat=,0.498211, actvprof=,0.114445, id=,B05, PRDE,actvstrat=,0.174889, actvprof=,0.243196, id=,B06, PRDE,actvstrat=,-0.645061, actvprof=,0.452919, id=,B07, PRDE,actvstrat=,0.196315, actvprof=,1.545842, id=,B08, PRDE,actvstrat=,-0.727933, actvprof=,2.014873, id=,B09, PRDE,actvstrat=,0.079170, actvprof=,4.160302, id=,B10, PRDE,actvstrat=,-0.874715, actvprof=,4.157663, id=,B11, PRDE,actvstrat=,0.747188, actvprof=,8.610883, id=,S00, PRDE,actvstrat=,0.467798, actvprof=,6.656566, id=,S01, PRDE,actvstrat=,0.648399, actvprof=,5.570588, id=,S02, PRDE,actvstrat=,-0.173452, actvprof=,1.091395, id=,S03, PRDE,actvstrat=,-0.980695, actvprof=,2.226541, id=,S04, PRDE,actvstrat=,-0.382843, actvprof=,0.190834, id=,S05, PRDE,actvstrat=,0.981923, actvprof=,1.336397, id=,S06, PRDE,actvstrat=,0.217043, actvprof=,0.166251, id=,S07, PRDE,actvstrat=,0.690592, actvprof=,0.146668, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.203473, id=,S09, PRDE,actvstrat=,0.016359, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,-0.993472, actvprof=,0.004167, id=,S11, PRDE,actvstrat=,-0.277847, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.610883, best_B_strat=,0.747188, best_S_id=,S00, best_S_prof=,6.656566, best_S_strat=,0.467798, 
t=,39600, id=,B00, PRDE,actvstrat=,0.430883, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.784481, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.179446, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.933189, actvprof=,0.065556, id=,B05, PRDE,actvstrat=,0.568462, actvprof=,0.087501, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.207225, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.307226, id=,B08, PRDE,actvstrat=,-0.957770, actvprof=,1.470017, id=,B09, PRDE,actvstrat=,0.518004, actvprof=,2.196414, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,2.646975, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,4.336439, id=,S00, PRDE,actvstrat=,-0.365524, actvprof=,5.170893, id=,S01, PRDE,actvstrat=,0.233848, actvprof=,7.060915, id=,S02, PRDE,actvstrat=,0.422938, actvprof=,6.560076, id=,S03, PRDE,actvstrat=,0.706524, actvprof=,6.191183, id=,S04, PRDE,actvstrat=,0.447642, actvprof=,3.365595, id=,S05, PRDE,actvstrat=,-0.758674, actvprof=,0.382227, id=,S06, PRDE,actvstrat=,0.247370, actvprof=,0.858343, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,2.437806, id=,S08, PRDE,actvstrat=,-0.209937, actvprof=,0.055001, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.427505, id=,S10, PRDE,actvstrat=,0.972519, actvprof=,0.088612, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.336439, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,7.060915, best_S_strat=,0.233848, 
