t=,1, id=,B00, PRDE,actvstrat=,0.012392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.084967, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.388717, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.395101, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.690078, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.208886, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.536385, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.725304, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.999081, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.422327, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.766259, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.392433, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.095769, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.964664, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.954028, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.267996, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.365823, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.668936, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.121293, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.022670, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.234394, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.558064, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.886923, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.130661, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.012392, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.095769, 
t=,3600, id=,B00, PRDE,actvstrat=,0.012392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.084967, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.388717, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,0.395101, actvprof=,0.031944, id=,B04, PRDE,actvstrat=,0.690078, actvprof=,0.148608, id=,B05, PRDE,actvstrat=,0.208886, actvprof=,0.180551, id=,B06, PRDE,actvstrat=,-0.536385, actvprof=,0.490544, id=,B07, PRDE,actvstrat=,-0.725304, actvprof=,0.985811, id=,B08, PRDE,actvstrat=,-0.999081, actvprof=,4.273512, id=,B09, PRDE,actvstrat=,-0.422327, actvprof=,2.611884, id=,B10, PRDE,actvstrat=,-0.766259, actvprof=,4.337677, id=,B11, PRDE,actvstrat=,-0.392433, actvprof=,5.773755, id=,S00, PRDE,actvstrat=,0.095769, actvprof=,6.530960, id=,S01, PRDE,actvstrat=,0.964664, actvprof=,7.606491, id=,S02, PRDE,actvstrat=,-0.954028, actvprof=,1.319969, id=,S03, PRDE,actvstrat=,0.267996, actvprof=,2.233559, id=,S04, PRDE,actvstrat=,-0.365823, actvprof=,0.481378, id=,S05, PRDE,actvstrat=,0.668936, actvprof=,0.994144, id=,S06, PRDE,actvstrat=,-0.121293, actvprof=,0.099442, id=,S07, PRDE,actvstrat=,0.022670, actvprof=,0.065832, id=,S08, PRDE,actvstrat=,-0.234394, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.558064, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.886923, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.130661, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.773755, best_B_strat=,-0.392433, best_S_id=,S01, best_S_prof=,7.606491, best_S_strat=,0.964664, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.716026, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.237506, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.779556, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.774469, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.971881, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.518218, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.446190, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.878567, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.369253, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.311866, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.920344, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.303115, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.595637, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.995426, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.866271, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.759749, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.783248, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.110446, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.786214, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.152162, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.850974, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.871431, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.888765, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.186852, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.716026, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.595637, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.716026, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.237506, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.779556, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.774469, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.971881, actvprof=,0.038055, id=,B05, PRDE,actvstrat=,0.518218, actvprof=,0.086109, id=,B06, PRDE,actvstrat=,-0.446190, actvprof=,0.132219, id=,B07, PRDE,actvstrat=,-0.878567, actvprof=,0.647485, id=,B08, PRDE,actvstrat=,0.369253, actvprof=,1.836902, id=,B09, PRDE,actvstrat=,0.311866, actvprof=,2.794658, id=,B10, PRDE,actvstrat=,0.920344, actvprof=,4.445175, id=,B11, PRDE,actvstrat=,-0.303115, actvprof=,4.465730, id=,S00, PRDE,actvstrat=,-0.595637, actvprof=,4.847388, id=,S01, PRDE,actvstrat=,-0.995426, actvprof=,7.755932, id=,S02, PRDE,actvstrat=,-0.866271, actvprof=,1.698572, id=,S03, PRDE,actvstrat=,0.759749, actvprof=,4.879331, id=,S04, PRDE,actvstrat=,-0.783248, actvprof=,0.691651, id=,S05, PRDE,actvstrat=,0.110446, actvprof=,1.151362, id=,S06, PRDE,actvstrat=,0.786214, actvprof=,1.677739, id=,S07, PRDE,actvstrat=,-0.152162, actvprof=,0.101109, id=,S08, PRDE,actvstrat=,-0.850974, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.871431, actvprof=,0.061110, id=,S10, PRDE,actvstrat=,-0.888765, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.186852, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.465730, best_B_strat=,-0.303115, best_S_id=,S01, best_S_prof=,7.755932, best_S_strat=,-0.995426, 
t=,14400, id=,B00, PRDE,actvstrat=,0.491754, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.619708, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.388717, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.051964, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.013642, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.648035, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.536385, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.785256, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.149828, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.805703, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.994149, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.349147, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.595637, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.995426, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.723725, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.346884, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.873241, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.664891, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.383159, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.534909, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.674524, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.677156, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.340765, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.186852, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.491754, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.595637, 
t=,18000, id=,B00, PRDE,actvstrat=,0.491754, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.619708, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.388717, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.051964, actvprof=,0.013611, id=,B04, PRDE,actvstrat=,0.013642, actvprof=,0.026944, id=,B05, PRDE,actvstrat=,-0.648035, actvprof=,0.140832, id=,B06, PRDE,actvstrat=,-0.536385, actvprof=,0.477772, id=,B07, PRDE,actvstrat=,0.785256, actvprof=,2.450805, id=,B08, PRDE,actvstrat=,0.149828, actvprof=,2.534971, id=,B09, PRDE,actvstrat=,0.805703, actvprof=,4.561892, id=,B10, PRDE,actvstrat=,0.994149, actvprof=,5.011331, id=,B11, PRDE,actvstrat=,0.349147, actvprof=,7.806299, id=,S00, PRDE,actvstrat=,-0.595637, actvprof=,5.334383, id=,S01, PRDE,actvstrat=,-0.995426, actvprof=,7.823798, id=,S02, PRDE,actvstrat=,0.723725, actvprof=,6.751589, id=,S03, PRDE,actvstrat=,0.346884, actvprof=,4.049398, id=,S04, PRDE,actvstrat=,0.873241, actvprof=,4.073842, id=,S05, PRDE,actvstrat=,0.664891, actvprof=,2.417472, id=,S06, PRDE,actvstrat=,-0.383159, actvprof=,0.322496, id=,S07, PRDE,actvstrat=,0.534909, actvprof=,0.696103, id=,S08, PRDE,actvstrat=,-0.674524, actvprof=,0.028889, id=,S09, PRDE,actvstrat=,0.677156, actvprof=,0.080555, id=,S10, PRDE,actvstrat=,-0.340765, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,-0.186852, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.806299, best_B_strat=,0.349147, best_S_id=,S01, best_S_prof=,7.823798, best_S_strat=,-0.995426, 
t=,21600, id=,B00, PRDE,actvstrat=,0.491754, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.619708, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.388717, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.051964, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,0.013642, actvprof=,0.049028, id=,B05, PRDE,actvstrat=,-0.648035, actvprof=,0.149029, id=,B06, PRDE,actvstrat=,-0.536385, actvprof=,0.426947, id=,B07, PRDE,actvstrat=,0.785256, actvprof=,2.414458, id=,B08, PRDE,actvstrat=,0.149828, actvprof=,2.566682, id=,B09, PRDE,actvstrat=,0.805703, actvprof=,4.711277, id=,B10, PRDE,actvstrat=,0.994149, actvprof=,4.855584, id=,B11, PRDE,actvstrat=,0.349147, actvprof=,7.614072, id=,S00, PRDE,actvstrat=,-0.595637, actvprof=,5.300170, id=,S01, PRDE,actvstrat=,-0.995426, actvprof=,7.877684, id=,S02, PRDE,actvstrat=,0.723725, actvprof=,6.909901, id=,S03, PRDE,actvstrat=,0.346884, actvprof=,4.048079, id=,S04, PRDE,actvstrat=,0.873241, actvprof=,4.149191, id=,S05, PRDE,actvstrat=,0.664891, actvprof=,2.540015, id=,S06, PRDE,actvstrat=,-0.383159, actvprof=,0.343196, id=,S07, PRDE,actvstrat=,0.534909, actvprof=,0.682504, id=,S08, PRDE,actvstrat=,-0.674524, actvprof=,0.028195, id=,S09, PRDE,actvstrat=,0.677156, actvprof=,0.089306, id=,S10, PRDE,actvstrat=,-0.340765, actvprof=,0.001250, id=,S11, PRDE,actvstrat=,-0.186852, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.614072, best_B_strat=,0.349147, best_S_id=,S01, best_S_prof=,7.877684, best_S_strat=,-0.995426, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.931305, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.630185, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.332648, actvprof=,0.005833, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.038889, id=,B05, PRDE,actvstrat=,0.661397, actvprof=,0.200002, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.997789, id=,B07, PRDE,actvstrat=,-0.444302, actvprof=,0.566951, id=,B08, PRDE,actvstrat=,0.584413, actvprof=,2.546418, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.841144, id=,B10, PRDE,actvstrat=,-0.206833, actvprof=,3.648376, id=,B11, PRDE,actvstrat=,-0.317982, actvprof=,4.927557, id=,S00, PRDE,actvstrat=,0.342267, actvprof=,8.878714, id=,S01, PRDE,actvstrat=,0.502687, actvprof=,7.781201, id=,S02, PRDE,actvstrat=,-0.961360, actvprof=,2.557252, id=,S03, PRDE,actvstrat=,0.035349, actvprof=,2.551418, id=,S04, PRDE,actvstrat=,0.768713, actvprof=,3.660876, id=,S05, PRDE,actvstrat=,-0.127551, actvprof=,0.553618, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.796965, id=,S07, PRDE,actvstrat=,-0.434587, actvprof=,0.025556, id=,S08, PRDE,actvstrat=,-0.875241, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.010833, id=,S10, PRDE,actvstrat=,-0.468046, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.927557, best_B_strat=,-0.317982, best_S_id=,S00, best_S_prof=,8.878714, best_S_strat=,0.342267, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.931305, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.630185, actvprof=,0.002639, id=,B03, PRDE,actvstrat=,-0.332648, actvprof=,0.002917, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.034861, id=,B05, PRDE,actvstrat=,0.661397, actvprof=,0.203057, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.028895, id=,B07, PRDE,actvstrat=,-0.444302, actvprof=,0.550142, id=,B08, PRDE,actvstrat=,0.584413, actvprof=,2.496959, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.761266, id=,B10, PRDE,actvstrat=,-0.206833, actvprof=,3.644188, id=,B11, PRDE,actvstrat=,-0.317982, actvprof=,4.946279, id=,S00, PRDE,actvstrat=,0.342267, actvprof=,8.816579, id=,S01, PRDE,actvstrat=,0.502687, actvprof=,7.747267, id=,S02, PRDE,actvstrat=,-0.961360, actvprof=,2.511542, id=,S03, PRDE,actvstrat=,0.035349, actvprof=,2.782516, id=,S04, PRDE,actvstrat=,0.768713, actvprof=,3.576271, id=,S05, PRDE,actvstrat=,-0.127551, actvprof=,0.553753, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.927372, id=,S07, PRDE,actvstrat=,-0.434587, actvprof=,0.041389, id=,S08, PRDE,actvstrat=,-0.875241, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.015833, id=,S10, PRDE,actvstrat=,-0.468046, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.946279, best_B_strat=,-0.317982, best_S_id=,S00, best_S_prof=,8.816579, best_S_strat=,0.342267, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.282660, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.407668, actvprof=,0.006389, id=,B03, PRDE,actvstrat=,0.601344, actvprof=,0.036389, id=,B04, PRDE,actvstrat=,-0.764469, actvprof=,0.056945, id=,B05, PRDE,actvstrat=,-0.831795, actvprof=,0.234447, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.174747, id=,B07, PRDE,actvstrat=,-0.878567, actvprof=,1.450850, id=,B08, PRDE,actvstrat=,-0.999081, actvprof=,3.944490, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.735055, id=,B10, PRDE,actvstrat=,-0.206833, actvprof=,5.188116, id=,B11, PRDE,actvstrat=,-0.317982, actvprof=,7.233139, id=,S00, PRDE,actvstrat=,0.505513, actvprof=,7.985648, id=,S01, PRDE,actvstrat=,0.794092, actvprof=,7.246751, id=,S02, PRDE,actvstrat=,-0.866271, actvprof=,1.074735, id=,S03, PRDE,actvstrat=,0.731608, actvprof=,3.671987, id=,S04, PRDE,actvstrat=,0.681239, actvprof=,2.326694, id=,S05, PRDE,actvstrat=,0.551439, actvprof=,1.238625, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.842510, id=,S07, PRDE,actvstrat=,-0.152162, actvprof=,0.041667, id=,S08, PRDE,actvstrat=,-0.674524, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,-0.368246, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.296567, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.989373, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.233139, best_B_strat=,-0.317982, best_S_id=,S00, best_S_prof=,7.985648, best_S_strat=,0.505513, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.282660, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.407668, actvprof=,0.003750, id=,B03, PRDE,actvstrat=,0.601344, actvprof=,0.032778, id=,B04, PRDE,actvstrat=,-0.764469, actvprof=,0.075556, id=,B05, PRDE,actvstrat=,-0.831795, actvprof=,0.243194, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.016944, id=,B07, PRDE,actvstrat=,-0.878567, actvprof=,1.405833, id=,B08, PRDE,actvstrat=,-0.999081, actvprof=,4.157917, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.641667, id=,B10, PRDE,actvstrat=,-0.206833, actvprof=,5.225417, id=,B11, PRDE,actvstrat=,-0.317982, actvprof=,7.103056, id=,S00, PRDE,actvstrat=,0.505513, actvprof=,7.785833, id=,S01, PRDE,actvstrat=,0.794092, actvprof=,7.152222, id=,S02, PRDE,actvstrat=,-0.866271, actvprof=,0.979583, id=,S03, PRDE,actvstrat=,0.731608, actvprof=,3.706111, id=,S04, PRDE,actvstrat=,0.681239, actvprof=,2.316667, id=,S05, PRDE,actvstrat=,0.551439, actvprof=,1.243472, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.786389, id=,S07, PRDE,actvstrat=,-0.152162, actvprof=,0.038333, id=,S08, PRDE,actvstrat=,-0.674524, actvprof=,0.004167, id=,S09, PRDE,actvstrat=,-0.368246, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,-0.296567, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.989373, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.103056, best_B_strat=,-0.317982, best_S_id=,S00, best_S_prof=,7.785833, best_S_strat=,0.505513, 
