t=,0, id=,B00, PRDE,actvstrat=,0.081219, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.050965, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.491963, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.757224, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.711235, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.231714, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.647951, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.969774, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.750117, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.282409, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.615138, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.238699, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.368470, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.395157, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.939722, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.749373, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.684338, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.680205, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.044541, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.708113, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.431342, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.344243, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.479729, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.944169, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.081219, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.368470, 
t=,3600, id=,B00, PRDE,actvstrat=,0.081219, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.050965, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,-0.491963, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.757224, actvprof=,0.006944, id=,B04, PRDE,actvstrat=,-0.711235, actvprof=,0.104165, id=,B05, PRDE,actvstrat=,0.231714, actvprof=,0.262497, id=,B06, PRDE,actvstrat=,0.647951, actvprof=,0.924156, id=,B07, PRDE,actvstrat=,0.969774, actvprof=,0.696659, id=,B08, PRDE,actvstrat=,0.750117, actvprof=,2.149697, id=,B09, PRDE,actvstrat=,0.282409, actvprof=,2.383306, id=,B10, PRDE,actvstrat=,0.615138, actvprof=,3.983843, id=,B11, PRDE,actvstrat=,0.238699, actvprof=,5.096885, id=,S00, PRDE,actvstrat=,0.368470, actvprof=,11.211815, id=,S01, PRDE,actvstrat=,0.395157, actvprof=,9.475168, id=,S02, PRDE,actvstrat=,0.939722, actvprof=,8.758232, id=,S03, PRDE,actvstrat=,-0.749373, actvprof=,1.923311, id=,S04, PRDE,actvstrat=,-0.684338, actvprof=,1.277763, id=,S05, PRDE,actvstrat=,0.680205, actvprof=,3.340517, id=,S06, PRDE,actvstrat=,-0.044541, actvprof=,0.740269, id=,S07, PRDE,actvstrat=,-0.708113, actvprof=,0.114443, id=,S08, PRDE,actvstrat=,0.431342, actvprof=,0.305830, id=,S09, PRDE,actvstrat=,-0.344243, actvprof=,0.013333, id=,S10, PRDE,actvstrat=,-0.479729, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.944169, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.096885, best_B_strat=,0.238699, best_S_id=,S00, best_S_prof=,11.211815, best_S_strat=,0.368470, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.056662, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.567192, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.228066, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.442506, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.913639, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.557266, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.461404, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.671681, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.507068, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.470838, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.372654, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.660781, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.305884, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.484861, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.183710, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.495431, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.914676, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.836340, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.565122, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.105819, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.610540, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.720737, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.371872, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.739134, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.056662, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.305884, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.056662, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.567192, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.228066, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.442506, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.913639, actvprof=,0.084443, id=,B05, PRDE,actvstrat=,0.557266, actvprof=,0.214720, id=,B06, PRDE,actvstrat=,0.461404, actvprof=,0.557216, id=,B07, PRDE,actvstrat=,-0.671681, actvprof=,0.764158, id=,B08, PRDE,actvstrat=,0.507068, actvprof=,1.965255, id=,B09, PRDE,actvstrat=,0.470838, actvprof=,2.982188, id=,B10, PRDE,actvstrat=,0.372654, actvprof=,3.949677, id=,B11, PRDE,actvstrat=,0.660781, actvprof=,5.151607, id=,S00, PRDE,actvstrat=,0.305884, actvprof=,8.607956, id=,S01, PRDE,actvstrat=,0.484861, actvprof=,7.619912, id=,S02, PRDE,actvstrat=,-0.183710, actvprof=,2.371084, id=,S03, PRDE,actvstrat=,-0.495431, actvprof=,1.602204, id=,S04, PRDE,actvstrat=,0.914676, actvprof=,5.234106, id=,S05, PRDE,actvstrat=,-0.836340, actvprof=,0.276941, id=,S06, PRDE,actvstrat=,0.565122, actvprof=,1.472205, id=,S07, PRDE,actvstrat=,-0.105819, actvprof=,0.165276, id=,S08, PRDE,actvstrat=,0.610540, actvprof=,0.346107, id=,S09, PRDE,actvstrat=,-0.720737, actvprof=,0.016111, id=,S10, PRDE,actvstrat=,0.371872, actvprof=,0.010833, id=,S11, PRDE,actvstrat=,0.739134, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.151607, best_B_strat=,0.660781, best_S_id=,S00, best_S_prof=,8.607956, best_S_strat=,0.305884, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.490020, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.370924, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.881718, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.169394, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.473303, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.156358, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.069930, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.671681, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.507068, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.588952, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.689754, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.478304, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.305884, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.484861, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.939722, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.386112, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.479862, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.153328, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.565122, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.105819, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.038131, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.720737, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.576381, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.040463, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.490020, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.305884, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.490020, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.370924, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.881718, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.169394, actvprof=,0.022222, id=,B04, PRDE,actvstrat=,-0.473303, actvprof=,0.075556, id=,B05, PRDE,actvstrat=,0.156358, actvprof=,0.363611, id=,B06, PRDE,actvstrat=,0.069930, actvprof=,0.834167, id=,B07, PRDE,actvstrat=,-0.671681, actvprof=,1.344722, id=,B08, PRDE,actvstrat=,0.507068, actvprof=,2.908611, id=,B09, PRDE,actvstrat=,-0.588952, actvprof=,3.285833, id=,B10, PRDE,actvstrat=,-0.689754, actvprof=,4.996667, id=,B11, PRDE,actvstrat=,-0.478304, actvprof=,5.796389, id=,S00, PRDE,actvstrat=,0.305884, actvprof=,6.911389, id=,S01, PRDE,actvstrat=,0.484861, actvprof=,5.559167, id=,S02, PRDE,actvstrat=,0.939722, actvprof=,6.210278, id=,S03, PRDE,actvstrat=,0.386112, actvprof=,2.258333, id=,S04, PRDE,actvstrat=,-0.479862, actvprof=,0.284167, id=,S05, PRDE,actvstrat=,-0.153328, actvprof=,0.215278, id=,S06, PRDE,actvstrat=,0.565122, actvprof=,0.331111, id=,S07, PRDE,actvstrat=,-0.105819, actvprof=,0.041111, id=,S08, PRDE,actvstrat=,0.038131, actvprof=,0.018889, id=,S09, PRDE,actvstrat=,-0.720737, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.576381, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.040463, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.796389, best_B_strat=,-0.478304, best_S_id=,S00, best_S_prof=,6.911389, best_S_strat=,0.305884, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.490020, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.370924, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.881718, actvprof=,0.010556, id=,B03, PRDE,actvstrat=,-0.169394, actvprof=,0.019167, id=,B04, PRDE,actvstrat=,-0.473303, actvprof=,0.065973, id=,B05, PRDE,actvstrat=,0.156358, actvprof=,0.354863, id=,B06, PRDE,actvstrat=,0.069930, actvprof=,0.831810, id=,B07, PRDE,actvstrat=,-0.671681, actvprof=,1.330285, id=,B08, PRDE,actvstrat=,0.507068, actvprof=,3.072379, id=,B09, PRDE,actvstrat=,-0.588952, actvprof=,3.265852, id=,B10, PRDE,actvstrat=,-0.689754, actvprof=,4.907806, id=,B11, PRDE,actvstrat=,-0.478304, actvprof=,5.747117, id=,S00, PRDE,actvstrat=,0.305884, actvprof=,6.540455, id=,S01, PRDE,actvstrat=,0.484861, actvprof=,5.541143, id=,S02, PRDE,actvstrat=,0.939722, actvprof=,6.262675, id=,S03, PRDE,actvstrat=,0.386112, actvprof=,2.350569, id=,S04, PRDE,actvstrat=,-0.479862, actvprof=,0.287363, id=,S05, PRDE,actvstrat=,-0.153328, actvprof=,0.202362, id=,S06, PRDE,actvstrat=,0.565122, actvprof=,0.340696, id=,S07, PRDE,actvstrat=,-0.105819, actvprof=,0.030556, id=,S08, PRDE,actvstrat=,0.038131, actvprof=,0.012639, id=,S09, PRDE,actvstrat=,-0.720737, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.576381, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.040463, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.747117, best_B_strat=,-0.478304, best_S_id=,S00, best_S_prof=,6.540455, best_S_strat=,0.305884, 
t=,25200, id=,B00, PRDE,actvstrat=,0.251708, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.184429, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.143699, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,-0.576702, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.232318, actvprof=,0.003333, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.107222, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.269167, id=,B09, PRDE,actvstrat=,0.635078, actvprof=,0.851389, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,2.808056, id=,B11, PRDE,actvstrat=,0.860793, actvprof=,3.016389, id=,S00, PRDE,actvstrat=,-0.849146, actvprof=,1.829722, id=,S01, PRDE,actvstrat=,-0.028202, actvprof=,7.791667, id=,S02, PRDE,actvstrat=,-0.735034, actvprof=,2.663611, id=,S03, PRDE,actvstrat=,-0.516655, actvprof=,2.320556, id=,S04, PRDE,actvstrat=,-0.237855, actvprof=,1.885278, id=,S05, PRDE,actvstrat=,-0.400536, actvprof=,0.683056, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,4.140000, id=,S07, PRDE,actvstrat=,0.655651, actvprof=,1.645278, id=,S08, PRDE,actvstrat=,-0.547342, actvprof=,0.095000, id=,S09, PRDE,actvstrat=,-0.226959, actvprof=,0.020000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.043333, id=,S11, PRDE,actvstrat=,-0.571249, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.016389, best_B_strat=,0.860793, best_S_id=,S01, best_S_prof=,7.791667, best_S_strat=,-0.028202, 
t=,28800, id=,B00, PRDE,actvstrat=,0.251708, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.184429, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.143699, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000694, id=,B05, PRDE,actvstrat=,-0.576702, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.232318, actvprof=,0.009722, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.105278, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.286668, id=,B09, PRDE,actvstrat=,0.635078, actvprof=,0.902644, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,2.801266, id=,B11, PRDE,actvstrat=,0.860793, actvprof=,2.911545, id=,S00, PRDE,actvstrat=,-0.849146, actvprof=,1.960845, id=,S01, PRDE,actvstrat=,-0.028202, actvprof=,8.055463, id=,S02, PRDE,actvstrat=,-0.735034, actvprof=,2.727794, id=,S03, PRDE,actvstrat=,-0.516655, actvprof=,2.349597, id=,S04, PRDE,actvstrat=,-0.237855, actvprof=,1.949595, id=,S05, PRDE,actvstrat=,-0.400536, actvprof=,0.783755, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,4.064885, id=,S07, PRDE,actvstrat=,0.655651, actvprof=,1.572787, id=,S08, PRDE,actvstrat=,-0.547342, actvprof=,0.070556, id=,S09, PRDE,actvstrat=,-0.226959, actvprof=,0.015833, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.046528, id=,S11, PRDE,actvstrat=,-0.571249, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.911545, best_B_strat=,0.860793, best_S_id=,S01, best_S_prof=,8.055463, best_S_strat=,-0.028202, 
t=,32400, id=,B00, PRDE,actvstrat=,0.008368, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.126115, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.491963, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.574951, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,-0.679884, actvprof=,0.008056, id=,B05, PRDE,actvstrat=,-0.611555, actvprof=,0.060834, id=,B06, PRDE,actvstrat=,0.565617, actvprof=,0.326115, id=,B07, PRDE,actvstrat=,0.942661, actvprof=,0.738064, id=,B08, PRDE,actvstrat=,-0.068410, actvprof=,0.624174, id=,B09, PRDE,actvstrat=,0.449568, actvprof=,1.823632, id=,B10, PRDE,actvstrat=,-0.911614, actvprof=,3.062813, id=,B11, PRDE,actvstrat=,0.860793, actvprof=,3.995880, id=,S00, PRDE,actvstrat=,-0.100200, actvprof=,7.109805, id=,S01, PRDE,actvstrat=,0.539942, actvprof=,9.508443, id=,S02, PRDE,actvstrat=,0.599296, actvprof=,7.920647, id=,S03, PRDE,actvstrat=,-0.516655, actvprof=,1.545296, id=,S04, PRDE,actvstrat=,-0.237855, actvprof=,1.180291, id=,S05, PRDE,actvstrat=,-0.400536, actvprof=,0.711119, id=,S06, PRDE,actvstrat=,0.430837, actvprof=,1.539462, id=,S07, PRDE,actvstrat=,-0.306553, actvprof=,0.175280, id=,S08, PRDE,actvstrat=,-0.547342, actvprof=,0.046389, id=,S09, PRDE,actvstrat=,0.182868, actvprof=,0.060278, id=,S10, PRDE,actvstrat=,-0.873125, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.714272, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.995880, best_B_strat=,0.860793, best_S_id=,S01, best_S_prof=,9.508443, best_S_strat=,0.539942, 
t=,36000, id=,B00, PRDE,actvstrat=,0.008368, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.126115, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.491963, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.574951, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.679884, actvprof=,0.005556, id=,B05, PRDE,actvstrat=,-0.611555, actvprof=,0.047361, id=,B06, PRDE,actvstrat=,0.565617, actvprof=,0.322502, id=,B07, PRDE,actvstrat=,0.942661, actvprof=,0.764310, id=,B08, PRDE,actvstrat=,-0.068410, actvprof=,0.643893, id=,B09, PRDE,actvstrat=,0.449568, actvprof=,1.870566, id=,B10, PRDE,actvstrat=,-0.911614, actvprof=,2.822377, id=,B11, PRDE,actvstrat=,0.860793, actvprof=,3.972801, id=,S00, PRDE,actvstrat=,-0.100200, actvprof=,6.793650, id=,S01, PRDE,actvstrat=,0.539942, actvprof=,9.539777, id=,S02, PRDE,actvstrat=,0.599296, actvprof=,8.025463, id=,S03, PRDE,actvstrat=,-0.516655, actvprof=,1.633204, id=,S04, PRDE,actvstrat=,-0.237855, actvprof=,1.378202, id=,S05, PRDE,actvstrat=,-0.400536, actvprof=,0.686532, id=,S06, PRDE,actvstrat=,0.430837, actvprof=,1.480147, id=,S07, PRDE,actvstrat=,-0.306553, actvprof=,0.149445, id=,S08, PRDE,actvstrat=,-0.547342, actvprof=,0.056806, id=,S09, PRDE,actvstrat=,0.182868, actvprof=,0.070139, id=,S10, PRDE,actvstrat=,-0.873125, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.714272, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.972801, best_B_strat=,0.860793, best_S_id=,S01, best_S_prof=,9.539777, best_S_strat=,0.539942, 
