t=,3600, id=,B00, PRDE,actvstrat=,-0.875210, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.517516, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.634813, actvprof=,0.019444, id=,B03, PRDE,actvstrat=,0.392270, actvprof=,0.083610, id=,B04, PRDE,actvstrat=,-0.167068, actvprof=,0.184998, id=,B05, PRDE,actvstrat=,-0.493517, actvprof=,0.500828, id=,B06, PRDE,actvstrat=,-0.483597, actvprof=,1.063043, id=,B07, PRDE,actvstrat=,0.057919, actvprof=,2.432194, id=,B08, PRDE,actvstrat=,0.217494, actvprof=,3.823845, id=,B09, PRDE,actvstrat=,0.071365, actvprof=,4.890777, id=,B10, PRDE,actvstrat=,-0.625306, actvprof=,6.170206, id=,B11, PRDE,actvstrat=,0.622712, actvprof=,9.655166, id=,S00, PRDE,actvstrat=,0.375818, actvprof=,5.684656, id=,S01, PRDE,actvstrat=,0.780911, actvprof=,6.076874, id=,S02, PRDE,actvstrat=,-0.555175, actvprof=,1.279707, id=,S03, PRDE,actvstrat=,0.960431, actvprof=,3.128853, id=,S04, PRDE,actvstrat=,-0.957098, actvprof=,1.237208, id=,S05, PRDE,actvstrat=,0.715103, actvprof=,1.177486, id=,S06, PRDE,actvstrat=,0.957759, actvprof=,0.975822, id=,S07, PRDE,actvstrat=,0.732532, actvprof=,0.164720, id=,S08, PRDE,actvstrat=,0.833004, actvprof=,0.079999, id=,S09, PRDE,actvstrat=,0.771998, actvprof=,0.007500, id=,S10, PRDE,actvstrat=,0.648302, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.982797, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.655166, best_B_strat=,0.622712, best_S_id=,S01, best_S_prof=,6.076874, best_S_strat=,0.780911, 
t=,7200, id=,B00, PRDE,actvstrat=,0.849983, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.439265, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.943456, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.883818, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.037074, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.067133, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.188273, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.673651, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.198410, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.978852, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.492391, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.438083, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.701658, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.311728, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.288922, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.753635, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.845534, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.679476, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.423180, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.549004, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.409141, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.431572, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.594835, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.834394, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.849983, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.701658, 
t=,10800, id=,B00, PRDE,actvstrat=,0.849983, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.439265, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.943456, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.883818, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-0.037074, actvprof=,0.003333, id=,B05, PRDE,actvstrat=,0.067133, actvprof=,0.040277, id=,B06, PRDE,actvstrat=,0.188273, actvprof=,0.296104, id=,B07, PRDE,actvstrat=,-0.673651, actvprof=,0.382769, id=,B08, PRDE,actvstrat=,-0.198410, actvprof=,0.856369, id=,B09, PRDE,actvstrat=,-0.978852, actvprof=,2.340501, id=,B10, PRDE,actvstrat=,-0.492391, actvprof=,2.941599, id=,B11, PRDE,actvstrat=,-0.438083, actvprof=,3.733525, id=,S00, PRDE,actvstrat=,-0.701658, actvprof=,2.727992, id=,S01, PRDE,actvstrat=,-0.311728, actvprof=,2.059952, id=,S02, PRDE,actvstrat=,-0.288922, actvprof=,1.441633, id=,S03, PRDE,actvstrat=,-0.753635, actvprof=,0.465267, id=,S04, PRDE,actvstrat=,0.845534, actvprof=,3.359089, id=,S05, PRDE,actvstrat=,-0.679476, actvprof=,0.182496, id=,S06, PRDE,actvstrat=,0.423180, actvprof=,0.326104, id=,S07, PRDE,actvstrat=,0.549004, actvprof=,0.118053, id=,S08, PRDE,actvstrat=,0.409141, actvprof=,0.028610, id=,S09, PRDE,actvstrat=,-0.431572, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.594835, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,0.834394, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.733525, best_B_strat=,-0.438083, best_S_id=,S04, best_S_prof=,3.359089, best_S_strat=,0.845534, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.734589, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.931985, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.685566, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.157012, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.320665, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.493517, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.755185, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.005148, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.485157, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.043849, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.621310, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.213247, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.194922, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.458567, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.288922, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.258155, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.999174, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.882565, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.513499, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.549004, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.381568, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.223374, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.031820, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.511156, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.734589, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.194922, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.734589, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.931985, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.685566, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.157012, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.320665, actvprof=,0.018056, id=,B05, PRDE,actvstrat=,-0.493517, actvprof=,0.070278, id=,B06, PRDE,actvstrat=,0.755185, actvprof=,0.742778, id=,B07, PRDE,actvstrat=,0.005148, actvprof=,0.806944, id=,B08, PRDE,actvstrat=,-0.485157, actvprof=,1.192500, id=,B09, PRDE,actvstrat=,-0.043849, actvprof=,2.515000, id=,B10, PRDE,actvstrat=,-0.621310, actvprof=,3.457222, id=,B11, PRDE,actvstrat=,-0.213247, actvprof=,5.478889, id=,S00, PRDE,actvstrat=,-0.194922, actvprof=,3.094167, id=,S01, PRDE,actvstrat=,0.458567, actvprof=,5.594444, id=,S02, PRDE,actvstrat=,-0.288922, actvprof=,1.076944, id=,S03, PRDE,actvstrat=,-0.258155, actvprof=,0.680278, id=,S04, PRDE,actvstrat=,-0.999174, actvprof=,2.645556, id=,S05, PRDE,actvstrat=,0.882565, actvprof=,1.774722, id=,S06, PRDE,actvstrat=,0.513499, actvprof=,0.321111, id=,S07, PRDE,actvstrat=,0.549004, actvprof=,0.106389, id=,S08, PRDE,actvstrat=,0.381568, actvprof=,0.016667, id=,S09, PRDE,actvstrat=,0.223374, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,-0.031820, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.511156, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.478889, best_B_strat=,-0.213247, best_S_id=,S01, best_S_prof=,5.594444, best_S_strat=,0.458567, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.734589, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.931985, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.685566, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.157012, actvprof=,0.005556, id=,B04, PRDE,actvstrat=,-0.320665, actvprof=,0.025695, id=,B05, PRDE,actvstrat=,-0.493517, actvprof=,0.071528, id=,B06, PRDE,actvstrat=,0.755185, actvprof=,0.759310, id=,B07, PRDE,actvstrat=,0.005148, actvprof=,0.787366, id=,B08, PRDE,actvstrat=,-0.485157, actvprof=,1.237785, id=,B09, PRDE,actvstrat=,-0.043849, actvprof=,2.691404, id=,B10, PRDE,actvstrat=,-0.621310, actvprof=,3.664743, id=,B11, PRDE,actvstrat=,-0.213247, actvprof=,5.386281, id=,S00, PRDE,actvstrat=,-0.194922, actvprof=,3.116129, id=,S01, PRDE,actvstrat=,0.458567, actvprof=,5.679338, id=,S02, PRDE,actvstrat=,-0.288922, actvprof=,1.158479, id=,S03, PRDE,actvstrat=,-0.258155, actvprof=,0.683198, id=,S04, PRDE,actvstrat=,-0.999174, actvprof=,2.526542, id=,S05, PRDE,actvstrat=,0.882565, actvprof=,1.852927, id=,S06, PRDE,actvstrat=,0.513499, actvprof=,0.319863, id=,S07, PRDE,actvstrat=,0.549004, actvprof=,0.103195, id=,S08, PRDE,actvstrat=,0.381568, actvprof=,0.020278, id=,S09, PRDE,actvstrat=,0.223374, actvprof=,0.001806, id=,S10, PRDE,actvstrat=,-0.031820, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.511156, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.386281, best_B_strat=,-0.213247, best_S_id=,S01, best_S_prof=,5.679338, best_S_strat=,0.458567, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.194816, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.627506, actvprof=,0.004444, id=,B03, PRDE,actvstrat=,0.420877, actvprof=,0.084723, id=,B04, PRDE,actvstrat=,0.702938, actvprof=,0.472783, id=,B05, PRDE,actvstrat=,0.442191, actvprof=,1.061123, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.053369, id=,B07, PRDE,actvstrat=,-0.214163, actvprof=,2.559752, id=,B08, PRDE,actvstrat=,-0.540329, actvprof=,3.639209, id=,B09, PRDE,actvstrat=,-0.848212, actvprof=,4.995613, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,9.758724, id=,B11, PRDE,actvstrat=,-0.113963, actvprof=,9.971227, id=,S00, PRDE,actvstrat=,-0.251213, actvprof=,1.295848, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.277561, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.721721, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.760020, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.955289, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.506395, id=,S06, PRDE,actvstrat=,0.330335, actvprof=,0.021667, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.167502, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.023889, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.007222, id=,S10, PRDE,actvstrat=,0.598304, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.971227, best_B_strat=,-0.113963, best_S_id=,S01, best_S_prof=,5.277561, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.194816, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.627506, actvprof=,0.003194, id=,B03, PRDE,actvstrat=,0.420877, actvprof=,0.076806, id=,B04, PRDE,actvstrat=,0.702938, actvprof=,0.475558, id=,B05, PRDE,actvstrat=,0.442191, actvprof=,0.968200, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.196824, id=,B07, PRDE,actvstrat=,-0.214163, actvprof=,2.549043, id=,B08, PRDE,actvstrat=,-0.540329, actvprof=,3.824050, id=,B09, PRDE,actvstrat=,-0.848212, actvprof=,5.105030, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,9.614083, id=,B11, PRDE,actvstrat=,-0.113963, actvprof=,10.256448, id=,S00, PRDE,actvstrat=,-0.251213, actvprof=,1.485425, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.341420, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.966418, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.814038, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.946117, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.529031, id=,S06, PRDE,actvstrat=,0.330335, actvprof=,0.043889, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.158890, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.035834, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.006806, id=,S10, PRDE,actvstrat=,0.598304, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.256448, best_B_strat=,-0.113963, best_S_id=,S01, best_S_prof=,5.341420, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.859691, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.103402, actvprof=,0.004167, id=,B02, PRDE,actvstrat=,-0.627506, actvprof=,0.005556, id=,B03, PRDE,actvstrat=,0.420877, actvprof=,0.148057, id=,B04, PRDE,actvstrat=,-0.198845, actvprof=,0.155002, id=,B05, PRDE,actvstrat=,-0.085092, actvprof=,0.460839, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.011412, id=,B07, PRDE,actvstrat=,0.231220, actvprof=,2.310305, id=,B08, PRDE,actvstrat=,-0.448701, actvprof=,2.634197, id=,B09, PRDE,actvstrat=,-0.012256, actvprof=,4.503108, id=,B10, PRDE,actvstrat=,0.658959, actvprof=,7.048693, id=,B11, PRDE,actvstrat=,0.622712, actvprof=,9.240107, id=,S00, PRDE,actvstrat=,0.937534, actvprof=,8.819824, id=,S01, PRDE,actvstrat=,0.610245, actvprof=,5.508119, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.606465, id=,S03, PRDE,actvstrat=,0.463851, actvprof=,1.934745, id=,S04, PRDE,actvstrat=,0.845534, actvprof=,2.349194, id=,S05, PRDE,actvstrat=,0.523810, actvprof=,0.706675, id=,S06, PRDE,actvstrat=,0.081895, actvprof=,0.100557, id=,S07, PRDE,actvstrat=,0.990945, actvprof=,0.362782, id=,S08, PRDE,actvstrat=,0.912387, actvprof=,0.080556, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.024167, id=,S10, PRDE,actvstrat=,-0.698545, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.834394, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.240107, best_B_strat=,0.622712, best_S_id=,S00, best_S_prof=,8.819824, best_S_strat=,0.937534, 
t=,36000, id=,B00, PRDE,actvstrat=,0.859691, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.103402, actvprof=,0.003333, id=,B02, PRDE,actvstrat=,-0.627506, actvprof=,0.006389, id=,B03, PRDE,actvstrat=,0.420877, actvprof=,0.134029, id=,B04, PRDE,actvstrat=,-0.198845, actvprof=,0.165418, id=,B05, PRDE,actvstrat=,-0.085092, actvprof=,0.461669, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.010012, id=,B07, PRDE,actvstrat=,0.231220, actvprof=,2.152512, id=,B08, PRDE,actvstrat=,-0.448701, actvprof=,2.600709, id=,B09, PRDE,actvstrat=,-0.012256, actvprof=,4.298219, id=,B10, PRDE,actvstrat=,0.658959, actvprof=,7.196569, id=,B11, PRDE,actvstrat=,0.622712, actvprof=,9.036997, id=,S00, PRDE,actvstrat=,0.937534, actvprof=,8.825746, id=,S01, PRDE,actvstrat=,0.610245, actvprof=,5.438643, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.622816, id=,S03, PRDE,actvstrat=,0.463851, actvprof=,1.967650, id=,S04, PRDE,actvstrat=,0.845534, actvprof=,2.432236, id=,S05, PRDE,actvstrat=,0.523810, actvprof=,0.666671, id=,S06, PRDE,actvstrat=,0.081895, actvprof=,0.104723, id=,S07, PRDE,actvstrat=,0.990945, actvprof=,0.376947, id=,S08, PRDE,actvstrat=,0.912387, actvprof=,0.081945, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.025417, id=,S10, PRDE,actvstrat=,-0.698545, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.834394, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.036997, best_B_strat=,0.622712, best_S_id=,S00, best_S_prof=,8.825746, best_S_strat=,0.937534, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.558308, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.825354, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.420877, actvprof=,0.024167, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.083334, id=,B05, PRDE,actvstrat=,-0.062052, actvprof=,0.138335, id=,B06, PRDE,actvstrat=,-0.734331, actvprof=,0.463339, id=,B07, PRDE,actvstrat=,0.788988, actvprof=,1.608074, id=,B08, PRDE,actvstrat=,0.537753, actvprof=,2.078635, id=,B09, PRDE,actvstrat=,-0.817026, actvprof=,3.072536, id=,B10, PRDE,actvstrat=,0.674033, actvprof=,4.279494, id=,B11, PRDE,actvstrat=,0.574651, actvprof=,6.205627, id=,S00, PRDE,actvstrat=,0.454409, actvprof=,9.139550, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.622611, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.473420, id=,S03, PRDE,actvstrat=,0.825124, actvprof=,5.680066, id=,S04, PRDE,actvstrat=,-0.324882, actvprof=,0.530839, id=,S05, PRDE,actvstrat=,-0.752328, actvprof=,0.165557, id=,S06, PRDE,actvstrat=,0.510767, actvprof=,0.784731, id=,S07, PRDE,actvstrat=,-0.302089, actvprof=,0.030278, id=,S08, PRDE,actvstrat=,0.211333, actvprof=,0.055834, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.147224, id=,S10, PRDE,actvstrat=,-0.458824, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.447329, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.205627, best_B_strat=,0.574651, best_S_id=,S01, best_S_prof=,9.622611, best_S_strat=,1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.558308, actvprof=,0.000139, id=,B02, PRDE,actvstrat=,-0.825354, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.420877, actvprof=,0.026111, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.128751, id=,B05, PRDE,actvstrat=,-0.062052, actvprof=,0.116806, id=,B06, PRDE,actvstrat=,-0.734331, actvprof=,0.453336, id=,B07, PRDE,actvstrat=,0.788988, actvprof=,1.630704, id=,B08, PRDE,actvstrat=,0.537753, actvprof=,2.146262, id=,B09, PRDE,actvstrat=,-0.817026, actvprof=,3.010017, id=,B10, PRDE,actvstrat=,0.674033, actvprof=,4.435442, id=,B11, PRDE,actvstrat=,0.574651, actvprof=,6.051979, id=,S00, PRDE,actvstrat=,0.454409, actvprof=,8.937691, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.451721, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.520182, id=,S03, PRDE,actvstrat=,0.825124, actvprof=,5.571282, id=,S04, PRDE,actvstrat=,-0.324882, actvprof=,0.526114, id=,S05, PRDE,actvstrat=,-0.752328, actvprof=,0.153056, id=,S06, PRDE,actvstrat=,0.510767, actvprof=,0.711393, id=,S07, PRDE,actvstrat=,-0.302089, actvprof=,0.044306, id=,S08, PRDE,actvstrat=,0.211333, actvprof=,0.058473, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.144445, id=,S10, PRDE,actvstrat=,-0.458824, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.447329, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.051979, best_B_strat=,0.574651, best_S_id=,S01, best_S_prof=,9.451721, best_S_strat=,1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.194816, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.439265, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.631525, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.420877, actvprof=,0.033056, id=,B04, PRDE,actvstrat=,-0.728306, actvprof=,0.097780, id=,B05, PRDE,actvstrat=,0.442191, actvprof=,0.796407, id=,B06, PRDE,actvstrat=,-0.967679, actvprof=,1.652816, id=,B07, PRDE,actvstrat=,0.057919, actvprof=,2.162550, id=,B08, PRDE,actvstrat=,-0.540329, actvprof=,2.748119, id=,B09, PRDE,actvstrat=,-0.848212, actvprof=,4.303155, id=,B10, PRDE,actvstrat=,0.674033, actvprof=,7.650733, id=,B11, PRDE,actvstrat=,-0.220765, actvprof=,8.515475, id=,S00, PRDE,actvstrat=,-0.194922, actvprof=,2.258941, id=,S01, PRDE,actvstrat=,0.780911, actvprof=,5.947638, id=,S02, PRDE,actvstrat=,-0.029176, actvprof=,1.441978, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.489224, id=,S04, PRDE,actvstrat=,0.845534, actvprof=,1.973101, id=,S05, PRDE,actvstrat=,0.882565, actvprof=,1.087247, id=,S06, PRDE,actvstrat=,0.957759, actvprof=,0.743628, id=,S07, PRDE,actvstrat=,0.093830, actvprof=,0.014167, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.073613, id=,S09, PRDE,actvstrat=,-0.967864, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,-0.458824, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.992777, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.515475, best_B_strat=,-0.220765, best_S_id=,S01, best_S_prof=,5.947638, best_S_strat=,0.780911, 
