t=,3600, id=,B00, PRDE,actvstrat=,-0.574756, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.528591, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.671767, actvprof=,0.004444, id=,B03, PRDE,actvstrat=,0.653943, actvprof=,0.101665, id=,B04, PRDE,actvstrat=,-0.148022, actvprof=,0.087221, id=,B05, PRDE,actvstrat=,-0.391208, actvprof=,0.301663, id=,B06, PRDE,actvstrat=,0.643058, actvprof=,1.746924, id=,B07, PRDE,actvstrat=,-0.095446, actvprof=,1.746091, id=,B08, PRDE,actvstrat=,-0.186471, actvprof=,2.721913, id=,B09, PRDE,actvstrat=,0.552105, actvprof=,5.009942, id=,B10, PRDE,actvstrat=,0.380100, actvprof=,5.989931, id=,B11, PRDE,actvstrat=,-0.684093, actvprof=,7.324082, id=,S00, PRDE,actvstrat=,0.637349, actvprof=,8.752676, id=,S01, PRDE,actvstrat=,0.372139, actvprof=,5.817710, id=,S02, PRDE,actvstrat=,0.914259, actvprof=,6.280483, id=,S03, PRDE,actvstrat=,-0.381956, actvprof=,1.018599, id=,S04, PRDE,actvstrat=,0.964057, actvprof=,3.089686, id=,S05, PRDE,actvstrat=,-0.367582, actvprof=,0.250830, id=,S06, PRDE,actvstrat=,0.584182, actvprof=,0.639437, id=,S07, PRDE,actvstrat=,0.142843, actvprof=,0.172220, id=,S08, PRDE,actvstrat=,0.458465, actvprof=,0.071110, id=,S09, PRDE,actvstrat=,0.256925, actvprof=,0.006667, id=,S10, PRDE,actvstrat=,-0.077589, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.681645, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.324082, best_B_strat=,-0.684093, best_S_id=,S00, best_S_prof=,8.752676, best_S_strat=,0.637349, 
t=,7200, id=,B00, PRDE,actvstrat=,0.641178, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.623206, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.932242, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.794145, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.982794, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.394951, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.219225, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.462213, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.664272, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.757921, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.607679, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.075892, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.489119, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.421760, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.953746, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.136317, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.790164, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.029815, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.518034, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.805763, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.214047, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.688529, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.756399, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.170551, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.641178, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.489119, 
t=,10800, id=,B00, PRDE,actvstrat=,0.641178, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.623206, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.932242, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.794145, actvprof=,0.011944, id=,B04, PRDE,actvstrat=,-0.982794, actvprof=,0.093331, id=,B05, PRDE,actvstrat=,0.394951, actvprof=,0.102220, id=,B06, PRDE,actvstrat=,-0.219225, actvprof=,0.189718, id=,B07, PRDE,actvstrat=,0.462213, actvprof=,0.865258, id=,B08, PRDE,actvstrat=,0.664272, actvprof=,1.816902, id=,B09, PRDE,actvstrat=,-0.757921, actvprof=,1.869679, id=,B10, PRDE,actvstrat=,0.607679, actvprof=,3.660749, id=,B11, PRDE,actvstrat=,0.075892, actvprof=,4.203792, id=,S00, PRDE,actvstrat=,-0.489119, actvprof=,4.562672, id=,S01, PRDE,actvstrat=,-0.421760, actvprof=,3.745747, id=,S02, PRDE,actvstrat=,0.953746, actvprof=,7.960094, id=,S03, PRDE,actvstrat=,-0.136317, actvprof=,1.900234, id=,S04, PRDE,actvstrat=,-0.790164, actvprof=,0.573042, id=,S05, PRDE,actvstrat=,-0.029815, actvprof=,0.919979, id=,S06, PRDE,actvstrat=,0.518034, actvprof=,1.062198, id=,S07, PRDE,actvstrat=,0.805763, actvprof=,0.969700, id=,S08, PRDE,actvstrat=,-0.214047, actvprof=,0.036666, id=,S09, PRDE,actvstrat=,0.688529, actvprof=,0.046110, id=,S10, PRDE,actvstrat=,0.756399, actvprof=,0.006389, id=,S11, PRDE,actvstrat=,0.170551, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.203792, best_B_strat=,0.075892, best_S_id=,S02, best_S_prof=,7.960094, best_S_strat=,0.953746, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.502592, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.301650, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.986098, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.840562, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.643073, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.281663, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.693673, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.578875, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.557572, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.252318, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.023191, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.839630, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.895411, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.709053, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.915249, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.723773, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.540604, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.937208, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.648944, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.715286, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.382528, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.541271, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.476356, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.040677, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.502592, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.895411, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.502592, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.301650, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.986098, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.840562, actvprof=,0.025556, id=,B04, PRDE,actvstrat=,-0.643073, actvprof=,0.065000, id=,B05, PRDE,actvstrat=,-0.281663, actvprof=,0.104722, id=,B06, PRDE,actvstrat=,-0.693673, actvprof=,0.483611, id=,B07, PRDE,actvstrat=,0.578875, actvprof=,1.367500, id=,B08, PRDE,actvstrat=,-0.557572, actvprof=,1.245833, id=,B09, PRDE,actvstrat=,-0.252318, actvprof=,2.236389, id=,B10, PRDE,actvstrat=,0.023191, actvprof=,3.251111, id=,B11, PRDE,actvstrat=,0.839630, actvprof=,4.696667, id=,S00, PRDE,actvstrat=,0.895411, actvprof=,12.216111, id=,S01, PRDE,actvstrat=,-0.709053, actvprof=,3.031111, id=,S02, PRDE,actvstrat=,-0.915249, actvprof=,1.137222, id=,S03, PRDE,actvstrat=,0.723773, actvprof=,6.402222, id=,S04, PRDE,actvstrat=,-0.540604, actvprof=,1.184722, id=,S05, PRDE,actvstrat=,-0.937208, actvprof=,0.851944, id=,S06, PRDE,actvstrat=,-0.648944, actvprof=,0.214722, id=,S07, PRDE,actvstrat=,-0.715286, actvprof=,0.122500, id=,S08, PRDE,actvstrat=,0.382528, actvprof=,0.394444, id=,S09, PRDE,actvstrat=,-0.541271, actvprof=,0.019722, id=,S10, PRDE,actvstrat=,-0.476356, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,-0.040677, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.696667, best_B_strat=,0.839630, best_S_id=,S00, best_S_prof=,12.216111, best_S_strat=,0.895411, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.502592, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.301650, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.986098, actvprof=,0.002361, id=,B03, PRDE,actvstrat=,-0.840562, actvprof=,0.019583, id=,B04, PRDE,actvstrat=,-0.643073, actvprof=,0.054584, id=,B05, PRDE,actvstrat=,-0.281663, actvprof=,0.101251, id=,B06, PRDE,actvstrat=,-0.693673, actvprof=,0.522781, id=,B07, PRDE,actvstrat=,0.578875, actvprof=,1.359591, id=,B08, PRDE,actvstrat=,-0.557572, actvprof=,1.440008, id=,B09, PRDE,actvstrat=,-0.252318, actvprof=,2.186957, id=,B10, PRDE,actvstrat=,0.023191, actvprof=,3.213769, id=,B11, PRDE,actvstrat=,0.839630, actvprof=,4.689055, id=,S00, PRDE,actvstrat=,0.895411, actvprof=,11.938402, id=,S01, PRDE,actvstrat=,-0.709053, actvprof=,3.235019, id=,S02, PRDE,actvstrat=,-0.915249, actvprof=,1.242091, id=,S03, PRDE,actvstrat=,0.723773, actvprof=,6.257120, id=,S04, PRDE,actvstrat=,-0.540604, actvprof=,1.141951, id=,S05, PRDE,actvstrat=,-0.937208, actvprof=,0.815282, id=,S06, PRDE,actvstrat=,-0.648944, actvprof=,0.255835, id=,S07, PRDE,actvstrat=,-0.715286, actvprof=,0.141390, id=,S08, PRDE,actvstrat=,0.382528, actvprof=,0.390419, id=,S09, PRDE,actvstrat=,-0.541271, actvprof=,0.019861, id=,S10, PRDE,actvstrat=,-0.476356, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,-0.040677, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.689055, best_B_strat=,0.839630, best_S_id=,S00, best_S_prof=,11.938402, best_S_strat=,0.895411, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.565016, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.861490, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.596711, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.959416, actvprof=,0.006667, id=,B05, PRDE,actvstrat=,-0.655212, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.073334, id=,B07, PRDE,actvstrat=,0.593828, actvprof=,0.316115, id=,B08, PRDE,actvstrat=,0.428447, actvprof=,1.301682, id=,B09, PRDE,actvstrat=,-0.550602, actvprof=,1.285570, id=,B10, PRDE,actvstrat=,0.031533, actvprof=,3.854211, id=,B11, PRDE,actvstrat=,-0.998880, actvprof=,6.239794, id=,S00, PRDE,actvstrat=,-0.710167, actvprof=,3.339483, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.642866, id=,S02, PRDE,actvstrat=,-0.165203, actvprof=,2.556696, id=,S03, PRDE,actvstrat=,-0.806249, actvprof=,0.414171, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.728932, id=,S05, PRDE,actvstrat=,0.546638, actvprof=,1.122235, id=,S06, PRDE,actvstrat=,-0.511090, actvprof=,0.025834, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.204169, id=,S08, PRDE,actvstrat=,-0.784340, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.014055, actvprof=,0.003889, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.123998, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.239794, best_B_strat=,-0.998880, best_S_id=,S01, best_S_prof=,7.642866, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.565016, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.861490, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.596711, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.959416, actvprof=,0.004028, id=,B05, PRDE,actvstrat=,-0.655212, actvprof=,0.001250, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.075418, id=,B07, PRDE,actvstrat=,0.593828, actvprof=,0.324032, id=,B08, PRDE,actvstrat=,0.428447, actvprof=,1.321404, id=,B09, PRDE,actvstrat=,-0.550602, actvprof=,1.228348, id=,B10, PRDE,actvstrat=,0.031533, actvprof=,3.932129, id=,B11, PRDE,actvstrat=,-0.998880, actvprof=,6.052292, id=,S00, PRDE,actvstrat=,-0.710167, actvprof=,3.486707, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.629255, id=,S02, PRDE,actvstrat=,-0.165203, actvprof=,2.539613, id=,S03, PRDE,actvstrat=,-0.806249, actvprof=,0.377921, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.617125, id=,S05, PRDE,actvstrat=,0.546638, actvprof=,1.095985, id=,S06, PRDE,actvstrat=,-0.511090, actvprof=,0.019028, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.233475, id=,S08, PRDE,actvstrat=,-0.784340, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.014055, actvprof=,0.001944, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,0.123998, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.052292, best_B_strat=,-0.998880, best_S_id=,S01, best_S_prof=,7.629255, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.810685, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.671724, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.653943, actvprof=,0.017223, id=,B04, PRDE,actvstrat=,-0.982794, actvprof=,0.145281, id=,B05, PRDE,actvstrat=,-0.156415, actvprof=,0.079446, id=,B06, PRDE,actvstrat=,0.197090, actvprof=,0.355564, id=,B07, PRDE,actvstrat=,0.641667, actvprof=,1.253085, id=,B08, PRDE,actvstrat=,0.664272, actvprof=,2.091993, id=,B09, PRDE,actvstrat=,-0.257378, actvprof=,2.167272, id=,B10, PRDE,actvstrat=,0.607679, actvprof=,4.625940, id=,B11, PRDE,actvstrat=,0.075892, actvprof=,5.776800, id=,S00, PRDE,actvstrat=,0.895411, actvprof=,11.542489, id=,S01, PRDE,actvstrat=,0.092555, actvprof=,6.199032, id=,S02, PRDE,actvstrat=,-0.951245, actvprof=,1.724484, id=,S03, PRDE,actvstrat=,-0.355159, actvprof=,1.341420, id=,S04, PRDE,actvstrat=,0.169592, actvprof=,1.859487, id=,S05, PRDE,actvstrat=,0.296338, actvprof=,1.258085, id=,S06, PRDE,actvstrat=,-0.204464, actvprof=,0.242783, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.769184, id=,S08, PRDE,actvstrat=,0.382528, actvprof=,0.139725, id=,S09, PRDE,actvstrat=,-0.292954, actvprof=,0.006667, id=,S10, PRDE,actvstrat=,-0.242005, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.292673, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.776800, best_B_strat=,0.075892, best_S_id=,S00, best_S_prof=,11.542489, best_S_strat=,0.895411, 
t=,36000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.810685, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.671724, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.653943, actvprof=,0.021806, id=,B04, PRDE,actvstrat=,-0.982794, actvprof=,0.141529, id=,B05, PRDE,actvstrat=,-0.156415, actvprof=,0.094307, id=,B06, PRDE,actvstrat=,0.197090, actvprof=,0.383616, id=,B07, PRDE,actvstrat=,0.641667, actvprof=,1.234181, id=,B08, PRDE,actvstrat=,0.664272, actvprof=,2.154747, id=,B09, PRDE,actvstrat=,-0.257378, actvprof=,2.055163, id=,B10, PRDE,actvstrat=,0.607679, actvprof=,4.621859, id=,B11, PRDE,actvstrat=,0.075892, actvprof=,5.502425, id=,S00, PRDE,actvstrat=,0.895411, actvprof=,11.649857, id=,S01, PRDE,actvstrat=,0.092555, actvprof=,6.108682, id=,S02, PRDE,actvstrat=,-0.951245, actvprof=,1.773215, id=,S03, PRDE,actvstrat=,-0.355159, actvprof=,1.235848, id=,S04, PRDE,actvstrat=,0.169592, actvprof=,1.951411, id=,S05, PRDE,actvstrat=,0.296338, actvprof=,1.281404, id=,S06, PRDE,actvstrat=,-0.204464, actvprof=,0.184169, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.765148, id=,S08, PRDE,actvstrat=,0.382528, actvprof=,0.119446, id=,S09, PRDE,actvstrat=,-0.292954, actvprof=,0.003333, id=,S10, PRDE,actvstrat=,-0.242005, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.292673, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.502425, best_B_strat=,0.075892, best_S_id=,S00, best_S_prof=,11.649857, best_S_strat=,0.895411, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.556993, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.668482, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.962247, actvprof=,0.018334, id=,B04, PRDE,actvstrat=,0.652541, actvprof=,0.047224, id=,B05, PRDE,actvstrat=,-0.840314, actvprof=,0.165841, id=,B06, PRDE,actvstrat=,0.586419, actvprof=,0.570860, id=,B07, PRDE,actvstrat=,0.396172, actvprof=,0.898931, id=,B08, PRDE,actvstrat=,0.667106, actvprof=,2.633733, id=,B09, PRDE,actvstrat=,-0.437334, actvprof=,2.037872, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,5.575536, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,8.056484, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,9.417658, id=,S01, PRDE,actvstrat=,0.663177, actvprof=,7.483958, id=,S02, PRDE,actvstrat=,0.674127, actvprof=,5.608593, id=,S03, PRDE,actvstrat=,-0.865116, actvprof=,0.323904, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.602945, id=,S05, PRDE,actvstrat=,-0.065808, actvprof=,0.335293, id=,S06, PRDE,actvstrat=,-0.588446, actvprof=,0.085282, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.383351, id=,S08, PRDE,actvstrat=,0.075453, actvprof=,0.038613, id=,S09, PRDE,actvstrat=,0.153657, actvprof=,0.018056, id=,S10, PRDE,actvstrat=,0.676452, actvprof=,0.008334, id=,S11, PRDE,actvstrat=,-0.208877, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.056484, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,9.417658, best_S_strat=,-1.000000, 
