t=,1, id=,B00, PRDE,actvstrat=,-0.332606, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.541501, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.888736, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.954747, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.724225, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.283487, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.675703, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.663658, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.060981, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.138949, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.002940, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.362720, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.238897, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.659694, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.803729, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.225487, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.669112, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.935726, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.143318, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.568569, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.243378, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.152969, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.298829, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.177636, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.332606, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.238897, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.332606, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.541501, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.888736, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.954747, actvprof=,0.028889, id=,B04, PRDE,actvstrat=,-0.724225, actvprof=,0.042222, id=,B05, PRDE,actvstrat=,0.283487, actvprof=,0.281663, id=,B06, PRDE,actvstrat=,-0.675703, actvprof=,0.413329, id=,B07, PRDE,actvstrat=,0.663658, actvprof=,1.782479, id=,B08, PRDE,actvstrat=,-0.060981, actvprof=,1.654425, id=,B09, PRDE,actvstrat=,0.138949, actvprof=,2.932188, id=,B10, PRDE,actvstrat=,0.002940, actvprof=,3.806900, id=,B11, PRDE,actvstrat=,-0.362720, actvprof=,5.079663, id=,S00, PRDE,actvstrat=,-0.238897, actvprof=,3.765234, id=,S01, PRDE,actvstrat=,0.659694, actvprof=,7.663245, id=,S02, PRDE,actvstrat=,0.803729, actvprof=,7.257138, id=,S03, PRDE,actvstrat=,0.225487, actvprof=,2.322751, id=,S04, PRDE,actvstrat=,0.669112, actvprof=,2.553304, id=,S05, PRDE,actvstrat=,-0.935726, actvprof=,0.331385, id=,S06, PRDE,actvstrat=,0.143318, actvprof=,0.420551, id=,S07, PRDE,actvstrat=,-0.568569, actvprof=,0.015555, id=,S08, PRDE,actvstrat=,0.243378, actvprof=,0.037500, id=,S09, PRDE,actvstrat=,-0.152969, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.298829, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.177636, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.079663, best_B_strat=,-0.362720, best_S_id=,S01, best_S_prof=,7.663245, best_S_strat=,0.659694, 
t=,7200, id=,B00, PRDE,actvstrat=,0.075390, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.917064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.743085, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.266691, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.404182, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.214404, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.322484, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.687014, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.356021, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.821610, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.387002, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.969695, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.112500, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.527528, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.068744, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.055168, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.482417, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.326545, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.453378, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.176655, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.953088, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.793140, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.367311, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.155119, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.075390, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.112500, 
t=,10800, id=,B00, PRDE,actvstrat=,0.075390, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.917064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.743085, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.266691, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.404182, actvprof=,0.042777, id=,B05, PRDE,actvstrat=,0.214404, actvprof=,0.129998, id=,B06, PRDE,actvstrat=,-0.322484, actvprof=,0.191664, id=,B07, PRDE,actvstrat=,0.687014, actvprof=,1.453317, id=,B08, PRDE,actvstrat=,-0.356021, actvprof=,1.081932, id=,B09, PRDE,actvstrat=,-0.821610, actvprof=,2.284140, id=,B10, PRDE,actvstrat=,0.387002, actvprof=,4.072731, id=,B11, PRDE,actvstrat=,-0.969695, actvprof=,5.497436, id=,S00, PRDE,actvstrat=,0.112500, actvprof=,5.683823, id=,S01, PRDE,actvstrat=,0.527528, actvprof=,6.673534, id=,S02, PRDE,actvstrat=,-0.068744, actvprof=,1.981366, id=,S03, PRDE,actvstrat=,0.055168, actvprof=,1.791924, id=,S04, PRDE,actvstrat=,0.482417, actvprof=,1.675814, id=,S05, PRDE,actvstrat=,-0.326545, actvprof=,0.063333, id=,S06, PRDE,actvstrat=,0.453378, actvprof=,0.278052, id=,S07, PRDE,actvstrat=,0.176655, actvprof=,0.081388, id=,S08, PRDE,actvstrat=,0.953088, actvprof=,0.212775, id=,S09, PRDE,actvstrat=,0.793140, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,-0.367311, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.155119, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.497436, best_B_strat=,-0.969695, best_S_id=,S01, best_S_prof=,6.673534, best_S_strat=,0.527528, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.862590, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.917064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.620502, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.954747, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.526136, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.294163, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.999693, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.887266, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.356021, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.922782, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.681065, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.998990, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.853692, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.365825, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.271907, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.223219, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.366813, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.135032, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.457064, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.805372, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.936661, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.233421, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.065551, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.238858, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.862590, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.853692, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.862590, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.917064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.620502, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.954747, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.526136, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.294163, actvprof=,0.008889, id=,B06, PRDE,actvstrat=,-0.999693, actvprof=,0.245556, id=,B07, PRDE,actvstrat=,-0.887266, actvprof=,0.212778, id=,B08, PRDE,actvstrat=,-0.356021, actvprof=,0.360833, id=,B09, PRDE,actvstrat=,0.922782, actvprof=,2.083611, id=,B10, PRDE,actvstrat=,0.681065, actvprof=,3.206111, id=,B11, PRDE,actvstrat=,-0.998990, actvprof=,5.173056, id=,S00, PRDE,actvstrat=,-0.853692, actvprof=,1.008056, id=,S01, PRDE,actvstrat=,-0.365825, actvprof=,2.824167, id=,S02, PRDE,actvstrat=,0.271907, actvprof=,5.438056, id=,S03, PRDE,actvstrat=,0.223219, actvprof=,3.505556, id=,S04, PRDE,actvstrat=,0.366813, actvprof=,2.604444, id=,S05, PRDE,actvstrat=,0.135032, actvprof=,1.428611, id=,S06, PRDE,actvstrat=,-0.457064, actvprof=,0.193056, id=,S07, PRDE,actvstrat=,0.805372, actvprof=,1.105833, id=,S08, PRDE,actvstrat=,0.936661, actvprof=,0.641944, id=,S09, PRDE,actvstrat=,-0.233421, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.065551, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.238858, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.173056, best_B_strat=,-0.998990, best_S_id=,S02, best_S_prof=,5.438056, best_S_strat=,0.271907, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.862590, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.917064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.620502, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.954747, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,-0.526136, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,-0.294163, actvprof=,0.005833, id=,B06, PRDE,actvstrat=,-0.999693, actvprof=,0.245279, id=,B07, PRDE,actvstrat=,-0.887266, actvprof=,0.236668, id=,B08, PRDE,actvstrat=,-0.356021, actvprof=,0.390141, id=,B09, PRDE,actvstrat=,0.922782, actvprof=,2.109734, id=,B10, PRDE,actvstrat=,0.681065, actvprof=,3.245991, id=,B11, PRDE,actvstrat=,-0.998990, actvprof=,5.114335, id=,S00, PRDE,actvstrat=,-0.853692, actvprof=,1.193479, id=,S01, PRDE,actvstrat=,-0.365825, actvprof=,2.961962, id=,S02, PRDE,actvstrat=,0.271907, actvprof=,5.616421, id=,S03, PRDE,actvstrat=,0.223219, actvprof=,3.526687, id=,S04, PRDE,actvstrat=,0.366813, actvprof=,2.681543, id=,S05, PRDE,actvstrat=,0.135032, actvprof=,1.355841, id=,S06, PRDE,actvstrat=,-0.457064, actvprof=,0.163334, id=,S07, PRDE,actvstrat=,0.805372, actvprof=,1.070701, id=,S08, PRDE,actvstrat=,0.936661, actvprof=,0.655420, id=,S09, PRDE,actvstrat=,-0.233421, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.065551, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.238858, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.114335, best_B_strat=,-0.998990, best_S_id=,S02, best_S_prof=,5.616421, best_S_strat=,0.271907, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.291672, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.239011, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,0.460860, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,0.348095, actvprof=,0.055000, id=,B05, PRDE,actvstrat=,0.170863, actvprof=,0.227222, id=,B06, PRDE,actvstrat=,-0.601349, actvprof=,0.408333, id=,B07, PRDE,actvstrat=,-0.129294, actvprof=,1.137778, id=,B08, PRDE,actvstrat=,0.327291, actvprof=,2.823056, id=,B09, PRDE,actvstrat=,-0.634348, actvprof=,3.044444, id=,B10, PRDE,actvstrat=,-0.298279, actvprof=,4.143611, id=,B11, PRDE,actvstrat=,-0.706917, actvprof=,6.156667, id=,S00, PRDE,actvstrat=,-0.643184, actvprof=,1.838611, id=,S01, PRDE,actvstrat=,-0.689496, actvprof=,1.072500, id=,S02, PRDE,actvstrat=,0.790154, actvprof=,5.518611, id=,S03, PRDE,actvstrat=,-0.000551, actvprof=,1.356111, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.707778, id=,S05, PRDE,actvstrat=,0.558665, actvprof=,0.811667, id=,S06, PRDE,actvstrat=,0.512844, actvprof=,0.351667, id=,S07, PRDE,actvstrat=,-0.786143, actvprof=,0.005833, id=,S08, PRDE,actvstrat=,-0.282879, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.748451, actvprof=,0.004722, id=,S10, PRDE,actvstrat=,0.544460, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.156667, best_B_strat=,-0.706917, best_S_id=,S02, best_S_prof=,5.518611, best_S_strat=,0.790154, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.291672, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.239011, actvprof=,0.000694, id=,B03, PRDE,actvstrat=,0.460860, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.348095, actvprof=,0.059584, id=,B05, PRDE,actvstrat=,0.170863, actvprof=,0.232640, id=,B06, PRDE,actvstrat=,-0.601349, actvprof=,0.461530, id=,B07, PRDE,actvstrat=,-0.129294, actvprof=,1.167090, id=,B08, PRDE,actvstrat=,0.327291, actvprof=,2.782099, id=,B09, PRDE,actvstrat=,-0.634348, actvprof=,3.055712, id=,B10, PRDE,actvstrat=,-0.298279, actvprof=,4.150580, id=,B11, PRDE,actvstrat=,-0.706917, actvprof=,6.188786, id=,S00, PRDE,actvstrat=,-0.643184, actvprof=,1.836816, id=,S01, PRDE,actvstrat=,-0.689496, actvprof=,1.143618, id=,S02, PRDE,actvstrat=,0.790154, actvprof=,5.475726, id=,S03, PRDE,actvstrat=,-0.000551, actvprof=,1.310563, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.542098, id=,S05, PRDE,actvstrat=,0.558665, actvprof=,0.811532, id=,S06, PRDE,actvstrat=,0.512844, actvprof=,0.349030, id=,S07, PRDE,actvstrat=,-0.786143, actvprof=,0.006806, id=,S08, PRDE,actvstrat=,-0.282879, actvprof=,0.001806, id=,S09, PRDE,actvstrat=,-0.748451, actvprof=,0.002361, id=,S10, PRDE,actvstrat=,0.544460, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.188786, best_B_strat=,-0.706917, best_S_id=,S02, best_S_prof=,5.475726, best_S_strat=,0.790154, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.529498, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.783229, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.460860, actvprof=,0.019444, id=,B04, PRDE,actvstrat=,0.679316, actvprof=,0.093056, id=,B05, PRDE,actvstrat=,-0.035849, actvprof=,0.071389, id=,B06, PRDE,actvstrat=,-0.237399, actvprof=,0.205278, id=,B07, PRDE,actvstrat=,0.687014, actvprof=,1.168611, id=,B08, PRDE,actvstrat=,0.633583, actvprof=,1.955833, id=,B09, PRDE,actvstrat=,0.894080, actvprof=,2.661389, id=,B10, PRDE,actvstrat=,0.387002, actvprof=,3.938056, id=,B11, PRDE,actvstrat=,-0.661330, actvprof=,4.348333, id=,S00, PRDE,actvstrat=,0.112500, actvprof=,6.848056, id=,S01, PRDE,actvstrat=,-0.913504, actvprof=,0.428611, id=,S02, PRDE,actvstrat=,0.790154, actvprof=,7.542222, id=,S03, PRDE,actvstrat=,0.223219, actvprof=,2.885833, id=,S04, PRDE,actvstrat=,0.454321, actvprof=,2.687500, id=,S05, PRDE,actvstrat=,0.558665, actvprof=,1.950833, id=,S06, PRDE,actvstrat=,0.512844, actvprof=,0.741667, id=,S07, PRDE,actvstrat=,0.176655, actvprof=,0.213056, id=,S08, PRDE,actvstrat=,0.936661, actvprof=,0.460833, id=,S09, PRDE,actvstrat=,0.793140, actvprof=,0.016111, id=,S10, PRDE,actvstrat=,-0.892401, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.906010, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.348333, best_B_strat=,-0.661330, best_S_id=,S02, best_S_prof=,7.542222, best_S_strat=,0.790154, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.529498, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.783229, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.460860, actvprof=,0.015139, id=,B04, PRDE,actvstrat=,0.679316, actvprof=,0.090001, id=,B05, PRDE,actvstrat=,-0.035849, actvprof=,0.090834, id=,B06, PRDE,actvstrat=,-0.237399, actvprof=,0.255557, id=,B07, PRDE,actvstrat=,0.687014, actvprof=,1.155423, id=,B08, PRDE,actvstrat=,0.633583, actvprof=,2.007373, id=,B09, PRDE,actvstrat=,0.894080, actvprof=,2.694738, id=,B10, PRDE,actvstrat=,0.387002, actvprof=,4.014884, id=,B11, PRDE,actvstrat=,-0.661330, actvprof=,4.256136, id=,S00, PRDE,actvstrat=,0.112500, actvprof=,6.946290, id=,S01, PRDE,actvstrat=,-0.913504, actvprof=,0.548059, id=,S02, PRDE,actvstrat=,0.790154, actvprof=,7.774906, id=,S03, PRDE,actvstrat=,0.223219, actvprof=,2.838072, id=,S04, PRDE,actvstrat=,0.454321, actvprof=,2.664877, id=,S05, PRDE,actvstrat=,0.558665, actvprof=,1.699315, id=,S06, PRDE,actvstrat=,0.512844, actvprof=,0.779727, id=,S07, PRDE,actvstrat=,0.176655, actvprof=,0.180418, id=,S08, PRDE,actvstrat=,0.936661, actvprof=,0.446530, id=,S09, PRDE,actvstrat=,0.793140, actvprof=,0.016250, id=,S10, PRDE,actvstrat=,-0.892401, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.906010, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.256136, best_B_strat=,-0.661330, best_S_id=,S02, best_S_prof=,7.774906, best_S_strat=,0.790154, 
