t=,1, id=,B00, PRDE,actvstrat=,-0.588682, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.566851, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.180566, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.673293, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.770610, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.131225, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.719380, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.161286, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.692831, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.847453, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.335002, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.766816, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.990195, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.425130, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.163642, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.776795, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.598886, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.270175, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.148302, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.381914, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.722545, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.380907, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.434108, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.972496, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.588682, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.990195, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.588682, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.566851, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.180566, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.673293, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.770610, actvprof=,0.068888, id=,B05, PRDE,actvstrat=,0.131225, actvprof=,0.291663, id=,B06, PRDE,actvstrat=,-0.719380, actvprof=,0.476106, id=,B07, PRDE,actvstrat=,-0.161286, actvprof=,1.337485, id=,B08, PRDE,actvstrat=,-0.692831, actvprof=,2.129420, id=,B09, PRDE,actvstrat=,0.847453, actvprof=,4.619113, id=,B10, PRDE,actvstrat=,-0.335002, actvprof=,5.365216, id=,B11, PRDE,actvstrat=,0.766816, actvprof=,7.938797, id=,S00, PRDE,actvstrat=,-0.990195, actvprof=,7.551579, id=,S01, PRDE,actvstrat=,0.425130, actvprof=,6.020208, id=,S02, PRDE,actvstrat=,-0.163642, actvprof=,3.196907, id=,S03, PRDE,actvstrat=,0.776795, actvprof=,4.324672, id=,S04, PRDE,actvstrat=,-0.598886, actvprof=,0.925267, id=,S05, PRDE,actvstrat=,0.270175, actvprof=,1.423872, id=,S06, PRDE,actvstrat=,0.148302, actvprof=,0.526383, id=,S07, PRDE,actvstrat=,0.381914, actvprof=,0.401662, id=,S08, PRDE,actvstrat=,0.722545, actvprof=,0.247219, id=,S09, PRDE,actvstrat=,-0.380907, actvprof=,0.005555, id=,S10, PRDE,actvstrat=,-0.434108, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.972496, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.938797, best_B_strat=,0.766816, best_S_id=,S00, best_S_prof=,7.551579, best_S_strat=,-0.990195, 
t=,7200, id=,B00, PRDE,actvstrat=,0.223258, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.971488, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.539066, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.090018, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.359053, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.645761, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.370688, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.809484, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.154808, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.971823, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.197513, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.077935, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.344308, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.066852, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.898899, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.521009, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.398866, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.057748, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.176018, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.420406, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.721391, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.992573, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.820449, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.050413, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.223258, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.344308, 
t=,10800, id=,B00, PRDE,actvstrat=,0.223258, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.971488, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.539066, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.090018, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,-0.359053, actvprof=,0.015278, id=,B05, PRDE,actvstrat=,0.645761, actvprof=,0.182502, id=,B06, PRDE,actvstrat=,-0.370688, actvprof=,0.207225, id=,B07, PRDE,actvstrat=,0.809484, actvprof=,1.226125, id=,B08, PRDE,actvstrat=,0.154808, actvprof=,1.203069, id=,B09, PRDE,actvstrat=,0.971823, actvprof=,1.785854, id=,B10, PRDE,actvstrat=,0.197513, actvprof=,3.017813, id=,B11, PRDE,actvstrat=,0.077935, actvprof=,4.383662, id=,S00, PRDE,actvstrat=,-0.344308, actvprof=,7.931203, id=,S01, PRDE,actvstrat=,0.066852, actvprof=,7.607588, id=,S02, PRDE,actvstrat=,-0.898899, actvprof=,2.125580, id=,S03, PRDE,actvstrat=,0.521009, actvprof=,6.067015, id=,S04, PRDE,actvstrat=,-0.398866, actvprof=,1.766965, id=,S05, PRDE,actvstrat=,0.057748, actvprof=,2.058913, id=,S06, PRDE,actvstrat=,0.176018, actvprof=,1.197514, id=,S07, PRDE,actvstrat=,-0.420406, actvprof=,0.175835, id=,S08, PRDE,actvstrat=,-0.721391, actvprof=,0.033056, id=,S09, PRDE,actvstrat=,-0.992573, actvprof=,0.089168, id=,S10, PRDE,actvstrat=,-0.820449, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.050413, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.383662, best_B_strat=,0.077935, best_S_id=,S00, best_S_prof=,7.931203, best_S_strat=,-0.344308, 
t=,14400, id=,B00, PRDE,actvstrat=,0.223258, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.971488, actvprof=,0.000139, id=,B02, PRDE,actvstrat=,-0.539066, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.090018, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,-0.359053, actvprof=,0.012083, id=,B05, PRDE,actvstrat=,0.645761, actvprof=,0.192084, id=,B06, PRDE,actvstrat=,-0.370688, actvprof=,0.205418, id=,B07, PRDE,actvstrat=,0.809484, actvprof=,1.217090, id=,B08, PRDE,actvstrat=,0.154808, actvprof=,1.195840, id=,B09, PRDE,actvstrat=,0.971823, actvprof=,1.774316, id=,B10, PRDE,actvstrat=,0.197513, actvprof=,3.193491, id=,B11, PRDE,actvstrat=,0.077935, actvprof=,4.358497, id=,S00, PRDE,actvstrat=,-0.344308, actvprof=,7.961991, id=,S01, PRDE,actvstrat=,0.066852, actvprof=,7.609211, id=,S02, PRDE,actvstrat=,-0.898899, actvprof=,2.182374, id=,S03, PRDE,actvstrat=,0.521009, actvprof=,6.009479, id=,S04, PRDE,actvstrat=,-0.398866, actvprof=,1.823205, id=,S05, PRDE,actvstrat=,0.057748, actvprof=,2.153346, id=,S06, PRDE,actvstrat=,0.176018, actvprof=,1.164451, id=,S07, PRDE,actvstrat=,-0.420406, actvprof=,0.156390, id=,S08, PRDE,actvstrat=,-0.721391, actvprof=,0.027500, id=,S09, PRDE,actvstrat=,-0.992573, actvprof=,0.096667, id=,S10, PRDE,actvstrat=,-0.820449, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.050413, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.358497, best_B_strat=,0.077935, best_S_id=,S00, best_S_prof=,7.961991, best_S_strat=,-0.344308, 
t=,18000, id=,B00, PRDE,actvstrat=,0.223258, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.319862, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.242372, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.268214, actvprof=,0.010556, id=,B04, PRDE,actvstrat=,-0.770610, actvprof=,0.090835, id=,B05, PRDE,actvstrat=,-0.694080, actvprof=,0.188615, id=,B06, PRDE,actvstrat=,-0.075455, actvprof=,0.586125, id=,B07, PRDE,actvstrat=,-0.565863, actvprof=,0.949744, id=,B08, PRDE,actvstrat=,-0.637913, actvprof=,1.563370, id=,B09, PRDE,actvstrat=,0.847453, actvprof=,3.673418, id=,B10, PRDE,actvstrat=,0.207785, actvprof=,4.309544, id=,B11, PRDE,actvstrat=,-0.380773, actvprof=,5.069562, id=,S00, PRDE,actvstrat=,-0.980124, actvprof=,4.943448, id=,S01, PRDE,actvstrat=,0.794417, actvprof=,8.936318, id=,S02, PRDE,actvstrat=,0.218856, actvprof=,5.509572, id=,S03, PRDE,actvstrat=,-0.577521, actvprof=,1.705039, id=,S04, PRDE,actvstrat=,-0.398866, actvprof=,1.201972, id=,S05, PRDE,actvstrat=,-0.296684, actvprof=,0.610292, id=,S06, PRDE,actvstrat=,0.176018, actvprof=,0.676127, id=,S07, PRDE,actvstrat=,-0.173187, actvprof=,0.097780, id=,S08, PRDE,actvstrat=,0.356304, actvprof=,0.105002, id=,S09, PRDE,actvstrat=,0.042044, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,-0.864179, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.800538, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.069562, best_B_strat=,-0.380773, best_S_id=,S01, best_S_prof=,8.936318, best_S_strat=,0.794417, 
t=,21600, id=,B00, PRDE,actvstrat=,0.223258, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.319862, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.242372, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.268214, actvprof=,0.010834, id=,B04, PRDE,actvstrat=,-0.770610, actvprof=,0.095418, id=,B05, PRDE,actvstrat=,-0.694080, actvprof=,0.190142, id=,B06, PRDE,actvstrat=,-0.075455, actvprof=,0.497509, id=,B07, PRDE,actvstrat=,-0.565863, actvprof=,0.898349, id=,B08, PRDE,actvstrat=,-0.637913, actvprof=,1.648084, id=,B09, PRDE,actvstrat=,0.847453, actvprof=,3.558534, id=,B10, PRDE,actvstrat=,0.207785, actvprof=,4.232018, id=,B11, PRDE,actvstrat=,-0.380773, actvprof=,4.889807, id=,S00, PRDE,actvstrat=,-0.980124, actvprof=,4.861751, id=,S01, PRDE,actvstrat=,0.794417, actvprof=,9.121547, id=,S02, PRDE,actvstrat=,0.218856, actvprof=,5.325370, id=,S03, PRDE,actvstrat=,-0.577521, actvprof=,1.767531, id=,S04, PRDE,actvstrat=,-0.398866, actvprof=,1.132659, id=,S05, PRDE,actvstrat=,-0.296684, actvprof=,0.616816, id=,S06, PRDE,actvstrat=,0.176018, actvprof=,0.764597, id=,S07, PRDE,actvstrat=,-0.173187, actvprof=,0.099029, id=,S08, PRDE,actvstrat=,0.356304, actvprof=,0.090002, id=,S09, PRDE,actvstrat=,0.042044, actvprof=,0.005417, id=,S10, PRDE,actvstrat=,-0.864179, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.800538, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.889807, best_B_strat=,-0.380773, best_S_id=,S01, best_S_prof=,9.121547, best_S_strat=,0.794417, 
t=,25200, id=,B00, PRDE,actvstrat=,0.120438, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.161021, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.304742, actvprof=,0.032779, id=,B03, PRDE,actvstrat=,-0.439815, actvprof=,0.065279, id=,B04, PRDE,actvstrat=,0.647284, actvprof=,0.596958, id=,B05, PRDE,actvstrat=,-0.640540, actvprof=,0.695572, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.516725, id=,B07, PRDE,actvstrat=,-0.007201, actvprof=,2.509503, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.738999, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.394824, id=,B10, PRDE,actvstrat=,0.226227, actvprof=,6.771546, id=,B11, PRDE,actvstrat=,-0.370217, actvprof=,8.008796, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.710202, id=,S01, PRDE,actvstrat=,0.227704, actvprof=,4.839834, id=,S02, PRDE,actvstrat=,0.835191, actvprof=,5.513461, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.038404, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.094794, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.049770, id=,S06, PRDE,actvstrat=,-0.044616, actvprof=,0.222783, id=,S07, PRDE,actvstrat=,0.499753, actvprof=,0.224727, id=,S08, PRDE,actvstrat=,-0.457028, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,-0.228023, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.709726, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.008796, best_B_strat=,-0.370217, best_S_id=,S00, best_S_prof=,8.710202, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.120438, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.161021, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.304742, actvprof=,0.027362, id=,B03, PRDE,actvstrat=,-0.439815, actvprof=,0.064307, id=,B04, PRDE,actvstrat=,0.647284, actvprof=,0.590566, id=,B05, PRDE,actvstrat=,-0.640540, actvprof=,0.702512, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.503516, id=,B07, PRDE,actvstrat=,-0.007201, actvprof=,2.350180, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.798278, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.628553, id=,B10, PRDE,actvstrat=,0.226227, actvprof=,6.843313, id=,B11, PRDE,actvstrat=,-0.370217, actvprof=,8.059584, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.655706, id=,S01, PRDE,actvstrat=,0.227704, actvprof=,4.826334, id=,S02, PRDE,actvstrat=,0.835191, actvprof=,5.495651, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.166444, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.001719, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.093370, id=,S06, PRDE,actvstrat=,-0.044616, actvprof=,0.232365, id=,S07, PRDE,actvstrat=,0.499753, actvprof=,0.230560, id=,S08, PRDE,actvstrat=,-0.457028, actvprof=,0.005695, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.001528, id=,S10, PRDE,actvstrat=,-0.228023, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.709726, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.059584, best_B_strat=,-0.370217, best_S_id=,S00, best_S_prof=,8.655706, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.120438, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.824290, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.261748, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.090018, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,0.887065, actvprof=,0.076114, id=,B05, PRDE,actvstrat=,-0.492003, actvprof=,0.036946, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.704469, id=,B07, PRDE,actvstrat=,0.225782, actvprof=,0.580854, id=,B08, PRDE,actvstrat=,-0.416161, actvprof=,0.743359, id=,B09, PRDE,actvstrat=,0.731494, actvprof=,3.160388, id=,B10, PRDE,actvstrat=,0.226227, actvprof=,3.697351, id=,B11, PRDE,actvstrat=,0.077935, actvprof=,5.417966, id=,S00, PRDE,actvstrat=,-0.950995, actvprof=,3.286225, id=,S01, PRDE,actvstrat=,0.066852, actvprof=,6.335220, id=,S02, PRDE,actvstrat=,0.835191, actvprof=,8.009723, id=,S03, PRDE,actvstrat=,-0.341169, actvprof=,1.890343, id=,S04, PRDE,actvstrat=,-0.931670, actvprof=,0.867808, id=,S05, PRDE,actvstrat=,-0.687238, actvprof=,0.510573, id=,S06, PRDE,actvstrat=,0.176018, actvprof=,0.649745, id=,S07, PRDE,actvstrat=,0.995397, actvprof=,0.830029, id=,S08, PRDE,actvstrat=,-0.666897, actvprof=,0.013889, id=,S09, PRDE,actvstrat=,-0.656032, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.606702, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,-0.709726, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.417966, best_B_strat=,0.077935, best_S_id=,S02, best_S_prof=,8.009723, best_S_strat=,0.835191, 
t=,36000, id=,B00, PRDE,actvstrat=,0.120438, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.824290, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.261748, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.090018, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,0.887065, actvprof=,0.089863, id=,B05, PRDE,actvstrat=,-0.492003, actvprof=,0.022223, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.692234, id=,B07, PRDE,actvstrat=,0.225782, actvprof=,0.546259, id=,B08, PRDE,actvstrat=,-0.416161, actvprof=,0.828070, id=,B09, PRDE,actvstrat=,0.731494, actvprof=,3.155055, id=,B10, PRDE,actvstrat=,0.226227, actvprof=,3.700620, id=,B11, PRDE,actvstrat=,0.077935, actvprof=,5.303287, id=,S00, PRDE,actvstrat=,-0.950995, actvprof=,3.100887, id=,S01, PRDE,actvstrat=,0.066852, actvprof=,6.412750, id=,S02, PRDE,actvstrat=,0.835191, actvprof=,7.886387, id=,S03, PRDE,actvstrat=,-0.341169, actvprof=,1.882533, id=,S04, PRDE,actvstrat=,-0.931670, actvprof=,0.913905, id=,S05, PRDE,actvstrat=,-0.687238, actvprof=,0.434730, id=,S06, PRDE,actvstrat=,0.176018, actvprof=,0.673762, id=,S07, PRDE,actvstrat=,0.995397, actvprof=,0.785430, id=,S08, PRDE,actvstrat=,-0.666897, actvprof=,0.021806, id=,S09, PRDE,actvstrat=,-0.656032, actvprof=,0.002083, id=,S10, PRDE,actvstrat=,-0.606702, actvprof=,0.000694, id=,S11, PRDE,actvstrat=,-0.709726, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.303287, best_B_strat=,0.077935, best_S_id=,S02, best_S_prof=,7.886387, best_S_strat=,0.835191, 
