t=,0, id=,B00, PRDE,actvstrat=,0.879518, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.373907, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.794347, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.264974, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.481564, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.473868, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.595446, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.739488, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.727341, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.550463, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.510821, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.777961, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.195638, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.369584, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.327538, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.277741, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.261901, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.646994, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.307770, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.891211, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.709112, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.895655, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.543565, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.619677, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.879518, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.195638, 
t=,3600, id=,B00, PRDE,actvstrat=,0.879518, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.373907, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.794347, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.264974, actvprof=,0.010833, id=,B04, PRDE,actvstrat=,-0.481564, actvprof=,0.014167, id=,B05, PRDE,actvstrat=,0.473868, actvprof=,0.356663, id=,B06, PRDE,actvstrat=,-0.595446, actvprof=,0.361107, id=,B07, PRDE,actvstrat=,-0.739488, actvprof=,1.036655, id=,B08, PRDE,actvstrat=,-0.727341, actvprof=,1.733313, id=,B09, PRDE,actvstrat=,-0.550463, actvprof=,2.831356, id=,B10, PRDE,actvstrat=,0.510821, actvprof=,5.487992, id=,B11, PRDE,actvstrat=,-0.777961, actvprof=,5.358827, id=,S00, PRDE,actvstrat=,-0.195638, actvprof=,3.803012, id=,S01, PRDE,actvstrat=,0.369584, actvprof=,4.956887, id=,S02, PRDE,actvstrat=,0.327538, actvprof=,3.998009, id=,S03, PRDE,actvstrat=,0.277741, actvprof=,2.290251, id=,S04, PRDE,actvstrat=,-0.261901, actvprof=,0.575271, id=,S05, PRDE,actvstrat=,-0.646994, actvprof=,0.237775, id=,S06, PRDE,actvstrat=,-0.307770, actvprof=,0.068333, id=,S07, PRDE,actvstrat=,0.891211, actvprof=,0.551383, id=,S08, PRDE,actvstrat=,0.709112, actvprof=,0.070277, id=,S09, PRDE,actvstrat=,-0.895655, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.543565, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.619677, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.487992, best_B_strat=,0.510821, best_S_id=,S01, best_S_prof=,4.956887, best_S_strat=,0.369584, 
t=,7200, id=,B00, PRDE,actvstrat=,0.315197, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.670515, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.471227, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.707001, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.086151, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.067416, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.475592, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.904226, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.350377, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.559823, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.687343, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.748445, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.898646, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.091725, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.950462, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.098146, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.973195, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.494620, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.198641, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.685056, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.029892, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.059878, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.151472, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.349948, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.315197, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.898646, 
t=,10800, id=,B00, PRDE,actvstrat=,0.315197, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.670515, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.471227, actvprof=,0.005000, id=,B03, PRDE,actvstrat=,-0.707001, actvprof=,0.023611, id=,B04, PRDE,actvstrat=,-0.086151, actvprof=,0.059722, id=,B05, PRDE,actvstrat=,0.067416, actvprof=,0.180553, id=,B06, PRDE,actvstrat=,0.475592, actvprof=,0.604437, id=,B07, PRDE,actvstrat=,-0.904226, actvprof=,1.414150, id=,B08, PRDE,actvstrat=,0.350377, actvprof=,1.917478, id=,B09, PRDE,actvstrat=,-0.559823, actvprof=,1.881367, id=,B10, PRDE,actvstrat=,0.687343, actvprof=,4.355227, id=,B11, PRDE,actvstrat=,0.748445, actvprof=,5.662990, id=,S00, PRDE,actvstrat=,0.898646, actvprof=,11.727642, id=,S01, PRDE,actvstrat=,0.091725, actvprof=,6.649645, id=,S02, PRDE,actvstrat=,-0.950462, actvprof=,1.931644, id=,S03, PRDE,actvstrat=,-0.098146, actvprof=,2.906911, id=,S04, PRDE,actvstrat=,-0.973195, actvprof=,2.097198, id=,S05, PRDE,actvstrat=,0.494620, actvprof=,2.361917, id=,S06, PRDE,actvstrat=,0.198641, actvprof=,0.883879, id=,S07, PRDE,actvstrat=,-0.685056, actvprof=,0.079721, id=,S08, PRDE,actvstrat=,0.029892, actvprof=,0.159998, id=,S09, PRDE,actvstrat=,0.059878, actvprof=,0.076388, id=,S10, PRDE,actvstrat=,0.151472, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,-0.349948, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.662990, best_B_strat=,0.748445, best_S_id=,S00, best_S_prof=,11.727642, best_S_strat=,0.898646, 
t=,14400, id=,B00, PRDE,actvstrat=,0.581317, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.998329, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.396397, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.243989, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.445407, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.675983, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.475592, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.038876, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.180338, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.347906, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.654853, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.291954, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.196539, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.254855, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.267608, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.098146, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.973195, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.020826, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.055667, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.872567, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.610394, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.059878, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.292657, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.349948, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.581317, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.196539, 
t=,18000, id=,B00, PRDE,actvstrat=,0.581317, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.998329, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.396397, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.243989, actvprof=,0.007778, id=,B04, PRDE,actvstrat=,0.445407, actvprof=,0.080278, id=,B05, PRDE,actvstrat=,-0.675983, actvprof=,0.105833, id=,B06, PRDE,actvstrat=,0.475592, actvprof=,0.607778, id=,B07, PRDE,actvstrat=,0.038876, actvprof=,0.788056, id=,B08, PRDE,actvstrat=,0.180338, actvprof=,1.437500, id=,B09, PRDE,actvstrat=,0.347906, actvprof=,2.794722, id=,B10, PRDE,actvstrat=,0.654853, actvprof=,4.688611, id=,B11, PRDE,actvstrat=,-0.291954, actvprof=,4.714722, id=,S00, PRDE,actvstrat=,-0.196539, actvprof=,5.421667, id=,S01, PRDE,actvstrat=,0.254855, actvprof=,6.446944, id=,S02, PRDE,actvstrat=,0.267608, actvprof=,4.830556, id=,S03, PRDE,actvstrat=,-0.098146, actvprof=,2.029722, id=,S04, PRDE,actvstrat=,-0.973195, actvprof=,1.991944, id=,S05, PRDE,actvstrat=,-0.020826, actvprof=,0.926667, id=,S06, PRDE,actvstrat=,0.055667, actvprof=,0.411667, id=,S07, PRDE,actvstrat=,0.872567, actvprof=,0.902222, id=,S08, PRDE,actvstrat=,-0.610394, actvprof=,0.012222, id=,S09, PRDE,actvstrat=,0.059878, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,0.292657, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.349948, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.714722, best_B_strat=,-0.291954, best_S_id=,S01, best_S_prof=,6.446944, best_S_strat=,0.254855, 
t=,21600, id=,B00, PRDE,actvstrat=,0.581317, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.998329, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.396397, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.243989, actvprof=,0.008056, id=,B04, PRDE,actvstrat=,0.445407, actvprof=,0.093751, id=,B05, PRDE,actvstrat=,-0.675983, actvprof=,0.110556, id=,B06, PRDE,actvstrat=,0.475592, actvprof=,0.578476, id=,B07, PRDE,actvstrat=,0.038876, actvprof=,0.756671, id=,B08, PRDE,actvstrat=,0.180338, actvprof=,1.472370, id=,B09, PRDE,actvstrat=,0.347906, actvprof=,2.866961, id=,B10, PRDE,actvstrat=,0.654853, actvprof=,4.673083, id=,B11, PRDE,actvstrat=,-0.291954, actvprof=,4.650305, id=,S00, PRDE,actvstrat=,-0.196539, actvprof=,5.492671, id=,S01, PRDE,actvstrat=,0.254855, actvprof=,6.513788, id=,S02, PRDE,actvstrat=,0.267608, actvprof=,4.727666, id=,S03, PRDE,actvstrat=,-0.098146, actvprof=,1.932233, id=,S04, PRDE,actvstrat=,-0.973195, actvprof=,1.963622, id=,S05, PRDE,actvstrat=,-0.020826, actvprof=,0.889727, id=,S06, PRDE,actvstrat=,0.055667, actvprof=,0.441947, id=,S07, PRDE,actvstrat=,0.872567, actvprof=,0.932922, id=,S08, PRDE,actvstrat=,-0.610394, actvprof=,0.007500, id=,S09, PRDE,actvstrat=,0.059878, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,0.292657, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.349948, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.673083, best_B_strat=,0.654853, best_S_id=,S01, best_S_prof=,6.513788, best_S_strat=,0.254855, 
t=,25200, id=,B00, PRDE,actvstrat=,0.409328, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.605550, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.652300, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.272044, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,0.363507, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,-0.326735, actvprof=,0.015834, id=,B06, PRDE,actvstrat=,-0.187404, actvprof=,0.085834, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.563062, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.080290, id=,B09, PRDE,actvstrat=,0.730445, actvprof=,3.168648, id=,B10, PRDE,actvstrat=,0.555772, actvprof=,4.224216, id=,B11, PRDE,actvstrat=,-0.389306, actvprof=,3.649487, id=,S00, PRDE,actvstrat=,-0.289378, actvprof=,5.911180, id=,S01, PRDE,actvstrat=,-0.654795, actvprof=,3.548374, id=,S02, PRDE,actvstrat=,-0.784995, actvprof=,1.863633, id=,S03, PRDE,actvstrat=,-0.677690, actvprof=,1.188347, id=,S04, PRDE,actvstrat=,-0.326455, actvprof=,1.063346, id=,S05, PRDE,actvstrat=,0.180049, actvprof=,1.508073, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.733909, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.757231, id=,S08, PRDE,actvstrat=,-0.639125, actvprof=,0.008333, id=,S09, PRDE,actvstrat=,0.978310, actvprof=,0.081112, id=,S10, PRDE,actvstrat=,0.038018, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.430297, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.224216, best_B_strat=,0.555772, best_S_id=,S00, best_S_prof=,5.911180, best_S_strat=,-0.289378, 
t=,28800, id=,B00, PRDE,actvstrat=,0.409328, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.605550, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.652300, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.272044, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.363507, actvprof=,0.006250, id=,B05, PRDE,actvstrat=,-0.326735, actvprof=,0.013056, id=,B06, PRDE,actvstrat=,-0.187404, actvprof=,0.068056, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.525975, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.186257, id=,B09, PRDE,actvstrat=,0.730445, actvprof=,3.070990, id=,B10, PRDE,actvstrat=,0.555772, actvprof=,4.176552, id=,B11, PRDE,actvstrat=,-0.389306, actvprof=,3.675438, id=,S00, PRDE,actvstrat=,-0.289378, actvprof=,5.812534, id=,S01, PRDE,actvstrat=,-0.654795, actvprof=,3.571132, id=,S02, PRDE,actvstrat=,-0.784995, actvprof=,1.894594, id=,S03, PRDE,actvstrat=,-0.677690, actvprof=,1.223340, id=,S04, PRDE,actvstrat=,-0.326455, actvprof=,1.106395, id=,S05, PRDE,actvstrat=,0.180049, actvprof=,1.503759, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.719177, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.753893, id=,S08, PRDE,actvstrat=,-0.639125, actvprof=,0.011667, id=,S09, PRDE,actvstrat=,0.978310, actvprof=,0.075139, id=,S10, PRDE,actvstrat=,0.038018, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.430297, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.176552, best_B_strat=,0.555772, best_S_id=,S00, best_S_prof=,5.812534, best_S_strat=,-0.289378, 
t=,32400, id=,B00, PRDE,actvstrat=,0.790444, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.627879, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.572525, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.901705, actvprof=,0.040834, id=,B04, PRDE,actvstrat=,0.445407, actvprof=,0.078335, id=,B05, PRDE,actvstrat=,-0.469411, actvprof=,0.089724, id=,B06, PRDE,actvstrat=,0.531138, actvprof=,0.785574, id=,B07, PRDE,actvstrat=,-0.904226, actvprof=,1.411144, id=,B08, PRDE,actvstrat=,0.044529, actvprof=,1.667816, id=,B09, PRDE,actvstrat=,0.730445, actvprof=,3.915091, id=,B10, PRDE,actvstrat=,0.687343, actvprof=,5.160119, id=,B11, PRDE,actvstrat=,0.989649, actvprof=,5.141786, id=,S00, PRDE,actvstrat=,0.538938, actvprof=,10.166069, id=,S01, PRDE,actvstrat=,0.091725, actvprof=,6.768212, id=,S02, PRDE,actvstrat=,-0.060960, actvprof=,4.603718, id=,S03, PRDE,actvstrat=,0.302393, actvprof=,4.292599, id=,S04, PRDE,actvstrat=,-0.326455, actvprof=,1.547814, id=,S05, PRDE,actvstrat=,-0.141787, actvprof=,1.095581, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.565314, id=,S07, PRDE,actvstrat=,0.555202, actvprof=,1.052247, id=,S08, PRDE,actvstrat=,-0.639125, actvprof=,0.107225, id=,S09, PRDE,actvstrat=,-0.197866, actvprof=,0.035834, id=,S10, PRDE,actvstrat=,0.151472, actvprof=,0.045279, id=,S11, PRDE,actvstrat=,0.098136, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.160119, best_B_strat=,0.687343, best_S_id=,S00, best_S_prof=,10.166069, best_S_strat=,0.538938, 
t=,36000, id=,B00, PRDE,actvstrat=,0.790444, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.627879, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.572525, actvprof=,0.000972, id=,B03, PRDE,actvstrat=,0.901705, actvprof=,0.048889, id=,B04, PRDE,actvstrat=,0.445407, actvprof=,0.078334, id=,B05, PRDE,actvstrat=,-0.469411, actvprof=,0.101529, id=,B06, PRDE,actvstrat=,0.531138, actvprof=,0.763203, id=,B07, PRDE,actvstrat=,-0.904226, actvprof=,1.418489, id=,B08, PRDE,actvstrat=,0.044529, actvprof=,1.744881, id=,B09, PRDE,actvstrat=,0.730445, actvprof=,3.975185, id=,B10, PRDE,actvstrat=,0.687343, actvprof=,5.216866, id=,B11, PRDE,actvstrat=,0.989649, actvprof=,5.128254, id=,S00, PRDE,actvstrat=,0.538938, actvprof=,10.213174, id=,S01, PRDE,actvstrat=,0.091725, actvprof=,6.478825, id=,S02, PRDE,actvstrat=,-0.060960, actvprof=,4.319633, id=,S03, PRDE,actvstrat=,0.302393, actvprof=,4.285605, id=,S04, PRDE,actvstrat=,-0.326455, actvprof=,1.525573, id=,S05, PRDE,actvstrat=,-0.141787, actvprof=,1.038901, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.531823, id=,S07, PRDE,actvstrat=,0.555202, actvprof=,1.099040, id=,S08, PRDE,actvstrat=,-0.639125, actvprof=,0.099862, id=,S09, PRDE,actvstrat=,-0.197866, actvprof=,0.036667, id=,S10, PRDE,actvstrat=,0.151472, actvprof=,0.036250, id=,S11, PRDE,actvstrat=,0.098136, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.216866, best_B_strat=,0.687343, best_S_id=,S00, best_S_prof=,10.213174, best_S_strat=,0.538938, 
