t=,0, id=,B00, PRDE,actvstrat=,0.317593, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.818611, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.068864, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.753793, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.916679, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.333704, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.651057, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.636095, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.894232, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.534303, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.465578, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.468913, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.429224, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.908918, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.541682, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.550074, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.546676, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.518405, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.743027, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.443479, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.066390, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.962799, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.348436, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.297126, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.317593, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.429224, 
t=,3600, id=,B00, PRDE,actvstrat=,0.317593, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.818611, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.068864, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.753793, actvprof=,0.010000, id=,B04, PRDE,actvstrat=,0.916679, actvprof=,0.118332, id=,B05, PRDE,actvstrat=,0.333704, actvprof=,0.098054, id=,B06, PRDE,actvstrat=,-0.651057, actvprof=,0.202775, id=,B07, PRDE,actvstrat=,0.636095, actvprof=,1.408039, id=,B08, PRDE,actvstrat=,0.894232, actvprof=,1.866923, id=,B09, PRDE,actvstrat=,-0.534303, actvprof=,1.795257, id=,B10, PRDE,actvstrat=,-0.465578, actvprof=,2.847745, id=,B11, PRDE,actvstrat=,-0.468913, actvprof=,4.016065, id=,S00, PRDE,actvstrat=,0.429224, actvprof=,8.932674, id=,S01, PRDE,actvstrat=,-0.908918, actvprof=,0.661381, id=,S02, PRDE,actvstrat=,0.541682, actvprof=,6.118540, id=,S03, PRDE,actvstrat=,0.550074, actvprof=,4.328005, id=,S04, PRDE,actvstrat=,0.546676, actvprof=,2.488305, id=,S05, PRDE,actvstrat=,-0.518405, actvprof=,0.243331, id=,S06, PRDE,actvstrat=,-0.743027, actvprof=,0.071110, id=,S07, PRDE,actvstrat=,0.443479, actvprof=,0.215275, id=,S08, PRDE,actvstrat=,0.066390, actvprof=,0.026666, id=,S09, PRDE,actvstrat=,-0.962799, actvprof=,0.007778, id=,S10, PRDE,actvstrat=,0.348436, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,-0.297126, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.016065, best_B_strat=,-0.468913, best_S_id=,S00, best_S_prof=,8.932674, best_S_strat=,0.429224, 
t=,7200, id=,B00, PRDE,actvstrat=,0.493567, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.407051, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.301108, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.990067, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.988119, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.115269, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.139123, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.088265, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.509185, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.457617, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.318670, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.516062, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.174731, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.759424, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.765569, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.039410, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.703409, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.055681, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.766166, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.611047, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.338534, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.066241, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.209813, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.795065, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.493567, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.174731, 
t=,10800, id=,B00, PRDE,actvstrat=,0.493567, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.407051, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.301108, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.990067, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,-0.988119, actvprof=,0.133608, id=,B05, PRDE,actvstrat=,0.115269, actvprof=,0.214439, id=,B06, PRDE,actvstrat=,0.139123, actvprof=,0.768871, id=,B07, PRDE,actvstrat=,-0.088265, actvprof=,1.093030, id=,B08, PRDE,actvstrat=,0.509185, actvprof=,2.678549, id=,B09, PRDE,actvstrat=,-0.457617, actvprof=,2.845490, id=,B10, PRDE,actvstrat=,-0.318670, actvprof=,4.402398, id=,B11, PRDE,actvstrat=,0.516062, actvprof=,6.813731, id=,S00, PRDE,actvstrat=,0.174731, actvprof=,6.655957, id=,S01, PRDE,actvstrat=,0.759424, actvprof=,7.961482, id=,S02, PRDE,actvstrat=,0.765569, actvprof=,6.332909, id=,S03, PRDE,actvstrat=,0.039410, actvprof=,2.116062, id=,S04, PRDE,actvstrat=,0.703409, actvprof=,2.621050, id=,S05, PRDE,actvstrat=,-0.055681, actvprof=,0.484711, id=,S06, PRDE,actvstrat=,0.766166, actvprof=,1.061087, id=,S07, PRDE,actvstrat=,-0.611047, actvprof=,0.061665, id=,S08, PRDE,actvstrat=,0.338534, actvprof=,0.077220, id=,S09, PRDE,actvstrat=,-0.066241, actvprof=,0.009722, id=,S10, PRDE,actvstrat=,-0.209813, actvprof=,0.003055, id=,S11, PRDE,actvstrat=,0.795065, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.813731, best_B_strat=,0.516062, best_S_id=,S01, best_S_prof=,7.961482, best_S_strat=,0.759424, 
t=,14400, id=,B00, PRDE,actvstrat=,0.931487, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.395586, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.160499, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.365919, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.260154, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.274068, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.799271, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.472526, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.842342, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.172012, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.046253, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.982010, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.174731, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.346320, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.849955, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.184139, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.292563, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.190623, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.390840, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.112349, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.738579, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.923646, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.562617, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.798686, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.931487, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.174731, 
t=,18000, id=,B00, PRDE,actvstrat=,0.931487, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.395586, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.160499, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.365919, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,0.260154, actvprof=,0.007500, id=,B05, PRDE,actvstrat=,-0.274068, actvprof=,0.033611, id=,B06, PRDE,actvstrat=,0.799271, actvprof=,0.459444, id=,B07, PRDE,actvstrat=,0.472526, actvprof=,0.590278, id=,B08, PRDE,actvstrat=,0.842342, actvprof=,1.619444, id=,B09, PRDE,actvstrat=,-0.172012, actvprof=,1.291111, id=,B10, PRDE,actvstrat=,-0.046253, actvprof=,2.365278, id=,B11, PRDE,actvstrat=,0.982010, actvprof=,3.266944, id=,S00, PRDE,actvstrat=,0.174731, actvprof=,9.186667, id=,S01, PRDE,actvstrat=,-0.346320, actvprof=,4.532500, id=,S02, PRDE,actvstrat=,-0.849955, actvprof=,1.702222, id=,S03, PRDE,actvstrat=,0.184139, actvprof=,4.200278, id=,S04, PRDE,actvstrat=,0.292563, actvprof=,3.281389, id=,S05, PRDE,actvstrat=,0.190623, actvprof=,2.248333, id=,S06, PRDE,actvstrat=,0.390840, actvprof=,1.610556, id=,S07, PRDE,actvstrat=,0.112349, actvprof=,0.683056, id=,S08, PRDE,actvstrat=,-0.738579, actvprof=,0.052222, id=,S09, PRDE,actvstrat=,-0.923646, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,-0.562617, actvprof=,0.004722, id=,S11, PRDE,actvstrat=,-0.798686, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.266944, best_B_strat=,0.982010, best_S_id=,S00, best_S_prof=,9.186667, best_S_strat=,0.174731, 
t=,21600, id=,B00, PRDE,actvstrat=,0.931487, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.395586, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.160499, actvprof=,0.002361, id=,B03, PRDE,actvstrat=,0.365919, actvprof=,0.001806, id=,B04, PRDE,actvstrat=,0.260154, actvprof=,0.013750, id=,B05, PRDE,actvstrat=,-0.274068, actvprof=,0.034306, id=,B06, PRDE,actvstrat=,0.799271, actvprof=,0.496392, id=,B07, PRDE,actvstrat=,0.472526, actvprof=,0.631531, id=,B08, PRDE,actvstrat=,0.842342, actvprof=,1.646121, id=,B09, PRDE,actvstrat=,-0.172012, actvprof=,1.328202, id=,B10, PRDE,actvstrat=,-0.046253, actvprof=,2.521542, id=,B11, PRDE,actvstrat=,0.982010, actvprof=,3.156963, id=,S00, PRDE,actvstrat=,0.174731, actvprof=,9.444916, id=,S01, PRDE,actvstrat=,-0.346320, actvprof=,4.275997, id=,S02, PRDE,actvstrat=,-0.849955, actvprof=,1.817233, id=,S03, PRDE,actvstrat=,0.184139, actvprof=,4.251969, id=,S04, PRDE,actvstrat=,0.292563, actvprof=,3.428631, id=,S05, PRDE,actvstrat=,0.190623, actvprof=,2.238069, id=,S06, PRDE,actvstrat=,0.390840, actvprof=,1.746816, id=,S07, PRDE,actvstrat=,0.112349, actvprof=,0.668754, id=,S08, PRDE,actvstrat=,-0.738579, actvprof=,0.066250, id=,S09, PRDE,actvstrat=,-0.923646, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,-0.562617, actvprof=,0.006250, id=,S11, PRDE,actvstrat=,-0.798686, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.156963, best_B_strat=,0.982010, best_S_id=,S00, best_S_prof=,9.444916, best_S_strat=,0.174731, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.758521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.599723, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.332909, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.686272, actvprof=,0.024445, id=,B05, PRDE,actvstrat=,0.921367, actvprof=,0.438899, id=,B06, PRDE,actvstrat=,-0.064582, actvprof=,0.326396, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.720040, id=,B08, PRDE,actvstrat=,0.637553, actvprof=,2.066992, id=,B09, PRDE,actvstrat=,-0.631894, actvprof=,2.182828, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,3.431468, id=,B11, PRDE,actvstrat=,-0.255245, actvprof=,4.395935, id=,S00, PRDE,actvstrat=,-0.211909, actvprof=,5.238732, id=,S01, PRDE,actvstrat=,0.044430, actvprof=,5.539573, id=,S02, PRDE,actvstrat=,0.269007, actvprof=,5.284011, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.461515, id=,S04, PRDE,actvstrat=,-0.614883, actvprof=,0.943911, id=,S05, PRDE,actvstrat=,-0.519826, actvprof=,0.391120, id=,S06, PRDE,actvstrat=,-0.273603, actvprof=,0.224727, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,1.145860, id=,S08, PRDE,actvstrat=,0.310773, actvprof=,0.210838, id=,S09, PRDE,actvstrat=,-0.383727, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,0.879643, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.281821, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.395935, best_B_strat=,-0.255245, best_S_id=,S01, best_S_prof=,5.539573, best_S_strat=,0.044430, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.758521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.599723, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,-0.332909, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-0.686272, actvprof=,0.018889, id=,B05, PRDE,actvstrat=,0.921367, actvprof=,0.440422, id=,B06, PRDE,actvstrat=,-0.064582, actvprof=,0.334309, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.757381, id=,B08, PRDE,actvstrat=,0.637553, actvprof=,1.930300, id=,B09, PRDE,actvstrat=,-0.631894, actvprof=,1.994745, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,3.448790, id=,B11, PRDE,actvstrat=,-0.255245, actvprof=,4.482552, id=,S00, PRDE,actvstrat=,-0.211909, actvprof=,5.332840, id=,S01, PRDE,actvstrat=,0.044430, actvprof=,5.754789, id=,S02, PRDE,actvstrat=,0.269007, actvprof=,5.413535, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.527981, id=,S04, PRDE,actvstrat=,-0.614883, actvprof=,0.880149, id=,S05, PRDE,actvstrat=,-0.519826, actvprof=,0.450700, id=,S06, PRDE,actvstrat=,-0.273603, actvprof=,0.217641, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,1.151263, id=,S08, PRDE,actvstrat=,0.310773, actvprof=,0.178891, id=,S09, PRDE,actvstrat=,-0.383727, actvprof=,0.003333, id=,S10, PRDE,actvstrat=,0.879643, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.281821, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.482552, best_B_strat=,-0.255245, best_S_id=,S01, best_S_prof=,5.754789, best_S_strat=,0.044430, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.909870, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.602042, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.599723, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.918462, actvprof=,0.034723, id=,B04, PRDE,actvstrat=,0.105552, actvprof=,0.056390, id=,B05, PRDE,actvstrat=,0.921367, actvprof=,0.542513, id=,B06, PRDE,actvstrat=,-0.540352, actvprof=,0.493345, id=,B07, PRDE,actvstrat=,0.077902, actvprof=,1.145304, id=,B08, PRDE,actvstrat=,0.637553, actvprof=,2.918123, id=,B09, PRDE,actvstrat=,-0.631894, actvprof=,3.201185, id=,B10, PRDE,actvstrat=,-0.318670, actvprof=,4.098706, id=,B11, PRDE,actvstrat=,0.116923, actvprof=,6.189588, id=,S00, PRDE,actvstrat=,-0.211909, actvprof=,4.132040, id=,S01, PRDE,actvstrat=,0.759424, actvprof=,7.810459, id=,S02, PRDE,actvstrat=,0.813748, actvprof=,6.545707, id=,S03, PRDE,actvstrat=,0.186399, actvprof=,2.218107, id=,S04, PRDE,actvstrat=,0.292563, actvprof=,1.440033, id=,S05, PRDE,actvstrat=,0.828722, actvprof=,2.233941, id=,S06, PRDE,actvstrat=,0.390840, actvprof=,0.419454, id=,S07, PRDE,actvstrat=,-0.866960, actvprof=,0.009167, id=,S08, PRDE,actvstrat=,0.310773, actvprof=,0.056946, id=,S09, PRDE,actvstrat=,-0.383727, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.285397, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.247373, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.189588, best_B_strat=,0.116923, best_S_id=,S01, best_S_prof=,7.810459, best_S_strat=,0.759424, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.909870, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.602042, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.599723, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.918462, actvprof=,0.032500, id=,B04, PRDE,actvstrat=,0.105552, actvprof=,0.049445, id=,B05, PRDE,actvstrat=,0.921367, actvprof=,0.554034, id=,B06, PRDE,actvstrat=,-0.540352, actvprof=,0.423338, id=,B07, PRDE,actvstrat=,0.077902, actvprof=,1.176680, id=,B08, PRDE,actvstrat=,0.637553, actvprof=,2.968784, id=,B09, PRDE,actvstrat=,-0.631894, actvprof=,3.117536, id=,B10, PRDE,actvstrat=,-0.318670, actvprof=,4.089353, id=,B11, PRDE,actvstrat=,0.116923, actvprof=,6.205627, id=,S00, PRDE,actvstrat=,-0.211909, actvprof=,4.176576, id=,S01, PRDE,actvstrat=,0.759424, actvprof=,7.965648, id=,S02, PRDE,actvstrat=,0.813748, actvprof=,6.459936, id=,S03, PRDE,actvstrat=,0.186399, actvprof=,2.370166, id=,S04, PRDE,actvstrat=,0.292563, actvprof=,1.388627, id=,S05, PRDE,actvstrat=,0.828722, actvprof=,2.207526, id=,S06, PRDE,actvstrat=,0.390840, actvprof=,0.439588, id=,S07, PRDE,actvstrat=,-0.866960, actvprof=,0.007639, id=,S08, PRDE,actvstrat=,0.310773, actvprof=,0.060278, id=,S09, PRDE,actvstrat=,-0.383727, actvprof=,0.003472, id=,S10, PRDE,actvstrat=,-0.285397, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.247373, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.205627, best_B_strat=,0.116923, best_S_id=,S01, best_S_prof=,7.965648, best_S_strat=,0.759424, 
