t=,1, id=,B00, PRDE,actvstrat=,-0.577361, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.785847, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.265770, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.306761, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.134512, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.301204, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.776355, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.743172, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.649664, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.209939, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.667092, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.756990, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.640526, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.839848, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.187310, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.595440, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.702996, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.319515, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.815096, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.046032, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.405350, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.131081, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.616040, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.208646, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.577361, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.640526, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.577361, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.785847, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.265770, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.306761, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.134512, actvprof=,0.008055, id=,B05, PRDE,actvstrat=,-0.301204, actvprof=,0.035277, id=,B06, PRDE,actvstrat=,0.776355, actvprof=,0.608049, id=,B07, PRDE,actvstrat=,-0.743172, actvprof=,0.471383, id=,B08, PRDE,actvstrat=,0.649664, actvprof=,2.005255, id=,B09, PRDE,actvstrat=,0.209939, actvprof=,2.404417, id=,B10, PRDE,actvstrat=,-0.667092, actvprof=,2.711358, id=,B11, PRDE,actvstrat=,0.756990, actvprof=,6.096041, id=,S00, PRDE,actvstrat=,-0.640526, actvprof=,7.118251, id=,S01, PRDE,actvstrat=,-0.839848, actvprof=,4.340505, id=,S02, PRDE,actvstrat=,-0.187310, actvprof=,4.828555, id=,S03, PRDE,actvstrat=,0.595440, actvprof=,5.346049, id=,S04, PRDE,actvstrat=,-0.702996, actvprof=,1.586371, id=,S05, PRDE,actvstrat=,0.319515, actvprof=,1.950255, id=,S06, PRDE,actvstrat=,-0.815096, actvprof=,0.447217, id=,S07, PRDE,actvstrat=,-0.046032, actvprof=,0.358885, id=,S08, PRDE,actvstrat=,-0.405350, actvprof=,0.027222, id=,S09, PRDE,actvstrat=,-0.131081, actvprof=,0.025833, id=,S10, PRDE,actvstrat=,-0.616040, actvprof=,0.005000, id=,S11, PRDE,actvstrat=,0.208646, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.096041, best_B_strat=,0.756990, best_S_id=,S00, best_S_prof=,7.118251, best_S_strat=,-0.640526, 
t=,7200, id=,B00, PRDE,actvstrat=,0.607607, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.158727, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.779640, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.352553, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.203721, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.081527, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.710023, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.598898, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.087900, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.979646, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.115732, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.308185, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.850778, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.308849, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.120603, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.130336, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.415520, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.904396, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.183601, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.583641, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.148254, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.393921, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.217163, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.582381, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.607607, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.850778, 
t=,10800, id=,B00, PRDE,actvstrat=,0.607607, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.158727, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.779640, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.352553, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,0.203721, actvprof=,0.059722, id=,B05, PRDE,actvstrat=,-0.081527, actvprof=,0.067777, id=,B06, PRDE,actvstrat=,-0.710023, actvprof=,0.403606, id=,B07, PRDE,actvstrat=,0.598898, actvprof=,1.038877, id=,B08, PRDE,actvstrat=,0.087900, actvprof=,1.236375, id=,B09, PRDE,actvstrat=,-0.979646, actvprof=,2.977466, id=,B10, PRDE,actvstrat=,0.115732, actvprof=,3.152186, id=,B11, PRDE,actvstrat=,-0.308185, actvprof=,3.999398, id=,S00, PRDE,actvstrat=,0.850778, actvprof=,12.053194, id=,S01, PRDE,actvstrat=,-0.308849, actvprof=,4.480226, id=,S02, PRDE,actvstrat=,-0.120603, actvprof=,3.615236, id=,S03, PRDE,actvstrat=,-0.130336, actvprof=,2.126920, id=,S04, PRDE,actvstrat=,-0.415520, actvprof=,1.162209, id=,S05, PRDE,actvstrat=,-0.904396, actvprof=,0.276386, id=,S06, PRDE,actvstrat=,-0.183601, actvprof=,0.304163, id=,S07, PRDE,actvstrat=,-0.583641, actvprof=,0.059722, id=,S08, PRDE,actvstrat=,0.148254, actvprof=,0.102777, id=,S09, PRDE,actvstrat=,-0.393921, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.217163, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.582381, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.999398, best_B_strat=,-0.308185, best_S_id=,S00, best_S_prof=,12.053194, best_S_strat=,0.850778, 
t=,14400, id=,B00, PRDE,actvstrat=,0.099414, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.513939, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.542608, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.921082, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.678809, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.406711, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.326391, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.478521, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.256232, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.552201, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.250668, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.396934, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.569219, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.308849, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.005151, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.255595, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.415520, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.860940, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.284752, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.423538, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.677678, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.238740, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.480594, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.417048, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.099414, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.569219, 
t=,18000, id=,B00, PRDE,actvstrat=,0.099414, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.513939, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.542608, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.921082, actvprof=,0.013611, id=,B04, PRDE,actvstrat=,-0.678809, actvprof=,0.003333, id=,B05, PRDE,actvstrat=,-0.406711, actvprof=,0.051111, id=,B06, PRDE,actvstrat=,0.326391, actvprof=,0.473333, id=,B07, PRDE,actvstrat=,-0.478521, actvprof=,0.531944, id=,B08, PRDE,actvstrat=,0.256232, actvprof=,1.919444, id=,B09, PRDE,actvstrat=,0.552201, actvprof=,3.619444, id=,B10, PRDE,actvstrat=,-0.250668, actvprof=,3.498333, id=,B11, PRDE,actvstrat=,0.396934, actvprof=,6.459444, id=,S00, PRDE,actvstrat=,-0.569219, actvprof=,4.719722, id=,S01, PRDE,actvstrat=,-0.308849, actvprof=,3.894722, id=,S02, PRDE,actvstrat=,0.005151, actvprof=,3.903333, id=,S03, PRDE,actvstrat=,0.255595, actvprof=,3.699722, id=,S04, PRDE,actvstrat=,-0.415520, actvprof=,0.832222, id=,S05, PRDE,actvstrat=,0.860940, actvprof=,2.895556, id=,S06, PRDE,actvstrat=,0.284752, actvprof=,0.663611, id=,S07, PRDE,actvstrat=,-0.423538, actvprof=,0.107778, id=,S08, PRDE,actvstrat=,0.677678, actvprof=,0.220556, id=,S09, PRDE,actvstrat=,-0.238740, actvprof=,0.005000, id=,S10, PRDE,actvstrat=,-0.480594, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.417048, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.459444, best_B_strat=,0.396934, best_S_id=,S00, best_S_prof=,4.719722, best_S_strat=,-0.569219, 
t=,21600, id=,B00, PRDE,actvstrat=,0.099414, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.513939, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.542608, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.921082, actvprof=,0.014583, id=,B04, PRDE,actvstrat=,-0.678809, actvprof=,0.005139, id=,B05, PRDE,actvstrat=,-0.406711, actvprof=,0.054028, id=,B06, PRDE,actvstrat=,0.326391, actvprof=,0.479586, id=,B07, PRDE,actvstrat=,-0.478521, actvprof=,0.519725, id=,B08, PRDE,actvstrat=,0.256232, actvprof=,1.940011, id=,B09, PRDE,actvstrat=,0.552201, actvprof=,3.622104, id=,B10, PRDE,actvstrat=,-0.250668, actvprof=,3.613910, id=,B11, PRDE,actvstrat=,0.396934, actvprof=,6.417259, id=,S00, PRDE,actvstrat=,-0.569219, actvprof=,4.725305, id=,S01, PRDE,actvstrat=,-0.308849, actvprof=,3.777522, id=,S02, PRDE,actvstrat=,0.005151, actvprof=,3.835161, id=,S03, PRDE,actvstrat=,0.255595, actvprof=,3.475159, id=,S04, PRDE,actvstrat=,-0.415520, actvprof=,0.813755, id=,S05, PRDE,actvstrat=,0.860940, actvprof=,2.852239, id=,S06, PRDE,actvstrat=,0.284752, actvprof=,0.707226, id=,S07, PRDE,actvstrat=,-0.423538, actvprof=,0.101389, id=,S08, PRDE,actvstrat=,0.677678, actvprof=,0.202779, id=,S09, PRDE,actvstrat=,-0.238740, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,-0.480594, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.417048, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.417259, best_B_strat=,0.396934, best_S_id=,S00, best_S_prof=,4.725305, best_S_strat=,-0.569219, 
t=,25200, id=,B00, PRDE,actvstrat=,0.501815, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.253094, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.559228, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.331065, actvprof=,0.021111, id=,B04, PRDE,actvstrat=,0.486465, actvprof=,0.156667, id=,B05, PRDE,actvstrat=,0.192448, actvprof=,0.225556, id=,B06, PRDE,actvstrat=,-0.667277, actvprof=,0.453056, id=,B07, PRDE,actvstrat=,-0.010530, actvprof=,0.976944, id=,B08, PRDE,actvstrat=,-0.065441, actvprof=,1.818611, id=,B09, PRDE,actvstrat=,0.055948, actvprof=,3.093611, id=,B10, PRDE,actvstrat=,-0.754921, actvprof=,4.031111, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.519444, id=,S00, PRDE,actvstrat=,-0.060579, actvprof=,4.722222, id=,S01, PRDE,actvstrat=,-0.683606, actvprof=,1.978611, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,5.792778, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.262500, id=,S04, PRDE,actvstrat=,-0.717196, actvprof=,0.288333, id=,S05, PRDE,actvstrat=,0.375670, actvprof=,0.444444, id=,S06, PRDE,actvstrat=,0.142096, actvprof=,0.090833, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.101111, id=,S08, PRDE,actvstrat=,-0.248656, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.517324, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.004304, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.519444, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,5.792778, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.501815, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.253094, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.559228, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.331065, actvprof=,0.016250, id=,B04, PRDE,actvstrat=,0.486465, actvprof=,0.142640, id=,B05, PRDE,actvstrat=,0.192448, actvprof=,0.210140, id=,B06, PRDE,actvstrat=,-0.667277, actvprof=,0.465003, id=,B07, PRDE,actvstrat=,-0.010530, actvprof=,0.985422, id=,B08, PRDE,actvstrat=,-0.065441, actvprof=,1.688065, id=,B09, PRDE,actvstrat=,0.055948, actvprof=,3.150157, id=,B10, PRDE,actvstrat=,-0.754921, actvprof=,3.975717, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.592133, id=,S00, PRDE,actvstrat=,-0.060579, actvprof=,5.000029, id=,S01, PRDE,actvstrat=,-0.683606, actvprof=,2.010012, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,5.822395, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.275019, id=,S04, PRDE,actvstrat=,-0.717196, actvprof=,0.215418, id=,S05, PRDE,actvstrat=,0.375670, actvprof=,0.473753, id=,S06, PRDE,actvstrat=,0.142096, actvprof=,0.107640, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.122917, id=,S08, PRDE,actvstrat=,-0.248656, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.517324, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.004304, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.592133, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,5.822395, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.192088, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.253094, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.559228, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.512678, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.486465, actvprof=,0.059723, id=,B05, PRDE,actvstrat=,-0.638293, actvprof=,0.142224, id=,B06, PRDE,actvstrat=,-0.381786, actvprof=,0.191113, id=,B07, PRDE,actvstrat=,-0.919606, actvprof=,1.080568, id=,B08, PRDE,actvstrat=,0.087900, actvprof=,1.446406, id=,B09, PRDE,actvstrat=,-0.402068, actvprof=,2.227526, id=,B10, PRDE,actvstrat=,-0.217247, actvprof=,3.465873, id=,B11, PRDE,actvstrat=,-0.986829, actvprof=,6.131460, id=,S00, PRDE,actvstrat=,0.683841, actvprof=,10.059839, id=,S01, PRDE,actvstrat=,-0.683606, actvprof=,2.286138, id=,S02, PRDE,actvstrat=,-0.852105, actvprof=,0.322504, id=,S03, PRDE,actvstrat=,0.595440, actvprof=,3.877545, id=,S04, PRDE,actvstrat=,-0.868491, actvprof=,0.100279, id=,S05, PRDE,actvstrat=,-0.287783, actvprof=,0.226114, id=,S06, PRDE,actvstrat=,0.340048, actvprof=,0.303615, id=,S07, PRDE,actvstrat=,-0.046032, actvprof=,0.043056, id=,S08, PRDE,actvstrat=,0.677678, actvprof=,0.038612, id=,S09, PRDE,actvstrat=,0.928482, actvprof=,0.003889, id=,S10, PRDE,actvstrat=,-0.510978, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.113958, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.131460, best_B_strat=,-0.986829, best_S_id=,S00, best_S_prof=,10.059839, best_S_strat=,0.683841, 
t=,36000, id=,B00, PRDE,actvstrat=,0.299389, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.371890, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.402541, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.904259, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.227811, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.021360, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.359313, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.119565, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.953945, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.896504, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.732063, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.354820, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.319970, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.460028, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.772622, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.254371, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.593091, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.523670, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.860410, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.299389, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.896504, 
