t=,3600, id=,B00, PRDE,actvstrat=,0.234731, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.565010, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.482909, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.534994, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.970135, actvprof=,0.071943, id=,B05, PRDE,actvstrat=,-0.819455, actvprof=,0.014444, id=,B06, PRDE,actvstrat=,0.462640, actvprof=,0.346659, id=,B07, PRDE,actvstrat=,-0.382559, actvprof=,0.400269, id=,B08, PRDE,actvstrat=,-0.073510, actvprof=,1.084975, id=,B09, PRDE,actvstrat=,0.751579, actvprof=,3.523252, id=,B10, PRDE,actvstrat=,-0.817936, actvprof=,2.707437, id=,B11, PRDE,actvstrat=,-0.864061, actvprof=,4.154071, id=,S00, PRDE,actvstrat=,0.392763, actvprof=,8.772575, id=,S01, PRDE,actvstrat=,-0.236104, actvprof=,4.160459, id=,S02, PRDE,actvstrat=,-0.904006, actvprof=,1.129141, id=,S03, PRDE,actvstrat=,-0.523456, actvprof=,1.366357, id=,S04, PRDE,actvstrat=,-0.134137, actvprof=,0.953311, id=,S05, PRDE,actvstrat=,-0.181958, actvprof=,0.351381, id=,S06, PRDE,actvstrat=,0.022790, actvprof=,0.302215, id=,S07, PRDE,actvstrat=,0.896867, actvprof=,0.428323, id=,S08, PRDE,actvstrat=,-0.929788, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.913147, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.234139, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.556482, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.154071, best_B_strat=,-0.864061, best_S_id=,S00, best_S_prof=,8.772575, best_S_strat=,0.392763, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.732018, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.538498, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.604642, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.228406, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.515925, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.447629, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.160967, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.557927, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.451225, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.195533, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.090615, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.950496, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.479055, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.239276, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.059136, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.937941, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.948508, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.201341, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.562694, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.515660, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.875397, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.203070, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.869265, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.156079, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.732018, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.479055, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.732018, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.538498, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,-0.604642, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,0.228406, actvprof=,0.014167, id=,B04, PRDE,actvstrat=,0.515925, actvprof=,0.136943, id=,B05, PRDE,actvstrat=,-0.447629, actvprof=,0.174165, id=,B06, PRDE,actvstrat=,-0.160967, actvprof=,0.535827, id=,B07, PRDE,actvstrat=,-0.557927, actvprof=,0.928045, id=,B08, PRDE,actvstrat=,0.451225, actvprof=,2.531637, id=,B09, PRDE,actvstrat=,0.195533, actvprof=,2.964688, id=,B10, PRDE,actvstrat=,-0.090615, actvprof=,3.765512, id=,B11, PRDE,actvstrat=,0.950496, actvprof=,6.200484, id=,S00, PRDE,actvstrat=,0.479055, actvprof=,9.927663, id=,S01, PRDE,actvstrat=,-0.239276, actvprof=,5.346605, id=,S02, PRDE,actvstrat=,0.059136, actvprof=,4.096619, id=,S03, PRDE,actvstrat=,-0.937941, actvprof=,2.396917, id=,S04, PRDE,actvstrat=,-0.948508, actvprof=,2.393583, id=,S05, PRDE,actvstrat=,-0.201341, actvprof=,0.835268, id=,S06, PRDE,actvstrat=,-0.562694, actvprof=,0.385273, id=,S07, PRDE,actvstrat=,0.515660, actvprof=,0.478606, id=,S08, PRDE,actvstrat=,0.875397, actvprof=,0.409162, id=,S09, PRDE,actvstrat=,-0.203070, actvprof=,0.005555, id=,S10, PRDE,actvstrat=,-0.869265, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.156079, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.200484, best_B_strat=,0.950496, best_S_id=,S00, best_S_prof=,9.927663, best_S_strat=,0.479055, 
t=,14400, id=,B00, PRDE,actvstrat=,0.325956, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.538498, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.604642, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.936509, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.694622, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.871097, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.242170, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.557927, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.451225, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.611965, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.788284, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.205525, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.667961, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.896054, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.691979, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.937941, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.344584, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.271628, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.626459, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.653925, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.539709, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.560025, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.143394, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.262470, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.325956, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.667961, 
t=,18000, id=,B00, PRDE,actvstrat=,0.325956, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.538498, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.604642, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.936509, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.694622, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.871097, actvprof=,0.193611, id=,B06, PRDE,actvstrat=,0.242170, actvprof=,0.202222, id=,B07, PRDE,actvstrat=,-0.557927, actvprof=,0.304722, id=,B08, PRDE,actvstrat=,0.451225, actvprof=,1.545000, id=,B09, PRDE,actvstrat=,-0.611965, actvprof=,1.569167, id=,B10, PRDE,actvstrat=,-0.788284, actvprof=,2.672500, id=,B11, PRDE,actvstrat=,-0.205525, actvprof=,4.558889, id=,S00, PRDE,actvstrat=,-0.667961, actvprof=,4.415556, id=,S01, PRDE,actvstrat=,-0.896054, actvprof=,0.983889, id=,S02, PRDE,actvstrat=,0.691979, actvprof=,6.817500, id=,S03, PRDE,actvstrat=,-0.937941, actvprof=,0.754722, id=,S04, PRDE,actvstrat=,-0.344584, actvprof=,0.784167, id=,S05, PRDE,actvstrat=,-0.271628, actvprof=,0.365833, id=,S06, PRDE,actvstrat=,0.626459, actvprof=,0.667500, id=,S07, PRDE,actvstrat=,0.653925, actvprof=,0.199444, id=,S08, PRDE,actvstrat=,-0.539709, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.560025, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.143394, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.262470, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.558889, best_B_strat=,-0.205525, best_S_id=,S02, best_S_prof=,6.817500, best_S_strat=,0.691979, 
t=,21600, id=,B00, PRDE,actvstrat=,0.325956, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.538498, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.604642, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.936509, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.694622, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,0.871097, actvprof=,0.211946, id=,B06, PRDE,actvstrat=,0.242170, actvprof=,0.238474, id=,B07, PRDE,actvstrat=,-0.557927, actvprof=,0.326807, id=,B08, PRDE,actvstrat=,0.451225, actvprof=,1.551398, id=,B09, PRDE,actvstrat=,-0.611965, actvprof=,1.580009, id=,B10, PRDE,actvstrat=,-0.788284, actvprof=,2.671960, id=,B11, PRDE,actvstrat=,-0.205525, actvprof=,4.645444, id=,S00, PRDE,actvstrat=,-0.667961, actvprof=,4.626138, id=,S01, PRDE,actvstrat=,-0.896054, actvprof=,1.022367, id=,S02, PRDE,actvstrat=,0.691979, actvprof=,6.678928, id=,S03, PRDE,actvstrat=,-0.937941, actvprof=,0.865561, id=,S04, PRDE,actvstrat=,-0.344584, actvprof=,0.744588, id=,S05, PRDE,actvstrat=,-0.271628, actvprof=,0.321530, id=,S06, PRDE,actvstrat=,0.626459, actvprof=,0.686948, id=,S07, PRDE,actvstrat=,0.653925, actvprof=,0.215973, id=,S08, PRDE,actvstrat=,-0.539709, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.560025, actvprof=,0.001111, id=,S10, PRDE,actvstrat=,0.143394, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,0.262470, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.645444, best_B_strat=,-0.205525, best_S_id=,S02, best_S_prof=,6.678928, best_S_strat=,0.691979, 
t=,25200, id=,B00, PRDE,actvstrat=,0.010101, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.782231, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.644589, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.331096, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-0.267028, actvprof=,0.004444, id=,B05, PRDE,actvstrat=,0.172056, actvprof=,0.089168, id=,B06, PRDE,actvstrat=,0.070725, actvprof=,0.318615, id=,B07, PRDE,actvstrat=,-0.535342, actvprof=,0.472505, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.393639, id=,B09, PRDE,actvstrat=,0.245040, actvprof=,3.623097, id=,B10, PRDE,actvstrat=,-0.341537, actvprof=,3.685876, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,7.392308, id=,S00, PRDE,actvstrat=,-0.878098, actvprof=,2.735865, id=,S01, PRDE,actvstrat=,-0.081034, actvprof=,4.597275, id=,S02, PRDE,actvstrat=,-0.175839, actvprof=,2.780588, id=,S03, PRDE,actvstrat=,0.051726, actvprof=,2.295027, id=,S04, PRDE,actvstrat=,-0.655090, actvprof=,0.662230, id=,S05, PRDE,actvstrat=,0.922301, actvprof=,2.143080, id=,S06, PRDE,actvstrat=,-0.032727, actvprof=,0.207780, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.700564, id=,S08, PRDE,actvstrat=,0.664715, actvprof=,0.130279, id=,S09, PRDE,actvstrat=,0.213964, actvprof=,0.028889, id=,S10, PRDE,actvstrat=,0.510504, actvprof=,0.017222, id=,S11, PRDE,actvstrat=,0.795906, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.392308, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.597275, best_S_strat=,-0.081034, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.149962, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.575236, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.229742, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.228406, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.515925, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.997878, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.832958, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.024229, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.547759, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.367381, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.359477, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.477570, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.522026, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.059136, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.003886, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.125695, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.922301, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.415182, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.371979, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.875397, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.047189, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.437578, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.156079, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.149962, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.477570, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.149962, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.575236, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.229742, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.228406, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,0.515925, actvprof=,0.033889, id=,B05, PRDE,actvstrat=,0.997878, actvprof=,0.135278, id=,B06, PRDE,actvstrat=,-0.832958, actvprof=,0.280278, id=,B07, PRDE,actvstrat=,-0.024229, actvprof=,0.991389, id=,B08, PRDE,actvstrat=,-0.547759, actvprof=,1.250000, id=,B09, PRDE,actvstrat=,-0.367381, actvprof=,2.835278, id=,B10, PRDE,actvstrat=,-0.359477, actvprof=,3.973333, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,7.186389, id=,S00, PRDE,actvstrat=,-0.477570, actvprof=,4.249444, id=,S01, PRDE,actvstrat=,-0.522026, actvprof=,3.063056, id=,S02, PRDE,actvstrat=,0.059136, actvprof=,3.302500, id=,S03, PRDE,actvstrat=,0.003886, actvprof=,1.972500, id=,S04, PRDE,actvstrat=,0.125695, actvprof=,1.315833, id=,S05, PRDE,actvstrat=,0.922301, actvprof=,1.993611, id=,S06, PRDE,actvstrat=,0.415182, actvprof=,0.515833, id=,S07, PRDE,actvstrat=,0.371979, actvprof=,0.196944, id=,S08, PRDE,actvstrat=,0.875397, actvprof=,0.641944, id=,S09, PRDE,actvstrat=,-0.047189, actvprof=,0.014167, id=,S10, PRDE,actvstrat=,0.437578, actvprof=,0.013889, id=,S11, PRDE,actvstrat=,0.156079, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.186389, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.249444, best_S_strat=,-0.477570, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.149962, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.575236, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.229742, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.228406, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.515925, actvprof=,0.034722, id=,B05, PRDE,actvstrat=,0.997878, actvprof=,0.135834, id=,B06, PRDE,actvstrat=,-0.832958, actvprof=,0.285974, id=,B07, PRDE,actvstrat=,-0.024229, actvprof=,0.986395, id=,B08, PRDE,actvstrat=,-0.547759, actvprof=,1.352924, id=,B09, PRDE,actvstrat=,-0.367381, actvprof=,2.686127, id=,B10, PRDE,actvstrat=,-0.359477, actvprof=,4.024190, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,7.088374, id=,S00, PRDE,actvstrat=,-0.477570, actvprof=,4.230580, id=,S01, PRDE,actvstrat=,-0.522026, actvprof=,3.065296, id=,S02, PRDE,actvstrat=,0.059136, actvprof=,3.503492, id=,S03, PRDE,actvstrat=,0.003886, actvprof=,1.961678, id=,S04, PRDE,actvstrat=,0.125695, actvprof=,1.365980, id=,S05, PRDE,actvstrat=,0.922301, actvprof=,1.926400, id=,S06, PRDE,actvstrat=,0.415182, actvprof=,0.560142, id=,S07, PRDE,actvstrat=,0.371979, actvprof=,0.215001, id=,S08, PRDE,actvstrat=,0.875397, actvprof=,0.592781, id=,S09, PRDE,actvstrat=,-0.047189, actvprof=,0.012778, id=,S10, PRDE,actvstrat=,0.437578, actvprof=,0.013056, id=,S11, PRDE,actvstrat=,0.156079, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.088374, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.230580, best_S_strat=,-0.477570, 
t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.838729, actvprof=,0.015277, id=,B03, PRDE,actvstrat=,0.413248, actvprof=,0.040277, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.117497, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.647763, id=,B06, PRDE,actvstrat=,-0.235175, actvprof=,0.467489, id=,B07, PRDE,actvstrat=,-0.063634, actvprof=,1.271082, id=,B08, PRDE,actvstrat=,-0.534275, actvprof=,1.622740, id=,B09, PRDE,actvstrat=,-0.164732, actvprof=,3.227981, id=,B10, PRDE,actvstrat=,0.859208, actvprof=,5.062383, id=,B11, PRDE,actvstrat=,0.636747, actvprof=,6.500683, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.549200, id=,S01, PRDE,actvstrat=,-0.562090, actvprof=,3.841578, id=,S02, PRDE,actvstrat=,0.098053, actvprof=,4.261568, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.422120, id=,S04, PRDE,actvstrat=,-0.617297, actvprof=,0.829425, id=,S05, PRDE,actvstrat=,0.149943, actvprof=,1.371635, id=,S06, PRDE,actvstrat=,-0.464202, actvprof=,0.379436, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.836370, id=,S08, PRDE,actvstrat=,0.496169, actvprof=,0.287493, id=,S09, PRDE,actvstrat=,-0.287269, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.737194, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.168131, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.500683, best_B_strat=,0.636747, best_S_id=,S00, best_S_prof=,10.549200, best_S_strat=,1.000000, 
