B00, 1
B00, Trade, 5762.450, 191, B00, S07, 1
B01, 1
B01, Trade, 5763.150, 172, B01, S01, 1
B02, 1
B02, Trade, 5763.175, 114, B02, S02, 1
B03, 1
B03, Trade, 2457.700, 79, B03, S00, 1
B04, 3
B04, Trade, 3773.925, 206, B04, S00, 1
B04, Trade, 4614.050, 211, B04, S01, 1
B04, Trade, 6222.400, 78, B04, S01, 1
B05, 10
B05, Trade, 950.200, 90, B05, S00, 1
B05, Trade, 1216.300, 93, B05, S00, 1
B05, Trade, 2405.800, 88, B05, S00, 1
B05, Trade, 3052.125, 210, B05, S00, 1
B05, Trade, 3500.375, 204, S01, B05, 1
B05, Trade, 3542.025, 212, B05, S01, 1
B05, Trade, 4959.500, 211, B05, S00, 1
B05, Trade, 5419.050, 207, B05, S00, 1
B05, Trade, 5617.750, 216, B05, S00, 1
B05, Trade, 6709.700, 86, B05, S00, 1
B06, 29
B06, Trade, 41.325, 85, B06, S00, 1
B06, Trade, 62.125, 88, B06, S01, 1
B06, Trade, 577.850, 89, B06, S01, 1
B06, Trade, 695.225, 100, B06, S01, 1
B06, Trade, 949.250, 93, B06, S01, 1
B06, Trade, 976.875, 91, B06, S01, 1
B06, Trade, 1267.800, 83, B06, S01, 1
B06, Trade, 1334.825, 90, B06, S00, 1
B06, Trade, 1341.575, 87, B06, S01, 1
B06, Trade, 1917.175, 93, B06, S01, 1
B06, Trade, 2017.150, 81, B06, S01, 1
B06, Trade, 2097.150, 92, B06, S00, 1
B06, Trade, 2268.200, 90, B06, S01, 1
B06, Trade, 2437.975, 96, B06, S00, 1
B06, Trade, 2603.200, 89, B06, S00, 1
B06, Trade, 2610.975, 86, B06, S00, 1
B06, Trade, 2614.525, 95, B06, S02, 1
B06, Trade, 2712.975, 78, B06, S00, 1
B06, Trade, 4174.875, 206, B06, S01, 1
B06, Trade, 6191.550, 97, B06, S00, 1
B06, Trade, 6470.150, 84, B06, S01, 1
B06, Trade, 6492.750, 84, B06, S00, 1
B06, Trade, 6671.700, 90, B06, S01, 1
B06, Trade, 6792.750, 90, B06, S00, 1
B06, Trade, 7410.825, 101, B06, S01, 1
B06, Trade, 7671.950, 101, B06, S04, 1
B06, Trade, 7698.175, 101, B06, S01, 1
B06, Trade, 7771.925, 102, S04, B06, 1
B06, Trade, 7811.525, 103, B06, S02, 1
B07, 100
B07, Trade, 5196.650, 217, B07, S02, 1
B07, Trade, 5218.150, 224, B07, S00, 1
B07, Trade, 5274.375, 216, B07, S01, 1
B07, Trade, 5283.950, 215, S02, B07, 1
B07, Trade, 5306.600, 220, B07, S02, 1
B07, Trade, 5312.300, 222, B07, S02, 1
B07, Trade, 5350.025, 218, B07, S00, 1
B07, Trade, 5372.925, 220, S01, B07, 1
B07, Trade, 5384.175, 213, B07, S01, 1
B07, Trade, 5406.925, 223, B07, S00, 1
B07, Trade, 5413.450, 214, B07, S00, 1
B07, Trade, 5428.550, 223, S01, B07, 1
B07, Trade, 5434.775, 207, S00, B07, 1
B07, Trade, 5458.975, 225, S07, B07, 1
B07, Trade, 5470.150, 219, B07, S02, 1
B07, Trade, 5482.425, 225, B07, S07, 1
B07, Trade, 5496.025, 220, B07, S00, 1
B07, Trade, 5509.550, 211, B07, S01, 1
B07, Trade, 5514.400, 221, B07, S02, 1
B07, Trade, 5527.850, 222, B07, S01, 1
B07, Trade, 5560.925, 212, B07, S01, 1
B07, Trade, 5570.025, 219, B07, S00, 1
B07, Trade, 5589.575, 218, S02, B07, 1
B07, Trade, 5663.075, 207, S01, B07, 1
B07, Trade, 5705.825, 203, B07, S00, 1
B07, Trade, 5728.650, 222, B07, S01, 1
B07, Trade, 5755.325, 207, B07, S00, 1
B07, Trade, 5778.650, 84, B07, S00, 1
B07, Trade, 5785.900, 109, B07, S01, 1
B07, Trade, 5806.450, 102, B07, S01, 1
B07, Trade, 5853.050, 94, B07, S01, 1
B07, Trade, 5887.850, 103, B07, S01, 1
B07, Trade, 5898.550, 111, B07, S02, 1
B07, Trade, 5940.975, 104, B07, S00, 1
B07, Trade, 5958.100, 105, B07, S01, 1
B07, Trade, 5992.575, 105, B07, S00, 1
B07, Trade, 6014.050, 111, B07, S01, 1
B07, Trade, 6034.375, 104, B07, S00, 1
B07, Trade, 6042.250, 104, B07, S00, 1
B07, Trade, 6065.100, 111, B07, S02, 1
B07, Trade, 6069.400, 102, B07, S01, 1
B07, Trade, 6074.950, 110, B07, S02, 1
B07, Trade, 6078.750, 109, B07, S02, 1
B07, Trade, 6157.750, 106, B07, S02, 1
B07, Trade, 6214.575, 111, B07, S00, 1
B07, Trade, 6229.975, 108, B07, S00, 1
B07, Trade, 6240.350, 104, B07, S00, 1
B07, Trade, 6244.475, 106, B07, S00, 1
B07, Trade, 6250.825, 108, B07, S01, 1
B07, Trade, 6278.300, 111, B07, S00, 1
B07, Trade, 6291.150, 109, B07, S01, 1
B07, Trade, 6328.475, 111, B07, S00, 1
B07, Trade, 6355.975, 102, B07, S00, 1
B07, Trade, 6400.100, 110, B07, S02, 1
B07, Trade, 6410.800, 103, B07, S01, 1
B07, Trade, 6421.475, 111, B07, S07, 1
B07, Trade, 6430.500, 106, B07, S02, 1
B07, Trade, 6436.925, 95, B07, S01, 1
B07, Trade, 6461.275, 111, B07, S01, 1
B07, Trade, 6523.550, 99, B07, S00, 1
B07, Trade, 6533.250, 99, B07, S00, 1
B07, Trade, 6560.425, 97, B07, S01, 1
B07, Trade, 6569.650, 108, B07, S01, 1
B07, Trade, 6585.700, 111, B07, S00, 1
B07, Trade, 6590.400, 92, S02, B07, 1
B07, Trade, 6611.450, 111, B07, S01, 1
B07, Trade, 6646.200, 98, B07, S01, 1
B07, Trade, 6653.750, 109, B07, S01, 1
B07, Trade, 6686.400, 110, B07, S01, 1
B07, Trade, 6690.525, 111, B07, S00, 1
B07, Trade, 6726.675, 111, S07, B07, 1
B07, Trade, 6734.150, 111, B07, S00, 1
B07, Trade, 6745.925, 111, B07, S00, 1
B07, Trade, 6814.000, 109, B07, S01, 1
B07, Trade, 6822.925, 111, B07, S07, 1
B07, Trade, 6834.075, 111, S07, B07, 1
B07, Trade, 6852.175, 110, B07, S00, 1
B07, Trade, 6864.700, 93, S02, B07, 1
B07, Trade, 6868.975, 110, B07, S01, 1
B07, Trade, 6896.150, 111, B07, S00, 1
B07, Trade, 6950.250, 109, B07, S03, 1
B07, Trade, 6978.325, 109, B07, S01, 1
B07, Trade, 6990.650, 111, B07, S00, 1
B07, Trade, 7014.450, 102, B07, S02, 1
B07, Trade, 7032.000, 106, S02, B07, 1
B07, Trade, 7052.750, 106, S01, B07, 1
B07, Trade, 7074.550, 106, S01, B07, 1
B07, Trade, 7110.850, 102, B07, S00, 1
B07, Trade, 7144.975, 94, B07, S01, 1
B07, Trade, 7152.600, 100, B07, S01, 1
B07, Trade, 7174.950, 106, B07, S01, 1
B07, Trade, 7182.700, 111, B07, S02, 1
B07, Trade, 7184.550, 111, B07, S01, 1
B07, Trade, 7638.550, 96, B07, S04, 1
B07, Trade, 7778.800, 100, B07, S02, 1
B07, Trade, 7912.150, 98, B07, S02, 1
B07, Trade, 7949.150, 98, B07, S02, 1
B07, Trade, 8005.150, 101, B07, S04, 1
B07, Trade, 8138.575, 96, B07, S02, 1
B07, Trade, 8440.375, 100, B07, S02, 1
B08, 71
B08, Trade, 47.650, 114, B08, S00, 1
B08, Trade, 107.950, 81, B08, S01, 1
B08, Trade, 205.050, 97, S03, B08, 1
B08, Trade, 441.450, 110, B08, S01, 1
B08, Trade, 489.500, 113, B08, S01, 1
B08, Trade, 849.475, 110, B08, S01, 1
B08, Trade, 926.925, 94, B08, S02, 1
B08, Trade, 980.600, 113, B08, S00, 1
B08, Trade, 1011.000, 105, B08, S00, 1
B08, Trade, 1143.875, 104, B08, S01, 1
B08, Trade, 1267.500, 95, B08, S00, 1
B08, Trade, 1415.650, 108, B08, S01, 1
B08, Trade, 1521.250, 112, S07, B08, 1
B08, Trade, 1715.450, 115, B08, S00, 1
B08, Trade, 1950.050, 103, B08, S02, 1
B08, Trade, 1979.725, 101, B08, S00, 1
B08, Trade, 2301.775, 106, B08, S00, 1
B08, Trade, 2321.650, 111, B08, S00, 1
B08, Trade, 2357.675, 100, B08, S02, 1
B08, Trade, 2376.175, 100, B08, S01, 1
B08, Trade, 2720.925, 115, B08, S01, 1
B08, Trade, 2756.050, 95, B08, S00, 1
B08, Trade, 2811.575, 101, B08, S01, 1
B08, Trade, 2946.550, 212, B08, S02, 1
B08, Trade, 2950.650, 224, B08, S00, 1
B08, Trade, 2971.975, 211, B08, S00, 1
B08, Trade, 2980.225, 221, B08, S00, 1
B08, Trade, 3027.800, 213, B08, S01, 1
B08, Trade, 3123.300, 207, B08, S01, 1
B08, Trade, 3324.075, 222, S01, B08, 1
B08, Trade, 3423.875, 220, B08, S01, 1
B08, Trade, 4090.650, 208, B08, S00, 1
B08, Trade, 4308.325, 212, S02, B08, 1
B08, Trade, 4776.325, 209, B08, S02, 1
B08, Trade, 4882.550, 208, B08, S00, 1
B08, Trade, 4896.825, 207, S00, B08, 1
B08, Trade, 4982.100, 210, S01, B08, 1
B08, Trade, 5176.625, 209, S00, B08, 1
B08, Trade, 5468.400, 221, B08, S00, 1
B08, Trade, 5625.525, 205, S01, B08, 1
B08, Trade, 5854.325, 112, S07, B08, 1
B08, Trade, 6818.900, 115, S07, B08, 1
B08, Trade, 6959.300, 94, B08, S01, 1
B08, Trade, 7062.325, 101, S01, B08, 1
B08, Trade, 7095.825, 111, B08, S02, 1
B08, Trade, 7412.725, 108, B08, S06, 1
B08, Trade, 7431.750, 110, B08, S04, 1
B08, Trade, 7478.175, 107, B08, S04, 1
B08, Trade, 7511.700, 108, S02, B08, 1
B08, Trade, 7548.650, 108, B08, S02, 1
B08, Trade, 7567.450, 105, B08, S03, 1
B08, Trade, 7712.400, 108, S04, B08, 1
B08, Trade, 7768.550, 104, B08, S02, 1
B08, Trade, 7833.825, 103, S02, B08, 1
B08, Trade, 7875.475, 100, S00, B08, 1
B08, Trade, 7938.700, 104, S02, B08, 1
B08, Trade, 8043.100, 113, B08, S02, 1
B08, Trade, 8048.175, 114, B08, S02, 1
B08, Trade, 8065.700, 113, B08, S04, 1
B08, Trade, 8133.025, 103, B08, S04, 1
B08, Trade, 8207.675, 116, B08, S03, 1
B08, Trade, 8254.175, 100, B08, S02, 1
B08, Trade, 8275.250, 109, B08, S01, 1
B08, Trade, 8283.050, 110, B08, S04, 1
B08, Trade, 8286.825, 110, B08, S04, 1
B08, Trade, 8466.100, 108, B08, S04, 1
B08, Trade, 8482.625, 114, B08, S02, 1
B08, Trade, 8514.225, 107, S04, B08, 1
B08, Trade, 8582.900, 116, B08, S01, 1
B08, Trade, 8589.525, 110, B08, S02, 1
B08, Trade, 8634.475, 116, B08, S04, 1
B09, 100
B09, Trade, 5598.500, 212, S02, B09, 1
B09, Trade, 5604.950, 212, S00, B09, 1
B09, Trade, 5631.225, 201, S00, B09, 1
B09, Trade, 5639.475, 228, S00, B09, 1
B09, Trade, 5641.575, 228, S07, B09, 1
B09, Trade, 5670.100, 203, S01, B09, 1
B09, Trade, 5674.050, 222, S00, B09, 1
B09, Trade, 5683.800, 209, S00, B09, 1
B09, Trade, 5707.375, 225, S07, B09, 1
B09, Trade, 5725.550, 215, B09, S01, 1
B09, Trade, 5741.050, 218, B09, S01, 1
B09, Trade, 5762.025, 177, B09, S10, 1
B09, Trade, 5778.450, 117, B09, S07, 1
B09, Trade, 5788.875, 101, B09, S01, 1
B09, Trade, 5822.225, 122, B09, S02, 1
B09, Trade, 5830.175, 101, B09, S01, 1
B09, Trade, 5843.750, 115, S02, B09, 1
B09, Trade, 5873.450, 101, S03, B09, 1
B09, Trade, 5875.325, 116, B09, S07, 1
B09, Trade, 5895.400, 107, S01, B09, 1
B09, Trade, 5908.725, 118, B09, S01, 1
B09, Trade, 5930.200, 113, B09, S02, 1
B09, Trade, 5939.675, 112, B09, S02, 1
B09, Trade, 5950.150, 116, B09, S07, 1
B09, Trade, 5966.250, 122, B09, S07, 1
B09, Trade, 5978.150, 104, B09, S01, 1
B09, Trade, 6032.125, 119, B09, S01, 1
B09, Trade, 6043.400, 124, B09, S08, 1
B09, Trade, 6086.275, 118, B09, S00, 1
B09, Trade, 6091.375, 124, S09, B09, 1
B09, Trade, 6093.000, 119, B09, S00, 1
B09, Trade, 6105.425, 117, B09, S01, 1
B09, Trade, 6121.975, 112, B09, S07, 1
B09, Trade, 6123.750, 116, B09, S01, 1
B09, Trade, 6134.725, 124, B09, S07, 1
B09, Trade, 6147.375, 111, B09, S07, 1
B09, Trade, 6154.150, 114, S05, B09, 1
B09, Trade, 6168.450, 114, B09, S07, 1
B09, Trade, 6175.325, 95, B09, S00, 1
B09, Trade, 6205.275, 117, S07, B09, 1
B09, Trade, 6239.325, 116, B09, S07, 1
B09, Trade, 6264.100, 120, B09, S01, 1
B09, Trade, 6308.350, 112, S07, B09, 1
B09, Trade, 6312.250, 123, B09, S00, 1
B09, Trade, 6324.600, 103, B09, S00, 1
