B00, 1
B00, Trade, 46048.525, 200, S00, B00, 1
B01, 76
B01, Trade, 28158.150, 71, B01, S00, 1
B01, Trade, 40964.325, 201, S00, B01, 1
B01, Trade, 43734.475, 201, B01, S00, 1
B01, Trade, 43956.750, 203, B01, S00, 1
B01, Trade, 43965.100, 202, B01, S00, 1
B01, Trade, 44014.475, 202, B01, S00, 1
B01, Trade, 44601.925, 202, B01, S00, 1
B01, Trade, 44679.025, 201, S00, B01, 1
B01, Trade, 44915.900, 203, B01, S00, 1
B01, Trade, 44950.225, 203, B01, S00, 1
B01, Trade, 45026.550, 203, B01, S00, 1
B01, Trade, 45101.250, 203, B01, S00, 1
B01, Trade, 45303.725, 202, B01, S00, 1
B01, Trade, 45318.975, 203, B01, S00, 1
B01, Trade, 45334.875, 203, B01, S00, 1
B01, Trade, 45357.275, 203, B01, S00, 1
B01, Trade, 45642.750, 203, B01, S00, 1
B01, Trade, 45651.775, 203, B01, S00, 1
B01, Trade, 45716.250, 203, B01, S00, 1
B01, Trade, 45727.725, 201, B01, S00, 1
B01, Trade, 45749.200, 202, B01, S00, 1
B01, Trade, 45941.525, 203, B01, S00, 1
B01, Trade, 46146.375, 203, B01, S00, 1
B01, Trade, 46190.350, 200, B01, S00, 1
B01, Trade, 46287.600, 203, B01, S00, 1
B01, Trade, 46490.675, 203, B01, S00, 1
B01, Trade, 46534.375, 203, B01, S00, 1
B01, Trade, 46584.300, 203, B01, S00, 1
B01, Trade, 46608.800, 203, B01, S00, 1
B01, Trade, 46683.100, 202, B01, S00, 1
B01, Trade, 46957.000, 203, B01, S00, 1
B01, Trade, 47137.850, 203, B01, S00, 1
B01, Trade, 47182.525, 201, B01, S00, 1
B01, Trade, 47355.200, 203, B01, S00, 1
B01, Trade, 47368.775, 202, B01, S00, 1
B01, Trade, 47400.200, 203, B01, S00, 1
B01, Trade, 47486.550, 202, B01, S00, 1
B01, Trade, 47554.550, 203, B01, S00, 1
B01, Trade, 47610.000, 202, B01, S00, 1
B01, Trade, 47767.075, 202, B01, S00, 1
B01, Trade, 47772.325, 203, B01, S00, 1
