t=,1, id=,B00, PRDE,actvstrat=,0.504769, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.857903, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.620673, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.746726, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.687008, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.839902, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.863487, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.931718, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.730361, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.840656, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.696490, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.681538, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.528834, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.858431, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.117783, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.539316, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.487974, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.796720, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.660635, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.332251, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.428084, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.770122, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.004530, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.151157, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.504769, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.528834, 
t=,3600, id=,B00, PRDE,actvstrat=,0.504769, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.857903, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.620673, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.746726, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,-0.687008, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,-0.839902, actvprof=,0.045833, id=,B06, PRDE,actvstrat=,0.863487, actvprof=,0.409162, id=,B07, PRDE,actvstrat=,-0.931718, actvprof=,0.768602, id=,B08, PRDE,actvstrat=,0.730361, actvprof=,1.349151, id=,B09, PRDE,actvstrat=,-0.840656, actvprof=,1.429706, id=,B10, PRDE,actvstrat=,0.696490, actvprof=,3.069131, id=,B11, PRDE,actvstrat=,0.681538, actvprof=,4.591891, id=,S00, PRDE,actvstrat=,-0.528834, actvprof=,3.901344, id=,S01, PRDE,actvstrat=,0.858431, actvprof=,11.884307, id=,S02, PRDE,actvstrat=,-0.117783, actvprof=,3.310239, id=,S03, PRDE,actvstrat=,0.539316, actvprof=,5.510492, id=,S04, PRDE,actvstrat=,-0.487974, actvprof=,0.653604, id=,S05, PRDE,actvstrat=,-0.796720, actvprof=,0.248608, id=,S06, PRDE,actvstrat=,0.660635, actvprof=,1.990255, id=,S07, PRDE,actvstrat=,0.332251, actvprof=,0.634715, id=,S08, PRDE,actvstrat=,-0.428084, actvprof=,0.028611, id=,S09, PRDE,actvstrat=,-0.770122, actvprof=,0.005278, id=,S10, PRDE,actvstrat=,-0.004530, actvprof=,0.004722, id=,S11, PRDE,actvstrat=,0.151157, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.591891, best_B_strat=,0.681538, best_S_id=,S01, best_S_prof=,11.884307, best_S_strat=,0.858431, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.548643, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.328472, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.332609, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.679642, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.953836, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.234340, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.778263, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.026072, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.729336, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.367018, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.120369, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.261413, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.323036, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.563527, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.390633, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.495080, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.497288, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.861228, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.859607, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.980772, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.153020, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.159904, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.695379, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.629725, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.548643, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.323036, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.548643, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.328472, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.332609, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.679642, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.953836, actvprof=,0.117220, id=,B05, PRDE,actvstrat=,0.234340, actvprof=,0.085276, id=,B06, PRDE,actvstrat=,-0.778263, actvprof=,0.377491, id=,B07, PRDE,actvstrat=,0.026072, actvprof=,0.740538, id=,B08, PRDE,actvstrat=,0.729336, actvprof=,2.251615, id=,B09, PRDE,actvstrat=,-0.367018, actvprof=,1.592741, id=,B10, PRDE,actvstrat=,0.120369, actvprof=,3.401310, id=,B11, PRDE,actvstrat=,-0.261413, actvprof=,4.327122, id=,S00, PRDE,actvstrat=,0.323036, actvprof=,7.594269, id=,S01, PRDE,actvstrat=,0.563527, actvprof=,7.432883, id=,S02, PRDE,actvstrat=,-0.390633, actvprof=,1.241082, id=,S03, PRDE,actvstrat=,-0.495080, actvprof=,0.824148, id=,S04, PRDE,actvstrat=,-0.497288, actvprof=,0.457489, id=,S05, PRDE,actvstrat=,0.861228, actvprof=,2.852434, id=,S06, PRDE,actvstrat=,-0.859607, actvprof=,0.011666, id=,S07, PRDE,actvstrat=,-0.980772, actvprof=,0.238606, id=,S08, PRDE,actvstrat=,-0.153020, actvprof=,0.010555, id=,S09, PRDE,actvstrat=,-0.159904, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.695379, actvprof=,0.002778, id=,S11, PRDE,actvstrat=,-0.629725, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.327122, best_B_strat=,-0.261413, best_S_id=,S00, best_S_prof=,7.594269, best_S_strat=,0.323036, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.548643, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.328472, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.176082, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.165814, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.470029, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.699446, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.323986, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.610884, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.366559, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.165024, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.120369, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.782212, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.323036, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.582565, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.555409, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.623333, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.680873, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.501412, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.089781, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.422514, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.428084, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.770122, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.403039, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.467741, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.548643, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.323036, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.548643, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.328472, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.176082, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.165814, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,-0.470029, actvprof=,0.038333, id=,B05, PRDE,actvstrat=,0.699446, actvprof=,0.333885, id=,B06, PRDE,actvstrat=,0.323986, actvprof=,0.546938, id=,B07, PRDE,actvstrat=,-0.610884, actvprof=,0.901101, id=,B08, PRDE,actvstrat=,-0.366559, actvprof=,1.361095, id=,B09, PRDE,actvstrat=,-0.165024, actvprof=,2.484971, id=,B10, PRDE,actvstrat=,0.120369, actvprof=,3.929399, id=,B11, PRDE,actvstrat=,0.782212, actvprof=,5.985764, id=,S00, PRDE,actvstrat=,0.323036, actvprof=,7.627967, id=,S01, PRDE,actvstrat=,-0.582565, actvprof=,2.007477, id=,S02, PRDE,actvstrat=,0.555409, actvprof=,5.506603, id=,S03, PRDE,actvstrat=,0.623333, actvprof=,4.067731, id=,S04, PRDE,actvstrat=,0.680873, actvprof=,3.635236, id=,S05, PRDE,actvstrat=,-0.501412, actvprof=,0.284163, id=,S06, PRDE,actvstrat=,-0.089781, actvprof=,0.273330, id=,S07, PRDE,actvstrat=,0.422514, actvprof=,0.555549, id=,S08, PRDE,actvstrat=,-0.428084, actvprof=,0.020833, id=,S09, PRDE,actvstrat=,-0.770122, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.403039, actvprof=,0.009722, id=,S11, PRDE,actvstrat=,0.467741, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.985764, best_B_strat=,0.782212, best_S_id=,S00, best_S_prof=,7.627967, best_S_strat=,0.323036, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.548643, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.328472, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,-0.176082, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.165814, actvprof=,0.010556, id=,B04, PRDE,actvstrat=,-0.470029, actvprof=,0.023750, id=,B05, PRDE,actvstrat=,0.699446, actvprof=,0.376252, id=,B06, PRDE,actvstrat=,0.323986, actvprof=,0.586253, id=,B07, PRDE,actvstrat=,-0.610884, actvprof=,0.844033, id=,B08, PRDE,actvstrat=,-0.366559, actvprof=,1.349313, id=,B09, PRDE,actvstrat=,-0.165024, actvprof=,2.572793, id=,B10, PRDE,actvstrat=,0.120369, actvprof=,4.108218, id=,B11, PRDE,actvstrat=,0.782212, actvprof=,5.973090, id=,S00, PRDE,actvstrat=,0.323036, actvprof=,7.367265, id=,S01, PRDE,actvstrat=,-0.582565, actvprof=,2.023067, id=,S02, PRDE,actvstrat=,0.555409, actvprof=,5.665588, id=,S03, PRDE,actvstrat=,0.623333, actvprof=,4.163913, id=,S04, PRDE,actvstrat=,0.680873, actvprof=,3.362797, id=,S05, PRDE,actvstrat=,-0.501412, actvprof=,0.316807, id=,S06, PRDE,actvstrat=,-0.089781, actvprof=,0.296252, id=,S07, PRDE,actvstrat=,0.422514, actvprof=,0.560281, id=,S08, PRDE,actvstrat=,-0.428084, actvprof=,0.015417, id=,S09, PRDE,actvstrat=,-0.770122, actvprof=,0.002083, id=,S10, PRDE,actvstrat=,0.403039, actvprof=,0.013333, id=,S11, PRDE,actvstrat=,0.467741, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.973090, best_B_strat=,0.782212, best_S_id=,S00, best_S_prof=,7.367265, best_S_strat=,0.323036, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.801947, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.047182, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.513474, actvprof=,0.041389, id=,B04, PRDE,actvstrat=,0.393869, actvprof=,0.124444, id=,B05, PRDE,actvstrat=,-0.302811, actvprof=,0.172222, id=,B06, PRDE,actvstrat=,0.185398, actvprof=,0.834444, id=,B07, PRDE,actvstrat=,0.639713, actvprof=,1.688056, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.040833, id=,B09, PRDE,actvstrat=,0.220942, actvprof=,2.829722, id=,B10, PRDE,actvstrat=,-0.411369, actvprof=,3.434444, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,5.803611, id=,S00, PRDE,actvstrat=,0.320955, actvprof=,7.356667, id=,S01, PRDE,actvstrat=,-0.268768, actvprof=,3.086111, id=,S02, PRDE,actvstrat=,-0.645934, actvprof=,1.738056, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.106111, id=,S04, PRDE,actvstrat=,0.464665, actvprof=,2.573889, id=,S05, PRDE,actvstrat=,-0.822393, actvprof=,0.163333, id=,S06, PRDE,actvstrat=,0.718619, actvprof=,1.296944, id=,S07, PRDE,actvstrat=,-0.206542, actvprof=,0.060278, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.449722, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.211389, id=,S10, PRDE,actvstrat=,-0.049988, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.682128, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.803611, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.356667, best_S_strat=,0.320955, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.801947, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.047182, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.513474, actvprof=,0.028472, id=,B04, PRDE,actvstrat=,0.393869, actvprof=,0.105417, id=,B05, PRDE,actvstrat=,-0.302811, actvprof=,0.157918, id=,B06, PRDE,actvstrat=,0.185398, actvprof=,0.717921, id=,B07, PRDE,actvstrat=,0.639713, actvprof=,1.771399, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.033478, id=,B09, PRDE,actvstrat=,0.220942, actvprof=,2.951962, id=,B10, PRDE,actvstrat=,-0.411369, actvprof=,3.453909, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,5.863506, id=,S00, PRDE,actvstrat=,0.320955, actvprof=,7.439487, id=,S01, PRDE,actvstrat=,-0.268768, actvprof=,2.767655, id=,S02, PRDE,actvstrat=,-0.645934, actvprof=,1.837372, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.243225, id=,S04, PRDE,actvstrat=,0.464665, actvprof=,2.597793, id=,S05, PRDE,actvstrat=,-0.822393, actvprof=,0.170140, id=,S06, PRDE,actvstrat=,0.718619, actvprof=,1.301396, id=,S07, PRDE,actvstrat=,-0.206542, actvprof=,0.054861, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.443614, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.203612, id=,S10, PRDE,actvstrat=,-0.049988, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.682128, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.863506, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.439487, best_S_strat=,0.320955, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.406828, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.328472, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.412652, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,-0.497671, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,-0.953836, actvprof=,0.210833, id=,B05, PRDE,actvstrat=,0.234340, actvprof=,0.221944, id=,B06, PRDE,actvstrat=,-0.778263, actvprof=,0.678611, id=,B07, PRDE,actvstrat=,-0.621015, actvprof=,1.044444, id=,B08, PRDE,actvstrat=,0.117088, actvprof=,1.999444, id=,B09, PRDE,actvstrat=,-0.031798, actvprof=,3.075278, id=,B10, PRDE,actvstrat=,0.220823, actvprof=,5.121111, id=,B11, PRDE,actvstrat=,-0.261413, actvprof=,6.096111, id=,S00, PRDE,actvstrat=,0.320955, actvprof=,6.055833, id=,S01, PRDE,actvstrat=,0.495283, actvprof=,5.522778, id=,S02, PRDE,actvstrat=,-0.117783, actvprof=,1.473889, id=,S03, PRDE,actvstrat=,0.767308, actvprof=,3.765556, id=,S04, PRDE,actvstrat=,0.413097, actvprof=,1.345278, id=,S05, PRDE,actvstrat=,-0.822393, actvprof=,0.053611, id=,S06, PRDE,actvstrat=,0.824884, actvprof=,0.765278, id=,S07, PRDE,actvstrat=,0.422514, actvprof=,0.072222, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.236111, id=,S09, PRDE,actvstrat=,0.549235, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,0.441822, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.629725, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.096111, best_B_strat=,-0.261413, best_S_id=,S00, best_S_prof=,6.055833, best_S_strat=,0.320955, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.406828, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.328472, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.412652, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,-0.497671, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,-0.953836, actvprof=,0.219722, id=,B05, PRDE,actvstrat=,0.234340, actvprof=,0.252083, id=,B06, PRDE,actvstrat=,-0.778263, actvprof=,0.627083, id=,B07, PRDE,actvstrat=,-0.621015, actvprof=,1.011250, id=,B08, PRDE,actvstrat=,0.117088, actvprof=,2.119028, id=,B09, PRDE,actvstrat=,-0.031798, actvprof=,3.181111, id=,B10, PRDE,actvstrat=,0.220823, actvprof=,5.195278, id=,B11, PRDE,actvstrat=,-0.261413, actvprof=,6.041250, id=,S00, PRDE,actvstrat=,0.320955, actvprof=,5.912222, id=,S01, PRDE,actvstrat=,0.495283, actvprof=,5.393750, id=,S02, PRDE,actvstrat=,-0.117783, actvprof=,1.568889, id=,S03, PRDE,actvstrat=,0.767308, actvprof=,3.697639, id=,S04, PRDE,actvstrat=,0.413097, actvprof=,1.379861, id=,S05, PRDE,actvstrat=,-0.822393, actvprof=,0.037778, id=,S06, PRDE,actvstrat=,0.824884, actvprof=,0.814167, id=,S07, PRDE,actvstrat=,0.422514, actvprof=,0.082083, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.227778, id=,S09, PRDE,actvstrat=,0.549235, actvprof=,0.002917, id=,S10, PRDE,actvstrat=,0.441822, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.629725, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.041250, best_B_strat=,-0.261413, best_S_id=,S00, best_S_prof=,5.912222, best_S_strat=,0.320955, 
