t=,1, id=,B00, PRDE,actvstrat=,0.795848, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.302187, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.034943, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.074694, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.325612, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.109204, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.776229, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.718087, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.875564, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.079425, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.047494, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.139942, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.052136, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.918060, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.255865, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.774410, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.973753, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.830457, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.818714, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.029262, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.433070, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.733951, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.997164, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.172965, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.795848, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.052136, 
t=,3600, id=,B00, PRDE,actvstrat=,0.795848, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.302187, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.034943, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.074694, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.325612, actvprof=,0.013055, id=,B05, PRDE,actvstrat=,-0.109204, actvprof=,0.022222, id=,B06, PRDE,actvstrat=,0.776229, actvprof=,0.372496, id=,B07, PRDE,actvstrat=,-0.718087, actvprof=,0.348052, id=,B08, PRDE,actvstrat=,0.875564, actvprof=,1.615259, id=,B09, PRDE,actvstrat=,-0.079425, actvprof=,1.384428, id=,B10, PRDE,actvstrat=,0.047494, actvprof=,2.841634, id=,B11, PRDE,actvstrat=,-0.139942, actvprof=,3.763012, id=,S00, PRDE,actvstrat=,-0.052136, actvprof=,8.030463, id=,S01, PRDE,actvstrat=,-0.918060, actvprof=,1.570537, id=,S02, PRDE,actvstrat=,-0.255865, actvprof=,3.266907, id=,S03, PRDE,actvstrat=,-0.774410, actvprof=,1.308596, id=,S04, PRDE,actvstrat=,-0.973753, actvprof=,1.436094, id=,S05, PRDE,actvstrat=,0.830457, actvprof=,3.316073, id=,S06, PRDE,actvstrat=,-0.818714, actvprof=,0.078888, id=,S07, PRDE,actvstrat=,0.029262, actvprof=,0.244164, id=,S08, PRDE,actvstrat=,0.433070, actvprof=,0.073888, id=,S09, PRDE,actvstrat=,0.733951, actvprof=,0.009722, id=,S10, PRDE,actvstrat=,-0.997164, actvprof=,0.002222, id=,S11, PRDE,actvstrat=,0.172965, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.763012, best_B_strat=,-0.139942, best_S_id=,S00, best_S_prof=,8.030463, best_S_strat=,-0.052136, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.291080, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.489139, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.747240, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.366085, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.316565, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.881004, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.887878, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.478425, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.665386, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.355378, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.036752, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.747417, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.376665, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.366213, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.712330, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.800860, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.145726, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.467064, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.241839, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.538310, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.049898, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.605656, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.365980, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.726512, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.291080, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.376665, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.291080, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.489139, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.747240, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.366085, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.316565, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,0.881004, actvprof=,0.138332, id=,B06, PRDE,actvstrat=,0.887878, actvprof=,0.458050, id=,B07, PRDE,actvstrat=,0.478425, actvprof=,0.559716, id=,B08, PRDE,actvstrat=,-0.665386, actvprof=,0.721103, id=,B09, PRDE,actvstrat=,0.355378, actvprof=,1.884700, id=,B10, PRDE,actvstrat=,0.036752, actvprof=,2.290529, id=,B11, PRDE,actvstrat=,0.747417, actvprof=,4.284117, id=,S00, PRDE,actvstrat=,-0.376665, actvprof=,4.879388, id=,S01, PRDE,actvstrat=,0.366213, actvprof=,8.393236, id=,S02, PRDE,actvstrat=,0.712330, actvprof=,8.707399, id=,S03, PRDE,actvstrat=,-0.800860, actvprof=,0.958044, id=,S04, PRDE,actvstrat=,0.145726, actvprof=,3.236351, id=,S05, PRDE,actvstrat=,-0.467064, actvprof=,0.705825, id=,S06, PRDE,actvstrat=,-0.241839, actvprof=,0.382496, id=,S07, PRDE,actvstrat=,-0.538310, actvprof=,0.154720, id=,S08, PRDE,actvstrat=,-0.049898, actvprof=,0.077777, id=,S09, PRDE,actvstrat=,0.605656, actvprof=,0.188609, id=,S10, PRDE,actvstrat=,0.365980, actvprof=,0.021944, id=,S11, PRDE,actvstrat=,-0.726512, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.284117, best_B_strat=,0.747417, best_S_id=,S02, best_S_prof=,8.707399, best_S_strat=,0.712330, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.807278, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.489139, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.943116, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.917539, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.051839, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.881004, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.230575, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.750896, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.792541, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.355378, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.118748, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.747417, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.177435, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.366213, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.712330, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.800860, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.825370, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.496743, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.733853, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.538310, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.332277, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.155749, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.365980, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.343484, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.807278, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.177435, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.807278, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.489139, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.943116, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.917539, actvprof=,0.015833, id=,B04, PRDE,actvstrat=,-0.051839, actvprof=,0.036389, id=,B05, PRDE,actvstrat=,0.881004, actvprof=,0.445556, id=,B06, PRDE,actvstrat=,0.230575, actvprof=,0.505556, id=,B07, PRDE,actvstrat=,-0.750896, actvprof=,0.906389, id=,B08, PRDE,actvstrat=,-0.792541, actvprof=,1.528333, id=,B09, PRDE,actvstrat=,0.355378, actvprof=,3.775278, id=,B10, PRDE,actvstrat=,0.118748, actvprof=,4.197778, id=,B11, PRDE,actvstrat=,0.747417, actvprof=,6.663611, id=,S00, PRDE,actvstrat=,-0.177435, actvprof=,4.376667, id=,S01, PRDE,actvstrat=,0.366213, actvprof=,6.020000, id=,S02, PRDE,actvstrat=,0.712330, actvprof=,6.105278, id=,S03, PRDE,actvstrat=,-0.800860, actvprof=,0.690833, id=,S04, PRDE,actvstrat=,0.825370, actvprof=,4.027778, id=,S05, PRDE,actvstrat=,0.496743, actvprof=,1.448056, id=,S06, PRDE,actvstrat=,0.733853, actvprof=,1.305278, id=,S07, PRDE,actvstrat=,-0.538310, actvprof=,0.079444, id=,S08, PRDE,actvstrat=,0.332277, actvprof=,0.127222, id=,S09, PRDE,actvstrat=,0.155749, actvprof=,0.030278, id=,S10, PRDE,actvstrat=,0.365980, actvprof=,0.004167, id=,S11, PRDE,actvstrat=,0.343484, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.663611, best_B_strat=,0.747417, best_S_id=,S02, best_S_prof=,6.105278, best_S_strat=,0.712330, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.807278, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.489139, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.943116, actvprof=,0.000694, id=,B03, PRDE,actvstrat=,-0.917539, actvprof=,0.013195, id=,B04, PRDE,actvstrat=,-0.051839, actvprof=,0.029306, id=,B05, PRDE,actvstrat=,0.881004, actvprof=,0.484725, id=,B06, PRDE,actvstrat=,0.230575, actvprof=,0.504586, id=,B07, PRDE,actvstrat=,-0.750896, actvprof=,0.867366, id=,B08, PRDE,actvstrat=,-0.792541, actvprof=,1.602370, id=,B09, PRDE,actvstrat=,0.355378, actvprof=,3.592382, id=,B10, PRDE,actvstrat=,0.118748, actvprof=,4.510859, id=,B11, PRDE,actvstrat=,0.747417, actvprof=,6.711289, id=,S00, PRDE,actvstrat=,-0.177435, actvprof=,4.406970, id=,S01, PRDE,actvstrat=,0.366213, actvprof=,6.197119, id=,S02, PRDE,actvstrat=,0.712330, actvprof=,6.202397, id=,S03, PRDE,actvstrat=,-0.800860, actvprof=,0.735143, id=,S04, PRDE,actvstrat=,0.825370, actvprof=,3.986968, id=,S05, PRDE,actvstrat=,0.496743, actvprof=,1.521537, id=,S06, PRDE,actvstrat=,0.733853, actvprof=,1.363897, id=,S07, PRDE,actvstrat=,-0.538310, actvprof=,0.069028, id=,S08, PRDE,actvstrat=,0.332277, actvprof=,0.129723, id=,S09, PRDE,actvstrat=,0.155749, actvprof=,0.024167, id=,S10, PRDE,actvstrat=,0.365980, actvprof=,0.002083, id=,S11, PRDE,actvstrat=,0.343484, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.711289, best_B_strat=,0.747417, best_S_id=,S02, best_S_prof=,6.202397, best_S_strat=,0.712330, 
t=,25200, id=,B00, PRDE,actvstrat=,0.091409, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.744356, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.866850, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.896850, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.008333, id=,B06, PRDE,actvstrat=,-0.867611, actvprof=,0.011667, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.280003, id=,B08, PRDE,actvstrat=,-0.985188, actvprof=,0.549451, id=,B09, PRDE,actvstrat=,-0.252061, actvprof=,0.722231, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,4.253105, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,7.190917, id=,S00, PRDE,actvstrat=,-0.918965, actvprof=,0.820287, id=,S01, PRDE,actvstrat=,-0.479975, actvprof=,3.408651, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.147861, id=,S03, PRDE,actvstrat=,0.297893, actvprof=,3.896156, id=,S04, PRDE,actvstrat=,-0.050190, actvprof=,1.225014, id=,S05, PRDE,actvstrat=,0.107886, actvprof=,1.026956, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.704464, id=,S07, PRDE,actvstrat=,-0.624968, actvprof=,0.011945, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.079168, id=,S09, PRDE,actvstrat=,0.235350, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,-0.455009, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.190917, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,7.147861, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.091409, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.744356, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.866850, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.896850, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.014722, id=,B06, PRDE,actvstrat=,-0.867611, actvprof=,0.010417, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.302918, id=,B08, PRDE,actvstrat=,-0.985188, actvprof=,0.560142, id=,B09, PRDE,actvstrat=,-0.252061, actvprof=,0.754032, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,4.203080, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,7.173930, id=,S00, PRDE,actvstrat=,-0.918965, actvprof=,0.791949, id=,S01, PRDE,actvstrat=,-0.479975, actvprof=,3.305297, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.989763, id=,S03, PRDE,actvstrat=,0.297893, actvprof=,3.730855, id=,S04, PRDE,actvstrat=,-0.050190, actvprof=,1.208063, id=,S05, PRDE,actvstrat=,0.107886, actvprof=,1.032645, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.733066, id=,S07, PRDE,actvstrat=,-0.624968, actvprof=,0.005972, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.081945, id=,S09, PRDE,actvstrat=,0.235350, actvprof=,0.001250, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.005972, id=,S11, PRDE,actvstrat=,-0.455009, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.173930, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,6.989763, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.091409, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.611212, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.943116, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.338827, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,-0.129970, actvprof=,0.007222, id=,B05, PRDE,actvstrat=,-0.772573, actvprof=,0.142778, id=,B06, PRDE,actvstrat=,-0.759419, actvprof=,0.311389, id=,B07, PRDE,actvstrat=,0.478425, actvprof=,1.030278, id=,B08, PRDE,actvstrat=,0.361364, actvprof=,1.899444, id=,B09, PRDE,actvstrat=,-0.133958, actvprof=,2.358611, id=,B10, PRDE,actvstrat=,0.036752, actvprof=,3.420833, id=,B11, PRDE,actvstrat=,0.372313, actvprof=,5.751944, id=,S00, PRDE,actvstrat=,-0.376665, actvprof=,4.053333, id=,S01, PRDE,actvstrat=,0.020235, actvprof=,5.147500, id=,S02, PRDE,actvstrat=,-0.821042, actvprof=,0.945556, id=,S03, PRDE,actvstrat=,0.297893, actvprof=,3.148889, id=,S04, PRDE,actvstrat=,0.145726, actvprof=,1.767222, id=,S05, PRDE,actvstrat=,0.877071, actvprof=,3.030833, id=,S06, PRDE,actvstrat=,-0.479161, actvprof=,0.166111, id=,S07, PRDE,actvstrat=,0.642723, actvprof=,0.444167, id=,S08, PRDE,actvstrat=,0.669252, actvprof=,0.214167, id=,S09, PRDE,actvstrat=,0.526815, actvprof=,0.025000, id=,S10, PRDE,actvstrat=,-0.119517, actvprof=,0.003056, id=,S11, PRDE,actvstrat=,-0.726512, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.751944, best_B_strat=,0.372313, best_S_id=,S01, best_S_prof=,5.147500, best_S_strat=,0.020235, 
t=,36000, id=,B00, PRDE,actvstrat=,0.091409, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.611212, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.943116, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.338827, actvprof=,0.006667, id=,B04, PRDE,actvstrat=,-0.129970, actvprof=,0.014028, id=,B05, PRDE,actvstrat=,-0.772573, actvprof=,0.143890, id=,B06, PRDE,actvstrat=,-0.759419, actvprof=,0.280141, id=,B07, PRDE,actvstrat=,0.478425, actvprof=,1.069173, id=,B08, PRDE,actvstrat=,0.361364, actvprof=,1.855844, id=,B09, PRDE,actvstrat=,-0.133958, actvprof=,2.294041, id=,B10, PRDE,actvstrat=,0.036752, actvprof=,3.304047, id=,B11, PRDE,actvstrat=,0.372313, actvprof=,5.811423, id=,S00, PRDE,actvstrat=,-0.376665, actvprof=,3.980856, id=,S01, PRDE,actvstrat=,0.020235, actvprof=,5.081279, id=,S02, PRDE,actvstrat=,-0.821042, actvprof=,1.002089, id=,S03, PRDE,actvstrat=,0.297893, actvprof=,3.108351, id=,S04, PRDE,actvstrat=,0.145726, actvprof=,1.759316, id=,S05, PRDE,actvstrat=,0.877071, actvprof=,2.957795, id=,S06, PRDE,actvstrat=,-0.479161, actvprof=,0.162223, id=,S07, PRDE,actvstrat=,0.642723, actvprof=,0.465003, id=,S08, PRDE,actvstrat=,0.669252, actvprof=,0.204446, id=,S09, PRDE,actvstrat=,0.526815, actvprof=,0.032222, id=,S10, PRDE,actvstrat=,-0.119517, actvprof=,0.001528, id=,S11, PRDE,actvstrat=,-0.726512, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.811423, best_B_strat=,0.372313, best_S_id=,S01, best_S_prof=,5.081279, best_S_strat=,0.020235, 
