t=,1, id=,B00, PRDE,actvstrat=,0.927156, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.275347, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.837343, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.212608, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.238248, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.275403, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.440074, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.655625, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.788619, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.661256, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.838864, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.335740, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.127512, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.827713, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.047792, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.357820, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.332066, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.052585, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.818113, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.184214, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.361430, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.497354, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.003804, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.074967, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.927156, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.127512, 
t=,3600, id=,B00, PRDE,actvstrat=,0.927156, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.275347, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.837343, actvprof=,0.006389, id=,B03, PRDE,actvstrat=,-0.212608, actvprof=,0.015278, id=,B04, PRDE,actvstrat=,0.238248, actvprof=,0.072499, id=,B05, PRDE,actvstrat=,-0.275403, actvprof=,0.144165, id=,B06, PRDE,actvstrat=,0.440074, actvprof=,0.911934, id=,B07, PRDE,actvstrat=,0.655625, actvprof=,1.823868, id=,B08, PRDE,actvstrat=,0.788619, actvprof=,2.608581, id=,B09, PRDE,actvstrat=,-0.661256, actvprof=,3.053854, id=,B10, PRDE,actvstrat=,0.838864, actvprof=,4.456615, id=,B11, PRDE,actvstrat=,-0.335740, actvprof=,4.904388, id=,S00, PRDE,actvstrat=,0.127512, actvprof=,7.539357, id=,S01, PRDE,actvstrat=,0.827713, actvprof=,9.354892, id=,S02, PRDE,actvstrat=,0.047792, actvprof=,4.868555, id=,S03, PRDE,actvstrat=,0.357820, actvprof=,3.898566, id=,S04, PRDE,actvstrat=,-0.332066, actvprof=,0.875823, id=,S05, PRDE,actvstrat=,0.052585, actvprof=,1.134431, id=,S06, PRDE,actvstrat=,0.818113, actvprof=,1.865534, id=,S07, PRDE,actvstrat=,-0.184214, actvprof=,0.103054, id=,S08, PRDE,actvstrat=,0.361430, actvprof=,0.092499, id=,S09, PRDE,actvstrat=,-0.497354, actvprof=,0.004167, id=,S10, PRDE,actvstrat=,0.003804, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.074967, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.904388, best_B_strat=,-0.335740, best_S_id=,S01, best_S_prof=,9.354892, best_S_strat=,0.827713, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.900038, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.730007, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.349875, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.480671, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.022269, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.646706, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.902123, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.982272, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.576081, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.750038, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.012131, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.535527, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.314811, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.815693, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.115441, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.392547, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.280793, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.087101, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.196523, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.866050, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.683047, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.551520, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.147684, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.838166, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.900038, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.314811, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.900038, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.730007, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.349875, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.480671, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.022269, actvprof=,0.030277, id=,B05, PRDE,actvstrat=,0.646706, actvprof=,0.317496, id=,B06, PRDE,actvstrat=,-0.902123, actvprof=,0.576660, id=,B07, PRDE,actvstrat=,-0.982272, actvprof=,1.689703, id=,B08, PRDE,actvstrat=,-0.576081, actvprof=,1.302485, id=,B09, PRDE,actvstrat=,-0.750038, actvprof=,2.350806, id=,B10, PRDE,actvstrat=,0.012131, actvprof=,3.602736, id=,B11, PRDE,actvstrat=,-0.535527, actvprof=,4.530503, id=,S00, PRDE,actvstrat=,-0.314811, actvprof=,3.987732, id=,S01, PRDE,actvstrat=,0.815693, actvprof=,8.155739, id=,S02, PRDE,actvstrat=,0.115441, actvprof=,3.728012, id=,S03, PRDE,actvstrat=,-0.392547, actvprof=,0.767769, id=,S04, PRDE,actvstrat=,0.280793, actvprof=,1.643037, id=,S05, PRDE,actvstrat=,-0.087101, actvprof=,0.367496, id=,S06, PRDE,actvstrat=,-0.196523, actvprof=,0.080277, id=,S07, PRDE,actvstrat=,0.866050, actvprof=,0.568049, id=,S08, PRDE,actvstrat=,-0.683047, actvprof=,0.008889, id=,S09, PRDE,actvstrat=,0.551520, actvprof=,0.007222, id=,S10, PRDE,actvstrat=,-0.147684, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.838166, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.530503, best_B_strat=,-0.535527, best_S_id=,S01, best_S_prof=,8.155739, best_S_strat=,0.815693, 
t=,14400, id=,B00, PRDE,actvstrat=,0.021914, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.117794, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.704987, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.212608, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.808693, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.026292, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.902123, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.152089, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.409600, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.584289, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.344322, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.525210, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.947829, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.734094, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.115441, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.235302, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.909574, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.024929, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.818113, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.065242, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.361430, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.285505, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.147684, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.276783, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.021914, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.947829, 
t=,18000, id=,B00, PRDE,actvstrat=,0.021914, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.117794, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.704987, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.212608, actvprof=,0.008056, id=,B04, PRDE,actvstrat=,-0.808693, actvprof=,0.136389, id=,B05, PRDE,actvstrat=,-0.026292, actvprof=,0.131111, id=,B06, PRDE,actvstrat=,-0.902123, actvprof=,1.222500, id=,B07, PRDE,actvstrat=,0.152089, actvprof=,1.094167, id=,B08, PRDE,actvstrat=,0.409600, actvprof=,2.362222, id=,B09, PRDE,actvstrat=,-0.584289, actvprof=,2.630833, id=,B10, PRDE,actvstrat=,-0.344322, actvprof=,3.608889, id=,B11, PRDE,actvstrat=,-0.525210, actvprof=,5.213611, id=,S00, PRDE,actvstrat=,0.947829, actvprof=,10.612222, id=,S01, PRDE,actvstrat=,-0.734094, actvprof=,1.653333, id=,S02, PRDE,actvstrat=,0.115441, actvprof=,3.762500, id=,S03, PRDE,actvstrat=,0.235302, actvprof=,2.693056, id=,S04, PRDE,actvstrat=,-0.909574, actvprof=,0.142222, id=,S05, PRDE,actvstrat=,-0.024929, actvprof=,0.555000, id=,S06, PRDE,actvstrat=,0.818113, actvprof=,0.983056, id=,S07, PRDE,actvstrat=,-0.065242, actvprof=,0.017778, id=,S08, PRDE,actvstrat=,0.361430, actvprof=,0.023333, id=,S09, PRDE,actvstrat=,0.285505, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,-0.147684, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.276783, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.213611, best_B_strat=,-0.525210, best_S_id=,S00, best_S_prof=,10.612222, best_S_strat=,0.947829, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.365302, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.011848, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.532305, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.095398, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.410199, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.165392, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.788528, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.033046, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.015950, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.269734, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.688837, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.304366, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.613934, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.014189, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.188650, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.329539, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.365302, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.788528, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.365302, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,0.011848, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.532305, actvprof=,0.012778, id=,B04, PRDE,actvstrat=,0.095398, actvprof=,0.078334, id=,B05, PRDE,actvstrat=,-0.410199, actvprof=,0.182224, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.776676, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.817799, id=,B08, PRDE,actvstrat=,-0.165392, actvprof=,1.623630, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.315328, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,4.636998, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.149249, id=,S00, PRDE,actvstrat=,0.788528, actvprof=,11.203741, id=,S01, PRDE,actvstrat=,-0.033046, actvprof=,4.702277, id=,S02, PRDE,actvstrat=,-0.015950, actvprof=,3.417262, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.355618, id=,S04, PRDE,actvstrat=,0.269734, actvprof=,2.049190, id=,S05, PRDE,actvstrat=,0.688837, actvprof=,2.158081, id=,S06, PRDE,actvstrat=,0.304366, actvprof=,0.542228, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.527506, id=,S08, PRDE,actvstrat=,-0.613934, actvprof=,0.022500, id=,S09, PRDE,actvstrat=,-0.014189, actvprof=,0.007222, id=,S10, PRDE,actvstrat=,0.188650, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.329539, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.149249, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.203741, best_S_strat=,0.788528, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.365302, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,0.011848, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-0.532305, actvprof=,0.013611, id=,B04, PRDE,actvstrat=,0.095398, actvprof=,0.102778, id=,B05, PRDE,actvstrat=,-0.410199, actvprof=,0.170695, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.726393, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.814733, id=,B08, PRDE,actvstrat=,-0.165392, actvprof=,1.674037, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.458637, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,4.840306, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.177680, id=,S00, PRDE,actvstrat=,0.788528, actvprof=,11.049786, id=,S01, PRDE,actvstrat=,-0.033046, actvprof=,4.685722, id=,S02, PRDE,actvstrat=,-0.015950, actvprof=,3.543771, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.232391, id=,S04, PRDE,actvstrat=,0.269734, actvprof=,1.977095, id=,S05, PRDE,actvstrat=,0.688837, actvprof=,2.032512, id=,S06, PRDE,actvstrat=,0.304366, actvprof=,0.502503, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.554170, id=,S08, PRDE,actvstrat=,-0.613934, actvprof=,0.012222, id=,S09, PRDE,actvstrat=,-0.014189, actvprof=,0.011667, id=,S10, PRDE,actvstrat=,0.188650, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.329539, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.177680, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.049786, best_S_strat=,0.788528, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.499267, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.275347, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.493309, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.532305, actvprof=,0.006667, id=,B04, PRDE,actvstrat=,0.238248, actvprof=,0.141946, id=,B05, PRDE,actvstrat=,0.646706, actvprof=,0.511117, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.295003, id=,B07, PRDE,actvstrat=,0.088122, actvprof=,0.975567, id=,B08, PRDE,actvstrat=,0.788619, actvprof=,2.362805, id=,B09, PRDE,actvstrat=,-0.750038, actvprof=,3.348094, id=,B10, PRDE,actvstrat=,0.917566, actvprof=,3.738377, id=,B11, PRDE,actvstrat=,-0.535527, actvprof=,4.835334, id=,S00, PRDE,actvstrat=,0.113479, actvprof=,8.175650, id=,S01, PRDE,actvstrat=,0.815693, actvprof=,9.885670, id=,S02, PRDE,actvstrat=,0.979597, actvprof=,7.785646, id=,S03, PRDE,actvstrat=,-0.279023, actvprof=,1.559740, id=,S04, PRDE,actvstrat=,0.271680, actvprof=,2.658920, id=,S05, PRDE,actvstrat=,-0.740496, actvprof=,0.429449, id=,S06, PRDE,actvstrat=,0.362891, actvprof=,0.818621, id=,S07, PRDE,actvstrat=,0.866050, actvprof=,1.312793, id=,S08, PRDE,actvstrat=,0.016568, actvprof=,0.095279, id=,S09, PRDE,actvstrat=,0.511413, actvprof=,0.019722, id=,S10, PRDE,actvstrat=,0.848485, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.789844, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.835334, best_B_strat=,-0.535527, best_S_id=,S01, best_S_prof=,9.885670, best_S_strat=,0.815693, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.499267, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.275347, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.493309, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.532305, actvprof=,0.008056, id=,B04, PRDE,actvstrat=,0.238248, actvprof=,0.127362, id=,B05, PRDE,actvstrat=,0.646706, actvprof=,0.513197, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.273752, id=,B07, PRDE,actvstrat=,0.088122, actvprof=,1.008617, id=,B08, PRDE,actvstrat=,0.788619, actvprof=,2.336264, id=,B09, PRDE,actvstrat=,-0.750038, actvprof=,3.040990, id=,B10, PRDE,actvstrat=,0.917566, actvprof=,3.722383, id=,B11, PRDE,actvstrat=,-0.535527, actvprof=,4.949612, id=,S00, PRDE,actvstrat=,0.113479, actvprof=,8.125464, id=,S01, PRDE,actvstrat=,0.815693, actvprof=,9.805751, id=,S02, PRDE,actvstrat=,0.979597, actvprof=,7.823795, id=,S03, PRDE,actvstrat=,-0.279023, actvprof=,1.608204, id=,S04, PRDE,actvstrat=,0.271680, actvprof=,2.467237, id=,S05, PRDE,actvstrat=,-0.740496, actvprof=,0.419586, id=,S06, PRDE,actvstrat=,0.362891, actvprof=,0.856949, id=,S07, PRDE,actvstrat=,0.866050, actvprof=,1.267507, id=,S08, PRDE,actvstrat=,0.016568, actvprof=,0.088751, id=,S09, PRDE,actvstrat=,0.511413, actvprof=,0.020000, id=,S10, PRDE,actvstrat=,0.848485, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,0.789844, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.949612, best_B_strat=,-0.535527, best_S_id=,S01, best_S_prof=,9.805751, best_S_strat=,0.815693, 
