t=,1, id=,B00, PRDE,actvstrat=,0.314080, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.598867, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.169139, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.263185, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.919172, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.213193, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.972992, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.573451, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.952532, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.704145, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.538303, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.989857, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.772248, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.627617, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.522716, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.192570, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.420921, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.048350, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.425498, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.326611, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.215559, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.763060, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.374802, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.255753, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.314080, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.772248, 
t=,3600, id=,B00, PRDE,actvstrat=,0.314080, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.598867, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.169139, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.263185, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.919172, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.213193, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.972992, actvprof=,0.028055, id=,B07, PRDE,actvstrat=,-0.573451, actvprof=,0.005555, id=,B08, PRDE,actvstrat=,0.952532, actvprof=,0.390547, id=,B09, PRDE,actvstrat=,0.704145, actvprof=,0.869147, id=,B10, PRDE,actvstrat=,0.538303, actvprof=,1.465799, id=,B11, PRDE,actvstrat=,-0.989857, actvprof=,3.123261, id=,S00, PRDE,actvstrat=,-0.772248, actvprof=,3.700192, id=,S01, PRDE,actvstrat=,-0.627617, actvprof=,4.277401, id=,S02, PRDE,actvstrat=,-0.522716, actvprof=,3.571584, id=,S03, PRDE,actvstrat=,-0.192570, actvprof=,2.747159, id=,S04, PRDE,actvstrat=,-0.420921, actvprof=,1.511632, id=,S05, PRDE,actvstrat=,-0.048350, actvprof=,1.530798, id=,S06, PRDE,actvstrat=,0.425498, actvprof=,1.919122, id=,S07, PRDE,actvstrat=,-0.326611, actvprof=,0.153885, id=,S08, PRDE,actvstrat=,0.215559, actvprof=,0.155830, id=,S09, PRDE,actvstrat=,-0.763060, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.374802, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.255753, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.123261, best_B_strat=,-0.989857, best_S_id=,S01, best_S_prof=,4.277401, best_S_strat=,-0.627617, 
t=,7200, id=,B00, PRDE,actvstrat=,0.650431, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.539539, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.708891, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.955977, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.494220, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.059174, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.327050, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.739926, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.018434, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.089864, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.470226, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.497497, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.906712, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.293114, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.767526, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.216621, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.797839, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.636391, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.530675, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.099984, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.965405, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.702408, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.364701, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.171621, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.650431, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.906712, 
t=,10800, id=,B00, PRDE,actvstrat=,0.650431, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.539539, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,0.708891, actvprof=,0.012222, id=,B03, PRDE,actvstrat=,0.955977, actvprof=,0.111389, id=,B04, PRDE,actvstrat=,-0.494220, actvprof=,0.064444, id=,B05, PRDE,actvstrat=,0.059174, actvprof=,0.372778, id=,B06, PRDE,actvstrat=,-0.327050, actvprof=,0.604722, id=,B07, PRDE,actvstrat=,0.739926, actvprof=,2.246944, id=,B08, PRDE,actvstrat=,-0.018434, actvprof=,2.461944, id=,B09, PRDE,actvstrat=,-0.089864, actvprof=,3.641944, id=,B10, PRDE,actvstrat=,0.470226, actvprof=,5.702778, id=,B11, PRDE,actvstrat=,0.497497, actvprof=,7.346944, id=,S00, PRDE,actvstrat=,0.906712, actvprof=,9.680833, id=,S01, PRDE,actvstrat=,-0.293114, actvprof=,2.332500, id=,S02, PRDE,actvstrat=,0.767526, actvprof=,5.564722, id=,S03, PRDE,actvstrat=,0.216621, actvprof=,2.547778, id=,S04, PRDE,actvstrat=,0.797839, actvprof=,3.018611, id=,S05, PRDE,actvstrat=,0.636391, actvprof=,1.524167, id=,S06, PRDE,actvstrat=,0.530675, actvprof=,0.555556, id=,S07, PRDE,actvstrat=,0.099984, actvprof=,0.133611, id=,S08, PRDE,actvstrat=,0.965405, actvprof=,0.465000, id=,S09, PRDE,actvstrat=,0.702408, actvprof=,0.020556, id=,S10, PRDE,actvstrat=,0.364701, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.171621, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.346944, best_B_strat=,0.497497, best_S_id=,S00, best_S_prof=,9.680833, best_S_strat=,0.906712, 
t=,14400, id=,B00, PRDE,actvstrat=,0.650431, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.539539, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,0.708891, actvprof=,0.013194, id=,B03, PRDE,actvstrat=,0.955977, actvprof=,0.105556, id=,B04, PRDE,actvstrat=,-0.494220, actvprof=,0.067222, id=,B05, PRDE,actvstrat=,0.059174, actvprof=,0.376667, id=,B06, PRDE,actvstrat=,-0.327050, actvprof=,0.610833, id=,B07, PRDE,actvstrat=,0.739926, actvprof=,2.352361, id=,B08, PRDE,actvstrat=,-0.018434, actvprof=,2.498611, id=,B09, PRDE,actvstrat=,-0.089864, actvprof=,3.647361, id=,B10, PRDE,actvstrat=,0.470226, actvprof=,5.673194, id=,B11, PRDE,actvstrat=,0.497497, actvprof=,7.580694, id=,S00, PRDE,actvstrat=,0.906712, actvprof=,9.847500, id=,S01, PRDE,actvstrat=,-0.293114, actvprof=,2.303056, id=,S02, PRDE,actvstrat=,0.767526, actvprof=,5.769306, id=,S03, PRDE,actvstrat=,0.216621, actvprof=,2.494583, id=,S04, PRDE,actvstrat=,0.797839, actvprof=,3.129306, id=,S05, PRDE,actvstrat=,0.636391, actvprof=,1.469722, id=,S06, PRDE,actvstrat=,0.530675, actvprof=,0.500278, id=,S07, PRDE,actvstrat=,0.099984, actvprof=,0.116250, id=,S08, PRDE,actvstrat=,0.965405, actvprof=,0.435139, id=,S09, PRDE,actvstrat=,0.702408, actvprof=,0.014861, id=,S10, PRDE,actvstrat=,0.364701, actvprof=,0.000417, id=,S11, PRDE,actvstrat=,0.171621, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.580694, best_B_strat=,0.497497, best_S_id=,S00, best_S_prof=,9.847500, best_S_strat=,0.906712, 
t=,18000, id=,B00, PRDE,actvstrat=,0.650431, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.720040, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.506607, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.955977, actvprof=,0.045278, id=,B04, PRDE,actvstrat=,-0.482125, actvprof=,0.044167, id=,B05, PRDE,actvstrat=,0.522558, actvprof=,0.346115, id=,B06, PRDE,actvstrat=,0.115978, actvprof=,0.639174, id=,B07, PRDE,actvstrat=,-0.684571, actvprof=,1.109457, id=,B08, PRDE,actvstrat=,-0.710401, actvprof=,1.901966, id=,B09, PRDE,actvstrat=,-0.089864, actvprof=,3.631431, id=,B10, PRDE,actvstrat=,0.732395, actvprof=,5.735344, id=,B11, PRDE,actvstrat=,-0.343561, actvprof=,6.285628, id=,S00, PRDE,actvstrat=,0.906712, actvprof=,9.446220, id=,S01, PRDE,actvstrat=,-0.293114, actvprof=,1.728076, id=,S02, PRDE,actvstrat=,-0.085679, actvprof=,1.801132, id=,S03, PRDE,actvstrat=,-0.008629, actvprof=,1.218347, id=,S04, PRDE,actvstrat=,0.797839, actvprof=,2.961145, id=,S05, PRDE,actvstrat=,0.863939, actvprof=,2.023079, id=,S06, PRDE,actvstrat=,0.425498, actvprof=,0.369171, id=,S07, PRDE,actvstrat=,0.039225, actvprof=,0.078890, id=,S08, PRDE,actvstrat=,0.944989, actvprof=,0.257503, id=,S09, PRDE,actvstrat=,0.685213, actvprof=,0.007500, id=,S10, PRDE,actvstrat=,0.951915, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,-0.618663, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.285628, best_B_strat=,-0.343561, best_S_id=,S00, best_S_prof=,9.446220, best_S_strat=,0.906712, 
t=,21600, id=,B00, PRDE,actvstrat=,0.650431, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.720040, actvprof=,0.000417, id=,B02, PRDE,actvstrat=,0.506607, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.955977, actvprof=,0.055001, id=,B04, PRDE,actvstrat=,-0.482125, actvprof=,0.046667, id=,B05, PRDE,actvstrat=,0.522558, actvprof=,0.373893, id=,B06, PRDE,actvstrat=,0.115978, actvprof=,0.663480, id=,B07, PRDE,actvstrat=,-0.684571, actvprof=,1.138069, id=,B08, PRDE,actvstrat=,-0.710401, actvprof=,1.918911, id=,B09, PRDE,actvstrat=,-0.089864, actvprof=,3.689070, id=,B10, PRDE,actvstrat=,0.732395, actvprof=,6.006458, id=,B11, PRDE,actvstrat=,-0.343561, actvprof=,6.184655, id=,S00, PRDE,actvstrat=,0.906712, actvprof=,9.516638, id=,S01, PRDE,actvstrat=,-0.293114, actvprof=,1.947939, id=,S02, PRDE,actvstrat=,-0.085679, actvprof=,1.857660, id=,S03, PRDE,actvstrat=,-0.008629, actvprof=,1.217514, id=,S04, PRDE,actvstrat=,0.797839, actvprof=,2.719893, id=,S05, PRDE,actvstrat=,0.863939, actvprof=,1.960023, id=,S06, PRDE,actvstrat=,0.425498, actvprof=,0.338476, id=,S07, PRDE,actvstrat=,0.039225, actvprof=,0.091668, id=,S08, PRDE,actvstrat=,0.944989, actvprof=,0.278337, id=,S09, PRDE,actvstrat=,0.685213, actvprof=,0.006528, id=,S10, PRDE,actvstrat=,0.951915, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,-0.618663, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.184655, best_B_strat=,-0.343561, best_S_id=,S00, best_S_prof=,9.516638, best_S_strat=,0.906712, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.765389, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.871405, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.261394, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.183035, actvprof=,0.016667, id=,B04, PRDE,actvstrat=,-0.708791, actvprof=,0.141948, id=,B05, PRDE,actvstrat=,0.361566, actvprof=,0.476678, id=,B06, PRDE,actvstrat=,-0.764336, actvprof=,0.893910, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.286696, id=,B08, PRDE,actvstrat=,0.562933, actvprof=,2.991736, id=,B09, PRDE,actvstrat=,-0.872153, actvprof=,3.214241, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,5.857636, id=,B11, PRDE,actvstrat=,0.998511, actvprof=,8.017408, id=,S00, PRDE,actvstrat=,0.865847, actvprof=,9.657168, id=,S01, PRDE,actvstrat=,-0.290888, actvprof=,2.652284, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.432950, id=,S03, PRDE,actvstrat=,-0.338182, actvprof=,1.041691, id=,S04, PRDE,actvstrat=,0.515781, actvprof=,2.191995, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.065326, id=,S06, PRDE,actvstrat=,-0.163328, actvprof=,0.148059, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.796685, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.145003, id=,S09, PRDE,actvstrat=,-0.713934, actvprof=,0.007778, id=,S10, PRDE,actvstrat=,0.076721, actvprof=,0.007222, id=,S11, PRDE,actvstrat=,0.536518, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.017408, best_B_strat=,0.998511, best_S_id=,S00, best_S_prof=,9.657168, best_S_strat=,0.865847, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.765389, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.871405, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.261394, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.183035, actvprof=,0.022917, id=,B04, PRDE,actvstrat=,-0.708791, actvprof=,0.159030, id=,B05, PRDE,actvstrat=,0.361566, actvprof=,0.450977, id=,B06, PRDE,actvstrat=,-0.764336, actvprof=,0.813482, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.349182, id=,B08, PRDE,actvstrat=,0.562933, actvprof=,3.105036, id=,B09, PRDE,actvstrat=,-0.872153, actvprof=,3.341150, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,5.955069, id=,B11, PRDE,actvstrat=,0.998511, actvprof=,8.092733, id=,S00, PRDE,actvstrat=,0.865847, actvprof=,9.630945, id=,S01, PRDE,actvstrat=,-0.290888, actvprof=,2.667114, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.294529, id=,S03, PRDE,actvstrat=,-0.338182, actvprof=,1.072235, id=,S04, PRDE,actvstrat=,0.515781, actvprof=,2.234470, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.031968, id=,S06, PRDE,actvstrat=,-0.163328, actvprof=,0.154030, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.763620, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.161946, id=,S09, PRDE,actvstrat=,-0.713934, actvprof=,0.003889, id=,S10, PRDE,actvstrat=,0.076721, actvprof=,0.006250, id=,S11, PRDE,actvstrat=,0.536518, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.092733, best_B_strat=,0.998511, best_S_id=,S00, best_S_prof=,9.630945, best_S_strat=,0.865847, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.529113, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.539539, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.328785, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.803633, actvprof=,0.019167, id=,B04, PRDE,actvstrat=,-0.708791, actvprof=,0.098891, id=,B05, PRDE,actvstrat=,0.280681, actvprof=,0.393620, id=,B06, PRDE,actvstrat=,-0.764336, actvprof=,0.645015, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.248640, id=,B08, PRDE,actvstrat=,-0.932329, actvprof=,2.921457, id=,B09, PRDE,actvstrat=,-0.654543, actvprof=,3.166462, id=,B10, PRDE,actvstrat=,-0.355361, actvprof=,4.115929, id=,B11, PRDE,actvstrat=,0.998511, actvprof=,6.172921, id=,S00, PRDE,actvstrat=,0.865847, actvprof=,9.975231, id=,S01, PRDE,actvstrat=,-0.290888, actvprof=,2.520892, id=,S02, PRDE,actvstrat=,-0.871387, actvprof=,1.320586, id=,S03, PRDE,actvstrat=,0.672605, actvprof=,4.334823, id=,S04, PRDE,actvstrat=,0.911638, actvprof=,3.993148, id=,S05, PRDE,actvstrat=,0.671610, actvprof=,1.982546, id=,S06, PRDE,actvstrat=,0.701818, actvprof=,1.145027, id=,S07, PRDE,actvstrat=,-0.681502, actvprof=,0.051390, id=,S08, PRDE,actvstrat=,0.390785, actvprof=,0.188615, id=,S09, PRDE,actvstrat=,0.702408, actvprof=,0.128892, id=,S10, PRDE,actvstrat=,0.076721, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,-0.226341, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.172921, best_B_strat=,0.998511, best_S_id=,S00, best_S_prof=,9.975231, best_S_strat=,0.865847, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.529113, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.539539, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.328785, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.803633, actvprof=,0.016806, id=,B04, PRDE,actvstrat=,-0.708791, actvprof=,0.101529, id=,B05, PRDE,actvstrat=,0.280681, actvprof=,0.400699, id=,B06, PRDE,actvstrat=,-0.764336, actvprof=,0.706258, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.283348, id=,B08, PRDE,actvstrat=,-0.932329, actvprof=,2.707670, id=,B09, PRDE,actvstrat=,-0.654543, actvprof=,3.331011, id=,B10, PRDE,actvstrat=,-0.355361, actvprof=,4.444913, id=,B11, PRDE,actvstrat=,0.998511, actvprof=,6.079376, id=,S00, PRDE,actvstrat=,0.865847, actvprof=,9.932337, id=,S01, PRDE,actvstrat=,-0.290888, actvprof=,2.735171, id=,S02, PRDE,actvstrat=,-0.871387, actvprof=,1.239737, id=,S03, PRDE,actvstrat=,0.672605, actvprof=,4.204771, id=,S04, PRDE,actvstrat=,0.911638, actvprof=,3.960740, id=,S05, PRDE,actvstrat=,0.671610, actvprof=,1.998634, id=,S06, PRDE,actvstrat=,0.701818, actvprof=,1.167930, id=,S07, PRDE,actvstrat=,-0.681502, actvprof=,0.061112, id=,S08, PRDE,actvstrat=,0.390785, actvprof=,0.172641, id=,S09, PRDE,actvstrat=,0.702408, actvprof=,0.154307, id=,S10, PRDE,actvstrat=,0.076721, actvprof=,0.005833, id=,S11, PRDE,actvstrat=,-0.226341, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.079376, best_B_strat=,0.998511, best_S_id=,S00, best_S_prof=,9.932337, best_S_strat=,0.865847, 
