t=,0, id=,B00, PRDE,actvstrat=,-0.865801, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.532686, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.298536, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.381594, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.769928, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.323579, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.697629, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.216945, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.554876, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.658057, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.317245, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.146893, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.065492, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.803779, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.349186, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.139746, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.459740, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.662011, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.262635, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.409545, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.637211, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.222205, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.212638, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.226239, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.865801, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.065492, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.865801, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.532686, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.298536, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.381594, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.769928, actvprof=,0.067776, id=,B05, PRDE,actvstrat=,0.323579, actvprof=,0.277216, id=,B06, PRDE,actvstrat=,0.697629, actvprof=,1.087753, id=,B07, PRDE,actvstrat=,0.216945, actvprof=,1.342191, id=,B08, PRDE,actvstrat=,-0.554876, actvprof=,1.503021, id=,B09, PRDE,actvstrat=,-0.658057, actvprof=,2.918821, id=,B10, PRDE,actvstrat=,-0.317245, actvprof=,4.134904, id=,B11, PRDE,actvstrat=,0.146893, actvprof=,6.022638, id=,S00, PRDE,actvstrat=,0.065492, actvprof=,5.872642, id=,S01, PRDE,actvstrat=,0.803779, actvprof=,8.294808, id=,S02, PRDE,actvstrat=,-0.349186, actvprof=,1.635240, id=,S03, PRDE,actvstrat=,0.139746, actvprof=,2.545219, id=,S04, PRDE,actvstrat=,0.459740, actvprof=,1.974121, id=,S05, PRDE,actvstrat=,0.662011, actvprof=,1.511076, id=,S06, PRDE,actvstrat=,0.262635, actvprof=,0.397491, id=,S07, PRDE,actvstrat=,-0.409545, actvprof=,0.011389, id=,S08, PRDE,actvstrat=,0.637211, actvprof=,0.104164, id=,S09, PRDE,actvstrat=,0.222205, actvprof=,0.024166, id=,S10, PRDE,actvstrat=,0.212638, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,0.226239, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.022638, best_B_strat=,0.146893, best_S_id=,S01, best_S_prof=,8.294808, best_S_strat=,0.803779, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.510856, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.434743, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.060069, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.881203, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.798313, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.545287, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.557767, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.155447, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.326088, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.179816, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.425939, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.109063, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.283529, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.094954, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.027640, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.637322, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.101965, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.327083, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.900126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.474443, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.024633, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.068232, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.101532, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.400792, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.510856, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.283529, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.510856, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.434743, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.060069, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-0.881203, actvprof=,0.009722, id=,B04, PRDE,actvstrat=,0.798313, actvprof=,0.146389, id=,B05, PRDE,actvstrat=,-0.545287, actvprof=,0.122500, id=,B06, PRDE,actvstrat=,-0.557767, actvprof=,0.272778, id=,B07, PRDE,actvstrat=,-0.155447, actvprof=,0.729444, id=,B08, PRDE,actvstrat=,0.326088, actvprof=,1.975556, id=,B09, PRDE,actvstrat=,-0.179816, actvprof=,2.307222, id=,B10, PRDE,actvstrat=,0.425939, actvprof=,4.148889, id=,B11, PRDE,actvstrat=,-0.109063, actvprof=,4.879167, id=,S00, PRDE,actvstrat=,-0.283529, actvprof=,4.618056, id=,S01, PRDE,actvstrat=,0.094954, actvprof=,5.328611, id=,S02, PRDE,actvstrat=,0.027640, actvprof=,3.880278, id=,S03, PRDE,actvstrat=,0.637322, actvprof=,4.442500, id=,S04, PRDE,actvstrat=,-0.101965, actvprof=,1.199722, id=,S05, PRDE,actvstrat=,0.327083, actvprof=,1.257778, id=,S06, PRDE,actvstrat=,-0.900126, actvprof=,0.127778, id=,S07, PRDE,actvstrat=,-0.474443, actvprof=,0.104722, id=,S08, PRDE,actvstrat=,0.024633, actvprof=,0.049722, id=,S09, PRDE,actvstrat=,-0.068232, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.101532, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.400792, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.879167, best_B_strat=,-0.109063, best_S_id=,S01, best_S_prof=,5.328611, best_S_strat=,0.094954, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.510856, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.434743, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.060069, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.881203, actvprof=,0.014306, id=,B04, PRDE,actvstrat=,0.798313, actvprof=,0.130694, id=,B05, PRDE,actvstrat=,-0.545287, actvprof=,0.118194, id=,B06, PRDE,actvstrat=,-0.557767, actvprof=,0.257639, id=,B07, PRDE,actvstrat=,-0.155447, actvprof=,0.740833, id=,B08, PRDE,actvstrat=,0.326088, actvprof=,1.960278, id=,B09, PRDE,actvstrat=,-0.179816, actvprof=,2.249167, id=,B10, PRDE,actvstrat=,0.425939, actvprof=,4.248056, id=,B11, PRDE,actvstrat=,-0.109063, actvprof=,4.784306, id=,S00, PRDE,actvstrat=,-0.283529, actvprof=,4.537778, id=,S01, PRDE,actvstrat=,0.094954, actvprof=,5.459861, id=,S02, PRDE,actvstrat=,0.027640, actvprof=,3.652917, id=,S03, PRDE,actvstrat=,0.637322, actvprof=,4.507361, id=,S04, PRDE,actvstrat=,-0.101965, actvprof=,1.144028, id=,S05, PRDE,actvstrat=,0.327083, actvprof=,1.362778, id=,S06, PRDE,actvstrat=,-0.900126, actvprof=,0.113750, id=,S07, PRDE,actvstrat=,-0.474443, actvprof=,0.073611, id=,S08, PRDE,actvstrat=,0.024633, actvprof=,0.069583, id=,S09, PRDE,actvstrat=,-0.068232, actvprof=,0.002083, id=,S10, PRDE,actvstrat=,-0.101532, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.400792, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.784306, best_B_strat=,-0.109063, best_S_id=,S01, best_S_prof=,5.459861, best_S_strat=,0.094954, 
t=,18000, id=,B00, PRDE,actvstrat=,0.801820, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.346566, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.154094, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.177413, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,0.798313, actvprof=,0.027500, id=,B05, PRDE,actvstrat=,0.323579, actvprof=,0.055278, id=,B06, PRDE,actvstrat=,0.732509, actvprof=,0.453339, id=,B07, PRDE,actvstrat=,0.628556, actvprof=,0.788620, id=,B08, PRDE,actvstrat=,-0.035181, actvprof=,0.900010, id=,B09, PRDE,actvstrat=,-0.179816, actvprof=,1.304737, id=,B10, PRDE,actvstrat=,-0.568029, actvprof=,2.085580, id=,B11, PRDE,actvstrat=,-0.109063, actvprof=,3.600875, id=,S00, PRDE,actvstrat=,-0.742917, actvprof=,3.430873, id=,S01, PRDE,actvstrat=,0.094954, actvprof=,5.910068, id=,S02, PRDE,actvstrat=,0.027640, actvprof=,4.212549, id=,S03, PRDE,actvstrat=,-0.167383, actvprof=,1.261403, id=,S04, PRDE,actvstrat=,-0.101965, actvprof=,1.039179, id=,S05, PRDE,actvstrat=,-0.370052, actvprof=,0.322226, id=,S06, PRDE,actvstrat=,0.262635, actvprof=,0.469450, id=,S07, PRDE,actvstrat=,-0.474443, actvprof=,0.048334, id=,S08, PRDE,actvstrat=,-0.591801, actvprof=,0.007500, id=,S09, PRDE,actvstrat=,0.445333, actvprof=,0.017222, id=,S10, PRDE,actvstrat=,-0.678662, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.040973, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.600875, best_B_strat=,-0.109063, best_S_id=,S01, best_S_prof=,5.910068, best_S_strat=,0.094954, 
t=,21600, id=,B00, PRDE,actvstrat=,0.801820, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.346566, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.154094, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.177413, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,0.798313, actvprof=,0.026389, id=,B05, PRDE,actvstrat=,0.323579, actvprof=,0.055278, id=,B06, PRDE,actvstrat=,0.732509, actvprof=,0.422922, id=,B07, PRDE,actvstrat=,0.628556, actvprof=,0.769176, id=,B08, PRDE,actvstrat=,-0.035181, actvprof=,0.809037, id=,B09, PRDE,actvstrat=,-0.179816, actvprof=,1.301543, id=,B10, PRDE,actvstrat=,-0.568029, actvprof=,1.972662, id=,B11, PRDE,actvstrat=,-0.109063, actvprof=,3.668931, id=,S00, PRDE,actvstrat=,-0.742917, actvprof=,3.084897, id=,S01, PRDE,actvstrat=,0.094954, actvprof=,5.853123, id=,S02, PRDE,actvstrat=,0.027640, actvprof=,4.247688, id=,S03, PRDE,actvstrat=,-0.167383, actvprof=,1.529879, id=,S04, PRDE,actvstrat=,-0.101965, actvprof=,0.965428, id=,S05, PRDE,actvstrat=,-0.370052, actvprof=,0.320837, id=,S06, PRDE,actvstrat=,0.262635, actvprof=,0.472783, id=,S07, PRDE,actvstrat=,-0.474443, actvprof=,0.034167, id=,S08, PRDE,actvstrat=,-0.591801, actvprof=,0.010556, id=,S09, PRDE,actvstrat=,0.445333, actvprof=,0.018334, id=,S10, PRDE,actvstrat=,-0.678662, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.040973, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.668931, best_B_strat=,-0.109063, best_S_id=,S01, best_S_prof=,5.853123, best_S_strat=,0.094954, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.419134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.303918, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.025556, id=,B04, PRDE,actvstrat=,0.369840, actvprof=,0.099447, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.525568, id=,B06, PRDE,actvstrat=,0.104618, actvprof=,0.448066, id=,B07, PRDE,actvstrat=,0.050457, actvprof=,0.974745, id=,B08, PRDE,actvstrat=,0.610317, actvprof=,2.403667, id=,B09, PRDE,actvstrat=,-0.985561, actvprof=,4.382324, id=,B10, PRDE,actvstrat=,-0.393922, actvprof=,3.455636, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,9.253825, id=,S00, PRDE,actvstrat=,0.953597, actvprof=,11.029700, id=,S01, PRDE,actvstrat=,0.870253, actvprof=,8.755758, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.854325, id=,S03, PRDE,actvstrat=,-0.166020, actvprof=,0.966133, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.726707, id=,S05, PRDE,actvstrat=,-0.538117, actvprof=,0.091113, id=,S06, PRDE,actvstrat=,0.794757, actvprof=,0.530290, id=,S07, PRDE,actvstrat=,0.369533, actvprof=,0.042501, id=,S08, PRDE,actvstrat=,0.525287, actvprof=,0.003333, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.949557, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.253825, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.029700, best_S_strat=,0.953597, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.419134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.303918, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.023056, id=,B04, PRDE,actvstrat=,0.369840, actvprof=,0.107640, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.535145, id=,B06, PRDE,actvstrat=,0.104618, actvprof=,0.486533, id=,B07, PRDE,actvstrat=,0.050457, actvprof=,0.897927, id=,B08, PRDE,actvstrat=,0.610317, actvprof=,2.376972, id=,B09, PRDE,actvstrat=,-0.985561, actvprof=,4.321300, id=,B10, PRDE,actvstrat=,-0.393922, actvprof=,3.574902, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,9.504971, id=,S00, PRDE,actvstrat=,0.953597, actvprof=,11.022211, id=,S01, PRDE,actvstrat=,0.870253, actvprof=,8.952743, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.923413, id=,S03, PRDE,actvstrat=,-0.166020, actvprof=,0.919038, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.925717, id=,S05, PRDE,actvstrat=,-0.538117, actvprof=,0.091251, id=,S06, PRDE,actvstrat=,0.794757, actvprof=,0.473061, id=,S07, PRDE,actvstrat=,0.369533, actvprof=,0.044167, id=,S08, PRDE,actvstrat=,0.525287, actvprof=,0.003889, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.949557, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.504971, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.022211, best_S_strat=,0.953597, 
t=,32400, id=,B00, PRDE,actvstrat=,0.805472, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.334147, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.060069, actvprof=,0.008611, id=,B03, PRDE,actvstrat=,-0.881203, actvprof=,0.076668, id=,B04, PRDE,actvstrat=,0.369840, actvprof=,0.111669, id=,B05, PRDE,actvstrat=,-0.772004, actvprof=,0.527234, id=,B06, PRDE,actvstrat=,0.697629, actvprof=,1.137249, id=,B07, PRDE,actvstrat=,-0.098536, actvprof=,1.036413, id=,B08, PRDE,actvstrat=,0.882154, actvprof=,2.145327, id=,B09, PRDE,actvstrat=,-0.699943, actvprof=,3.316188, id=,B10, PRDE,actvstrat=,0.399969, actvprof=,4.406769, id=,B11, PRDE,actvstrat=,0.326828, actvprof=,6.111808, id=,S00, PRDE,actvstrat=,0.666502, actvprof=,10.334128, id=,S01, PRDE,actvstrat=,0.974985, actvprof=,9.518554, id=,S02, PRDE,actvstrat=,-0.835211, actvprof=,1.088636, id=,S03, PRDE,actvstrat=,0.847260, actvprof=,6.237644, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.044237, id=,S05, PRDE,actvstrat=,-0.370052, actvprof=,0.457233, id=,S06, PRDE,actvstrat=,0.163268, actvprof=,0.676960, id=,S07, PRDE,actvstrat=,0.369533, actvprof=,0.335841, id=,S08, PRDE,actvstrat=,-0.591801, actvprof=,0.009445, id=,S09, PRDE,actvstrat=,-0.341954, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.642294, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.949557, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.111808, best_B_strat=,0.326828, best_S_id=,S00, best_S_prof=,10.334128, best_S_strat=,0.666502, 
t=,36000, id=,B00, PRDE,actvstrat=,0.805472, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.334147, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.060069, actvprof=,0.005139, id=,B03, PRDE,actvstrat=,-0.881203, actvprof=,0.082362, id=,B04, PRDE,actvstrat=,0.369840, actvprof=,0.102085, id=,B05, PRDE,actvstrat=,-0.772004, actvprof=,0.488339, id=,B06, PRDE,actvstrat=,0.697629, actvprof=,1.131819, id=,B07, PRDE,actvstrat=,-0.098536, actvprof=,1.047095, id=,B08, PRDE,actvstrat=,0.882154, actvprof=,2.248915, id=,B09, PRDE,actvstrat=,-0.699943, actvprof=,3.160037, id=,B10, PRDE,actvstrat=,0.399969, actvprof=,4.402412, id=,B11, PRDE,actvstrat=,0.326828, actvprof=,6.008542, id=,S00, PRDE,actvstrat=,0.666502, actvprof=,10.449149, id=,S01, PRDE,actvstrat=,0.974985, actvprof=,9.539833, id=,S02, PRDE,actvstrat=,-0.835211, actvprof=,0.976122, id=,S03, PRDE,actvstrat=,0.847260, actvprof=,6.183266, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.097675, id=,S05, PRDE,actvstrat=,-0.370052, actvprof=,0.467922, id=,S06, PRDE,actvstrat=,0.163268, actvprof=,0.684036, id=,S07, PRDE,actvstrat=,0.369533, actvprof=,0.341810, id=,S08, PRDE,actvstrat=,-0.591801, actvprof=,0.010556, id=,S09, PRDE,actvstrat=,-0.341954, actvprof=,0.002639, id=,S10, PRDE,actvstrat=,-0.642294, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.949557, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.008542, best_B_strat=,0.326828, best_S_id=,S00, best_S_prof=,10.449149, best_S_strat=,0.666502, 
