t=,3600, id=,B00, PRDE,actvstrat=,0.472942, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.766173, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.774462, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.706469, actvprof=,0.041666, id=,B04, PRDE,actvstrat=,0.332578, actvprof=,0.101665, id=,B05, PRDE,actvstrat=,0.981962, actvprof=,0.236386, id=,B06, PRDE,actvstrat=,0.166832, actvprof=,0.593326, id=,B07, PRDE,actvstrat=,0.045232, actvprof=,1.155820, id=,B08, PRDE,actvstrat=,-0.928816, actvprof=,2.640803, id=,B09, PRDE,actvstrat=,0.355507, actvprof=,3.699679, id=,B10, PRDE,actvstrat=,-0.849110, actvprof=,4.096619, id=,B11, PRDE,actvstrat=,0.964785, actvprof=,6.280483, id=,S00, PRDE,actvstrat=,0.340543, actvprof=,9.062673, id=,S01, PRDE,actvstrat=,0.657067, actvprof=,8.108517, id=,S02, PRDE,actvstrat=,0.710949, actvprof=,6.244928, id=,S03, PRDE,actvstrat=,-0.941825, actvprof=,3.268018, id=,S04, PRDE,actvstrat=,0.129584, actvprof=,2.157197, id=,S05, PRDE,actvstrat=,-0.498478, actvprof=,0.651381, id=,S06, PRDE,actvstrat=,0.454850, actvprof=,0.906101, id=,S07, PRDE,actvstrat=,0.578037, actvprof=,0.686103, id=,S08, PRDE,actvstrat=,0.003537, actvprof=,0.131665, id=,S09, PRDE,actvstrat=,-0.822692, actvprof=,0.014167, id=,S10, PRDE,actvstrat=,-0.250726, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.880586, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.280483, best_B_strat=,0.964785, best_S_id=,S00, best_S_prof=,9.062673, best_S_strat=,0.340543, 
t=,7200, id=,B00, PRDE,actvstrat=,0.029500, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.853424, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.817917, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.012770, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.990784, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.330425, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.169022, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.158963, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.926414, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.116466, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.526729, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.681712, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.762110, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.427320, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.334434, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.112727, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.209326, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.404438, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.298068, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.290546, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.742257, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.197661, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.098179, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.367250, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.029500, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.762110, 
t=,10800, id=,B00, PRDE,actvstrat=,0.029500, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.853424, actvprof=,0.001111, id=,B02, PRDE,actvstrat=,0.817917, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,0.012770, actvprof=,0.013611, id=,B04, PRDE,actvstrat=,-0.990784, actvprof=,0.065555, id=,B05, PRDE,actvstrat=,0.330425, actvprof=,0.195831, id=,B06, PRDE,actvstrat=,0.169022, actvprof=,0.465272, id=,B07, PRDE,actvstrat=,0.158963, actvprof=,0.791102, id=,B08, PRDE,actvstrat=,0.926414, actvprof=,1.665814, id=,B09, PRDE,actvstrat=,-0.116466, actvprof=,2.459138, id=,B10, PRDE,actvstrat=,-0.526729, actvprof=,3.280240, id=,B11, PRDE,actvstrat=,0.681712, actvprof=,5.677434, id=,S00, PRDE,actvstrat=,0.762110, actvprof=,11.758197, id=,S01, PRDE,actvstrat=,0.427320, actvprof=,7.856298, id=,S02, PRDE,actvstrat=,-0.334434, actvprof=,3.341350, id=,S03, PRDE,actvstrat=,-0.112727, actvprof=,2.453027, id=,S04, PRDE,actvstrat=,0.209326, actvprof=,2.711635, id=,S05, PRDE,actvstrat=,0.404438, actvprof=,2.221085, id=,S06, PRDE,actvstrat=,0.298068, actvprof=,0.894990, id=,S07, PRDE,actvstrat=,-0.290546, actvprof=,0.094443, id=,S08, PRDE,actvstrat=,-0.742257, actvprof=,0.041944, id=,S09, PRDE,actvstrat=,-0.197661, actvprof=,0.008611, id=,S10, PRDE,actvstrat=,-0.098179, actvprof=,0.005555, id=,S11, PRDE,actvstrat=,-0.367250, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.677434, best_B_strat=,0.681712, best_S_id=,S00, best_S_prof=,11.758197, best_S_strat=,0.762110, 
t=,14400, id=,B00, PRDE,actvstrat=,0.383243, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.853424, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.817917, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.009827, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.432143, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.766033, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.031611, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.103052, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.119525, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.892182, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.197620, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.608419, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.597247, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.478618, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.710949, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.908364, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.780596, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.404438, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.298068, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.852479, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.003537, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.348414, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.064946, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.520007, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.383243, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.597247, 
t=,18000, id=,B00, PRDE,actvstrat=,0.383243, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.853424, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,0.817917, actvprof=,0.013611, id=,B03, PRDE,actvstrat=,-0.009827, actvprof=,0.023611, id=,B04, PRDE,actvstrat=,0.432143, actvprof=,0.212222, id=,B05, PRDE,actvstrat=,-0.766033, actvprof=,0.305278, id=,B06, PRDE,actvstrat=,-0.031611, actvprof=,1.072778, id=,B07, PRDE,actvstrat=,-0.103052, actvprof=,1.926667, id=,B08, PRDE,actvstrat=,-0.119525, actvprof=,2.993056, id=,B09, PRDE,actvstrat=,-0.892182, actvprof=,4.639722, id=,B10, PRDE,actvstrat=,-0.197620, actvprof=,5.356944, id=,B11, PRDE,actvstrat=,0.608419, actvprof=,8.430833, id=,S00, PRDE,actvstrat=,0.597247, actvprof=,7.340000, id=,S01, PRDE,actvstrat=,0.478618, actvprof=,5.235833, id=,S02, PRDE,actvstrat=,0.710949, actvprof=,4.663056, id=,S03, PRDE,actvstrat=,0.908364, actvprof=,3.769444, id=,S04, PRDE,actvstrat=,-0.780596, actvprof=,0.185556, id=,S05, PRDE,actvstrat=,0.404438, actvprof=,0.616667, id=,S06, PRDE,actvstrat=,0.298068, actvprof=,0.363056, id=,S07, PRDE,actvstrat=,0.852479, actvprof=,0.634167, id=,S08, PRDE,actvstrat=,0.003537, actvprof=,0.021389, id=,S09, PRDE,actvstrat=,0.348414, actvprof=,0.024722, id=,S10, PRDE,actvstrat=,0.064946, actvprof=,0.004167, id=,S11, PRDE,actvstrat=,0.520007, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.430833, best_B_strat=,0.608419, best_S_id=,S00, best_S_prof=,7.340000, best_S_strat=,0.597247, 
t=,21600, id=,B00, PRDE,actvstrat=,0.383243, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.853424, actvprof=,0.000694, id=,B02, PRDE,actvstrat=,0.817917, actvprof=,0.011389, id=,B03, PRDE,actvstrat=,-0.009827, actvprof=,0.029445, id=,B04, PRDE,actvstrat=,0.432143, actvprof=,0.228057, id=,B05, PRDE,actvstrat=,-0.766033, actvprof=,0.395280, id=,B06, PRDE,actvstrat=,-0.031611, actvprof=,1.100979, id=,B07, PRDE,actvstrat=,-0.103052, actvprof=,1.708343, id=,B08, PRDE,actvstrat=,-0.119525, actvprof=,2.988212, id=,B09, PRDE,actvstrat=,-0.892182, actvprof=,4.799750, id=,B10, PRDE,actvstrat=,-0.197620, actvprof=,5.547115, id=,B11, PRDE,actvstrat=,0.608419, actvprof=,8.273242, id=,S00, PRDE,actvstrat=,0.597247, actvprof=,7.398237, id=,S01, PRDE,actvstrat=,0.478618, actvprof=,5.052529, id=,S02, PRDE,actvstrat=,0.710949, actvprof=,4.732250, id=,S03, PRDE,actvstrat=,0.908364, actvprof=,4.023912, id=,S04, PRDE,actvstrat=,-0.780596, actvprof=,0.188751, id=,S05, PRDE,actvstrat=,0.404438, actvprof=,0.660282, id=,S06, PRDE,actvstrat=,0.298068, actvprof=,0.308891, id=,S07, PRDE,actvstrat=,0.852479, actvprof=,0.532225, id=,S08, PRDE,actvstrat=,0.003537, actvprof=,0.023333, id=,S09, PRDE,actvstrat=,0.348414, actvprof=,0.019722, id=,S10, PRDE,actvstrat=,0.064946, actvprof=,0.002361, id=,S11, PRDE,actvstrat=,0.520007, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.273242, best_B_strat=,0.608419, best_S_id=,S00, best_S_prof=,7.398237, best_S_strat=,0.597247, 
t=,25200, id=,B00, PRDE,actvstrat=,0.183201, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.573868, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.513715, actvprof=,0.016111, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.040556, id=,B04, PRDE,actvstrat=,0.702456, actvprof=,0.160280, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.250836, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.999468, id=,B07, PRDE,actvstrat=,-0.318557, actvprof=,0.981122, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.733643, id=,B09, PRDE,actvstrat=,-0.475189, actvprof=,3.139481, id=,B10, PRDE,actvstrat=,-0.335209, actvprof=,4.674776, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,10.092617, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.917615, id=,S01, PRDE,actvstrat=,0.761102, actvprof=,6.846190, id=,S02, PRDE,actvstrat=,-0.201974, actvprof=,1.118346, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.806433, id=,S04, PRDE,actvstrat=,0.518841, actvprof=,1.142791, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.687520, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.741397, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.161391, id=,S08, PRDE,actvstrat=,0.988492, actvprof=,0.009167, id=,S09, PRDE,actvstrat=,-0.598959, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.129906, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.659120, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.092617, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.917615, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.183201, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.573868, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.513715, actvprof=,0.008750, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.024306, id=,B04, PRDE,actvstrat=,0.702456, actvprof=,0.156806, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.246807, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.830427, id=,B07, PRDE,actvstrat=,-0.318557, actvprof=,0.918478, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.767933, id=,B09, PRDE,actvstrat=,-0.475189, actvprof=,3.251963, id=,B10, PRDE,actvstrat=,-0.335209, actvprof=,4.747250, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,10.041447, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.020475, id=,S01, PRDE,actvstrat=,0.761102, actvprof=,6.934207, id=,S02, PRDE,actvstrat=,-0.201974, actvprof=,1.079590, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.819328, id=,S04, PRDE,actvstrat=,0.518841, actvprof=,1.157368, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.710427, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.760282, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.156529, id=,S08, PRDE,actvstrat=,0.988492, actvprof=,0.008056, id=,S09, PRDE,actvstrat=,-0.598959, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.129906, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.659120, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.041447, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,10.020475, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.029500, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.499597, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.513715, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.275407, actvprof=,0.021389, id=,B04, PRDE,actvstrat=,-0.237939, actvprof=,0.064445, id=,B05, PRDE,actvstrat=,-0.762204, actvprof=,0.282503, id=,B06, PRDE,actvstrat=,-0.785622, actvprof=,0.670008, id=,B07, PRDE,actvstrat=,-0.556410, actvprof=,1.537240, id=,B08, PRDE,actvstrat=,0.926414, actvprof=,2.962534, id=,B09, PRDE,actvstrat=,-0.475189, actvprof=,3.674487, id=,B10, PRDE,actvstrat=,-0.391536, actvprof=,4.683943, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.724545, id=,S00, PRDE,actvstrat=,-0.920412, actvprof=,0.698619, id=,S01, PRDE,actvstrat=,0.761102, actvprof=,6.876746, id=,S02, PRDE,actvstrat=,0.710949, actvprof=,4.897557, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.129492, id=,S04, PRDE,actvstrat=,-0.654662, actvprof=,0.229169, id=,S05, PRDE,actvstrat=,0.050997, actvprof=,0.440838, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.450561, id=,S07, PRDE,actvstrat=,0.578037, actvprof=,0.094723, id=,S08, PRDE,actvstrat=,-0.160995, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.348414, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.937210, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.191788, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.724545, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,6.876746, best_S_strat=,0.761102, 
t=,36000, id=,B00, PRDE,actvstrat=,0.029500, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.499597, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.513715, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.275407, actvprof=,0.014861, id=,B04, PRDE,actvstrat=,-0.237939, actvprof=,0.077917, id=,B05, PRDE,actvstrat=,-0.762204, actvprof=,0.279307, id=,B06, PRDE,actvstrat=,-0.785622, actvprof=,0.707643, id=,B07, PRDE,actvstrat=,-0.556410, actvprof=,1.548342, id=,B08, PRDE,actvstrat=,0.926414, actvprof=,2.930295, id=,B09, PRDE,actvstrat=,-0.475189, actvprof=,3.611965, id=,B10, PRDE,actvstrat=,-0.391536, actvprof=,4.823778, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.621717, id=,S00, PRDE,actvstrat=,-0.920412, actvprof=,0.600976, id=,S01, PRDE,actvstrat=,0.761102, actvprof=,7.083930, id=,S02, PRDE,actvstrat=,0.710949, actvprof=,5.099196, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.123357, id=,S04, PRDE,actvstrat=,-0.654662, actvprof=,0.196529, id=,S05, PRDE,actvstrat=,0.050997, actvprof=,0.460558, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.480419, id=,S07, PRDE,actvstrat=,0.578037, actvprof=,0.096806, id=,S08, PRDE,actvstrat=,-0.160995, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.348414, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.937210, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.191788, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.621717, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,7.083930, best_S_strat=,0.761102, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.592186, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.734586, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.237939, actvprof=,0.037500, id=,B05, PRDE,actvstrat=,0.007592, actvprof=,0.226114, id=,B06, PRDE,actvstrat=,0.467950, actvprof=,1.096402, id=,B07, PRDE,actvstrat=,-0.556410, actvprof=,1.071957, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.159770, id=,B09, PRDE,actvstrat=,0.163556, actvprof=,5.923957, id=,B10, PRDE,actvstrat=,-0.305352, actvprof=,6.744523, id=,B11, PRDE,actvstrat=,-0.987881, actvprof=,6.205905, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.110638, id=,S01, PRDE,actvstrat=,0.835494, actvprof=,6.483964, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.763111, id=,S03, PRDE,actvstrat=,0.204202, actvprof=,0.868899, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.721687, id=,S05, PRDE,actvstrat=,0.603810, actvprof=,0.098334, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.098890, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.003333, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000556, id=,S09, PRDE,actvstrat=,-0.611281, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.735273, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.533891, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.744523, best_B_strat=,-0.305352, best_S_id=,S00, best_S_prof=,7.110638, best_S_strat=,-1.000000, 
