t=,3600, id=,B00, PRDE,actvstrat=,-0.729526, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.220044, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.400845, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.576729, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.659396, actvprof=,0.011667, id=,B05, PRDE,actvstrat=,0.322211, actvprof=,0.127499, id=,B06, PRDE,actvstrat=,0.250633, actvprof=,0.323052, id=,B07, PRDE,actvstrat=,0.903440, actvprof=,1.232764, id=,B08, PRDE,actvstrat=,0.087296, actvprof=,1.453317, id=,B09, PRDE,actvstrat=,-0.674491, actvprof=,1.785257, id=,B10, PRDE,actvstrat=,0.580345, actvprof=,4.412171, id=,B11, PRDE,actvstrat=,-0.965031, actvprof=,5.772433, id=,S00, PRDE,actvstrat=,-0.605823, actvprof=,3.994954, id=,S01, PRDE,actvstrat=,-0.623656, actvprof=,3.251073, id=,S02, PRDE,actvstrat=,0.844049, actvprof=,8.243238, id=,S03, PRDE,actvstrat=,0.273559, actvprof=,3.576070, id=,S04, PRDE,actvstrat=,0.745377, actvprof=,4.017731, id=,S05, PRDE,actvstrat=,-0.037980, actvprof=,0.980266, id=,S06, PRDE,actvstrat=,-0.115265, actvprof=,0.203609, id=,S07, PRDE,actvstrat=,-0.786476, actvprof=,0.008889, id=,S08, PRDE,actvstrat=,-0.273699, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.765209, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.428967, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.578916, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.772433, best_B_strat=,-0.965031, best_S_id=,S02, best_S_prof=,8.243238, best_S_strat=,0.844049, 
t=,7200, id=,B00, PRDE,actvstrat=,0.178014, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.948114, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.672161, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.890885, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.980417, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.040538, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.884660, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.292389, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.196998, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.672536, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.451051, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.627127, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.042653, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.970995, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.696656, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.816364, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.475278, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.724335, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.366961, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.652669, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.024506, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.463390, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.529602, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.996623, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.178014, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.042653, 
t=,10800, id=,B00, PRDE,actvstrat=,0.178014, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.948114, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.672161, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.890885, actvprof=,0.042499, id=,B04, PRDE,actvstrat=,0.980417, actvprof=,0.108053, id=,B05, PRDE,actvstrat=,0.040538, actvprof=,0.186940, id=,B06, PRDE,actvstrat=,-0.884660, actvprof=,1.042476, id=,B07, PRDE,actvstrat=,-0.292389, actvprof=,0.904146, id=,B08, PRDE,actvstrat=,0.196998, actvprof=,2.216338, id=,B09, PRDE,actvstrat=,-0.672536, actvprof=,3.171038, id=,B10, PRDE,actvstrat=,-0.451051, actvprof=,4.341011, id=,B11, PRDE,actvstrat=,0.627127, actvprof=,6.731511, id=,S00, PRDE,actvstrat=,-0.042653, actvprof=,6.110970, id=,S01, PRDE,actvstrat=,0.970995, actvprof=,8.396750, id=,S02, PRDE,actvstrat=,-0.696656, actvprof=,1.630518, id=,S03, PRDE,actvstrat=,0.816364, actvprof=,4.526562, id=,S04, PRDE,actvstrat=,0.475278, actvprof=,2.230226, id=,S05, PRDE,actvstrat=,-0.724335, actvprof=,0.478044, id=,S06, PRDE,actvstrat=,0.366961, actvprof=,0.624430, id=,S07, PRDE,actvstrat=,0.652669, actvprof=,0.416657, id=,S08, PRDE,actvstrat=,0.024506, actvprof=,0.061943, id=,S09, PRDE,actvstrat=,0.463390, actvprof=,0.034721, id=,S10, PRDE,actvstrat=,-0.529602, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.996623, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.731511, best_B_strat=,0.627127, best_S_id=,S01, best_S_prof=,8.396750, best_S_strat=,0.970995, 
t=,14400, id=,B00, PRDE,actvstrat=,0.636730, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.508219, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.357643, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.687501, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.055080, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.291428, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.125258, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.348480, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.487909, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.672536, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.657782, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.590962, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.917711, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.753887, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.926911, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.548030, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.582851, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.425362, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.366961, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.245112, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.024506, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.973582, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.593937, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.575262, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.636730, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.917711, 
t=,18000, id=,B00, PRDE,actvstrat=,0.636730, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.508219, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.357643, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.687501, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.055080, actvprof=,0.015833, id=,B05, PRDE,actvstrat=,0.291428, actvprof=,0.059444, id=,B06, PRDE,actvstrat=,-0.125258, actvprof=,0.201667, id=,B07, PRDE,actvstrat=,0.348480, actvprof=,0.740000, id=,B08, PRDE,actvstrat=,-0.487909, actvprof=,0.878333, id=,B09, PRDE,actvstrat=,-0.672536, actvprof=,1.744444, id=,B10, PRDE,actvstrat=,0.657782, actvprof=,4.526111, id=,B11, PRDE,actvstrat=,0.590962, actvprof=,6.360278, id=,S00, PRDE,actvstrat=,-0.917711, actvprof=,2.739722, id=,S01, PRDE,actvstrat=,-0.753887, actvprof=,2.861667, id=,S02, PRDE,actvstrat=,-0.926911, actvprof=,1.931667, id=,S03, PRDE,actvstrat=,0.548030, actvprof=,3.796667, id=,S04, PRDE,actvstrat=,0.582851, actvprof=,2.816944, id=,S05, PRDE,actvstrat=,0.425362, actvprof=,1.360000, id=,S06, PRDE,actvstrat=,0.366961, actvprof=,0.521111, id=,S07, PRDE,actvstrat=,0.245112, actvprof=,0.245278, id=,S08, PRDE,actvstrat=,0.024506, actvprof=,0.044167, id=,S09, PRDE,actvstrat=,0.973582, actvprof=,0.136389, id=,S10, PRDE,actvstrat=,0.593937, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,0.575262, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.360278, best_B_strat=,0.590962, best_S_id=,S03, best_S_prof=,3.796667, best_S_strat=,0.548030, 
t=,21600, id=,B00, PRDE,actvstrat=,0.636730, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.508219, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.357643, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.687501, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.055080, actvprof=,0.010833, id=,B05, PRDE,actvstrat=,0.291428, actvprof=,0.074862, id=,B06, PRDE,actvstrat=,-0.125258, actvprof=,0.153473, id=,B07, PRDE,actvstrat=,0.348480, actvprof=,0.783338, id=,B08, PRDE,actvstrat=,-0.487909, actvprof=,0.817921, id=,B09, PRDE,actvstrat=,-0.672536, actvprof=,1.694315, id=,B10, PRDE,actvstrat=,0.657782, actvprof=,4.487526, id=,B11, PRDE,actvstrat=,0.590962, actvprof=,6.308509, id=,S00, PRDE,actvstrat=,-0.917711, actvprof=,2.586682, id=,S01, PRDE,actvstrat=,-0.753887, actvprof=,2.674877, id=,S02, PRDE,actvstrat=,-0.926911, actvprof=,1.844316, id=,S03, PRDE,actvstrat=,0.548030, actvprof=,3.963217, id=,S04, PRDE,actvstrat=,0.582851, actvprof=,2.851544, id=,S05, PRDE,actvstrat=,0.425362, actvprof=,1.439314, id=,S06, PRDE,actvstrat=,0.366961, actvprof=,0.629170, id=,S07, PRDE,actvstrat=,0.245112, actvprof=,0.223751, id=,S08, PRDE,actvstrat=,0.024506, actvprof=,0.047084, id=,S09, PRDE,actvstrat=,0.973582, actvprof=,0.145279, id=,S10, PRDE,actvstrat=,0.593937, actvprof=,0.002361, id=,S11, PRDE,actvstrat=,0.575262, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.308509, best_B_strat=,0.590962, best_S_id=,S03, best_S_prof=,3.963217, best_S_strat=,0.548030, 
t=,25200, id=,B00, PRDE,actvstrat=,0.504993, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.932506, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.048056, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.297503, id=,B06, PRDE,actvstrat=,-0.898922, actvprof=,0.385282, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.990301, id=,B08, PRDE,actvstrat=,0.273310, actvprof=,1.899189, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.386972, id=,B10, PRDE,actvstrat=,-0.397321, actvprof=,3.531430, id=,B11, PRDE,actvstrat=,-0.739447, actvprof=,4.657832, id=,S00, PRDE,actvstrat=,0.040367, actvprof=,7.678144, id=,S01, PRDE,actvstrat=,0.009024, actvprof=,6.386185, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.741478, id=,S03, PRDE,actvstrat=,-0.398524, actvprof=,1.732242, id=,S04, PRDE,actvstrat=,-0.549001, actvprof=,0.771676, id=,S05, PRDE,actvstrat=,0.970788, actvprof=,2.725309, id=,S06, PRDE,actvstrat=,0.671551, actvprof=,1.244737, id=,S07, PRDE,actvstrat=,-0.674142, actvprof=,0.023334, id=,S08, PRDE,actvstrat=,0.507974, actvprof=,0.110557, id=,S09, PRDE,actvstrat=,-0.310277, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.409186, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.657832, best_B_strat=,-0.739447, best_S_id=,S02, best_S_prof=,7.741478, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.504993, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.932506, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.033750, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.295696, id=,B06, PRDE,actvstrat=,-0.898922, actvprof=,0.384308, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.048762, id=,B08, PRDE,actvstrat=,0.273310, actvprof=,1.827511, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.326541, id=,B10, PRDE,actvstrat=,-0.397321, actvprof=,3.541826, id=,B11, PRDE,actvstrat=,-0.739447, actvprof=,4.758083, id=,S00, PRDE,actvstrat=,0.040367, actvprof=,7.525044, id=,S01, PRDE,actvstrat=,0.009024, actvprof=,6.063646, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.815462, id=,S03, PRDE,actvstrat=,-0.398524, actvprof=,1.765288, id=,S04, PRDE,actvstrat=,-0.549001, actvprof=,0.736671, id=,S05, PRDE,actvstrat=,0.970788, actvprof=,2.647238, id=,S06, PRDE,actvstrat=,0.671551, actvprof=,1.258063, id=,S07, PRDE,actvstrat=,-0.674142, actvprof=,0.053473, id=,S08, PRDE,actvstrat=,0.507974, actvprof=,0.113612, id=,S09, PRDE,actvstrat=,-0.310277, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.409186, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.758083, best_B_strat=,-0.739447, best_S_id=,S02, best_S_prof=,7.815462, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.517062, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.932506, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.016667, id=,B04, PRDE,actvstrat=,-0.347932, actvprof=,0.013611, id=,B05, PRDE,actvstrat=,-0.915097, actvprof=,0.282503, id=,B06, PRDE,actvstrat=,0.076473, actvprof=,0.501117, id=,B07, PRDE,actvstrat=,0.924673, actvprof=,1.631963, id=,B08, PRDE,actvstrat=,-0.159238, actvprof=,1.882800, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.928645, id=,B10, PRDE,actvstrat=,0.871243, actvprof=,5.112837, id=,B11, PRDE,actvstrat=,-0.739447, actvprof=,5.618676, id=,S00, PRDE,actvstrat=,-0.042653, actvprof=,6.153960, id=,S01, PRDE,actvstrat=,-0.482202, actvprof=,3.524485, id=,S02, PRDE,actvstrat=,0.341135, actvprof=,5.223949, id=,S03, PRDE,actvstrat=,0.816364, actvprof=,5.358951, id=,S04, PRDE,actvstrat=,0.475278, actvprof=,2.720865, id=,S05, PRDE,actvstrat=,0.253051, actvprof=,1.398350, id=,S06, PRDE,actvstrat=,0.711402, actvprof=,1.291682, id=,S07, PRDE,actvstrat=,0.834000, actvprof=,0.949733, id=,S08, PRDE,actvstrat=,0.190054, actvprof=,0.040556, id=,S09, PRDE,actvstrat=,0.973582, actvprof=,0.092501, id=,S10, PRDE,actvstrat=,0.593937, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.707740, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.618676, best_B_strat=,-0.739447, best_S_id=,S00, best_S_prof=,6.153960, best_S_strat=,-0.042653, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.517062, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.932506, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.008889, id=,B04, PRDE,actvstrat=,-0.347932, actvprof=,0.010417, id=,B05, PRDE,actvstrat=,-0.915097, actvprof=,0.313333, id=,B06, PRDE,actvstrat=,0.076473, actvprof=,0.497917, id=,B07, PRDE,actvstrat=,0.924673, actvprof=,1.674583, id=,B08, PRDE,actvstrat=,-0.159238, actvprof=,1.783750, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.934722, id=,B10, PRDE,actvstrat=,0.871243, actvprof=,5.041528, id=,B11, PRDE,actvstrat=,-0.739447, actvprof=,5.542083, id=,S00, PRDE,actvstrat=,-0.042653, actvprof=,6.330556, id=,S01, PRDE,actvstrat=,-0.482202, actvprof=,3.224722, id=,S02, PRDE,actvstrat=,0.341135, actvprof=,4.798611, id=,S03, PRDE,actvstrat=,0.816364, actvprof=,5.370139, id=,S04, PRDE,actvstrat=,0.475278, actvprof=,2.844861, id=,S05, PRDE,actvstrat=,0.253051, actvprof=,1.299583, id=,S06, PRDE,actvstrat=,0.711402, actvprof=,1.282222, id=,S07, PRDE,actvstrat=,0.834000, actvprof=,0.927500, id=,S08, PRDE,actvstrat=,0.190054, actvprof=,0.051389, id=,S09, PRDE,actvstrat=,0.973582, actvprof=,0.089444, id=,S10, PRDE,actvstrat=,0.593937, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.707740, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.542083, best_B_strat=,-0.739447, best_S_id=,S00, best_S_prof=,6.330556, best_S_strat=,-0.042653, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.751235, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.890495, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.950268, actvprof=,0.035834, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.498061, id=,B07, PRDE,actvstrat=,-0.551267, actvprof=,0.103890, id=,B08, PRDE,actvstrat=,-0.195445, actvprof=,0.535284, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.295316, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,4.425607, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,5.779511, id=,S00, PRDE,actvstrat=,-0.732557, actvprof=,3.425595, id=,S01, PRDE,actvstrat=,-0.482202, actvprof=,3.083091, id=,S02, PRDE,actvstrat=,0.890138, actvprof=,8.096760, id=,S03, PRDE,actvstrat=,-0.183857, actvprof=,1.567518, id=,S04, PRDE,actvstrat=,-0.721118, actvprof=,0.610840, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.968090, id=,S06, PRDE,actvstrat=,0.623665, actvprof=,1.031679, id=,S07, PRDE,actvstrat=,-0.700285, actvprof=,0.044445, id=,S08, PRDE,actvstrat=,0.773449, actvprof=,0.460561, id=,S09, PRDE,actvstrat=,0.008435, actvprof=,0.060834, id=,S10, PRDE,actvstrat=,-0.567829, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.400500, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.779511, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,8.096760, best_S_strat=,0.890138, 
