t=,0, id=,B00, PRDE,actvstrat=,-0.914885, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.654258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.801089, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.071284, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.152228, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.000563, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.415933, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.509500, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.228393, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.606883, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.517571, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.605707, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.207357, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.452382, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.737823, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.386561, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.708256, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.230180, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.467093, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.603790, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.296170, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.991625, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.369721, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.259321, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.914885, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.207357, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.914885, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.654258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.801089, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,-0.071284, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.152228, actvprof=,0.030833, id=,B05, PRDE,actvstrat=,0.000563, actvprof=,0.225275, id=,B06, PRDE,actvstrat=,0.415933, actvprof=,0.974433, id=,B07, PRDE,actvstrat=,-0.509500, actvprof=,1.043321, id=,B08, PRDE,actvstrat=,-0.228393, actvprof=,2.112476, id=,B09, PRDE,actvstrat=,-0.606883, actvprof=,3.629402, id=,B10, PRDE,actvstrat=,0.517571, actvprof=,5.943265, id=,B11, PRDE,actvstrat=,0.605707, actvprof=,7.708522, id=,S00, PRDE,actvstrat=,-0.207357, actvprof=,5.451604, id=,S01, PRDE,actvstrat=,-0.452382, actvprof=,3.598569, id=,S02, PRDE,actvstrat=,0.737823, actvprof=,5.787711, id=,S03, PRDE,actvstrat=,0.386561, actvprof=,3.297740, id=,S04, PRDE,actvstrat=,0.708256, actvprof=,3.044965, id=,S05, PRDE,actvstrat=,-0.230180, actvprof=,0.506661, id=,S06, PRDE,actvstrat=,0.467093, actvprof=,0.669437, id=,S07, PRDE,actvstrat=,-0.603790, actvprof=,0.064999, id=,S08, PRDE,actvstrat=,0.296170, actvprof=,0.056944, id=,S09, PRDE,actvstrat=,-0.991625, actvprof=,0.084999, id=,S10, PRDE,actvstrat=,-0.369721, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.259321, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.708522, best_B_strat=,0.605707, best_S_id=,S02, best_S_prof=,5.787711, best_S_strat=,0.737823, 
t=,7200, id=,B00, PRDE,actvstrat=,0.030194, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.339567, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.494679, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.242731, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.366250, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.124077, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.333448, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.385042, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.990836, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.269971, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.868511, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.159626, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.463944, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.114496, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.232408, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.400313, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.786868, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.052123, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.410036, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.060560, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.037015, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.613393, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.311763, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.246536, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.030194, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.463944, 
t=,10800, id=,B00, PRDE,actvstrat=,0.030194, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.339567, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.494679, actvprof=,0.007500, id=,B03, PRDE,actvstrat=,0.242731, actvprof=,0.009722, id=,B04, PRDE,actvstrat=,0.366250, actvprof=,0.069165, id=,B05, PRDE,actvstrat=,0.124077, actvprof=,0.116108, id=,B06, PRDE,actvstrat=,-0.333448, actvprof=,0.253050, id=,B07, PRDE,actvstrat=,0.385042, actvprof=,1.024421, id=,B08, PRDE,actvstrat=,-0.990836, actvprof=,1.846624, id=,B09, PRDE,actvstrat=,0.269971, actvprof=,2.674105, id=,B10, PRDE,actvstrat=,0.868511, actvprof=,3.485197, id=,B11, PRDE,actvstrat=,-0.159626, actvprof=,4.530451, id=,S00, PRDE,actvstrat=,0.463944, actvprof=,10.768362, id=,S01, PRDE,actvstrat=,-0.114496, actvprof=,5.844865, id=,S02, PRDE,actvstrat=,-0.232408, actvprof=,4.051295, id=,S03, PRDE,actvstrat=,0.400313, actvprof=,5.605981, id=,S04, PRDE,actvstrat=,-0.786868, actvprof=,1.014143, id=,S05, PRDE,actvstrat=,0.052123, actvprof=,1.798292, id=,S06, PRDE,actvstrat=,-0.410036, actvprof=,0.498044, id=,S07, PRDE,actvstrat=,0.060560, actvprof=,0.494711, id=,S08, PRDE,actvstrat=,-0.037015, actvprof=,0.089165, id=,S09, PRDE,actvstrat=,-0.613393, actvprof=,0.001944, id=,S10, PRDE,actvstrat=,-0.311763, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.246536, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.530451, best_B_strat=,-0.159626, best_S_id=,S00, best_S_prof=,10.768362, best_S_strat=,0.463944, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.622278, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.339567, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.264412, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.029803, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.696370, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.920505, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.385606, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.031618, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.064652, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.269971, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.030010, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.159626, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.444052, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.821766, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.781999, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.281469, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.259794, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.340370, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.664429, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.691381, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.080473, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.991625, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.255564, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.983615, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.622278, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.444052, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.622278, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.339567, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.264412, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-0.029803, actvprof=,0.041666, id=,B04, PRDE,actvstrat=,0.696370, actvprof=,0.215275, id=,B05, PRDE,actvstrat=,-0.920505, actvprof=,0.741380, id=,B06, PRDE,actvstrat=,-0.385606, actvprof=,0.502494, id=,B07, PRDE,actvstrat=,0.031618, actvprof=,1.353040, id=,B08, PRDE,actvstrat=,0.064652, actvprof=,2.315529, id=,B09, PRDE,actvstrat=,0.269971, actvprof=,3.780790, id=,B10, PRDE,actvstrat=,0.030010, actvprof=,4.583836, id=,B11, PRDE,actvstrat=,-0.159626, actvprof=,5.823544, id=,S00, PRDE,actvstrat=,0.444052, actvprof=,8.320181, id=,S01, PRDE,actvstrat=,0.821766, actvprof=,7.741577, id=,S02, PRDE,actvstrat=,-0.781999, actvprof=,1.780535, id=,S03, PRDE,actvstrat=,0.281469, actvprof=,2.941077, id=,S04, PRDE,actvstrat=,0.259794, actvprof=,1.704425, id=,S05, PRDE,actvstrat=,-0.340370, actvprof=,0.504994, id=,S06, PRDE,actvstrat=,0.664429, actvprof=,0.837768, id=,S07, PRDE,actvstrat=,0.691381, actvprof=,0.343885, id=,S08, PRDE,actvstrat=,-0.080473, actvprof=,0.007778, id=,S09, PRDE,actvstrat=,-0.991625, actvprof=,0.033888, id=,S10, PRDE,actvstrat=,0.255564, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.983615, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.823544, best_B_strat=,-0.159626, best_S_id=,S00, best_S_prof=,8.320181, best_S_strat=,0.444052, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.622278, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.339567, actvprof=,0.001528, id=,B02, PRDE,actvstrat=,0.264412, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,-0.029803, actvprof=,0.024861, id=,B04, PRDE,actvstrat=,0.696370, actvprof=,0.214723, id=,B05, PRDE,actvstrat=,-0.920505, actvprof=,0.711115, id=,B06, PRDE,actvstrat=,-0.385606, actvprof=,0.533059, id=,B07, PRDE,actvstrat=,0.031618, actvprof=,1.288619, id=,B08, PRDE,actvstrat=,0.064652, actvprof=,2.243624, id=,B09, PRDE,actvstrat=,0.269971, actvprof=,3.809744, id=,B10, PRDE,actvstrat=,0.030010, actvprof=,4.674194, id=,B11, PRDE,actvstrat=,-0.159626, actvprof=,6.002674, id=,S00, PRDE,actvstrat=,0.444052, actvprof=,8.410049, id=,S01, PRDE,actvstrat=,0.821766, actvprof=,7.944490, id=,S02, PRDE,actvstrat=,-0.781999, actvprof=,1.725010, id=,S03, PRDE,actvstrat=,0.281469, actvprof=,2.897239, id=,S04, PRDE,actvstrat=,0.259794, actvprof=,1.833344, id=,S05, PRDE,actvstrat=,-0.340370, actvprof=,0.442919, id=,S06, PRDE,actvstrat=,0.664429, actvprof=,0.910422, id=,S07, PRDE,actvstrat=,0.691381, actvprof=,0.363613, id=,S08, PRDE,actvstrat=,-0.080473, actvprof=,0.016945, id=,S09, PRDE,actvstrat=,-0.991625, actvprof=,0.044028, id=,S10, PRDE,actvstrat=,0.255564, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.983615, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.002674, best_B_strat=,-0.159626, best_S_id=,S00, best_S_prof=,8.410049, best_S_strat=,0.444052, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.671163, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.005000, id=,B03, PRDE,actvstrat=,-0.330716, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,0.391448, actvprof=,0.161669, id=,B05, PRDE,actvstrat=,-0.448631, actvprof=,0.252781, id=,B06, PRDE,actvstrat=,0.310462, actvprof=,1.631408, id=,B07, PRDE,actvstrat=,-0.845826, actvprof=,1.595574, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.951990, id=,B09, PRDE,actvstrat=,0.743484, actvprof=,6.633688, id=,B10, PRDE,actvstrat=,0.528508, actvprof=,7.944259, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,8.865936, id=,S00, PRDE,actvstrat=,-0.351503, actvprof=,3.907267, id=,S01, PRDE,actvstrat=,0.522074, actvprof=,5.776456, id=,S02, PRDE,actvstrat=,0.280051, actvprof=,3.277538, id=,S03, PRDE,actvstrat=,0.743581, actvprof=,3.584764, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.799187, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.419461, id=,S06, PRDE,actvstrat=,-0.321340, actvprof=,0.195280, id=,S07, PRDE,actvstrat=,0.781483, actvprof=,0.862788, id=,S08, PRDE,actvstrat=,0.306114, actvprof=,0.169724, id=,S09, PRDE,actvstrat=,-0.898068, actvprof=,0.010000, id=,S10, PRDE,actvstrat=,-0.198942, actvprof=,0.000833, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.865936, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.776456, best_S_strat=,0.522074, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.671163, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,-0.330716, actvprof=,0.008611, id=,B04, PRDE,actvstrat=,0.391448, actvprof=,0.150834, id=,B05, PRDE,actvstrat=,-0.448631, actvprof=,0.241946, id=,B06, PRDE,actvstrat=,0.310462, actvprof=,1.607370, id=,B07, PRDE,actvstrat=,-0.845826, actvprof=,1.507509, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.081551, id=,B09, PRDE,actvstrat=,0.743484, actvprof=,6.650316, id=,B10, PRDE,actvstrat=,0.528508, actvprof=,7.924629, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,9.075053, id=,S00, PRDE,actvstrat=,-0.351503, actvprof=,3.800716, id=,S01, PRDE,actvstrat=,0.522074, actvprof=,5.698783, id=,S02, PRDE,actvstrat=,0.280051, actvprof=,3.471826, id=,S03, PRDE,actvstrat=,0.743581, actvprof=,3.625854, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.767510, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.260702, id=,S06, PRDE,actvstrat=,-0.321340, actvprof=,0.204585, id=,S07, PRDE,actvstrat=,0.781483, actvprof=,0.868338, id=,S08, PRDE,actvstrat=,0.306114, actvprof=,0.144723, id=,S09, PRDE,actvstrat=,-0.898068, actvprof=,0.018611, id=,S10, PRDE,actvstrat=,-0.198942, actvprof=,0.000417, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.075053, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.698783, best_S_strat=,0.522074, 
t=,32400, id=,B00, PRDE,actvstrat=,0.030194, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.164626, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.494679, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,0.242731, actvprof=,0.009722, id=,B04, PRDE,actvstrat=,0.366250, actvprof=,0.069167, id=,B05, PRDE,actvstrat=,-0.432406, actvprof=,0.127779, id=,B06, PRDE,actvstrat=,0.310462, actvprof=,0.605563, id=,B07, PRDE,actvstrat=,-0.845826, actvprof=,1.179458, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.894200, id=,B09, PRDE,actvstrat=,0.642919, actvprof=,3.783655, id=,B10, PRDE,actvstrat=,0.868511, actvprof=,4.493385, id=,B11, PRDE,actvstrat=,0.072518, actvprof=,5.689788, id=,S00, PRDE,actvstrat=,0.463944, actvprof=,10.506510, id=,S01, PRDE,actvstrat=,-0.114496, actvprof=,5.519786, id=,S02, PRDE,actvstrat=,0.280051, actvprof=,5.442285, id=,S03, PRDE,actvstrat=,0.743581, actvprof=,6.083126, id=,S04, PRDE,actvstrat=,0.313057, actvprof=,3.050869, id=,S05, PRDE,actvstrat=,0.052123, actvprof=,1.366127, id=,S06, PRDE,actvstrat=,-0.432572, actvprof=,0.268614, id=,S07, PRDE,actvstrat=,-0.026121, actvprof=,0.394727, id=,S08, PRDE,actvstrat=,-0.037015, actvprof=,0.100557, id=,S09, PRDE,actvstrat=,-0.939289, actvprof=,0.038889, id=,S10, PRDE,actvstrat=,-0.198942, actvprof=,0.002778, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.689788, best_B_strat=,0.072518, best_S_id=,S00, best_S_prof=,10.506510, best_S_strat=,0.463944, 
t=,36000, id=,B00, PRDE,actvstrat=,0.030194, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.164626, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.494679, actvprof=,0.004306, id=,B03, PRDE,actvstrat=,0.242731, actvprof=,0.014861, id=,B04, PRDE,actvstrat=,0.366250, actvprof=,0.062640, id=,B05, PRDE,actvstrat=,-0.432406, actvprof=,0.129585, id=,B06, PRDE,actvstrat=,0.310462, actvprof=,0.688619, id=,B07, PRDE,actvstrat=,-0.845826, actvprof=,1.201681, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.857533, id=,B09, PRDE,actvstrat=,0.642919, actvprof=,3.744210, id=,B10, PRDE,actvstrat=,0.868511, actvprof=,4.300466, id=,B11, PRDE,actvstrat=,0.072518, actvprof=,5.460897, id=,S00, PRDE,actvstrat=,0.463944, actvprof=,10.210535, id=,S01, PRDE,actvstrat=,-0.114496, actvprof=,5.652843, id=,S02, PRDE,actvstrat=,0.280051, actvprof=,5.737705, id=,S03, PRDE,actvstrat=,0.743581, actvprof=,6.197433, id=,S04, PRDE,actvstrat=,0.313057, actvprof=,3.074063, id=,S05, PRDE,actvstrat=,0.052123, actvprof=,1.438072, id=,S06, PRDE,actvstrat=,-0.432572, actvprof=,0.304726, id=,S07, PRDE,actvstrat=,-0.026121, actvprof=,0.384310, id=,S08, PRDE,actvstrat=,-0.037015, actvprof=,0.121807, id=,S09, PRDE,actvstrat=,-0.939289, actvprof=,0.030556, id=,S10, PRDE,actvstrat=,-0.198942, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.460897, best_B_strat=,0.072518, best_S_id=,S00, best_S_prof=,10.210535, best_S_strat=,0.463944, 
