t=,0, id=,B00, PRDE,actvstrat=,0.428267, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.510430, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.882481, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.617115, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.819896, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.256400, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.528548, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.296194, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.915098, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.610602, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.835538, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.976081, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.494622, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.769329, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.907565, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.440754, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.173358, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.270361, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.870916, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.835950, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.100241, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.215233, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.232579, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.664137, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.428267, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.494622, 
t=,3600, id=,B00, PRDE,actvstrat=,0.428267, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.510430, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.882481, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.617115, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.819896, actvprof=,0.020000, id=,B05, PRDE,actvstrat=,0.256400, actvprof=,0.131110, id=,B06, PRDE,actvstrat=,-0.528548, actvprof=,0.146109, id=,B07, PRDE,actvstrat=,-0.296194, actvprof=,0.563605, id=,B08, PRDE,actvstrat=,-0.915098, actvprof=,1.313318, id=,B09, PRDE,actvstrat=,-0.610602, actvprof=,2.007477, id=,B10, PRDE,actvstrat=,-0.835538, actvprof=,2.829134, id=,B11, PRDE,actvstrat=,-0.976081, actvprof=,5.491603, id=,S00, PRDE,actvstrat=,0.494622, actvprof=,7.501580, id=,S01, PRDE,actvstrat=,-0.769329, actvprof=,0.879156, id=,S02, PRDE,actvstrat=,-0.907565, actvprof=,0.045555, id=,S03, PRDE,actvstrat=,0.440754, actvprof=,2.228585, id=,S04, PRDE,actvstrat=,0.173358, actvprof=,0.762769, id=,S05, PRDE,actvstrat=,-0.270361, actvprof=,0.051388, id=,S06, PRDE,actvstrat=,-0.870916, actvprof=,0.009444, id=,S07, PRDE,actvstrat=,-0.835950, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.100241, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.215233, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.232579, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.664137, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.491603, best_B_strat=,-0.976081, best_S_id=,S00, best_S_prof=,7.501580, best_S_strat=,0.494622, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.039679, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.851016, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.183008, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.982095, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.679190, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.696938, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.477215, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.141995, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.552537, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.605907, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.803308, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.633202, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.411013, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.272976, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.991916, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.798825, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.780813, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.489638, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.188323, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.301690, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.803618, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.569419, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.765757, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.014836, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.039679, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.411013, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.039679, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.851016, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.183008, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.982095, actvprof=,0.015000, id=,B04, PRDE,actvstrat=,-0.679190, actvprof=,0.030277, id=,B05, PRDE,actvstrat=,0.696938, actvprof=,0.328607, id=,B06, PRDE,actvstrat=,0.477215, actvprof=,0.733603, id=,B07, PRDE,actvstrat=,-0.141995, actvprof=,0.854712, id=,B08, PRDE,actvstrat=,-0.552537, actvprof=,1.282207, id=,B09, PRDE,actvstrat=,-0.605907, actvprof=,2.545526, id=,B10, PRDE,actvstrat=,-0.803308, actvprof=,4.269951, id=,B11, PRDE,actvstrat=,-0.633202, actvprof=,5.444937, id=,S00, PRDE,actvstrat=,-0.411013, actvprof=,2.879689, id=,S01, PRDE,actvstrat=,-0.272976, actvprof=,2.174419, id=,S02, PRDE,actvstrat=,0.991916, actvprof=,6.029097, id=,S03, PRDE,actvstrat=,-0.798825, actvprof=,0.395551, id=,S04, PRDE,actvstrat=,0.780813, actvprof=,2.390806, id=,S05, PRDE,actvstrat=,0.489638, actvprof=,0.615548, id=,S06, PRDE,actvstrat=,0.188323, actvprof=,0.166109, id=,S07, PRDE,actvstrat=,0.301690, actvprof=,0.060833, id=,S08, PRDE,actvstrat=,-0.803618, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.569419, actvprof=,0.009444, id=,S10, PRDE,actvstrat=,-0.765757, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.014836, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.444937, best_B_strat=,-0.633202, best_S_id=,S02, best_S_prof=,6.029097, best_S_strat=,0.991916, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.845474, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.975420, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.175881, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.982095, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.325498, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.921654, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.477215, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.785487, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.061528, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.339294, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.803308, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.928415, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.003692, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.041669, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.991916, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.027042, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.694403, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.785608, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.479654, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.562843, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.100241, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.569419, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.845326, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.263523, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.845474, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.003692, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.845474, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.975420, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.175881, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.982095, actvprof=,0.013333, id=,B04, PRDE,actvstrat=,0.325498, actvprof=,0.027222, id=,B05, PRDE,actvstrat=,0.921654, actvprof=,0.455556, id=,B06, PRDE,actvstrat=,0.477215, actvprof=,0.615556, id=,B07, PRDE,actvstrat=,0.785487, actvprof=,1.684722, id=,B08, PRDE,actvstrat=,0.061528, actvprof=,1.772222, id=,B09, PRDE,actvstrat=,-0.339294, actvprof=,2.398333, id=,B10, PRDE,actvstrat=,-0.803308, actvprof=,3.961667, id=,B11, PRDE,actvstrat=,0.928415, actvprof=,5.157778, id=,S00, PRDE,actvstrat=,0.003692, actvprof=,7.156111, id=,S01, PRDE,actvstrat=,-0.041669, actvprof=,5.051944, id=,S02, PRDE,actvstrat=,0.991916, actvprof=,7.040000, id=,S03, PRDE,actvstrat=,-0.027042, actvprof=,2.490278, id=,S04, PRDE,actvstrat=,0.694403, actvprof=,3.660278, id=,S05, PRDE,actvstrat=,0.785608, actvprof=,2.993056, id=,S06, PRDE,actvstrat=,-0.479654, actvprof=,0.251389, id=,S07, PRDE,actvstrat=,-0.562843, actvprof=,0.075556, id=,S08, PRDE,actvstrat=,0.100241, actvprof=,0.222778, id=,S09, PRDE,actvstrat=,0.569419, actvprof=,0.145278, id=,S10, PRDE,actvstrat=,-0.845326, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.263523, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.157778, best_B_strat=,0.928415, best_S_id=,S00, best_S_prof=,7.156111, best_S_strat=,0.003692, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.845474, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.975420, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.175881, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.982095, actvprof=,0.015000, id=,B04, PRDE,actvstrat=,0.325498, actvprof=,0.032500, id=,B05, PRDE,actvstrat=,0.921654, actvprof=,0.438058, id=,B06, PRDE,actvstrat=,0.477215, actvprof=,0.591253, id=,B07, PRDE,actvstrat=,0.785487, actvprof=,1.692926, id=,B08, PRDE,actvstrat=,0.061528, actvprof=,1.664315, id=,B09, PRDE,actvstrat=,-0.339294, actvprof=,2.415708, id=,B10, PRDE,actvstrat=,-0.803308, actvprof=,4.015857, id=,B11, PRDE,actvstrat=,0.928415, actvprof=,5.109474, id=,S00, PRDE,actvstrat=,0.003692, actvprof=,6.896151, id=,S01, PRDE,actvstrat=,-0.041669, actvprof=,4.922528, id=,S02, PRDE,actvstrat=,0.991916, actvprof=,7.155597, id=,S03, PRDE,actvstrat=,-0.027042, actvprof=,2.567098, id=,S04, PRDE,actvstrat=,0.694403, actvprof=,3.695994, id=,S05, PRDE,actvstrat=,0.785608, actvprof=,2.976823, id=,S06, PRDE,actvstrat=,-0.479654, actvprof=,0.346669, id=,S07, PRDE,actvstrat=,-0.562843, actvprof=,0.070556, id=,S08, PRDE,actvstrat=,0.100241, actvprof=,0.206668, id=,S09, PRDE,actvstrat=,0.569419, actvprof=,0.130140, id=,S10, PRDE,actvstrat=,-0.845326, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.263523, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.109474, best_B_strat=,0.928415, best_S_id=,S02, best_S_prof=,7.155597, best_S_strat=,0.991916, 
t=,25200, id=,B00, PRDE,actvstrat=,0.184349, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.682766, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.021389, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.154444, id=,B06, PRDE,actvstrat=,-0.872768, actvprof=,0.157778, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.507222, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.260833, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.251667, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,5.913333, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.705278, id=,S00, PRDE,actvstrat=,0.109750, actvprof=,8.111667, id=,S01, PRDE,actvstrat=,-0.442013, actvprof=,2.874722, id=,S02, PRDE,actvstrat=,0.321695, actvprof=,5.053333, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,6.488056, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,4.519167, id=,S05, PRDE,actvstrat=,-0.193216, actvprof=,0.209722, id=,S06, PRDE,actvstrat=,-0.900676, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.319444, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.073689, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.554129, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.705278, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.111667, best_S_strat=,0.109750, 
t=,28800, id=,B00, PRDE,actvstrat=,0.184349, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.682766, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.016528, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.156529, id=,B06, PRDE,actvstrat=,-0.872768, actvprof=,0.168473, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.445419, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.365847, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.314886, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,5.855034, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.562405, id=,S00, PRDE,actvstrat=,0.109750, actvprof=,7.870184, id=,S01, PRDE,actvstrat=,-0.442013, actvprof=,3.061129, id=,S02, PRDE,actvstrat=,0.321695, actvprof=,5.157530, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,6.500732, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,4.492665, id=,S05, PRDE,actvstrat=,-0.193216, actvprof=,0.186112, id=,S06, PRDE,actvstrat=,-0.900676, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.304863, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.073689, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.554129, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.562405, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.870184, best_S_strat=,0.109750, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.039679, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.578100, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.025556, id=,B05, PRDE,actvstrat=,-0.950856, actvprof=,0.180002, id=,B06, PRDE,actvstrat=,-0.393828, actvprof=,0.158057, id=,B07, PRDE,actvstrat=,0.785487, actvprof=,1.727520, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.546152, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.132282, id=,B10, PRDE,actvstrat=,0.488087, actvprof=,5.644232, id=,B11, PRDE,actvstrat=,-0.633202, actvprof=,5.312839, id=,S00, PRDE,actvstrat=,-0.299331, actvprof=,3.615597, id=,S01, PRDE,actvstrat=,-0.442013, actvprof=,2.463917, id=,S02, PRDE,actvstrat=,0.807041, actvprof=,6.850079, id=,S03, PRDE,actvstrat=,0.261841, actvprof=,2.585308, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.881422, id=,S05, PRDE,actvstrat=,0.489638, actvprof=,1.010289, id=,S06, PRDE,actvstrat=,0.188323, actvprof=,0.250836, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.497228, id=,S08, PRDE,actvstrat=,0.100241, actvprof=,0.016667, id=,S09, PRDE,actvstrat=,0.110359, actvprof=,0.000556, id=,S10, PRDE,actvstrat=,-0.765757, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.644232, best_B_strat=,0.488087, best_S_id=,S02, best_S_prof=,6.850079, best_S_strat=,0.807041, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.039679, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.578100, actvprof=,0.003194, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.028333, id=,B05, PRDE,actvstrat=,-0.950856, actvprof=,0.167501, id=,B06, PRDE,actvstrat=,-0.393828, actvprof=,0.167918, id=,B07, PRDE,actvstrat=,0.785487, actvprof=,1.698760, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.597243, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.098224, id=,B10, PRDE,actvstrat=,0.488087, actvprof=,5.581421, id=,B11, PRDE,actvstrat=,-0.633202, actvprof=,5.267114, id=,S00, PRDE,actvstrat=,-0.299331, actvprof=,3.668910, id=,S01, PRDE,actvstrat=,-0.442013, actvprof=,2.500987, id=,S02, PRDE,actvstrat=,0.807041, actvprof=,6.763511, id=,S03, PRDE,actvstrat=,0.261841, actvprof=,2.476403, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.962378, id=,S05, PRDE,actvstrat=,0.489638, actvprof=,0.989034, id=,S06, PRDE,actvstrat=,0.188323, actvprof=,0.215001, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.458614, id=,S08, PRDE,actvstrat=,0.100241, actvprof=,0.020417, id=,S09, PRDE,actvstrat=,0.110359, actvprof=,0.001806, id=,S10, PRDE,actvstrat=,-0.765757, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.581421, best_B_strat=,0.488087, best_S_id=,S02, best_S_prof=,6.763511, best_S_strat=,0.807041, 
