t=,1, id=,B00, PRDE,actvstrat=,0.925579, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.141123, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.857730, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.385712, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.029147, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.653940, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.740170, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.002546, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.770090, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.891019, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.617246, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.583552, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.187226, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.320973, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.420549, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.699628, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.551899, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.436426, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.374306, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.797989, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.959843, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.858894, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.033001, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.016568, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.925579, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.187226, 
t=,3600, id=,B00, PRDE,actvstrat=,0.925579, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.141123, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.857730, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.385712, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.029147, actvprof=,0.010000, id=,B05, PRDE,actvstrat=,-0.653940, actvprof=,0.023611, id=,B06, PRDE,actvstrat=,0.740170, actvprof=,0.417773, id=,B07, PRDE,actvstrat=,-0.002546, actvprof=,0.402218, id=,B08, PRDE,actvstrat=,0.770090, actvprof=,1.641925, id=,B09, PRDE,actvstrat=,-0.891019, actvprof=,2.156642, id=,B10, PRDE,actvstrat=,-0.617246, actvprof=,2.440250, id=,B11, PRDE,actvstrat=,0.583552, actvprof=,5.342994, id=,S00, PRDE,actvstrat=,-0.187226, actvprof=,5.218273, id=,S01, PRDE,actvstrat=,0.320973, actvprof=,6.592701, id=,S02, PRDE,actvstrat=,0.420549, actvprof=,6.104096, id=,S03, PRDE,actvstrat=,-0.699628, actvprof=,1.036655, id=,S04, PRDE,actvstrat=,-0.551899, actvprof=,0.711936, id=,S05, PRDE,actvstrat=,-0.436426, actvprof=,0.395551, id=,S06, PRDE,actvstrat=,0.374306, actvprof=,0.632493, id=,S07, PRDE,actvstrat=,0.797989, actvprof=,0.810824, id=,S08, PRDE,actvstrat=,-0.959843, actvprof=,0.157498, id=,S09, PRDE,actvstrat=,0.858894, actvprof=,0.101943, id=,S10, PRDE,actvstrat=,-0.033001, actvprof=,0.000833, id=,S11, PRDE,actvstrat=,0.016568, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.342994, best_B_strat=,0.583552, best_S_id=,S01, best_S_prof=,6.592701, best_S_strat=,0.320973, 
t=,7200, id=,B00, PRDE,actvstrat=,0.471985, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.501119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.082280, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.979189, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.424144, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.036500, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.025342, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.470420, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.221629, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.201743, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.312875, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.380405, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.401203, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.035191, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.991381, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.408419, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.978762, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.999070, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.915730, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.000131, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.998022, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.253073, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.322413, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.012392, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.471985, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.401203, 
t=,10800, id=,B00, PRDE,actvstrat=,0.471985, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.501119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.082280, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.979189, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,0.424144, actvprof=,0.027777, id=,B05, PRDE,actvstrat=,0.036500, actvprof=,0.208609, id=,B06, PRDE,actvstrat=,-0.025342, actvprof=,0.729714, id=,B07, PRDE,actvstrat=,-0.470420, actvprof=,1.175264, id=,B08, PRDE,actvstrat=,-0.221629, actvprof=,2.468027, id=,B09, PRDE,actvstrat=,0.201743, actvprof=,4.985220, id=,B10, PRDE,actvstrat=,0.312875, actvprof=,7.036307, id=,B11, PRDE,actvstrat=,0.380405, actvprof=,9.117394, id=,S00, PRDE,actvstrat=,-0.401203, actvprof=,2.422472, id=,S01, PRDE,actvstrat=,-0.035191, actvprof=,2.886911, id=,S02, PRDE,actvstrat=,-0.991381, actvprof=,4.346616, id=,S03, PRDE,actvstrat=,0.408419, actvprof=,1.639981, id=,S04, PRDE,actvstrat=,0.978762, actvprof=,1.960811, id=,S05, PRDE,actvstrat=,0.999070, actvprof=,1.218319, id=,S06, PRDE,actvstrat=,-0.915730, actvprof=,0.080277, id=,S07, PRDE,actvstrat=,-0.000131, actvprof=,0.027222, id=,S08, PRDE,actvstrat=,0.998022, actvprof=,0.190276, id=,S09, PRDE,actvstrat=,0.253073, actvprof=,0.005000, id=,S10, PRDE,actvstrat=,-0.322413, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.012392, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.117394, best_B_strat=,0.380405, best_S_id=,S02, best_S_prof=,4.346616, best_S_strat=,-0.991381, 
t=,14400, id=,B00, PRDE,actvstrat=,0.471985, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.332116, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.734912, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.019145, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.169861, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.791792, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.712792, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.535906, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.221629, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.111587, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.772445, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.416305, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.951257, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.498746, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.761100, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.408419, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.978762, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.478150, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.364572, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.797989, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.998022, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.335377, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.571367, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.288141, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.471985, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.951257, 
t=,18000, id=,B00, PRDE,actvstrat=,0.471985, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.332116, actvprof=,0.001944, id=,B02, PRDE,actvstrat=,0.734912, actvprof=,0.029167, id=,B03, PRDE,actvstrat=,-0.019145, actvprof=,0.054444, id=,B04, PRDE,actvstrat=,-0.169861, actvprof=,0.095833, id=,B05, PRDE,actvstrat=,0.791792, actvprof=,0.946111, id=,B06, PRDE,actvstrat=,-0.712792, actvprof=,1.164444, id=,B07, PRDE,actvstrat=,0.535906, actvprof=,2.388056, id=,B08, PRDE,actvstrat=,-0.221629, actvprof=,2.706667, id=,B09, PRDE,actvstrat=,-0.111587, actvprof=,3.853611, id=,B10, PRDE,actvstrat=,0.772445, actvprof=,5.746944, id=,B11, PRDE,actvstrat=,0.416305, actvprof=,7.660833, id=,S00, PRDE,actvstrat=,0.951257, actvprof=,9.538333, id=,S01, PRDE,actvstrat=,-0.498746, actvprof=,2.156389, id=,S02, PRDE,actvstrat=,0.761100, actvprof=,5.742500, id=,S03, PRDE,actvstrat=,0.408419, actvprof=,2.991389, id=,S04, PRDE,actvstrat=,0.978762, actvprof=,2.645556, id=,S05, PRDE,actvstrat=,-0.478150, actvprof=,0.258056, id=,S06, PRDE,actvstrat=,-0.364572, actvprof=,0.099722, id=,S07, PRDE,actvstrat=,0.797989, actvprof=,0.612500, id=,S08, PRDE,actvstrat=,0.998022, actvprof=,0.381944, id=,S09, PRDE,actvstrat=,-0.335377, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.571367, actvprof=,0.003611, id=,S11, PRDE,actvstrat=,0.288141, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.660833, best_B_strat=,0.416305, best_S_id=,S00, best_S_prof=,9.538333, best_S_strat=,0.951257, 
t=,21600, id=,B00, PRDE,actvstrat=,0.471985, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.332116, actvprof=,0.001528, id=,B02, PRDE,actvstrat=,0.734912, actvprof=,0.032778, id=,B03, PRDE,actvstrat=,-0.019145, actvprof=,0.047917, id=,B04, PRDE,actvstrat=,-0.169861, actvprof=,0.107223, id=,B05, PRDE,actvstrat=,0.791792, actvprof=,1.020839, id=,B06, PRDE,actvstrat=,-0.712792, actvprof=,1.165840, id=,B07, PRDE,actvstrat=,0.535906, actvprof=,2.569459, id=,B08, PRDE,actvstrat=,-0.221629, actvprof=,2.647376, id=,B09, PRDE,actvstrat=,-0.111587, actvprof=,3.888773, id=,B10, PRDE,actvstrat=,0.772445, actvprof=,5.889062, id=,B11, PRDE,actvstrat=,0.416305, actvprof=,7.511849, id=,S00, PRDE,actvstrat=,0.951257, actvprof=,9.379777, id=,S01, PRDE,actvstrat=,-0.498746, actvprof=,2.239596, id=,S02, PRDE,actvstrat=,0.761100, actvprof=,5.730033, id=,S03, PRDE,actvstrat=,0.408419, actvprof=,2.871128, id=,S04, PRDE,actvstrat=,0.978762, actvprof=,2.586265, id=,S05, PRDE,actvstrat=,-0.478150, actvprof=,0.220418, id=,S06, PRDE,actvstrat=,-0.364572, actvprof=,0.103889, id=,S07, PRDE,actvstrat=,0.797989, actvprof=,0.545975, id=,S08, PRDE,actvstrat=,0.998022, actvprof=,0.374447, id=,S09, PRDE,actvstrat=,-0.335377, actvprof=,0.000556, id=,S10, PRDE,actvstrat=,-0.571367, actvprof=,0.001806, id=,S11, PRDE,actvstrat=,0.288141, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.511849, best_B_strat=,0.416305, best_S_id=,S00, best_S_prof=,9.379777, best_S_strat=,0.951257, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.497880, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.100836, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.148059, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.306952, id=,B07, PRDE,actvstrat=,0.746277, actvprof=,1.620871, id=,B08, PRDE,actvstrat=,0.287139, actvprof=,2.417834, id=,B09, PRDE,actvstrat=,-0.791261, actvprof=,2.522836, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,6.643487, id=,B11, PRDE,actvstrat=,0.569366, actvprof=,8.745480, id=,S00, PRDE,actvstrat=,-0.324704, actvprof=,3.188129, id=,S01, PRDE,actvstrat=,0.953654, actvprof=,8.889928, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.587930, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.772888, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.719808, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.298387, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.523345, id=,S07, PRDE,actvstrat=,-0.998594, actvprof=,0.273895, id=,S08, PRDE,actvstrat=,0.124791, actvprof=,0.006945, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.015278, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.063015, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.745480, best_B_strat=,0.569366, best_S_id=,S01, best_S_prof=,8.889928, best_S_strat=,0.953654, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.497880, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.009028, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.094446, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.166807, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.332365, id=,B07, PRDE,actvstrat=,0.746277, actvprof=,1.655714, id=,B08, PRDE,actvstrat=,0.287139, actvprof=,2.463223, id=,B09, PRDE,actvstrat=,-0.791261, actvprof=,2.540029, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,6.612577, id=,B11, PRDE,actvstrat=,0.569366, actvprof=,8.639961, id=,S00, PRDE,actvstrat=,-0.324704, actvprof=,3.205454, id=,S01, PRDE,actvstrat=,0.953654, actvprof=,8.950937, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.651605, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.685610, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.771016, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.296277, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.546951, id=,S07, PRDE,actvstrat=,-0.998594, actvprof=,0.263614, id=,S08, PRDE,actvstrat=,0.124791, actvprof=,0.004583, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.020556, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.063015, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.639961, best_B_strat=,0.569366, best_S_id=,S01, best_S_prof=,8.950937, best_S_strat=,0.953654, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.949072, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.501119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.857730, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.212182, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.759799, actvprof=,0.039168, id=,B05, PRDE,actvstrat=,-0.198612, actvprof=,0.080836, id=,B06, PRDE,actvstrat=,-0.194431, actvprof=,0.186673, id=,B07, PRDE,actvstrat=,-0.995104, actvprof=,1.648946, id=,B08, PRDE,actvstrat=,-0.988644, actvprof=,2.148130, id=,B09, PRDE,actvstrat=,-0.569073, actvprof=,1.496441, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,5.409354, id=,B11, PRDE,actvstrat=,0.569366, actvprof=,7.384701, id=,S00, PRDE,actvstrat=,0.951257, actvprof=,10.769263, id=,S01, PRDE,actvstrat=,-0.943729, actvprof=,0.254453, id=,S02, PRDE,actvstrat=,-0.991381, actvprof=,2.824820, id=,S03, PRDE,actvstrat=,-0.843601, actvprof=,0.233064, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.979895, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.557068, id=,S06, PRDE,actvstrat=,-0.965392, actvprof=,0.151950, id=,S07, PRDE,actvstrat=,0.797989, actvprof=,0.113337, id=,S08, PRDE,actvstrat=,0.998022, actvprof=,0.092225, id=,S09, PRDE,actvstrat=,0.737193, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,0.954174, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.063015, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.384701, best_B_strat=,0.569366, best_S_id=,S00, best_S_prof=,10.769263, best_S_strat=,0.951257, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.949072, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.501119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.857730, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-0.212182, actvprof=,0.007083, id=,B04, PRDE,actvstrat=,-0.759799, actvprof=,0.045695, id=,B05, PRDE,actvstrat=,-0.198612, actvprof=,0.087779, id=,B06, PRDE,actvstrat=,-0.194431, actvprof=,0.218059, id=,B07, PRDE,actvstrat=,-0.995104, actvprof=,1.585166, id=,B08, PRDE,actvstrat=,-0.988644, actvprof=,2.117815, id=,B09, PRDE,actvstrat=,-0.569073, actvprof=,1.565861, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,5.428983, id=,B11, PRDE,actvstrat=,0.569366, actvprof=,7.100957, id=,S00, PRDE,actvstrat=,0.951257, actvprof=,10.672685, id=,S01, PRDE,actvstrat=,-0.943729, actvprof=,0.276116, id=,S02, PRDE,actvstrat=,-0.991381, actvprof=,2.835049, id=,S03, PRDE,actvstrat=,-0.843601, actvprof=,0.205698, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.869112, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.562145, id=,S06, PRDE,actvstrat=,-0.965392, actvprof=,0.148891, id=,S07, PRDE,actvstrat=,0.797989, actvprof=,0.139447, id=,S08, PRDE,actvstrat=,0.998022, actvprof=,0.086390, id=,S09, PRDE,actvstrat=,0.737193, actvprof=,0.001667, id=,S10, PRDE,actvstrat=,0.954174, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,0.063015, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.100957, best_B_strat=,0.569366, best_S_id=,S00, best_S_prof=,10.672685, best_S_strat=,0.951257, 
