t=,1, id=,B00, PRDE,actvstrat=,0.543001, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.041548, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.352161, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.438418, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.932691, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.766941, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.214604, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.741469, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.745472, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.040299, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.130178, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.899981, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.733276, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.602929, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.695981, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.919562, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.904516, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.445195, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.259892, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.289155, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.519346, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.414459, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.020309, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.712081, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.543001, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.733276, 
t=,3600, id=,B00, PRDE,actvstrat=,0.543001, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.041548, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.352161, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.438418, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,-0.932691, actvprof=,0.044166, id=,B05, PRDE,actvstrat=,0.766941, actvprof=,0.209998, id=,B06, PRDE,actvstrat=,0.214604, actvprof=,0.251942, id=,B07, PRDE,actvstrat=,-0.741469, actvprof=,0.621659, id=,B08, PRDE,actvstrat=,0.745472, actvprof=,1.803590, id=,B09, PRDE,actvstrat=,0.040299, actvprof=,1.837757, id=,B10, PRDE,actvstrat=,0.130178, actvprof=,2.927466, id=,B11, PRDE,actvstrat=,0.899981, actvprof=,3.776345, id=,S00, PRDE,actvstrat=,-0.733276, actvprof=,4.091064, id=,S01, PRDE,actvstrat=,0.602929, actvprof=,9.367947, id=,S02, PRDE,actvstrat=,-0.695981, actvprof=,2.368028, id=,S03, PRDE,actvstrat=,0.919562, actvprof=,7.670745, id=,S04, PRDE,actvstrat=,-0.904516, actvprof=,0.463328, id=,S05, PRDE,actvstrat=,0.445195, actvprof=,3.158297, id=,S06, PRDE,actvstrat=,-0.259892, actvprof=,0.513327, id=,S07, PRDE,actvstrat=,-0.289155, actvprof=,0.174998, id=,S08, PRDE,actvstrat=,-0.519346, actvprof=,0.082499, id=,S09, PRDE,actvstrat=,0.414459, actvprof=,0.127776, id=,S10, PRDE,actvstrat=,0.020309, actvprof=,0.022778, id=,S11, PRDE,actvstrat=,0.712081, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.776345, best_B_strat=,0.899981, best_S_id=,S01, best_S_prof=,9.367947, best_S_strat=,0.602929, 
t=,7200, id=,B00, PRDE,actvstrat=,0.306971, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.636704, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.878622, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.077677, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.177770, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.710773, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.095775, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.304052, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.634088, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.470252, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.855294, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.501941, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.409997, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.818839, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.198180, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.775260, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.513350, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.718070, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.821969, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.562298, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.524200, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.037851, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.959873, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.942638, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.306971, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.409997, 
t=,10800, id=,B00, PRDE,actvstrat=,0.306971, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.636704, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.878622, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-0.077677, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.177770, actvprof=,0.047777, id=,B05, PRDE,actvstrat=,-0.710773, actvprof=,0.078888, id=,B06, PRDE,actvstrat=,0.095775, actvprof=,0.444162, id=,B07, PRDE,actvstrat=,0.304052, actvprof=,0.920545, id=,B08, PRDE,actvstrat=,0.634088, actvprof=,2.177475, id=,B09, PRDE,actvstrat=,-0.470252, actvprof=,2.043310, id=,B10, PRDE,actvstrat=,-0.855294, actvprof=,3.609125, id=,B11, PRDE,actvstrat=,-0.501941, actvprof=,4.900777, id=,S00, PRDE,actvstrat=,0.409997, actvprof=,7.379637, id=,S01, PRDE,actvstrat=,-0.818839, actvprof=,0.727769, id=,S02, PRDE,actvstrat=,0.198180, actvprof=,3.514959, id=,S03, PRDE,actvstrat=,0.775260, actvprof=,4.270784, id=,S04, PRDE,actvstrat=,-0.513350, actvprof=,0.347496, id=,S05, PRDE,actvstrat=,-0.718070, actvprof=,0.094999, id=,S06, PRDE,actvstrat=,0.821969, actvprof=,0.832768, id=,S07, PRDE,actvstrat=,0.562298, actvprof=,0.090832, id=,S08, PRDE,actvstrat=,-0.524200, actvprof=,0.007222, id=,S09, PRDE,actvstrat=,-0.037851, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.959873, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.942638, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.900777, best_B_strat=,-0.501941, best_S_id=,S00, best_S_prof=,7.379637, best_S_strat=,0.409997, 
t=,14400, id=,B00, PRDE,actvstrat=,0.848010, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.624724, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.878622, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.984705, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.555226, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.766941, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.095775, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.513334, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.634088, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.589313, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.043018, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.501941, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.308330, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.602929, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.198180, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.775260, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.513350, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.445195, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.428798, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.507814, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.886175, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.266242, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.067155, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.942638, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.848010, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.308330, 
t=,18000, id=,B00, PRDE,actvstrat=,0.848010, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.624724, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.878622, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.984705, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,-0.555226, actvprof=,0.015000, id=,B05, PRDE,actvstrat=,0.766941, actvprof=,0.272778, id=,B06, PRDE,actvstrat=,0.095775, actvprof=,0.375556, id=,B07, PRDE,actvstrat=,-0.513334, actvprof=,0.513056, id=,B08, PRDE,actvstrat=,0.634088, actvprof=,2.150278, id=,B09, PRDE,actvstrat=,0.589313, actvprof=,3.390000, id=,B10, PRDE,actvstrat=,-0.043018, actvprof=,3.164444, id=,B11, PRDE,actvstrat=,-0.501941, actvprof=,4.313889, id=,S00, PRDE,actvstrat=,-0.308330, actvprof=,3.899444, id=,S01, PRDE,actvstrat=,0.602929, actvprof=,8.016667, id=,S02, PRDE,actvstrat=,0.198180, actvprof=,4.438611, id=,S03, PRDE,actvstrat=,0.775260, actvprof=,5.744444, id=,S04, PRDE,actvstrat=,-0.513350, actvprof=,0.611944, id=,S05, PRDE,actvstrat=,0.445195, actvprof=,1.709722, id=,S06, PRDE,actvstrat=,-0.428798, actvprof=,0.129167, id=,S07, PRDE,actvstrat=,-0.507814, actvprof=,0.055278, id=,S08, PRDE,actvstrat=,-0.886175, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.266242, actvprof=,0.006389, id=,S10, PRDE,actvstrat=,-0.067155, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.942638, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.313889, best_B_strat=,-0.501941, best_S_id=,S01, best_S_prof=,8.016667, best_S_strat=,0.602929, 
t=,21600, id=,B00, PRDE,actvstrat=,0.848010, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.624724, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.878622, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.984705, actvprof=,0.009444, id=,B04, PRDE,actvstrat=,-0.555226, actvprof=,0.016528, id=,B05, PRDE,actvstrat=,0.766941, actvprof=,0.288057, id=,B06, PRDE,actvstrat=,0.095775, actvprof=,0.365280, id=,B07, PRDE,actvstrat=,-0.513334, actvprof=,0.466669, id=,B08, PRDE,actvstrat=,0.634088, actvprof=,2.106540, id=,B09, PRDE,actvstrat=,0.589313, actvprof=,3.164602, id=,B10, PRDE,actvstrat=,-0.043018, actvprof=,3.294464, id=,B11, PRDE,actvstrat=,-0.501941, actvprof=,4.271830, id=,S00, PRDE,actvstrat=,-0.308330, actvprof=,3.898495, id=,S01, PRDE,actvstrat=,0.602929, actvprof=,8.127825, id=,S02, PRDE,actvstrat=,0.198180, actvprof=,4.310025, id=,S03, PRDE,actvstrat=,0.775260, actvprof=,5.740311, id=,S04, PRDE,actvstrat=,-0.513350, actvprof=,0.627226, id=,S05, PRDE,actvstrat=,0.445195, actvprof=,1.558620, id=,S06, PRDE,actvstrat=,-0.428798, actvprof=,0.127640, id=,S07, PRDE,actvstrat=,-0.507814, actvprof=,0.041667, id=,S08, PRDE,actvstrat=,-0.886175, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,0.266242, actvprof=,0.007083, id=,S10, PRDE,actvstrat=,-0.067155, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.942638, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.271830, best_B_strat=,-0.501941, best_S_id=,S01, best_S_prof=,8.127825, best_S_strat=,0.602929, 
t=,25200, id=,B00, PRDE,actvstrat=,0.349069, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.817101, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.013889, id=,B06, PRDE,actvstrat=,-0.516053, actvprof=,0.002222, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.176946, id=,B08, PRDE,actvstrat=,-0.614763, actvprof=,0.123057, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.154469, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,3.523930, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,6.544520, id=,S00, PRDE,actvstrat=,-0.179393, actvprof=,5.174504, id=,S01, PRDE,actvstrat=,-0.063297, actvprof=,5.354229, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.510920, id=,S03, PRDE,actvstrat=,-0.154398, actvprof=,1.529462, id=,S04, PRDE,actvstrat=,-0.278013, actvprof=,0.773620, id=,S05, PRDE,actvstrat=,-0.927265, actvprof=,0.046667, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.930856, id=,S07, PRDE,actvstrat=,-0.329943, actvprof=,0.006111, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.214447, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.035278, id=,S10, PRDE,actvstrat=,-0.638287, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.833062, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.544520, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,7.510920, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.349069, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-0.817101, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.014167, id=,B06, PRDE,actvstrat=,-0.516053, actvprof=,0.003333, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.158473, id=,B08, PRDE,actvstrat=,-0.614763, actvprof=,0.105001, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.148207, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,3.495020, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,6.556982, id=,S00, PRDE,actvstrat=,-0.179393, actvprof=,5.161974, id=,S01, PRDE,actvstrat=,-0.063297, actvprof=,5.316559, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.240459, id=,S03, PRDE,actvstrat=,-0.154398, actvprof=,1.662371, id=,S04, PRDE,actvstrat=,-0.278013, actvprof=,0.752643, id=,S05, PRDE,actvstrat=,-0.927265, actvprof=,0.040000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.973206, id=,S07, PRDE,actvstrat=,-0.329943, actvprof=,0.007639, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.208612, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.034167, id=,S10, PRDE,actvstrat=,-0.638287, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.833062, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.556982, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,7.240459, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.306971, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.043161, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.984705, actvprof=,0.012222, id=,B04, PRDE,actvstrat=,0.177770, actvprof=,0.016389, id=,B05, PRDE,actvstrat=,-0.757856, actvprof=,0.066111, id=,B06, PRDE,actvstrat=,0.151294, actvprof=,0.346667, id=,B07, PRDE,actvstrat=,0.887268, actvprof=,1.316944, id=,B08, PRDE,actvstrat=,-0.590978, actvprof=,1.090556, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.311389, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,5.630833, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,6.121111, id=,S00, PRDE,actvstrat=,0.508119, actvprof=,8.713889, id=,S01, PRDE,actvstrat=,0.284600, actvprof=,5.990833, id=,S02, PRDE,actvstrat=,-0.247177, actvprof=,1.526111, id=,S03, PRDE,actvstrat=,0.873607, actvprof=,5.504444, id=,S04, PRDE,actvstrat=,-0.278013, actvprof=,0.729444, id=,S05, PRDE,actvstrat=,-0.289758, actvprof=,0.188889, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.886389, id=,S07, PRDE,actvstrat=,0.801555, actvprof=,0.750278, id=,S08, PRDE,actvstrat=,0.733067, actvprof=,0.315833, id=,S09, PRDE,actvstrat=,0.707134, actvprof=,0.106944, id=,S10, PRDE,actvstrat=,0.022936, actvprof=,0.009167, id=,S11, PRDE,actvstrat=,0.652163, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.121111, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,8.713889, best_S_strat=,0.508119, 
t=,36000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.155058, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.821838, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.360369, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.354598, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.908685, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.327237, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.450074, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.295213, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.803273, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.215021, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.035747, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.278013, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.985184, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.420191, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.248391, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.803273, 
