t=,1, id=,B00, PRDE,actvstrat=,0.861782, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.424041, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.815780, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.193936, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.289529, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.888129, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.821088, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.552656, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.993083, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.010847, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.030270, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.157319, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.612524, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.894802, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.974218, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.856713, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.399564, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.972456, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.887042, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.940791, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.476164, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.433170, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.712308, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.935149, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.861782, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.612524, 
t=,3600, id=,B00, PRDE,actvstrat=,0.861782, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.424041, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.815780, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.193936, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.289529, actvprof=,0.017222, id=,B05, PRDE,actvstrat=,0.888129, actvprof=,0.464995, id=,B06, PRDE,actvstrat=,-0.821088, actvprof=,0.606104, id=,B07, PRDE,actvstrat=,0.552656, actvprof=,1.566926, id=,B08, PRDE,actvstrat=,0.993083, actvprof=,1.571093, id=,B09, PRDE,actvstrat=,0.010847, actvprof=,2.918855, id=,B10, PRDE,actvstrat=,-0.030270, actvprof=,3.981898, id=,B11, PRDE,actvstrat=,0.157319, actvprof=,6.080763, id=,S00, PRDE,actvstrat=,-0.612524, actvprof=,5.874099, id=,S01, PRDE,actvstrat=,0.894802, actvprof=,9.145450, id=,S02, PRDE,actvstrat=,-0.974218, actvprof=,3.818567, id=,S03, PRDE,actvstrat=,-0.856713, actvprof=,1.215541, id=,S04, PRDE,actvstrat=,-0.399564, actvprof=,1.404150, id=,S05, PRDE,actvstrat=,0.972456, actvprof=,2.617192, id=,S06, PRDE,actvstrat=,-0.887042, actvprof=,0.131665, id=,S07, PRDE,actvstrat=,0.940791, actvprof=,1.179153, id=,S08, PRDE,actvstrat=,-0.476164, actvprof=,0.017222, id=,S09, PRDE,actvstrat=,0.433170, actvprof=,0.025277, id=,S10, PRDE,actvstrat=,-0.712308, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.935149, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.080763, best_B_strat=,0.157319, best_S_id=,S01, best_S_prof=,9.145450, best_S_strat=,0.894802, 
t=,7200, id=,B00, PRDE,actvstrat=,0.817207, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.329280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.195331, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.700363, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.708459, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.635335, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.884041, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.064618, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.799108, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.293161, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.412953, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.859885, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.644738, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.035048, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.100140, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.623484, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.616860, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.925961, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.215602, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.014072, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.020874, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.939131, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.667571, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.069175, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.817207, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.644738, 
t=,10800, id=,B00, PRDE,actvstrat=,0.817207, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.329280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.195331, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.700363, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,0.708459, actvprof=,0.051666, id=,B05, PRDE,actvstrat=,-0.635335, actvprof=,0.030277, id=,B06, PRDE,actvstrat=,0.884041, actvprof=,0.834990, id=,B07, PRDE,actvstrat=,-0.064618, actvprof=,0.543605, id=,B08, PRDE,actvstrat=,0.799108, actvprof=,2.329417, id=,B09, PRDE,actvstrat=,0.293161, actvprof=,3.000799, id=,B10, PRDE,actvstrat=,0.412953, actvprof=,4.185507, id=,B11, PRDE,actvstrat=,0.859885, actvprof=,5.427159, id=,S00, PRDE,actvstrat=,-0.644738, actvprof=,5.807711, id=,S01, PRDE,actvstrat=,-0.035048, actvprof=,6.133818, id=,S02, PRDE,actvstrat=,0.100140, actvprof=,5.250495, id=,S03, PRDE,actvstrat=,-0.623484, actvprof=,2.230530, id=,S04, PRDE,actvstrat=,0.616860, actvprof=,3.904677, id=,S05, PRDE,actvstrat=,0.925961, actvprof=,3.328017, id=,S06, PRDE,actvstrat=,-0.215602, actvprof=,0.403329, id=,S07, PRDE,actvstrat=,0.014072, actvprof=,0.281386, id=,S08, PRDE,actvstrat=,-0.020874, actvprof=,0.146665, id=,S09, PRDE,actvstrat=,0.939131, actvprof=,0.341385, id=,S10, PRDE,actvstrat=,-0.667571, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,-0.069175, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.427159, best_B_strat=,0.859885, best_S_id=,S01, best_S_prof=,6.133818, best_S_strat=,-0.035048, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.833150, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.529714, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.195331, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.531952, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.708459, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.888129, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.244913, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.143127, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.709066, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.602423, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.634937, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.787057, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.501545, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.506073, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.180060, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.129727, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.532615, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.951369, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.215602, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.940791, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.020874, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.152310, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.199334, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.104420, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.833150, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.501545, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.833150, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.529714, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.195331, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.531952, actvprof=,0.019722, id=,B04, PRDE,actvstrat=,0.708459, actvprof=,0.111944, id=,B05, PRDE,actvstrat=,0.888129, actvprof=,0.543056, id=,B06, PRDE,actvstrat=,-0.244913, actvprof=,0.270556, id=,B07, PRDE,actvstrat=,-0.143127, actvprof=,0.912222, id=,B08, PRDE,actvstrat=,-0.709066, actvprof=,1.615833, id=,B09, PRDE,actvstrat=,0.602423, actvprof=,3.816944, id=,B10, PRDE,actvstrat=,0.634937, actvprof=,5.370556, id=,B11, PRDE,actvstrat=,-0.787057, actvprof=,5.917778, id=,S00, PRDE,actvstrat=,0.501545, actvprof=,8.901667, id=,S01, PRDE,actvstrat=,0.506073, actvprof=,7.123333, id=,S02, PRDE,actvstrat=,0.180060, actvprof=,4.312500, id=,S03, PRDE,actvstrat=,0.129727, actvprof=,2.356389, id=,S04, PRDE,actvstrat=,-0.532615, actvprof=,0.748889, id=,S05, PRDE,actvstrat=,-0.951369, actvprof=,0.848056, id=,S06, PRDE,actvstrat=,-0.215602, actvprof=,0.117222, id=,S07, PRDE,actvstrat=,0.940791, actvprof=,0.866667, id=,S08, PRDE,actvstrat=,-0.020874, actvprof=,0.020556, id=,S09, PRDE,actvstrat=,-0.152310, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.199334, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.104420, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.917778, best_B_strat=,-0.787057, best_S_id=,S00, best_S_prof=,8.901667, best_S_strat=,0.501545, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.833150, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.529714, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.195331, actvprof=,0.002083, id=,B03, PRDE,actvstrat=,0.531952, actvprof=,0.015833, id=,B04, PRDE,actvstrat=,0.708459, actvprof=,0.104028, id=,B05, PRDE,actvstrat=,0.888129, actvprof=,0.536114, id=,B06, PRDE,actvstrat=,-0.244913, actvprof=,0.314030, id=,B07, PRDE,actvstrat=,-0.143127, actvprof=,0.904172, id=,B08, PRDE,actvstrat=,-0.709066, actvprof=,1.750288, id=,B09, PRDE,actvstrat=,0.602423, actvprof=,3.808216, id=,B10, PRDE,actvstrat=,0.634937, actvprof=,5.306558, id=,B11, PRDE,actvstrat=,-0.787057, actvprof=,5.850728, id=,S00, PRDE,actvstrat=,0.501545, actvprof=,8.863940, id=,S01, PRDE,actvstrat=,0.506073, actvprof=,7.155458, id=,S02, PRDE,actvstrat=,0.180060, actvprof=,4.101552, id=,S03, PRDE,actvstrat=,0.129727, actvprof=,2.542515, id=,S04, PRDE,actvstrat=,-0.532615, actvprof=,0.656809, id=,S05, PRDE,actvstrat=,-0.951369, actvprof=,0.837366, id=,S06, PRDE,actvstrat=,-0.215602, actvprof=,0.114723, id=,S07, PRDE,actvstrat=,0.940791, actvprof=,0.900839, id=,S08, PRDE,actvstrat=,-0.020874, actvprof=,0.020972, id=,S09, PRDE,actvstrat=,-0.152310, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.199334, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.104420, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.850728, best_B_strat=,-0.787057, best_S_id=,S00, best_S_prof=,8.863940, best_S_strat=,0.501545, 
t=,25200, id=,B00, PRDE,actvstrat=,0.460477, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,0.439732, actvprof=,0.046112, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.068056, id=,B05, PRDE,actvstrat=,0.523480, actvprof=,0.444727, id=,B06, PRDE,actvstrat=,0.213654, actvprof=,0.755564, id=,B07, PRDE,actvstrat=,0.086493, actvprof=,1.068623, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.834454, id=,B09, PRDE,actvstrat=,-0.260042, actvprof=,2.533918, id=,B10, PRDE,actvstrat=,0.760327, actvprof=,4.417551, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,4.899223, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.240686, id=,S01, PRDE,actvstrat=,-0.640639, actvprof=,4.221993, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.147027, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.047848, id=,S04, PRDE,actvstrat=,-0.092532, actvprof=,1.763354, id=,S05, PRDE,actvstrat=,0.083011, actvprof=,1.543351, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.434750, id=,S07, PRDE,actvstrat=,-0.337771, actvprof=,0.121668, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.803343, id=,S09, PRDE,actvstrat=,-0.199977, actvprof=,0.018889, id=,S10, PRDE,actvstrat=,-0.214040, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.899223, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,11.240686, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.460477, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.004861, id=,B03, PRDE,actvstrat=,0.439732, actvprof=,0.039722, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.087917, id=,B05, PRDE,actvstrat=,0.523480, actvprof=,0.449308, id=,B06, PRDE,actvstrat=,0.213654, actvprof=,0.703060, id=,B07, PRDE,actvstrat=,0.086493, actvprof=,1.063339, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.888338, id=,B09, PRDE,actvstrat=,-0.260042, actvprof=,2.397931, id=,B10, PRDE,actvstrat=,0.760327, actvprof=,4.481554, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,5.016835, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.268121, id=,S01, PRDE,actvstrat=,-0.640639, actvprof=,4.123774, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.229070, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.083507, id=,S04, PRDE,actvstrat=,-0.092532, actvprof=,1.800705, id=,S05, PRDE,actvstrat=,0.083011, actvprof=,1.565287, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.359875, id=,S07, PRDE,actvstrat=,-0.337771, actvprof=,0.143473, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.746115, id=,S09, PRDE,actvstrat=,-0.199977, actvprof=,0.011389, id=,S10, PRDE,actvstrat=,-0.214040, actvprof=,0.000694, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.016835, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,11.268121, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.817207, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.329280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.539326, actvprof=,0.004444, id=,B03, PRDE,actvstrat=,0.700363, actvprof=,0.020000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.068334, id=,B05, PRDE,actvstrat=,-0.674133, actvprof=,0.123057, id=,B06, PRDE,actvstrat=,0.884041, actvprof=,0.899733, id=,B07, PRDE,actvstrat=,0.644356, actvprof=,1.332515, id=,B08, PRDE,actvstrat=,0.799108, actvprof=,2.094191, id=,B09, PRDE,actvstrat=,0.863771, actvprof=,2.815588, id=,B10, PRDE,actvstrat=,0.412953, actvprof=,3.605875, id=,B11, PRDE,actvstrat=,0.859885, actvprof=,4.616165, id=,S00, PRDE,actvstrat=,0.627408, actvprof=,12.537367, id=,S01, PRDE,actvstrat=,0.397929, actvprof=,9.138995, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.697045, id=,S03, PRDE,actvstrat=,0.344446, actvprof=,5.300895, id=,S04, PRDE,actvstrat=,0.586817, actvprof=,4.773944, id=,S05, PRDE,actvstrat=,-0.532421, actvprof=,0.889177, id=,S06, PRDE,actvstrat=,-0.966655, actvprof=,1.171958, id=,S07, PRDE,actvstrat=,-0.459993, actvprof=,0.135279, id=,S08, PRDE,actvstrat=,-0.182391, actvprof=,0.098334, id=,S09, PRDE,actvstrat=,0.939131, actvprof=,0.470283, id=,S10, PRDE,actvstrat=,-0.667571, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.616165, best_B_strat=,0.859885, best_S_id=,S00, best_S_prof=,12.537367, best_S_strat=,0.627408, 
t=,36000, id=,B00, PRDE,actvstrat=,0.817207, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.329280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.539326, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,0.700363, actvprof=,0.029306, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.057223, id=,B05, PRDE,actvstrat=,-0.674133, actvprof=,0.136667, id=,B06, PRDE,actvstrat=,0.884041, actvprof=,0.906394, id=,B07, PRDE,actvstrat=,0.644356, actvprof=,1.292230, id=,B08, PRDE,actvstrat=,0.799108, actvprof=,2.139318, id=,B09, PRDE,actvstrat=,0.863771, actvprof=,2.735432, id=,B10, PRDE,actvstrat=,0.412953, actvprof=,3.677938, id=,B11, PRDE,actvstrat=,0.859885, actvprof=,4.679194, id=,S00, PRDE,actvstrat=,0.627408, actvprof=,12.212432, id=,S01, PRDE,actvstrat=,0.397929, actvprof=,9.278387, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.769634, id=,S03, PRDE,actvstrat=,0.344446, actvprof=,5.461143, id=,S04, PRDE,actvstrat=,0.586817, actvprof=,4.773917, id=,S05, PRDE,actvstrat=,-0.532421, actvprof=,0.910977, id=,S06, PRDE,actvstrat=,-0.966655, actvprof=,1.280563, id=,S07, PRDE,actvstrat=,-0.459993, actvprof=,0.146112, id=,S08, PRDE,actvstrat=,-0.182391, actvprof=,0.092223, id=,S09, PRDE,actvstrat=,0.939131, actvprof=,0.425836, id=,S10, PRDE,actvstrat=,-0.667571, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.679194, best_B_strat=,0.859885, best_S_id=,S00, best_S_prof=,12.212432, best_S_strat=,0.627408, 
