t=,1, id=,B00, PRDE,actvstrat=,-0.449594, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.826523, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.172118, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.547818, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.997305, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.654864, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.060759, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.517767, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.417393, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.933426, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.485953, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.703584, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.481228, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.608528, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.455813, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.021598, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.616693, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.493139, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.727046, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.023656, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.955999, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.943167, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.342667, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.008328, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.449594, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.481228, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.449594, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.826523, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.172118, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.547818, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,-0.997305, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-0.654864, actvprof=,0.003056, id=,B06, PRDE,actvstrat=,-0.060759, actvprof=,0.055555, id=,B07, PRDE,actvstrat=,-0.517767, actvprof=,0.097221, id=,B08, PRDE,actvstrat=,0.417393, actvprof=,0.634437, id=,B09, PRDE,actvstrat=,0.933426, actvprof=,1.205264, id=,B10, PRDE,actvstrat=,-0.485953, actvprof=,0.781102, id=,B11, PRDE,actvstrat=,0.703584, actvprof=,3.274129, id=,S00, PRDE,actvstrat=,-0.481228, actvprof=,5.810211, id=,S01, PRDE,actvstrat=,-0.608528, actvprof=,4.411893, id=,S02, PRDE,actvstrat=,-0.455813, actvprof=,3.983565, id=,S03, PRDE,actvstrat=,-0.021598, actvprof=,4.386338, id=,S04, PRDE,actvstrat=,-0.616693, actvprof=,1.441650, id=,S05, PRDE,actvstrat=,-0.493139, actvprof=,0.957489, id=,S06, PRDE,actvstrat=,-0.727046, actvprof=,0.344996, id=,S07, PRDE,actvstrat=,0.023656, actvprof=,0.677770, id=,S08, PRDE,actvstrat=,-0.955999, actvprof=,0.125276, id=,S09, PRDE,actvstrat=,-0.943167, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.342667, actvprof=,0.019166, id=,S11, PRDE,actvstrat=,0.008328, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.274129, best_B_strat=,0.703584, best_S_id=,S00, best_S_prof=,5.810211, best_S_strat=,-0.481228, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.009296, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.676970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.461000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.583130, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.754476, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.304628, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.370640, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.171842, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.197022, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.235936, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.462574, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.774512, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.865851, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.645213, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.049567, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.996429, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.578420, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.884105, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.988105, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.539411, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.528849, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.723767, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.397038, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.543238, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.009296, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.865851, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.009296, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.676970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.461000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.583130, actvprof=,0.009722, id=,B04, PRDE,actvstrat=,-0.754476, actvprof=,0.057222, id=,B05, PRDE,actvstrat=,-0.304628, actvprof=,0.134998, id=,B06, PRDE,actvstrat=,-0.370640, actvprof=,0.333052, id=,B07, PRDE,actvstrat=,0.171842, actvprof=,1.001377, id=,B08, PRDE,actvstrat=,-0.197022, actvprof=,1.239708, id=,B09, PRDE,actvstrat=,-0.235936, actvprof=,2.459416, id=,B10, PRDE,actvstrat=,0.462574, actvprof=,4.961887, id=,B11, PRDE,actvstrat=,0.774512, actvprof=,7.256305, id=,S00, PRDE,actvstrat=,-0.865851, actvprof=,1.619981, id=,S01, PRDE,actvstrat=,0.645213, actvprof=,7.228805, id=,S02, PRDE,actvstrat=,-0.049567, actvprof=,2.804134, id=,S03, PRDE,actvstrat=,-0.996429, actvprof=,4.363283, id=,S04, PRDE,actvstrat=,-0.578420, actvprof=,0.469439, id=,S05, PRDE,actvstrat=,-0.884105, actvprof=,0.139998, id=,S06, PRDE,actvstrat=,0.988105, actvprof=,1.293041, id=,S07, PRDE,actvstrat=,-0.539411, actvprof=,0.025555, id=,S08, PRDE,actvstrat=,0.528849, actvprof=,0.193609, id=,S09, PRDE,actvstrat=,0.723767, actvprof=,0.070833, id=,S10, PRDE,actvstrat=,0.397038, actvprof=,0.008889, id=,S11, PRDE,actvstrat=,-0.543238, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.256305, best_B_strat=,0.774512, best_S_id=,S01, best_S_prof=,7.228805, best_S_strat=,0.645213, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.723984, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.756157, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.359557, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.583130, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.754476, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.049740, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.115863, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.114383, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.972029, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.088434, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.942818, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.313212, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.309376, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.645213, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.341355, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.546558, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.450161, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.414344, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.175658, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.752084, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.528849, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.359633, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.550714, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.134409, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.723984, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.309376, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.723984, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.756157, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.359557, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.583130, actvprof=,0.017778, id=,B04, PRDE,actvstrat=,-0.754476, actvprof=,0.165000, id=,B05, PRDE,actvstrat=,0.049740, actvprof=,0.262222, id=,B06, PRDE,actvstrat=,-0.115863, actvprof=,0.449722, id=,B07, PRDE,actvstrat=,0.114383, actvprof=,1.095556, id=,B08, PRDE,actvstrat=,0.972029, actvprof=,1.135000, id=,B09, PRDE,actvstrat=,-0.088434, actvprof=,2.250833, id=,B10, PRDE,actvstrat=,0.942818, actvprof=,2.559444, id=,B11, PRDE,actvstrat=,0.313212, actvprof=,4.660833, id=,S00, PRDE,actvstrat=,0.309376, actvprof=,9.630833, id=,S01, PRDE,actvstrat=,0.645213, actvprof=,9.392778, id=,S02, PRDE,actvstrat=,0.341355, actvprof=,6.381944, id=,S03, PRDE,actvstrat=,-0.546558, actvprof=,1.967778, id=,S04, PRDE,actvstrat=,0.450161, actvprof=,4.060278, id=,S05, PRDE,actvstrat=,-0.414344, actvprof=,0.831389, id=,S06, PRDE,actvstrat=,0.175658, actvprof=,1.144167, id=,S07, PRDE,actvstrat=,-0.752084, actvprof=,0.048056, id=,S08, PRDE,actvstrat=,0.528849, actvprof=,0.448889, id=,S09, PRDE,actvstrat=,0.359633, actvprof=,0.048611, id=,S10, PRDE,actvstrat=,0.550714, actvprof=,0.009444, id=,S11, PRDE,actvstrat=,0.134409, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.660833, best_B_strat=,0.313212, best_S_id=,S00, best_S_prof=,9.630833, best_S_strat=,0.309376, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.413544, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.349952, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.244102, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.118526, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.408036, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.547584, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.430097, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.562095, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.364449, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.159280, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.767332, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.427265, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.789535, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.413544, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.562095, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.413544, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.349952, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,0.244102, actvprof=,0.006389, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.227503, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.784176, id=,B06, PRDE,actvstrat=,-0.118526, actvprof=,0.693897, id=,B07, PRDE,actvstrat=,-0.408036, actvprof=,1.016123, id=,B08, PRDE,actvstrat=,-0.547584, actvprof=,2.318082, id=,B09, PRDE,actvstrat=,0.430097, actvprof=,5.357284, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,7.812868, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,9.943171, id=,S00, PRDE,actvstrat=,-0.562095, actvprof=,1.903355, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.809245, id=,S02, PRDE,actvstrat=,-0.364449, actvprof=,0.711119, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.897256, id=,S04, PRDE,actvstrat=,0.159280, actvprof=,0.510839, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.816954, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.814732, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.193891, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.051389, id=,S09, PRDE,actvstrat=,0.767332, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,-0.427265, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.789535, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.943171, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,6.809245, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.413544, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.349952, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.244102, actvprof=,0.025139, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.228057, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.810838, id=,B06, PRDE,actvstrat=,-0.118526, actvprof=,0.707921, id=,B07, PRDE,actvstrat=,-0.408036, actvprof=,1.142090, id=,B08, PRDE,actvstrat=,-0.547584, actvprof=,2.313069, id=,B09, PRDE,actvstrat=,0.430097, actvprof=,5.509060, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,8.022130, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,9.786723, id=,S00, PRDE,actvstrat=,-0.562095, actvprof=,1.818483, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.878095, id=,S02, PRDE,actvstrat=,-0.364449, actvprof=,0.746949, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.870711, id=,S04, PRDE,actvstrat=,0.159280, actvprof=,0.547642, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.776254, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.816949, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.209723, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.078056, id=,S09, PRDE,actvstrat=,0.767332, actvprof=,0.007083, id=,S10, PRDE,actvstrat=,-0.427265, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.789535, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.786723, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,6.878095, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.413544, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.676970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.461000, actvprof=,0.006111, id=,B03, PRDE,actvstrat=,0.644875, actvprof=,0.108335, id=,B04, PRDE,actvstrat=,-0.692447, actvprof=,0.131946, id=,B05, PRDE,actvstrat=,-0.842274, actvprof=,0.922511, id=,B06, PRDE,actvstrat=,-0.728883, actvprof=,1.089735, id=,B07, PRDE,actvstrat=,-0.408036, actvprof=,1.339738, id=,B08, PRDE,actvstrat=,-0.197022, actvprof=,2.106135, id=,B09, PRDE,actvstrat=,-0.235936, actvprof=,3.384484, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,8.393430, id=,B11, PRDE,actvstrat=,0.186907, actvprof=,6.475908, id=,S00, PRDE,actvstrat=,0.937854, actvprof=,9.437054, id=,S01, PRDE,actvstrat=,0.989143, actvprof=,7.119527, id=,S02, PRDE,actvstrat=,-0.049567, actvprof=,1.608352, id=,S03, PRDE,actvstrat=,-0.996429, actvprof=,2.265860, id=,S04, PRDE,actvstrat=,-0.951495, actvprof=,0.298892, id=,S05, PRDE,actvstrat=,0.203883, actvprof=,0.502784, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.823065, id=,S07, PRDE,actvstrat=,-0.857413, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.005188, actvprof=,0.017500, id=,S09, PRDE,actvstrat=,-0.277205, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.683323, actvprof=,0.003056, id=,S11, PRDE,actvstrat=,-0.789535, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,8.393430, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.437054, best_S_strat=,0.937854, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.413544, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.676970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.461000, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,0.644875, actvprof=,0.109028, id=,B04, PRDE,actvstrat=,-0.692447, actvprof=,0.156390, id=,B05, PRDE,actvstrat=,-0.842274, actvprof=,0.828477, id=,B06, PRDE,actvstrat=,-0.728883, actvprof=,1.131673, id=,B07, PRDE,actvstrat=,-0.408036, actvprof=,1.299591, id=,B08, PRDE,actvstrat=,-0.197022, actvprof=,2.091401, id=,B09, PRDE,actvstrat=,-0.235936, actvprof=,3.338075, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,8.155325, id=,B11, PRDE,actvstrat=,0.186907, actvprof=,6.761011, id=,S00, PRDE,actvstrat=,0.937854, actvprof=,9.397415, id=,S01, PRDE,actvstrat=,0.989143, actvprof=,7.139208, id=,S02, PRDE,actvstrat=,-0.049567, actvprof=,1.808066, id=,S03, PRDE,actvstrat=,-0.996429, actvprof=,2.094179, id=,S04, PRDE,actvstrat=,-0.951495, actvprof=,0.317919, id=,S05, PRDE,actvstrat=,0.203883, actvprof=,0.498614, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.785282, id=,S07, PRDE,actvstrat=,-0.857413, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,0.005188, actvprof=,0.009306, id=,S09, PRDE,actvstrat=,-0.277205, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.683323, actvprof=,0.001806, id=,S11, PRDE,actvstrat=,-0.789535, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,8.155325, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.397415, best_S_strat=,0.937854, 
