t=,0, id=,B00, PRDE,actvstrat=,0.149715, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.408144, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.746685, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.103906, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.479526, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.396099, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.608818, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.915301, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.525454, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.354939, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.630260, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.069756, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.772312, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.810393, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.965717, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.142951, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.169346, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.944268, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.333682, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.718105, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.045518, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.128899, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.347298, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.292047, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.149715, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.772312, 
t=,3600, id=,B00, PRDE,actvstrat=,0.149715, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.408144, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.746685, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,0.103906, actvprof=,0.028889, id=,B04, PRDE,actvstrat=,0.479526, actvprof=,0.150554, id=,B05, PRDE,actvstrat=,0.396099, actvprof=,0.386940, id=,B06, PRDE,actvstrat=,0.608818, actvprof=,1.005822, id=,B07, PRDE,actvstrat=,0.915301, actvprof=,1.387484, id=,B08, PRDE,actvstrat=,0.525454, actvprof=,2.427472, id=,B09, PRDE,actvstrat=,0.354939, actvprof=,3.367461, id=,B10, PRDE,actvstrat=,0.630260, actvprof=,4.774389, id=,B11, PRDE,actvstrat=,0.069756, actvprof=,5.489103, id=,S00, PRDE,actvstrat=,0.772312, actvprof=,11.371535, id=,S01, PRDE,actvstrat=,-0.810393, actvprof=,2.146642, id=,S02, PRDE,actvstrat=,0.965717, actvprof=,7.794076, id=,S03, PRDE,actvstrat=,0.142951, actvprof=,3.576625, id=,S04, PRDE,actvstrat=,0.169346, actvprof=,2.759413, id=,S05, PRDE,actvstrat=,0.944268, actvprof=,3.395794, id=,S06, PRDE,actvstrat=,0.333682, actvprof=,0.983600, id=,S07, PRDE,actvstrat=,-0.718105, actvprof=,0.081388, id=,S08, PRDE,actvstrat=,0.045518, actvprof=,0.094721, id=,S09, PRDE,actvstrat=,-0.128899, actvprof=,0.004167, id=,S10, PRDE,actvstrat=,0.347298, actvprof=,0.003611, id=,S11, PRDE,actvstrat=,0.292047, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.489103, best_B_strat=,0.069756, best_S_id=,S00, best_S_prof=,11.371535, best_S_strat=,0.772312, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.145590, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.234325, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.786288, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.064102, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.938083, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.953601, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.132326, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.578888, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.735086, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.987904, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.303974, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.310020, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.640770, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.726578, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.365076, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.466256, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.724472, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.080691, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.332339, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.361258, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.769944, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.124242, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.595660, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.000226, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.145590, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.640770, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.145590, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.234325, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.786288, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.064102, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.938083, actvprof=,0.050277, id=,B05, PRDE,actvstrat=,-0.953601, actvprof=,0.219442, id=,B06, PRDE,actvstrat=,0.132326, actvprof=,0.279719, id=,B07, PRDE,actvstrat=,0.578888, actvprof=,1.101376, id=,B08, PRDE,actvstrat=,-0.735086, actvprof=,1.071932, id=,B09, PRDE,actvstrat=,-0.987904, actvprof=,3.386350, id=,B10, PRDE,actvstrat=,0.303974, actvprof=,3.627736, id=,B11, PRDE,actvstrat=,-0.310020, actvprof=,4.062453, id=,S00, PRDE,actvstrat=,-0.640770, actvprof=,3.520793, id=,S01, PRDE,actvstrat=,0.726578, actvprof=,9.233226, id=,S02, PRDE,actvstrat=,0.365076, actvprof=,5.138552, id=,S03, PRDE,actvstrat=,0.466256, actvprof=,4.003843, id=,S04, PRDE,actvstrat=,-0.724472, actvprof=,0.557771, id=,S05, PRDE,actvstrat=,0.080691, actvprof=,1.055266, id=,S06, PRDE,actvstrat=,-0.332339, actvprof=,0.138054, id=,S07, PRDE,actvstrat=,-0.361258, actvprof=,0.051388, id=,S08, PRDE,actvstrat=,-0.769944, actvprof=,0.002222, id=,S09, PRDE,actvstrat=,0.124242, actvprof=,0.008611, id=,S10, PRDE,actvstrat=,0.595660, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,0.000226, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.062453, best_B_strat=,-0.310020, best_S_id=,S01, best_S_prof=,9.233226, best_S_strat=,0.726578, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.145590, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.234325, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.192148, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.103906, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.564382, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.953601, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.357825, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.821845, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.525454, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.168617, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.546666, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.306792, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.399304, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.718568, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.512477, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.948784, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.004277, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.111524, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.036159, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.917703, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.163935, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.124242, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.595660, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.000226, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.145590, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.399304, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.145590, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.234325, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.192148, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.103906, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,0.564382, actvprof=,0.016111, id=,B05, PRDE,actvstrat=,-0.953601, actvprof=,0.294444, id=,B06, PRDE,actvstrat=,0.357825, actvprof=,0.470833, id=,B07, PRDE,actvstrat=,-0.821845, actvprof=,0.729722, id=,B08, PRDE,actvstrat=,0.525454, actvprof=,1.898611, id=,B09, PRDE,actvstrat=,0.168617, actvprof=,2.520833, id=,B10, PRDE,actvstrat=,0.546666, actvprof=,4.326667, id=,B11, PRDE,actvstrat=,0.306792, actvprof=,5.408333, id=,S00, PRDE,actvstrat=,-0.399304, actvprof=,4.435833, id=,S01, PRDE,actvstrat=,-0.718568, actvprof=,2.513611, id=,S02, PRDE,actvstrat=,-0.512477, actvprof=,2.271389, id=,S03, PRDE,actvstrat=,0.948784, actvprof=,5.811111, id=,S04, PRDE,actvstrat=,0.004277, actvprof=,1.711389, id=,S05, PRDE,actvstrat=,0.111524, actvprof=,1.352500, id=,S06, PRDE,actvstrat=,0.036159, actvprof=,0.603611, id=,S07, PRDE,actvstrat=,0.917703, actvprof=,1.495278, id=,S08, PRDE,actvstrat=,0.163935, actvprof=,0.104167, id=,S09, PRDE,actvstrat=,0.124242, actvprof=,0.016667, id=,S10, PRDE,actvstrat=,0.595660, actvprof=,0.004444, id=,S11, PRDE,actvstrat=,0.000226, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.408333, best_B_strat=,0.306792, best_S_id=,S03, best_S_prof=,5.811111, best_S_strat=,0.948784, 
t=,21600, id=,B00, PRDE,actvstrat=,0.412614, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.518464, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.298739, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.367596, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.441473, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.048187, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.174164, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.457479, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.012784, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.765299, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.329377, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.422309, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.177989, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.367716, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.023946, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.412614, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.012784, 
t=,25200, id=,B00, PRDE,actvstrat=,0.412614, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.518464, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.298739, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,0.367596, actvprof=,0.022778, id=,B04, PRDE,actvstrat=,0.441473, actvprof=,0.085557, id=,B05, PRDE,actvstrat=,0.048187, actvprof=,0.095834, id=,B06, PRDE,actvstrat=,0.174164, actvprof=,0.500006, id=,B07, PRDE,actvstrat=,0.457479, actvprof=,1.978634, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.585319, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.005347, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.138127, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.586754, id=,S00, PRDE,actvstrat=,-0.012784, actvprof=,4.992836, id=,S01, PRDE,actvstrat=,0.765299, actvprof=,7.087026, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.413118, id=,S03, PRDE,actvstrat=,0.329377, actvprof=,1.543907, id=,S04, PRDE,actvstrat=,0.422309, actvprof=,0.957789, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.391961, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.386116, id=,S07, PRDE,actvstrat=,0.177989, actvprof=,0.023889, id=,S08, PRDE,actvstrat=,0.367716, actvprof=,0.008056, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.023946, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.586754, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,7.087026, best_S_strat=,0.765299, 
t=,28800, id=,B00, PRDE,actvstrat=,0.412614, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.518464, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.298739, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,0.367596, actvprof=,0.019722, id=,B04, PRDE,actvstrat=,0.441473, actvprof=,0.090278, id=,B05, PRDE,actvstrat=,0.048187, actvprof=,0.141251, id=,B06, PRDE,actvstrat=,0.174164, actvprof=,0.545698, id=,B07, PRDE,actvstrat=,0.457479, actvprof=,1.789316, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.469603, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.820034, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.226980, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.375182, id=,S00, PRDE,actvstrat=,-0.012784, actvprof=,5.102530, id=,S01, PRDE,actvstrat=,0.765299, actvprof=,7.088374, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.512115, id=,S03, PRDE,actvstrat=,0.329377, actvprof=,1.673204, id=,S04, PRDE,actvstrat=,0.422309, actvprof=,0.966256, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.374452, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.424447, id=,S07, PRDE,actvstrat=,0.177989, actvprof=,0.027778, id=,S08, PRDE,actvstrat=,0.367716, actvprof=,0.010417, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.023946, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.375182, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,7.088374, best_S_strat=,0.765299, 
t=,32400, id=,B00, PRDE,actvstrat=,0.412614, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.453744, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.298739, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.348480, actvprof=,0.010833, id=,B04, PRDE,actvstrat=,-0.112281, actvprof=,0.049167, id=,B05, PRDE,actvstrat=,0.720024, actvprof=,0.536673, id=,B06, PRDE,actvstrat=,0.608818, actvprof=,1.027790, id=,B07, PRDE,actvstrat=,0.580341, actvprof=,1.831966, id=,B08, PRDE,actvstrat=,0.007855, actvprof=,1.993634, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.722809, id=,B10, PRDE,actvstrat=,-0.041282, actvprof=,4.361162, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.968148, id=,S00, PRDE,actvstrat=,-0.300231, actvprof=,4.613665, id=,S01, PRDE,actvstrat=,0.765299, actvprof=,8.250651, id=,S02, PRDE,actvstrat=,0.365076, actvprof=,4.953113, id=,S03, PRDE,actvstrat=,0.916926, actvprof=,5.533397, id=,S04, PRDE,actvstrat=,0.422309, actvprof=,2.086413, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.025023, id=,S06, PRDE,actvstrat=,-0.671303, actvprof=,0.150835, id=,S07, PRDE,actvstrat=,0.739541, actvprof=,0.736675, id=,S08, PRDE,actvstrat=,0.088419, actvprof=,0.043056, id=,S09, PRDE,actvstrat=,0.494800, actvprof=,0.003889, id=,S10, PRDE,actvstrat=,0.595660, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.141940, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.968148, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,8.250651, best_S_strat=,0.765299, 
t=,36000, id=,B00, PRDE,actvstrat=,0.412614, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.453744, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.298739, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.348480, actvprof=,0.017361, id=,B04, PRDE,actvstrat=,-0.112281, actvprof=,0.036389, id=,B05, PRDE,actvstrat=,0.720024, actvprof=,0.515278, id=,B06, PRDE,actvstrat=,0.608818, actvprof=,0.973056, id=,B07, PRDE,actvstrat=,0.580341, actvprof=,1.833889, id=,B08, PRDE,actvstrat=,0.007855, actvprof=,1.949722, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.725417, id=,B10, PRDE,actvstrat=,-0.041282, actvprof=,4.265417, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.047917, id=,S00, PRDE,actvstrat=,-0.300231, actvprof=,4.497500, id=,S01, PRDE,actvstrat=,0.765299, actvprof=,8.359167, id=,S02, PRDE,actvstrat=,0.365076, actvprof=,4.755278, id=,S03, PRDE,actvstrat=,0.916926, actvprof=,5.452361, id=,S04, PRDE,actvstrat=,0.422309, actvprof=,2.302083, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.006806, id=,S06, PRDE,actvstrat=,-0.671303, actvprof=,0.112639, id=,S07, PRDE,actvstrat=,0.739541, actvprof=,0.681528, id=,S08, PRDE,actvstrat=,0.088419, actvprof=,0.050417, id=,S09, PRDE,actvstrat=,0.494800, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,0.595660, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.141940, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.047917, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,8.359167, best_S_strat=,0.765299, 
