t=,1, id=,B00, PRDE,actvstrat=,-0.251841, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.104359, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.621566, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.166122, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.047898, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.271740, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.818063, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.075248, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.536325, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.710606, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.820717, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.410531, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.168907, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.209329, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.862767, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.608596, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.637477, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.730708, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.263633, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.406168, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.475245, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.049709, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.939498, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.237841, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.251841, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.168907, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.251841, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.104359, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.621566, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.166122, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.047898, actvprof=,0.008889, id=,B05, PRDE,actvstrat=,-0.271740, actvprof=,0.056388, id=,B06, PRDE,actvstrat=,0.818063, actvprof=,0.971378, id=,B07, PRDE,actvstrat=,0.075248, actvprof=,0.962211, id=,B08, PRDE,actvstrat=,-0.536325, actvprof=,1.295263, id=,B09, PRDE,actvstrat=,-0.710606, actvprof=,2.421083, id=,B10, PRDE,actvstrat=,-0.820717, actvprof=,3.437460, id=,B11, PRDE,actvstrat=,-0.410531, actvprof=,5.272439, id=,S00, PRDE,actvstrat=,0.168907, actvprof=,6.839643, id=,S01, PRDE,actvstrat=,0.209329, actvprof=,4.868833, id=,S02, PRDE,actvstrat=,-0.862767, actvprof=,0.431662, id=,S03, PRDE,actvstrat=,0.608596, actvprof=,3.407738, id=,S04, PRDE,actvstrat=,-0.637477, actvprof=,0.314719, id=,S05, PRDE,actvstrat=,0.730708, actvprof=,1.252763, id=,S06, PRDE,actvstrat=,-0.263633, actvprof=,0.033055, id=,S07, PRDE,actvstrat=,0.406168, actvprof=,0.049444, id=,S08, PRDE,actvstrat=,-0.475245, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.049709, actvprof=,0.007778, id=,S10, PRDE,actvstrat=,-0.939498, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.237841, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.272439, best_B_strat=,-0.410531, best_S_id=,S00, best_S_prof=,6.839643, best_S_strat=,0.168907, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.615232, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.429276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.179841, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.484611, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.987315, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.373236, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.102940, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.175741, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.222857, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.811934, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.040377, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.292252, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.689572, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.649172, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.579177, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.883258, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.206715, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.047487, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.137718, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.301220, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.069807, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.710735, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.219111, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.824550, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.615232, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.689572, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.615232, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.429276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.179841, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.484611, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.987315, actvprof=,0.013333, id=,B05, PRDE,actvstrat=,-0.373236, actvprof=,0.008611, id=,B06, PRDE,actvstrat=,-0.102940, actvprof=,0.078055, id=,B07, PRDE,actvstrat=,-0.175741, actvprof=,0.164443, id=,B08, PRDE,actvstrat=,0.222857, actvprof=,0.694436, id=,B09, PRDE,actvstrat=,0.811934, actvprof=,2.219419, id=,B10, PRDE,actvstrat=,-0.040377, actvprof=,2.171086, id=,B11, PRDE,actvstrat=,0.292252, actvprof=,3.701068, id=,S00, PRDE,actvstrat=,-0.689572, actvprof=,4.942165, id=,S01, PRDE,actvstrat=,-0.649172, actvprof=,3.720512, id=,S02, PRDE,actvstrat=,0.579177, actvprof=,7.856020, id=,S03, PRDE,actvstrat=,-0.883258, actvprof=,0.440828, id=,S04, PRDE,actvstrat=,-0.206715, actvprof=,1.195819, id=,S05, PRDE,actvstrat=,0.047487, actvprof=,1.776091, id=,S06, PRDE,actvstrat=,0.137718, actvprof=,0.967767, id=,S07, PRDE,actvstrat=,-0.301220, actvprof=,0.139998, id=,S08, PRDE,actvstrat=,-0.069807, actvprof=,0.097221, id=,S09, PRDE,actvstrat=,-0.710735, actvprof=,0.012778, id=,S10, PRDE,actvstrat=,-0.219111, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.824550, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.701068, best_B_strat=,0.292252, best_S_id=,S02, best_S_prof=,7.856020, best_S_strat=,0.579177, 
t=,14400, id=,B00, PRDE,actvstrat=,0.170271, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.273369, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.465165, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.166122, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.569717, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.042127, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.917070, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.199387, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.545176, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.794569, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.040377, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.265787, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.379248, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.649172, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.098333, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.457243, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.174396, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.047487, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.355803, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.301220, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.859362, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.513817, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.177439, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.367453, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.170271, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.379248, 
t=,18000, id=,B00, PRDE,actvstrat=,0.170271, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.273369, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.465165, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.166122, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.569717, actvprof=,0.011389, id=,B05, PRDE,actvstrat=,-0.042127, actvprof=,0.051389, id=,B06, PRDE,actvstrat=,0.917070, actvprof=,0.436111, id=,B07, PRDE,actvstrat=,-0.199387, actvprof=,0.220278, id=,B08, PRDE,actvstrat=,-0.545176, actvprof=,0.527778, id=,B09, PRDE,actvstrat=,0.794569, actvprof=,2.274167, id=,B10, PRDE,actvstrat=,-0.040377, actvprof=,2.139167, id=,B11, PRDE,actvstrat=,0.265787, actvprof=,3.818889, id=,S00, PRDE,actvstrat=,0.379248, actvprof=,9.932778, id=,S01, PRDE,actvstrat=,-0.649172, actvprof=,2.739167, id=,S02, PRDE,actvstrat=,-0.098333, actvprof=,3.270833, id=,S03, PRDE,actvstrat=,-0.457243, actvprof=,1.378333, id=,S04, PRDE,actvstrat=,-0.174396, actvprof=,1.027500, id=,S05, PRDE,actvstrat=,0.047487, actvprof=,1.496389, id=,S06, PRDE,actvstrat=,0.355803, actvprof=,1.002778, id=,S07, PRDE,actvstrat=,-0.301220, actvprof=,0.054444, id=,S08, PRDE,actvstrat=,0.859362, actvprof=,0.573056, id=,S09, PRDE,actvstrat=,0.513817, actvprof=,0.033056, id=,S10, PRDE,actvstrat=,-0.177439, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,0.367453, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.818889, best_B_strat=,0.265787, best_S_id=,S00, best_S_prof=,9.932778, best_S_strat=,0.379248, 
t=,21600, id=,B00, PRDE,actvstrat=,0.170271, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.273369, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.465165, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.166122, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.569717, actvprof=,0.007778, id=,B05, PRDE,actvstrat=,-0.042127, actvprof=,0.046667, id=,B06, PRDE,actvstrat=,0.917070, actvprof=,0.421669, id=,B07, PRDE,actvstrat=,-0.199387, actvprof=,0.195140, id=,B08, PRDE,actvstrat=,-0.545176, actvprof=,0.539448, id=,B09, PRDE,actvstrat=,0.794569, actvprof=,2.301124, id=,B10, PRDE,actvstrat=,-0.040377, actvprof=,2.172374, id=,B11, PRDE,actvstrat=,0.265787, actvprof=,3.837244, id=,S00, PRDE,actvstrat=,0.379248, actvprof=,9.812557, id=,S01, PRDE,actvstrat=,-0.649172, actvprof=,2.925295, id=,S02, PRDE,actvstrat=,-0.098333, actvprof=,3.514465, id=,S03, PRDE,actvstrat=,-0.457243, actvprof=,1.497786, id=,S04, PRDE,actvstrat=,-0.174396, actvprof=,0.977089, id=,S05, PRDE,actvstrat=,0.047487, actvprof=,1.378341, id=,S06, PRDE,actvstrat=,0.355803, actvprof=,1.005006, id=,S07, PRDE,actvstrat=,-0.301220, actvprof=,0.057778, id=,S08, PRDE,actvstrat=,0.859362, actvprof=,0.501670, id=,S09, PRDE,actvstrat=,0.513817, actvprof=,0.029445, id=,S10, PRDE,actvstrat=,-0.177439, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,0.367453, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.837244, best_B_strat=,0.265787, best_S_id=,S00, best_S_prof=,9.812557, best_S_strat=,0.379248, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.541628, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.037500, id=,B05, PRDE,actvstrat=,0.430193, actvprof=,0.060833, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.476939, id=,B07, PRDE,actvstrat=,0.773011, actvprof=,1.671092, id=,B08, PRDE,actvstrat=,0.124398, actvprof=,2.209419, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.132441, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,7.009641, id=,B11, PRDE,actvstrat=,0.291431, actvprof=,8.169905, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,10.350991, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,8.985452, id=,S02, PRDE,actvstrat=,-0.406582, actvprof=,1.412484, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.766611, id=,S04, PRDE,actvstrat=,-0.955520, actvprof=,0.572493, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.674425, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.661103, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.305830, id=,S08, PRDE,actvstrat=,0.808639, actvprof=,0.070555, id=,S09, PRDE,actvstrat=,-0.667476, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.810125, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.169905, best_B_strat=,0.291431, best_S_id=,S00, best_S_prof=,10.350991, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.511705, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.429276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.775665, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.482139, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.987315, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.451354, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.081994, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.449578, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.124398, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.350527, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.540741, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.292252, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.780195, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.220706, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.042749, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.532651, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.673763, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.473807, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.137718, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.754273, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.994289, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.725689, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.219111, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.305960, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.511705, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.780195, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.511705, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.429276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.775665, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,0.482139, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.987315, actvprof=,0.039445, id=,B05, PRDE,actvstrat=,0.451354, actvprof=,0.192502, id=,B06, PRDE,actvstrat=,0.081994, actvprof=,0.373060, id=,B07, PRDE,actvstrat=,0.449578, actvprof=,1.224181, id=,B08, PRDE,actvstrat=,0.124398, actvprof=,1.669464, id=,B09, PRDE,actvstrat=,-0.350527, actvprof=,2.513918, id=,B10, PRDE,actvstrat=,-0.540741, actvprof=,3.495874, id=,B11, PRDE,actvstrat=,0.292252, actvprof=,6.107571, id=,S00, PRDE,actvstrat=,0.780195, actvprof=,10.335120, id=,S01, PRDE,actvstrat=,-0.220706, actvprof=,2.163081, id=,S02, PRDE,actvstrat=,-0.042749, actvprof=,2.649197, id=,S03, PRDE,actvstrat=,0.532651, actvprof=,3.258093, id=,S04, PRDE,actvstrat=,0.673763, actvprof=,2.356416, id=,S05, PRDE,actvstrat=,0.473807, actvprof=,1.083901, id=,S06, PRDE,actvstrat=,0.137718, actvprof=,0.272781, id=,S07, PRDE,actvstrat=,-0.754273, actvprof=,0.028334, id=,S08, PRDE,actvstrat=,-0.994289, actvprof=,0.171391, id=,S09, PRDE,actvstrat=,-0.725689, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.219111, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.305960, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.107571, best_B_strat=,0.292252, best_S_id=,S00, best_S_prof=,10.335120, best_S_strat=,0.780195, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.511705, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.429276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.775665, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.482139, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.987315, actvprof=,0.045972, id=,B05, PRDE,actvstrat=,0.451354, actvprof=,0.166251, id=,B06, PRDE,actvstrat=,0.081994, actvprof=,0.390280, id=,B07, PRDE,actvstrat=,0.449578, actvprof=,1.271396, id=,B08, PRDE,actvstrat=,0.124398, actvprof=,1.710010, id=,B09, PRDE,actvstrat=,-0.350527, actvprof=,2.294597, id=,B10, PRDE,actvstrat=,-0.540741, actvprof=,3.568493, id=,B11, PRDE,actvstrat=,0.292252, actvprof=,6.251286, id=,S00, PRDE,actvstrat=,0.780195, actvprof=,10.266587, id=,S01, PRDE,actvstrat=,-0.220706, actvprof=,2.219735, id=,S02, PRDE,actvstrat=,-0.042749, actvprof=,2.554876, id=,S03, PRDE,actvstrat=,0.532651, actvprof=,3.153490, id=,S04, PRDE,actvstrat=,0.673763, actvprof=,2.530015, id=,S05, PRDE,actvstrat=,0.473807, actvprof=,1.107645, id=,S06, PRDE,actvstrat=,0.137718, actvprof=,0.336669, id=,S07, PRDE,actvstrat=,-0.754273, actvprof=,0.022917, id=,S08, PRDE,actvstrat=,-0.994289, actvprof=,0.172918, id=,S09, PRDE,actvstrat=,-0.725689, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.219111, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.305960, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.251286, best_B_strat=,0.292252, best_S_id=,S00, best_S_prof=,10.266587, best_S_strat=,0.780195, 
