t=,1, id=,B00, PRDE,actvstrat=,-0.697816, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.888327, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.605485, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.155266, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.054359, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.697904, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.149535, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.330781, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.980301, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.261245, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.977516, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.906487, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.965490, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.024101, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.001082, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.120990, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.399900, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.352599, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.233010, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.290228, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.556799, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.229281, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.782956, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.456017, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.697816, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.965490, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.697816, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.888327, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.605485, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.155266, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.054359, actvprof=,0.010000, id=,B05, PRDE,actvstrat=,-0.697904, actvprof=,0.071388, id=,B06, PRDE,actvstrat=,0.149535, actvprof=,0.218609, id=,B07, PRDE,actvstrat=,0.330781, actvprof=,0.639159, id=,B08, PRDE,actvstrat=,-0.980301, actvprof=,1.281652, id=,B09, PRDE,actvstrat=,0.261245, actvprof=,2.056365, id=,B10, PRDE,actvstrat=,-0.977516, actvprof=,2.808301, id=,B11, PRDE,actvstrat=,0.906487, actvprof=,4.677446, id=,S00, PRDE,actvstrat=,-0.965490, actvprof=,5.782155, id=,S01, PRDE,actvstrat=,0.024101, actvprof=,7.539357, id=,S02, PRDE,actvstrat=,-0.001082, actvprof=,5.658823, id=,S03, PRDE,actvstrat=,-0.120990, actvprof=,3.556348, id=,S04, PRDE,actvstrat=,-0.399900, actvprof=,1.618315, id=,S05, PRDE,actvstrat=,-0.352599, actvprof=,1.044155, id=,S06, PRDE,actvstrat=,-0.233010, actvprof=,0.544994, id=,S07, PRDE,actvstrat=,-0.290228, actvprof=,0.154443, id=,S08, PRDE,actvstrat=,-0.556799, actvprof=,0.064999, id=,S09, PRDE,actvstrat=,0.229281, actvprof=,0.101110, id=,S10, PRDE,actvstrat=,0.782956, actvprof=,0.048888, id=,S11, PRDE,actvstrat=,-0.456017, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.677446, best_B_strat=,0.906487, best_S_id=,S01, best_S_prof=,7.539357, best_S_strat=,0.024101, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.687540, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.386940, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.528809, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.797876, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.964943, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.173862, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.018288, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.510833, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.566115, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.006043, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.637239, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.127473, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.259127, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.837507, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.220700, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.014061, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.521606, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.613993, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.352086, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.527391, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.991117, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.683842, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.549872, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.623608, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.687540, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.259127, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.687540, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.386940, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.528809, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,0.797876, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.964943, actvprof=,0.083055, id=,B05, PRDE,actvstrat=,-0.173862, actvprof=,0.044444, id=,B06, PRDE,actvstrat=,0.018288, actvprof=,0.336941, id=,B07, PRDE,actvstrat=,-0.510833, actvprof=,0.446661, id=,B08, PRDE,actvstrat=,-0.566115, actvprof=,1.328596, id=,B09, PRDE,actvstrat=,0.006043, actvprof=,2.279974, id=,B10, PRDE,actvstrat=,0.637239, actvprof=,4.422727, id=,B11, PRDE,actvstrat=,-0.127473, actvprof=,4.788000, id=,S00, PRDE,actvstrat=,0.259127, actvprof=,8.899897, id=,S01, PRDE,actvstrat=,-0.837507, actvprof=,2.501082, id=,S02, PRDE,actvstrat=,-0.220700, actvprof=,3.021076, id=,S03, PRDE,actvstrat=,0.014061, actvprof=,2.901078, id=,S04, PRDE,actvstrat=,0.521606, actvprof=,2.765801, id=,S05, PRDE,actvstrat=,-0.613993, actvprof=,0.570827, id=,S06, PRDE,actvstrat=,-0.352086, actvprof=,0.156943, id=,S07, PRDE,actvstrat=,-0.527391, actvprof=,0.098888, id=,S08, PRDE,actvstrat=,-0.991117, actvprof=,0.242219, id=,S09, PRDE,actvstrat=,0.683842, actvprof=,0.014722, id=,S10, PRDE,actvstrat=,0.549872, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,0.623608, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.788000, best_B_strat=,-0.127473, best_S_id=,S00, best_S_prof=,8.899897, best_S_strat=,0.259127, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.848965, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.016916, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.278959, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.636397, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.037595, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.173862, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.807355, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.510833, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.202539, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.992758, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.637239, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.346660, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.484698, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.946317, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.993907, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.579765, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.437563, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.972287, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.233010, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.825124, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.166410, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.783337, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.223740, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.623608, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.848965, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.484698, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.848965, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.016916, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.278959, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.636397, actvprof=,0.012222, id=,B04, PRDE,actvstrat=,-0.037595, actvprof=,0.119165, id=,B05, PRDE,actvstrat=,-0.173862, actvprof=,0.294441, id=,B06, PRDE,actvstrat=,-0.807355, actvprof=,0.902212, id=,B07, PRDE,actvstrat=,-0.510833, actvprof=,1.270541, id=,B08, PRDE,actvstrat=,-0.202539, actvprof=,2.412750, id=,B09, PRDE,actvstrat=,-0.992758, actvprof=,4.516337, id=,B10, PRDE,actvstrat=,0.637239, actvprof=,6.366871, id=,B11, PRDE,actvstrat=,0.346660, actvprof=,8.166294, id=,S00, PRDE,actvstrat=,-0.484698, actvprof=,4.217173, id=,S01, PRDE,actvstrat=,-0.946317, actvprof=,3.002465, id=,S02, PRDE,actvstrat=,0.993907, actvprof=,5.412437, id=,S03, PRDE,actvstrat=,0.579765, actvprof=,3.732735, id=,S04, PRDE,actvstrat=,-0.437563, actvprof=,0.677492, id=,S05, PRDE,actvstrat=,0.972287, actvprof=,2.095531, id=,S06, PRDE,actvstrat=,-0.233010, actvprof=,0.319996, id=,S07, PRDE,actvstrat=,-0.825124, actvprof=,0.035277, id=,S08, PRDE,actvstrat=,-0.166410, actvprof=,0.031666, id=,S09, PRDE,actvstrat=,-0.783337, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,-0.223740, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.623608, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.166294, best_B_strat=,0.346660, best_S_id=,S02, best_S_prof=,5.412437, best_S_strat=,0.993907, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.848965, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.016916, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.278959, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.636397, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,-0.037595, actvprof=,0.126667, id=,B05, PRDE,actvstrat=,-0.173862, actvprof=,0.329724, id=,B06, PRDE,actvstrat=,-0.807355, actvprof=,0.891672, id=,B07, PRDE,actvstrat=,-0.510833, actvprof=,1.224313, id=,B08, PRDE,actvstrat=,-0.202539, actvprof=,2.430709, id=,B09, PRDE,actvstrat=,-0.992758, actvprof=,4.413637, id=,B10, PRDE,actvstrat=,0.637239, actvprof=,6.741428, id=,B11, PRDE,actvstrat=,0.346660, actvprof=,7.993935, id=,S00, PRDE,actvstrat=,-0.484698, actvprof=,4.276691, id=,S01, PRDE,actvstrat=,-0.946317, actvprof=,2.901822, id=,S02, PRDE,actvstrat=,0.993907, actvprof=,5.335586, id=,S03, PRDE,actvstrat=,0.579765, actvprof=,3.927523, id=,S04, PRDE,actvstrat=,-0.437563, actvprof=,0.769727, id=,S05, PRDE,actvstrat=,0.972287, actvprof=,2.075429, id=,S06, PRDE,actvstrat=,-0.233010, actvprof=,0.314030, id=,S07, PRDE,actvstrat=,-0.825124, actvprof=,0.041389, id=,S08, PRDE,actvstrat=,-0.166410, actvprof=,0.055139, id=,S09, PRDE,actvstrat=,-0.783337, actvprof=,0.001250, id=,S10, PRDE,actvstrat=,-0.223740, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.623608, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.993935, best_B_strat=,0.346660, best_S_id=,S02, best_S_prof=,5.335586, best_S_strat=,0.993907, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,-0.432984, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,0.685192, actvprof=,0.120001, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.288059, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.309726, id=,B06, PRDE,actvstrat=,0.709797, actvprof=,1.399183, id=,B07, PRDE,actvstrat=,0.043294, actvprof=,1.537518, id=,B08, PRDE,actvstrat=,-0.071887, actvprof=,2.492529, id=,B09, PRDE,actvstrat=,-0.336989, actvprof=,3.642542, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,5.751733, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,10.369287, id=,S00, PRDE,actvstrat=,0.842230, actvprof=,9.987060, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,7.887869, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.027014, id=,S03, PRDE,actvstrat=,0.628818, actvprof=,3.443651, id=,S04, PRDE,actvstrat=,-0.642092, actvprof=,0.437783, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.407528, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.633341, id=,S07, PRDE,actvstrat=,0.225597, actvprof=,0.196391, id=,S08, PRDE,actvstrat=,0.100560, actvprof=,0.057501, id=,S09, PRDE,actvstrat=,0.127459, actvprof=,0.006667, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.369287, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.987060, best_S_strat=,0.842230, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,-0.432984, actvprof=,0.005139, id=,B03, PRDE,actvstrat=,0.685192, actvprof=,0.124306, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.281946, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.257224, id=,B06, PRDE,actvstrat=,0.709797, actvprof=,1.407786, id=,B07, PRDE,actvstrat=,0.043294, actvprof=,1.481953, id=,B08, PRDE,actvstrat=,-0.071887, actvprof=,2.538348, id=,B09, PRDE,actvstrat=,-0.336989, actvprof=,3.832522, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,5.840034, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,10.711729, id=,S00, PRDE,actvstrat=,0.842230, actvprof=,9.893391, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,7.767684, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,5.895590, id=,S03, PRDE,actvstrat=,0.628818, actvprof=,3.417659, id=,S04, PRDE,actvstrat=,-0.642092, actvprof=,0.443475, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.288902, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.570420, id=,S07, PRDE,actvstrat=,0.225597, actvprof=,0.183890, id=,S08, PRDE,actvstrat=,0.100560, actvprof=,0.063195, id=,S09, PRDE,actvstrat=,0.127459, actvprof=,0.016250, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000694, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.711729, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.893391, best_S_strat=,0.842230, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.687540, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.994480, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.830075, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.510685, actvprof=,0.021389, id=,B04, PRDE,actvstrat=,0.691927, actvprof=,0.115001, id=,B05, PRDE,actvstrat=,0.931323, actvprof=,0.441950, id=,B06, PRDE,actvstrat=,0.731222, actvprof=,0.955289, id=,B07, PRDE,actvstrat=,-0.431317, actvprof=,0.802787, id=,B08, PRDE,actvstrat=,-0.566115, actvprof=,1.543351, id=,B09, PRDE,actvstrat=,-0.336989, actvprof=,2.841422, id=,B10, PRDE,actvstrat=,-0.945043, actvprof=,5.580898, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,10.342620, id=,S00, PRDE,actvstrat=,0.842230, actvprof=,10.220396, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.472598, id=,S02, PRDE,actvstrat=,0.954683, actvprof=,6.443963, id=,S03, PRDE,actvstrat=,-0.788294, actvprof=,0.341671, id=,S04, PRDE,actvstrat=,-0.737868, actvprof=,0.177502, id=,S05, PRDE,actvstrat=,-0.777043, actvprof=,0.022778, id=,S06, PRDE,actvstrat=,0.907984, actvprof=,0.317226, id=,S07, PRDE,actvstrat=,0.470150, actvprof=,0.021111, id=,S08, PRDE,actvstrat=,0.823332, actvprof=,0.003333, id=,S09, PRDE,actvstrat=,0.127459, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.653481, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.342620, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,10.220396, best_S_strat=,0.842230, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.687540, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.994480, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.830075, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.510685, actvprof=,0.017917, id=,B04, PRDE,actvstrat=,0.691927, actvprof=,0.147501, id=,B05, PRDE,actvstrat=,0.931323, actvprof=,0.431947, id=,B06, PRDE,actvstrat=,0.731222, actvprof=,0.901394, id=,B07, PRDE,actvstrat=,-0.431317, actvprof=,0.777227, id=,B08, PRDE,actvstrat=,-0.566115, actvprof=,1.526259, id=,B09, PRDE,actvstrat=,-0.336989, actvprof=,2.761822, id=,B10, PRDE,actvstrat=,-0.945043, actvprof=,5.513365, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,10.199920, id=,S00, PRDE,actvstrat=,0.842230, actvprof=,10.164920, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.380326, id=,S02, PRDE,actvstrat=,0.954683, actvprof=,6.390454, id=,S03, PRDE,actvstrat=,-0.788294, actvprof=,0.301668, id=,S04, PRDE,actvstrat=,-0.737868, actvprof=,0.130001, id=,S05, PRDE,actvstrat=,-0.777043, actvprof=,0.026806, id=,S06, PRDE,actvstrat=,0.907984, actvprof=,0.336113, id=,S07, PRDE,actvstrat=,0.470150, actvprof=,0.019028, id=,S08, PRDE,actvstrat=,0.823332, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,0.127459, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.653481, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.199920, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,10.164920, best_S_strat=,0.842230, 
