t=,0, id=,B00, PRDE,actvstrat=,-0.204204, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.678604, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.917501, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.252334, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.623549, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.998480, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.548436, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.352745, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.252149, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.984289, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.838460, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.833516, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.591674, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.102728, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.845555, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.853055, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.716996, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.130596, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.008489, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.284719, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.204647, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.921294, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.245656, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.669902, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.204204, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.591674, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.204204, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.678604, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.917501, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,0.252334, actvprof=,0.012778, id=,B04, PRDE,actvstrat=,-0.623549, actvprof=,0.040277, id=,B05, PRDE,actvstrat=,-0.998480, actvprof=,0.591938, id=,B06, PRDE,actvstrat=,-0.548436, actvprof=,0.451661, id=,B07, PRDE,actvstrat=,-0.352745, actvprof=,0.809435, id=,B08, PRDE,actvstrat=,-0.252149, actvprof=,1.529149, id=,B09, PRDE,actvstrat=,-0.984289, actvprof=,3.519404, id=,B10, PRDE,actvstrat=,0.838460, actvprof=,4.447449, id=,B11, PRDE,actvstrat=,-0.833516, actvprof=,4.737445, id=,S00, PRDE,actvstrat=,0.591674, actvprof=,9.761276, id=,S01, PRDE,actvstrat=,0.102728, actvprof=,5.421326, id=,S02, PRDE,actvstrat=,0.845555, actvprof=,6.778255, id=,S03, PRDE,actvstrat=,-0.853055, actvprof=,0.631937, id=,S04, PRDE,actvstrat=,-0.716996, actvprof=,0.534160, id=,S05, PRDE,actvstrat=,0.130596, actvprof=,1.098598, id=,S06, PRDE,actvstrat=,0.008489, actvprof=,0.466939, id=,S07, PRDE,actvstrat=,-0.284719, actvprof=,0.059444, id=,S08, PRDE,actvstrat=,-0.204647, actvprof=,0.016944, id=,S09, PRDE,actvstrat=,0.921294, actvprof=,0.106943, id=,S10, PRDE,actvstrat=,0.245656, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.669902, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.737445, best_B_strat=,-0.833516, best_S_id=,S00, best_S_prof=,9.761276, best_S_strat=,0.591674, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.737567, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.131223, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.160154, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.450484, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.983561, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.472953, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.807402, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.982148, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.113555, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.759769, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.007379, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.173693, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.204846, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.723904, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.851948, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.753339, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.543713, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.626439, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.483916, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.615741, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.736389, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.522947, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.914985, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.835916, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.737567, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.204846, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.737567, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.131223, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.160154, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.450484, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,-0.983561, actvprof=,0.105833, id=,B05, PRDE,actvstrat=,0.472953, actvprof=,0.211667, id=,B06, PRDE,actvstrat=,-0.807402, actvprof=,0.420000, id=,B07, PRDE,actvstrat=,0.982148, actvprof=,0.881111, id=,B08, PRDE,actvstrat=,-0.113555, actvprof=,1.652500, id=,B09, PRDE,actvstrat=,-0.759769, actvprof=,2.528611, id=,B10, PRDE,actvstrat=,0.007379, actvprof=,3.686389, id=,B11, PRDE,actvstrat=,0.173693, actvprof=,5.850556, id=,S00, PRDE,actvstrat=,-0.204846, actvprof=,5.888056, id=,S01, PRDE,actvstrat=,-0.723904, actvprof=,3.108333, id=,S02, PRDE,actvstrat=,0.851948, actvprof=,7.386389, id=,S03, PRDE,actvstrat=,0.753339, actvprof=,5.245556, id=,S04, PRDE,actvstrat=,-0.543713, actvprof=,0.680833, id=,S05, PRDE,actvstrat=,0.626439, actvprof=,1.878889, id=,S06, PRDE,actvstrat=,-0.483916, actvprof=,0.123333, id=,S07, PRDE,actvstrat=,0.615741, actvprof=,0.378611, id=,S08, PRDE,actvstrat=,0.736389, actvprof=,0.216667, id=,S09, PRDE,actvstrat=,-0.522947, actvprof=,0.005833, id=,S10, PRDE,actvstrat=,-0.914985, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.835916, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.850556, best_B_strat=,0.173693, best_S_id=,S02, best_S_prof=,7.386389, best_S_strat=,0.851948, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.737567, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.131223, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.160154, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.450484, actvprof=,0.003750, id=,B04, PRDE,actvstrat=,-0.983561, actvprof=,0.109444, id=,B05, PRDE,actvstrat=,0.472953, actvprof=,0.220972, id=,B06, PRDE,actvstrat=,-0.807402, actvprof=,0.478333, id=,B07, PRDE,actvstrat=,0.982148, actvprof=,0.798750, id=,B08, PRDE,actvstrat=,-0.113555, actvprof=,1.450972, id=,B09, PRDE,actvstrat=,-0.759769, actvprof=,2.637917, id=,B10, PRDE,actvstrat=,0.007379, actvprof=,3.789444, id=,B11, PRDE,actvstrat=,0.173693, actvprof=,5.643750, id=,S00, PRDE,actvstrat=,-0.204846, actvprof=,5.673750, id=,S01, PRDE,actvstrat=,-0.723904, actvprof=,2.840000, id=,S02, PRDE,actvstrat=,0.851948, actvprof=,7.279722, id=,S03, PRDE,actvstrat=,0.753339, actvprof=,5.269028, id=,S04, PRDE,actvstrat=,-0.543713, actvprof=,0.782361, id=,S05, PRDE,actvstrat=,0.626439, actvprof=,2.032778, id=,S06, PRDE,actvstrat=,-0.483916, actvprof=,0.136806, id=,S07, PRDE,actvstrat=,0.615741, actvprof=,0.384444, id=,S08, PRDE,actvstrat=,0.736389, actvprof=,0.215000, id=,S09, PRDE,actvstrat=,-0.522947, actvprof=,0.002917, id=,S10, PRDE,actvstrat=,-0.914985, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.835916, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.643750, best_B_strat=,0.173693, best_S_id=,S02, best_S_prof=,7.279722, best_S_strat=,0.851948, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.939253, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.250792, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.033766, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.202271, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.983561, actvprof=,0.041112, id=,B05, PRDE,actvstrat=,-0.998480, actvprof=,0.235836, id=,B06, PRDE,actvstrat=,0.636712, actvprof=,0.420005, id=,B07, PRDE,actvstrat=,-0.580644, actvprof=,0.382227, id=,B08, PRDE,actvstrat=,-0.606571, actvprof=,0.762231, id=,B09, PRDE,actvstrat=,-0.759769, actvprof=,1.783354, id=,B10, PRDE,actvstrat=,-0.557423, actvprof=,2.748921, id=,B11, PRDE,actvstrat=,0.854945, actvprof=,5.763956, id=,S00, PRDE,actvstrat=,0.884417, actvprof=,11.305409, id=,S01, PRDE,actvstrat=,-0.952067, actvprof=,2.603086, id=,S02, PRDE,actvstrat=,0.274368, actvprof=,4.906723, id=,S03, PRDE,actvstrat=,-0.147916, actvprof=,1.574740, id=,S04, PRDE,actvstrat=,-0.806886, actvprof=,0.410560, id=,S05, PRDE,actvstrat=,-0.300701, actvprof=,0.423338, id=,S06, PRDE,actvstrat=,-0.222648, actvprof=,0.215836, id=,S07, PRDE,actvstrat=,0.615741, actvprof=,0.445838, id=,S08, PRDE,actvstrat=,0.021754, actvprof=,0.057223, id=,S09, PRDE,actvstrat=,0.983804, actvprof=,0.161391, id=,S10, PRDE,actvstrat=,0.613804, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.898894, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.763956, best_B_strat=,0.854945, best_S_id=,S00, best_S_prof=,11.305409, best_S_strat=,0.884417, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.939253, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.250792, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.033766, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.202271, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.983561, actvprof=,0.045973, id=,B05, PRDE,actvstrat=,-0.998480, actvprof=,0.258753, id=,B06, PRDE,actvstrat=,0.636712, actvprof=,0.440838, id=,B07, PRDE,actvstrat=,-0.580644, actvprof=,0.381532, id=,B08, PRDE,actvstrat=,-0.606571, actvprof=,0.800148, id=,B09, PRDE,actvstrat=,-0.759769, actvprof=,1.863355, id=,B10, PRDE,actvstrat=,-0.557423, actvprof=,2.579058, id=,B11, PRDE,actvstrat=,0.854945, actvprof=,5.710761, id=,S00, PRDE,actvstrat=,0.884417, actvprof=,11.235963, id=,S01, PRDE,actvstrat=,-0.952067, actvprof=,2.659197, id=,S02, PRDE,actvstrat=,0.274368, actvprof=,4.706860, id=,S03, PRDE,actvstrat=,-0.147916, actvprof=,1.563629, id=,S04, PRDE,actvstrat=,-0.806886, actvprof=,0.497784, id=,S05, PRDE,actvstrat=,-0.300701, actvprof=,0.453755, id=,S06, PRDE,actvstrat=,-0.222648, actvprof=,0.200697, id=,S07, PRDE,actvstrat=,0.615741, actvprof=,0.413199, id=,S08, PRDE,actvstrat=,0.021754, actvprof=,0.056112, id=,S09, PRDE,actvstrat=,0.983804, actvprof=,0.170835, id=,S10, PRDE,actvstrat=,0.613804, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.898894, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.710761, best_B_strat=,0.854945, best_S_id=,S00, best_S_prof=,11.235963, best_S_strat=,0.884417, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.064292, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.391225, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,0.301649, actvprof=,0.018056, id=,B06, PRDE,actvstrat=,-0.237392, actvprof=,0.069168, id=,B07, PRDE,actvstrat=,-0.839750, actvprof=,0.310007, id=,B08, PRDE,actvstrat=,-0.977336, actvprof=,1.161416, id=,B09, PRDE,actvstrat=,0.294578, actvprof=,1.611704, id=,B10, PRDE,actvstrat=,0.335387, actvprof=,2.824510, id=,B11, PRDE,actvstrat=,-0.174012, actvprof=,3.125072, id=,S00, PRDE,actvstrat=,-0.702104, actvprof=,4.794555, id=,S01, PRDE,actvstrat=,-0.552255, actvprof=,3.835089, id=,S02, PRDE,actvstrat=,-0.172473, actvprof=,3.162018, id=,S03, PRDE,actvstrat=,-0.011059, actvprof=,3.095905, id=,S04, PRDE,actvstrat=,-0.267359, actvprof=,1.036413, id=,S05, PRDE,actvstrat=,-0.330200, actvprof=,0.550291, id=,S06, PRDE,actvstrat=,-0.413669, actvprof=,0.202505, id=,S07, PRDE,actvstrat=,-0.073571, actvprof=,0.088058, id=,S08, PRDE,actvstrat=,0.691643, actvprof=,0.161115, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.091391, id=,S10, PRDE,actvstrat=,0.118491, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.125072, best_B_strat=,-0.174012, best_S_id=,S00, best_S_prof=,4.794555, best_S_strat=,-0.702104, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.064292, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.391225, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.007917, id=,B05, PRDE,actvstrat=,0.301649, actvprof=,0.022500, id=,B06, PRDE,actvstrat=,-0.237392, actvprof=,0.068195, id=,B07, PRDE,actvstrat=,-0.839750, actvprof=,0.326809, id=,B08, PRDE,actvstrat=,-0.977336, actvprof=,1.179041, id=,B09, PRDE,actvstrat=,0.294578, actvprof=,1.591546, id=,B10, PRDE,actvstrat=,0.335387, actvprof=,2.825449, id=,B11, PRDE,actvstrat=,-0.174012, actvprof=,3.358233, id=,S00, PRDE,actvstrat=,-0.702104, actvprof=,4.843945, id=,S01, PRDE,actvstrat=,-0.552255, actvprof=,3.974768, id=,S02, PRDE,actvstrat=,-0.172473, actvprof=,3.331566, id=,S03, PRDE,actvstrat=,-0.011059, actvprof=,3.092397, id=,S04, PRDE,actvstrat=,-0.267359, actvprof=,1.061401, id=,S05, PRDE,actvstrat=,-0.330200, actvprof=,0.534728, id=,S06, PRDE,actvstrat=,-0.413669, actvprof=,0.171391, id=,S07, PRDE,actvstrat=,-0.073571, actvprof=,0.091112, id=,S08, PRDE,actvstrat=,0.691643, actvprof=,0.170141, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.087779, id=,S10, PRDE,actvstrat=,0.118491, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.358233, best_B_strat=,-0.174012, best_S_id=,S00, best_S_prof=,4.843945, best_S_strat=,-0.702104, 
t=,32400, id=,B00, PRDE,actvstrat=,0.881439, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.775922, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.391225, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.499721, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.983561, actvprof=,0.109169, id=,B05, PRDE,actvstrat=,0.799509, actvprof=,0.326952, id=,B06, PRDE,actvstrat=,-0.888432, actvprof=,0.611959, id=,B07, PRDE,actvstrat=,-0.763023, actvprof=,0.725572, id=,B08, PRDE,actvstrat=,-0.113555, actvprof=,1.555314, id=,B09, PRDE,actvstrat=,-0.728340, actvprof=,2.432556, id=,B10, PRDE,actvstrat=,0.335387, actvprof=,4.823723, id=,B11, PRDE,actvstrat=,-0.802405, actvprof=,5.204287, id=,S00, PRDE,actvstrat=,0.884417, actvprof=,10.371629, id=,S01, PRDE,actvstrat=,-0.723904, actvprof=,2.013658, id=,S02, PRDE,actvstrat=,-0.254956, actvprof=,1.631149, id=,S03, PRDE,actvstrat=,0.652295, actvprof=,3.595361, id=,S04, PRDE,actvstrat=,-0.267359, actvprof=,0.556957, id=,S05, PRDE,actvstrat=,0.612520, actvprof=,1.139749, id=,S06, PRDE,actvstrat=,-0.413669, actvprof=,0.059168, id=,S07, PRDE,actvstrat=,0.615741, actvprof=,0.184726, id=,S08, PRDE,actvstrat=,0.736389, actvprof=,0.099725, id=,S09, PRDE,actvstrat=,-0.084169, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.219083, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.204287, best_B_strat=,-0.802405, best_S_id=,S00, best_S_prof=,10.371629, best_S_strat=,0.884417, 
t=,36000, id=,B00, PRDE,actvstrat=,0.881439, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.775922, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.391225, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.499721, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,-0.983561, actvprof=,0.105696, id=,B05, PRDE,actvstrat=,0.799509, actvprof=,0.343198, id=,B06, PRDE,actvstrat=,-0.888432, actvprof=,0.562507, id=,B07, PRDE,actvstrat=,-0.763023, actvprof=,0.775148, id=,B08, PRDE,actvstrat=,-0.113555, actvprof=,1.581963, id=,B09, PRDE,actvstrat=,-0.728340, actvprof=,2.491418, id=,B10, PRDE,actvstrat=,0.335387, actvprof=,4.833111, id=,B11, PRDE,actvstrat=,-0.802405, actvprof=,5.209644, id=,S00, PRDE,actvstrat=,0.884417, actvprof=,10.338453, id=,S01, PRDE,actvstrat=,-0.723904, actvprof=,2.134052, id=,S02, PRDE,actvstrat=,-0.254956, actvprof=,1.742937, id=,S03, PRDE,actvstrat=,0.652295, actvprof=,3.641431, id=,S04, PRDE,actvstrat=,-0.267359, actvprof=,0.539451, id=,S05, PRDE,actvstrat=,0.612520, actvprof=,1.161819, id=,S06, PRDE,actvstrat=,-0.413669, actvprof=,0.085834, id=,S07, PRDE,actvstrat=,0.615741, actvprof=,0.198475, id=,S08, PRDE,actvstrat=,0.736389, actvprof=,0.085279, id=,S09, PRDE,actvstrat=,-0.084169, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.219083, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.209644, best_B_strat=,-0.802405, best_S_id=,S00, best_S_prof=,10.338453, best_S_strat=,0.884417, 
