t=,0, id=,B00, PRDE,actvstrat=,0.193763, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.053426, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.979484, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.559997, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.841354, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.423556, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.685195, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.916191, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.299737, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.028061, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.862019, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.333080, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.592723, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.922944, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.877541, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.054602, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.579105, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.081476, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.794492, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.183345, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.624400, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.062732, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.617705, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.664789, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.193763, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.592723, 
t=,3600, id=,B00, PRDE,actvstrat=,0.193763, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.053426, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.979484, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.559997, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,-0.841354, actvprof=,0.026389, id=,B05, PRDE,actvstrat=,0.423556, actvprof=,0.105277, id=,B06, PRDE,actvstrat=,-0.685195, actvprof=,0.178887, id=,B07, PRDE,actvstrat=,0.916191, actvprof=,0.877490, id=,B08, PRDE,actvstrat=,-0.299737, actvprof=,0.481383, id=,B09, PRDE,actvstrat=,0.028061, actvprof=,1.386095, id=,B10, PRDE,actvstrat=,0.862019, actvprof=,3.007187, id=,B11, PRDE,actvstrat=,-0.333080, actvprof=,3.193852, id=,S00, PRDE,actvstrat=,0.592723, actvprof=,12.360135, id=,S01, PRDE,actvstrat=,-0.922944, actvprof=,1.772202, id=,S02, PRDE,actvstrat=,-0.877541, actvprof=,1.470816, id=,S03, PRDE,actvstrat=,0.054602, actvprof=,4.398560, id=,S04, PRDE,actvstrat=,-0.579105, actvprof=,1.659703, id=,S05, PRDE,actvstrat=,0.081476, actvprof=,1.821646, id=,S06, PRDE,actvstrat=,-0.794492, actvprof=,0.230553, id=,S07, PRDE,actvstrat=,-0.183345, actvprof=,0.144443, id=,S08, PRDE,actvstrat=,0.624400, actvprof=,0.373885, id=,S09, PRDE,actvstrat=,-0.062732, actvprof=,0.010278, id=,S10, PRDE,actvstrat=,0.617705, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,-0.664789, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.193852, best_B_strat=,-0.333080, best_S_id=,S00, best_S_prof=,12.360135, best_S_strat=,0.592723, 
t=,7200, id=,B00, PRDE,actvstrat=,0.514455, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.520439, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.610970, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.852565, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.087721, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.525426, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.411505, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.621334, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.064080, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.489439, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.958013, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.782536, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.892800, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.487818, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.125982, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.738277, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.226004, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.335997, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.434879, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.311840, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.466202, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.601056, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.361291, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.803559, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.514455, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.892800, 
t=,10800, id=,B00, PRDE,actvstrat=,0.514455, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.520439, actvprof=,0.002778, id=,B02, PRDE,actvstrat=,-0.610970, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.852565, actvprof=,0.045833, id=,B04, PRDE,actvstrat=,0.087721, actvprof=,0.072778, id=,B05, PRDE,actvstrat=,0.525426, actvprof=,0.367222, id=,B06, PRDE,actvstrat=,-0.411505, actvprof=,0.336389, id=,B07, PRDE,actvstrat=,0.621334, actvprof=,1.244444, id=,B08, PRDE,actvstrat=,0.064080, actvprof=,1.491944, id=,B09, PRDE,actvstrat=,0.489439, actvprof=,3.148333, id=,B10, PRDE,actvstrat=,-0.958013, actvprof=,4.555278, id=,B11, PRDE,actvstrat=,0.782536, actvprof=,5.052500, id=,S00, PRDE,actvstrat=,0.892800, actvprof=,12.094444, id=,S01, PRDE,actvstrat=,0.487818, actvprof=,8.761389, id=,S02, PRDE,actvstrat=,-0.125982, actvprof=,4.141111, id=,S03, PRDE,actvstrat=,-0.738277, actvprof=,1.641944, id=,S04, PRDE,actvstrat=,0.226004, actvprof=,2.993611, id=,S05, PRDE,actvstrat=,-0.335997, actvprof=,0.794444, id=,S06, PRDE,actvstrat=,-0.434879, actvprof=,0.414167, id=,S07, PRDE,actvstrat=,0.311840, actvprof=,0.502500, id=,S08, PRDE,actvstrat=,-0.466202, actvprof=,0.065833, id=,S09, PRDE,actvstrat=,0.601056, actvprof=,0.128611, id=,S10, PRDE,actvstrat=,0.361291, actvprof=,0.006667, id=,S11, PRDE,actvstrat=,0.803559, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.052500, best_B_strat=,0.782536, best_S_id=,S00, best_S_prof=,12.094444, best_S_strat=,0.892800, 
t=,14400, id=,B00, PRDE,actvstrat=,0.514455, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.520439, actvprof=,0.002639, id=,B02, PRDE,actvstrat=,-0.610970, actvprof=,0.002917, id=,B03, PRDE,actvstrat=,-0.852565, actvprof=,0.062083, id=,B04, PRDE,actvstrat=,0.087721, actvprof=,0.068056, id=,B05, PRDE,actvstrat=,0.525426, actvprof=,0.360278, id=,B06, PRDE,actvstrat=,-0.411505, actvprof=,0.347500, id=,B07, PRDE,actvstrat=,0.621334, actvprof=,1.328472, id=,B08, PRDE,actvstrat=,0.064080, actvprof=,1.504861, id=,B09, PRDE,actvstrat=,0.489439, actvprof=,3.005000, id=,B10, PRDE,actvstrat=,-0.958013, actvprof=,4.500694, id=,B11, PRDE,actvstrat=,0.782536, actvprof=,5.218472, id=,S00, PRDE,actvstrat=,0.892800, actvprof=,12.007778, id=,S01, PRDE,actvstrat=,0.487818, actvprof=,8.744444, id=,S02, PRDE,actvstrat=,-0.125982, actvprof=,3.968889, id=,S03, PRDE,actvstrat=,-0.738277, actvprof=,1.706250, id=,S04, PRDE,actvstrat=,0.226004, actvprof=,2.978194, id=,S05, PRDE,actvstrat=,-0.335997, actvprof=,0.727222, id=,S06, PRDE,actvstrat=,-0.434879, actvprof=,0.408611, id=,S07, PRDE,actvstrat=,0.311840, actvprof=,0.586250, id=,S08, PRDE,actvstrat=,-0.466202, actvprof=,0.059583, id=,S09, PRDE,actvstrat=,0.601056, actvprof=,0.139167, id=,S10, PRDE,actvstrat=,0.361291, actvprof=,0.010417, id=,S11, PRDE,actvstrat=,0.803559, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.218472, best_B_strat=,0.782536, best_S_id=,S00, best_S_prof=,12.007778, best_S_strat=,0.892800, 
t=,18000, id=,B00, PRDE,actvstrat=,0.394819, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.065799, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.610970, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.183977, actvprof=,0.008333, id=,B04, PRDE,actvstrat=,-0.393006, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.697756, actvprof=,0.115001, id=,B06, PRDE,actvstrat=,0.105335, actvprof=,0.233892, id=,B07, PRDE,actvstrat=,0.767630, actvprof=,1.229181, id=,B08, PRDE,actvstrat=,-0.191360, actvprof=,0.914177, id=,B09, PRDE,actvstrat=,0.143375, actvprof=,2.393917, id=,B10, PRDE,actvstrat=,-0.958013, actvprof=,3.693376, id=,B11, PRDE,actvstrat=,-0.736067, actvprof=,4.003657, id=,S00, PRDE,actvstrat=,0.418018, actvprof=,9.231496, id=,S01, PRDE,actvstrat=,-0.967451, actvprof=,1.881966, id=,S02, PRDE,actvstrat=,-0.163185, actvprof=,3.020591, id=,S03, PRDE,actvstrat=,-0.395081, actvprof=,1.263070, id=,S04, PRDE,actvstrat=,0.226004, actvprof=,2.007801, id=,S05, PRDE,actvstrat=,0.081476, actvprof=,0.830565, id=,S06, PRDE,actvstrat=,0.248058, actvprof=,0.301392, id=,S07, PRDE,actvstrat=,0.311840, actvprof=,0.149446, id=,S08, PRDE,actvstrat=,-0.087004, actvprof=,0.002222, id=,S09, PRDE,actvstrat=,-0.042022, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,0.395712, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.479353, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.003657, best_B_strat=,-0.736067, best_S_id=,S00, best_S_prof=,9.231496, best_S_strat=,0.418018, 
t=,21600, id=,B00, PRDE,actvstrat=,0.394819, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.065799, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.610970, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.183977, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-0.393006, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,0.697756, actvprof=,0.110557, id=,B06, PRDE,actvstrat=,0.105335, actvprof=,0.209725, id=,B07, PRDE,actvstrat=,0.767630, actvprof=,1.134874, id=,B08, PRDE,actvstrat=,-0.191360, actvprof=,0.813482, id=,B09, PRDE,actvstrat=,0.143375, actvprof=,2.391278, id=,B10, PRDE,actvstrat=,-0.958013, actvprof=,3.490735, id=,B11, PRDE,actvstrat=,-0.736067, actvprof=,3.976296, id=,S00, PRDE,actvstrat=,0.418018, actvprof=,9.543166, id=,S01, PRDE,actvstrat=,-0.967451, actvprof=,1.808076, id=,S02, PRDE,actvstrat=,-0.163185, actvprof=,2.942256, id=,S03, PRDE,actvstrat=,-0.395081, actvprof=,1.205986, id=,S04, PRDE,actvstrat=,0.226004, actvprof=,1.922383, id=,S05, PRDE,actvstrat=,0.081476, actvprof=,0.837510, id=,S06, PRDE,actvstrat=,0.248058, actvprof=,0.310142, id=,S07, PRDE,actvstrat=,0.311840, actvprof=,0.130002, id=,S08, PRDE,actvstrat=,-0.087004, actvprof=,0.005417, id=,S09, PRDE,actvstrat=,-0.042022, actvprof=,0.000694, id=,S10, PRDE,actvstrat=,0.395712, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.479353, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.976296, best_B_strat=,-0.736067, best_S_id=,S00, best_S_prof=,9.543166, best_S_strat=,0.418018, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.610327, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.754379, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.945471, actvprof=,0.007222, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.132781, id=,B04, PRDE,actvstrat=,-0.250621, actvprof=,0.093891, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.659483, id=,B06, PRDE,actvstrat=,-0.086768, actvprof=,1.288363, id=,B07, PRDE,actvstrat=,-0.808541, actvprof=,1.763930, id=,B08, PRDE,actvstrat=,-0.858919, actvprof=,3.576749, id=,B09, PRDE,actvstrat=,-0.198840, actvprof=,5.014838, id=,B10, PRDE,actvstrat=,-0.653730, actvprof=,6.982106, id=,B11, PRDE,actvstrat=,-0.400941, actvprof=,8.667701, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.755689, id=,S01, PRDE,actvstrat=,0.871135, actvprof=,6.081252, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.892868, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.224774, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.643927, id=,S05, PRDE,actvstrat=,0.032033, actvprof=,0.115836, id=,S06, PRDE,actvstrat=,-0.948847, actvprof=,0.016667, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.043334, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.205356, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.667701, best_B_strat=,-0.400941, best_S_id=,S01, best_S_prof=,6.081252, best_S_strat=,0.871135, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.610327, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.754379, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.945471, actvprof=,0.004861, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.115001, id=,B04, PRDE,actvstrat=,-0.250621, actvprof=,0.094029, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.638352, id=,B06, PRDE,actvstrat=,-0.086768, actvprof=,1.279598, id=,B07, PRDE,actvstrat=,-0.808541, actvprof=,1.810715, id=,B08, PRDE,actvstrat=,-0.858919, actvprof=,3.501291, id=,B09, PRDE,actvstrat=,-0.198840, actvprof=,5.083531, id=,B10, PRDE,actvstrat=,-0.653730, actvprof=,7.023137, id=,B11, PRDE,actvstrat=,-0.400941, actvprof=,8.736351, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.125904, id=,S01, PRDE,actvstrat=,0.871135, actvprof=,6.061042, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.990741, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.209887, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.772937, id=,S05, PRDE,actvstrat=,0.032033, actvprof=,0.122224, id=,S06, PRDE,actvstrat=,-0.948847, actvprof=,0.010417, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.045139, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,-0.205356, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.736351, best_B_strat=,-0.400941, best_S_id=,S00, best_S_prof=,6.125904, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.610327, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.754379, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.296863, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.852565, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.555385, actvprof=,0.086946, id=,B05, PRDE,actvstrat=,0.525426, actvprof=,0.353619, id=,B06, PRDE,actvstrat=,0.566662, actvprof=,0.925577, id=,B07, PRDE,actvstrat=,-0.797240, actvprof=,1.131137, id=,B08, PRDE,actvstrat=,0.064080, actvprof=,2.142827, id=,B09, PRDE,actvstrat=,0.489439, actvprof=,4.668441, id=,B10, PRDE,actvstrat=,-0.981858, actvprof=,6.001528, id=,B11, PRDE,actvstrat=,-0.400941, actvprof=,6.042640, id=,S00, PRDE,actvstrat=,-0.921673, actvprof=,1.525313, id=,S01, PRDE,actvstrat=,-0.503933, actvprof=,2.649506, id=,S02, PRDE,actvstrat=,0.747518, actvprof=,5.657075, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.067594, id=,S04, PRDE,actvstrat=,-0.942699, actvprof=,0.718906, id=,S05, PRDE,actvstrat=,0.945164, actvprof=,2.051436, id=,S06, PRDE,actvstrat=,0.588026, actvprof=,0.404176, id=,S07, PRDE,actvstrat=,0.522677, actvprof=,0.107780, id=,S08, PRDE,actvstrat=,-0.635790, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.042022, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.644049, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.803559, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.042640, best_B_strat=,-0.400941, best_S_id=,S02, best_S_prof=,5.657075, best_S_strat=,0.747518, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.610327, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.754379, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.296863, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.852565, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,0.555385, actvprof=,0.079028, id=,B05, PRDE,actvstrat=,0.525426, actvprof=,0.344585, id=,B06, PRDE,actvstrat=,0.566662, actvprof=,1.014728, id=,B07, PRDE,actvstrat=,-0.797240, actvprof=,1.086673, id=,B08, PRDE,actvstrat=,0.064080, actvprof=,2.252513, id=,B09, PRDE,actvstrat=,0.489439, actvprof=,4.636832, id=,B10, PRDE,actvstrat=,-0.981858, actvprof=,5.819061, id=,B11, PRDE,actvstrat=,-0.400941, actvprof=,6.242675, id=,S00, PRDE,actvstrat=,-0.921673, actvprof=,1.668760, id=,S01, PRDE,actvstrat=,-0.503933, actvprof=,2.558487, id=,S02, PRDE,actvstrat=,0.747518, actvprof=,5.783367, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.029190, id=,S04, PRDE,actvstrat=,-0.942699, actvprof=,0.681948, id=,S05, PRDE,actvstrat=,0.945164, actvprof=,1.976817, id=,S06, PRDE,actvstrat=,0.588026, actvprof=,0.455836, id=,S07, PRDE,actvstrat=,0.522677, actvprof=,0.125417, id=,S08, PRDE,actvstrat=,-0.635790, actvprof=,0.002083, id=,S09, PRDE,actvstrat=,-0.042022, actvprof=,0.000972, id=,S10, PRDE,actvstrat=,-0.644049, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.803559, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.242675, best_B_strat=,-0.400941, best_S_id=,S02, best_S_prof=,5.783367, best_S_strat=,0.747518, 
