t=,0, id=,B00, PRDE,actvstrat=,-0.020603, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.086731, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.291264, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.390493, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.430988, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.891833, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.024623, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.397169, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.593759, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.314497, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.336157, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.167660, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.026427, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.340881, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.167632, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.320063, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.117028, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.235733, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.092565, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.625897, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.726384, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.339982, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.015964, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.280625, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.020603, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.026427, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.020603, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.086731, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.291264, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.390493, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.430988, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,0.891833, actvprof=,0.318885, id=,B06, PRDE,actvstrat=,-0.024623, actvprof=,0.251108, id=,B07, PRDE,actvstrat=,-0.397169, actvprof=,0.464439, id=,B08, PRDE,actvstrat=,-0.593759, actvprof=,1.043599, id=,B09, PRDE,actvstrat=,0.314497, actvprof=,2.356917, id=,B10, PRDE,actvstrat=,0.336157, actvprof=,4.154396, id=,B11, PRDE,actvstrat=,-0.167660, actvprof=,3.812734, id=,S00, PRDE,actvstrat=,-0.026427, actvprof=,6.776033, id=,S01, PRDE,actvstrat=,0.340881, actvprof=,7.101862, id=,S02, PRDE,actvstrat=,-0.167632, actvprof=,2.529693, id=,S03, PRDE,actvstrat=,0.320063, actvprof=,3.602458, id=,S04, PRDE,actvstrat=,-0.117028, actvprof=,1.239430, id=,S05, PRDE,actvstrat=,-0.235733, actvprof=,0.452217, id=,S06, PRDE,actvstrat=,0.092565, actvprof=,0.632493, id=,S07, PRDE,actvstrat=,-0.625897, actvprof=,0.100832, id=,S08, PRDE,actvstrat=,-0.726384, actvprof=,0.017222, id=,S09, PRDE,actvstrat=,-0.339982, actvprof=,0.001944, id=,S10, PRDE,actvstrat=,0.015964, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.280625, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.154396, best_B_strat=,0.336157, best_S_id=,S01, best_S_prof=,7.101862, best_S_strat=,0.340881, 
t=,7200, id=,B00, PRDE,actvstrat=,0.884466, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.233593, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.455686, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.990693, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.383735, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.595109, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.558964, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.902931, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.244932, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.346909, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.628572, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.006077, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.855093, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.824117, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.696703, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.737230, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.898187, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.864496, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.836339, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.576462, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.532090, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.363422, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.332916, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.193594, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.884466, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.855093, 
t=,10800, id=,B00, PRDE,actvstrat=,0.884466, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.233593, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.455686, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.990693, actvprof=,0.011111, id=,B04, PRDE,actvstrat=,0.383735, actvprof=,0.019166, id=,B05, PRDE,actvstrat=,0.595109, actvprof=,0.183331, id=,B06, PRDE,actvstrat=,0.558964, actvprof=,0.421940, id=,B07, PRDE,actvstrat=,0.902931, actvprof=,1.179153, id=,B08, PRDE,actvstrat=,-0.244932, actvprof=,0.898045, id=,B09, PRDE,actvstrat=,-0.346909, actvprof=,1.662759, id=,B10, PRDE,actvstrat=,0.628572, actvprof=,4.015231, id=,B11, PRDE,actvstrat=,0.006077, actvprof=,3.993009, id=,S00, PRDE,actvstrat=,0.855093, actvprof=,12.024583, id=,S01, PRDE,actvstrat=,-0.824117, actvprof=,1.486927, id=,S02, PRDE,actvstrat=,0.696703, actvprof=,7.714355, id=,S03, PRDE,actvstrat=,-0.737230, actvprof=,0.860546, id=,S04, PRDE,actvstrat=,-0.898187, actvprof=,0.251386, id=,S05, PRDE,actvstrat=,0.864496, actvprof=,3.429127, id=,S06, PRDE,actvstrat=,-0.836339, actvprof=,0.042777, id=,S07, PRDE,actvstrat=,0.576462, actvprof=,0.597215, id=,S08, PRDE,actvstrat=,-0.532090, actvprof=,0.032500, id=,S09, PRDE,actvstrat=,0.363422, actvprof=,0.035000, id=,S10, PRDE,actvstrat=,0.332916, actvprof=,0.003611, id=,S11, PRDE,actvstrat=,0.193594, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.015231, best_B_strat=,0.628572, best_S_id=,S00, best_S_prof=,12.024583, best_S_strat=,0.855093, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.213378, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.924780, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.053686, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.230243, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.543290, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.310920, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.644282, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.954080, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.604700, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.515692, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.628572, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.179238, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.392737, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.340881, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.696703, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.491458, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.117028, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.949251, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.972005, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.333109, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.532090, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.363422, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.464624, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.293090, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.213378, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.392737, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.213378, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.924780, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.053686, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,-0.230243, actvprof=,0.006944, id=,B04, PRDE,actvstrat=,0.543290, actvprof=,0.043611, id=,B05, PRDE,actvstrat=,-0.310920, actvprof=,0.060000, id=,B06, PRDE,actvstrat=,0.644282, actvprof=,0.780833, id=,B07, PRDE,actvstrat=,0.954080, actvprof=,1.124444, id=,B08, PRDE,actvstrat=,-0.604700, actvprof=,1.264167, id=,B09, PRDE,actvstrat=,-0.515692, actvprof=,1.962222, id=,B10, PRDE,actvstrat=,0.628572, actvprof=,4.518056, id=,B11, PRDE,actvstrat=,0.179238, actvprof=,5.575833, id=,S00, PRDE,actvstrat=,-0.392737, actvprof=,3.150278, id=,S01, PRDE,actvstrat=,0.340881, actvprof=,6.113889, id=,S02, PRDE,actvstrat=,0.696703, actvprof=,6.883333, id=,S03, PRDE,actvstrat=,0.491458, actvprof=,4.134444, id=,S04, PRDE,actvstrat=,-0.117028, actvprof=,0.910000, id=,S05, PRDE,actvstrat=,0.949251, actvprof=,3.327222, id=,S06, PRDE,actvstrat=,-0.972005, actvprof=,0.688056, id=,S07, PRDE,actvstrat=,-0.333109, actvprof=,0.081111, id=,S08, PRDE,actvstrat=,-0.532090, actvprof=,0.012222, id=,S09, PRDE,actvstrat=,0.363422, actvprof=,0.015000, id=,S10, PRDE,actvstrat=,0.464624, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,0.293090, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.575833, best_B_strat=,0.179238, best_S_id=,S02, best_S_prof=,6.883333, best_S_strat=,0.696703, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.213378, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.924780, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.053686, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,-0.230243, actvprof=,0.004583, id=,B04, PRDE,actvstrat=,0.543290, actvprof=,0.064167, id=,B05, PRDE,actvstrat=,-0.310920, actvprof=,0.068612, id=,B06, PRDE,actvstrat=,0.644282, actvprof=,0.765560, id=,B07, PRDE,actvstrat=,0.954080, actvprof=,1.144590, id=,B08, PRDE,actvstrat=,-0.604700, actvprof=,1.294452, id=,B09, PRDE,actvstrat=,-0.515692, actvprof=,2.053345, id=,B10, PRDE,actvstrat=,0.628572, actvprof=,4.678222, id=,B11, PRDE,actvstrat=,0.179238, actvprof=,5.558504, id=,S00, PRDE,actvstrat=,-0.392737, actvprof=,3.254463, id=,S01, PRDE,actvstrat=,0.340881, actvprof=,6.146563, id=,S02, PRDE,actvstrat=,0.696703, actvprof=,6.837401, id=,S03, PRDE,actvstrat=,0.491458, actvprof=,4.091274, id=,S04, PRDE,actvstrat=,-0.117028, actvprof=,0.871672, id=,S05, PRDE,actvstrat=,0.949251, actvprof=,3.250019, id=,S06, PRDE,actvstrat=,-0.972005, actvprof=,0.704032, id=,S07, PRDE,actvstrat=,-0.333109, actvprof=,0.067223, id=,S08, PRDE,actvstrat=,-0.532090, actvprof=,0.016389, id=,S09, PRDE,actvstrat=,0.363422, actvprof=,0.024861, id=,S10, PRDE,actvstrat=,0.464624, actvprof=,0.000694, id=,S11, PRDE,actvstrat=,0.293090, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.558504, best_B_strat=,0.179238, best_S_id=,S02, best_S_prof=,6.837401, best_S_strat=,0.696703, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-0.704077, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.063890, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.345004, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.293615, id=,B08, PRDE,actvstrat=,-0.046942, actvprof=,0.691397, id=,B09, PRDE,actvstrat=,0.447745, actvprof=,1.775854, id=,B10, PRDE,actvstrat=,-0.731290, actvprof=,1.852799, id=,B11, PRDE,actvstrat=,-0.083309, actvprof=,3.596986, id=,S00, PRDE,actvstrat=,-0.870217, actvprof=,0.688897, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,11.473466, id=,S02, PRDE,actvstrat=,-0.402589, actvprof=,1.756965, id=,S03, PRDE,actvstrat=,0.347123, actvprof=,3.810322, id=,S04, PRDE,actvstrat=,0.043263, actvprof=,1.611408, id=,S05, PRDE,actvstrat=,0.675981, actvprof=,2.102802, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.145013, id=,S07, PRDE,actvstrat=,0.527201, actvprof=,0.241947, id=,S08, PRDE,actvstrat=,-0.056943, actvprof=,0.009722, id=,S09, PRDE,actvstrat=,-0.052944, actvprof=,0.007500, id=,S10, PRDE,actvstrat=,-0.947741, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.596986, best_B_strat=,-0.083309, best_S_id=,S01, best_S_prof=,11.473466, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.053686, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.301081, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.247105, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.503802, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.836779, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.954080, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.279631, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.612958, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.628572, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.252313, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.218242, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.735432, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.378314, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.348974, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.535951, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.329907, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.840050, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.527201, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.056943, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.363422, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.332916, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.218242, 
t=,32400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.053686, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.301081, actvprof=,0.008889, id=,B04, PRDE,actvstrat=,-0.247105, actvprof=,0.008333, id=,B05, PRDE,actvstrat=,-0.503802, actvprof=,0.084168, id=,B06, PRDE,actvstrat=,-0.836779, actvprof=,0.262225, id=,B07, PRDE,actvstrat=,0.954080, actvprof=,0.577507, id=,B08, PRDE,actvstrat=,-0.279631, actvprof=,0.488339, id=,B09, PRDE,actvstrat=,0.612958, actvprof=,1.871411, id=,B10, PRDE,actvstrat=,0.628572, actvprof=,2.747810, id=,B11, PRDE,actvstrat=,0.252313, actvprof=,3.611708, id=,S00, PRDE,actvstrat=,-0.218242, actvprof=,5.070059, id=,S01, PRDE,actvstrat=,0.735432, actvprof=,10.717068, id=,S02, PRDE,actvstrat=,-0.378314, actvprof=,2.164192, id=,S03, PRDE,actvstrat=,0.348974, actvprof=,4.652276, id=,S04, PRDE,actvstrat=,-0.535951, actvprof=,0.968900, id=,S05, PRDE,actvstrat=,0.329907, actvprof=,2.376139, id=,S06, PRDE,actvstrat=,-0.840050, actvprof=,0.081390, id=,S07, PRDE,actvstrat=,0.527201, actvprof=,0.697508, id=,S08, PRDE,actvstrat=,-0.056943, actvprof=,0.053334, id=,S09, PRDE,actvstrat=,0.363422, actvprof=,0.048334, id=,S10, PRDE,actvstrat=,0.332916, actvprof=,0.005278, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.611708, best_B_strat=,0.252313, best_S_id=,S01, best_S_prof=,10.717068, best_S_strat=,0.735432, 
t=,36000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.053686, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.301081, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,-0.247105, actvprof=,0.005278, id=,B05, PRDE,actvstrat=,-0.503802, actvprof=,0.062083, id=,B06, PRDE,actvstrat=,-0.836779, actvprof=,0.296528, id=,B07, PRDE,actvstrat=,0.954080, actvprof=,0.595417, id=,B08, PRDE,actvstrat=,-0.279631, actvprof=,0.485972, id=,B09, PRDE,actvstrat=,0.612958, actvprof=,1.993056, id=,B10, PRDE,actvstrat=,0.628572, actvprof=,2.915417, id=,B11, PRDE,actvstrat=,0.252313, actvprof=,3.631250, id=,S00, PRDE,actvstrat=,-0.218242, actvprof=,5.341944, id=,S01, PRDE,actvstrat=,0.735432, actvprof=,10.831250, id=,S02, PRDE,actvstrat=,-0.378314, actvprof=,2.273472, id=,S03, PRDE,actvstrat=,0.348974, actvprof=,4.709583, id=,S04, PRDE,actvstrat=,-0.535951, actvprof=,0.954028, id=,S05, PRDE,actvstrat=,0.329907, actvprof=,2.175556, id=,S06, PRDE,actvstrat=,-0.840050, actvprof=,0.079861, id=,S07, PRDE,actvstrat=,0.527201, actvprof=,0.677222, id=,S08, PRDE,actvstrat=,-0.056943, actvprof=,0.057500, id=,S09, PRDE,actvstrat=,0.363422, actvprof=,0.043056, id=,S10, PRDE,actvstrat=,0.332916, actvprof=,0.003750, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.631250, best_B_strat=,0.252313, best_S_id=,S01, best_S_prof=,10.831250, best_S_strat=,0.735432, 
