t=,1, id=,B00, PRDE,actvstrat=,-0.607686, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.414727, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.365572, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.691447, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.674540, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.216331, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.893567, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.329168, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.445050, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.177392, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.473870, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.401810, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.865244, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.416062, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.010466, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.435780, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.033716, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.006705, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.014147, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.764738, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.605055, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.180591, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.915179, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.772668, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.607686, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.865244, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.607686, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.414727, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.365572, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.691447, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.674540, actvprof=,0.049721, id=,B05, PRDE,actvstrat=,-0.216331, actvprof=,0.093053, id=,B06, PRDE,actvstrat=,-0.893567, actvprof=,0.404713, id=,B07, PRDE,actvstrat=,-0.329168, actvprof=,0.605542, id=,B08, PRDE,actvstrat=,-0.445050, actvprof=,1.116085, id=,B09, PRDE,actvstrat=,0.177392, actvprof=,2.980764, id=,B10, PRDE,actvstrat=,-0.473870, actvprof=,3.438809, id=,B11, PRDE,actvstrat=,-0.401810, actvprof=,4.823777, id=,S00, PRDE,actvstrat=,-0.865244, actvprof=,1.897456, id=,S01, PRDE,actvstrat=,-0.416062, actvprof=,3.187704, id=,S02, PRDE,actvstrat=,-0.010466, actvprof=,3.174649, id=,S03, PRDE,actvstrat=,0.435780, actvprof=,3.108817, id=,S04, PRDE,actvstrat=,0.033716, actvprof=,1.327192, id=,S05, PRDE,actvstrat=,0.006705, actvprof=,0.561376, id=,S06, PRDE,actvstrat=,-0.014147, actvprof=,0.313048, id=,S07, PRDE,actvstrat=,0.764738, actvprof=,0.337770, id=,S08, PRDE,actvstrat=,0.605055, actvprof=,0.058054, id=,S09, PRDE,actvstrat=,-0.180591, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.915179, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.772668, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.823777, best_B_strat=,-0.401810, best_S_id=,S01, best_S_prof=,3.187704, best_S_strat=,-0.416062, 
t=,7200, id=,B00, PRDE,actvstrat=,0.533055, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.256669, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.175047, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.601687, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.554826, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.751668, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.868192, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.746089, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.349751, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.808724, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.449595, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.883637, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.986363, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.989571, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.726295, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.246246, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.996464, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.850886, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.838540, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.963207, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.742160, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.958706, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.576244, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.496124, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.533055, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.986363, 
t=,10800, id=,B00, PRDE,actvstrat=,0.533055, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.256669, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.175047, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,0.601687, actvprof=,0.057501, id=,B04, PRDE,actvstrat=,-0.554826, actvprof=,0.111114, id=,B05, PRDE,actvstrat=,0.751668, actvprof=,0.555291, id=,B06, PRDE,actvstrat=,0.868192, actvprof=,1.417533, id=,B07, PRDE,actvstrat=,0.746089, actvprof=,2.164772, id=,B08, PRDE,actvstrat=,0.349751, actvprof=,2.713396, id=,B09, PRDE,actvstrat=,-0.808724, actvprof=,3.530359, id=,B10, PRDE,actvstrat=,-0.449595, actvprof=,4.202597, id=,B11, PRDE,actvstrat=,0.883637, actvprof=,7.765180, id=,S00, PRDE,actvstrat=,-0.986363, actvprof=,6.738767, id=,S01, PRDE,actvstrat=,0.989571, actvprof=,8.027408, id=,S02, PRDE,actvstrat=,-0.726295, actvprof=,1.618649, id=,S03, PRDE,actvstrat=,0.246246, actvprof=,2.668951, id=,S04, PRDE,actvstrat=,0.996464, actvprof=,2.264775, id=,S05, PRDE,actvstrat=,0.850886, actvprof=,1.992268, id=,S06, PRDE,actvstrat=,0.838540, actvprof=,0.991967, id=,S07, PRDE,actvstrat=,-0.963207, actvprof=,0.323341, id=,S08, PRDE,actvstrat=,-0.742160, actvprof=,0.015556, id=,S09, PRDE,actvstrat=,0.958706, actvprof=,0.089447, id=,S10, PRDE,actvstrat=,0.576244, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.496124, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.765180, best_B_strat=,0.883637, best_S_id=,S01, best_S_prof=,8.027408, best_S_strat=,0.989571, 
t=,14400, id=,B00, PRDE,actvstrat=,0.533055, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.256669, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.175047, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,0.601687, actvprof=,0.053612, id=,B04, PRDE,actvstrat=,-0.554826, actvprof=,0.084029, id=,B05, PRDE,actvstrat=,0.751668, actvprof=,0.580284, id=,B06, PRDE,actvstrat=,0.868192, actvprof=,1.362377, id=,B07, PRDE,actvstrat=,0.746089, actvprof=,2.176692, id=,B08, PRDE,actvstrat=,0.349751, actvprof=,2.883367, id=,B09, PRDE,actvstrat=,-0.808724, actvprof=,3.665737, id=,B10, PRDE,actvstrat=,-0.449595, actvprof=,4.492274, id=,B11, PRDE,actvstrat=,0.883637, actvprof=,7.882036, id=,S00, PRDE,actvstrat=,-0.986363, actvprof=,6.734661, id=,S01, PRDE,actvstrat=,0.989571, actvprof=,7.928008, id=,S02, PRDE,actvstrat=,-0.726295, actvprof=,1.790715, id=,S03, PRDE,actvstrat=,0.246246, actvprof=,2.606280, id=,S04, PRDE,actvstrat=,0.996464, actvprof=,2.294749, id=,S05, PRDE,actvstrat=,0.850886, actvprof=,1.946967, id=,S06, PRDE,actvstrat=,0.838540, actvprof=,1.042512, id=,S07, PRDE,actvstrat=,-0.963207, actvprof=,0.321809, id=,S08, PRDE,actvstrat=,-0.742160, actvprof=,0.007778, id=,S09, PRDE,actvstrat=,0.958706, actvprof=,0.073890, id=,S10, PRDE,actvstrat=,0.576244, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.496124, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.882036, best_B_strat=,0.883637, best_S_id=,S01, best_S_prof=,7.928008, best_S_strat=,0.989571, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.880208, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.601841, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.175047, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.601687, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.907842, actvprof=,0.021112, id=,B05, PRDE,actvstrat=,-0.862637, actvprof=,0.026112, id=,B06, PRDE,actvstrat=,-0.420562, actvprof=,0.113059, id=,B07, PRDE,actvstrat=,0.662638, actvprof=,1.723949, id=,B08, PRDE,actvstrat=,0.349751, actvprof=,2.227300, id=,B09, PRDE,actvstrat=,0.094968, actvprof=,2.822042, id=,B10, PRDE,actvstrat=,0.139132, actvprof=,4.524602, id=,B11, PRDE,actvstrat=,0.900214, actvprof=,7.091635, id=,S00, PRDE,actvstrat=,-0.986363, actvprof=,7.263863, id=,S01, PRDE,actvstrat=,-0.856101, actvprof=,1.454495, id=,S02, PRDE,actvstrat=,-0.319795, actvprof=,2.680649, id=,S03, PRDE,actvstrat=,0.246246, actvprof=,3.200944, id=,S04, PRDE,actvstrat=,0.892530, actvprof=,3.999028, id=,S05, PRDE,actvstrat=,0.905013, actvprof=,2.831209, id=,S06, PRDE,actvstrat=,-0.908642, actvprof=,0.253064, id=,S07, PRDE,actvstrat=,-0.963207, actvprof=,0.472239, id=,S08, PRDE,actvstrat=,0.605055, actvprof=,0.256120, id=,S09, PRDE,actvstrat=,0.685528, actvprof=,0.054724, id=,S10, PRDE,actvstrat=,-0.868182, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.928387, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.091635, best_B_strat=,0.900214, best_S_id=,S00, best_S_prof=,7.263863, best_S_strat=,-0.986363, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.880208, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.601841, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.175047, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.601687, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.907842, actvprof=,0.025001, id=,B05, PRDE,actvstrat=,-0.862637, actvprof=,0.026667, id=,B06, PRDE,actvstrat=,-0.420562, actvprof=,0.137503, id=,B07, PRDE,actvstrat=,0.662638, actvprof=,1.658372, id=,B08, PRDE,actvstrat=,0.349751, actvprof=,2.161994, id=,B09, PRDE,actvstrat=,0.094968, actvprof=,2.913956, id=,B10, PRDE,actvstrat=,0.139132, actvprof=,4.396213, id=,B11, PRDE,actvstrat=,0.900214, actvprof=,7.039469, id=,S00, PRDE,actvstrat=,-0.986363, actvprof=,7.279057, id=,S01, PRDE,actvstrat=,-0.856101, actvprof=,1.553508, id=,S02, PRDE,actvstrat=,-0.319795, actvprof=,2.501169, id=,S03, PRDE,actvstrat=,0.246246, actvprof=,3.189657, id=,S04, PRDE,actvstrat=,0.892530, actvprof=,4.049538, id=,S05, PRDE,actvstrat=,0.905013, actvprof=,2.885483, id=,S06, PRDE,actvstrat=,-0.908642, actvprof=,0.299729, id=,S07, PRDE,actvstrat=,-0.963207, actvprof=,0.500289, id=,S08, PRDE,actvstrat=,0.605055, actvprof=,0.220144, id=,S09, PRDE,actvstrat=,0.685528, actvprof=,0.050557, id=,S10, PRDE,actvstrat=,-0.868182, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.928387, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.039469, best_B_strat=,0.900214, best_S_id=,S00, best_S_prof=,7.279057, best_S_strat=,-0.986363, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.492527, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.569698, actvprof=,0.010000, id=,B03, PRDE,actvstrat=,-0.780925, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.091115, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.217788, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.592527, id=,B07, PRDE,actvstrat=,0.021140, actvprof=,1.086161, id=,B08, PRDE,actvstrat=,0.086558, actvprof=,2.235937, id=,B09, PRDE,actvstrat=,0.945842, actvprof=,3.132645, id=,B10, PRDE,actvstrat=,-0.699777, actvprof=,3.994074, id=,B11, PRDE,actvstrat=,0.390969, actvprof=,6.764202, id=,S00, PRDE,actvstrat=,0.400727, actvprof=,9.451271, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.956202, id=,S02, PRDE,actvstrat=,0.847854, actvprof=,7.778416, id=,S03, PRDE,actvstrat=,-0.032525, actvprof=,2.555396, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,3.578777, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.220381, id=,S06, PRDE,actvstrat=,-0.104766, actvprof=,0.248900, id=,S07, PRDE,actvstrat=,-0.272132, actvprof=,0.078337, id=,S08, PRDE,actvstrat=,-0.928642, actvprof=,0.015278, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.055280, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.764202, best_B_strat=,0.390969, best_S_id=,S00, best_S_prof=,9.451271, best_S_strat=,0.400727, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.492527, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.569698, actvprof=,0.005417, id=,B03, PRDE,actvstrat=,-0.780925, actvprof=,0.005972, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.072779, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.219588, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.595708, id=,B07, PRDE,actvstrat=,0.021140, actvprof=,1.099748, id=,B08, PRDE,actvstrat=,0.086558, actvprof=,2.134494, id=,B09, PRDE,actvstrat=,0.945842, actvprof=,3.125489, id=,B10, PRDE,actvstrat=,-0.699777, actvprof=,4.056622, id=,B11, PRDE,actvstrat=,0.390969, actvprof=,6.764184, id=,S00, PRDE,actvstrat=,0.400727, actvprof=,9.391606, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.845459, id=,S02, PRDE,actvstrat=,0.847854, actvprof=,7.893377, id=,S03, PRDE,actvstrat=,-0.032525, actvprof=,2.676729, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,3.473136, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.270053, id=,S06, PRDE,actvstrat=,-0.104766, actvprof=,0.226672, id=,S07, PRDE,actvstrat=,-0.272132, actvprof=,0.062085, id=,S08, PRDE,actvstrat=,-0.928642, actvprof=,0.019445, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.064724, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000972, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.764184, best_B_strat=,0.390969, best_S_id=,S00, best_S_prof=,9.391606, best_S_strat=,0.400727, 
t=,32400, id=,B00, PRDE,actvstrat=,0.932122, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.638531, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.569698, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-0.780925, actvprof=,0.011667, id=,B04, PRDE,actvstrat=,-0.554826, actvprof=,0.011390, id=,B05, PRDE,actvstrat=,0.751668, actvprof=,0.370021, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.324463, id=,B07, PRDE,actvstrat=,0.802371, actvprof=,1.419249, id=,B08, PRDE,actvstrat=,0.086558, actvprof=,1.535644, id=,B09, PRDE,actvstrat=,-0.808724, actvprof=,2.469310, id=,B10, PRDE,actvstrat=,0.708381, actvprof=,3.956618, id=,B11, PRDE,actvstrat=,0.993907, actvprof=,3.590208, id=,S00, PRDE,actvstrat=,0.810596, actvprof=,12.351270, id=,S01, PRDE,actvstrat=,-0.407203, actvprof=,4.637491, id=,S02, PRDE,actvstrat=,0.389250, actvprof=,6.605104, id=,S03, PRDE,actvstrat=,-0.435240, actvprof=,2.198461, id=,S04, PRDE,actvstrat=,0.996464, actvprof=,4.295249, id=,S05, PRDE,actvstrat=,-0.317789, actvprof=,1.022837, id=,S06, PRDE,actvstrat=,-0.048193, actvprof=,0.910886, id=,S07, PRDE,actvstrat=,-0.332473, actvprof=,0.198623, id=,S08, PRDE,actvstrat=,0.605055, actvprof=,0.688651, id=,S09, PRDE,actvstrat=,0.321694, actvprof=,0.101395, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.066393, id=,S11, PRDE,actvstrat=,-0.232803, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.956618, best_B_strat=,0.708381, best_S_id=,S00, best_S_prof=,12.351270, best_S_strat=,0.810596, 
t=,36000, id=,B00, PRDE,actvstrat=,0.932122, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.638531, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.569698, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.780925, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,-0.554826, actvprof=,0.018473, id=,B05, PRDE,actvstrat=,0.751668, actvprof=,0.344177, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.330010, id=,B07, PRDE,actvstrat=,0.802371, actvprof=,1.384485, id=,B08, PRDE,actvstrat=,0.086558, actvprof=,1.389624, id=,B09, PRDE,actvstrat=,-0.808724, actvprof=,2.587853, id=,B10, PRDE,actvstrat=,0.708381, actvprof=,4.095674, id=,B11, PRDE,actvstrat=,0.993907, actvprof=,3.537741, id=,S00, PRDE,actvstrat=,0.810596, actvprof=,12.405637, id=,S01, PRDE,actvstrat=,-0.407203, actvprof=,4.495269, id=,S02, PRDE,actvstrat=,0.389250, actvprof=,6.766446, id=,S03, PRDE,actvstrat=,-0.435240, actvprof=,2.181313, id=,S04, PRDE,actvstrat=,0.996464, actvprof=,4.393738, id=,S05, PRDE,actvstrat=,-0.317789, actvprof=,0.845719, id=,S06, PRDE,actvstrat=,-0.048193, actvprof=,0.821413, id=,S07, PRDE,actvstrat=,-0.332473, actvprof=,0.202645, id=,S08, PRDE,actvstrat=,0.605055, actvprof=,0.679742, id=,S09, PRDE,actvstrat=,0.321694, actvprof=,0.111392, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.068196, id=,S11, PRDE,actvstrat=,-0.232803, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.095674, best_B_strat=,0.708381, best_S_id=,S00, best_S_prof=,12.405637, best_S_strat=,0.810596, 
