t=,0, id=,B00, PRDE,actvstrat=,-0.724105, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.684838, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.390286, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.019398, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.578699, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.881824, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.648751, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.687293, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.216132, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.179796, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.262668, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.185527, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.480340, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.236544, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.330607, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.369607, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.796956, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.519388, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.622055, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.525759, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.432682, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.508603, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.761954, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.212356, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.724105, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.480340, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.724105, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.684838, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.390286, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-0.019398, actvprof=,0.006667, id=,B04, PRDE,actvstrat=,0.578699, actvprof=,0.080555, id=,B05, PRDE,actvstrat=,-0.881824, actvprof=,0.284719, id=,B06, PRDE,actvstrat=,-0.648751, actvprof=,0.336663, id=,B07, PRDE,actvstrat=,-0.687293, actvprof=,0.873045, id=,B08, PRDE,actvstrat=,0.216132, actvprof=,2.030810, id=,B09, PRDE,actvstrat=,-0.179796, actvprof=,2.744968, id=,B10, PRDE,actvstrat=,-0.262668, actvprof=,3.516626, id=,B11, PRDE,actvstrat=,0.185527, actvprof=,5.899932, id=,S00, PRDE,actvstrat=,0.480340, actvprof=,8.831564, id=,S01, PRDE,actvstrat=,-0.236544, actvprof=,3.649402, id=,S02, PRDE,actvstrat=,-0.330607, actvprof=,2.299973, id=,S03, PRDE,actvstrat=,0.369607, actvprof=,3.384127, id=,S04, PRDE,actvstrat=,-0.796956, actvprof=,0.817491, id=,S05, PRDE,actvstrat=,-0.519388, actvprof=,0.340829, id=,S06, PRDE,actvstrat=,0.622055, actvprof=,1.006933, id=,S07, PRDE,actvstrat=,-0.525759, actvprof=,0.055555, id=,S08, PRDE,actvstrat=,0.432682, actvprof=,0.089443, id=,S09, PRDE,actvstrat=,0.508603, actvprof=,0.027777, id=,S10, PRDE,actvstrat=,0.761954, actvprof=,0.003889, id=,S11, PRDE,actvstrat=,-0.212356, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.899932, best_B_strat=,0.185527, best_S_id=,S00, best_S_prof=,8.831564, best_S_strat=,0.480340, 
t=,7200, id=,B00, PRDE,actvstrat=,0.608095, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.975267, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.043869, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.856379, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.603114, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.837652, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.091185, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.313075, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.306684, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.747921, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.487281, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.379059, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.140408, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.722342, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.031989, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.068392, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.140672, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.687900, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.327684, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.823789, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.788375, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.174958, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.994143, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.596048, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.608095, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.140408, 
t=,10800, id=,B00, PRDE,actvstrat=,0.608095, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.975267, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.043869, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.856379, actvprof=,0.018055, id=,B04, PRDE,actvstrat=,0.603114, actvprof=,0.055555, id=,B05, PRDE,actvstrat=,0.837652, actvprof=,0.354163, id=,B06, PRDE,actvstrat=,0.091185, actvprof=,0.318052, id=,B07, PRDE,actvstrat=,-0.313075, actvprof=,0.562771, id=,B08, PRDE,actvstrat=,0.306684, actvprof=,1.799146, id=,B09, PRDE,actvstrat=,0.747921, actvprof=,3.302740, id=,B10, PRDE,actvstrat=,-0.487281, actvprof=,3.176074, id=,B11, PRDE,actvstrat=,-0.379059, actvprof=,4.542725, id=,S00, PRDE,actvstrat=,-0.140408, actvprof=,6.346871, id=,S01, PRDE,actvstrat=,0.722342, actvprof=,8.877675, id=,S02, PRDE,actvstrat=,0.031989, actvprof=,4.405227, id=,S03, PRDE,actvstrat=,-0.068392, actvprof=,2.573581, id=,S04, PRDE,actvstrat=,-0.140672, actvprof=,1.190542, id=,S05, PRDE,actvstrat=,-0.687900, actvprof=,0.402218, id=,S06, PRDE,actvstrat=,0.327684, actvprof=,0.631382, id=,S07, PRDE,actvstrat=,-0.823789, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.788375, actvprof=,0.170831, id=,S09, PRDE,actvstrat=,0.174958, actvprof=,0.006389, id=,S10, PRDE,actvstrat=,0.994143, actvprof=,0.003611, id=,S11, PRDE,actvstrat=,-0.596048, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.542725, best_B_strat=,-0.379059, best_S_id=,S01, best_S_prof=,8.877675, best_S_strat=,0.722342, 
t=,14400, id=,B00, PRDE,actvstrat=,0.608095, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.520076, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.525440, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.856379, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.803770, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.898526, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.650831, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.313075, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.298749, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.747921, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.761852, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.303396, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.401702, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.347830, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.393038, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.068392, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.190751, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.700695, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.327684, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.224743, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.629858, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.043467, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.994143, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.560597, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.608095, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.401702, 
t=,18000, id=,B00, PRDE,actvstrat=,0.608095, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.520076, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.525440, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.856379, actvprof=,0.006667, id=,B04, PRDE,actvstrat=,0.803770, actvprof=,0.044999, id=,B05, PRDE,actvstrat=,0.898526, actvprof=,0.260827, id=,B06, PRDE,actvstrat=,-0.650831, actvprof=,0.148885, id=,B07, PRDE,actvstrat=,-0.313075, actvprof=,0.230550, id=,B08, PRDE,actvstrat=,-0.298749, actvprof=,0.849703, id=,B09, PRDE,actvstrat=,0.747921, actvprof=,3.078262, id=,B10, PRDE,actvstrat=,-0.761852, actvprof=,2.657716, id=,B11, PRDE,actvstrat=,-0.303396, actvprof=,4.213791, id=,S00, PRDE,actvstrat=,0.401702, actvprof=,9.099512, id=,S01, PRDE,actvstrat=,-0.347830, actvprof=,3.780746, id=,S02, PRDE,actvstrat=,-0.393038, actvprof=,2.533275, id=,S03, PRDE,actvstrat=,-0.068392, actvprof=,2.345779, id=,S04, PRDE,actvstrat=,-0.190751, actvprof=,1.159418, id=,S05, PRDE,actvstrat=,-0.700695, actvprof=,0.285271, id=,S06, PRDE,actvstrat=,0.327684, actvprof=,0.544432, id=,S07, PRDE,actvstrat=,0.224743, actvprof=,0.191384, id=,S08, PRDE,actvstrat=,0.629858, actvprof=,0.079998, id=,S09, PRDE,actvstrat=,0.043467, actvprof=,0.003055, id=,S10, PRDE,actvstrat=,0.994143, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,-0.560597, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.213791, best_B_strat=,-0.303396, best_S_id=,S00, best_S_prof=,9.099512, best_S_strat=,0.401702, 
t=,21600, id=,B00, PRDE,actvstrat=,0.136911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.602915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.190825, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.307854, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.211326, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.022486, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.292291, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.171573, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.661965, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.036779, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.183147, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.040567, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.222836, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.136911, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.661965, 
t=,25200, id=,B00, PRDE,actvstrat=,0.136911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.602915, actvprof=,0.005000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.052777, id=,B04, PRDE,actvstrat=,0.190825, actvprof=,0.071943, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.154996, id=,B06, PRDE,actvstrat=,0.307854, actvprof=,0.731372, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.043031, id=,B08, PRDE,actvstrat=,-0.211326, actvprof=,1.764681, id=,B09, PRDE,actvstrat=,0.022486, actvprof=,3.476864, id=,B10, PRDE,actvstrat=,-0.292291, actvprof=,4.584338, id=,B11, PRDE,actvstrat=,-0.171573, actvprof=,6.936228, id=,S00, PRDE,actvstrat=,0.661965, actvprof=,9.669498, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.160644, id=,S02, PRDE,actvstrat=,0.036779, actvprof=,3.548807, id=,S03, PRDE,actvstrat=,-0.183147, actvprof=,1.132196, id=,S04, PRDE,actvstrat=,-0.040567, actvprof=,1.015810, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.069119, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.746094, id=,S07, PRDE,actvstrat=,0.222836, actvprof=,0.025555, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.063054, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.936228, best_B_strat=,-0.171573, best_S_id=,S00, best_S_prof=,9.669498, best_S_strat=,0.661965, 
t=,28800, id=,B00, PRDE,actvstrat=,0.136911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.602915, actvprof=,0.002500, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.002917, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.052223, id=,B04, PRDE,actvstrat=,0.190825, actvprof=,0.067778, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.146945, id=,B06, PRDE,actvstrat=,0.307854, actvprof=,0.706810, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.075701, id=,B08, PRDE,actvstrat=,-0.211326, actvprof=,1.777649, id=,B09, PRDE,actvstrat=,0.022486, actvprof=,3.532243, id=,B10, PRDE,actvstrat=,-0.292291, actvprof=,4.479470, id=,B11, PRDE,actvstrat=,-0.171573, actvprof=,6.783511, id=,S00, PRDE,actvstrat=,0.661965, actvprof=,9.549361, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.339493, id=,S02, PRDE,actvstrat=,0.036779, actvprof=,3.752244, id=,S03, PRDE,actvstrat=,-0.183147, actvprof=,1.170979, id=,S04, PRDE,actvstrat=,-0.040567, actvprof=,1.080978, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.084040, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.734588, id=,S07, PRDE,actvstrat=,0.222836, actvprof=,0.029306, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.064584, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.783511, best_B_strat=,-0.171573, best_S_id=,S00, best_S_prof=,9.549361, best_S_strat=,0.661965, 
t=,32400, id=,B00, PRDE,actvstrat=,0.136911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.591774, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.915108, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.068890, id=,B04, PRDE,actvstrat=,0.603114, actvprof=,0.165557, id=,B05, PRDE,actvstrat=,-0.166598, actvprof=,0.170002, id=,B06, PRDE,actvstrat=,0.091185, actvprof=,0.812787, id=,B07, PRDE,actvstrat=,-0.241286, actvprof=,1.382516, id=,B08, PRDE,actvstrat=,0.133961, actvprof=,2.881700, id=,B09, PRDE,actvstrat=,-0.738607, actvprof=,3.775877, id=,B10, PRDE,actvstrat=,-0.782962, actvprof=,5.195616, id=,B11, PRDE,actvstrat=,-0.567443, actvprof=,7.315640, id=,S00, PRDE,actvstrat=,0.661965, actvprof=,7.831480, id=,S01, PRDE,actvstrat=,0.838013, actvprof=,6.535909, id=,S02, PRDE,actvstrat=,-0.539943, actvprof=,0.961678, id=,S03, PRDE,actvstrat=,-0.035321, actvprof=,0.816676, id=,S04, PRDE,actvstrat=,-0.040567, actvprof=,0.383616, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.171125, id=,S06, PRDE,actvstrat=,0.970871, actvprof=,0.373615, id=,S07, PRDE,actvstrat=,-0.525759, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.006667, id=,S09, PRDE,actvstrat=,0.508603, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.269879, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.529007, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.315640, best_B_strat=,-0.567443, best_S_id=,S00, best_S_prof=,7.831480, best_S_strat=,0.661965, 
t=,36000, id=,B00, PRDE,actvstrat=,0.136911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.591774, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.915108, actvprof=,0.004028, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.067639, id=,B04, PRDE,actvstrat=,0.603114, actvprof=,0.158890, id=,B05, PRDE,actvstrat=,-0.166598, actvprof=,0.184862, id=,B06, PRDE,actvstrat=,0.091185, actvprof=,0.839727, id=,B07, PRDE,actvstrat=,-0.241286, actvprof=,1.228063, id=,B08, PRDE,actvstrat=,0.133961, actvprof=,2.937934, id=,B09, PRDE,actvstrat=,-0.738607, actvprof=,3.705994, id=,B10, PRDE,actvstrat=,-0.782962, actvprof=,5.555310, id=,B11, PRDE,actvstrat=,-0.567443, actvprof=,7.507266, id=,S00, PRDE,actvstrat=,0.661965, actvprof=,7.774906, id=,S01, PRDE,actvstrat=,0.838013, actvprof=,6.623927, id=,S02, PRDE,actvstrat=,-0.539943, actvprof=,1.040839, id=,S03, PRDE,actvstrat=,-0.035321, actvprof=,0.839727, id=,S04, PRDE,actvstrat=,-0.040567, actvprof=,0.398336, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.187924, id=,S06, PRDE,actvstrat=,0.970871, actvprof=,0.387780, id=,S07, PRDE,actvstrat=,-0.525759, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.011250, id=,S09, PRDE,actvstrat=,0.508603, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.269879, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.529007, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.507266, best_B_strat=,-0.567443, best_S_id=,S00, best_S_prof=,7.774906, best_S_strat=,0.661965, 
