t=,0, id=,B00, PRDE,actvstrat=,-0.733990, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.417076, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.858439, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.693516, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.873440, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.643044, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.395991, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.546425, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.884687, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.047707, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.380448, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.564033, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.770578, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.155707, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.358231, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.646399, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.480597, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.011375, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.630014, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.279195, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.355925, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.867877, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.898233, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.075950, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.733990, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.770578, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.733990, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.417076, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.858439, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.693516, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.873440, actvprof=,0.145276, id=,B05, PRDE,actvstrat=,-0.643044, actvprof=,0.106388, id=,B06, PRDE,actvstrat=,0.395991, actvprof=,0.524716, id=,B07, PRDE,actvstrat=,-0.546425, actvprof=,0.629437, id=,B08, PRDE,actvstrat=,0.884687, actvprof=,1.712480, id=,B09, PRDE,actvstrat=,0.047707, actvprof=,1.884145, id=,B10, PRDE,actvstrat=,-0.380448, actvprof=,2.588026, id=,B11, PRDE,actvstrat=,0.564033, actvprof=,4.881055, id=,S00, PRDE,actvstrat=,0.770578, actvprof=,11.740697, id=,S01, PRDE,actvstrat=,-0.155707, actvprof=,4.825777, id=,S02, PRDE,actvstrat=,0.358231, actvprof=,5.994931, id=,S03, PRDE,actvstrat=,-0.646399, actvprof=,1.226375, id=,S04, PRDE,actvstrat=,-0.480597, actvprof=,0.982489, id=,S05, PRDE,actvstrat=,0.011375, actvprof=,1.327762, id=,S06, PRDE,actvstrat=,-0.630014, actvprof=,0.239719, id=,S07, PRDE,actvstrat=,-0.279195, actvprof=,0.050833, id=,S08, PRDE,actvstrat=,0.355925, actvprof=,0.149165, id=,S09, PRDE,actvstrat=,0.867877, actvprof=,0.218609, id=,S10, PRDE,actvstrat=,-0.898233, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.075950, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.881055, best_B_strat=,0.564033, best_S_id=,S00, best_S_prof=,11.740697, best_S_strat=,0.770578, 
t=,7200, id=,B00, PRDE,actvstrat=,0.612147, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.968936, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.729071, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.632675, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.001954, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.474779, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.585528, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.092954, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.773046, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.645671, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.004547, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.404450, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.304820, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.860532, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.248928, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.709271, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.286480, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.637424, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.744105, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.041780, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.751121, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.010728, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.410286, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.726523, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.612147, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.304820, 
t=,10800, id=,B00, PRDE,actvstrat=,0.612147, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.968936, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.729071, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.632675, actvprof=,0.011111, id=,B04, PRDE,actvstrat=,0.001954, actvprof=,0.113054, id=,B05, PRDE,actvstrat=,-0.474779, actvprof=,0.206664, id=,B06, PRDE,actvstrat=,-0.585528, actvprof=,0.621659, id=,B07, PRDE,actvstrat=,-0.092954, actvprof=,1.234986, id=,B08, PRDE,actvstrat=,-0.773046, actvprof=,2.253307, id=,B09, PRDE,actvstrat=,-0.645671, actvprof=,3.134408, id=,B10, PRDE,actvstrat=,0.004547, actvprof=,4.092453, id=,B11, PRDE,actvstrat=,-0.404450, actvprof=,5.867988, id=,S00, PRDE,actvstrat=,0.304820, actvprof=,6.725200, id=,S01, PRDE,actvstrat=,0.860532, actvprof=,7.777132, id=,S02, PRDE,actvstrat=,0.248928, actvprof=,3.503015, id=,S03, PRDE,actvstrat=,-0.709271, actvprof=,0.562493, id=,S04, PRDE,actvstrat=,-0.286480, actvprof=,0.469995, id=,S05, PRDE,actvstrat=,-0.637424, actvprof=,0.173054, id=,S06, PRDE,actvstrat=,-0.744105, actvprof=,0.074999, id=,S07, PRDE,actvstrat=,-0.041780, actvprof=,0.116943, id=,S08, PRDE,actvstrat=,0.751121, actvprof=,0.129721, id=,S09, PRDE,actvstrat=,0.010728, actvprof=,0.005833, id=,S10, PRDE,actvstrat=,-0.410286, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.726523, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.867988, best_B_strat=,-0.404450, best_S_id=,S01, best_S_prof=,7.777132, best_S_strat=,0.860532, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.386873, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.239819, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.586348, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.591818, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.001954, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.474779, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.682344, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.675765, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.690480, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.645671, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.994663, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.021681, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.483924, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.860532, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.248928, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.646399, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.174048, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.122301, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.630014, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.364763, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.351335, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.507157, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.000901, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.726523, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.386873, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.483924, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.386873, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.239819, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.586348, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,-0.591818, actvprof=,0.010000, id=,B04, PRDE,actvstrat=,0.001954, actvprof=,0.020833, id=,B05, PRDE,actvstrat=,-0.474779, actvprof=,0.081667, id=,B06, PRDE,actvstrat=,0.682344, actvprof=,0.765000, id=,B07, PRDE,actvstrat=,-0.675765, actvprof=,0.816667, id=,B08, PRDE,actvstrat=,0.690480, actvprof=,2.279722, id=,B09, PRDE,actvstrat=,-0.645671, actvprof=,2.328611, id=,B10, PRDE,actvstrat=,0.994663, actvprof=,2.230556, id=,B11, PRDE,actvstrat=,0.021681, actvprof=,4.209444, id=,S00, PRDE,actvstrat=,-0.483924, actvprof=,5.228889, id=,S01, PRDE,actvstrat=,0.860532, actvprof=,10.390278, id=,S02, PRDE,actvstrat=,0.248928, actvprof=,5.702500, id=,S03, PRDE,actvstrat=,-0.646399, actvprof=,1.708333, id=,S04, PRDE,actvstrat=,0.174048, actvprof=,3.072222, id=,S05, PRDE,actvstrat=,0.122301, actvprof=,1.849444, id=,S06, PRDE,actvstrat=,-0.630014, actvprof=,0.285278, id=,S07, PRDE,actvstrat=,0.364763, actvprof=,0.789167, id=,S08, PRDE,actvstrat=,-0.351335, actvprof=,0.031667, id=,S09, PRDE,actvstrat=,0.507157, actvprof=,0.129722, id=,S10, PRDE,actvstrat=,0.000901, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,0.726523, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.209444, best_B_strat=,0.021681, best_S_id=,S01, best_S_prof=,10.390278, best_S_strat=,0.860532, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.386873, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.239819, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.586348, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.591818, actvprof=,0.008611, id=,B04, PRDE,actvstrat=,0.001954, actvprof=,0.033472, id=,B05, PRDE,actvstrat=,-0.474779, actvprof=,0.106390, id=,B06, PRDE,actvstrat=,0.682344, actvprof=,0.810699, id=,B07, PRDE,actvstrat=,-0.675765, actvprof=,0.805838, id=,B08, PRDE,actvstrat=,0.690480, actvprof=,2.103207, id=,B09, PRDE,actvstrat=,-0.645671, actvprof=,2.295152, id=,B10, PRDE,actvstrat=,0.994663, actvprof=,2.259735, id=,B11, PRDE,actvstrat=,0.021681, actvprof=,4.329608, id=,S00, PRDE,actvstrat=,-0.483924, actvprof=,5.116974, id=,S01, PRDE,actvstrat=,0.860532, actvprof=,10.356171, id=,S02, PRDE,actvstrat=,0.248928, actvprof=,5.593505, id=,S03, PRDE,actvstrat=,-0.646399, actvprof=,1.659037, id=,S04, PRDE,actvstrat=,0.174048, actvprof=,2.935156, id=,S05, PRDE,actvstrat=,0.122301, actvprof=,1.860150, id=,S06, PRDE,actvstrat=,-0.630014, actvprof=,0.347085, id=,S07, PRDE,actvstrat=,0.364763, actvprof=,0.717921, id=,S08, PRDE,actvstrat=,-0.351335, actvprof=,0.054584, id=,S09, PRDE,actvstrat=,0.507157, actvprof=,0.120695, id=,S10, PRDE,actvstrat=,0.000901, actvprof=,0.003611, id=,S11, PRDE,actvstrat=,0.726523, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.329608, best_B_strat=,0.021681, best_S_id=,S01, best_S_prof=,10.356171, best_S_strat=,0.860532, 
t=,25200, id=,B00, PRDE,actvstrat=,0.814383, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.816113, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.946194, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.023889, id=,B05, PRDE,actvstrat=,-0.193642, actvprof=,0.020556, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.593340, id=,B07, PRDE,actvstrat=,0.375565, actvprof=,0.563895, id=,B08, PRDE,actvstrat=,-0.039580, actvprof=,0.821121, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.407516, id=,B10, PRDE,actvstrat=,-0.968194, actvprof=,2.883089, id=,B11, PRDE,actvstrat=,0.834695, actvprof=,4.903112, id=,S00, PRDE,actvstrat=,-0.312452, actvprof=,5.439230, id=,S01, PRDE,actvstrat=,-0.363103, actvprof=,4.116159, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.178972, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,6.963136, id=,S04, PRDE,actvstrat=,-0.348373, actvprof=,1.414461, id=,S05, PRDE,actvstrat=,0.510625, actvprof=,2.718365, id=,S06, PRDE,actvstrat=,0.074282, actvprof=,1.040012, id=,S07, PRDE,actvstrat=,-0.716995, actvprof=,0.094168, id=,S08, PRDE,actvstrat=,0.779256, actvprof=,0.702786, id=,S09, PRDE,actvstrat=,-0.257410, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,-0.653791, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.903112, best_B_strat=,0.834695, best_S_id=,S02, best_S_prof=,7.178972, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.814383, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.816113, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.946194, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.026250, id=,B05, PRDE,actvstrat=,-0.193642, actvprof=,0.010556, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.569031, id=,B07, PRDE,actvstrat=,0.375565, actvprof=,0.569031, id=,B08, PRDE,actvstrat=,-0.039580, actvprof=,0.820838, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.375008, id=,B10, PRDE,actvstrat=,-0.968194, actvprof=,2.679182, id=,B11, PRDE,actvstrat=,0.834695, actvprof=,4.768083, id=,S00, PRDE,actvstrat=,-0.312452, actvprof=,5.473504, id=,S01, PRDE,actvstrat=,-0.363103, actvprof=,4.063357, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.148514, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,7.183514, id=,S04, PRDE,actvstrat=,-0.348373, actvprof=,1.334730, id=,S05, PRDE,actvstrat=,0.510625, actvprof=,2.855294, id=,S06, PRDE,actvstrat=,0.074282, actvprof=,0.926672, id=,S07, PRDE,actvstrat=,-0.716995, actvprof=,0.094167, id=,S08, PRDE,actvstrat=,0.779256, actvprof=,0.673615, id=,S09, PRDE,actvstrat=,-0.257410, actvprof=,0.004167, id=,S10, PRDE,actvstrat=,-0.653791, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.768083, best_B_strat=,0.834695, best_S_id=,S03, best_S_prof=,7.183514, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.698660, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.952337, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.858439, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.591818, actvprof=,0.017222, id=,B04, PRDE,actvstrat=,-0.779493, actvprof=,0.142224, id=,B05, PRDE,actvstrat=,-0.773101, actvprof=,0.552506, id=,B06, PRDE,actvstrat=,-0.810382, actvprof=,1.259181, id=,B07, PRDE,actvstrat=,0.576492, actvprof=,2.535863, id=,B08, PRDE,actvstrat=,-0.308612, actvprof=,2.501973, id=,B09, PRDE,actvstrat=,-0.208251, actvprof=,4.072547, id=,B10, PRDE,actvstrat=,-0.377239, actvprof=,4.883668, id=,B11, PRDE,actvstrat=,-0.625748, actvprof=,7.016748, id=,S00, PRDE,actvstrat=,0.304820, actvprof=,5.789234, id=,S01, PRDE,actvstrat=,0.860532, actvprof=,7.003970, id=,S02, PRDE,actvstrat=,0.200497, actvprof=,2.749476, id=,S03, PRDE,actvstrat=,0.881999, actvprof=,4.210327, id=,S04, PRDE,actvstrat=,-0.324319, actvprof=,0.268336, id=,S05, PRDE,actvstrat=,0.510625, actvprof=,0.864732, id=,S06, PRDE,actvstrat=,0.074282, actvprof=,0.145002, id=,S07, PRDE,actvstrat=,0.295078, actvprof=,0.060556, id=,S08, PRDE,actvstrat=,0.445640, actvprof=,0.010278, id=,S09, PRDE,actvstrat=,0.458636, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,0.000901, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.016748, best_B_strat=,-0.625748, best_S_id=,S01, best_S_prof=,7.003970, best_S_strat=,0.860532, 
t=,36000, id=,B00, PRDE,actvstrat=,0.698660, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.952337, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.858439, actvprof=,0.001806, id=,B03, PRDE,actvstrat=,-0.591818, actvprof=,0.013889, id=,B04, PRDE,actvstrat=,-0.779493, actvprof=,0.127779, id=,B05, PRDE,actvstrat=,-0.773101, actvprof=,0.526392, id=,B06, PRDE,actvstrat=,-0.810382, actvprof=,1.297508, id=,B07, PRDE,actvstrat=,0.576492, actvprof=,2.625987, id=,B08, PRDE,actvstrat=,-0.308612, actvprof=,2.514042, id=,B09, PRDE,actvstrat=,-0.208251, actvprof=,4.050579, id=,B10, PRDE,actvstrat=,-0.377239, actvprof=,5.076279, id=,B11, PRDE,actvstrat=,-0.625748, actvprof=,7.218236, id=,S00, PRDE,actvstrat=,0.304820, actvprof=,5.941284, id=,S01, PRDE,actvstrat=,0.860532, actvprof=,7.143791, id=,S02, PRDE,actvstrat=,0.200497, actvprof=,2.826683, id=,S03, PRDE,actvstrat=,0.881999, actvprof=,4.075579, id=,S04, PRDE,actvstrat=,-0.324319, actvprof=,0.240001, id=,S05, PRDE,actvstrat=,0.510625, actvprof=,0.785143, id=,S06, PRDE,actvstrat=,0.074282, actvprof=,0.170001, id=,S07, PRDE,actvstrat=,0.295078, actvprof=,0.062223, id=,S08, PRDE,actvstrat=,0.445640, actvprof=,0.016250, id=,S09, PRDE,actvstrat=,0.458636, actvprof=,0.001111, id=,S10, PRDE,actvstrat=,0.000901, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.218236, best_B_strat=,-0.625748, best_S_id=,S01, best_S_prof=,7.143791, best_S_strat=,0.860532, 
