t=,0, id=,B00, PRDE,actvstrat=,0.272613, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.851138, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.477776, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.647806, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.456758, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.628846, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.625847, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.520990, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.627578, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.314668, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.310213, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.526820, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.784980, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.219246, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.369774, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.357562, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.356170, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.180072, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.587473, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.073693, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.988305, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.545691, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.344167, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.905472, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.272613, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.784980, 
t=,3600, id=,B00, PRDE,actvstrat=,0.272613, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.851138, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.477776, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.647806, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,0.456758, actvprof=,0.032777, id=,B05, PRDE,actvstrat=,0.628846, actvprof=,0.131387, id=,B06, PRDE,actvstrat=,0.625847, actvprof=,0.422217, id=,B07, PRDE,actvstrat=,0.520990, actvprof=,0.906378, id=,B08, PRDE,actvstrat=,0.627578, actvprof=,1.509149, id=,B09, PRDE,actvstrat=,0.314668, actvprof=,2.034143, id=,B10, PRDE,actvstrat=,0.310213, actvprof=,3.106631, id=,B11, PRDE,actvstrat=,0.526820, actvprof=,5.134941, id=,S00, PRDE,actvstrat=,0.784980, actvprof=,12.473189, id=,S01, PRDE,actvstrat=,0.219246, actvprof=,7.249361, id=,S02, PRDE,actvstrat=,-0.369774, actvprof=,2.897189, id=,S03, PRDE,actvstrat=,-0.357562, actvprof=,1.669703, id=,S04, PRDE,actvstrat=,-0.356170, actvprof=,1.084710, id=,S05, PRDE,actvstrat=,-0.180072, actvprof=,0.588049, id=,S06, PRDE,actvstrat=,-0.587473, actvprof=,0.241664, id=,S07, PRDE,actvstrat=,-0.073693, actvprof=,0.134443, id=,S08, PRDE,actvstrat=,0.988305, actvprof=,0.513605, id=,S09, PRDE,actvstrat=,0.545691, actvprof=,0.076666, id=,S10, PRDE,actvstrat=,0.344167, actvprof=,0.002778, id=,S11, PRDE,actvstrat=,-0.905472, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.134941, best_B_strat=,0.526820, best_S_id=,S00, best_S_prof=,12.473189, best_S_strat=,0.784980, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.105002, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.216976, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.958035, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.469921, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.200012, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.398435, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.106357, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.066311, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.599195, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.658744, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.059592, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.704262, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.078262, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.040536, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.240878, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.958228, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.135098, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.032272, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.781171, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.807205, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.985948, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.079586, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.360382, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.841647, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.105002, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.078262, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.105002, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.216976, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.958035, actvprof=,0.010000, id=,B03, PRDE,actvstrat=,-0.469921, actvprof=,0.005555, id=,B04, PRDE,actvstrat=,0.200012, actvprof=,0.065555, id=,B05, PRDE,actvstrat=,0.398435, actvprof=,0.365551, id=,B06, PRDE,actvstrat=,-0.106357, actvprof=,0.615826, id=,B07, PRDE,actvstrat=,0.066311, actvprof=,1.089710, id=,B08, PRDE,actvstrat=,0.599195, actvprof=,2.752190, id=,B09, PRDE,actvstrat=,-0.658744, actvprof=,2.851356, id=,B10, PRDE,actvstrat=,-0.059592, actvprof=,4.469393, id=,B11, PRDE,actvstrat=,-0.704262, actvprof=,5.333272, id=,S00, PRDE,actvstrat=,0.078262, actvprof=,5.978264, id=,S01, PRDE,actvstrat=,-0.040536, actvprof=,3.795789, id=,S02, PRDE,actvstrat=,-0.240878, actvprof=,1.663314, id=,S03, PRDE,actvstrat=,0.958228, actvprof=,4.299395, id=,S04, PRDE,actvstrat=,-0.135098, actvprof=,0.500272, id=,S05, PRDE,actvstrat=,0.032272, actvprof=,0.529994, id=,S06, PRDE,actvstrat=,0.781171, actvprof=,0.694436, id=,S07, PRDE,actvstrat=,-0.807205, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.985948, actvprof=,0.104443, id=,S09, PRDE,actvstrat=,0.079586, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.360382, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.841647, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.333272, best_B_strat=,-0.704262, best_S_id=,S00, best_S_prof=,5.978264, best_S_strat=,0.078262, 
t=,14400, id=,B00, PRDE,actvstrat=,0.782847, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.907119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.958035, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.504339, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.145321, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.398435, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.641962, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.066311, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.706144, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.061533, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.059592, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.979961, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.784980, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.056140, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.290615, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.155515, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.259434, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.521279, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.653396, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.670216, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.337826, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.572827, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.275763, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.928161, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.782847, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.784980, 
t=,18000, id=,B00, PRDE,actvstrat=,0.782847, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.907119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.958035, actvprof=,0.005555, id=,B03, PRDE,actvstrat=,0.504339, actvprof=,0.026666, id=,B04, PRDE,actvstrat=,0.145321, actvprof=,0.047499, id=,B05, PRDE,actvstrat=,0.398435, actvprof=,0.161107, id=,B06, PRDE,actvstrat=,-0.641962, actvprof=,0.345825, id=,B07, PRDE,actvstrat=,0.066311, actvprof=,0.657485, id=,B08, PRDE,actvstrat=,0.706144, actvprof=,1.954399, id=,B09, PRDE,actvstrat=,0.061533, actvprof=,1.676072, id=,B10, PRDE,actvstrat=,-0.059592, actvprof=,2.627717, id=,B11, PRDE,actvstrat=,0.979961, actvprof=,2.683827, id=,S00, PRDE,actvstrat=,0.784980, actvprof=,12.865536, id=,S01, PRDE,actvstrat=,0.056140, actvprof=,7.038726, id=,S02, PRDE,actvstrat=,-0.290615, actvprof=,4.402676, id=,S03, PRDE,actvstrat=,-0.155515, actvprof=,3.292702, id=,S04, PRDE,actvstrat=,-0.259434, actvprof=,1.823013, id=,S05, PRDE,actvstrat=,-0.521279, actvprof=,0.870813, id=,S06, PRDE,actvstrat=,-0.653396, actvprof=,0.559987, id=,S07, PRDE,actvstrat=,-0.670216, actvprof=,0.281660, id=,S08, PRDE,actvstrat=,0.337826, actvprof=,0.652763, id=,S09, PRDE,actvstrat=,-0.572827, actvprof=,0.033610, id=,S10, PRDE,actvstrat=,-0.275763, actvprof=,0.006389, id=,S11, PRDE,actvstrat=,-0.928161, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.683827, best_B_strat=,0.979961, best_S_id=,S00, best_S_prof=,12.865536, best_S_strat=,0.784980, 
t=,21600, id=,B00, PRDE,actvstrat=,0.782847, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.907119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.958035, actvprof=,0.008889, id=,B03, PRDE,actvstrat=,0.504339, actvprof=,0.018611, id=,B04, PRDE,actvstrat=,0.145321, actvprof=,0.043195, id=,B05, PRDE,actvstrat=,0.398435, actvprof=,0.182918, id=,B06, PRDE,actvstrat=,-0.641962, actvprof=,0.321530, id=,B07, PRDE,actvstrat=,0.066311, actvprof=,0.649309, id=,B08, PRDE,actvstrat=,0.706144, actvprof=,1.918761, id=,B09, PRDE,actvstrat=,0.061533, actvprof=,1.829455, id=,B10, PRDE,actvstrat=,-0.059592, actvprof=,2.666543, id=,B11, PRDE,actvstrat=,0.979961, actvprof=,2.770433, id=,S00, PRDE,actvstrat=,0.784980, actvprof=,12.918547, id=,S01, PRDE,actvstrat=,0.056140, actvprof=,7.274348, id=,S02, PRDE,actvstrat=,-0.290615, actvprof=,4.164885, id=,S03, PRDE,actvstrat=,-0.155515, actvprof=,3.422936, id=,S04, PRDE,actvstrat=,-0.259434, actvprof=,1.769455, id=,S05, PRDE,actvstrat=,-0.521279, actvprof=,0.937922, id=,S06, PRDE,actvstrat=,-0.653396, actvprof=,0.515281, id=,S07, PRDE,actvstrat=,-0.670216, actvprof=,0.264168, id=,S08, PRDE,actvstrat=,0.337826, actvprof=,0.582781, id=,S09, PRDE,actvstrat=,-0.572827, actvprof=,0.041667, id=,S10, PRDE,actvstrat=,-0.275763, actvprof=,0.005833, id=,S11, PRDE,actvstrat=,-0.928161, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.770433, best_B_strat=,0.979961, best_S_id=,S00, best_S_prof=,12.918547, best_S_strat=,0.784980, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.018611, id=,B05, PRDE,actvstrat=,0.360127, actvprof=,0.073334, id=,B06, PRDE,actvstrat=,-0.485322, actvprof=,0.157502, id=,B07, PRDE,actvstrat=,0.337424, actvprof=,0.948344, id=,B08, PRDE,actvstrat=,-0.696003, actvprof=,0.881121, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.222560, id=,B10, PRDE,actvstrat=,-0.100924, actvprof=,4.596164, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.796201, id=,S00, PRDE,actvstrat=,0.981860, actvprof=,10.233174, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.787579, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.927013, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.155604, id=,S04, PRDE,actvstrat=,-0.392252, actvprof=,0.173058, id=,S05, PRDE,actvstrat=,-0.254241, actvprof=,0.066390, id=,S06, PRDE,actvstrat=,-0.083863, actvprof=,0.020000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.183335, id=,S08, PRDE,actvstrat=,0.183145, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.419126, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.796201, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,10.233174, best_S_strat=,0.981860, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001806, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.019445, id=,B05, PRDE,actvstrat=,0.360127, actvprof=,0.074028, id=,B06, PRDE,actvstrat=,-0.485322, actvprof=,0.162779, id=,B07, PRDE,actvstrat=,0.337424, actvprof=,0.922644, id=,B08, PRDE,actvstrat=,-0.696003, actvprof=,0.904172, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.110724, id=,B10, PRDE,actvstrat=,-0.100924, actvprof=,4.628499, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.521988, id=,S00, PRDE,actvstrat=,0.981860, actvprof=,10.267976, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.611566, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.761978, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.349886, id=,S04, PRDE,actvstrat=,-0.392252, actvprof=,0.189862, id=,S05, PRDE,actvstrat=,-0.254241, actvprof=,0.072084, id=,S06, PRDE,actvstrat=,-0.083863, actvprof=,0.022222, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.184029, id=,S08, PRDE,actvstrat=,0.183145, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.419126, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.521988, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,10.267976, best_S_strat=,0.981860, 
t=,32400, id=,B00, PRDE,actvstrat=,0.777487, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.851138, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.221027, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.997260, actvprof=,0.011667, id=,B04, PRDE,actvstrat=,0.200012, actvprof=,0.030278, id=,B05, PRDE,actvstrat=,0.842665, actvprof=,0.415838, id=,B06, PRDE,actvstrat=,-0.961356, actvprof=,1.085013, id=,B07, PRDE,actvstrat=,0.008181, actvprof=,0.793343, id=,B08, PRDE,actvstrat=,-0.625931, actvprof=,1.585852, id=,B09, PRDE,actvstrat=,0.735672, actvprof=,3.301149, id=,B10, PRDE,actvstrat=,0.077572, actvprof=,3.621986, id=,B11, PRDE,actvstrat=,-0.602944, actvprof=,5.564231, id=,S00, PRDE,actvstrat=,0.981860, actvprof=,11.589579, id=,S01, PRDE,actvstrat=,-0.040536, actvprof=,4.921168, id=,S02, PRDE,actvstrat=,-0.975326, actvprof=,1.671130, id=,S03, PRDE,actvstrat=,0.958228, actvprof=,5.250894, id=,S04, PRDE,actvstrat=,-0.150295, actvprof=,0.943066, id=,S05, PRDE,actvstrat=,-0.521279, actvprof=,0.217503, id=,S06, PRDE,actvstrat=,-0.653396, actvprof=,0.123890, id=,S07, PRDE,actvstrat=,-0.217351, actvprof=,0.054167, id=,S08, PRDE,actvstrat=,0.988305, actvprof=,0.306115, id=,S09, PRDE,actvstrat=,-0.745869, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.275763, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.485044, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.564231, best_B_strat=,-0.602944, best_S_id=,S00, best_S_prof=,11.589579, best_S_strat=,0.981860, 
t=,36000, id=,B00, PRDE,actvstrat=,0.777487, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.851138, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.221027, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.997260, actvprof=,0.008056, id=,B04, PRDE,actvstrat=,0.200012, actvprof=,0.032361, id=,B05, PRDE,actvstrat=,0.842665, actvprof=,0.460558, id=,B06, PRDE,actvstrat=,-0.961356, actvprof=,1.107784, id=,B07, PRDE,actvstrat=,0.008181, actvprof=,0.780282, id=,B08, PRDE,actvstrat=,-0.625931, actvprof=,1.474731, id=,B09, PRDE,actvstrat=,0.735672, actvprof=,3.305852, id=,B10, PRDE,actvstrat=,0.077572, actvprof=,3.565715, id=,B11, PRDE,actvstrat=,-0.602944, actvprof=,5.161002, id=,S00, PRDE,actvstrat=,0.981860, actvprof=,11.417427, id=,S01, PRDE,actvstrat=,-0.040536, actvprof=,4.807944, id=,S02, PRDE,actvstrat=,-0.975326, actvprof=,1.716677, id=,S03, PRDE,actvstrat=,0.958228, actvprof=,5.219475, id=,S04, PRDE,actvstrat=,-0.150295, actvprof=,0.802505, id=,S05, PRDE,actvstrat=,-0.521279, actvprof=,0.250140, id=,S06, PRDE,actvstrat=,-0.653396, actvprof=,0.130556, id=,S07, PRDE,actvstrat=,-0.217351, actvprof=,0.035139, id=,S08, PRDE,actvstrat=,0.988305, actvprof=,0.336530, id=,S09, PRDE,actvstrat=,-0.745869, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.275763, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.485044, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.161002, best_B_strat=,-0.602944, best_S_id=,S00, best_S_prof=,11.417427, best_S_strat=,0.981860, 
