t=,0, id=,B00, PRDE,actvstrat=,0.886850, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.000125, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.329521, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.634864, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.392424, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.233171, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.339713, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.769767, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.705553, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.980046, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.774732, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.565684, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.804755, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.227345, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.893388, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.195723, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.875266, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.533172, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.570736, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.853788, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.607766, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.435741, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.637121, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.549848, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.886850, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.804755, 
t=,3600, id=,B00, PRDE,actvstrat=,0.886850, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.000125, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.329521, actvprof=,0.006389, id=,B03, PRDE,actvstrat=,0.634864, actvprof=,0.029999, id=,B04, PRDE,actvstrat=,0.392424, actvprof=,0.083054, id=,B05, PRDE,actvstrat=,-0.233171, actvprof=,0.090831, id=,B06, PRDE,actvstrat=,-0.339713, actvprof=,0.329437, id=,B07, PRDE,actvstrat=,0.769767, actvprof=,1.621074, id=,B08, PRDE,actvstrat=,0.705553, actvprof=,2.120229, id=,B09, PRDE,actvstrat=,0.980046, actvprof=,2.077452, id=,B10, PRDE,actvstrat=,-0.774732, actvprof=,4.021296, id=,B11, PRDE,actvstrat=,0.565684, actvprof=,5.674869, id=,S00, PRDE,actvstrat=,0.804755, actvprof=,11.961112, id=,S01, PRDE,actvstrat=,0.227345, actvprof=,7.030115, id=,S02, PRDE,actvstrat=,-0.893388, actvprof=,1.276637, id=,S03, PRDE,actvstrat=,-0.195723, actvprof=,2.236615, id=,S04, PRDE,actvstrat=,0.875266, actvprof=,5.558482, id=,S05, PRDE,actvstrat=,0.533172, actvprof=,2.723270, id=,S06, PRDE,actvstrat=,0.570736, actvprof=,1.603574, id=,S07, PRDE,actvstrat=,-0.853788, actvprof=,0.019444, id=,S08, PRDE,actvstrat=,-0.607766, actvprof=,0.026111, id=,S09, PRDE,actvstrat=,-0.435741, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.637121, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.549848, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.674869, best_B_strat=,0.565684, best_S_id=,S00, best_S_prof=,11.961112, best_S_strat=,0.804755, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.301488, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.067062, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.168645, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.246206, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.694720, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.153666, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.637557, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.978083, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.376554, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.542407, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.458841, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.475032, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.225027, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.224238, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.057637, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.392540, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.040334, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.916136, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.763346, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.883784, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.608059, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.802388, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.211023, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.810037, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.301488, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.225027, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.301488, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.067062, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.168645, actvprof=,0.007222, id=,B03, PRDE,actvstrat=,0.246206, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,-0.694720, actvprof=,0.020555, id=,B05, PRDE,actvstrat=,0.153666, actvprof=,0.135275, id=,B06, PRDE,actvstrat=,-0.637557, actvprof=,0.361381, id=,B07, PRDE,actvstrat=,-0.978083, actvprof=,1.206917, id=,B08, PRDE,actvstrat=,0.376554, actvprof=,1.884956, id=,B09, PRDE,actvstrat=,0.542407, actvprof=,3.493808, id=,B10, PRDE,actvstrat=,0.458841, actvprof=,4.328511, id=,B11, PRDE,actvstrat=,0.475032, actvprof=,5.861253, id=,S00, PRDE,actvstrat=,0.225027, actvprof=,8.501470, id=,S01, PRDE,actvstrat=,-0.224238, actvprof=,3.874077, id=,S02, PRDE,actvstrat=,0.057637, actvprof=,4.614615, id=,S03, PRDE,actvstrat=,0.392540, actvprof=,4.197681, id=,S04, PRDE,actvstrat=,0.040334, actvprof=,2.326891, id=,S05, PRDE,actvstrat=,0.916136, actvprof=,3.617694, id=,S06, PRDE,actvstrat=,-0.763346, actvprof=,0.132219, id=,S07, PRDE,actvstrat=,-0.883784, actvprof=,0.044999, id=,S08, PRDE,actvstrat=,0.608059, actvprof=,0.255550, id=,S09, PRDE,actvstrat=,-0.802388, actvprof=,0.006667, id=,S10, PRDE,actvstrat=,0.211023, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,-0.810037, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.861253, best_B_strat=,0.475032, best_S_id=,S00, best_S_prof=,8.501470, best_S_strat=,0.225027, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.900869, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.067062, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.703184, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.625325, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.089306, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.003160, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.368177, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.780758, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.123910, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.510449, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.069861, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.579465, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.486079, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.677061, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.742622, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.729050, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.544983, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.011932, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.756137, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.883784, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.348699, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.691861, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.756471, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.134624, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.900869, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.486079, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.900869, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.067062, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.703184, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,0.625325, actvprof=,0.053889, id=,B04, PRDE,actvstrat=,0.089306, actvprof=,0.109444, id=,B05, PRDE,actvstrat=,0.003160, actvprof=,0.299167, id=,B06, PRDE,actvstrat=,0.368177, actvprof=,1.119167, id=,B07, PRDE,actvstrat=,-0.780758, actvprof=,1.533889, id=,B08, PRDE,actvstrat=,0.123910, actvprof=,2.594722, id=,B09, PRDE,actvstrat=,0.510449, actvprof=,4.204167, id=,B10, PRDE,actvstrat=,0.069861, actvprof=,4.529167, id=,B11, PRDE,actvstrat=,0.579465, actvprof=,6.385556, id=,S00, PRDE,actvstrat=,0.486079, actvprof=,8.838889, id=,S01, PRDE,actvstrat=,0.677061, actvprof=,7.918889, id=,S02, PRDE,actvstrat=,0.742622, actvprof=,7.120278, id=,S03, PRDE,actvstrat=,0.729050, actvprof=,5.408333, id=,S04, PRDE,actvstrat=,-0.544983, actvprof=,0.677778, id=,S05, PRDE,actvstrat=,0.011932, actvprof=,1.198889, id=,S06, PRDE,actvstrat=,-0.756137, actvprof=,0.131944, id=,S07, PRDE,actvstrat=,-0.883784, actvprof=,0.065278, id=,S08, PRDE,actvstrat=,0.348699, actvprof=,0.114722, id=,S09, PRDE,actvstrat=,0.691861, actvprof=,0.074722, id=,S10, PRDE,actvstrat=,0.756471, actvprof=,0.009444, id=,S11, PRDE,actvstrat=,0.134624, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.385556, best_B_strat=,0.579465, best_S_id=,S00, best_S_prof=,8.838889, best_S_strat=,0.486079, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.900869, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.067062, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.703184, actvprof=,0.004861, id=,B03, PRDE,actvstrat=,0.625325, actvprof=,0.051667, id=,B04, PRDE,actvstrat=,0.089306, actvprof=,0.110417, id=,B05, PRDE,actvstrat=,0.003160, actvprof=,0.275279, id=,B06, PRDE,actvstrat=,0.368177, actvprof=,1.111673, id=,B07, PRDE,actvstrat=,-0.780758, actvprof=,1.692788, id=,B08, PRDE,actvstrat=,0.123910, actvprof=,2.529737, id=,B09, PRDE,actvstrat=,0.510449, actvprof=,4.176135, id=,B10, PRDE,actvstrat=,0.069861, actvprof=,4.546832, id=,B11, PRDE,actvstrat=,0.579465, actvprof=,6.576010, id=,S00, PRDE,actvstrat=,0.486079, actvprof=,8.891024, id=,S01, PRDE,actvstrat=,0.677061, actvprof=,7.888657, id=,S02, PRDE,actvstrat=,0.742622, actvprof=,6.925596, id=,S03, PRDE,actvstrat=,0.729050, actvprof=,5.192252, id=,S04, PRDE,actvstrat=,-0.544983, actvprof=,0.759727, id=,S05, PRDE,actvstrat=,0.011932, actvprof=,1.142229, id=,S06, PRDE,actvstrat=,-0.756137, actvprof=,0.131529, id=,S07, PRDE,actvstrat=,-0.883784, actvprof=,0.092639, id=,S08, PRDE,actvstrat=,0.348699, actvprof=,0.156945, id=,S09, PRDE,actvstrat=,0.691861, actvprof=,0.071389, id=,S10, PRDE,actvstrat=,0.756471, actvprof=,0.012361, id=,S11, PRDE,actvstrat=,0.134624, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.576010, best_B_strat=,0.579465, best_S_id=,S00, best_S_prof=,8.891024, best_S_strat=,0.486079, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.922724, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.892076, actvprof=,0.001667, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-0.028421, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.037223, id=,B05, PRDE,actvstrat=,0.315303, actvprof=,0.161669, id=,B06, PRDE,actvstrat=,0.190172, actvprof=,0.506395, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.226125, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.242804, id=,B09, PRDE,actvstrat=,-0.806089, actvprof=,3.167537, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,7.233695, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,8.423153, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.480121, id=,S01, PRDE,actvstrat=,0.302962, actvprof=,5.149782, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.758701, id=,S03, PRDE,actvstrat=,-0.285443, actvprof=,0.848899, id=,S04, PRDE,actvstrat=,0.008593, actvprof=,1.112791, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.775021, id=,S06, PRDE,actvstrat=,0.713820, actvprof=,0.593618, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.575840, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.076390, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.006667, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.001944, id=,S11, PRDE,actvstrat=,-0.681884, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.423153, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,10.480121, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.922724, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.892076, actvprof=,0.000972, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.003611, id=,B03, PRDE,actvstrat=,-0.028421, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.044861, id=,B05, PRDE,actvstrat=,0.315303, actvprof=,0.150973, id=,B06, PRDE,actvstrat=,0.190172, actvprof=,0.499864, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.259313, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.261680, id=,B09, PRDE,actvstrat=,-0.806089, actvprof=,2.996545, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,7.224486, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,8.396299, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.310476, id=,S01, PRDE,actvstrat=,0.302962, actvprof=,5.180030, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.500043, id=,S03, PRDE,actvstrat=,-0.285443, actvprof=,0.890977, id=,S04, PRDE,actvstrat=,0.008593, actvprof=,1.099729, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.791677, id=,S06, PRDE,actvstrat=,0.713820, actvprof=,0.573337, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.558892, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.075556, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.006944, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,-0.681884, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.396299, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,10.310476, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.012911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.467579, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.625325, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.926093, actvprof=,0.146113, id=,B05, PRDE,actvstrat=,0.315303, actvprof=,0.158613, id=,B06, PRDE,actvstrat=,-0.637557, actvprof=,0.284170, id=,B07, PRDE,actvstrat=,-0.065440, actvprof=,0.940844, id=,B08, PRDE,actvstrat=,0.376554, actvprof=,2.210859, id=,B09, PRDE,actvstrat=,-0.806089, actvprof=,2.795866, id=,B10, PRDE,actvstrat=,0.458841, actvprof=,4.982835, id=,B11, PRDE,actvstrat=,0.475032, actvprof=,6.705078, id=,S00, PRDE,actvstrat=,0.225027, actvprof=,7.119805, id=,S01, PRDE,actvstrat=,-0.224238, actvprof=,3.048369, id=,S02, PRDE,actvstrat=,0.057637, actvprof=,3.666987, id=,S03, PRDE,actvstrat=,0.299901, actvprof=,2.937256, id=,S04, PRDE,actvstrat=,0.835327, actvprof=,3.506429, id=,S05, PRDE,actvstrat=,-0.124855, actvprof=,0.525284, id=,S06, PRDE,actvstrat=,0.570736, actvprof=,0.789454, id=,S07, PRDE,actvstrat=,0.659131, actvprof=,0.520284, id=,S08, PRDE,actvstrat=,0.348699, actvprof=,0.078056, id=,S09, PRDE,actvstrat=,0.691861, actvprof=,0.052501, id=,S10, PRDE,actvstrat=,0.098316, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,0.458517, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.705078, best_B_strat=,0.475032, best_S_id=,S00, best_S_prof=,7.119805, best_S_strat=,0.225027, 
t=,36000, id=,B00, PRDE,actvstrat=,0.012911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.467579, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.001250, id=,B03, PRDE,actvstrat=,0.625325, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,0.926093, actvprof=,0.132084, id=,B05, PRDE,actvstrat=,0.315303, actvprof=,0.147084, id=,B06, PRDE,actvstrat=,-0.637557, actvprof=,0.283752, id=,B07, PRDE,actvstrat=,-0.065440, actvprof=,0.931950, id=,B08, PRDE,actvstrat=,0.376554, actvprof=,2.317513, id=,B09, PRDE,actvstrat=,-0.806089, actvprof=,2.711127, id=,B10, PRDE,actvstrat=,0.458841, actvprof=,5.079752, id=,B11, PRDE,actvstrat=,0.475032, actvprof=,6.621427, id=,S00, PRDE,actvstrat=,0.225027, actvprof=,7.195181, id=,S01, PRDE,actvstrat=,-0.224238, actvprof=,3.010712, id=,S02, PRDE,actvstrat=,0.057637, actvprof=,3.686827, id=,S03, PRDE,actvstrat=,0.299901, actvprof=,2.899600, id=,S04, PRDE,actvstrat=,0.835327, actvprof=,3.573771, id=,S05, PRDE,actvstrat=,-0.124855, actvprof=,0.493197, id=,S06, PRDE,actvstrat=,0.570736, actvprof=,0.819866, id=,S07, PRDE,actvstrat=,0.659131, actvprof=,0.470836, id=,S08, PRDE,actvstrat=,0.348699, actvprof=,0.090001, id=,S09, PRDE,actvstrat=,0.691861, actvprof=,0.056250, id=,S10, PRDE,actvstrat=,0.098316, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,0.458517, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.621427, best_B_strat=,0.475032, best_S_id=,S00, best_S_prof=,7.195181, best_S_strat=,0.225027, 
