t=,1, id=,B00, PRDE,actvstrat=,-0.119076, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.050315, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.281122, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.515922, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.799613, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.479842, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.646542, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.621313, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.137960, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.169162, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.276568, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.763017, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.701800, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.266553, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.502141, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.444407, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.052405, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.173680, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.122692, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.106660, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.248719, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.857136, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.269623, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.331391, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.119076, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.701800, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.119076, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.050315, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.281122, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,0.515922, actvprof=,0.043611, id=,B04, PRDE,actvstrat=,0.799613, actvprof=,0.275552, id=,B05, PRDE,actvstrat=,0.479842, actvprof=,0.314996, id=,B06, PRDE,actvstrat=,-0.646542, actvprof=,0.533605, id=,B07, PRDE,actvstrat=,-0.621313, actvprof=,1.135820, id=,B08, PRDE,actvstrat=,-0.137960, actvprof=,1.812757, id=,B09, PRDE,actvstrat=,0.169162, actvprof=,3.351628, id=,B10, PRDE,actvstrat=,0.276568, actvprof=,4.544947, id=,B11, PRDE,actvstrat=,0.763017, actvprof=,6.040486, id=,S00, PRDE,actvstrat=,0.701800, actvprof=,9.956829, id=,S01, PRDE,actvstrat=,0.266553, actvprof=,5.927431, id=,S02, PRDE,actvstrat=,0.502141, actvprof=,5.017720, id=,S03, PRDE,actvstrat=,0.444407, actvprof=,3.749957, id=,S04, PRDE,actvstrat=,0.052405, actvprof=,1.599704, id=,S05, PRDE,actvstrat=,0.173680, actvprof=,1.202764, id=,S06, PRDE,actvstrat=,-0.122692, actvprof=,0.240275, id=,S07, PRDE,actvstrat=,-0.106660, actvprof=,0.130832, id=,S08, PRDE,actvstrat=,0.248719, actvprof=,0.106110, id=,S09, PRDE,actvstrat=,0.857136, actvprof=,0.207220, id=,S10, PRDE,actvstrat=,0.269623, actvprof=,0.004444, id=,S11, PRDE,actvstrat=,0.331391, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.040486, best_B_strat=,0.763017, best_S_id=,S00, best_S_prof=,9.956829, best_S_strat=,0.701800, 
t=,7200, id=,B00, PRDE,actvstrat=,0.678493, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.664061, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.182492, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.774261, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.142230, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.411721, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.667533, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.208383, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.483159, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.719622, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.122767, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.231390, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.030010, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.546094, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.748801, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.556023, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.599886, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.134231, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.526262, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.798554, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.635425, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.798906, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.151845, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.926256, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.678493, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.030010, 
t=,10800, id=,B00, PRDE,actvstrat=,0.678493, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.664061, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.182492, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.774261, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.142230, actvprof=,0.006944, id=,B05, PRDE,actvstrat=,0.411721, actvprof=,0.161109, id=,B06, PRDE,actvstrat=,0.667533, actvprof=,0.533327, id=,B07, PRDE,actvstrat=,0.208383, actvprof=,0.656381, id=,B08, PRDE,actvstrat=,0.483159, actvprof=,1.598037, id=,B09, PRDE,actvstrat=,0.719622, actvprof=,2.839412, id=,B10, PRDE,actvstrat=,-0.122767, actvprof=,2.847189, id=,B11, PRDE,actvstrat=,-0.231390, actvprof=,4.084119, id=,S00, PRDE,actvstrat=,-0.030010, actvprof=,5.795211, id=,S01, PRDE,actvstrat=,0.546094, actvprof=,7.953797, id=,S02, PRDE,actvstrat=,-0.748801, actvprof=,1.087487, id=,S03, PRDE,actvstrat=,-0.556023, actvprof=,1.058321, id=,S04, PRDE,actvstrat=,0.599886, actvprof=,2.869967, id=,S05, PRDE,actvstrat=,0.134231, actvprof=,0.968600, id=,S06, PRDE,actvstrat=,0.526262, actvprof=,0.736936, id=,S07, PRDE,actvstrat=,0.798554, actvprof=,0.626659, id=,S08, PRDE,actvstrat=,0.635425, actvprof=,0.067221, id=,S09, PRDE,actvstrat=,-0.798906, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.151845, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.926256, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.084119, best_B_strat=,-0.231390, best_S_id=,S01, best_S_prof=,7.953797, best_S_strat=,0.546094, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.073713, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.686545, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.384433, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.515922, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.103762, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.479842, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.010403, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.899372, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.481984, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.190455, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.494134, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.231390, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.030010, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.345794, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.878360, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.455588, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.039577, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.939035, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.526262, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.386660, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.969428, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.365327, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.906117, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.729547, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.073713, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.030010, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.073713, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.686545, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,-0.384433, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.515922, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.103762, actvprof=,0.020278, id=,B05, PRDE,actvstrat=,0.479842, actvprof=,0.086111, id=,B06, PRDE,actvstrat=,-0.010403, actvprof=,0.261667, id=,B07, PRDE,actvstrat=,0.899372, actvprof=,1.188889, id=,B08, PRDE,actvstrat=,0.481984, actvprof=,1.389722, id=,B09, PRDE,actvstrat=,-0.190455, actvprof=,1.676667, id=,B10, PRDE,actvstrat=,0.494134, actvprof=,3.939722, id=,B11, PRDE,actvstrat=,-0.231390, actvprof=,3.715000, id=,S00, PRDE,actvstrat=,-0.030010, actvprof=,6.548333, id=,S01, PRDE,actvstrat=,0.345794, actvprof=,6.961389, id=,S02, PRDE,actvstrat=,-0.878360, actvprof=,0.376944, id=,S03, PRDE,actvstrat=,-0.455588, actvprof=,1.328333, id=,S04, PRDE,actvstrat=,-0.039577, actvprof=,1.293611, id=,S05, PRDE,actvstrat=,0.939035, actvprof=,3.416667, id=,S06, PRDE,actvstrat=,0.526262, actvprof=,0.825278, id=,S07, PRDE,actvstrat=,0.386660, actvprof=,0.274167, id=,S08, PRDE,actvstrat=,-0.969428, actvprof=,0.090556, id=,S09, PRDE,actvstrat=,0.365327, actvprof=,0.010278, id=,S10, PRDE,actvstrat=,0.906117, actvprof=,0.004722, id=,S11, PRDE,actvstrat=,-0.729547, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.939722, best_B_strat=,0.494134, best_S_id=,S01, best_S_prof=,6.961389, best_S_strat=,0.345794, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.073713, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.686545, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.384433, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.515922, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,0.103762, actvprof=,0.021667, id=,B05, PRDE,actvstrat=,0.479842, actvprof=,0.119445, id=,B06, PRDE,actvstrat=,-0.010403, actvprof=,0.204446, id=,B07, PRDE,actvstrat=,0.899372, actvprof=,1.158757, id=,B08, PRDE,actvstrat=,0.481984, actvprof=,1.465147, id=,B09, PRDE,actvstrat=,-0.190455, actvprof=,1.583759, id=,B10, PRDE,actvstrat=,0.494134, actvprof=,3.927245, id=,B11, PRDE,actvstrat=,-0.231390, actvprof=,4.014884, id=,S00, PRDE,actvstrat=,-0.030010, actvprof=,6.462676, id=,S01, PRDE,actvstrat=,0.345794, actvprof=,6.859762, id=,S02, PRDE,actvstrat=,-0.878360, actvprof=,0.390697, id=,S03, PRDE,actvstrat=,-0.455588, actvprof=,1.357369, id=,S04, PRDE,actvstrat=,-0.039577, actvprof=,1.305285, id=,S05, PRDE,actvstrat=,0.939035, actvprof=,3.377242, id=,S06, PRDE,actvstrat=,0.526262, actvprof=,0.839033, id=,S07, PRDE,actvstrat=,0.386660, actvprof=,0.292224, id=,S08, PRDE,actvstrat=,-0.969428, actvprof=,0.100417, id=,S09, PRDE,actvstrat=,0.365327, actvprof=,0.009722, id=,S10, PRDE,actvstrat=,0.906117, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,-0.729547, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.014884, best_B_strat=,-0.231390, best_S_id=,S01, best_S_prof=,6.859762, best_S_strat=,0.345794, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.540115, actvprof=,0.010000, id=,B03, PRDE,actvstrat=,-0.803905, actvprof=,0.075279, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.095001, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.174169, id=,B06, PRDE,actvstrat=,0.878791, actvprof=,1.036956, id=,B07, PRDE,actvstrat=,0.961671, actvprof=,1.181680, id=,B08, PRDE,actvstrat=,-0.261575, actvprof=,1.744187, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,3.572819, id=,B10, PRDE,actvstrat=,-0.047345, actvprof=,5.078670, id=,B11, PRDE,actvstrat=,0.189018, actvprof=,7.167305, id=,S00, PRDE,actvstrat=,0.202935, actvprof=,6.599799, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.932048, id=,S02, PRDE,actvstrat=,0.816321, actvprof=,6.675077, id=,S03, PRDE,actvstrat=,0.176215, actvprof=,2.169747, id=,S04, PRDE,actvstrat=,-0.626043, actvprof=,0.478894, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.725576, id=,S06, PRDE,actvstrat=,0.892091, actvprof=,1.131124, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.570007, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.313337, id=,S09, PRDE,actvstrat=,-0.964760, actvprof=,0.027223, id=,S10, PRDE,actvstrat=,0.506264, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.941673, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.167305, best_B_strat=,0.189018, best_S_id=,S01, best_S_prof=,8.932048, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.686545, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.540115, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.269471, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.667533, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.961671, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.821353, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.768267, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.838965, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.189018, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.335053, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.293343, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.388340, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.687683, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.120865, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.134231, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.776463, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.964760, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.269623, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.906284, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.335053, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.686545, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.540115, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.269471, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.020557, id=,B06, PRDE,actvstrat=,0.667533, actvprof=,0.104449, id=,B07, PRDE,actvstrat=,0.961671, actvprof=,0.505023, id=,B08, PRDE,actvstrat=,0.821353, actvprof=,1.267836, id=,B09, PRDE,actvstrat=,0.768267, actvprof=,2.472614, id=,B10, PRDE,actvstrat=,0.838965, actvprof=,3.988796, id=,B11, PRDE,actvstrat=,0.189018, actvprof=,4.533265, id=,S00, PRDE,actvstrat=,-0.335053, actvprof=,5.242743, id=,S01, PRDE,actvstrat=,-0.293343, actvprof=,3.741284, id=,S02, PRDE,actvstrat=,0.388340, actvprof=,6.375851, id=,S03, PRDE,actvstrat=,-0.687683, actvprof=,1.207000, id=,S04, PRDE,actvstrat=,-0.120865, actvprof=,1.503125, id=,S05, PRDE,actvstrat=,0.134231, actvprof=,1.242558, id=,S06, PRDE,actvstrat=,0.776463, actvprof=,1.616464, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,1.009213, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.544192, id=,S09, PRDE,actvstrat=,-0.964760, actvprof=,0.044447, id=,S10, PRDE,actvstrat=,0.269623, actvprof=,0.002778, id=,S11, PRDE,actvstrat=,0.906284, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.533265, best_B_strat=,0.189018, best_S_id=,S02, best_S_prof=,6.375851, best_S_strat=,0.388340, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.686545, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.540115, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.269471, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.001250, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.019862, id=,B06, PRDE,actvstrat=,0.667533, actvprof=,0.099169, id=,B07, PRDE,actvstrat=,0.961671, actvprof=,0.485150, id=,B08, PRDE,actvstrat=,0.821353, actvprof=,1.233640, id=,B09, PRDE,actvstrat=,0.768267, actvprof=,2.474502, id=,B10, PRDE,actvstrat=,0.838965, actvprof=,3.948980, id=,B11, PRDE,actvstrat=,0.189018, actvprof=,4.517327, id=,S00, PRDE,actvstrat=,-0.335053, actvprof=,5.161647, id=,S01, PRDE,actvstrat=,-0.293343, actvprof=,3.592166, id=,S02, PRDE,actvstrat=,0.388340, actvprof=,6.402648, id=,S03, PRDE,actvstrat=,-0.687683, actvprof=,1.262807, id=,S04, PRDE,actvstrat=,-0.120865, actvprof=,1.352392, id=,S05, PRDE,actvstrat=,0.134231, actvprof=,1.374615, id=,S06, PRDE,actvstrat=,0.776463, actvprof=,1.671983, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,1.040996, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.555568, id=,S09, PRDE,actvstrat=,-0.964760, actvprof=,0.030001, id=,S10, PRDE,actvstrat=,0.269623, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,0.906284, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.517327, best_B_strat=,0.189018, best_S_id=,S02, best_S_prof=,6.402648, best_S_strat=,0.388340, 
