t=,0, id=,B00, PRDE,actvstrat=,-0.586565, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.862336, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.258025, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.118994, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.134223, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.994960, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.732892, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.001788, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.114029, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.960362, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.698534, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.340135, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.273781, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.824508, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.649751, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.586530, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.535749, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.672017, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.505108, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.539972, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.001641, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.180927, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.232331, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.046189, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.586565, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.273781, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.586565, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.862336, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.258025, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.118994, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,-0.134223, actvprof=,0.010555, id=,B05, PRDE,actvstrat=,-0.994960, actvprof=,0.144998, id=,B06, PRDE,actvstrat=,0.732892, actvprof=,0.455273, id=,B07, PRDE,actvstrat=,0.001788, actvprof=,0.418328, id=,B08, PRDE,actvstrat=,0.114029, actvprof=,1.139431, id=,B09, PRDE,actvstrat=,-0.960362, actvprof=,2.691358, id=,B10, PRDE,actvstrat=,0.698534, actvprof=,4.313006, id=,B11, PRDE,actvstrat=,-0.340135, actvprof=,4.299395, id=,S00, PRDE,actvstrat=,-0.273781, actvprof=,5.035775, id=,S01, PRDE,actvstrat=,0.824508, actvprof=,9.783498, id=,S02, PRDE,actvstrat=,-0.649751, actvprof=,1.861367, id=,S03, PRDE,actvstrat=,-0.586530, actvprof=,1.198597, id=,S04, PRDE,actvstrat=,0.535749, actvprof=,3.105520, id=,S05, PRDE,actvstrat=,0.672017, actvprof=,2.254974, id=,S06, PRDE,actvstrat=,-0.505108, actvprof=,0.152498, id=,S07, PRDE,actvstrat=,0.539972, actvprof=,0.416940, id=,S08, PRDE,actvstrat=,0.001641, actvprof=,0.058333, id=,S09, PRDE,actvstrat=,-0.180927, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.232331, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.046189, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.313006, best_B_strat=,0.698534, best_S_id=,S01, best_S_prof=,9.783498, best_S_strat=,0.824508, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.070557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.517609, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.744222, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.119494, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.783236, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.526441, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.443101, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.132922, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.390426, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.766783, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.714073, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.099522, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.089711, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.683455, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.366809, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.642492, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.157684, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.271514, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.908160, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.487832, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.412570, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.790708, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.962944, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.055800, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.070557, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.089711, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.070557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.517609, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.744222, actvprof=,0.006944, id=,B03, PRDE,actvstrat=,-0.119494, actvprof=,0.015833, id=,B04, PRDE,actvstrat=,0.783236, actvprof=,0.195553, id=,B05, PRDE,actvstrat=,-0.526441, actvprof=,0.124999, id=,B06, PRDE,actvstrat=,-0.443101, actvprof=,0.344718, id=,B07, PRDE,actvstrat=,-0.132922, actvprof=,0.945545, id=,B08, PRDE,actvstrat=,-0.390426, actvprof=,1.506649, id=,B09, PRDE,actvstrat=,0.766783, actvprof=,4.235784, id=,B10, PRDE,actvstrat=,-0.714073, actvprof=,4.108008, id=,B11, PRDE,actvstrat=,0.099522, actvprof=,6.533535, id=,S00, PRDE,actvstrat=,0.089711, actvprof=,5.657990, id=,S01, PRDE,actvstrat=,-0.683455, actvprof=,1.935533, id=,S02, PRDE,actvstrat=,0.366809, actvprof=,4.414671, id=,S03, PRDE,actvstrat=,0.642492, actvprof=,3.472460, id=,S04, PRDE,actvstrat=,-0.157684, actvprof=,0.585827, id=,S05, PRDE,actvstrat=,0.271514, actvprof=,0.756658, id=,S06, PRDE,actvstrat=,0.908160, actvprof=,1.544149, id=,S07, PRDE,actvstrat=,0.487832, actvprof=,0.200831, id=,S08, PRDE,actvstrat=,0.412570, actvprof=,0.077777, id=,S09, PRDE,actvstrat=,-0.790708, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,-0.962944, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.055800, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.533535, best_B_strat=,0.099522, best_S_id=,S00, best_S_prof=,5.657990, best_S_strat=,0.089711, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.070557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.517609, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.744222, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.906064, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.544188, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.619885, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.194689, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.676317, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.698288, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.414968, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.256048, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.997078, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.150258, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.824508, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.585548, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.606994, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.324877, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.648498, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.332117, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.733932, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.905062, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.908015, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.091573, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.856468, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.070557, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.150258, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.070557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.517609, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.744222, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.906064, actvprof=,0.025556, id=,B04, PRDE,actvstrat=,-0.544188, actvprof=,0.016667, id=,B05, PRDE,actvstrat=,0.619885, actvprof=,0.341389, id=,B06, PRDE,actvstrat=,0.194689, actvprof=,0.540278, id=,B07, PRDE,actvstrat=,-0.676317, actvprof=,0.756944, id=,B08, PRDE,actvstrat=,-0.698288, actvprof=,1.601389, id=,B09, PRDE,actvstrat=,-0.414968, actvprof=,2.796667, id=,B10, PRDE,actvstrat=,-0.256048, actvprof=,3.810000, id=,B11, PRDE,actvstrat=,-0.997078, actvprof=,8.472778, id=,S00, PRDE,actvstrat=,-0.150258, actvprof=,3.760000, id=,S01, PRDE,actvstrat=,0.824508, actvprof=,7.820556, id=,S02, PRDE,actvstrat=,0.585548, actvprof=,4.228889, id=,S03, PRDE,actvstrat=,-0.606994, actvprof=,0.520278, id=,S04, PRDE,actvstrat=,-0.324877, actvprof=,0.272778, id=,S05, PRDE,actvstrat=,0.648498, actvprof=,0.763889, id=,S06, PRDE,actvstrat=,0.332117, actvprof=,0.169722, id=,S07, PRDE,actvstrat=,0.733932, actvprof=,0.080833, id=,S08, PRDE,actvstrat=,0.905062, actvprof=,0.048333, id=,S09, PRDE,actvstrat=,0.908015, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,0.091573, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.856468, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.472778, best_B_strat=,-0.997078, best_S_id=,S01, best_S_prof=,7.820556, best_S_strat=,0.824508, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.070557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.517609, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.744222, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.906064, actvprof=,0.023056, id=,B04, PRDE,actvstrat=,-0.544188, actvprof=,0.016945, id=,B05, PRDE,actvstrat=,0.619885, actvprof=,0.301668, id=,B06, PRDE,actvstrat=,0.194689, actvprof=,0.598615, id=,B07, PRDE,actvstrat=,-0.676317, actvprof=,0.772088, id=,B08, PRDE,actvstrat=,-0.698288, actvprof=,1.546537, id=,B09, PRDE,actvstrat=,-0.414968, actvprof=,2.645015, id=,B10, PRDE,actvstrat=,-0.256048, actvprof=,3.889745, id=,B11, PRDE,actvstrat=,-0.997078, actvprof=,8.557966, id=,S00, PRDE,actvstrat=,-0.150258, actvprof=,3.684744, id=,S01, PRDE,actvstrat=,0.824508, actvprof=,7.734906, id=,S02, PRDE,actvstrat=,0.585548, actvprof=,4.382942, id=,S03, PRDE,actvstrat=,-0.606994, actvprof=,0.530698, id=,S04, PRDE,actvstrat=,-0.324877, actvprof=,0.265279, id=,S05, PRDE,actvstrat=,0.648498, actvprof=,0.761532, id=,S06, PRDE,actvstrat=,0.332117, actvprof=,0.129029, id=,S07, PRDE,actvstrat=,0.733932, actvprof=,0.086250, id=,S08, PRDE,actvstrat=,0.905062, actvprof=,0.035139, id=,S09, PRDE,actvstrat=,0.908015, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,0.091573, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.856468, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.557966, best_B_strat=,-0.997078, best_S_id=,S01, best_S_prof=,7.734906, best_S_strat=,0.824508, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.787872, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.459272, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.244496, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.356267, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,0.025000, actvprof=,0.058612, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.203058, id=,B06, PRDE,actvstrat=,-0.528940, actvprof=,0.408060, id=,B07, PRDE,actvstrat=,-0.573179, actvprof=,0.831676, id=,B08, PRDE,actvstrat=,0.074149, actvprof=,2.110024, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,3.897545, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.938414, id=,B11, PRDE,actvstrat=,0.350435, actvprof=,7.591755, id=,S00, PRDE,actvstrat=,-0.498233, actvprof=,3.121703, id=,S01, PRDE,actvstrat=,0.895915, actvprof=,8.087594, id=,S02, PRDE,actvstrat=,0.399646, actvprof=,3.763655, id=,S03, PRDE,actvstrat=,-0.068371, actvprof=,1.160291, id=,S04, PRDE,actvstrat=,0.075248, actvprof=,0.773898, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.691976, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.430850, id=,S07, PRDE,actvstrat=,0.427427, actvprof=,0.071112, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.143057, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.157594, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.591755, best_B_strat=,0.350435, best_S_id=,S01, best_S_prof=,8.087594, best_S_strat=,0.895915, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.787872, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.459272, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.244496, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.356267, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,0.025000, actvprof=,0.073750, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.189029, id=,B06, PRDE,actvstrat=,-0.528940, actvprof=,0.395141, id=,B07, PRDE,actvstrat=,-0.573179, actvprof=,0.890144, id=,B08, PRDE,actvstrat=,0.074149, actvprof=,2.043345, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,3.880022, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.900318, id=,B11, PRDE,actvstrat=,0.350435, actvprof=,7.516988, id=,S00, PRDE,actvstrat=,-0.498233, actvprof=,3.191963, id=,S01, PRDE,actvstrat=,0.895915, actvprof=,8.162686, id=,S02, PRDE,actvstrat=,0.399646, actvprof=,3.836411, id=,S03, PRDE,actvstrat=,-0.068371, actvprof=,1.233618, id=,S04, PRDE,actvstrat=,0.075248, actvprof=,0.873199, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.705155, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.429036, id=,S07, PRDE,actvstrat=,0.427427, actvprof=,0.078473, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.147918, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.157594, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.516988, best_B_strat=,0.350435, best_S_id=,S01, best_S_prof=,8.162686, best_S_strat=,0.895915, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.965166, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.543072, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.102544, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.119494, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.489186, actvprof=,0.050556, id=,B05, PRDE,actvstrat=,0.397167, actvprof=,0.175835, id=,B06, PRDE,actvstrat=,-0.313254, actvprof=,0.245003, id=,B07, PRDE,actvstrat=,-0.167341, actvprof=,0.694175, id=,B08, PRDE,actvstrat=,0.074149, actvprof=,1.975856, id=,B09, PRDE,actvstrat=,-0.328759, actvprof=,2.488640, id=,B10, PRDE,actvstrat=,-0.714073, actvprof=,3.270871, id=,B11, PRDE,actvstrat=,0.513463, actvprof=,7.308973, id=,S00, PRDE,actvstrat=,-0.498233, actvprof=,3.060869, id=,S01, PRDE,actvstrat=,-0.207066, actvprof=,2.294471, id=,S02, PRDE,actvstrat=,0.399646, actvprof=,3.930601, id=,S03, PRDE,actvstrat=,-0.828695, actvprof=,0.271670, id=,S04, PRDE,actvstrat=,0.535749, actvprof=,1.852799, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.748076, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.775565, id=,S07, PRDE,actvstrat=,0.427427, actvprof=,0.163057, id=,S08, PRDE,actvstrat=,-0.705097, actvprof=,0.006111, id=,S09, PRDE,actvstrat=,-0.645445, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.962944, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.308973, best_B_strat=,0.513463, best_S_id=,S02, best_S_prof=,3.930601, best_S_strat=,0.399646, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.965166, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.543072, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.102544, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.119494, actvprof=,0.004306, id=,B04, PRDE,actvstrat=,0.489186, actvprof=,0.057223, id=,B05, PRDE,actvstrat=,0.397167, actvprof=,0.178334, id=,B06, PRDE,actvstrat=,-0.313254, actvprof=,0.246946, id=,B07, PRDE,actvstrat=,-0.167341, actvprof=,0.753199, id=,B08, PRDE,actvstrat=,0.074149, actvprof=,1.953484, id=,B09, PRDE,actvstrat=,-0.328759, actvprof=,2.330291, id=,B10, PRDE,actvstrat=,-0.714073, actvprof=,3.420436, id=,B11, PRDE,actvstrat=,0.513463, actvprof=,7.444071, id=,S00, PRDE,actvstrat=,-0.498233, actvprof=,2.969462, id=,S01, PRDE,actvstrat=,-0.207066, actvprof=,2.392236, id=,S02, PRDE,actvstrat=,0.399646, actvprof=,3.842244, id=,S03, PRDE,actvstrat=,-0.828695, actvprof=,0.279307, id=,S04, PRDE,actvstrat=,0.535749, actvprof=,1.816399, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.755427, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.768616, id=,S07, PRDE,actvstrat=,0.427427, actvprof=,0.153612, id=,S08, PRDE,actvstrat=,-0.705097, actvprof=,0.003056, id=,S09, PRDE,actvstrat=,-0.645445, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.962944, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.444071, best_B_strat=,0.513463, best_S_id=,S02, best_S_prof=,3.842244, best_S_strat=,0.399646, 
