t=,1, id=,B00, PRDE,actvstrat=,0.283111, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.856916, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.934759, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.863294, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.120323, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.764137, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.507629, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.017610, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.069876, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.084423, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.320853, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.065055, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.558041, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.386805, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.020452, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.506251, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.335897, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.112827, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.779591, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.380830, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.959114, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.320579, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.348159, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.068491, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.283111, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.558041, 
t=,3600, id=,B00, PRDE,actvstrat=,0.283111, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.856916, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.934759, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.863294, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.120323, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,-0.764137, actvprof=,0.033333, id=,B06, PRDE,actvstrat=,-0.507629, actvprof=,0.161665, id=,B07, PRDE,actvstrat=,-0.017610, actvprof=,0.396662, id=,B08, PRDE,actvstrat=,-0.069876, actvprof=,0.769713, id=,B09, PRDE,actvstrat=,-0.084423, actvprof=,1.593870, id=,B10, PRDE,actvstrat=,-0.320853, actvprof=,2.209697, id=,B11, PRDE,actvstrat=,-0.065055, actvprof=,3.778012, id=,S00, PRDE,actvstrat=,-0.558041, actvprof=,2.832467, id=,S01, PRDE,actvstrat=,-0.386805, actvprof=,2.013310, id=,S02, PRDE,actvstrat=,0.020452, actvprof=,3.267740, id=,S03, PRDE,actvstrat=,-0.506251, actvprof=,0.768047, id=,S04, PRDE,actvstrat=,-0.335897, actvprof=,0.371940, id=,S05, PRDE,actvstrat=,0.112827, actvprof=,0.953878, id=,S06, PRDE,actvstrat=,0.779591, actvprof=,1.121098, id=,S07, PRDE,actvstrat=,-0.380830, actvprof=,0.029444, id=,S08, PRDE,actvstrat=,-0.959114, actvprof=,0.055833, id=,S09, PRDE,actvstrat=,0.320579, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,-0.348159, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.068491, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.778012, best_B_strat=,-0.065055, best_S_id=,S02, best_S_prof=,3.267740, best_S_strat=,0.020452, 
t=,7200, id=,B00, PRDE,actvstrat=,0.987883, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.585241, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.525114, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.064413, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.301625, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.153168, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.380050, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.966066, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.498982, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.772509, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.872242, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.171134, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.205058, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.893678, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.530944, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.093127, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.656903, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.925771, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.590565, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.073753, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.701131, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.601000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.801293, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.176038, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.987883, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.205058, 
t=,10800, id=,B00, PRDE,actvstrat=,0.987883, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.585241, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.525114, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.064413, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,-0.301625, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.153168, actvprof=,0.014722, id=,B06, PRDE,actvstrat=,-0.380050, actvprof=,0.037777, id=,B07, PRDE,actvstrat=,0.966066, actvprof=,0.433051, id=,B08, PRDE,actvstrat=,-0.498982, actvprof=,0.344163, id=,B09, PRDE,actvstrat=,0.772509, actvprof=,1.760257, id=,B10, PRDE,actvstrat=,-0.872242, actvprof=,1.808312, id=,B11, PRDE,actvstrat=,0.171134, actvprof=,3.011632, id=,S00, PRDE,actvstrat=,0.205058, actvprof=,9.088506, id=,S01, PRDE,actvstrat=,-0.893678, actvprof=,0.466106, id=,S02, PRDE,actvstrat=,-0.530944, actvprof=,2.340251, id=,S03, PRDE,actvstrat=,-0.093127, actvprof=,2.458860, id=,S04, PRDE,actvstrat=,0.656903, actvprof=,4.553281, id=,S05, PRDE,actvstrat=,-0.925771, actvprof=,0.135554, id=,S06, PRDE,actvstrat=,-0.590565, actvprof=,0.129443, id=,S07, PRDE,actvstrat=,0.073753, actvprof=,0.324996, id=,S08, PRDE,actvstrat=,0.701131, actvprof=,0.322496, id=,S09, PRDE,actvstrat=,-0.601000, actvprof=,0.008333, id=,S10, PRDE,actvstrat=,0.801293, actvprof=,0.026666, id=,S11, PRDE,actvstrat=,0.176038, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.011632, best_B_strat=,0.171134, best_S_id=,S00, best_S_prof=,9.088506, best_S_strat=,0.205058, 
t=,14400, id=,B00, PRDE,actvstrat=,0.728454, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.114664, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.173832, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.823800, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.595532, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.932101, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.507629, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.998944, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.497192, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.268497, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.345960, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.744147, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.620317, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.741626, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.530944, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.632247, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.730123, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.240521, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.178310, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.042666, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.696306, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.243235, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.215274, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.770618, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.728454, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.620317, 
t=,18000, id=,B00, PRDE,actvstrat=,0.728454, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.114664, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.173832, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.823800, actvprof=,0.008333, id=,B04, PRDE,actvstrat=,-0.595532, actvprof=,0.006111, id=,B05, PRDE,actvstrat=,-0.932101, actvprof=,0.124444, id=,B06, PRDE,actvstrat=,-0.507629, actvprof=,0.076667, id=,B07, PRDE,actvstrat=,-0.998944, actvprof=,0.797222, id=,B08, PRDE,actvstrat=,0.497192, actvprof=,0.988889, id=,B09, PRDE,actvstrat=,0.268497, actvprof=,1.683889, id=,B10, PRDE,actvstrat=,-0.345960, actvprof=,1.660000, id=,B11, PRDE,actvstrat=,0.744147, actvprof=,4.481944, id=,S00, PRDE,actvstrat=,-0.620317, actvprof=,3.882778, id=,S01, PRDE,actvstrat=,0.741626, actvprof=,10.595556, id=,S02, PRDE,actvstrat=,-0.530944, actvprof=,2.172778, id=,S03, PRDE,actvstrat=,-0.632247, actvprof=,1.165278, id=,S04, PRDE,actvstrat=,0.730123, actvprof=,4.842500, id=,S05, PRDE,actvstrat=,-0.240521, actvprof=,0.589722, id=,S06, PRDE,actvstrat=,0.178310, actvprof=,0.886944, id=,S07, PRDE,actvstrat=,0.042666, actvprof=,0.335833, id=,S08, PRDE,actvstrat=,-0.696306, actvprof=,0.018889, id=,S09, PRDE,actvstrat=,0.243235, actvprof=,0.068056, id=,S10, PRDE,actvstrat=,0.215274, actvprof=,0.010556, id=,S11, PRDE,actvstrat=,-0.770618, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.481944, best_B_strat=,0.744147, best_S_id=,S01, best_S_prof=,10.595556, best_S_strat=,0.741626, 
t=,21600, id=,B00, PRDE,actvstrat=,0.728454, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.114664, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.173832, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.823800, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-0.595532, actvprof=,0.006806, id=,B05, PRDE,actvstrat=,-0.932101, actvprof=,0.127223, id=,B06, PRDE,actvstrat=,-0.507629, actvprof=,0.093751, id=,B07, PRDE,actvstrat=,-0.998944, actvprof=,0.801116, id=,B08, PRDE,actvstrat=,0.497192, actvprof=,1.014311, id=,B09, PRDE,actvstrat=,0.268497, actvprof=,1.627093, id=,B10, PRDE,actvstrat=,-0.345960, actvprof=,1.725982, id=,B11, PRDE,actvstrat=,0.744147, actvprof=,4.382248, id=,S00, PRDE,actvstrat=,-0.620317, actvprof=,3.769883, id=,S01, PRDE,actvstrat=,0.741626, actvprof=,10.557006, id=,S02, PRDE,actvstrat=,-0.530944, actvprof=,2.076540, id=,S03, PRDE,actvstrat=,-0.632247, actvprof=,1.131534, id=,S04, PRDE,actvstrat=,0.730123, actvprof=,5.018779, id=,S05, PRDE,actvstrat=,-0.240521, actvprof=,0.605004, id=,S06, PRDE,actvstrat=,0.178310, actvprof=,0.889311, id=,S07, PRDE,actvstrat=,0.042666, actvprof=,0.385558, id=,S08, PRDE,actvstrat=,-0.696306, actvprof=,0.016528, id=,S09, PRDE,actvstrat=,0.243235, actvprof=,0.078473, id=,S10, PRDE,actvstrat=,0.215274, actvprof=,0.010556, id=,S11, PRDE,actvstrat=,-0.770618, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.382248, best_B_strat=,0.744147, best_S_id=,S01, best_S_prof=,10.557006, best_S_strat=,0.741626, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.783282, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.041207, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.520855, actvprof=,0.009167, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.222503, id=,B06, PRDE,actvstrat=,0.362938, actvprof=,0.332782, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.826132, id=,B08, PRDE,actvstrat=,-0.525306, actvprof=,0.817232, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.646720, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,5.700344, id=,B11, PRDE,actvstrat=,0.155175, actvprof=,6.183683, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.418130, id=,S01, PRDE,actvstrat=,-0.329418, actvprof=,1.846688, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.628699, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.278672, id=,S04, PRDE,actvstrat=,-0.223159, actvprof=,0.320004, id=,S05, PRDE,actvstrat=,0.686750, actvprof=,1.035845, id=,S06, PRDE,actvstrat=,-0.058772, actvprof=,0.054723, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.373060, id=,S08, PRDE,actvstrat=,-0.638942, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.030556, id=,S10, PRDE,actvstrat=,0.582193, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.183683, best_B_strat=,0.155175, best_S_id=,S02, best_S_prof=,7.628699, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.783282, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.041207, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,-0.520855, actvprof=,0.005278, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.233474, id=,B06, PRDE,actvstrat=,0.362938, actvprof=,0.293335, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.724316, id=,B08, PRDE,actvstrat=,-0.525306, actvprof=,0.779310, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.689888, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,5.721839, id=,B11, PRDE,actvstrat=,0.155175, actvprof=,5.955034, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.555177, id=,S01, PRDE,actvstrat=,-0.329418, actvprof=,1.777927, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.596433, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.355448, id=,S04, PRDE,actvstrat=,-0.223159, actvprof=,0.283474, id=,S05, PRDE,actvstrat=,0.686750, actvprof=,1.016117, id=,S06, PRDE,actvstrat=,-0.058772, actvprof=,0.051667, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.356391, id=,S08, PRDE,actvstrat=,-0.638942, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.017361, id=,S10, PRDE,actvstrat=,0.582193, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.955034, best_B_strat=,0.155175, best_S_id=,S02, best_S_prof=,7.596433, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.913501, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.900878, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.863294, actvprof=,0.035834, id=,B04, PRDE,actvstrat=,-0.120323, actvprof=,0.013056, id=,B05, PRDE,actvstrat=,0.787855, actvprof=,0.720564, id=,B06, PRDE,actvstrat=,0.362938, actvprof=,0.962511, id=,B07, PRDE,actvstrat=,0.966066, actvprof=,1.485295, id=,B08, PRDE,actvstrat=,-0.660664, actvprof=,1.929189, id=,B09, PRDE,actvstrat=,-0.620071, actvprof=,3.421706, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,7.658144, id=,B11, PRDE,actvstrat=,0.813988, actvprof=,8.527043, id=,S00, PRDE,actvstrat=,-0.383147, actvprof=,2.169747, id=,S01, PRDE,actvstrat=,0.741626, actvprof=,7.153694, id=,S02, PRDE,actvstrat=,0.334236, actvprof=,3.117814, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.052547, id=,S04, PRDE,actvstrat=,0.936284, actvprof=,3.027813, id=,S05, PRDE,actvstrat=,0.112827, actvprof=,0.419449, id=,S06, PRDE,actvstrat=,0.779591, actvprof=,0.434172, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.381393, id=,S08, PRDE,actvstrat=,0.991009, actvprof=,0.109168, id=,S09, PRDE,actvstrat=,0.243235, actvprof=,0.007778, id=,S10, PRDE,actvstrat=,0.215274, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,-0.819625, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.527043, best_B_strat=,0.813988, best_S_id=,S01, best_S_prof=,7.153694, best_S_strat=,0.741626, 
t=,36000, id=,B00, PRDE,actvstrat=,0.913501, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.900878, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.863294, actvprof=,0.038611, id=,B04, PRDE,actvstrat=,-0.120323, actvprof=,0.027500, id=,B05, PRDE,actvstrat=,0.787855, actvprof=,0.726667, id=,B06, PRDE,actvstrat=,0.362938, actvprof=,0.980694, id=,B07, PRDE,actvstrat=,0.966066, actvprof=,1.454583, id=,B08, PRDE,actvstrat=,-0.660664, actvprof=,2.047361, id=,B09, PRDE,actvstrat=,-0.620071, actvprof=,3.417639, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,7.740972, id=,B11, PRDE,actvstrat=,0.813988, actvprof=,8.309722, id=,S00, PRDE,actvstrat=,-0.383147, actvprof=,2.329167, id=,S01, PRDE,actvstrat=,0.741626, actvprof=,7.180139, id=,S02, PRDE,actvstrat=,0.334236, actvprof=,3.110694, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.932778, id=,S04, PRDE,actvstrat=,0.936284, actvprof=,3.020417, id=,S05, PRDE,actvstrat=,0.112827, actvprof=,0.396944, id=,S06, PRDE,actvstrat=,0.779591, actvprof=,0.471250, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.400000, id=,S08, PRDE,actvstrat=,0.991009, actvprof=,0.138611, id=,S09, PRDE,actvstrat=,0.243235, actvprof=,0.007917, id=,S10, PRDE,actvstrat=,0.215274, actvprof=,0.002083, id=,S11, PRDE,actvstrat=,-0.819625, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.309722, best_B_strat=,0.813988, best_S_id=,S01, best_S_prof=,7.180139, best_S_strat=,0.741626, 
