t=,1, id=,B00, PRDE,actvstrat=,-0.069179, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.237319, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.808263, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.089700, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.454097, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.269947, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.828926, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.691525, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.384543, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.398015, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.501921, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.269530, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.206657, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.635050, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.197242, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.722661, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.789555, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.364370, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.488140, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.391731, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.991786, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.509365, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.867746, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.855334, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.069179, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.206657, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.069179, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.237319, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.808263, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.089700, actvprof=,0.010833, id=,B04, PRDE,actvstrat=,-0.454097, actvprof=,0.025833, id=,B05, PRDE,actvstrat=,0.269947, actvprof=,0.174442, id=,B06, PRDE,actvstrat=,0.828926, actvprof=,1.019988, id=,B07, PRDE,actvstrat=,0.691525, actvprof=,1.756369, id=,B08, PRDE,actvstrat=,-0.384543, actvprof=,1.423317, id=,B09, PRDE,actvstrat=,-0.398015, actvprof=,2.233863, id=,B10, PRDE,actvstrat=,-0.501921, actvprof=,3.561070, id=,B11, PRDE,actvstrat=,0.269530, actvprof=,6.074374, id=,S00, PRDE,actvstrat=,-0.206657, actvprof=,4.746890, id=,S01, PRDE,actvstrat=,0.635050, actvprof=,7.954908, id=,S02, PRDE,actvstrat=,0.197242, actvprof=,4.431060, id=,S03, PRDE,actvstrat=,0.722661, actvprof=,4.563003, id=,S04, PRDE,actvstrat=,-0.789555, actvprof=,0.394162, id=,S05, PRDE,actvstrat=,-0.364370, actvprof=,0.224720, id=,S06, PRDE,actvstrat=,-0.488140, actvprof=,0.067499, id=,S07, PRDE,actvstrat=,0.391731, actvprof=,0.131943, id=,S08, PRDE,actvstrat=,0.991786, actvprof=,0.211386, id=,S09, PRDE,actvstrat=,-0.509365, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.867746, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.855334, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.074374, best_B_strat=,0.269530, best_S_id=,S01, best_S_prof=,7.954908, best_S_strat=,0.635050, 
t=,7200, id=,B00, PRDE,actvstrat=,0.953012, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.005556, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.428438, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.787316, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.407114, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.201710, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.064344, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.788361, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.639037, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.126418, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.935739, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.331900, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.978715, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.662410, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.674293, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.340079, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.354553, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.784935, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.839148, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.924620, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.647485, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.619702, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.557307, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.690457, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.953012, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.978715, 
t=,10800, id=,B00, PRDE,actvstrat=,0.953012, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.005556, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.428438, actvprof=,0.016111, id=,B03, PRDE,actvstrat=,-0.787316, actvprof=,0.071110, id=,B04, PRDE,actvstrat=,0.407114, actvprof=,0.195553, id=,B05, PRDE,actvstrat=,-0.201710, actvprof=,0.208331, id=,B06, PRDE,actvstrat=,0.064344, actvprof=,0.459439, id=,B07, PRDE,actvstrat=,0.788361, actvprof=,1.484705, id=,B08, PRDE,actvstrat=,0.639037, actvprof=,1.937200, id=,B09, PRDE,actvstrat=,0.126418, actvprof=,2.648025, id=,B10, PRDE,actvstrat=,0.935739, actvprof=,3.213574, id=,B11, PRDE,actvstrat=,0.331900, actvprof=,5.556047, id=,S00, PRDE,actvstrat=,0.978715, actvprof=,11.432645, id=,S01, PRDE,actvstrat=,-0.662410, actvprof=,3.467460, id=,S02, PRDE,actvstrat=,-0.674293, actvprof=,2.784968, id=,S03, PRDE,actvstrat=,-0.340079, actvprof=,2.039421, id=,S04, PRDE,actvstrat=,0.354553, actvprof=,3.106353, id=,S05, PRDE,actvstrat=,0.784935, actvprof=,3.603014, id=,S06, PRDE,actvstrat=,0.839148, actvprof=,2.661914, id=,S07, PRDE,actvstrat=,-0.924620, actvprof=,0.329441, id=,S08, PRDE,actvstrat=,-0.647485, actvprof=,0.018055, id=,S09, PRDE,actvstrat=,0.619702, actvprof=,0.091110, id=,S10, PRDE,actvstrat=,-0.557307, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.690457, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.556047, best_B_strat=,0.331900, best_S_id=,S00, best_S_prof=,11.432645, best_S_strat=,0.978715, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.691390, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.773057, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.664631, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.183754, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.323926, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.829711, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.828926, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.788361, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.639037, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.904778, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.015718, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.410330, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.396018, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.077990, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.467720, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.247904, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.354553, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.518319, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.134197, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.194144, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.991786, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.418763, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.434255, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.690457, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.691390, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.396018, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.691390, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.773057, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.664631, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,0.183754, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.323926, actvprof=,0.013056, id=,B05, PRDE,actvstrat=,-0.829711, actvprof=,0.153056, id=,B06, PRDE,actvstrat=,0.828926, actvprof=,0.576389, id=,B07, PRDE,actvstrat=,0.788361, actvprof=,1.228333, id=,B08, PRDE,actvstrat=,0.639037, actvprof=,1.780000, id=,B09, PRDE,actvstrat=,0.904778, actvprof=,2.465556, id=,B10, PRDE,actvstrat=,-0.015718, actvprof=,3.020000, id=,B11, PRDE,actvstrat=,-0.410330, actvprof=,4.022222, id=,S00, PRDE,actvstrat=,0.396018, actvprof=,9.004444, id=,S01, PRDE,actvstrat=,0.077990, actvprof=,6.634722, id=,S02, PRDE,actvstrat=,-0.467720, actvprof=,2.530833, id=,S03, PRDE,actvstrat=,-0.247904, actvprof=,1.694722, id=,S04, PRDE,actvstrat=,0.354553, actvprof=,2.730833, id=,S05, PRDE,actvstrat=,0.518319, actvprof=,2.011111, id=,S06, PRDE,actvstrat=,-0.134197, actvprof=,0.248333, id=,S07, PRDE,actvstrat=,0.194144, actvprof=,0.226944, id=,S08, PRDE,actvstrat=,0.991786, actvprof=,0.376667, id=,S09, PRDE,actvstrat=,0.418763, actvprof=,0.007222, id=,S10, PRDE,actvstrat=,-0.434255, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.690457, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.022222, best_B_strat=,-0.410330, best_S_id=,S00, best_S_prof=,9.004444, best_S_strat=,0.396018, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.691390, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.773057, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.664631, actvprof=,0.006111, id=,B03, PRDE,actvstrat=,0.183754, actvprof=,0.002083, id=,B04, PRDE,actvstrat=,-0.323926, actvprof=,0.011945, id=,B05, PRDE,actvstrat=,-0.829711, actvprof=,0.138195, id=,B06, PRDE,actvstrat=,0.828926, actvprof=,0.615004, id=,B07, PRDE,actvstrat=,0.788361, actvprof=,1.130284, id=,B08, PRDE,actvstrat=,0.639037, actvprof=,1.745843, id=,B09, PRDE,actvstrat=,0.904778, actvprof=,2.505570, id=,B10, PRDE,actvstrat=,-0.015718, actvprof=,2.994601, id=,B11, PRDE,actvstrat=,-0.410330, actvprof=,4.113635, id=,S00, PRDE,actvstrat=,0.396018, actvprof=,9.414777, id=,S01, PRDE,actvstrat=,0.077990, actvprof=,6.550871, id=,S02, PRDE,actvstrat=,-0.467720, actvprof=,2.527098, id=,S03, PRDE,actvstrat=,-0.247904, actvprof=,1.687371, id=,S04, PRDE,actvstrat=,0.354553, actvprof=,2.635571, id=,S05, PRDE,actvstrat=,0.518319, actvprof=,1.997789, id=,S06, PRDE,actvstrat=,-0.134197, actvprof=,0.243057, id=,S07, PRDE,actvstrat=,0.194144, actvprof=,0.212085, id=,S08, PRDE,actvstrat=,0.991786, actvprof=,0.366669, id=,S09, PRDE,actvstrat=,0.418763, actvprof=,0.006389, id=,S10, PRDE,actvstrat=,-0.434255, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.690457, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.113635, best_B_strat=,-0.410330, best_S_id=,S00, best_S_prof=,9.414777, best_S_strat=,0.396018, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.040751, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.593962, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.355751, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.351158, actvprof=,0.012778, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.165835, id=,B06, PRDE,actvstrat=,0.692901, actvprof=,0.420005, id=,B07, PRDE,actvstrat=,-0.661030, actvprof=,0.415838, id=,B08, PRDE,actvstrat=,0.539986, actvprof=,1.726687, id=,B09, PRDE,actvstrat=,-0.308991, actvprof=,1.600574, id=,B10, PRDE,actvstrat=,-0.201353, actvprof=,3.067813, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,6.934247, id=,S00, PRDE,actvstrat=,-0.162388, actvprof=,4.587553, id=,S01, PRDE,actvstrat=,0.234743, actvprof=,5.721733, id=,S02, PRDE,actvstrat=,-0.947122, actvprof=,0.946955, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.846179, id=,S04, PRDE,actvstrat=,0.355876, actvprof=,1.655852, id=,S05, PRDE,actvstrat=,-0.675407, actvprof=,0.186391, id=,S06, PRDE,actvstrat=,0.324969, actvprof=,0.272503, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.821121, id=,S08, PRDE,actvstrat=,-0.024828, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.037778, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.934247, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,5.846179, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.040751, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.593962, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,-0.355751, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.351158, actvprof=,0.012917, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.137084, id=,B06, PRDE,actvstrat=,0.692901, actvprof=,0.429586, id=,B07, PRDE,actvstrat=,-0.661030, actvprof=,0.363335, id=,B08, PRDE,actvstrat=,0.539986, actvprof=,1.654871, id=,B09, PRDE,actvstrat=,-0.308991, actvprof=,1.567092, id=,B10, PRDE,actvstrat=,-0.201353, actvprof=,3.056268, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,6.938235, id=,S00, PRDE,actvstrat=,-0.162388, actvprof=,4.740027, id=,S01, PRDE,actvstrat=,0.234743, actvprof=,5.572393, id=,S02, PRDE,actvstrat=,-0.947122, actvprof=,1.164312, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.874617, id=,S04, PRDE,actvstrat=,0.355876, actvprof=,1.698621, id=,S05, PRDE,actvstrat=,-0.675407, actvprof=,0.171807, id=,S06, PRDE,actvstrat=,0.324969, actvprof=,0.267224, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.849033, id=,S08, PRDE,actvstrat=,-0.024828, actvprof=,0.004722, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.036389, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.938235, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,5.874617, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.706748, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.397563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.664631, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.355751, actvprof=,0.005834, id=,B04, PRDE,actvstrat=,0.407114, actvprof=,0.072780, id=,B05, PRDE,actvstrat=,-0.619198, actvprof=,0.100281, id=,B06, PRDE,actvstrat=,0.963188, actvprof=,0.765304, id=,B07, PRDE,actvstrat=,-0.957345, actvprof=,1.659502, id=,B08, PRDE,actvstrat=,-0.943674, actvprof=,2.353137, id=,B09, PRDE,actvstrat=,-0.308991, actvprof=,2.568423, id=,B10, PRDE,actvstrat=,0.532799, actvprof=,4.990729, id=,B11, PRDE,actvstrat=,0.045121, actvprof=,6.019653, id=,S00, PRDE,actvstrat=,0.059448, actvprof=,6.932741, id=,S01, PRDE,actvstrat=,0.635050, actvprof=,7.906108, id=,S02, PRDE,actvstrat=,-0.467720, actvprof=,1.688670, id=,S03, PRDE,actvstrat=,0.722661, actvprof=,4.769054, id=,S04, PRDE,actvstrat=,0.782457, actvprof=,3.607625, id=,S05, PRDE,actvstrat=,0.124548, actvprof=,0.989479, id=,S06, PRDE,actvstrat=,0.324969, actvprof=,0.349457, id=,S07, PRDE,actvstrat=,0.437020, actvprof=,0.329178, id=,S08, PRDE,actvstrat=,0.655331, actvprof=,0.166672, id=,S09, PRDE,actvstrat=,0.619702, actvprof=,0.016112, id=,S10, PRDE,actvstrat=,-0.557307, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.330966, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.019653, best_B_strat=,0.045121, best_S_id=,S01, best_S_prof=,7.906108, best_S_strat=,0.635050, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.706748, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.397563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.664631, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,-0.355751, actvprof=,0.014722, id=,B04, PRDE,actvstrat=,0.407114, actvprof=,0.065001, id=,B05, PRDE,actvstrat=,-0.619198, actvprof=,0.111946, id=,B06, PRDE,actvstrat=,0.963188, actvprof=,0.746263, id=,B07, PRDE,actvstrat=,-0.957345, actvprof=,1.626834, id=,B08, PRDE,actvstrat=,-0.943674, actvprof=,2.315874, id=,B09, PRDE,actvstrat=,-0.308991, actvprof=,2.613518, id=,B10, PRDE,actvstrat=,0.532799, actvprof=,5.081755, id=,B11, PRDE,actvstrat=,0.045121, actvprof=,6.026216, id=,S00, PRDE,actvstrat=,0.059448, actvprof=,6.911509, id=,S01, PRDE,actvstrat=,0.635050, actvprof=,8.039862, id=,S02, PRDE,actvstrat=,-0.467720, actvprof=,1.983229, id=,S03, PRDE,actvstrat=,0.722661, actvprof=,4.772861, id=,S04, PRDE,actvstrat=,0.782457, actvprof=,3.537284, id=,S05, PRDE,actvstrat=,0.124548, actvprof=,0.970156, id=,S06, PRDE,actvstrat=,0.324969, actvprof=,0.452786, id=,S07, PRDE,actvstrat=,0.437020, actvprof=,0.292366, id=,S08, PRDE,actvstrat=,0.655331, actvprof=,0.155419, id=,S09, PRDE,actvstrat=,0.619702, actvprof=,0.024167, id=,S10, PRDE,actvstrat=,-0.557307, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.330966, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.026216, best_B_strat=,0.045121, best_S_id=,S01, best_S_prof=,8.039862, best_S_strat=,0.635050, 
