t=,0, id=,B00, PRDE,actvstrat=,0.071052, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.880315, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.869657, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.374045, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.177886, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.178394, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.206765, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.970268, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.016720, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.033187, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.924537, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.439775, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.265205, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.768796, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.544324, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.875245, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.243991, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.337447, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.995987, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.816535, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.796883, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.873398, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.716489, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.282130, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.071052, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.265205, 
t=,3600, id=,B00, PRDE,actvstrat=,0.071052, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.880315, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.869657, actvprof=,0.016389, id=,B03, PRDE,actvstrat=,-0.374045, actvprof=,0.013611, id=,B04, PRDE,actvstrat=,0.177886, actvprof=,0.183609, id=,B05, PRDE,actvstrat=,0.178394, actvprof=,0.540549, id=,B06, PRDE,actvstrat=,-0.206765, actvprof=,0.775824, id=,B07, PRDE,actvstrat=,-0.970268, actvprof=,2.194419, id=,B08, PRDE,actvstrat=,0.016720, actvprof=,3.010798, id=,B09, PRDE,actvstrat=,0.033187, actvprof=,4.462171, id=,B10, PRDE,actvstrat=,0.924537, actvprof=,6.468258, id=,B11, PRDE,actvstrat=,0.439775, actvprof=,8.702677, id=,S00, PRDE,actvstrat=,-0.265205, actvprof=,4.506892, id=,S01, PRDE,actvstrat=,0.768796, actvprof=,7.044641, id=,S02, PRDE,actvstrat=,-0.544324, actvprof=,1.797201, id=,S03, PRDE,actvstrat=,0.875245, actvprof=,3.953565, id=,S04, PRDE,actvstrat=,0.243991, actvprof=,1.481094, id=,S05, PRDE,actvstrat=,-0.337447, actvprof=,0.400551, id=,S06, PRDE,actvstrat=,0.995987, actvprof=,0.709714, id=,S07, PRDE,actvstrat=,0.816535, actvprof=,0.554438, id=,S08, PRDE,actvstrat=,0.796883, actvprof=,0.243053, id=,S09, PRDE,actvstrat=,0.873398, actvprof=,0.074166, id=,S10, PRDE,actvstrat=,-0.716489, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.282130, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.702677, best_B_strat=,0.439775, best_S_id=,S01, best_S_prof=,7.044641, best_S_strat=,0.768796, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.611584, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.030444, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.938920, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.457099, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.252409, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083032, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.067720, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.606366, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.787270, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.777074, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.848575, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.923179, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.542642, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.347815, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.656018, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.448573, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.098985, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.402542, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.001157, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.486178, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.860770, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.081613, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.203551, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.256302, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.611584, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.542642, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.611584, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.030444, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.938920, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.457099, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.252409, actvprof=,0.007778, id=,B05, PRDE,actvstrat=,0.083032, actvprof=,0.030555, id=,B06, PRDE,actvstrat=,0.067720, actvprof=,0.220828, id=,B07, PRDE,actvstrat=,0.606366, actvprof=,0.952756, id=,B08, PRDE,actvstrat=,-0.787270, actvprof=,0.855536, id=,B09, PRDE,actvstrat=,0.777074, actvprof=,2.895489, id=,B10, PRDE,actvstrat=,-0.848575, actvprof=,2.187172, id=,B11, PRDE,actvstrat=,-0.923179, actvprof=,3.683804, id=,S00, PRDE,actvstrat=,-0.542642, actvprof=,4.349344, id=,S01, PRDE,actvstrat=,-0.347815, actvprof=,3.071873, id=,S02, PRDE,actvstrat=,0.656018, actvprof=,6.231245, id=,S03, PRDE,actvstrat=,-0.448573, actvprof=,1.084697, id=,S04, PRDE,actvstrat=,-0.098985, actvprof=,1.046365, id=,S05, PRDE,actvstrat=,-0.402542, actvprof=,0.334437, id=,S06, PRDE,actvstrat=,-0.001157, actvprof=,0.211384, id=,S07, PRDE,actvstrat=,0.486178, actvprof=,0.220828, id=,S08, PRDE,actvstrat=,0.860770, actvprof=,0.083054, id=,S09, PRDE,actvstrat=,0.081613, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.203551, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.256302, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.683804, best_B_strat=,-0.923179, best_S_id=,S02, best_S_prof=,6.231245, best_S_strat=,0.656018, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.611584, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.030444, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.869657, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.279498, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.918815, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.178394, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.797104, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.970268, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.271947, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.413287, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.924537, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.339691, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.208739, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.379367, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.052877, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.875245, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.536813, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.402542, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.794968, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.368021, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.335448, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.811204, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.006097, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.714234, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.611584, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.208739, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.611584, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.030444, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.869657, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,-0.279498, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.918815, actvprof=,0.168056, id=,B05, PRDE,actvstrat=,0.178394, actvprof=,0.223056, id=,B06, PRDE,actvstrat=,-0.797104, actvprof=,0.537778, id=,B07, PRDE,actvstrat=,-0.970268, actvprof=,1.775000, id=,B08, PRDE,actvstrat=,0.271947, actvprof=,2.211944, id=,B09, PRDE,actvstrat=,-0.413287, actvprof=,2.859444, id=,B10, PRDE,actvstrat=,0.924537, actvprof=,4.564444, id=,B11, PRDE,actvstrat=,-0.339691, actvprof=,5.540556, id=,S00, PRDE,actvstrat=,0.208739, actvprof=,7.284167, id=,S01, PRDE,actvstrat=,-0.379367, actvprof=,2.837778, id=,S02, PRDE,actvstrat=,0.052877, actvprof=,3.785278, id=,S03, PRDE,actvstrat=,0.875245, actvprof=,4.994444, id=,S04, PRDE,actvstrat=,0.536813, actvprof=,2.797222, id=,S05, PRDE,actvstrat=,-0.402542, actvprof=,0.346111, id=,S06, PRDE,actvstrat=,0.794968, actvprof=,1.477500, id=,S07, PRDE,actvstrat=,0.368021, actvprof=,0.302222, id=,S08, PRDE,actvstrat=,-0.335448, actvprof=,0.012222, id=,S09, PRDE,actvstrat=,0.811204, actvprof=,0.066667, id=,S10, PRDE,actvstrat=,-0.006097, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.714234, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.540556, best_B_strat=,-0.339691, best_S_id=,S00, best_S_prof=,7.284167, best_S_strat=,0.208739, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.611584, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.030444, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.869657, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.279498, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.918815, actvprof=,0.163195, id=,B05, PRDE,actvstrat=,0.178394, actvprof=,0.197640, id=,B06, PRDE,actvstrat=,-0.797104, actvprof=,0.498753, id=,B07, PRDE,actvstrat=,-0.970268, actvprof=,1.721954, id=,B08, PRDE,actvstrat=,0.271947, actvprof=,2.303347, id=,B09, PRDE,actvstrat=,-0.413287, actvprof=,2.923211, id=,B10, PRDE,actvstrat=,0.924537, actvprof=,4.675444, id=,B11, PRDE,actvstrat=,-0.339691, actvprof=,5.708366, id=,S00, PRDE,actvstrat=,0.208739, actvprof=,7.456293, id=,S01, PRDE,actvstrat=,-0.379367, actvprof=,3.008212, id=,S02, PRDE,actvstrat=,0.052877, actvprof=,3.745022, id=,S03, PRDE,actvstrat=,0.875245, actvprof=,4.909890, id=,S04, PRDE,actvstrat=,0.536813, actvprof=,2.695571, id=,S05, PRDE,actvstrat=,-0.402542, actvprof=,0.328335, id=,S06, PRDE,actvstrat=,0.794968, actvprof=,1.488342, id=,S07, PRDE,actvstrat=,0.368021, actvprof=,0.276946, id=,S08, PRDE,actvstrat=,-0.335448, actvprof=,0.024028, id=,S09, PRDE,actvstrat=,0.811204, actvprof=,0.067639, id=,S10, PRDE,actvstrat=,-0.006097, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.714234, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.708366, best_B_strat=,-0.339691, best_S_id=,S00, best_S_prof=,7.456293, best_S_strat=,0.208739, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.275235, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.658167, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.951725, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,0.866859, actvprof=,0.043889, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.170835, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.209725, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.348615, id=,B08, PRDE,actvstrat=,-0.096780, actvprof=,0.568340, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.815044, id=,B10, PRDE,actvstrat=,0.925491, actvprof=,3.247815, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,4.410051, id=,S00, PRDE,actvstrat=,0.016883, actvprof=,9.132050, id=,S01, PRDE,actvstrat=,-0.104663, actvprof=,5.294784, id=,S02, PRDE,actvstrat=,0.104400, actvprof=,5.774789, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,7.135083, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.842845, id=,S05, PRDE,actvstrat=,-0.514857, actvprof=,0.680563, id=,S06, PRDE,actvstrat=,0.287511, actvprof=,1.006401, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,2.136969, id=,S08, PRDE,actvstrat=,0.571681, actvprof=,0.289170, id=,S09, PRDE,actvstrat=,-0.826996, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.962145, actvprof=,0.100557, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.410051, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,9.132050, best_S_strat=,0.016883, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.275235, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.658167, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.001806, id=,B03, PRDE,actvstrat=,0.951725, actvprof=,0.002639, id=,B04, PRDE,actvstrat=,0.866859, actvprof=,0.044167, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.138473, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.183334, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.345974, id=,B08, PRDE,actvstrat=,-0.096780, actvprof=,0.620142, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.855022, id=,B10, PRDE,actvstrat=,0.925491, actvprof=,3.235852, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,4.492943, id=,S00, PRDE,actvstrat=,0.016883, actvprof=,8.780606, id=,S01, PRDE,actvstrat=,-0.104663, actvprof=,5.491421, id=,S02, PRDE,actvstrat=,0.104400, actvprof=,5.684616, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,7.178097, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.917534, id=,S05, PRDE,actvstrat=,-0.514857, actvprof=,0.584864, id=,S06, PRDE,actvstrat=,0.287511, actvprof=,0.987506, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,2.089179, id=,S08, PRDE,actvstrat=,0.571681, actvprof=,0.294446, id=,S09, PRDE,actvstrat=,-0.826996, actvprof=,0.002639, id=,S10, PRDE,actvstrat=,0.962145, actvprof=,0.090417, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.492943, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,8.780606, best_S_strat=,0.016883, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.275235, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.311230, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.939115, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.849536, actvprof=,0.011667, id=,B04, PRDE,actvstrat=,0.918815, actvprof=,0.125001, id=,B05, PRDE,actvstrat=,0.783631, actvprof=,0.352782, id=,B06, PRDE,actvstrat=,-0.797104, actvprof=,0.485006, id=,B07, PRDE,actvstrat=,0.947062, actvprof=,1.111124, id=,B08, PRDE,actvstrat=,-0.066039, actvprof=,1.492517, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.770333, id=,B10, PRDE,actvstrat=,0.860856, actvprof=,4.262272, id=,B11, PRDE,actvstrat=,0.439775, actvprof=,5.947013, id=,S00, PRDE,actvstrat=,-0.139539, actvprof=,6.594243, id=,S01, PRDE,actvstrat=,0.768796, actvprof=,9.680945, id=,S02, PRDE,actvstrat=,0.104400, actvprof=,4.715332, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.776178, id=,S04, PRDE,actvstrat=,-0.993413, actvprof=,3.113925, id=,S05, PRDE,actvstrat=,-0.514857, actvprof=,0.477783, id=,S06, PRDE,actvstrat=,0.312617, actvprof=,0.861677, id=,S07, PRDE,actvstrat=,0.816535, actvprof=,1.125291, id=,S08, PRDE,actvstrat=,0.571681, actvprof=,0.260559, id=,S09, PRDE,actvstrat=,-0.632338, actvprof=,0.004167, id=,S10, PRDE,actvstrat=,0.962145, actvprof=,0.017778, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.947013, best_B_strat=,0.439775, best_S_id=,S01, best_S_prof=,9.680945, best_S_strat=,0.768796, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.275235, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.311230, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.939115, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,0.849536, actvprof=,0.013333, id=,B04, PRDE,actvstrat=,0.918815, actvprof=,0.140417, id=,B05, PRDE,actvstrat=,0.783631, actvprof=,0.391391, id=,B06, PRDE,actvstrat=,-0.797104, actvprof=,0.464447, id=,B07, PRDE,actvstrat=,0.947062, actvprof=,1.028339, id=,B08, PRDE,actvstrat=,-0.066039, actvprof=,1.393619, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.764333, id=,B10, PRDE,actvstrat=,0.860856, actvprof=,4.255164, id=,B11, PRDE,actvstrat=,0.439775, actvprof=,5.744894, id=,S00, PRDE,actvstrat=,-0.139539, actvprof=,6.516149, id=,S01, PRDE,actvstrat=,0.768796, actvprof=,9.823251, id=,S02, PRDE,actvstrat=,0.104400, actvprof=,4.873639, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.678088, id=,S04, PRDE,actvstrat=,-0.993413, actvprof=,3.262241, id=,S05, PRDE,actvstrat=,-0.514857, actvprof=,0.582226, id=,S06, PRDE,actvstrat=,0.312617, actvprof=,0.833199, id=,S07, PRDE,actvstrat=,0.816535, actvprof=,1.088340, id=,S08, PRDE,actvstrat=,0.571681, actvprof=,0.242085, id=,S09, PRDE,actvstrat=,-0.632338, actvprof=,0.002083, id=,S10, PRDE,actvstrat=,0.962145, actvprof=,0.024306, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.744894, best_B_strat=,0.439775, best_S_id=,S01, best_S_prof=,9.823251, best_S_strat=,0.768796, 
