t=,1, id=,B00, PRDE,actvstrat=,-0.517856, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.788702, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.616581, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.320274, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.869008, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.780760, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.608587, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.911463, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.989896, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.392366, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.996618, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.194900, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.029483, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.173642, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.161829, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.948324, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.013017, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.773530, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.578455, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.470268, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.287040, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.261042, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.802407, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.293760, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.517856, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.029483, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.517856, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.788702, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.616581, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.320274, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.869008, actvprof=,0.098054, id=,B05, PRDE,actvstrat=,0.780760, actvprof=,0.402218, id=,B06, PRDE,actvstrat=,-0.608587, actvprof=,0.202498, id=,B07, PRDE,actvstrat=,0.911463, actvprof=,1.476372, id=,B08, PRDE,actvstrat=,-0.989896, actvprof=,2.430805, id=,B09, PRDE,actvstrat=,-0.392366, actvprof=,1.929422, id=,B10, PRDE,actvstrat=,0.996618, actvprof=,2.605803, id=,B11, PRDE,actvstrat=,-0.194900, actvprof=,4.555225, id=,S00, PRDE,actvstrat=,0.029483, actvprof=,7.224916, id=,S01, PRDE,actvstrat=,0.173642, actvprof=,6.535758, id=,S02, PRDE,actvstrat=,-0.161829, actvprof=,3.216074, id=,S03, PRDE,actvstrat=,0.948324, actvprof=,6.384371, id=,S04, PRDE,actvstrat=,-0.013017, actvprof=,2.072476, id=,S05, PRDE,actvstrat=,0.773530, actvprof=,3.451627, id=,S06, PRDE,actvstrat=,-0.578455, actvprof=,0.288608, id=,S07, PRDE,actvstrat=,0.470268, actvprof=,0.728047, id=,S08, PRDE,actvstrat=,-0.287040, actvprof=,0.065555, id=,S09, PRDE,actvstrat=,-0.261042, actvprof=,0.003889, id=,S10, PRDE,actvstrat=,0.802407, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,-0.293760, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.555225, best_B_strat=,-0.194900, best_S_id=,S00, best_S_prof=,7.224916, best_S_strat=,0.029483, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.634609, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.864250, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.076143, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.717887, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.759257, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.332965, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.001914, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.113711, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.339327, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.071226, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.541226, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.947789, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.289400, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.035292, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.696628, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.044139, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.846394, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.978251, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.941403, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.313649, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.924507, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.642758, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.537353, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.889416, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.634609, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.289400, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.634609, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.864250, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.076143, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,0.717887, actvprof=,0.129443, id=,B04, PRDE,actvstrat=,-0.759257, actvprof=,0.156387, id=,B05, PRDE,actvstrat=,0.332965, actvprof=,0.488605, id=,B06, PRDE,actvstrat=,-0.001914, actvprof=,0.895267, id=,B07, PRDE,actvstrat=,0.113711, actvprof=,2.014421, id=,B08, PRDE,actvstrat=,-0.339327, actvprof=,2.696635, id=,B09, PRDE,actvstrat=,-0.071226, actvprof=,4.561336, id=,B10, PRDE,actvstrat=,0.541226, actvprof=,7.525746, id=,B11, PRDE,actvstrat=,0.947789, actvprof=,8.748788, id=,S00, PRDE,actvstrat=,0.289400, actvprof=,5.536603, id=,S01, PRDE,actvstrat=,-0.035292, actvprof=,2.543582, id=,S02, PRDE,actvstrat=,0.696628, actvprof=,4.427171, id=,S03, PRDE,actvstrat=,0.044139, actvprof=,1.428039, id=,S04, PRDE,actvstrat=,0.846394, actvprof=,2.749413, id=,S05, PRDE,actvstrat=,0.978251, actvprof=,1.467205, id=,S06, PRDE,actvstrat=,0.941403, actvprof=,1.424150, id=,S07, PRDE,actvstrat=,0.313649, actvprof=,0.102499, id=,S08, PRDE,actvstrat=,-0.924507, actvprof=,0.159720, id=,S09, PRDE,actvstrat=,0.642758, actvprof=,0.047499, id=,S10, PRDE,actvstrat=,-0.537353, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.889416, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.748788, best_B_strat=,0.947789, best_S_id=,S00, best_S_prof=,5.536603, best_S_strat=,0.289400, 
t=,14400, id=,B00, PRDE,actvstrat=,0.070052, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.211537, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.076143, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.762040, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.370579, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.332965, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.372141, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.599370, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.830258, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.365729, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.508824, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.947789, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.093069, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.007631, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.753589, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.462138, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.281523, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.773530, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.518258, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.309238, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.924507, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.642758, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.663464, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.140505, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.070052, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.093069, 
t=,18000, id=,B00, PRDE,actvstrat=,0.070052, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.211537, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.076143, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.762040, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,0.370579, actvprof=,0.090000, id=,B05, PRDE,actvstrat=,0.332965, actvprof=,0.251389, id=,B06, PRDE,actvstrat=,0.372141, actvprof=,0.741111, id=,B07, PRDE,actvstrat=,0.599370, actvprof=,1.532778, id=,B08, PRDE,actvstrat=,-0.830258, actvprof=,1.767500, id=,B09, PRDE,actvstrat=,-0.365729, actvprof=,2.335833, id=,B10, PRDE,actvstrat=,-0.508824, actvprof=,3.913333, id=,B11, PRDE,actvstrat=,0.947789, actvprof=,5.426944, id=,S00, PRDE,actvstrat=,-0.093069, actvprof=,4.635556, id=,S01, PRDE,actvstrat=,-0.007631, actvprof=,4.660556, id=,S02, PRDE,actvstrat=,0.753589, actvprof=,6.212778, id=,S03, PRDE,actvstrat=,0.462138, actvprof=,3.119722, id=,S04, PRDE,actvstrat=,-0.281523, actvprof=,0.755833, id=,S05, PRDE,actvstrat=,0.773530, actvprof=,2.618056, id=,S06, PRDE,actvstrat=,0.518258, actvprof=,0.791667, id=,S07, PRDE,actvstrat=,-0.309238, actvprof=,0.063333, id=,S08, PRDE,actvstrat=,-0.924507, actvprof=,0.333611, id=,S09, PRDE,actvstrat=,0.642758, actvprof=,0.082500, id=,S10, PRDE,actvstrat=,0.663464, actvprof=,0.027222, id=,S11, PRDE,actvstrat=,-0.140505, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.426944, best_B_strat=,0.947789, best_S_id=,S02, best_S_prof=,6.212778, best_S_strat=,0.753589, 
t=,21600, id=,B00, PRDE,actvstrat=,0.070052, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.211537, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.076143, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.762040, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.370579, actvprof=,0.079445, id=,B05, PRDE,actvstrat=,0.332965, actvprof=,0.227501, id=,B06, PRDE,actvstrat=,0.372141, actvprof=,0.732365, id=,B07, PRDE,actvstrat=,0.599370, actvprof=,1.553898, id=,B08, PRDE,actvstrat=,-0.830258, actvprof=,1.725288, id=,B09, PRDE,actvstrat=,-0.365729, actvprof=,2.454181, id=,B10, PRDE,actvstrat=,-0.508824, actvprof=,3.850161, id=,B11, PRDE,actvstrat=,0.947789, actvprof=,5.378226, id=,S00, PRDE,actvstrat=,-0.093069, actvprof=,4.570582, id=,S01, PRDE,actvstrat=,-0.007631, actvprof=,4.548082, id=,S02, PRDE,actvstrat=,0.753589, actvprof=,6.275175, id=,S03, PRDE,actvstrat=,0.462138, actvprof=,3.178630, id=,S04, PRDE,actvstrat=,-0.281523, actvprof=,0.737088, id=,S05, PRDE,actvstrat=,0.773530, actvprof=,2.531265, id=,S06, PRDE,actvstrat=,0.518258, actvprof=,0.827505, id=,S07, PRDE,actvstrat=,-0.309238, actvprof=,0.072362, id=,S08, PRDE,actvstrat=,-0.924507, actvprof=,0.283752, id=,S09, PRDE,actvstrat=,0.642758, actvprof=,0.109028, id=,S10, PRDE,actvstrat=,0.663464, actvprof=,0.030139, id=,S11, PRDE,actvstrat=,-0.140505, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.378226, best_B_strat=,0.947789, best_S_id=,S02, best_S_prof=,6.275175, best_S_strat=,0.753589, 
t=,25200, id=,B00, PRDE,actvstrat=,0.520230, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.021173, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,0.361397, actvprof=,0.019722, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.148891, id=,B06, PRDE,actvstrat=,0.838878, actvprof=,0.413338, id=,B07, PRDE,actvstrat=,-0.378757, actvprof=,0.287781, id=,B08, PRDE,actvstrat=,-0.122438, actvprof=,1.163902, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.908668, id=,B10, PRDE,actvstrat=,-0.255756, actvprof=,3.886712, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.836480, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.681744, id=,S01, PRDE,actvstrat=,0.301529, actvprof=,5.091170, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.463420, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.469207, id=,S04, PRDE,actvstrat=,-0.520159, actvprof=,0.152224, id=,S05, PRDE,actvstrat=,0.538238, actvprof=,0.463894, id=,S06, PRDE,actvstrat=,-0.879284, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.082779, id=,S08, PRDE,actvstrat=,-0.249859, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.932500, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.360102, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.836480, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,7.463420, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.520230, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.021173, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.361397, actvprof=,0.021111, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.123612, id=,B06, PRDE,actvstrat=,0.838878, actvprof=,0.406113, id=,B07, PRDE,actvstrat=,-0.378757, actvprof=,0.283474, id=,B08, PRDE,actvstrat=,-0.122438, actvprof=,1.166951, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.892667, id=,B10, PRDE,actvstrat=,-0.255756, actvprof=,3.925578, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.898240, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.763511, id=,S01, PRDE,actvstrat=,0.301529, actvprof=,5.163224, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.438932, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.558493, id=,S04, PRDE,actvstrat=,-0.520159, actvprof=,0.145279, id=,S05, PRDE,actvstrat=,0.538238, actvprof=,0.440975, id=,S06, PRDE,actvstrat=,-0.879284, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.085556, id=,S08, PRDE,actvstrat=,-0.249859, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.932500, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.360102, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.898240, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,7.438932, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.520230, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.864250, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.248608, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.243380, actvprof=,0.025000, id=,B04, PRDE,actvstrat=,-0.844003, actvprof=,0.051389, id=,B05, PRDE,actvstrat=,-0.824161, actvprof=,0.228336, id=,B06, PRDE,actvstrat=,0.322186, actvprof=,0.563062, id=,B07, PRDE,actvstrat=,0.113711, actvprof=,0.972233, id=,B08, PRDE,actvstrat=,-0.339327, actvprof=,1.364460, id=,B09, PRDE,actvstrat=,0.896938, actvprof=,3.130592, id=,B10, PRDE,actvstrat=,0.541226, actvprof=,4.756722, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.050359, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,8.643156, id=,S01, PRDE,actvstrat=,-0.095733, actvprof=,3.473651, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.202861, id=,S03, PRDE,actvstrat=,0.103065, actvprof=,2.789199, id=,S04, PRDE,actvstrat=,-0.736914, actvprof=,0.379727, id=,S05, PRDE,actvstrat=,0.842393, actvprof=,2.930867, id=,S06, PRDE,actvstrat=,-0.976838, actvprof=,0.543340, id=,S07, PRDE,actvstrat=,0.470268, actvprof=,0.324726, id=,S08, PRDE,actvstrat=,0.029367, actvprof=,0.040834, id=,S09, PRDE,actvstrat=,0.642758, actvprof=,0.011389, id=,S10, PRDE,actvstrat=,0.201759, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.749504, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.050359, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.643156, best_S_strat=,-1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.520230, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.864250, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.248608, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.243380, actvprof=,0.016250, id=,B04, PRDE,actvstrat=,-0.844003, actvprof=,0.047639, id=,B05, PRDE,actvstrat=,-0.824161, actvprof=,0.249861, id=,B06, PRDE,actvstrat=,0.322186, actvprof=,0.600278, id=,B07, PRDE,actvstrat=,0.113711, actvprof=,0.996806, id=,B08, PRDE,actvstrat=,-0.339327, actvprof=,1.234167, id=,B09, PRDE,actvstrat=,0.896938, actvprof=,3.184167, id=,B10, PRDE,actvstrat=,0.541226, actvprof=,4.695556, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.262361, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,8.420000, id=,S01, PRDE,actvstrat=,-0.095733, actvprof=,3.606667, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.166528, id=,S03, PRDE,actvstrat=,0.103065, actvprof=,2.648056, id=,S04, PRDE,actvstrat=,-0.736914, actvprof=,0.393611, id=,S05, PRDE,actvstrat=,0.842393, actvprof=,2.915556, id=,S06, PRDE,actvstrat=,-0.976838, actvprof=,0.476111, id=,S07, PRDE,actvstrat=,0.470268, actvprof=,0.303611, id=,S08, PRDE,actvstrat=,0.029367, actvprof=,0.047222, id=,S09, PRDE,actvstrat=,0.642758, actvprof=,0.013750, id=,S10, PRDE,actvstrat=,0.201759, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.749504, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.262361, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.420000, best_S_strat=,-1.000000, 
