t=,1, id=,B00, PRDE,actvstrat=,-0.791994, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.042099, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.766109, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.073729, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.803448, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.651564, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.348336, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.794176, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.345411, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.772917, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.859783, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.030911, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.762392, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.074195, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.216578, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.218544, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.451817, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.193876, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.713387, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.695265, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.201201, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.572457, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.367895, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.029456, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.791994, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.762392, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.791994, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.042099, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.766109, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.073729, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.803448, actvprof=,0.049166, id=,B05, PRDE,actvstrat=,-0.651564, actvprof=,0.059444, id=,B06, PRDE,actvstrat=,-0.348336, actvprof=,0.204720, id=,B07, PRDE,actvstrat=,-0.794176, actvprof=,0.624159, id=,B08, PRDE,actvstrat=,-0.345411, actvprof=,1.003322, id=,B09, PRDE,actvstrat=,0.772917, actvprof=,3.725512, id=,B10, PRDE,actvstrat=,0.859783, actvprof=,4.592725, id=,B11, PRDE,actvstrat=,-0.030911, actvprof=,4.841333, id=,S00, PRDE,actvstrat=,-0.762392, actvprof=,4.559114, id=,S01, PRDE,actvstrat=,-0.074195, actvprof=,5.404937, id=,S02, PRDE,actvstrat=,-0.216578, actvprof=,3.838289, id=,S03, PRDE,actvstrat=,0.218544, actvprof=,3.723012, id=,S04, PRDE,actvstrat=,0.451817, actvprof=,3.314684, id=,S05, PRDE,actvstrat=,-0.193876, actvprof=,1.037488, id=,S06, PRDE,actvstrat=,0.713387, actvprof=,1.996088, id=,S07, PRDE,actvstrat=,-0.695265, actvprof=,0.103332, id=,S08, PRDE,actvstrat=,-0.201201, actvprof=,0.051388, id=,S09, PRDE,actvstrat=,-0.572457, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,-0.367895, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.029456, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.841333, best_B_strat=,-0.030911, best_S_id=,S01, best_S_prof=,5.404937, best_S_strat=,-0.074195, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.171203, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.054871, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.955815, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.174349, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.345828, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.147643, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.545368, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.684582, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.170034, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.435240, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.819441, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.268875, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.301468, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.600416, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.969574, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.471709, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.680645, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.773754, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.070646, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.778144, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.837625, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.362434, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.488547, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.208179, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.171203, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.301468, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.171203, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.054871, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.955815, actvprof=,0.022222, id=,B03, PRDE,actvstrat=,-0.174349, actvprof=,0.018611, id=,B04, PRDE,actvstrat=,0.345828, actvprof=,0.286108, id=,B05, PRDE,actvstrat=,-0.147643, actvprof=,0.451939, id=,B06, PRDE,actvstrat=,-0.545368, actvprof=,1.020822, id=,B07, PRDE,actvstrat=,-0.684582, actvprof=,2.072754, id=,B08, PRDE,actvstrat=,-0.170034, actvprof=,3.011910, id=,B09, PRDE,actvstrat=,0.435240, actvprof=,4.691890, id=,B10, PRDE,actvstrat=,0.819441, actvprof=,5.672712, id=,B11, PRDE,actvstrat=,0.268875, actvprof=,7.831298, id=,S00, PRDE,actvstrat=,0.301468, actvprof=,7.496024, id=,S01, PRDE,actvstrat=,-0.600416, actvprof=,3.488571, id=,S02, PRDE,actvstrat=,0.969574, actvprof=,4.884666, id=,S03, PRDE,actvstrat=,0.471709, actvprof=,3.374128, id=,S04, PRDE,actvstrat=,0.680645, actvprof=,3.211352, id=,S05, PRDE,actvstrat=,-0.773754, actvprof=,0.325274, id=,S06, PRDE,actvstrat=,0.070646, actvprof=,0.472217, id=,S07, PRDE,actvstrat=,0.778144, actvprof=,0.666659, id=,S08, PRDE,actvstrat=,0.837625, actvprof=,0.355274, id=,S09, PRDE,actvstrat=,-0.362434, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,-0.488547, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.208179, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.831298, best_B_strat=,0.268875, best_S_id=,S00, best_S_prof=,7.496024, best_S_strat=,0.301468, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.330861, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.118425, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.021401, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.320142, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.054435, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.147643, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.886899, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.684582, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.564221, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.686786, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.270059, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.945063, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.315838, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.917960, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.210010, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.471709, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.707949, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.575744, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.868659, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.778144, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.451094, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.161667, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.488547, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.654903, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.330861, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.315838, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.330861, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.118425, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.021401, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.320142, actvprof=,0.015278, id=,B04, PRDE,actvstrat=,0.054435, actvprof=,0.042500, id=,B05, PRDE,actvstrat=,-0.147643, actvprof=,0.144167, id=,B06, PRDE,actvstrat=,0.886899, actvprof=,1.004722, id=,B07, PRDE,actvstrat=,-0.684582, actvprof=,0.909444, id=,B08, PRDE,actvstrat=,-0.564221, actvprof=,1.555000, id=,B09, PRDE,actvstrat=,-0.686786, actvprof=,2.662778, id=,B10, PRDE,actvstrat=,-0.270059, actvprof=,3.676389, id=,B11, PRDE,actvstrat=,-0.945063, actvprof=,6.025556, id=,S00, PRDE,actvstrat=,-0.315838, actvprof=,3.093056, id=,S01, PRDE,actvstrat=,0.917960, actvprof=,8.275833, id=,S02, PRDE,actvstrat=,-0.210010, actvprof=,1.429444, id=,S03, PRDE,actvstrat=,0.471709, actvprof=,2.604444, id=,S04, PRDE,actvstrat=,0.707949, actvprof=,2.185833, id=,S05, PRDE,actvstrat=,-0.575744, actvprof=,0.129444, id=,S06, PRDE,actvstrat=,-0.868659, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.778144, actvprof=,0.117778, id=,S08, PRDE,actvstrat=,-0.451094, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.161667, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.488547, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.654903, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.025556, best_B_strat=,-0.945063, best_S_id=,S01, best_S_prof=,8.275833, best_S_strat=,0.917960, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.330861, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.118425, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.021401, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.320142, actvprof=,0.008750, id=,B04, PRDE,actvstrat=,0.054435, actvprof=,0.035695, id=,B05, PRDE,actvstrat=,-0.147643, actvprof=,0.132501, id=,B06, PRDE,actvstrat=,0.886899, actvprof=,1.051534, id=,B07, PRDE,actvstrat=,-0.684582, actvprof=,0.821255, id=,B08, PRDE,actvstrat=,-0.564221, actvprof=,1.541120, id=,B09, PRDE,actvstrat=,-0.686786, actvprof=,2.697793, id=,B10, PRDE,actvstrat=,-0.270059, actvprof=,3.702244, id=,B11, PRDE,actvstrat=,-0.945063, actvprof=,6.008229, id=,S00, PRDE,actvstrat=,-0.315838, actvprof=,3.166268, id=,S01, PRDE,actvstrat=,0.917960, actvprof=,8.351298, id=,S02, PRDE,actvstrat=,-0.210010, actvprof=,1.414869, id=,S03, PRDE,actvstrat=,0.471709, actvprof=,2.582098, id=,S04, PRDE,actvstrat=,0.707949, actvprof=,2.171679, id=,S05, PRDE,actvstrat=,-0.575744, actvprof=,0.104862, id=,S06, PRDE,actvstrat=,-0.868659, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.778144, actvprof=,0.096251, id=,S08, PRDE,actvstrat=,-0.451094, actvprof=,0.001250, id=,S09, PRDE,actvstrat=,0.161667, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.488547, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.654903, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.008229, best_B_strat=,-0.945063, best_S_id=,S01, best_S_prof=,8.351298, best_S_strat=,0.917960, 
t=,25200, id=,B00, PRDE,actvstrat=,0.398308, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.103220, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.125817, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.559691, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.043334, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.084445, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.190002, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.420283, id=,B09, PRDE,actvstrat=,0.862546, actvprof=,2.021412, id=,B10, PRDE,actvstrat=,-0.571561, actvprof=,1.657241, id=,B11, PRDE,actvstrat=,0.259009, actvprof=,4.089770, id=,S00, PRDE,actvstrat=,-0.781039, actvprof=,3.969213, id=,S01, PRDE,actvstrat=,0.070796, actvprof=,7.848424, id=,S02, PRDE,actvstrat=,-0.556024, actvprof=,2.979757, id=,S03, PRDE,actvstrat=,0.169616, actvprof=,5.008391, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,6.262850, id=,S05, PRDE,actvstrat=,-0.637182, actvprof=,0.406671, id=,S06, PRDE,actvstrat=,-0.855448, actvprof=,0.059445, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,1.119457, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.456672, id=,S09, PRDE,actvstrat=,-0.848800, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,0.387036, actvprof=,0.002778, id=,S11, PRDE,actvstrat=,-0.317450, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.089770, best_B_strat=,0.259009, best_S_id=,S01, best_S_prof=,7.848424, best_S_strat=,0.070796, 
t=,28800, id=,B00, PRDE,actvstrat=,0.398308, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.103220, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.125817, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,0.559691, actvprof=,0.004028, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.038889, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.089723, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.179307, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.415002, id=,B09, PRDE,actvstrat=,0.862546, actvprof=,1.984039, id=,B10, PRDE,actvstrat=,-0.571561, actvprof=,1.654037, id=,B11, PRDE,actvstrat=,0.259009, actvprof=,4.145718, id=,S00, PRDE,actvstrat=,-0.781039, actvprof=,3.885578, id=,S01, PRDE,actvstrat=,0.070796, actvprof=,8.051574, id=,S02, PRDE,actvstrat=,-0.556024, actvprof=,2.851128, id=,S03, PRDE,actvstrat=,0.169616, actvprof=,4.821278, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,6.343231, id=,S05, PRDE,actvstrat=,-0.637182, actvprof=,0.467919, id=,S06, PRDE,actvstrat=,-0.855448, actvprof=,0.049167, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,1.135840, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.442780, id=,S09, PRDE,actvstrat=,-0.848800, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,0.387036, actvprof=,0.001806, id=,S11, PRDE,actvstrat=,-0.317450, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.145718, best_B_strat=,0.259009, best_S_id=,S01, best_S_prof=,8.051574, best_S_strat=,0.070796, 
t=,32400, id=,B00, PRDE,actvstrat=,0.398308, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.054871, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.021401, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.152026, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,0.798748, actvprof=,0.201947, id=,B05, PRDE,actvstrat=,0.624220, actvprof=,0.401949, id=,B06, PRDE,actvstrat=,-0.545368, actvprof=,0.323059, id=,B07, PRDE,actvstrat=,-0.811611, actvprof=,1.232514, id=,B08, PRDE,actvstrat=,-0.564221, actvprof=,1.776965, id=,B09, PRDE,actvstrat=,0.435240, actvprof=,3.424206, id=,B10, PRDE,actvstrat=,-0.270059, actvprof=,3.748377, id=,B11, PRDE,actvstrat=,-0.029357, actvprof=,5.370062, id=,S00, PRDE,actvstrat=,-0.781039, actvprof=,2.265026, id=,S01, PRDE,actvstrat=,-0.086381, actvprof=,3.883656, id=,S02, PRDE,actvstrat=,0.969574, actvprof=,5.734233, id=,S03, PRDE,actvstrat=,0.169616, actvprof=,2.067524, id=,S04, PRDE,actvstrat=,-0.704988, actvprof=,0.388060, id=,S05, PRDE,actvstrat=,0.206404, actvprof=,0.661952, id=,S06, PRDE,actvstrat=,0.478001, actvprof=,0.438061, id=,S07, PRDE,actvstrat=,0.441834, actvprof=,0.175002, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.226669, id=,S09, PRDE,actvstrat=,-0.746428, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.926140, actvprof=,0.006945, id=,S11, PRDE,actvstrat=,-0.317450, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.370062, best_B_strat=,-0.029357, best_S_id=,S02, best_S_prof=,5.734233, best_S_strat=,0.969574, 
t=,36000, id=,B00, PRDE,actvstrat=,0.398308, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.054871, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.021401, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.152026, actvprof=,0.003194, id=,B04, PRDE,actvstrat=,0.798748, actvprof=,0.191390, id=,B05, PRDE,actvstrat=,0.624220, actvprof=,0.411530, id=,B06, PRDE,actvstrat=,-0.545368, actvprof=,0.350696, id=,B07, PRDE,actvstrat=,-0.811611, actvprof=,1.196674, id=,B08, PRDE,actvstrat=,-0.564221, actvprof=,1.751816, id=,B09, PRDE,actvstrat=,0.435240, actvprof=,3.462242, id=,B10, PRDE,actvstrat=,-0.270059, actvprof=,3.620299, id=,B11, PRDE,actvstrat=,-0.029357, actvprof=,5.606144, id=,S00, PRDE,actvstrat=,-0.781039, actvprof=,2.252930, id=,S01, PRDE,actvstrat=,-0.086381, actvprof=,3.771827, id=,S02, PRDE,actvstrat=,0.969574, actvprof=,5.743228, id=,S03, PRDE,actvstrat=,0.169616, actvprof=,2.113623, id=,S04, PRDE,actvstrat=,-0.704988, actvprof=,0.452364, id=,S05, PRDE,actvstrat=,0.206404, actvprof=,0.681532, id=,S06, PRDE,actvstrat=,0.478001, actvprof=,0.447225, id=,S07, PRDE,actvstrat=,0.441834, actvprof=,0.146806, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.208057, id=,S09, PRDE,actvstrat=,-0.746428, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,0.926140, actvprof=,0.005000, id=,S11, PRDE,actvstrat=,-0.317450, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.606144, best_B_strat=,-0.029357, best_S_id=,S02, best_S_prof=,5.743228, best_S_strat=,0.969574, 
