t=,0, id=,B00, PRDE,actvstrat=,-0.999961, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.295818, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.681812, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.567531, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.820704, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.298656, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.267329, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.401632, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.911333, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.970487, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.514381, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.373434, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.705047, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.709165, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.654089, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.467799, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.618728, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.868175, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.671865, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.923273, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.067335, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.297168, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.427042, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.574354, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.999961, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.705047, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.999961, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.295818, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.681812, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,0.567531, actvprof=,0.039722, id=,B04, PRDE,actvstrat=,0.820704, actvprof=,0.317496, id=,B05, PRDE,actvstrat=,-0.298656, actvprof=,0.116110, id=,B06, PRDE,actvstrat=,-0.267329, actvprof=,0.413884, id=,B07, PRDE,actvstrat=,-0.401632, actvprof=,1.105543, id=,B08, PRDE,actvstrat=,0.911333, actvprof=,2.487193, id=,B09, PRDE,actvstrat=,0.970487, actvprof=,3.124408, id=,B10, PRDE,actvstrat=,0.514381, actvprof=,5.336327, id=,B11, PRDE,actvstrat=,-0.373434, actvprof=,5.741322, id=,S00, PRDE,actvstrat=,0.705047, actvprof=,10.412657, id=,S01, PRDE,actvstrat=,-0.709165, actvprof=,4.639391, id=,S02, PRDE,actvstrat=,-0.654089, actvprof=,3.158575, id=,S03, PRDE,actvstrat=,0.467799, actvprof=,4.570780, id=,S04, PRDE,actvstrat=,-0.618728, actvprof=,1.273319, id=,S05, PRDE,actvstrat=,0.868175, actvprof=,3.343850, id=,S06, PRDE,actvstrat=,0.671865, actvprof=,1.608870, id=,S07, PRDE,actvstrat=,-0.923273, actvprof=,0.265830, id=,S08, PRDE,actvstrat=,-0.067335, actvprof=,0.042777, id=,S09, PRDE,actvstrat=,0.297168, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,-0.427042, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.574354, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.741322, best_B_strat=,-0.373434, best_S_id=,S00, best_S_prof=,10.412657, best_S_strat=,0.705047, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.151217, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.896103, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.668914, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.725867, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.543924, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.847794, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.674651, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.025499, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.473713, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.022841, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.876002, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.668416, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.167075, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.149338, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.004349, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.328522, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.126710, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.971392, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.200981, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.319767, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.535978, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.311862, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.280036, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.960804, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.151217, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.167075, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.151217, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.896103, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.668914, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.725867, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.543924, actvprof=,0.045833, id=,B05, PRDE,actvstrat=,0.847794, actvprof=,0.253608, id=,B06, PRDE,actvstrat=,0.674651, actvprof=,0.554160, id=,B07, PRDE,actvstrat=,0.025499, actvprof=,0.700270, id=,B08, PRDE,actvstrat=,0.473713, actvprof=,1.999977, id=,B09, PRDE,actvstrat=,-0.022841, actvprof=,2.429139, id=,B10, PRDE,actvstrat=,0.876002, actvprof=,4.084397, id=,B11, PRDE,actvstrat=,0.668416, actvprof=,5.807711, id=,S00, PRDE,actvstrat=,0.167075, actvprof=,9.112117, id=,S01, PRDE,actvstrat=,-0.149338, actvprof=,5.355494, id=,S02, PRDE,actvstrat=,0.004349, actvprof=,5.428548, id=,S03, PRDE,actvstrat=,-0.328522, actvprof=,2.316362, id=,S04, PRDE,actvstrat=,-0.126710, actvprof=,1.744146, id=,S05, PRDE,actvstrat=,0.971392, actvprof=,3.228018, id=,S06, PRDE,actvstrat=,0.200981, actvprof=,1.033877, id=,S07, PRDE,actvstrat=,0.319767, actvprof=,0.688325, id=,S08, PRDE,actvstrat=,-0.535978, actvprof=,0.055833, id=,S09, PRDE,actvstrat=,0.311862, actvprof=,0.064444, id=,S10, PRDE,actvstrat=,0.280036, actvprof=,0.004444, id=,S11, PRDE,actvstrat=,0.960804, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.807711, best_B_strat=,0.668416, best_S_id=,S00, best_S_prof=,9.112117, best_S_strat=,0.167075, 
t=,14400, id=,B00, PRDE,actvstrat=,0.778498, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.999103, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.060963, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.567531, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.306568, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.820225, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.674651, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.878478, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.473713, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.484259, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.365636, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.620625, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.432334, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.964671, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.631194, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.260244, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.104993, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.367750, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.107647, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.208700, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.535978, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.489435, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.583501, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.351853, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.778498, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.432334, 
t=,18000, id=,B00, PRDE,actvstrat=,0.778498, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.999103, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.060963, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.567531, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.306568, actvprof=,0.005833, id=,B05, PRDE,actvstrat=,0.820225, actvprof=,0.074444, id=,B06, PRDE,actvstrat=,0.674651, actvprof=,0.253333, id=,B07, PRDE,actvstrat=,0.878478, actvprof=,0.943889, id=,B08, PRDE,actvstrat=,0.473713, actvprof=,1.140556, id=,B09, PRDE,actvstrat=,-0.484259, actvprof=,1.036389, id=,B10, PRDE,actvstrat=,0.365636, actvprof=,3.213611, id=,B11, PRDE,actvstrat=,0.620625, actvprof=,4.820000, id=,S00, PRDE,actvstrat=,-0.432334, actvprof=,5.892778, id=,S01, PRDE,actvstrat=,-0.964671, actvprof=,3.037500, id=,S02, PRDE,actvstrat=,0.631194, actvprof=,8.181944, id=,S03, PRDE,actvstrat=,0.260244, actvprof=,5.010000, id=,S04, PRDE,actvstrat=,-0.104993, actvprof=,1.882778, id=,S05, PRDE,actvstrat=,0.367750, actvprof=,2.224167, id=,S06, PRDE,actvstrat=,-0.107647, actvprof=,0.440833, id=,S07, PRDE,actvstrat=,-0.208700, actvprof=,0.181667, id=,S08, PRDE,actvstrat=,-0.535978, actvprof=,0.014722, id=,S09, PRDE,actvstrat=,0.489435, actvprof=,0.058056, id=,S10, PRDE,actvstrat=,0.583501, actvprof=,0.005833, id=,S11, PRDE,actvstrat=,0.351853, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.820000, best_B_strat=,0.620625, best_S_id=,S02, best_S_prof=,8.181944, best_S_strat=,0.631194, 
t=,21600, id=,B00, PRDE,actvstrat=,0.778498, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.999103, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.060963, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.567531, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,-0.306568, actvprof=,0.002917, id=,B05, PRDE,actvstrat=,0.820225, actvprof=,0.102639, id=,B06, PRDE,actvstrat=,0.674651, actvprof=,0.246946, id=,B07, PRDE,actvstrat=,0.878478, actvprof=,0.934033, id=,B08, PRDE,actvstrat=,0.473713, actvprof=,1.135840, id=,B09, PRDE,actvstrat=,-0.484259, actvprof=,0.981395, id=,B10, PRDE,actvstrat=,0.365636, actvprof=,3.064879, id=,B11, PRDE,actvstrat=,0.620625, actvprof=,4.737527, id=,S00, PRDE,actvstrat=,-0.432334, actvprof=,6.011285, id=,S01, PRDE,actvstrat=,-0.964671, actvprof=,3.090296, id=,S02, PRDE,actvstrat=,0.631194, actvprof=,8.050047, id=,S03, PRDE,actvstrat=,0.260244, actvprof=,4.757111, id=,S04, PRDE,actvstrat=,-0.104993, actvprof=,1.887928, id=,S05, PRDE,actvstrat=,0.367750, actvprof=,2.306541, id=,S06, PRDE,actvstrat=,-0.107647, actvprof=,0.480975, id=,S07, PRDE,actvstrat=,-0.208700, actvprof=,0.157640, id=,S08, PRDE,actvstrat=,-0.535978, actvprof=,0.029306, id=,S09, PRDE,actvstrat=,0.489435, actvprof=,0.073612, id=,S10, PRDE,actvstrat=,0.583501, actvprof=,0.009444, id=,S11, PRDE,actvstrat=,0.351853, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.737527, best_B_strat=,0.620625, best_S_id=,S02, best_S_prof=,8.050047, best_S_strat=,0.631194, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.016945, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.109446, id=,B05, PRDE,actvstrat=,-0.671190, actvprof=,0.054445, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.317504, id=,B07, PRDE,actvstrat=,0.018115, actvprof=,0.774453, id=,B08, PRDE,actvstrat=,-0.836272, actvprof=,1.428072, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.706166, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,7.336752, id=,B11, PRDE,actvstrat=,-0.135679, actvprof=,6.466742, id=,S00, PRDE,actvstrat=,0.484212, actvprof=,8.202039, id=,S01, PRDE,actvstrat=,-0.461150, actvprof=,2.495862, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.599243, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.955891, id=,S04, PRDE,actvstrat=,0.318507, actvprof=,1.181958, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.248637, id=,S06, PRDE,actvstrat=,-0.376808, actvprof=,0.010000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.185558, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.040556, id=,S09, PRDE,actvstrat=,-0.822917, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.329820, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.156047, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,7.336752, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.202039, best_S_strat=,0.484212, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.016250, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.124306, id=,B05, PRDE,actvstrat=,-0.671190, actvprof=,0.054445, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.325557, id=,B07, PRDE,actvstrat=,0.018115, actvprof=,0.769727, id=,B08, PRDE,actvstrat=,-0.836272, actvprof=,1.353202, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.660583, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,7.390043, id=,B11, PRDE,actvstrat=,-0.135679, actvprof=,6.483510, id=,S00, PRDE,actvstrat=,0.484212, actvprof=,8.351993, id=,S01, PRDE,actvstrat=,-0.461150, actvprof=,2.443070, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.622677, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.790444, id=,S04, PRDE,actvstrat=,0.318507, actvprof=,1.185562, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.179318, id=,S06, PRDE,actvstrat=,-0.376808, actvprof=,0.019167, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.182779, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.061111, id=,S09, PRDE,actvstrat=,-0.822917, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.329820, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.156047, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,7.390043, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.351993, best_S_strat=,0.484212, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.151217, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.885079, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.681812, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.903452, actvprof=,0.035834, id=,B04, PRDE,actvstrat=,-0.828401, actvprof=,0.051667, id=,B05, PRDE,actvstrat=,0.847794, actvprof=,0.622785, id=,B06, PRDE,actvstrat=,-0.512222, actvprof=,0.476950, id=,B07, PRDE,actvstrat=,0.018115, actvprof=,1.123902, id=,B08, PRDE,actvstrat=,-0.836272, actvprof=,2.431139, id=,B09, PRDE,actvstrat=,-0.382590, actvprof=,2.826699, id=,B10, PRDE,actvstrat=,-0.322432, actvprof=,4.180326, id=,B11, PRDE,actvstrat=,-0.158453, actvprof=,5.574509, id=,S00, PRDE,actvstrat=,0.167075, actvprof=,6.938691, id=,S01, PRDE,actvstrat=,-0.461150, actvprof=,2.535863, id=,S02, PRDE,actvstrat=,0.930000, actvprof=,6.388685, id=,S03, PRDE,actvstrat=,0.686655, actvprof=,3.812822, id=,S04, PRDE,actvstrat=,-0.126710, actvprof=,0.650008, id=,S05, PRDE,actvstrat=,-0.445272, actvprof=,0.223891, id=,S06, PRDE,actvstrat=,0.222049, actvprof=,0.290003, id=,S07, PRDE,actvstrat=,0.056012, actvprof=,0.088612, id=,S08, PRDE,actvstrat=,0.457492, actvprof=,0.043612, id=,S09, PRDE,actvstrat=,0.311862, actvprof=,0.007222, id=,S10, PRDE,actvstrat=,0.583501, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.960804, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.574509, best_B_strat=,-0.158453, best_S_id=,S00, best_S_prof=,6.938691, best_S_strat=,0.167075, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.151217, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.885079, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.681812, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.903452, actvprof=,0.038056, id=,B04, PRDE,actvstrat=,-0.828401, actvprof=,0.050000, id=,B05, PRDE,actvstrat=,0.847794, actvprof=,0.631948, id=,B06, PRDE,actvstrat=,-0.512222, actvprof=,0.435141, id=,B07, PRDE,actvstrat=,0.018115, actvprof=,1.167090, id=,B08, PRDE,actvstrat=,-0.836272, actvprof=,2.355569, id=,B09, PRDE,actvstrat=,-0.382590, actvprof=,2.786266, id=,B10, PRDE,actvstrat=,-0.322432, actvprof=,4.105996, id=,B11, PRDE,actvstrat=,-0.158453, actvprof=,5.653644, id=,S00, PRDE,actvstrat=,0.167075, actvprof=,6.644761, id=,S01, PRDE,actvstrat=,-0.461150, actvprof=,2.551543, id=,S02, PRDE,actvstrat=,0.930000, actvprof=,6.260036, id=,S03, PRDE,actvstrat=,0.686655, actvprof=,3.820161, id=,S04, PRDE,actvstrat=,-0.126710, actvprof=,0.700282, id=,S05, PRDE,actvstrat=,-0.445272, actvprof=,0.209862, id=,S06, PRDE,actvstrat=,0.222049, actvprof=,0.288057, id=,S07, PRDE,actvstrat=,0.056012, actvprof=,0.104862, id=,S08, PRDE,actvstrat=,0.457492, actvprof=,0.036528, id=,S09, PRDE,actvstrat=,0.311862, actvprof=,0.004306, id=,S10, PRDE,actvstrat=,0.583501, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.960804, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.653644, best_B_strat=,-0.158453, best_S_id=,S00, best_S_prof=,6.644761, best_S_strat=,0.167075, 
