t=,1, id=,B00, PRDE,actvstrat=,-0.034420, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.447590, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.038474, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.472963, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.840188, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.816896, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.812182, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.300422, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.912181, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.228309, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.654628, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.464640, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.607655, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.804393, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.138310, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.110682, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.776201, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.132369, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.691938, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.662118, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.904373, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.967013, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.234495, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.331827, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.034420, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.607655, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.034420, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.447590, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.038474, actvprof=,0.005000, id=,B03, PRDE,actvstrat=,0.472963, actvprof=,0.099999, id=,B04, PRDE,actvstrat=,-0.840188, actvprof=,0.173054, id=,B05, PRDE,actvstrat=,-0.816896, actvprof=,0.520827, id=,B06, PRDE,actvstrat=,-0.812182, actvprof=,1.151376, id=,B07, PRDE,actvstrat=,-0.300422, actvprof=,1.851645, id=,B08, PRDE,actvstrat=,-0.912181, actvprof=,3.795512, id=,B09, PRDE,actvstrat=,0.228309, actvprof=,5.063830, id=,B10, PRDE,actvstrat=,-0.654628, actvprof=,6.124929, id=,B11, PRDE,actvstrat=,0.464640, actvprof=,8.648233, id=,S00, PRDE,actvstrat=,0.607655, actvprof=,7.643245, id=,S01, PRDE,actvstrat=,0.804393, actvprof=,6.549369, id=,S02, PRDE,actvstrat=,0.138310, actvprof=,2.723580, id=,S03, PRDE,actvstrat=,0.110682, actvprof=,1.856090, id=,S04, PRDE,actvstrat=,0.776201, actvprof=,2.367195, id=,S05, PRDE,actvstrat=,-0.132369, actvprof=,0.268052, id=,S06, PRDE,actvstrat=,-0.691938, actvprof=,0.068333, id=,S07, PRDE,actvstrat=,0.662118, actvprof=,0.231942, id=,S08, PRDE,actvstrat=,0.904373, actvprof=,0.162776, id=,S09, PRDE,actvstrat=,0.967013, actvprof=,0.036388, id=,S10, PRDE,actvstrat=,-0.234495, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.331827, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.648233, best_B_strat=,0.464640, best_S_id=,S00, best_S_prof=,7.643245, best_S_strat=,0.607655, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.223953, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.648118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.097421, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.147444, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.234060, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.949363, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.739883, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.065330, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.384383, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.868327, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.345273, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.904045, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.491255, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.485399, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.555064, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.235914, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.698817, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.406204, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.874511, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.131933, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.568297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.950651, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.337091, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.491839, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.223953, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.491255, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.223953, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.648118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.097421, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.147444, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.234060, actvprof=,0.007778, id=,B05, PRDE,actvstrat=,-0.949363, actvprof=,0.259719, id=,B06, PRDE,actvstrat=,0.739883, actvprof=,0.661103, id=,B07, PRDE,actvstrat=,0.065330, actvprof=,0.721381, id=,B08, PRDE,actvstrat=,0.384383, actvprof=,1.819701, id=,B09, PRDE,actvstrat=,0.868327, actvprof=,3.049965, id=,B10, PRDE,actvstrat=,-0.345273, actvprof=,2.822190, id=,B11, PRDE,actvstrat=,-0.904045, actvprof=,4.927999, id=,S00, PRDE,actvstrat=,0.491255, actvprof=,10.080717, id=,S01, PRDE,actvstrat=,0.485399, actvprof=,7.975185, id=,S02, PRDE,actvstrat=,-0.555064, actvprof=,2.146642, id=,S03, PRDE,actvstrat=,-0.235914, actvprof=,1.474427, id=,S04, PRDE,actvstrat=,0.698817, actvprof=,3.796067, id=,S05, PRDE,actvstrat=,0.406204, actvprof=,1.386095, id=,S06, PRDE,actvstrat=,-0.874511, actvprof=,0.012500, id=,S07, PRDE,actvstrat=,0.131933, actvprof=,0.097221, id=,S08, PRDE,actvstrat=,-0.568297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.950651, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.337091, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.491839, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.927999, best_B_strat=,-0.904045, best_S_id=,S00, best_S_prof=,10.080717, best_S_strat=,0.491255, 
t=,14400, id=,B00, PRDE,actvstrat=,0.238316, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.015456, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.838988, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.574130, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.261924, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.457510, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.423163, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.572888, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.581455, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.366695, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.046045, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.869146, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.261941, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.485399, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.182597, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.114305, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.768689, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.304209, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.666687, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.688110, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.342940, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.603583, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.337091, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.514674, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.238316, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.261941, 
t=,18000, id=,B00, PRDE,actvstrat=,0.238316, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.015456, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.838988, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,0.574130, actvprof=,0.030000, id=,B04, PRDE,actvstrat=,0.261924, actvprof=,0.076667, id=,B05, PRDE,actvstrat=,-0.457510, actvprof=,0.105833, id=,B06, PRDE,actvstrat=,-0.423163, actvprof=,0.296944, id=,B07, PRDE,actvstrat=,-0.572888, actvprof=,0.861389, id=,B08, PRDE,actvstrat=,0.581455, actvprof=,2.274722, id=,B09, PRDE,actvstrat=,-0.366695, actvprof=,2.116389, id=,B10, PRDE,actvstrat=,0.046045, actvprof=,3.472778, id=,B11, PRDE,actvstrat=,-0.869146, actvprof=,5.250278, id=,S00, PRDE,actvstrat=,0.261941, actvprof=,7.679167, id=,S01, PRDE,actvstrat=,0.485399, actvprof=,6.882222, id=,S02, PRDE,actvstrat=,0.182597, actvprof=,4.371389, id=,S03, PRDE,actvstrat=,-0.114305, actvprof=,1.748611, id=,S04, PRDE,actvstrat=,-0.768689, actvprof=,0.285278, id=,S05, PRDE,actvstrat=,-0.304209, actvprof=,0.325278, id=,S06, PRDE,actvstrat=,-0.666687, actvprof=,0.106667, id=,S07, PRDE,actvstrat=,-0.688110, actvprof=,0.026944, id=,S08, PRDE,actvstrat=,0.342940, actvprof=,0.043889, id=,S09, PRDE,actvstrat=,-0.603583, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,0.337091, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.514674, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.250278, best_B_strat=,-0.869146, best_S_id=,S00, best_S_prof=,7.679167, best_S_strat=,0.261941, 
t=,21600, id=,B00, PRDE,actvstrat=,0.238316, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.015456, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.838988, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.574130, actvprof=,0.024445, id=,B04, PRDE,actvstrat=,0.261924, actvprof=,0.062639, id=,B05, PRDE,actvstrat=,-0.457510, actvprof=,0.121390, id=,B06, PRDE,actvstrat=,-0.423163, actvprof=,0.314168, id=,B07, PRDE,actvstrat=,-0.572888, actvprof=,0.786810, id=,B08, PRDE,actvstrat=,0.581455, actvprof=,2.338486, id=,B09, PRDE,actvstrat=,-0.366695, actvprof=,2.160985, id=,B10, PRDE,actvstrat=,0.046045, actvprof=,3.402381, id=,B11, PRDE,actvstrat=,-0.869146, actvprof=,5.163780, id=,S00, PRDE,actvstrat=,0.261941, actvprof=,7.639905, id=,S01, PRDE,actvstrat=,0.485399, actvprof=,7.043513, id=,S02, PRDE,actvstrat=,0.182597, actvprof=,4.272108, id=,S03, PRDE,actvstrat=,-0.114305, actvprof=,1.634732, id=,S04, PRDE,actvstrat=,-0.768689, actvprof=,0.283335, id=,S05, PRDE,actvstrat=,-0.304209, actvprof=,0.316113, id=,S06, PRDE,actvstrat=,-0.666687, actvprof=,0.098334, id=,S07, PRDE,actvstrat=,-0.688110, actvprof=,0.023056, id=,S08, PRDE,actvstrat=,0.342940, actvprof=,0.039722, id=,S09, PRDE,actvstrat=,-0.603583, actvprof=,0.000694, id=,S10, PRDE,actvstrat=,0.337091, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.514674, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.163780, best_B_strat=,-0.869146, best_S_id=,S00, best_S_prof=,7.639905, best_S_strat=,0.261941, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.464026, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.976025, actvprof=,0.007222, id=,B03, PRDE,actvstrat=,-0.039140, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.301974, actvprof=,0.046944, id=,B05, PRDE,actvstrat=,-0.144001, actvprof=,0.166665, id=,B06, PRDE,actvstrat=,-0.432756, actvprof=,0.569993, id=,B07, PRDE,actvstrat=,-0.712252, actvprof=,1.116098, id=,B08, PRDE,actvstrat=,0.689814, actvprof=,4.036620, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.652168, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,7.356304, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,9.693777, id=,S00, PRDE,actvstrat=,-0.880019, actvprof=,1.432483, id=,S01, PRDE,actvstrat=,0.325675, actvprof=,3.743290, id=,S02, PRDE,actvstrat=,-0.518157, actvprof=,0.962767, id=,S03, PRDE,actvstrat=,0.938230, actvprof=,3.161075, id=,S04, PRDE,actvstrat=,-0.061925, actvprof=,0.426384, id=,S05, PRDE,actvstrat=,0.878892, actvprof=,1.389428, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.996100, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.247775, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.109165, id=,S09, PRDE,actvstrat=,0.824938, actvprof=,0.009444, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.672384, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.693777, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.743290, best_S_strat=,0.325675, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.724338, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.648118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.696387, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.472963, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.301974, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.949363, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.432756, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.497276, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.963272, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.663306, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.681378, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.271090, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.325675, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.555064, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.235914, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.233261, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.406204, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.305922, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.949270, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.012088, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.824938, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.624640, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.366464, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.724338, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.271090, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.724338, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.648118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.696387, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.472963, actvprof=,0.013611, id=,B04, PRDE,actvstrat=,-0.301974, actvprof=,0.044722, id=,B05, PRDE,actvstrat=,-0.949363, actvprof=,0.407222, id=,B06, PRDE,actvstrat=,-0.432756, actvprof=,0.381389, id=,B07, PRDE,actvstrat=,-0.497276, actvprof=,0.650000, id=,B08, PRDE,actvstrat=,0.963272, actvprof=,1.208611, id=,B09, PRDE,actvstrat=,0.663306, actvprof=,3.065556, id=,B10, PRDE,actvstrat=,0.681378, actvprof=,4.136111, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,4.303333, id=,S00, PRDE,actvstrat=,0.271090, actvprof=,9.055000, id=,S01, PRDE,actvstrat=,0.325675, actvprof=,7.710278, id=,S02, PRDE,actvstrat=,-0.555064, actvprof=,3.225000, id=,S03, PRDE,actvstrat=,-0.235914, actvprof=,2.345556, id=,S04, PRDE,actvstrat=,-0.233261, actvprof=,1.704167, id=,S05, PRDE,actvstrat=,0.406204, actvprof=,2.586111, id=,S06, PRDE,actvstrat=,0.305922, actvprof=,1.273611, id=,S07, PRDE,actvstrat=,0.949270, actvprof=,1.798056, id=,S08, PRDE,actvstrat=,-0.012088, actvprof=,0.162500, id=,S09, PRDE,actvstrat=,0.824938, actvprof=,0.470556, id=,S10, PRDE,actvstrat=,-0.624640, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.366464, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.303333, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,9.055000, best_S_strat=,0.271090, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.724338, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.648118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.696387, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.472963, actvprof=,0.020833, id=,B04, PRDE,actvstrat=,-0.301974, actvprof=,0.036667, id=,B05, PRDE,actvstrat=,-0.949363, actvprof=,0.380697, id=,B06, PRDE,actvstrat=,-0.432756, actvprof=,0.325002, id=,B07, PRDE,actvstrat=,-0.497276, actvprof=,0.692921, id=,B08, PRDE,actvstrat=,0.963272, actvprof=,1.224174, id=,B09, PRDE,actvstrat=,0.663306, actvprof=,3.030156, id=,B10, PRDE,actvstrat=,0.681378, actvprof=,4.202108, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,4.509054, id=,S00, PRDE,actvstrat=,0.271090, actvprof=,9.184914, id=,S01, PRDE,actvstrat=,0.325675, actvprof=,7.812129, id=,S02, PRDE,actvstrat=,-0.555064, actvprof=,3.379742, id=,S03, PRDE,actvstrat=,-0.235914, actvprof=,2.364597, id=,S04, PRDE,actvstrat=,-0.233261, actvprof=,1.642371, id=,S05, PRDE,actvstrat=,0.406204, actvprof=,2.527654, id=,S06, PRDE,actvstrat=,0.305922, actvprof=,1.220285, id=,S07, PRDE,actvstrat=,0.949270, actvprof=,1.745010, id=,S08, PRDE,actvstrat=,-0.012088, actvprof=,0.158195, id=,S09, PRDE,actvstrat=,0.824938, actvprof=,0.442919, id=,S10, PRDE,actvstrat=,-0.624640, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,-0.366464, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.509054, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,9.184914, best_S_strat=,0.271090, 
