t=,0, id=,B00, PRDE,actvstrat=,0.834982, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.823822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.327908, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.357987, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.006971, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.416114, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.796077, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.047084, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.353430, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.896086, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.586955, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.338921, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.883394, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.898308, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.245380, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.810967, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.122012, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.857020, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.972929, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.533008, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.877927, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.591976, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.080013, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.738794, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.834982, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.883394, 
t=,3600, id=,B00, PRDE,actvstrat=,0.834982, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.823822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.327908, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.357987, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.006971, actvprof=,0.035833, id=,B05, PRDE,actvstrat=,0.416114, actvprof=,0.182776, id=,B06, PRDE,actvstrat=,-0.796077, actvprof=,0.412217, id=,B07, PRDE,actvstrat=,-0.047084, actvprof=,0.523050, id=,B08, PRDE,actvstrat=,0.353430, actvprof=,1.111098, id=,B09, PRDE,actvstrat=,0.896086, actvprof=,2.344973, id=,B10, PRDE,actvstrat=,0.586955, actvprof=,3.168852, id=,B11, PRDE,actvstrat=,-0.338921, actvprof=,3.023576, id=,S00, PRDE,actvstrat=,-0.883394, actvprof=,1.258041, id=,S01, PRDE,actvstrat=,0.898308, actvprof=,11.453479, id=,S02, PRDE,actvstrat=,0.245380, actvprof=,6.235483, id=,S03, PRDE,actvstrat=,-0.810967, actvprof=,0.832490, id=,S04, PRDE,actvstrat=,0.122012, actvprof=,3.080798, id=,S05, PRDE,actvstrat=,-0.857020, actvprof=,0.138332, id=,S06, PRDE,actvstrat=,-0.972929, actvprof=,0.575827, id=,S07, PRDE,actvstrat=,0.533008, actvprof=,0.749436, id=,S08, PRDE,actvstrat=,-0.877927, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.591976, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,-0.080013, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.738794, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.168852, best_B_strat=,0.586955, best_S_id=,S01, best_S_prof=,11.453479, best_S_strat=,0.898308, 
t=,7200, id=,B00, PRDE,actvstrat=,0.705109, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.496372, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.017691, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.916757, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.295927, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.636852, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.111743, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.561082, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.111819, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.991280, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.892752, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.064412, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.438172, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.857661, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.108619, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.564106, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.710322, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.431764, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.140567, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.942755, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.126517, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.049824, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.964391, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.208646, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.705109, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.438172, 
t=,10800, id=,B00, PRDE,actvstrat=,0.705109, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.496372, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.017691, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.916757, actvprof=,0.008055, id=,B04, PRDE,actvstrat=,0.295927, actvprof=,0.015278, id=,B05, PRDE,actvstrat=,-0.636852, actvprof=,0.026111, id=,B06, PRDE,actvstrat=,0.111743, actvprof=,0.299997, id=,B07, PRDE,actvstrat=,-0.561082, actvprof=,0.401940, id=,B08, PRDE,actvstrat=,-0.111819, actvprof=,1.072488, id=,B09, PRDE,actvstrat=,0.991280, actvprof=,2.286640, id=,B10, PRDE,actvstrat=,-0.892752, actvprof=,2.604414, id=,B11, PRDE,actvstrat=,-0.064412, actvprof=,5.120496, id=,S00, PRDE,actvstrat=,-0.438172, actvprof=,3.913844, id=,S01, PRDE,actvstrat=,-0.857661, actvprof=,1.133042, id=,S02, PRDE,actvstrat=,0.108619, actvprof=,3.607180, id=,S03, PRDE,actvstrat=,-0.564106, actvprof=,1.049155, id=,S04, PRDE,actvstrat=,0.710322, actvprof=,3.394127, id=,S05, PRDE,actvstrat=,-0.431764, actvprof=,0.438606, id=,S06, PRDE,actvstrat=,-0.140567, actvprof=,0.241664, id=,S07, PRDE,actvstrat=,0.942755, actvprof=,1.424984, id=,S08, PRDE,actvstrat=,-0.126517, actvprof=,0.013055, id=,S09, PRDE,actvstrat=,0.049824, actvprof=,0.007222, id=,S10, PRDE,actvstrat=,0.964391, actvprof=,0.007222, id=,S11, PRDE,actvstrat=,-0.208646, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.120496, best_B_strat=,-0.064412, best_S_id=,S00, best_S_prof=,3.913844, best_S_strat=,-0.438172, 
t=,14400, id=,B00, PRDE,actvstrat=,0.497360, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.496372, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.024076, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.918153, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.032274, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.846907, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.558392, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.561082, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.111819, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.117220, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.316628, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.064412, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.268289, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.443245, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.459754, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.292853, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.710322, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.812762, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.543204, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.767830, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.802356, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.074296, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.628870, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.900094, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.497360, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.268289, 
t=,18000, id=,B00, PRDE,actvstrat=,0.497360, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.496372, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.024076, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.918153, actvprof=,0.044167, id=,B04, PRDE,actvstrat=,0.032274, actvprof=,0.046389, id=,B05, PRDE,actvstrat=,-0.846907, actvprof=,0.305837, id=,B06, PRDE,actvstrat=,-0.558392, actvprof=,0.374727, id=,B07, PRDE,actvstrat=,-0.561082, actvprof=,0.957511, id=,B08, PRDE,actvstrat=,-0.111819, actvprof=,1.855021, id=,B09, PRDE,actvstrat=,-0.117220, actvprof=,2.881700, id=,B10, PRDE,actvstrat=,0.316628, actvprof=,4.942557, id=,B11, PRDE,actvstrat=,-0.064412, actvprof=,5.763400, id=,S00, PRDE,actvstrat=,0.268289, actvprof=,7.703145, id=,S01, PRDE,actvstrat=,0.443245, actvprof=,5.893402, id=,S02, PRDE,actvstrat=,-0.459754, actvprof=,1.519462, id=,S03, PRDE,actvstrat=,0.292853, actvprof=,2.756143, id=,S04, PRDE,actvstrat=,0.710322, actvprof=,2.666142, id=,S05, PRDE,actvstrat=,-0.812762, actvprof=,0.176113, id=,S06, PRDE,actvstrat=,0.543204, actvprof=,0.805843, id=,S07, PRDE,actvstrat=,-0.767830, actvprof=,0.029723, id=,S08, PRDE,actvstrat=,-0.802356, actvprof=,0.003333, id=,S09, PRDE,actvstrat=,-0.074296, actvprof=,0.007222, id=,S10, PRDE,actvstrat=,0.628870, actvprof=,0.001944, id=,S11, PRDE,actvstrat=,0.900094, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.763400, best_B_strat=,-0.064412, best_S_id=,S00, best_S_prof=,7.703145, best_S_strat=,0.268289, 
t=,21600, id=,B00, PRDE,actvstrat=,0.497360, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.496372, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.024076, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.918153, actvprof=,0.042639, id=,B04, PRDE,actvstrat=,0.032274, actvprof=,0.047362, id=,B05, PRDE,actvstrat=,-0.846907, actvprof=,0.329587, id=,B06, PRDE,actvstrat=,-0.558392, actvprof=,0.375421, id=,B07, PRDE,actvstrat=,-0.561082, actvprof=,1.046679, id=,B08, PRDE,actvstrat=,-0.111819, actvprof=,1.776271, id=,B09, PRDE,actvstrat=,-0.117220, actvprof=,3.005174, id=,B10, PRDE,actvstrat=,0.316628, actvprof=,4.888251, id=,B11, PRDE,actvstrat=,-0.064412, actvprof=,5.771872, id=,S00, PRDE,actvstrat=,0.268289, actvprof=,7.576615, id=,S01, PRDE,actvstrat=,0.443245, actvprof=,6.179655, id=,S02, PRDE,actvstrat=,-0.459754, actvprof=,1.551129, id=,S03, PRDE,actvstrat=,0.292853, actvprof=,2.661420, id=,S04, PRDE,actvstrat=,0.710322, actvprof=,2.934617, id=,S05, PRDE,actvstrat=,-0.812762, actvprof=,0.180974, id=,S06, PRDE,actvstrat=,0.543204, actvprof=,0.827093, id=,S07, PRDE,actvstrat=,-0.767830, actvprof=,0.030139, id=,S08, PRDE,actvstrat=,-0.802356, actvprof=,0.001667, id=,S09, PRDE,actvstrat=,-0.074296, actvprof=,0.003750, id=,S10, PRDE,actvstrat=,0.628870, actvprof=,0.000972, id=,S11, PRDE,actvstrat=,0.900094, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.771872, best_B_strat=,-0.064412, best_S_id=,S00, best_S_prof=,7.576615, best_S_strat=,0.268289, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,0.721934, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.063613, id=,B04, PRDE,actvstrat=,-0.818640, actvprof=,0.264728, id=,B05, PRDE,actvstrat=,-0.330192, actvprof=,0.416676, id=,B06, PRDE,actvstrat=,-0.284171, actvprof=,0.896965, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.426468, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.129772, id=,B09, PRDE,actvstrat=,0.263839, actvprof=,5.046783, id=,B10, PRDE,actvstrat=,0.451150, actvprof=,6.321813, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,4.838445, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.773861, id=,S01, PRDE,actvstrat=,-0.576634, actvprof=,3.537582, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.036529, id=,S03, PRDE,actvstrat=,0.938012, actvprof=,5.883747, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,3.750920, id=,S05, PRDE,actvstrat=,-0.058182, actvprof=,1.127526, id=,S06, PRDE,actvstrat=,0.527168, actvprof=,1.697817, id=,S07, PRDE,actvstrat=,-0.405167, actvprof=,0.226116, id=,S08, PRDE,actvstrat=,-0.152819, actvprof=,0.123058, id=,S09, PRDE,actvstrat=,0.837996, actvprof=,0.428343, id=,S10, PRDE,actvstrat=,0.049857, actvprof=,0.023612, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.321813, best_B_strat=,0.451150, best_S_id=,S00, best_S_prof=,10.773861, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.001806, id=,B02, PRDE,actvstrat=,0.721934, actvprof=,0.010000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.069306, id=,B04, PRDE,actvstrat=,-0.818640, actvprof=,0.245003, id=,B05, PRDE,actvstrat=,-0.330192, actvprof=,0.397921, id=,B06, PRDE,actvstrat=,-0.284171, actvprof=,0.959872, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.434345, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.256276, id=,B09, PRDE,actvstrat=,0.263839, actvprof=,4.857695, id=,B10, PRDE,actvstrat=,0.451150, actvprof=,6.215072, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,4.777555, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.616651, id=,S01, PRDE,actvstrat=,-0.576634, actvprof=,3.346567, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.150071, id=,S03, PRDE,actvstrat=,0.938012, actvprof=,5.888263, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,3.727960, id=,S05, PRDE,actvstrat=,-0.058182, actvprof=,1.079040, id=,S06, PRDE,actvstrat=,0.527168, actvprof=,1.614602, id=,S07, PRDE,actvstrat=,-0.405167, actvprof=,0.190141, id=,S08, PRDE,actvstrat=,-0.152819, actvprof=,0.096946, id=,S09, PRDE,actvstrat=,0.837996, actvprof=,0.455283, id=,S10, PRDE,actvstrat=,0.049857, actvprof=,0.026806, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.215072, best_B_strat=,0.451150, best_S_id=,S00, best_S_prof=,10.616651, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.001317, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.923605, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.721934, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.916757, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.006971, actvprof=,0.005834, id=,B05, PRDE,actvstrat=,0.416114, actvprof=,0.064724, id=,B06, PRDE,actvstrat=,0.646350, actvprof=,0.179173, id=,B07, PRDE,actvstrat=,-0.605873, actvprof=,0.161672, id=,B08, PRDE,actvstrat=,0.842970, actvprof=,1.231987, id=,B09, PRDE,actvstrat=,0.263839, actvprof=,1.216987, id=,B10, PRDE,actvstrat=,0.249829, actvprof=,1.829230, id=,B11, PRDE,actvstrat=,0.545643, actvprof=,3.451509, id=,S00, PRDE,actvstrat=,-0.438172, actvprof=,6.281329, id=,S01, PRDE,actvstrat=,-0.576634, actvprof=,4.333762, id=,S02, PRDE,actvstrat=,0.108619, actvprof=,6.085767, id=,S03, PRDE,actvstrat=,-0.235908, actvprof=,2.441474, id=,S04, PRDE,actvstrat=,-0.729576, actvprof=,0.806972, id=,S05, PRDE,actvstrat=,-0.427908, actvprof=,0.673912, id=,S06, PRDE,actvstrat=,0.527168, actvprof=,1.712004, id=,S07, PRDE,actvstrat=,-0.405167, actvprof=,0.186118, id=,S08, PRDE,actvstrat=,-0.899710, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.049824, actvprof=,0.020556, id=,S10, PRDE,actvstrat=,0.448069, actvprof=,0.013056, id=,S11, PRDE,actvstrat=,-0.564472, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.451509, best_B_strat=,0.545643, best_S_id=,S00, best_S_prof=,6.281329, best_S_strat=,-0.438172, 
t=,36000, id=,B00, PRDE,actvstrat=,0.001317, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.923605, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.721934, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.916757, actvprof=,0.002917, id=,B04, PRDE,actvstrat=,-0.006971, actvprof=,0.002917, id=,B05, PRDE,actvstrat=,0.416114, actvprof=,0.077501, id=,B06, PRDE,actvstrat=,0.646350, actvprof=,0.176253, id=,B07, PRDE,actvstrat=,-0.605873, actvprof=,0.143475, id=,B08, PRDE,actvstrat=,0.842970, actvprof=,1.170576, id=,B09, PRDE,actvstrat=,0.263839, actvprof=,1.191826, id=,B10, PRDE,actvstrat=,0.249829, actvprof=,1.792114, id=,B11, PRDE,actvstrat=,0.545643, actvprof=,3.411170, id=,S00, PRDE,actvstrat=,-0.438172, actvprof=,5.972465, id=,S01, PRDE,actvstrat=,-0.576634, actvprof=,4.177017, id=,S02, PRDE,actvstrat=,0.108619, actvprof=,5.984687, id=,S03, PRDE,actvstrat=,-0.235908, actvprof=,2.471571, id=,S04, PRDE,actvstrat=,-0.729576, actvprof=,0.763347, id=,S05, PRDE,actvstrat=,-0.427908, actvprof=,0.756263, id=,S06, PRDE,actvstrat=,0.527168, actvprof=,1.656973, id=,S07, PRDE,actvstrat=,-0.405167, actvprof=,0.157642, id=,S08, PRDE,actvstrat=,-0.899710, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.049824, actvprof=,0.045140, id=,S10, PRDE,actvstrat=,0.448069, actvprof=,0.013334, id=,S11, PRDE,actvstrat=,-0.564472, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.411170, best_B_strat=,0.545643, best_S_id=,S02, best_S_prof=,5.984687, best_S_strat=,0.108619, 
