t=,1, id=,B00, PRDE,actvstrat=,-0.184106, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.945053, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.120141, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.431210, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.794919, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.362471, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.404316, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.361664, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.101678, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.045152, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.026229, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.098069, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.705465, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.378053, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.877657, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.372820, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.883896, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.619066, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.826313, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.252326, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.922052, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.355876, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.373342, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.366970, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.184106, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.705465, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.184106, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.945053, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.120141, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.431210, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,0.794919, actvprof=,0.092499, id=,B05, PRDE,actvstrat=,0.362471, actvprof=,0.188609, id=,B06, PRDE,actvstrat=,0.404316, actvprof=,0.656937, id=,B07, PRDE,actvstrat=,-0.361664, actvprof=,0.739991, id=,B08, PRDE,actvstrat=,-0.101678, actvprof=,1.833312, id=,B09, PRDE,actvstrat=,0.045152, actvprof=,3.065242, id=,B10, PRDE,actvstrat=,0.026229, actvprof=,4.687168, id=,B11, PRDE,actvstrat=,-0.098069, actvprof=,5.980486, id=,S00, PRDE,actvstrat=,-0.705465, actvprof=,3.181352, id=,S01, PRDE,actvstrat=,0.378053, actvprof=,6.249928, id=,S02, PRDE,actvstrat=,-0.877657, actvprof=,0.693603, id=,S03, PRDE,actvstrat=,0.372820, actvprof=,2.969966, id=,S04, PRDE,actvstrat=,0.883896, actvprof=,3.529126, id=,S05, PRDE,actvstrat=,-0.619066, actvprof=,0.338885, id=,S06, PRDE,actvstrat=,0.826313, actvprof=,1.229986, id=,S07, PRDE,actvstrat=,0.252326, actvprof=,0.148887, id=,S08, PRDE,actvstrat=,-0.922052, actvprof=,0.019166, id=,S09, PRDE,actvstrat=,0.355876, actvprof=,0.004722, id=,S10, PRDE,actvstrat=,-0.373342, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.366970, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.980486, best_B_strat=,-0.098069, best_S_id=,S01, best_S_prof=,6.249928, best_S_strat=,0.378053, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.106816, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.174213, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.684267, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.063587, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.470050, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.862383, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.640333, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.012101, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.879008, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.601818, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.724490, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.592442, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.974147, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.645729, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.353196, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.882531, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.094706, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.960259, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.246375, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.453281, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.542934, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.090838, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.070252, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.089888, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.106816, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.974147, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.106816, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.174213, actvprof=,0.002500, id=,B02, PRDE,actvstrat=,-0.684267, actvprof=,0.005833, id=,B03, PRDE,actvstrat=,0.063587, actvprof=,0.034999, id=,B04, PRDE,actvstrat=,-0.470050, actvprof=,0.098885, id=,B05, PRDE,actvstrat=,0.862383, actvprof=,0.703587, id=,B06, PRDE,actvstrat=,-0.640333, actvprof=,0.669977, id=,B07, PRDE,actvstrat=,-0.012101, actvprof=,0.970800, id=,B08, PRDE,actvstrat=,0.879008, actvprof=,2.306587, id=,B09, PRDE,actvstrat=,-0.601818, actvprof=,2.591021, id=,B10, PRDE,actvstrat=,0.724490, actvprof=,4.475956, id=,B11, PRDE,actvstrat=,0.592442, actvprof=,5.779799, id=,S00, PRDE,actvstrat=,0.974147, actvprof=,11.709593, id=,S01, PRDE,actvstrat=,0.645729, actvprof=,8.630811, id=,S02, PRDE,actvstrat=,-0.353196, actvprof=,2.241589, id=,S03, PRDE,actvstrat=,0.882531, actvprof=,6.616159, id=,S04, PRDE,actvstrat=,-0.094706, actvprof=,1.415229, id=,S05, PRDE,actvstrat=,-0.960259, actvprof=,0.958578, id=,S06, PRDE,actvstrat=,0.246375, actvprof=,0.732475, id=,S07, PRDE,actvstrat=,0.453281, actvprof=,0.516371, id=,S08, PRDE,actvstrat=,0.542934, actvprof=,0.217770, id=,S09, PRDE,actvstrat=,-0.090838, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.070252, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,0.089888, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.779799, best_B_strat=,0.592442, best_S_id=,S00, best_S_prof=,11.709593, best_S_strat=,0.974147, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.106816, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.421425, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.800154, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.724936, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.336518, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.044677, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.864528, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.190987, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.705123, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.388484, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.725899, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.592442, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.391928, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.645729, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.304324, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.875176, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.883896, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.960259, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.246375, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.425175, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.542934, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.090838, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.995946, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.380867, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.106816, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.391928, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.106816, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.421425, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.800154, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.724936, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.336518, actvprof=,0.054444, id=,B05, PRDE,actvstrat=,-0.044677, actvprof=,0.243331, id=,B06, PRDE,actvstrat=,-0.864528, actvprof=,0.871379, id=,B07, PRDE,actvstrat=,-0.190987, actvprof=,1.655814, id=,B08, PRDE,actvstrat=,-0.705123, actvprof=,2.289696, id=,B09, PRDE,actvstrat=,0.388484, actvprof=,5.104663, id=,B10, PRDE,actvstrat=,-0.725899, actvprof=,5.168274, id=,B11, PRDE,actvstrat=,0.592442, actvprof=,8.489624, id=,S00, PRDE,actvstrat=,-0.391928, actvprof=,2.026365, id=,S01, PRDE,actvstrat=,0.645729, actvprof=,5.881321, id=,S02, PRDE,actvstrat=,0.304324, actvprof=,3.235518, id=,S03, PRDE,actvstrat=,0.875176, actvprof=,3.793012, id=,S04, PRDE,actvstrat=,0.883896, actvprof=,3.010521, id=,S05, PRDE,actvstrat=,-0.960259, actvprof=,0.714714, id=,S06, PRDE,actvstrat=,0.246375, actvprof=,0.280275, id=,S07, PRDE,actvstrat=,-0.425175, actvprof=,0.018889, id=,S08, PRDE,actvstrat=,0.542934, actvprof=,0.064444, id=,S09, PRDE,actvstrat=,-0.090838, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.995946, actvprof=,0.031944, id=,S11, PRDE,actvstrat=,-0.380867, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.489624, best_B_strat=,0.592442, best_S_id=,S01, best_S_prof=,5.881321, best_S_strat=,0.645729, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.106816, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.421425, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.800154, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.724936, actvprof=,0.009861, id=,B04, PRDE,actvstrat=,-0.336518, actvprof=,0.057361, id=,B05, PRDE,actvstrat=,-0.044677, actvprof=,0.290974, id=,B06, PRDE,actvstrat=,-0.864528, actvprof=,0.855977, id=,B07, PRDE,actvstrat=,-0.190987, actvprof=,1.543759, id=,B08, PRDE,actvstrat=,-0.705123, actvprof=,2.286124, id=,B09, PRDE,actvstrat=,0.388484, actvprof=,4.910862, id=,B10, PRDE,actvstrat=,-0.725899, actvprof=,5.315031, id=,B11, PRDE,actvstrat=,0.592442, actvprof=,8.306576, id=,S00, PRDE,actvstrat=,-0.391928, actvprof=,2.251263, id=,S01, PRDE,actvstrat=,0.645729, actvprof=,5.863645, id=,S02, PRDE,actvstrat=,0.304324, actvprof=,2.948767, id=,S03, PRDE,actvstrat=,0.875176, actvprof=,4.029468, id=,S04, PRDE,actvstrat=,0.883896, actvprof=,3.105712, id=,S05, PRDE,actvstrat=,-0.960259, actvprof=,0.745282, id=,S06, PRDE,actvstrat=,0.246375, actvprof=,0.261113, id=,S07, PRDE,actvstrat=,-0.425175, actvprof=,0.021250, id=,S08, PRDE,actvstrat=,0.542934, actvprof=,0.085973, id=,S09, PRDE,actvstrat=,-0.090838, actvprof=,0.003889, id=,S10, PRDE,actvstrat=,0.995946, actvprof=,0.026945, id=,S11, PRDE,actvstrat=,-0.380867, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.306576, best_B_strat=,0.592442, best_S_id=,S01, best_S_prof=,5.863645, best_S_strat=,0.645729, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.239639, actvprof=,0.003056, id=,B02, PRDE,actvstrat=,-0.373488, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,0.254342, actvprof=,0.013889, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.043612, id=,B05, PRDE,actvstrat=,0.127847, actvprof=,0.135835, id=,B06, PRDE,actvstrat=,-0.707307, actvprof=,0.333337, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.207236, id=,B08, PRDE,actvstrat=,0.183215, actvprof=,0.891677, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.753898, id=,B10, PRDE,actvstrat=,0.794811, actvprof=,2.803366, id=,B11, PRDE,actvstrat=,0.446463, actvprof=,3.954212, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,14.683503, id=,S01, PRDE,actvstrat=,-0.696661, actvprof=,3.199481, id=,S02, PRDE,actvstrat=,-0.825743, actvprof=,1.010845, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,8.380930, id=,S04, PRDE,actvstrat=,-0.034334, actvprof=,2.615586, id=,S05, PRDE,actvstrat=,0.010422, actvprof=,2.073913, id=,S06, PRDE,actvstrat=,0.322252, actvprof=,1.503629, id=,S07, PRDE,actvstrat=,0.384736, actvprof=,1.040012, id=,S08, PRDE,actvstrat=,-0.640198, actvprof=,0.011945, id=,S09, PRDE,actvstrat=,0.472550, actvprof=,0.061112, id=,S10, PRDE,actvstrat=,-0.535397, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.637569, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.954212, best_B_strat=,0.446463, best_S_id=,S00, best_S_prof=,14.683503, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.239639, actvprof=,0.001528, id=,B02, PRDE,actvstrat=,-0.373488, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,0.254342, actvprof=,0.008194, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.069028, id=,B05, PRDE,actvstrat=,0.127847, actvprof=,0.131806, id=,B06, PRDE,actvstrat=,-0.707307, actvprof=,0.319446, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.100284, id=,B08, PRDE,actvstrat=,0.183215, actvprof=,0.931116, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.810144, id=,B10, PRDE,actvstrat=,0.794811, actvprof=,2.745155, id=,B11, PRDE,actvstrat=,0.446463, actvprof=,3.916689, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,14.662168, id=,S01, PRDE,actvstrat=,-0.696661, actvprof=,3.117796, id=,S02, PRDE,actvstrat=,-0.825743, actvprof=,0.985978, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,8.435604, id=,S04, PRDE,actvstrat=,-0.034334, actvprof=,2.652376, id=,S05, PRDE,actvstrat=,0.010422, actvprof=,2.085151, id=,S06, PRDE,actvstrat=,0.322252, actvprof=,1.599731, id=,S07, PRDE,actvstrat=,0.384736, actvprof=,1.050978, id=,S08, PRDE,actvstrat=,-0.640198, actvprof=,0.040834, id=,S09, PRDE,actvstrat=,0.472550, actvprof=,0.063611, id=,S10, PRDE,actvstrat=,-0.535397, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.637569, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.916689, best_B_strat=,0.446463, best_S_id=,S00, best_S_prof=,14.662168, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.317238, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.241214, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.684267, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.254342, actvprof=,0.005556, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.033056, id=,B05, PRDE,actvstrat=,0.676094, actvprof=,0.074723, id=,B06, PRDE,actvstrat=,0.739461, actvprof=,0.199169, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.629174, id=,B08, PRDE,actvstrat=,0.870466, actvprof=,1.164736, id=,B09, PRDE,actvstrat=,-0.601818, actvprof=,0.836954, id=,B10, PRDE,actvstrat=,0.794811, actvprof=,2.732532, id=,B11, PRDE,actvstrat=,0.592442, actvprof=,3.931712, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,14.906839, id=,S01, PRDE,actvstrat=,-0.869345, actvprof=,0.716675, id=,S02, PRDE,actvstrat=,0.304324, actvprof=,7.043137, id=,S03, PRDE,actvstrat=,0.200803, actvprof=,4.634776, id=,S04, PRDE,actvstrat=,-0.034334, actvprof=,2.228081, id=,S05, PRDE,actvstrat=,-0.112329, actvprof=,0.916399, id=,S06, PRDE,actvstrat=,0.322252, actvprof=,1.208903, id=,S07, PRDE,actvstrat=,0.022093, actvprof=,0.411394, id=,S08, PRDE,actvstrat=,0.120714, actvprof=,0.189724, id=,S09, PRDE,actvstrat=,0.485971, actvprof=,0.085834, id=,S10, PRDE,actvstrat=,0.919230, actvprof=,0.048612, id=,S11, PRDE,actvstrat=,-0.637569, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.931712, best_B_strat=,0.592442, best_S_id=,S00, best_S_prof=,14.906839, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.317238, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.241214, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.684267, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.254342, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.026667, id=,B05, PRDE,actvstrat=,0.676094, actvprof=,0.060000, id=,B06, PRDE,actvstrat=,0.739461, actvprof=,0.198473, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.624587, id=,B08, PRDE,actvstrat=,0.870466, actvprof=,1.161534, id=,B09, PRDE,actvstrat=,-0.601818, actvprof=,0.817227, id=,B10, PRDE,actvstrat=,0.794811, actvprof=,2.803350, id=,B11, PRDE,actvstrat=,0.592442, actvprof=,3.733216, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,14.653696, id=,S01, PRDE,actvstrat=,-0.869345, actvprof=,0.844033, id=,S02, PRDE,actvstrat=,0.304324, actvprof=,7.036568, id=,S03, PRDE,actvstrat=,0.200803, actvprof=,4.635999, id=,S04, PRDE,actvstrat=,-0.034334, actvprof=,2.181818, id=,S05, PRDE,actvstrat=,-0.112329, actvprof=,0.896533, id=,S06, PRDE,actvstrat=,0.322252, actvprof=,1.240146, id=,S07, PRDE,actvstrat=,0.022093, actvprof=,0.409169, id=,S08, PRDE,actvstrat=,0.120714, actvprof=,0.169029, id=,S09, PRDE,actvstrat=,0.485971, actvprof=,0.084584, id=,S10, PRDE,actvstrat=,0.919230, actvprof=,0.051667, id=,S11, PRDE,actvstrat=,-0.637569, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.733216, best_B_strat=,0.592442, best_S_id=,S00, best_S_prof=,14.653696, best_S_strat=,1.000000, 
