t=,1, id=,B00, PRDE,actvstrat=,0.887504, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.475107, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.820440, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.290975, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.075262, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.823525, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.556917, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.320395, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.659882, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.582329, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.439290, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.960737, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.382132, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.522907, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.094890, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.577093, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.360978, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.947570, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.274205, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.554273, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.124028, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.463454, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.492857, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.377201, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.887504, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.382132, 
t=,3600, id=,B00, PRDE,actvstrat=,0.887504, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.475107, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.820440, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.290975, actvprof=,0.021389, id=,B04, PRDE,actvstrat=,-0.075262, actvprof=,0.074166, id=,B05, PRDE,actvstrat=,-0.823525, actvprof=,0.266941, id=,B06, PRDE,actvstrat=,0.556917, actvprof=,0.940267, id=,B07, PRDE,actvstrat=,0.320395, actvprof=,1.639148, id=,B08, PRDE,actvstrat=,0.659882, actvprof=,3.333573, id=,B09, PRDE,actvstrat=,-0.582329, actvprof=,3.243296, id=,B10, PRDE,actvstrat=,-0.439290, actvprof=,4.821889, id=,B11, PRDE,actvstrat=,-0.960737, actvprof=,6.994641, id=,S00, PRDE,actvstrat=,0.382132, actvprof=,7.032419, id=,S01, PRDE,actvstrat=,0.522907, actvprof=,6.258261, id=,S02, PRDE,actvstrat=,-0.094890, actvprof=,1.983866, id=,S03, PRDE,actvstrat=,0.577093, actvprof=,2.857467, id=,S04, PRDE,actvstrat=,0.360978, actvprof=,1.090543, id=,S05, PRDE,actvstrat=,0.947570, actvprof=,1.917200, id=,S06, PRDE,actvstrat=,-0.274205, actvprof=,0.011389, id=,S07, PRDE,actvstrat=,0.554273, actvprof=,0.043888, id=,S08, PRDE,actvstrat=,-0.124028, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.463454, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.492857, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.377201, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.994641, best_B_strat=,-0.960737, best_S_id=,S00, best_S_prof=,7.032419, best_S_strat=,0.382132, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.866337, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.111913, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.788126, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.591318, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.750848, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.873439, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.139289, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.233950, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.711687, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.509799, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.147663, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.189438, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.497582, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.868161, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.611019, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.911574, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.802444, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.024446, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.554534, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.522411, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.757166, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.662948, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.449334, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.618652, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.866337, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.497582, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.866337, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.111913, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.788126, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.591318, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.750848, actvprof=,0.052499, id=,B05, PRDE,actvstrat=,-0.873439, actvprof=,0.174440, id=,B06, PRDE,actvstrat=,-0.139289, actvprof=,0.311104, id=,B07, PRDE,actvstrat=,0.233950, actvprof=,1.026643, id=,B08, PRDE,actvstrat=,0.711687, actvprof=,2.215226, id=,B09, PRDE,actvstrat=,-0.509799, actvprof=,1.960232, id=,B10, PRDE,actvstrat=,-0.147663, actvprof=,3.129928, id=,B11, PRDE,actvstrat=,0.189438, actvprof=,5.055716, id=,S00, PRDE,actvstrat=,-0.497582, actvprof=,3.986297, id=,S01, PRDE,actvstrat=,-0.868161, actvprof=,0.943867, id=,S02, PRDE,actvstrat=,0.611019, actvprof=,6.594847, id=,S03, PRDE,actvstrat=,0.911574, actvprof=,6.061526, id=,S04, PRDE,actvstrat=,-0.802444, actvprof=,0.402768, id=,S05, PRDE,actvstrat=,0.024446, actvprof=,0.962755, id=,S06, PRDE,actvstrat=,-0.554534, actvprof=,0.124164, id=,S07, PRDE,actvstrat=,-0.522411, actvprof=,0.056943, id=,S08, PRDE,actvstrat=,0.757166, actvprof=,0.304437, id=,S09, PRDE,actvstrat=,0.662948, actvprof=,0.040555, id=,S10, PRDE,actvstrat=,-0.449334, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.618652, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.055716, best_B_strat=,0.189438, best_S_id=,S02, best_S_prof=,6.594847, best_S_strat=,0.611019, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.029043, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.454509, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.752425, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.593396, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.750848, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.934714, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.556917, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.809455, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.711687, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.509799, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.514616, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.586956, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.119551, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.522907, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.629459, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.686579, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.876433, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.986074, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.554534, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.724741, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.747912, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.876902, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.429617, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.618652, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.029043, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.119551, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.029043, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.454509, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.752425, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.593396, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.750848, actvprof=,0.039722, id=,B05, PRDE,actvstrat=,-0.934714, actvprof=,0.262778, id=,B06, PRDE,actvstrat=,0.556917, actvprof=,0.508889, id=,B07, PRDE,actvstrat=,0.809455, actvprof=,1.304722, id=,B08, PRDE,actvstrat=,0.711687, actvprof=,1.976111, id=,B09, PRDE,actvstrat=,-0.509799, actvprof=,1.852222, id=,B10, PRDE,actvstrat=,-0.514616, actvprof=,3.100278, id=,B11, PRDE,actvstrat=,-0.586956, actvprof=,4.654444, id=,S00, PRDE,actvstrat=,0.119551, actvprof=,7.630833, id=,S01, PRDE,actvstrat=,0.522907, actvprof=,7.838611, id=,S02, PRDE,actvstrat=,-0.629459, actvprof=,1.485556, id=,S03, PRDE,actvstrat=,-0.686579, actvprof=,0.846944, id=,S04, PRDE,actvstrat=,0.876433, actvprof=,4.134722, id=,S05, PRDE,actvstrat=,-0.986074, actvprof=,0.771389, id=,S06, PRDE,actvstrat=,-0.554534, actvprof=,0.069722, id=,S07, PRDE,actvstrat=,0.724741, actvprof=,0.210833, id=,S08, PRDE,actvstrat=,0.747912, actvprof=,0.040833, id=,S09, PRDE,actvstrat=,-0.876902, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.429617, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.618652, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.654444, best_B_strat=,-0.586956, best_S_id=,S01, best_S_prof=,7.838611, best_S_strat=,0.522907, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.029043, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.454509, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.752425, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.593396, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,0.750848, actvprof=,0.041667, id=,B05, PRDE,actvstrat=,-0.934714, actvprof=,0.264724, id=,B06, PRDE,actvstrat=,0.556917, actvprof=,0.518614, id=,B07, PRDE,actvstrat=,0.809455, actvprof=,1.389730, id=,B08, PRDE,actvstrat=,0.711687, actvprof=,2.123623, id=,B09, PRDE,actvstrat=,-0.509799, actvprof=,1.776260, id=,B10, PRDE,actvstrat=,-0.514616, actvprof=,3.002378, id=,B11, PRDE,actvstrat=,-0.586956, actvprof=,4.540443, id=,S00, PRDE,actvstrat=,0.119551, actvprof=,7.568794, id=,S01, PRDE,actvstrat=,0.522907, actvprof=,7.965046, id=,S02, PRDE,actvstrat=,-0.629459, actvprof=,1.575842, id=,S03, PRDE,actvstrat=,-0.686579, actvprof=,0.881811, id=,S04, PRDE,actvstrat=,0.876433, actvprof=,4.022662, id=,S05, PRDE,actvstrat=,-0.986074, actvprof=,0.801949, id=,S06, PRDE,actvstrat=,-0.554534, actvprof=,0.055556, id=,S07, PRDE,actvstrat=,0.724741, actvprof=,0.190418, id=,S08, PRDE,actvstrat=,0.747912, actvprof=,0.042917, id=,S09, PRDE,actvstrat=,-0.876902, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.429617, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.618652, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.540443, best_B_strat=,-0.586956, best_S_id=,S01, best_S_prof=,7.965046, best_S_strat=,0.522907, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.530339, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.571878, actvprof=,0.013611, id=,B04, PRDE,actvstrat=,0.369717, actvprof=,0.346393, id=,B05, PRDE,actvstrat=,-0.514893, actvprof=,0.447783, id=,B06, PRDE,actvstrat=,-0.493412, actvprof=,1.317793, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.910879, id=,B08, PRDE,actvstrat=,-0.424506, actvprof=,4.024491, id=,B09, PRDE,actvstrat=,-0.784862, actvprof=,5.047558, id=,B10, PRDE,actvstrat=,-0.938053, actvprof=,5.551731, id=,B11, PRDE,actvstrat=,0.680555, actvprof=,11.857359, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.014803, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.432563, id=,S02, PRDE,actvstrat=,0.866191, actvprof=,3.693098, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.850299, id=,S04, PRDE,actvstrat=,0.602806, actvprof=,0.752231, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.838343, id=,S06, PRDE,actvstrat=,-0.230992, actvprof=,0.003056, id=,S07, PRDE,actvstrat=,-0.323257, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,0.574245, actvprof=,0.009722, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.490788, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,11.857359, best_B_strat=,0.680555, best_S_id=,S00, best_S_prof=,7.014803, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.530339, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.571878, actvprof=,0.009861, id=,B04, PRDE,actvstrat=,0.369717, actvprof=,0.304724, id=,B05, PRDE,actvstrat=,-0.514893, actvprof=,0.492503, id=,B06, PRDE,actvstrat=,-0.493412, actvprof=,1.300563, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.803772, id=,B08, PRDE,actvstrat=,-0.424506, actvprof=,4.001273, id=,B09, PRDE,actvstrat=,-0.784862, actvprof=,5.167669, id=,B10, PRDE,actvstrat=,-0.938053, actvprof=,5.587116, id=,B11, PRDE,actvstrat=,0.680555, actvprof=,11.723123, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.830595, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.468226, id=,S02, PRDE,actvstrat=,0.866191, actvprof=,3.952384, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.968761, id=,S04, PRDE,actvstrat=,0.602806, actvprof=,0.817505, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.853477, id=,S06, PRDE,actvstrat=,-0.230992, actvprof=,0.016945, id=,S07, PRDE,actvstrat=,-0.323257, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,0.574245, actvprof=,0.011945, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.005417, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S11, PRDE,actvstrat=,0.490788, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,11.723123, best_B_strat=,0.680555, best_S_id=,S00, best_S_prof=,6.830595, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.096752, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.271118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.525762, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.290975, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,-0.157655, actvprof=,0.028056, id=,B05, PRDE,actvstrat=,-0.714419, actvprof=,0.104446, id=,B06, PRDE,actvstrat=,-0.928772, actvprof=,0.791676, id=,B07, PRDE,actvstrat=,0.987761, actvprof=,0.643619, id=,B08, PRDE,actvstrat=,-0.322228, actvprof=,1.288348, id=,B09, PRDE,actvstrat=,0.659779, actvprof=,3.309205, id=,B10, PRDE,actvstrat=,-0.938053, actvprof=,4.742277, id=,B11, PRDE,actvstrat=,0.271302, actvprof=,5.845068, id=,S00, PRDE,actvstrat=,-0.497582, actvprof=,4.541441, id=,S01, PRDE,actvstrat=,0.180200, actvprof=,6.392852, id=,S02, PRDE,actvstrat=,0.458388, actvprof=,6.184516, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.933680, id=,S04, PRDE,actvstrat=,0.237591, actvprof=,2.397806, id=,S05, PRDE,actvstrat=,0.024446, actvprof=,0.991123, id=,S06, PRDE,actvstrat=,-0.831352, actvprof=,0.060001, id=,S07, PRDE,actvstrat=,-0.522411, actvprof=,0.027223, id=,S08, PRDE,actvstrat=,0.747912, actvprof=,0.153613, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.050001, id=,S10, PRDE,actvstrat=,0.691374, actvprof=,0.001944, id=,S11, PRDE,actvstrat=,0.588837, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.845068, best_B_strat=,0.271302, best_S_id=,S01, best_S_prof=,6.392852, best_S_strat=,0.180200, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.096752, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.271118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.525762, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.290975, actvprof=,0.009306, id=,B04, PRDE,actvstrat=,-0.157655, actvprof=,0.033195, id=,B05, PRDE,actvstrat=,-0.714419, actvprof=,0.110278, id=,B06, PRDE,actvstrat=,-0.928772, actvprof=,0.796393, id=,B07, PRDE,actvstrat=,0.987761, actvprof=,0.729171, id=,B08, PRDE,actvstrat=,-0.322228, actvprof=,1.336536, id=,B09, PRDE,actvstrat=,0.659779, actvprof=,3.370853, id=,B10, PRDE,actvstrat=,-0.938053, actvprof=,5.036835, id=,B11, PRDE,actvstrat=,0.271302, actvprof=,5.850173, id=,S00, PRDE,actvstrat=,-0.497582, actvprof=,4.451137, id=,S01, PRDE,actvstrat=,0.180200, actvprof=,6.108369, id=,S02, PRDE,actvstrat=,0.458388, actvprof=,6.164341, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.698227, id=,S04, PRDE,actvstrat=,0.237591, actvprof=,2.331263, id=,S05, PRDE,actvstrat=,0.024446, actvprof=,1.053339, id=,S06, PRDE,actvstrat=,-0.831352, actvprof=,0.053195, id=,S07, PRDE,actvstrat=,-0.522411, actvprof=,0.031528, id=,S08, PRDE,actvstrat=,0.747912, actvprof=,0.174307, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.052639, id=,S10, PRDE,actvstrat=,0.691374, actvprof=,0.003889, id=,S11, PRDE,actvstrat=,0.588837, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.850173, best_B_strat=,0.271302, best_S_id=,S02, best_S_prof=,6.164341, best_S_strat=,0.458388, 
