t=,0, id=,B00, PRDE,actvstrat=,-0.110334, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.379332, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.649596, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.850053, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.887300, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.255420, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.247682, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.770492, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.810420, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.375500, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.082882, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.653714, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.616115, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.833940, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.701488, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.953131, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.774047, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.919178, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.434441, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.346719, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.704987, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.435882, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.649380, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.050620, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.110334, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.616115, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.110334, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.379332, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.649596, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.850053, actvprof=,0.039166, id=,B04, PRDE,actvstrat=,-0.887300, actvprof=,0.156941, id=,B05, PRDE,actvstrat=,-0.255420, actvprof=,0.225273, id=,B06, PRDE,actvstrat=,0.247682, actvprof=,1.161918, id=,B07, PRDE,actvstrat=,0.770492, actvprof=,2.909099, id=,B08, PRDE,actvstrat=,-0.810420, actvprof=,2.877433, id=,B09, PRDE,actvstrat=,-0.375500, actvprof=,4.004352, id=,B10, PRDE,actvstrat=,0.082882, actvprof=,6.001528, id=,B11, PRDE,actvstrat=,-0.653714, actvprof=,7.591769, id=,S00, PRDE,actvstrat=,0.616115, actvprof=,7.927039, id=,S01, PRDE,actvstrat=,-0.833940, actvprof=,1.612463, id=,S02, PRDE,actvstrat=,-0.701488, actvprof=,1.266082, id=,S03, PRDE,actvstrat=,0.953131, actvprof=,3.251591, id=,S04, PRDE,actvstrat=,0.774047, actvprof=,2.321335, id=,S05, PRDE,actvstrat=,0.919178, actvprof=,1.587463, id=,S06, PRDE,actvstrat=,0.434441, actvprof=,0.283327, id=,S07, PRDE,actvstrat=,0.346719, actvprof=,0.079165, id=,S08, PRDE,actvstrat=,0.704987, actvprof=,0.033888, id=,S09, PRDE,actvstrat=,0.435882, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.649380, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.050620, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.591769, best_B_strat=,-0.653714, best_S_id=,S00, best_S_prof=,7.927039, best_S_strat=,0.616115, 
t=,7200, id=,B00, PRDE,actvstrat=,0.492603, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.187666, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.599602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.904899, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.694322, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.608399, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.001937, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.403775, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.595366, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.723543, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.747689, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.645177, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.671349, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.035314, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.285521, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.137704, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.269819, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.502694, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.816862, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.152193, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.934492, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.556786, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.422927, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.127564, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.492603, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.671349, 
t=,10800, id=,B00, PRDE,actvstrat=,0.492603, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.187666, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.599602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.904899, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,0.694322, actvprof=,0.034444, id=,B05, PRDE,actvstrat=,0.608399, actvprof=,0.091388, id=,B06, PRDE,actvstrat=,0.001937, actvprof=,0.134721, id=,B07, PRDE,actvstrat=,0.403775, actvprof=,0.734991, id=,B08, PRDE,actvstrat=,0.595366, actvprof=,1.509427, id=,B09, PRDE,actvstrat=,-0.723543, actvprof=,1.750813, id=,B10, PRDE,actvstrat=,-0.747689, actvprof=,2.519971, id=,B11, PRDE,actvstrat=,0.645177, actvprof=,5.049664, id=,S00, PRDE,actvstrat=,-0.671349, actvprof=,5.672712, id=,S01, PRDE,actvstrat=,-0.035314, actvprof=,6.631034, id=,S02, PRDE,actvstrat=,0.285521, actvprof=,6.188817, id=,S03, PRDE,actvstrat=,-0.137704, actvprof=,2.768857, id=,S04, PRDE,actvstrat=,-0.269819, actvprof=,1.361651, id=,S05, PRDE,actvstrat=,-0.502694, actvprof=,0.653326, id=,S06, PRDE,actvstrat=,-0.816862, actvprof=,0.146109, id=,S07, PRDE,actvstrat=,-0.152193, actvprof=,0.237497, id=,S08, PRDE,actvstrat=,-0.934492, actvprof=,0.185831, id=,S09, PRDE,actvstrat=,-0.556786, actvprof=,0.008055, id=,S10, PRDE,actvstrat=,-0.422927, actvprof=,0.002222, id=,S11, PRDE,actvstrat=,0.127564, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.049664, best_B_strat=,0.645177, best_S_id=,S01, best_S_prof=,6.631034, best_S_strat=,-0.035314, 
t=,14400, id=,B00, PRDE,actvstrat=,0.775103, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.187666, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.343454, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.850053, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.694286, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.255420, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.679054, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.764289, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.267878, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.089676, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.961643, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.565195, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.178855, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.339439, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.169562, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.952242, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.244185, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.028225, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.184873, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.688940, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.934492, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.556786, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.723771, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.127564, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.775103, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.178855, 
t=,18000, id=,B00, PRDE,actvstrat=,0.775103, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.187666, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.343454, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.850053, actvprof=,0.013889, id=,B04, PRDE,actvstrat=,-0.694286, actvprof=,0.022500, id=,B05, PRDE,actvstrat=,-0.255420, actvprof=,0.030000, id=,B06, PRDE,actvstrat=,0.679054, actvprof=,0.380278, id=,B07, PRDE,actvstrat=,0.764289, actvprof=,0.996111, id=,B08, PRDE,actvstrat=,0.267878, actvprof=,1.088333, id=,B09, PRDE,actvstrat=,-0.089676, actvprof=,1.422778, id=,B10, PRDE,actvstrat=,0.961643, actvprof=,2.910278, id=,B11, PRDE,actvstrat=,-0.565195, actvprof=,3.670556, id=,S00, PRDE,actvstrat=,0.178855, actvprof=,9.236111, id=,S01, PRDE,actvstrat=,-0.339439, actvprof=,5.416389, id=,S02, PRDE,actvstrat=,-0.169562, actvprof=,4.041944, id=,S03, PRDE,actvstrat=,-0.952242, actvprof=,2.312500, id=,S04, PRDE,actvstrat=,-0.244185, actvprof=,1.603333, id=,S05, PRDE,actvstrat=,0.028225, actvprof=,1.597778, id=,S06, PRDE,actvstrat=,-0.184873, actvprof=,0.521944, id=,S07, PRDE,actvstrat=,0.688940, actvprof=,0.921667, id=,S08, PRDE,actvstrat=,-0.934492, actvprof=,0.117778, id=,S09, PRDE,actvstrat=,-0.556786, actvprof=,0.010833, id=,S10, PRDE,actvstrat=,0.723771, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,0.127564, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.670556, best_B_strat=,-0.565195, best_S_id=,S00, best_S_prof=,9.236111, best_S_strat=,0.178855, 
t=,21600, id=,B00, PRDE,actvstrat=,0.775103, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.187666, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.343454, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.850053, actvprof=,0.010695, id=,B04, PRDE,actvstrat=,-0.694286, actvprof=,0.016667, id=,B05, PRDE,actvstrat=,-0.255420, actvprof=,0.040834, id=,B06, PRDE,actvstrat=,0.679054, actvprof=,0.397502, id=,B07, PRDE,actvstrat=,0.764289, actvprof=,1.047645, id=,B08, PRDE,actvstrat=,0.267878, actvprof=,1.134034, id=,B09, PRDE,actvstrat=,-0.089676, actvprof=,1.526676, id=,B10, PRDE,actvstrat=,0.961643, actvprof=,3.032101, id=,B11, PRDE,actvstrat=,-0.565195, actvprof=,3.681966, id=,S00, PRDE,actvstrat=,0.178855, actvprof=,9.264498, id=,S01, PRDE,actvstrat=,-0.339439, actvprof=,5.180724, id=,S02, PRDE,actvstrat=,-0.169562, actvprof=,4.133357, id=,S03, PRDE,actvstrat=,-0.952242, actvprof=,2.334736, id=,S04, PRDE,actvstrat=,-0.244185, actvprof=,1.612370, id=,S05, PRDE,actvstrat=,0.028225, actvprof=,1.607370, id=,S06, PRDE,actvstrat=,-0.184873, actvprof=,0.494308, id=,S07, PRDE,actvstrat=,0.688940, actvprof=,0.934589, id=,S08, PRDE,actvstrat=,-0.934492, actvprof=,0.138612, id=,S09, PRDE,actvstrat=,-0.556786, actvprof=,0.010278, id=,S10, PRDE,actvstrat=,0.723771, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,0.127564, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.681966, best_B_strat=,-0.565195, best_S_id=,S00, best_S_prof=,9.264498, best_S_strat=,0.178855, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.028515, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.652375, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.146684, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.016945, id=,B04, PRDE,actvstrat=,-0.602106, actvprof=,0.019445, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.757787, id=,B06, PRDE,actvstrat=,-0.952267, actvprof=,0.659174, id=,B07, PRDE,actvstrat=,-0.416358, actvprof=,0.601674, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.681420, id=,B09, PRDE,actvstrat=,0.952388, actvprof=,4.826723, id=,B10, PRDE,actvstrat=,-0.200083, actvprof=,4.286716, id=,B11, PRDE,actvstrat=,-0.287411, actvprof=,6.152293, id=,S00, PRDE,actvstrat=,-0.988961, actvprof=,4.343939, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,8.317596, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,5.496730, id=,S03, PRDE,actvstrat=,0.018489, actvprof=,1.481406, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.939212, id=,S05, PRDE,actvstrat=,-0.807460, actvprof=,0.085557, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.052234, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.283337, id=,S08, PRDE,actvstrat=,0.277946, actvprof=,0.005833, id=,S09, PRDE,actvstrat=,0.979060, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,0.138519, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.940321, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.152293, best_B_strat=,-0.287411, best_S_id=,S01, best_S_prof=,8.317596, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.028515, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.652375, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.146684, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.016250, id=,B04, PRDE,actvstrat=,-0.602106, actvprof=,0.018750, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.778755, id=,B06, PRDE,actvstrat=,-0.952267, actvprof=,0.671671, id=,B07, PRDE,actvstrat=,-0.416358, actvprof=,0.616531, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.730432, id=,B09, PRDE,actvstrat=,0.952388, actvprof=,4.868084, id=,B10, PRDE,actvstrat=,-0.200083, actvprof=,4.379470, id=,B11, PRDE,actvstrat=,-0.287411, actvprof=,6.205730, id=,S00, PRDE,actvstrat=,-0.988961, actvprof=,4.436692, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,8.628244, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,5.525588, id=,S03, PRDE,actvstrat=,0.018489, actvprof=,1.580842, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.926689, id=,S05, PRDE,actvstrat=,-0.807460, actvprof=,0.071667, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.977089, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.279168, id=,S08, PRDE,actvstrat=,0.277946, actvprof=,0.004583, id=,S09, PRDE,actvstrat=,0.979060, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,0.138519, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.940321, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.205730, best_B_strat=,-0.287411, best_S_id=,S01, best_S_prof=,8.628244, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.028515, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.866122, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.599602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.101223, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.887300, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.703158, actvprof=,0.022501, id=,B06, PRDE,actvstrat=,-0.952267, actvprof=,0.130836, id=,B07, PRDE,actvstrat=,-0.416358, actvprof=,0.126670, id=,B08, PRDE,actvstrat=,-0.820242, actvprof=,0.322785, id=,B09, PRDE,actvstrat=,-0.375500, actvprof=,0.846686, id=,B10, PRDE,actvstrat=,0.276660, actvprof=,2.979236, id=,B11, PRDE,actvstrat=,0.258397, actvprof=,4.450103, id=,S00, PRDE,actvstrat=,-0.671349, actvprof=,4.955115, id=,S01, PRDE,actvstrat=,-0.901237, actvprof=,1.455867, id=,S02, PRDE,actvstrat=,-0.964173, actvprof=,1.562258, id=,S03, PRDE,actvstrat=,-0.137704, actvprof=,1.985324, id=,S04, PRDE,actvstrat=,-0.269819, actvprof=,1.023357, id=,S05, PRDE,actvstrat=,-0.820495, actvprof=,0.283340, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.944489, id=,S07, PRDE,actvstrat=,-0.152193, actvprof=,0.087224, id=,S08, PRDE,actvstrat=,-0.688981, actvprof=,0.010556, id=,S09, PRDE,actvstrat=,-0.569943, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,0.408595, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,-0.567647, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.450103, best_B_strat=,0.258397, best_S_id=,S00, best_S_prof=,4.955115, best_S_strat=,-0.671349, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.028515, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.866122, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.599602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.101223, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.887300, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,0.703158, actvprof=,0.021111, id=,B06, PRDE,actvstrat=,-0.952267, actvprof=,0.159724, id=,B07, PRDE,actvstrat=,-0.416358, actvprof=,0.136946, id=,B08, PRDE,actvstrat=,-0.820242, actvprof=,0.315837, id=,B09, PRDE,actvstrat=,-0.375500, actvprof=,0.852093, id=,B10, PRDE,actvstrat=,0.276660, actvprof=,2.942951, id=,B11, PRDE,actvstrat=,0.258397, actvprof=,4.418940, id=,S00, PRDE,actvstrat=,-0.671349, actvprof=,5.135615, id=,S01, PRDE,actvstrat=,-0.901237, actvprof=,1.294043, id=,S02, PRDE,actvstrat=,-0.964173, actvprof=,1.751965, id=,S03, PRDE,actvstrat=,-0.137704, actvprof=,2.069885, id=,S04, PRDE,actvstrat=,-0.269819, actvprof=,1.093624, id=,S05, PRDE,actvstrat=,-0.820495, actvprof=,0.284309, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.996829, id=,S07, PRDE,actvstrat=,-0.152193, actvprof=,0.080834, id=,S08, PRDE,actvstrat=,-0.688981, actvprof=,0.019445, id=,S09, PRDE,actvstrat=,-0.569943, actvprof=,0.000139, id=,S10, PRDE,actvstrat=,0.408595, actvprof=,0.000139, id=,S11, PRDE,actvstrat=,-0.567647, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.418940, best_B_strat=,0.258397, best_S_id=,S00, best_S_prof=,5.135615, best_S_strat=,-0.671349, 
