t=,3600, id=,B00, PRDE,actvstrat=,-0.547244, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.818568, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.864828, actvprof=,0.006667, id=,B03, PRDE,actvstrat=,0.599263, actvprof=,0.100275, id=,B04, PRDE,actvstrat=,-0.694587, actvprof=,0.159719, id=,B05, PRDE,actvstrat=,-0.285706, actvprof=,0.304160, id=,B06, PRDE,actvstrat=,0.468343, actvprof=,1.610796, id=,B07, PRDE,actvstrat=,0.330707, actvprof=,2.181894, id=,B08, PRDE,actvstrat=,0.558126, actvprof=,3.609361, id=,B09, PRDE,actvstrat=,-0.541102, actvprof=,3.926298, id=,B10, PRDE,actvstrat=,-0.351864, actvprof=,5.625148, id=,B11, PRDE,actvstrat=,0.130612, actvprof=,7.356219, id=,S00, PRDE,actvstrat=,0.545162, actvprof=,8.366473, id=,S01, PRDE,actvstrat=,-0.699707, actvprof=,3.596306, id=,S02, PRDE,actvstrat=,0.953344, actvprof=,5.310988, id=,S03, PRDE,actvstrat=,-0.320251, actvprof=,1.634407, id=,S04, PRDE,actvstrat=,0.128881, actvprof=,1.783848, id=,S05, PRDE,actvstrat=,0.901143, actvprof=,2.128006, id=,S06, PRDE,actvstrat=,0.539753, actvprof=,0.693595, id=,S07, PRDE,actvstrat=,-0.825621, actvprof=,0.055554, id=,S08, PRDE,actvstrat=,-0.842380, actvprof=,0.001111, id=,S09, PRDE,actvstrat=,-0.957119, actvprof=,0.038055, id=,S10, PRDE,actvstrat=,-0.925704, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.954126, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.356219, best_B_strat=,0.130612, best_S_id=,S00, best_S_prof=,8.366473, best_S_strat=,0.545162, 
t=,7200, id=,B00, PRDE,actvstrat=,0.688090, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.525089, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.007939, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.574451, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.509691, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.615451, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.674462, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.521997, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.165615, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.535963, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.793236, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.486866, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.272757, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.077880, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.411604, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.479268, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.975726, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.256739, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.523240, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.562761, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.346970, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.511266, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.334270, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.769950, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.688090, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.272757, 
t=,10800, id=,B00, PRDE,actvstrat=,0.688090, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.525089, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.007939, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.574451, actvprof=,0.009444, id=,B04, PRDE,actvstrat=,-0.509691, actvprof=,0.014722, id=,B05, PRDE,actvstrat=,0.615451, actvprof=,0.136943, id=,B06, PRDE,actvstrat=,-0.674462, actvprof=,0.179998, id=,B07, PRDE,actvstrat=,0.521997, actvprof=,0.659992, id=,B08, PRDE,actvstrat=,0.165615, actvprof=,0.874157, id=,B09, PRDE,actvstrat=,0.535963, actvprof=,2.162753, id=,B10, PRDE,actvstrat=,-0.793236, actvprof=,2.313862, id=,B11, PRDE,actvstrat=,0.486866, actvprof=,4.226896, id=,S00, PRDE,actvstrat=,0.272757, actvprof=,9.564612, id=,S01, PRDE,actvstrat=,0.077880, actvprof=,6.540202, id=,S02, PRDE,actvstrat=,-0.411604, actvprof=,2.475249, id=,S03, PRDE,actvstrat=,-0.479268, actvprof=,1.682481, id=,S04, PRDE,actvstrat=,-0.975726, actvprof=,1.439983, id=,S05, PRDE,actvstrat=,-0.256739, actvprof=,0.571660, id=,S06, PRDE,actvstrat=,-0.523240, actvprof=,0.176942, id=,S07, PRDE,actvstrat=,0.562761, actvprof=,0.681103, id=,S08, PRDE,actvstrat=,-0.346970, actvprof=,0.030000, id=,S09, PRDE,actvstrat=,0.511266, actvprof=,0.054999, id=,S10, PRDE,actvstrat=,-0.334270, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.769950, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.226896, best_B_strat=,0.486866, best_S_id=,S00, best_S_prof=,9.564612, best_S_strat=,0.272757, 
t=,14400, id=,B00, PRDE,actvstrat=,0.409922, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.525089, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.864828, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.333744, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.507717, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.442211, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.468343, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.719841, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.558126, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.523585, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.232718, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.184877, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.821641, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.077880, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.953344, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.618458, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.606761, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.453322, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.135710, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.940987, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.245558, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.511266, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.334270, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.463362, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.409922, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.821641, 
t=,18000, id=,B00, PRDE,actvstrat=,0.409922, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.525089, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.864828, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.333744, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,0.507717, actvprof=,0.074166, id=,B05, PRDE,actvstrat=,-0.442211, actvprof=,0.164443, id=,B06, PRDE,actvstrat=,0.468343, actvprof=,0.727214, id=,B07, PRDE,actvstrat=,-0.719841, actvprof=,0.996377, id=,B08, PRDE,actvstrat=,0.558126, actvprof=,2.283585, id=,B09, PRDE,actvstrat=,-0.523585, actvprof=,2.412472, id=,B10, PRDE,actvstrat=,0.232718, actvprof=,3.834122, id=,B11, PRDE,actvstrat=,-0.184877, actvprof=,4.597169, id=,S00, PRDE,actvstrat=,-0.821641, actvprof=,1.688036, id=,S01, PRDE,actvstrat=,0.077880, actvprof=,5.193273, id=,S02, PRDE,actvstrat=,0.953344, actvprof=,7.623801, id=,S03, PRDE,actvstrat=,0.618458, actvprof=,4.823555, id=,S04, PRDE,actvstrat=,-0.606761, actvprof=,0.626937, id=,S05, PRDE,actvstrat=,-0.453322, actvprof=,0.339996, id=,S06, PRDE,actvstrat=,0.135710, actvprof=,0.587493, id=,S07, PRDE,actvstrat=,-0.940987, actvprof=,0.076110, id=,S08, PRDE,actvstrat=,-0.245558, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,0.511266, actvprof=,0.019166, id=,S10, PRDE,actvstrat=,-0.334270, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.463362, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.597169, best_B_strat=,-0.184877, best_S_id=,S02, best_S_prof=,7.623801, best_S_strat=,0.953344, 
t=,21600, id=,B00, PRDE,actvstrat=,0.409922, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.525089, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.864828, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.333744, actvprof=,0.002083, id=,B04, PRDE,actvstrat=,0.507717, actvprof=,0.086250, id=,B05, PRDE,actvstrat=,-0.442211, actvprof=,0.161529, id=,B06, PRDE,actvstrat=,0.468343, actvprof=,0.680421, id=,B07, PRDE,actvstrat=,-0.719841, actvprof=,1.027784, id=,B08, PRDE,actvstrat=,0.558126, actvprof=,2.225707, id=,B09, PRDE,actvstrat=,-0.523585, actvprof=,2.497098, id=,B10, PRDE,actvstrat=,0.232718, actvprof=,3.678494, id=,B11, PRDE,actvstrat=,-0.184877, actvprof=,4.732666, id=,S00, PRDE,actvstrat=,-0.821641, actvprof=,1.709871, id=,S01, PRDE,actvstrat=,0.077880, actvprof=,5.390031, id=,S02, PRDE,actvstrat=,0.953344, actvprof=,7.536849, id=,S03, PRDE,actvstrat=,0.618458, actvprof=,4.693777, id=,S04, PRDE,actvstrat=,-0.606761, actvprof=,0.597087, id=,S05, PRDE,actvstrat=,-0.453322, actvprof=,0.350419, id=,S06, PRDE,actvstrat=,0.135710, actvprof=,0.549309, id=,S07, PRDE,actvstrat=,-0.940987, actvprof=,0.095001, id=,S08, PRDE,actvstrat=,-0.245558, actvprof=,0.012917, id=,S09, PRDE,actvstrat=,0.511266, actvprof=,0.021389, id=,S10, PRDE,actvstrat=,-0.334270, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.463362, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.732666, best_B_strat=,-0.184877, best_S_id=,S02, best_S_prof=,7.536849, best_S_strat=,0.953344, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.709512, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.005833, id=,B03, PRDE,actvstrat=,0.054372, actvprof=,0.033611, id=,B04, PRDE,actvstrat=,0.657069, actvprof=,0.360833, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.244444, id=,B06, PRDE,actvstrat=,-0.254702, actvprof=,0.479722, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.602222, id=,B08, PRDE,actvstrat=,0.966765, actvprof=,2.540833, id=,B09, PRDE,actvstrat=,0.301928, actvprof=,4.036389, id=,B10, PRDE,actvstrat=,-0.101459, actvprof=,4.986667, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,9.462222, id=,S00, PRDE,actvstrat=,0.402586, actvprof=,8.170833, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.020556, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.020833, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.850278, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.978333, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.170833, id=,S06, PRDE,actvstrat=,0.515054, actvprof=,0.507222, id=,S07, PRDE,actvstrat=,-0.054322, actvprof=,0.025000, id=,S08, PRDE,actvstrat=,0.275120, actvprof=,0.012500, id=,S09, PRDE,actvstrat=,-0.484911, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.797021, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.462222, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,9.020556, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.200320, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.599263, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.513691, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.065514, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.330707, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.481418, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.301928, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.101459, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.486866, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.402586, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.683409, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.052973, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.708048, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.043119, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.888689, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.940987, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.275120, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.022862, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.176313, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.769950, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.402586, 
t=,32400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.200320, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.599263, actvprof=,0.015556, id=,B04, PRDE,actvstrat=,-0.513691, actvprof=,0.011389, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.088612, id=,B06, PRDE,actvstrat=,0.065514, actvprof=,0.233614, id=,B07, PRDE,actvstrat=,0.330707, actvprof=,0.833621, id=,B08, PRDE,actvstrat=,0.481418, actvprof=,1.879466, id=,B09, PRDE,actvstrat=,0.301928, actvprof=,2.940867, id=,B10, PRDE,actvstrat=,-0.101459, actvprof=,3.409762, id=,B11, PRDE,actvstrat=,0.486866, actvprof=,6.366740, id=,S00, PRDE,actvstrat=,0.402586, actvprof=,8.524821, id=,S01, PRDE,actvstrat=,-0.683409, actvprof=,2.092524, id=,S02, PRDE,actvstrat=,0.052973, actvprof=,3.818933, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.145337, id=,S04, PRDE,actvstrat=,0.708048, actvprof=,3.106703, id=,S05, PRDE,actvstrat=,0.043119, actvprof=,0.917788, id=,S06, PRDE,actvstrat=,0.888689, actvprof=,1.567240, id=,S07, PRDE,actvstrat=,-0.940987, actvprof=,0.150280, id=,S08, PRDE,actvstrat=,0.275120, actvprof=,0.056945, id=,S09, PRDE,actvstrat=,0.022862, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.176313, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.769950, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.366740, best_B_strat=,0.486866, best_S_id=,S00, best_S_prof=,8.524821, best_S_strat=,0.402586, 
t=,36000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.200320, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.599263, actvprof=,0.008889, id=,B04, PRDE,actvstrat=,-0.513691, actvprof=,0.012917, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.101945, id=,B06, PRDE,actvstrat=,0.065514, actvprof=,0.250557, id=,B07, PRDE,actvstrat=,0.330707, actvprof=,0.842505, id=,B08, PRDE,actvstrat=,0.481418, actvprof=,1.904039, id=,B09, PRDE,actvstrat=,0.301928, actvprof=,2.874044, id=,B10, PRDE,actvstrat=,-0.101459, actvprof=,3.366825, id=,B11, PRDE,actvstrat=,0.486866, actvprof=,6.428787, id=,S00, PRDE,actvstrat=,0.402586, actvprof=,8.395465, id=,S01, PRDE,actvstrat=,-0.683409, actvprof=,2.169040, id=,S02, PRDE,actvstrat=,0.052973, actvprof=,3.670577, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.153363, id=,S04, PRDE,actvstrat=,0.708048, actvprof=,3.155713, id=,S05, PRDE,actvstrat=,0.043119, actvprof=,0.858616, id=,S06, PRDE,actvstrat=,0.888689, actvprof=,1.605843, id=,S07, PRDE,actvstrat=,-0.940987, actvprof=,0.153056, id=,S08, PRDE,actvstrat=,0.275120, actvprof=,0.042361, id=,S09, PRDE,actvstrat=,0.022862, actvprof=,0.000417, id=,S10, PRDE,actvstrat=,0.176313, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.769950, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.428787, best_B_strat=,0.486866, best_S_id=,S00, best_S_prof=,8.395465, best_S_strat=,0.402586, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.009031, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.854246, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.865179, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,0.490285, actvprof=,0.038334, id=,B04, PRDE,actvstrat=,-0.513691, actvprof=,0.027223, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.318893, id=,B06, PRDE,actvstrat=,-0.831091, actvprof=,0.561673, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.643364, id=,B08, PRDE,actvstrat=,0.259043, actvprof=,3.059758, id=,B09, PRDE,actvstrat=,0.301928, actvprof=,4.566997, id=,B10, PRDE,actvstrat=,-0.488290, actvprof=,5.001447, id=,B11, PRDE,actvstrat=,0.691749, actvprof=,9.327886, id=,S00, PRDE,actvstrat=,0.402586, actvprof=,6.703689, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.120360, id=,S02, PRDE,actvstrat=,0.749794, actvprof=,5.177282, id=,S03, PRDE,actvstrat=,0.183695, actvprof=,1.571129, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.359750, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.871133, id=,S06, PRDE,actvstrat=,0.893629, actvprof=,0.797787, id=,S07, PRDE,actvstrat=,-0.378238, actvprof=,0.005833, id=,S08, PRDE,actvstrat=,0.275120, actvprof=,0.031945, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.100797, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.003829, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.327886, best_B_strat=,0.691749, best_S_id=,S01, best_S_prof=,7.120360, best_S_strat=,-1.000000, 
