t=,3600, id=,B00, PRDE,actvstrat=,-0.978378, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.787400, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.631676, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.730853, actvprof=,0.033611, id=,B04, PRDE,actvstrat=,-0.869184, actvprof=,0.135832, id=,B05, PRDE,actvstrat=,-0.849520, actvprof=,0.325274, id=,B06, PRDE,actvstrat=,-0.104598, actvprof=,0.440828, id=,B07, PRDE,actvstrat=,0.660216, actvprof=,1.648870, id=,B08, PRDE,actvstrat=,-0.646060, actvprof=,1.736647, id=,B09, PRDE,actvstrat=,-0.940762, actvprof=,4.288839, id=,B10, PRDE,actvstrat=,-0.805047, actvprof=,4.359116, id=,B11, PRDE,actvstrat=,0.201558, actvprof=,5.682712, id=,S00, PRDE,actvstrat=,0.990160, actvprof=,10.730154, id=,S01, PRDE,actvstrat=,-0.113225, actvprof=,3.282740, id=,S02, PRDE,actvstrat=,0.833867, actvprof=,6.483258, id=,S03, PRDE,actvstrat=,0.222196, actvprof=,2.223585, id=,S04, PRDE,actvstrat=,-0.827961, actvprof=,0.165554, id=,S05, PRDE,actvstrat=,0.126275, actvprof=,0.608882, id=,S06, PRDE,actvstrat=,0.016233, actvprof=,0.268330, id=,S07, PRDE,actvstrat=,0.091711, actvprof=,0.141387, id=,S08, PRDE,actvstrat=,0.598219, actvprof=,0.111110, id=,S09, PRDE,actvstrat=,0.258673, actvprof=,0.011944, id=,S10, PRDE,actvstrat=,0.078698, actvprof=,0.003056, id=,S11, PRDE,actvstrat=,0.746537, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.682712, best_B_strat=,0.201558, best_S_id=,S00, best_S_prof=,10.730154, best_S_strat=,0.990160, 
t=,7200, id=,B00, PRDE,actvstrat=,0.602241, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.573961, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.606121, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.609823, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.069145, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.981390, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.824496, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.372735, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.006560, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.788317, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.949323, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.442602, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.156250, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.649014, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.879805, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.932505, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.669482, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.509360, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.506728, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.467212, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.366768, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.354174, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.123274, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.770442, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.602241, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.156250, 
t=,10800, id=,B00, PRDE,actvstrat=,0.602241, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.573961, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.606121, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.609823, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.069145, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.981390, actvprof=,0.073331, id=,B06, PRDE,actvstrat=,0.824496, actvprof=,0.351377, id=,B07, PRDE,actvstrat=,0.372735, actvprof=,0.429152, id=,B08, PRDE,actvstrat=,0.006560, actvprof=,0.615534, id=,B09, PRDE,actvstrat=,-0.788317, actvprof=,1.391896, id=,B10, PRDE,actvstrat=,0.949323, actvprof=,2.383806, id=,B11, PRDE,actvstrat=,0.442602, actvprof=,3.967918, id=,S00, PRDE,actvstrat=,-0.156250, actvprof=,6.124232, id=,S01, PRDE,actvstrat=,0.649014, actvprof=,10.423249, id=,S02, PRDE,actvstrat=,-0.879805, actvprof=,0.626645, id=,S03, PRDE,actvstrat=,-0.932505, actvprof=,0.689698, id=,S04, PRDE,actvstrat=,0.669482, actvprof=,5.331482, id=,S05, PRDE,actvstrat=,-0.509360, actvprof=,0.634422, id=,S06, PRDE,actvstrat=,0.506728, actvprof=,1.726884, id=,S07, PRDE,actvstrat=,-0.467212, actvprof=,0.093052, id=,S08, PRDE,actvstrat=,0.366768, actvprof=,0.344988, id=,S09, PRDE,actvstrat=,0.354174, actvprof=,0.078331, id=,S10, PRDE,actvstrat=,-0.123274, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.770442, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.967918, best_B_strat=,0.442602, best_S_id=,S01, best_S_prof=,10.423249, best_S_strat=,0.649014, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.331379, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.573961, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.224131, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.730853, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.310180, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.849520, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.762285, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.059317, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.082376, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.447396, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.503927, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.362334, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.248543, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.461631, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.858531, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.222196, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.019783, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.005579, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.506728, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.467212, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.863397, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.128881, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.924206, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.170112, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.331379, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.248543, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.331379, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.573961, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.224131, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.730853, actvprof=,0.030277, id=,B04, PRDE,actvstrat=,-0.310180, actvprof=,0.032777, id=,B05, PRDE,actvstrat=,-0.849520, actvprof=,0.301385, id=,B06, PRDE,actvstrat=,-0.762285, actvprof=,0.549438, id=,B07, PRDE,actvstrat=,0.059317, actvprof=,1.201653, id=,B08, PRDE,actvstrat=,0.082376, actvprof=,1.873867, id=,B09, PRDE,actvstrat=,-0.447396, actvprof=,2.689969, id=,B10, PRDE,actvstrat=,0.503927, actvprof=,4.778834, id=,B11, PRDE,actvstrat=,-0.362334, actvprof=,5.523547, id=,S00, PRDE,actvstrat=,-0.248543, actvprof=,2.630247, id=,S01, PRDE,actvstrat=,0.461631, actvprof=,5.726045, id=,S02, PRDE,actvstrat=,0.858531, actvprof=,6.793532, id=,S03, PRDE,actvstrat=,0.222196, actvprof=,2.355528, id=,S04, PRDE,actvstrat=,-0.019783, actvprof=,1.109154, id=,S05, PRDE,actvstrat=,0.005579, actvprof=,0.683325, id=,S06, PRDE,actvstrat=,0.506728, actvprof=,0.629993, id=,S07, PRDE,actvstrat=,-0.467212, actvprof=,0.031389, id=,S08, PRDE,actvstrat=,0.863397, actvprof=,0.211109, id=,S09, PRDE,actvstrat=,-0.128881, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.924206, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.170112, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.523547, best_B_strat=,-0.362334, best_S_id=,S02, best_S_prof=,6.793532, best_S_strat=,0.858531, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.404644, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.438970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.058036, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.174848, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.124030, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.025440, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.438669, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.147140, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.858838, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.153304, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.026565, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.496449, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.638337, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.767189, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.328999, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.290501, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.404644, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.858838, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.404644, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.438970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.058036, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.014445, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.146113, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.740286, id=,B07, PRDE,actvstrat=,0.174848, actvprof=,0.567507, id=,B08, PRDE,actvstrat=,-0.124030, actvprof=,1.024734, id=,B09, PRDE,actvstrat=,-0.025440, actvprof=,2.487807, id=,B10, PRDE,actvstrat=,0.438669, actvprof=,5.263116, id=,B11, PRDE,actvstrat=,0.147140, actvprof=,6.836190, id=,S00, PRDE,actvstrat=,0.858838, actvprof=,11.131240, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.093138, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.860901, id=,S03, PRDE,actvstrat=,0.153304, actvprof=,1.740298, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.569208, id=,S05, PRDE,actvstrat=,0.026565, actvprof=,0.339171, id=,S06, PRDE,actvstrat=,0.496449, actvprof=,0.185280, id=,S07, PRDE,actvstrat=,0.638337, actvprof=,0.084723, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.046667, id=,S09, PRDE,actvstrat=,0.767189, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,-0.328999, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.290501, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.836190, best_B_strat=,0.147140, best_S_id=,S00, best_S_prof=,11.131240, best_S_strat=,0.858838, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.597698, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.438970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.631676, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.801294, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.896559, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.849520, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.207672, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.660216, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.646060, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.712486, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.481077, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.574590, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.289698, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.649014, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.516367, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.349554, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.952617, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.424166, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.726568, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.367107, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.702009, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.767189, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.762884, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.770442, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.597698, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.289698, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.597698, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.438970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.631676, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.801294, actvprof=,0.011111, id=,B04, PRDE,actvstrat=,0.896559, actvprof=,0.067779, id=,B05, PRDE,actvstrat=,-0.849520, actvprof=,0.100557, id=,B06, PRDE,actvstrat=,-0.207672, actvprof=,0.136668, id=,B07, PRDE,actvstrat=,0.660216, actvprof=,0.915011, id=,B08, PRDE,actvstrat=,-0.646060, actvprof=,0.776120, id=,B09, PRDE,actvstrat=,0.712486, actvprof=,2.716698, id=,B10, PRDE,actvstrat=,0.481077, actvprof=,3.342539, id=,B11, PRDE,actvstrat=,0.574590, actvprof=,4.910335, id=,S00, PRDE,actvstrat=,0.289698, actvprof=,8.659267, id=,S01, PRDE,actvstrat=,0.649014, actvprof=,8.946492, id=,S02, PRDE,actvstrat=,-0.516367, actvprof=,2.088358, id=,S03, PRDE,actvstrat=,-0.349554, actvprof=,1.534462, id=,S04, PRDE,actvstrat=,-0.952617, actvprof=,0.877788, id=,S05, PRDE,actvstrat=,0.424166, actvprof=,1.858077, id=,S06, PRDE,actvstrat=,0.726568, actvprof=,1.911411, id=,S07, PRDE,actvstrat=,0.367107, actvprof=,0.458616, id=,S08, PRDE,actvstrat=,-0.702009, actvprof=,0.013333, id=,S09, PRDE,actvstrat=,0.767189, actvprof=,0.128613, id=,S10, PRDE,actvstrat=,0.762884, actvprof=,0.012778, id=,S11, PRDE,actvstrat=,0.770442, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.910335, best_B_strat=,0.574590, best_S_id=,S01, best_S_prof=,8.946492, best_S_strat=,0.649014, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.597698, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.438970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.631676, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.801294, actvprof=,0.007917, id=,B04, PRDE,actvstrat=,0.896559, actvprof=,0.069306, id=,B05, PRDE,actvstrat=,-0.849520, actvprof=,0.115140, id=,B06, PRDE,actvstrat=,-0.207672, actvprof=,0.163890, id=,B07, PRDE,actvstrat=,0.660216, actvprof=,0.925422, id=,B08, PRDE,actvstrat=,-0.646060, actvprof=,0.811949, id=,B09, PRDE,actvstrat=,0.712486, actvprof=,2.676960, id=,B10, PRDE,actvstrat=,0.481077, actvprof=,3.438353, id=,B11, PRDE,actvstrat=,0.574590, actvprof=,4.880306, id=,S00, PRDE,actvstrat=,0.289698, actvprof=,8.664495, id=,S01, PRDE,actvstrat=,0.649014, actvprof=,9.108942, id=,S02, PRDE,actvstrat=,-0.516367, actvprof=,2.193346, id=,S03, PRDE,actvstrat=,-0.349554, actvprof=,1.435842, id=,S04, PRDE,actvstrat=,-0.952617, actvprof=,0.978061, id=,S05, PRDE,actvstrat=,0.424166, actvprof=,1.949178, id=,S06, PRDE,actvstrat=,0.726568, actvprof=,1.930150, id=,S07, PRDE,actvstrat=,0.367107, actvprof=,0.456808, id=,S08, PRDE,actvstrat=,-0.702009, actvprof=,0.006667, id=,S09, PRDE,actvstrat=,0.767189, actvprof=,0.104723, id=,S10, PRDE,actvstrat=,0.762884, actvprof=,0.010972, id=,S11, PRDE,actvstrat=,0.770442, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.880306, best_B_strat=,0.574590, best_S_id=,S01, best_S_prof=,9.108942, best_S_strat=,0.649014, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.250202, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.028401, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.040341, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.184830, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.170822, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.099168, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.386393, id=,B07, PRDE,actvstrat=,0.376258, actvprof=,1.008345, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.061147, id=,B09, PRDE,actvstrat=,-0.750612, actvprof=,1.828910, id=,B10, PRDE,actvstrat=,0.770858, actvprof=,6.338684, id=,B11, PRDE,actvstrat=,-0.194819, actvprof=,5.820067, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,9.349275, id=,S01, PRDE,actvstrat=,0.172514, actvprof=,4.688943, id=,S02, PRDE,actvstrat=,-0.466393, actvprof=,0.916122, id=,S03, PRDE,actvstrat=,0.656162, actvprof=,3.627820, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,3.382539, id=,S05, PRDE,actvstrat=,-0.540499, actvprof=,0.163335, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.691397, id=,S07, PRDE,actvstrat=,0.268142, actvprof=,0.056112, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.173613, id=,S09, PRDE,actvstrat=,0.540359, actvprof=,0.004167, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.556101, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.338684, best_B_strat=,0.770858, best_S_id=,S00, best_S_prof=,9.349275, best_S_strat=,-1.000000, 
