t=,0, id=,B00, PRDE,actvstrat=,0.453613, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.246642, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.778500, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.011933, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.754993, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.167937, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.301604, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.624161, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.670502, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.567596, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.681625, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.265792, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.825066, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.581602, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.123554, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.723065, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.761612, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.652675, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.882859, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.140626, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.259009, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.502608, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.737318, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.343077, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.453613, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.825066, 
t=,3600, id=,B00, PRDE,actvstrat=,0.453613, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.246642, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.778500, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.011933, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,-0.754993, actvprof=,0.017500, id=,B05, PRDE,actvstrat=,0.167937, actvprof=,0.219164, id=,B06, PRDE,actvstrat=,0.301604, actvprof=,0.681103, id=,B07, PRDE,actvstrat=,-0.624161, actvprof=,0.715547, id=,B08, PRDE,actvstrat=,-0.670502, actvprof=,1.725813, id=,B09, PRDE,actvstrat=,0.567596, actvprof=,3.679402, id=,B10, PRDE,actvstrat=,-0.681625, actvprof=,3.566070, id=,B11, PRDE,actvstrat=,-0.265792, actvprof=,5.161329, id=,S00, PRDE,actvstrat=,-0.825066, actvprof=,2.162475, id=,S01, PRDE,actvstrat=,0.581602, actvprof=,7.330193, id=,S02, PRDE,actvstrat=,0.123554, actvprof=,4.201618, id=,S03, PRDE,actvstrat=,0.723065, actvprof=,4.761056, id=,S04, PRDE,actvstrat=,-0.761612, actvprof=,0.571105, id=,S05, PRDE,actvstrat=,-0.652675, actvprof=,0.308885, id=,S06, PRDE,actvstrat=,-0.882859, actvprof=,0.098888, id=,S07, PRDE,actvstrat=,0.140626, actvprof=,0.150554, id=,S08, PRDE,actvstrat=,0.259009, actvprof=,0.037500, id=,S09, PRDE,actvstrat=,-0.502608, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.737318, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.343077, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.161329, best_B_strat=,-0.265792, best_S_id=,S01, best_S_prof=,7.330193, best_S_strat=,0.581602, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.905275, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.732619, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.014279, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.970726, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.427651, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.392658, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.529182, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.936297, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.356513, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.447566, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.877301, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.108391, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.409470, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.901606, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.382006, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.407878, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.460165, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.679507, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.414599, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.977031, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.938702, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.359262, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.836746, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.757438, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.905275, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.409470, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.905275, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.732619, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.014279, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.970726, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,-0.427651, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.392658, actvprof=,0.070833, id=,B06, PRDE,actvstrat=,0.529182, actvprof=,0.392773, id=,B07, PRDE,actvstrat=,0.936297, actvprof=,1.114987, id=,B08, PRDE,actvstrat=,-0.356513, actvprof=,0.933878, id=,B09, PRDE,actvstrat=,0.447566, actvprof=,3.358017, id=,B10, PRDE,actvstrat=,0.877301, actvprof=,4.898832, id=,B11, PRDE,actvstrat=,0.108391, actvprof=,5.675212, id=,S00, PRDE,actvstrat=,-0.409470, actvprof=,5.447159, id=,S01, PRDE,actvstrat=,-0.901606, actvprof=,1.864701, id=,S02, PRDE,actvstrat=,0.382006, actvprof=,5.571880, id=,S03, PRDE,actvstrat=,0.407878, actvprof=,4.191618, id=,S04, PRDE,actvstrat=,-0.460165, actvprof=,1.064154, id=,S05, PRDE,actvstrat=,0.679507, actvprof=,2.458860, id=,S06, PRDE,actvstrat=,-0.414599, actvprof=,0.136665, id=,S07, PRDE,actvstrat=,0.977031, actvprof=,0.731380, id=,S08, PRDE,actvstrat=,0.938702, actvprof=,0.430273, id=,S09, PRDE,actvstrat=,-0.359262, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.836746, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.757438, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.675212, best_B_strat=,0.108391, best_S_id=,S02, best_S_prof=,5.571880, best_S_strat=,0.382006, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.905275, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.732619, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.730858, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.832418, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.505579, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.167937, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.529182, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.936297, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.720512, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.305654, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.273205, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.108391, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.409470, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.581602, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.382006, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.407878, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.460165, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.030665, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.208626, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.131478, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.382110, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.967410, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.258474, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.613596, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.905275, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.409470, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.905275, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.732619, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.730858, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.832418, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,-0.505579, actvprof=,0.028333, id=,B05, PRDE,actvstrat=,0.167937, actvprof=,0.067778, id=,B06, PRDE,actvstrat=,0.529182, actvprof=,0.406389, id=,B07, PRDE,actvstrat=,0.936297, actvprof=,0.920000, id=,B08, PRDE,actvstrat=,-0.720512, actvprof=,1.137500, id=,B09, PRDE,actvstrat=,0.305654, actvprof=,2.362778, id=,B10, PRDE,actvstrat=,0.273205, actvprof=,3.143889, id=,B11, PRDE,actvstrat=,0.108391, actvprof=,3.968611, id=,S00, PRDE,actvstrat=,-0.409470, actvprof=,4.967500, id=,S01, PRDE,actvstrat=,0.581602, actvprof=,9.410278, id=,S02, PRDE,actvstrat=,0.382006, actvprof=,6.367500, id=,S03, PRDE,actvstrat=,0.407878, actvprof=,4.941111, id=,S04, PRDE,actvstrat=,-0.460165, actvprof=,1.102500, id=,S05, PRDE,actvstrat=,-0.030665, actvprof=,1.342222, id=,S06, PRDE,actvstrat=,-0.208626, actvprof=,0.218333, id=,S07, PRDE,actvstrat=,-0.131478, actvprof=,0.130556, id=,S08, PRDE,actvstrat=,-0.382110, actvprof=,0.031944, id=,S09, PRDE,actvstrat=,-0.967410, actvprof=,0.039167, id=,S10, PRDE,actvstrat=,0.258474, actvprof=,0.009167, id=,S11, PRDE,actvstrat=,-0.613596, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.968611, best_B_strat=,0.108391, best_S_id=,S01, best_S_prof=,9.410278, best_S_strat=,0.581602, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.905275, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.732619, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.730858, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.832418, actvprof=,0.012361, id=,B04, PRDE,actvstrat=,-0.505579, actvprof=,0.018472, id=,B05, PRDE,actvstrat=,0.167937, actvprof=,0.071667, id=,B06, PRDE,actvstrat=,0.529182, actvprof=,0.436947, id=,B07, PRDE,actvstrat=,0.936297, actvprof=,0.882922, id=,B08, PRDE,actvstrat=,-0.720512, actvprof=,1.056534, id=,B09, PRDE,actvstrat=,0.305654, actvprof=,2.154318, id=,B10, PRDE,actvstrat=,0.273205, actvprof=,3.016545, id=,B11, PRDE,actvstrat=,0.108391, actvprof=,3.945578, id=,S00, PRDE,actvstrat=,-0.409470, actvprof=,4.779194, id=,S01, PRDE,actvstrat=,0.581602, actvprof=,9.436721, id=,S02, PRDE,actvstrat=,0.382006, actvprof=,6.250175, id=,S03, PRDE,actvstrat=,0.407878, actvprof=,4.761555, id=,S04, PRDE,actvstrat=,-0.460165, actvprof=,1.006950, id=,S05, PRDE,actvstrat=,-0.030665, actvprof=,1.260146, id=,S06, PRDE,actvstrat=,-0.208626, actvprof=,0.233890, id=,S07, PRDE,actvstrat=,-0.131478, actvprof=,0.108612, id=,S08, PRDE,actvstrat=,-0.382110, actvprof=,0.037222, id=,S09, PRDE,actvstrat=,-0.967410, actvprof=,0.034584, id=,S10, PRDE,actvstrat=,0.258474, actvprof=,0.009583, id=,S11, PRDE,actvstrat=,-0.613596, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.945578, best_B_strat=,0.108391, best_S_id=,S01, best_S_prof=,9.436721, best_S_strat=,0.581602, 
t=,25200, id=,B00, PRDE,actvstrat=,0.316403, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.249588, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.087792, actvprof=,0.009445, id=,B05, PRDE,actvstrat=,0.083031, actvprof=,0.025834, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.099723, id=,B07, PRDE,actvstrat=,0.213292, actvprof=,0.317226, id=,B08, PRDE,actvstrat=,0.168952, actvprof=,0.752231, id=,B09, PRDE,actvstrat=,-0.140615, actvprof=,1.234737, id=,B10, PRDE,actvstrat=,-0.237755, actvprof=,2.197803, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,6.561743, id=,S00, PRDE,actvstrat=,-0.516529, actvprof=,4.015602, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.333661, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.860936, id=,S03, PRDE,actvstrat=,-0.721820, actvprof=,0.686119, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.906967, id=,S05, PRDE,actvstrat=,-0.377576, actvprof=,0.148613, id=,S06, PRDE,actvstrat=,-0.105210, actvprof=,0.056390, id=,S07, PRDE,actvstrat=,0.470483, actvprof=,0.075556, id=,S08, PRDE,actvstrat=,0.461724, actvprof=,0.007222, id=,S09, PRDE,actvstrat=,-0.055188, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.470669, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.807417, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.561743, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,8.860936, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.316403, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.249588, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002917, id=,B04, PRDE,actvstrat=,0.087792, actvprof=,0.007361, id=,B05, PRDE,actvstrat=,0.083031, actvprof=,0.027083, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.090973, id=,B07, PRDE,actvstrat=,0.213292, actvprof=,0.273196, id=,B08, PRDE,actvstrat=,0.168952, actvprof=,0.735421, id=,B09, PRDE,actvstrat=,-0.140615, actvprof=,1.164868, id=,B10, PRDE,actvstrat=,-0.237755, actvprof=,2.207791, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,6.609899, id=,S00, PRDE,actvstrat=,-0.516529, actvprof=,3.809189, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.354747, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.952552, id=,S03, PRDE,actvstrat=,-0.721820, actvprof=,0.570698, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.946956, id=,S05, PRDE,actvstrat=,-0.377576, actvprof=,0.137779, id=,S06, PRDE,actvstrat=,-0.105210, actvprof=,0.060000, id=,S07, PRDE,actvstrat=,0.470483, actvprof=,0.069167, id=,S08, PRDE,actvstrat=,0.461724, actvprof=,0.008750, id=,S09, PRDE,actvstrat=,-0.055188, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.470669, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.807417, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.609899, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,8.952552, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.316403, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.642175, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.988904, actvprof=,0.010000, id=,B03, PRDE,actvstrat=,-0.832418, actvprof=,0.025277, id=,B04, PRDE,actvstrat=,-0.267161, actvprof=,0.081943, id=,B05, PRDE,actvstrat=,-0.103648, actvprof=,0.369718, id=,B06, PRDE,actvstrat=,0.529182, actvprof=,1.047766, id=,B07, PRDE,actvstrat=,0.969075, actvprof=,0.780824, id=,B08, PRDE,actvstrat=,0.168952, actvprof=,1.887200, id=,B09, PRDE,actvstrat=,0.824976, actvprof=,3.154686, id=,B10, PRDE,actvstrat=,0.877301, actvprof=,4.064120, id=,B11, PRDE,actvstrat=,0.852592, actvprof=,5.276050, id=,S00, PRDE,actvstrat=,0.544565, actvprof=,11.722920, id=,S01, PRDE,actvstrat=,0.581602, actvprof=,9.745165, id=,S02, PRDE,actvstrat=,0.957748, actvprof=,8.556290, id=,S03, PRDE,actvstrat=,-0.173700, actvprof=,2.296085, id=,S04, PRDE,actvstrat=,-0.497294, actvprof=,1.349984, id=,S05, PRDE,actvstrat=,-0.030665, actvprof=,1.461928, id=,S06, PRDE,actvstrat=,-0.414599, actvprof=,0.351385, id=,S07, PRDE,actvstrat=,0.977031, actvprof=,1.572482, id=,S08, PRDE,actvstrat=,-0.980878, actvprof=,0.477494, id=,S09, PRDE,actvstrat=,-0.967410, actvprof=,0.092777, id=,S10, PRDE,actvstrat=,-0.912134, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.577140, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.276050, best_B_strat=,0.852592, best_S_id=,S00, best_S_prof=,11.722920, best_S_strat=,0.544565, 
t=,36000, id=,B00, PRDE,actvstrat=,0.316403, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.642175, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.988904, actvprof=,0.008611, id=,B03, PRDE,actvstrat=,-0.832418, actvprof=,0.029722, id=,B04, PRDE,actvstrat=,-0.267161, actvprof=,0.085973, id=,B05, PRDE,actvstrat=,-0.103648, actvprof=,0.318196, id=,B06, PRDE,actvstrat=,0.529182, actvprof=,1.074867, id=,B07, PRDE,actvstrat=,0.969075, actvprof=,0.851255, id=,B08, PRDE,actvstrat=,0.168952, actvprof=,1.887372, id=,B09, PRDE,actvstrat=,0.824976, actvprof=,3.117796, id=,B10, PRDE,actvstrat=,0.877301, actvprof=,4.051273, id=,B11, PRDE,actvstrat=,0.852592, actvprof=,5.348642, id=,S00, PRDE,actvstrat=,0.544565, actvprof=,11.348260, id=,S01, PRDE,actvstrat=,0.581602, actvprof=,9.716306, id=,S02, PRDE,actvstrat=,0.957748, actvprof=,8.501577, id=,S03, PRDE,actvstrat=,-0.173700, actvprof=,2.354736, id=,S04, PRDE,actvstrat=,-0.497294, actvprof=,1.270424, id=,S05, PRDE,actvstrat=,-0.030665, actvprof=,1.417369, id=,S06, PRDE,actvstrat=,-0.414599, actvprof=,0.352780, id=,S07, PRDE,actvstrat=,0.977031, actvprof=,1.680288, id=,S08, PRDE,actvstrat=,-0.980878, actvprof=,0.466530, id=,S09, PRDE,actvstrat=,-0.967410, actvprof=,0.099445, id=,S10, PRDE,actvstrat=,-0.912134, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.577140, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.348642, best_B_strat=,0.852592, best_S_id=,S00, best_S_prof=,11.348260, best_S_strat=,0.544565, 
