t=,0, id=,B00, PRDE,actvstrat=,0.824039, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.356525, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.699877, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.173141, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.411083, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.238823, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.509771, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.916113, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.677895, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.906534, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.745966, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.063153, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.953062, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.763406, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.690227, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.344659, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.367778, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.596859, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.350696, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.478921, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.318632, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.847435, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.886890, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.309686, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.824039, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.953062, 
t=,3600, id=,B00, PRDE,actvstrat=,0.824039, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.356525, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.699877, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.173141, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,-0.411083, actvprof=,0.012500, id=,B05, PRDE,actvstrat=,0.238823, actvprof=,0.050277, id=,B06, PRDE,actvstrat=,0.509771, actvprof=,0.315552, id=,B07, PRDE,actvstrat=,0.916113, actvprof=,0.929156, id=,B08, PRDE,actvstrat=,0.677895, actvprof=,1.397484, id=,B09, PRDE,actvstrat=,0.906534, actvprof=,2.011366, id=,B10, PRDE,actvstrat=,-0.745966, actvprof=,2.593026, id=,B11, PRDE,actvstrat=,0.063153, actvprof=,3.765512, id=,S00, PRDE,actvstrat=,-0.953062, actvprof=,1.382484, id=,S01, PRDE,actvstrat=,0.763406, actvprof=,11.071816, id=,S02, PRDE,actvstrat=,0.690227, actvprof=,8.247405, id=,S03, PRDE,actvstrat=,0.344659, actvprof=,4.139952, id=,S04, PRDE,actvstrat=,0.367778, actvprof=,3.076631, id=,S05, PRDE,actvstrat=,-0.596859, actvprof=,0.444162, id=,S06, PRDE,actvstrat=,0.350696, actvprof=,1.065543, id=,S07, PRDE,actvstrat=,-0.478921, actvprof=,0.070833, id=,S08, PRDE,actvstrat=,0.318632, actvprof=,0.147776, id=,S09, PRDE,actvstrat=,-0.847435, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.886890, actvprof=,0.021944, id=,S11, PRDE,actvstrat=,0.309686, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.765512, best_B_strat=,0.063153, best_S_id=,S01, best_S_prof=,11.071816, best_S_strat=,0.763406, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.166708, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.621782, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.636673, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.539232, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.710570, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.100222, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.912021, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.623961, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.261898, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.748366, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.332402, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.196619, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.004146, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.513106, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.345788, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.636401, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.685192, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.416149, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.333256, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.346117, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.287022, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.804715, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.319831, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.239383, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.166708, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.004146, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.166708, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.621782, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.636673, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.539232, actvprof=,0.011389, id=,B04, PRDE,actvstrat=,-0.710570, actvprof=,0.036667, id=,B05, PRDE,actvstrat=,0.100222, actvprof=,0.062223, id=,B06, PRDE,actvstrat=,0.912021, actvprof=,0.685563, id=,B07, PRDE,actvstrat=,0.623961, actvprof=,0.950289, id=,B08, PRDE,actvstrat=,0.261898, actvprof=,1.320571, id=,B09, PRDE,actvstrat=,-0.748366, actvprof=,1.668908, id=,B10, PRDE,actvstrat=,0.332402, actvprof=,3.147536, id=,B11, PRDE,actvstrat=,-0.196619, actvprof=,3.819489, id=,S00, PRDE,actvstrat=,0.004146, actvprof=,6.527576, id=,S01, PRDE,actvstrat=,0.513106, actvprof=,7.641755, id=,S02, PRDE,actvstrat=,0.345788, actvprof=,4.945057, id=,S03, PRDE,actvstrat=,-0.636401, actvprof=,0.990011, id=,S04, PRDE,actvstrat=,0.685192, actvprof=,3.580041, id=,S05, PRDE,actvstrat=,-0.416149, actvprof=,0.286670, id=,S06, PRDE,actvstrat=,-0.333256, actvprof=,0.143613, id=,S07, PRDE,actvstrat=,0.346117, actvprof=,0.218336, id=,S08, PRDE,actvstrat=,0.287022, actvprof=,0.038056, id=,S09, PRDE,actvstrat=,0.804715, actvprof=,0.051945, id=,S10, PRDE,actvstrat=,-0.319831, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.239383, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.819489, best_B_strat=,-0.196619, best_S_id=,S01, best_S_prof=,7.641755, best_S_strat=,0.513106, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.166708, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.621782, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.636673, actvprof=,0.003472, id=,B03, PRDE,actvstrat=,0.539232, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,-0.710570, actvprof=,0.027361, id=,B05, PRDE,actvstrat=,0.100222, actvprof=,0.080278, id=,B06, PRDE,actvstrat=,0.912021, actvprof=,0.663750, id=,B07, PRDE,actvstrat=,0.623961, actvprof=,0.971528, id=,B08, PRDE,actvstrat=,0.261898, actvprof=,1.320139, id=,B09, PRDE,actvstrat=,-0.748366, actvprof=,1.762361, id=,B10, PRDE,actvstrat=,0.332402, actvprof=,3.187639, id=,B11, PRDE,actvstrat=,-0.196619, actvprof=,3.796111, id=,S00, PRDE,actvstrat=,0.004146, actvprof=,6.613750, id=,S01, PRDE,actvstrat=,0.513106, actvprof=,7.877083, id=,S02, PRDE,actvstrat=,0.345788, actvprof=,4.879306, id=,S03, PRDE,actvstrat=,-0.636401, actvprof=,0.982083, id=,S04, PRDE,actvstrat=,0.685192, actvprof=,3.382500, id=,S05, PRDE,actvstrat=,-0.416149, actvprof=,0.268472, id=,S06, PRDE,actvstrat=,-0.333256, actvprof=,0.120139, id=,S07, PRDE,actvstrat=,0.346117, actvprof=,0.224444, id=,S08, PRDE,actvstrat=,0.287022, actvprof=,0.052361, id=,S09, PRDE,actvstrat=,0.804715, actvprof=,0.049861, id=,S10, PRDE,actvstrat=,-0.319831, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.239383, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.796111, best_B_strat=,-0.196619, best_S_id=,S01, best_S_prof=,7.877083, best_S_strat=,0.513106, 
t=,18000, id=,B00, PRDE,actvstrat=,0.540908, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.621782, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.580274, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.539232, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,0.885313, actvprof=,0.090280, id=,B05, PRDE,actvstrat=,0.100222, actvprof=,0.045279, id=,B06, PRDE,actvstrat=,0.788831, actvprof=,0.533346, id=,B07, PRDE,actvstrat=,-0.195583, actvprof=,0.306396, id=,B08, PRDE,actvstrat=,0.261898, actvprof=,1.108637, id=,B09, PRDE,actvstrat=,-0.431000, actvprof=,1.476145, id=,B10, PRDE,actvstrat=,0.332402, actvprof=,3.355355, id=,B11, PRDE,actvstrat=,0.416411, actvprof=,4.830390, id=,S00, PRDE,actvstrat=,0.004146, actvprof=,6.318202, id=,S01, PRDE,actvstrat=,0.463487, actvprof=,7.366004, id=,S02, PRDE,actvstrat=,-0.813707, actvprof=,0.710572, id=,S03, PRDE,actvstrat=,-0.289864, actvprof=,1.285585, id=,S04, PRDE,actvstrat=,-0.164918, actvprof=,0.916688, id=,S05, PRDE,actvstrat=,0.267054, actvprof=,1.293363, id=,S06, PRDE,actvstrat=,0.903153, actvprof=,2.425056, id=,S07, PRDE,actvstrat=,-0.895491, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.411571, actvprof=,0.018056, id=,S09, PRDE,actvstrat=,-0.878695, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.886890, actvprof=,0.032223, id=,S11, PRDE,actvstrat=,-0.242707, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.830390, best_B_strat=,0.416411, best_S_id=,S01, best_S_prof=,7.366004, best_S_strat=,0.463487, 
t=,21600, id=,B00, PRDE,actvstrat=,0.540908, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.621782, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.580274, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.539232, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,0.885313, actvprof=,0.080001, id=,B05, PRDE,actvstrat=,0.100222, actvprof=,0.037917, id=,B06, PRDE,actvstrat=,0.788831, actvprof=,0.516815, id=,B07, PRDE,actvstrat=,-0.195583, actvprof=,0.301672, id=,B08, PRDE,actvstrat=,0.261898, actvprof=,1.109880, id=,B09, PRDE,actvstrat=,-0.431000, actvprof=,1.463914, id=,B10, PRDE,actvstrat=,0.332402, actvprof=,3.418115, id=,B11, PRDE,actvstrat=,0.416411, actvprof=,5.062449, id=,S00, PRDE,actvstrat=,0.004146, actvprof=,6.379139, id=,S01, PRDE,actvstrat=,0.463487, actvprof=,7.247765, id=,S02, PRDE,actvstrat=,-0.813707, actvprof=,0.662789, id=,S03, PRDE,actvstrat=,-0.289864, actvprof=,1.139048, id=,S04, PRDE,actvstrat=,-0.164918, actvprof=,0.882099, id=,S05, PRDE,actvstrat=,0.267054, actvprof=,1.296550, id=,S06, PRDE,actvstrat=,0.903153, actvprof=,2.311151, id=,S07, PRDE,actvstrat=,-0.895491, actvprof=,0.005139, id=,S08, PRDE,actvstrat=,-0.411571, actvprof=,0.011667, id=,S09, PRDE,actvstrat=,-0.878695, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.886890, actvprof=,0.025139, id=,S11, PRDE,actvstrat=,-0.242707, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.062449, best_B_strat=,0.416411, best_S_id=,S01, best_S_prof=,7.247765, best_S_strat=,0.463487, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.934461, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.273667, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.013334, id=,B03, PRDE,actvstrat=,0.011449, actvprof=,0.090281, id=,B04, PRDE,actvstrat=,0.490773, actvprof=,0.591132, id=,B05, PRDE,actvstrat=,-0.831420, actvprof=,0.755860, id=,B06, PRDE,actvstrat=,-0.060144, actvprof=,1.769506, id=,B07, PRDE,actvstrat=,-0.694927, actvprof=,2.680371, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.730720, id=,B09, PRDE,actvstrat=,-0.799041, actvprof=,5.701031, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,8.147783, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,10.562867, id=,S00, PRDE,actvstrat=,0.373021, actvprof=,3.840689, id=,S01, PRDE,actvstrat=,0.550453, actvprof=,3.271225, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.699538, id=,S03, PRDE,actvstrat=,0.336019, actvprof=,0.945311, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.932046, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.796972, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.542519, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.376958, id=,S08, PRDE,actvstrat=,0.563768, actvprof=,0.030834, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.057780, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.003611, id=,S11, PRDE,actvstrat=,0.068476, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.562867, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.840689, best_S_strat=,0.373021, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.934461, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.273667, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.011449, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.787423, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.879267, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.420457, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.198615, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.748366, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.160700, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.876095, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.463487, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.281079, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.672073, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.416149, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.257230, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.346117, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.400000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.804715, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.353555, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.800332, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.934461, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.876095, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.934461, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.273667, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.011449, actvprof=,0.005556, id=,B04, PRDE,actvstrat=,0.787423, actvprof=,0.068891, id=,B05, PRDE,actvstrat=,0.879267, actvprof=,0.315011, id=,B06, PRDE,actvstrat=,0.420457, actvprof=,0.295010, id=,B07, PRDE,actvstrat=,0.198615, actvprof=,0.572798, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.471683, id=,B09, PRDE,actvstrat=,-0.748366, actvprof=,2.198687, id=,B10, PRDE,actvstrat=,0.160700, actvprof=,2.279246, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,2.098962, id=,S00, PRDE,actvstrat=,-0.876095, actvprof=,1.545609, id=,S01, PRDE,actvstrat=,0.463487, actvprof=,9.511164, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,9.596722, id=,S03, PRDE,actvstrat=,0.281079, actvprof=,4.944894, id=,S04, PRDE,actvstrat=,-0.672073, actvprof=,1.004202, id=,S05, PRDE,actvstrat=,-0.416149, actvprof=,0.780583, id=,S06, PRDE,actvstrat=,-0.257230, actvprof=,0.447238, id=,S07, PRDE,actvstrat=,0.346117, actvprof=,1.065315, id=,S08, PRDE,actvstrat=,0.400000, actvprof=,0.446682, id=,S09, PRDE,actvstrat=,0.804715, actvprof=,0.634189, id=,S10, PRDE,actvstrat=,-0.353555, actvprof=,0.005556, id=,S11, PRDE,actvstrat=,0.800332, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,2.279246, best_B_strat=,0.160700, best_S_id=,S02, best_S_prof=,9.596722, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.934461, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.273667, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.011449, actvprof=,0.002917, id=,B04, PRDE,actvstrat=,0.787423, actvprof=,0.065140, id=,B05, PRDE,actvstrat=,0.879267, actvprof=,0.289729, id=,B06, PRDE,actvstrat=,0.420457, actvprof=,0.296257, id=,B07, PRDE,actvstrat=,0.198615, actvprof=,0.525707, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.448344, id=,B09, PRDE,actvstrat=,-0.748366, actvprof=,2.130883, id=,B10, PRDE,actvstrat=,0.160700, actvprof=,2.283664, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,2.172828, id=,S00, PRDE,actvstrat=,-0.876095, actvprof=,1.514341, id=,S01, PRDE,actvstrat=,0.463487, actvprof=,9.135628, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,9.726197, id=,S03, PRDE,actvstrat=,0.281079, actvprof=,5.017477, id=,S04, PRDE,actvstrat=,-0.672073, actvprof=,1.000440, id=,S05, PRDE,actvstrat=,-0.416149, actvprof=,0.813352, id=,S06, PRDE,actvstrat=,-0.257230, actvprof=,0.363064, id=,S07, PRDE,actvstrat=,0.346117, actvprof=,1.011690, id=,S08, PRDE,actvstrat=,0.400000, actvprof=,0.506540, id=,S09, PRDE,actvstrat=,0.804715, actvprof=,0.617375, id=,S10, PRDE,actvstrat=,-0.353555, actvprof=,0.003889, id=,S11, PRDE,actvstrat=,0.800332, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,2.283664, best_B_strat=,0.160700, best_S_id=,S02, best_S_prof=,9.726197, best_S_strat=,1.000000, 
