B00, 0
B01, 100
B01, Trade, 366127.583, 206, B01, S01, 1
B01, Trade, 366145.792, 201, B01, S00, 1
B01, Trade, 366155.083, 206, B01, S01, 1
B01, Trade, 366175.917, 206, B01, S00, 1
B01, Trade, 366208.208, 206, B01, S00, 1
B01, Trade, 366278.250, 206, S01, B01, 1
B01, Trade, 366334.667, 206, B01, S01, 1
B01, Trade, 366480.042, 206, B01, S00, 1
B01, Trade, 366514.000, 206, B01, S00, 1
B01, Trade, 366547.667, 204, B01, S00, 1
B01, Trade, 366562.458, 206, B01, S01, 1
B01, Trade, 366584.500, 202, B01, S00, 1
B01, Trade, 366620.625, 206, B01, S01, 1
B01, Trade, 366635.542, 205, B01, S00, 1
B01, Trade, 366848.958, 206, B01, S00, 1
B01, Trade, 366912.708, 206, B01, S00, 1
B01, Trade, 366957.625, 206, B01, S01, 1
B01, Trade, 367106.750, 206, B01, S00, 1
B01, Trade, 367159.083, 206, B01, S00, 1
B01, Trade, 367169.083, 206, S01, B01, 1
B01, Trade, 367626.542, 206, B01, S00, 1
B01, Trade, 373761.917, 203, B01, S00, 1
B01, Trade, 400161.000, 206, S01, B01, 1
B01, Trade, 403206.042, 206, B01, S10, 1
B01, Trade, 482502.417, 76, B01, S00, 1
B01, Trade, 483104.708, 76, B01, S00, 1
B01, Trade, 483358.500, 76, B01, S00, 1
B01, Trade, 483727.542, 76, B01, S01, 1
B01, Trade, 484493.500, 76, B01, S00, 1
B01, Trade, 485927.375, 76, B01, S00, 1
B01, Trade, 486726.375, 76, B01, S01, 1
B01, Trade, 488098.500, 76, B01, S00, 1
B01, Trade, 489125.750, 76, B01, S00, 1
B01, Trade, 495900.792, 75, B01, S00, 1
B01, Trade, 497218.333, 76, B01, S01, 1
B01, Trade, 497777.625, 76, B01, S00, 1
B01, Trade, 497984.667, 76, B01, S00, 1
B01, Trade, 498486.750, 76, B01, S00, 1
B01, Trade, 498496.875, 76, B01, S01, 1
B01, Trade, 499001.792, 76, B01, S00, 1
B01, Trade, 499066.708, 76, B01, S00, 1
B01, Trade, 499082.458, 76, B01, S01, 1
B01, Trade, 499135.333, 76, B01, S00, 1
B01, Trade, 500039.833, 76, B01, S00, 1
B01, Trade, 500436.708, 76, B01, S01, 1
B01, Trade, 500947.042, 76, B01, S01, 1
B01, Trade, 501340.667, 76, B01, S00, 1
B01, Trade, 501547.375, 76, B01, S00, 1
B01, Trade, 501569.208, 76, B01, S00, 1
B01, Trade, 501662.875, 76, B01, S00, 1
B01, Trade, 501676.625, 76, B01, S00, 1
B01, Trade, 501941.583, 76, B01, S00, 1
B01, Trade, 502053.375, 76, B01, S00, 1
B01, Trade, 502567.167, 76, B01, S00, 1
B01, Trade, 503613.542, 68, S00, B01, 1
B01, Trade, 503983.083, 76, B01, S00, 1
B01, Trade, 508394.583, 76, B01, S01, 1
B01, Trade, 508571.083, 74, B01, S00, 1
B01, Trade, 509276.292, 76, B01, S01, 1
B01, Trade, 509699.750, 76, B01, S00, 1
B01, Trade, 510026.458, 76, B01, S00, 1
B01, Trade, 510588.458, 76, S01, B01, 1
B01, Trade, 515096.917, 76, B01, S00, 1
B01, Trade, 515285.750, 76, B01, S00, 1
B01, Trade, 520677.042, 76, B01, S00, 1
B01, Trade, 521479.167, 71, B01, S00, 1
B01, Trade, 521618.500, 76, B01, S00, 1
B01, Trade, 524149.000, 76, B01, S00, 1
B01, Trade, 526305.375, 76, B01, S00, 1
B01, Trade, 527642.250, 76, B01, S01, 1
B01, Trade, 527763.583, 76, B01, S00, 1
B01, Trade, 528389.167, 76, B01, S00, 1
B01, Trade, 528672.625, 76, B01, S01, 1
B01, Trade, 528931.500, 76, B01, S00, 1
B01, Trade, 529252.167, 70, S00, B01, 1
B01, Trade, 529366.333, 76, B01, S00, 1
B01, Trade, 529457.625, 76, B01, S00, 1
B01, Trade, 529829.458, 76, B01, S00, 1
B01, Trade, 530326.250, 76, B01, S00, 1
B01, Trade, 531147.375, 76, B01, S01, 1
B01, Trade, 531316.042, 76, B01, S00, 1
B01, Trade, 532246.250, 75, B01, S00, 1
B01, Trade, 532283.375, 75, B01, S00, 1
B01, Trade, 542992.542, 75, B01, S00, 1
B01, Trade, 543856.333, 76, B01, S00, 1
B01, Trade, 544240.250, 76, B01, S00, 1
B01, Trade, 550719.583, 76, B01, S00, 1
B01, Trade, 553462.208, 76, B01, S00, 1
B01, Trade, 554241.292, 76, B01, S00, 1
B01, Trade, 556900.708, 76, B01, S00, 1
B01, Trade, 558755.542, 76, B01, S00, 1
B01, Trade, 559800.875, 74, B01, S00, 1
B01, Trade, 561857.875, 76, B01, S00, 1
B01, Trade, 562873.500, 76, B01, S00, 1
B01, Trade, 564553.542, 76, B01, S00, 1
B01, Trade, 568123.042, 76, B01, S00, 1
B01, Trade, 577138.417, 76, B01, S01, 1
B01, Trade, 579327.333, 76, B01, S01, 1
B01, Trade, 579653.000, 76, B01, S00, 1
B01, Trade, 583952.458, 76, B01, S00, 1
B02, 100
B02, Trade, 560651.917, 86, B02, S00, 1
B02, Trade, 560809.458, 86, B02, S00, 1
B02, Trade, 560898.417, 86, B02, S00, 1
B02, Trade, 561194.125, 87, B02, S00, 1
B02, Trade, 561254.083, 87, B02, S00, 1
B02, Trade, 561353.250, 87, B02, S00, 1
B02, Trade, 561424.000, 87, B02, S00, 1
B02, Trade, 561499.667, 86, S01, B02, 1
B02, Trade, 561932.542, 85, B02, S00, 1
B02, Trade, 561974.667, 87, B02, S00, 1
B02, Trade, 562267.167, 87, B02, S00, 1
B02, Trade, 562281.458, 85, B02, S00, 1
B02, Trade, 562484.292, 87, B02, S00, 1
B02, Trade, 562634.583, 87, B02, S00, 1
B02, Trade, 562771.292, 87, B02, S00, 1
B02, Trade, 563445.833, 87, B02, S00, 1
B02, Trade, 563464.208, 87, B02, S00, 1
B02, Trade, 563479.667, 87, B02, S00, 1
B02, Trade, 563551.792, 87, B02, S00, 1
B02, Trade, 563661.417, 87, B02, S00, 1
B02, Trade, 563919.375, 87, B02, S00, 1
B02, Trade, 564260.958, 87, B02, S00, 1
B02, Trade, 564453.708, 86, B02, S00, 1
B02, Trade, 564523.167, 87, B02, S00, 1
B02, Trade, 564603.667, 87, B02, S00, 1
B02, Trade, 564645.250, 87, B02, S00, 1
B02, Trade, 564800.208, 87, B02, S00, 1
B02, Trade, 564940.375, 87, B02, S00, 1
B02, Trade, 565234.417, 85, B02, S00, 1
B02, Trade, 565490.333, 87, B02, S00, 1
B02, Trade, 565516.417, 87, B02, S00, 1
B02, Trade, 565586.208, 86, B02, S00, 1
B02, Trade, 565787.333, 87, B02, S00, 1
B02, Trade, 566121.625, 86, B02, S00, 1
B02, Trade, 566150.667, 86, B02, S00, 1
B02, Trade, 566244.583, 86, B02, S00, 1
B02, Trade, 566357.000, 86, B02, S00, 1
B02, Trade, 566623.500, 87, B02, S00, 1
B02, Trade, 566756.083, 86, B02, S00, 1
B02, Trade, 566966.667, 87, B02, S00, 1
B02, Trade, 566990.875, 86, B02, S00, 1
B02, Trade, 567581.625, 87, B02, S00, 1
B02, Trade, 567695.625, 87, B02, S00, 1
B02, Trade, 567950.333, 86, B02, S00, 1
B02, Trade, 568317.125, 87, B02, S00, 1
B02, Trade, 568799.667, 87, B02, S00, 1
B02, Trade, 568837.792, 87, B02, S00, 1
B02, Trade, 568927.125, 78, B02, S00, 1
B02, Trade, 570734.000, 87, B02, S00, 1
B02, Trade, 571677.708, 87, B02, S00, 1
B02, Trade, 573471.458, 87, B02, S00, 1
B02, Trade, 575278.750, 87, B02, S00, 1
B02, Trade, 575817.458, 80, B02, S00, 1
B02, Trade, 575931.625, 87, B02, S00, 1
B02, Trade, 576257.458, 87, B02, S00, 1
B02, Trade, 576377.208, 87, B02, S01, 1
B02, Trade, 577599.667, 87, B02, S00, 1
B02, Trade, 577799.917, 84, B02, S00, 1
B02, Trade, 577893.542, 87, B02, S00, 1
B02, Trade, 577961.500, 85, B02, S01, 1
B02, Trade, 578385.708, 87, B02, S01, 1
B02, Trade, 579060.167, 87, B02, S00, 1
B02, Trade, 579770.292, 87, B02, S01, 1
B02, Trade, 579930.250, 87, B02, S01, 1
B02, Trade, 580189.625, 87, B02, S00, 1
B02, Trade, 580486.958, 87, B02, S00, 1
B02, Trade, 580781.375, 77, B02, S01, 1
B02, Trade, 580975.458, 80, B02, S00, 1
B02, Trade, 580984.458, 87, B02, S00, 1
B02, Trade, 580987.417, 87, B02, S00, 1
B02, Trade, 581721.708, 87, B02, S00, 1
B02, Trade, 581753.875, 87, B02, S00, 1
B02, Trade, 582217.875, 87, B02, S01, 1
B02, Trade, 582780.667, 87, B02, S01, 1
B02, Trade, 582888.958, 85, B02, S01, 1
B02, Trade, 583000.250, 87, B02, S01, 1
B02, Trade, 583042.417, 87, B02, S00, 1
B02, Trade, 583086.375, 87, B02, S02, 1
B02, Trade, 583434.750, 87, B02, S00, 1
B02, Trade, 584204.625, 76, B02, S00, 1
B02, Trade, 584885.542, 87, B02, S00, 1
B02, Trade, 585599.542, 84, B02, S00, 1
B02, Trade, 586005.583, 84, B02, S00, 1
B02, Trade, 587308.792, 87, B02, S00, 1
B02, Trade, 587331.625, 87, B02, S00, 1
B02, Trade, 587554.833, 87, B02, S00, 1
B02, Trade, 587768.292, 87, B02, S02, 1
B02, Trade, 588008.958, 87, B02, S00, 1
B02, Trade, 588078.958, 87, B02, S00, 1
B02, Trade, 588173.333, 87, B02, S00, 1
B02, Trade, 588504.333, 87, B02, S00, 1
B02, Trade, 588573.625, 87, B02, S00, 1
B02, Trade, 589010.833, 87, B02, S00, 1
B02, Trade, 593709.542, 87, B02, S00, 1
B02, Trade, 595861.542, 86, B02, S00, 1
B02, Trade, 597014.292, 87, B02, S00, 1
B02, Trade, 597173.792, 87, B02, S00, 1
B02, Trade, 597216.000, 87, S01, B02, 1
B02, Trade, 602761.292, 86, B02, S00, 1
B02, Trade, 604119.083, 87, B02, S00, 1
B03, 100
B03, Trade, 589781.292, 99, B03, S00, 1
B03, Trade, 589791.458, 99, B03, S02, 1
B03, Trade, 589838.250, 99, B03, S00, 1
B03, Trade, 589890.167, 99, B03, S00, 1
B03, Trade, 590026.000, 98, B03, S02, 1
B03, Trade, 590148.458, 88, B03, S00, 1
B03, Trade, 590348.917, 99, B03, S02, 1
B03, Trade, 590366.167, 99, B03, S00, 1
B03, Trade, 590384.042, 99, B03, S00, 1
B03, Trade, 590569.708, 91, B03, S00, 1
B03, Trade, 590606.000, 99, B03, S00, 1
B03, Trade, 590973.208, 90, B03, S00, 1
B03, Trade, 591100.667, 94, B03, S02, 1
B03, Trade, 591282.167, 99, B03, S02, 1
B03, Trade, 591321.625, 99, B03, S00, 1
B03, Trade, 591393.292, 99, B03, S02, 1
B03, Trade, 591467.833, 90, S01, B03, 1
B03, Trade, 591533.250, 91, B03, S00, 1
B03, Trade, 591703.625, 89, B03, S02, 1
B03, Trade, 591774.583, 99, B03, S02, 1
B03, Trade, 591833.375, 99, B03, S02, 1
B03, Trade, 592055.958, 99, B03, S02, 1
B03, Trade, 592114.167, 99, B03, S00, 1
B03, Trade, 593046.125, 99, B03, S00, 1
B03, Trade, 593172.333, 91, B03, S00, 1
B03, Trade, 593409.292, 99, B03, S02, 1
B03, Trade, 593522.583, 99, B03, S00, 1
B03, Trade, 593744.208, 99, B03, S00, 1
B03, Trade, 593937.667, 99, B03, S02, 1
B03, Trade, 594025.417, 93, B03, S02, 1
B03, Trade, 594139.417, 99, B03, S00, 1
B03, Trade, 594161.000, 99, B03, S00, 1
B03, Trade, 594174.417, 92, B03, S02, 1
B03, Trade, 594474.542, 99, B03, S00, 1
B03, Trade, 594655.625, 99, B03, S00, 1
B03, Trade, 594690.083, 99, B03, S02, 1
B03, Trade, 594806.417, 99, B03, S02, 1
B03, Trade, 595799.375, 99, B03, S02, 1
B03, Trade, 595985.250, 91, B03, S02, 1
B03, Trade, 596342.958, 89, B03, S00, 1
B03, Trade, 596461.708, 91, B03, S02, 1
B03, Trade, 596504.583, 98, B03, S00, 1
B03, Trade, 596524.875, 93, B03, S00, 1
B03, Trade, 596529.750, 99, B03, S00, 1
B03, Trade, 596644.292, 99, B03, S02, 1
B03, Trade, 596754.083, 99, B03, S00, 1
B03, Trade, 596941.000, 99, B03, S02, 1
B03, Trade, 597014.042, 99, B03, S02, 1
B03, Trade, 597053.792, 99, B03, S00, 1
B03, Trade, 597216.625, 77, B03, S00, 1
B03, Trade, 597314.542, 99, B03, S02, 1
B03, Trade, 597335.000, 99, B03, S00, 1
B03, Trade, 597494.917, 99, B03, S00, 1
B03, Trade, 597606.958, 99, B03, S00, 1
B03, Trade, 597874.375, 99, B03, S00, 1
B03, Trade, 598184.458, 99, B03, S00, 1
B03, Trade, 598306.250, 99, B03, S00, 1
B03, Trade, 598522.250, 99, B03, S02, 1
B03, Trade, 598574.542, 99, B03, S00, 1
B03, Trade, 598663.708, 99, B03, S03, 1
B03, Trade, 598914.208, 99, B03, S00, 1
B03, Trade, 599011.333, 99, B03, S00, 1
B03, Trade, 599246.375, 92, B03, S00, 1
B03, Trade, 599582.375, 99, B03, S00, 1
B03, Trade, 599713.875, 89, B03, S00, 1
B03, Trade, 599813.667, 99, B03, S00, 1
B03, Trade, 599933.333, 88, B03, S00, 1
B03, Trade, 599982.000, 99, B03, S02, 1
B03, Trade, 600035.833, 90, B03, S00, 1
B03, Trade, 600095.500, 88, B03, S00, 1
B03, Trade, 600263.333, 99, B03, S02, 1
B03, Trade, 600290.083, 99, B03, S00, 1
B03, Trade, 600425.167, 99, B03, S02, 1
B03, Trade, 600463.833, 99, B03, S00, 1
B03, Trade, 600578.333, 94, B03, S00, 1
B03, Trade, 600997.917, 99, B03, S00, 1
B03, Trade, 601054.917, 99, B03, S00, 1
B03, Trade, 601192.833, 91, B03, S00, 1
B03, Trade, 601317.083, 99, B03, S02, 1
B03, Trade, 601504.292, 96, B03, S00, 1
B03, Trade, 601570.875, 99, B03, S00, 1
B03, Trade, 601781.208, 99, B03, S02, 1
B03, Trade, 601784.958, 99, B03, S00, 1
B03, Trade, 602069.833, 99, B03, S02, 1
B03, Trade, 602348.292, 99, B03, S00, 1
B03, Trade, 602373.875, 99, B03, S02, 1
B03, Trade, 602711.667, 99, B03, S00, 1
B03, Trade, 602761.083, 99, B03, S02, 1
B03, Trade, 602905.042, 99, B03, S02, 1
