t=,0, id=,B00, PRDE,actvstrat=,-0.222723, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.240331, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.007622, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.194511, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.172302, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.721244, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.999768, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.523864, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.892559, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.984876, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.525562, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.552818, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.944386, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.179375, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.375403, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.360346, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.379394, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.330128, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.835033, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.567313, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.300778, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.096991, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.604346, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.048261, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.222723, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.944386, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.222723, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.240331, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,0.007622, actvprof=,0.004444, id=,B03, PRDE,actvstrat=,0.194511, actvprof=,0.027777, id=,B04, PRDE,actvstrat=,-0.172302, actvprof=,0.048333, id=,B05, PRDE,actvstrat=,0.721244, actvprof=,0.278330, id=,B06, PRDE,actvstrat=,0.999768, actvprof=,0.237219, id=,B07, PRDE,actvstrat=,0.523864, actvprof=,0.955267, id=,B08, PRDE,actvstrat=,0.892559, actvprof=,1.792201, id=,B09, PRDE,actvstrat=,-0.984876, actvprof=,3.398572, id=,B10, PRDE,actvstrat=,0.525562, actvprof=,3.990787, id=,B11, PRDE,actvstrat=,-0.552818, actvprof=,4.285506, id=,S00, PRDE,actvstrat=,0.944386, actvprof=,12.660687, id=,S01, PRDE,actvstrat=,0.179375, actvprof=,6.615757, id=,S02, PRDE,actvstrat=,0.375403, actvprof=,6.059097, id=,S03, PRDE,actvstrat=,0.360346, actvprof=,3.998843, id=,S04, PRDE,actvstrat=,0.379394, actvprof=,2.492749, id=,S05, PRDE,actvstrat=,-0.330128, actvprof=,0.428606, id=,S06, PRDE,actvstrat=,0.835033, actvprof=,1.756646, id=,S07, PRDE,actvstrat=,0.567313, actvprof=,0.361940, id=,S08, PRDE,actvstrat=,0.300778, actvprof=,0.068055, id=,S09, PRDE,actvstrat=,-0.096991, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,-0.604346, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.048261, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.285506, best_B_strat=,-0.552818, best_S_id=,S00, best_S_prof=,12.660687, best_S_strat=,0.944386, 
t=,7200, id=,B00, PRDE,actvstrat=,0.420392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.116156, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.891825, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.573328, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.020431, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.770573, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.506965, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.721057, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.323127, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.772126, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.395556, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.702087, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.800694, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.792810, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.499851, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.298140, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.330223, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.250261, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.703631, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.893639, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.686259, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.402339, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.956352, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.249481, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.420392, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.800694, 
t=,10800, id=,B00, PRDE,actvstrat=,0.420392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.116156, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.891825, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.573328, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.020431, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,-0.770573, actvprof=,0.021944, id=,B06, PRDE,actvstrat=,-0.506965, actvprof=,0.042222, id=,B07, PRDE,actvstrat=,0.721057, actvprof=,0.567778, id=,B08, PRDE,actvstrat=,-0.323127, actvprof=,0.400000, id=,B09, PRDE,actvstrat=,0.772126, actvprof=,2.371944, id=,B10, PRDE,actvstrat=,-0.395556, actvprof=,1.391667, id=,B11, PRDE,actvstrat=,0.702087, actvprof=,5.082778, id=,S00, PRDE,actvstrat=,-0.800694, actvprof=,2.796944, id=,S01, PRDE,actvstrat=,-0.792810, actvprof=,2.108056, id=,S02, PRDE,actvstrat=,-0.499851, actvprof=,2.106111, id=,S03, PRDE,actvstrat=,-0.298140, actvprof=,1.560833, id=,S04, PRDE,actvstrat=,0.330223, actvprof=,2.840000, id=,S05, PRDE,actvstrat=,-0.250261, actvprof=,0.539167, id=,S06, PRDE,actvstrat=,0.703631, actvprof=,1.771389, id=,S07, PRDE,actvstrat=,0.893639, actvprof=,1.476111, id=,S08, PRDE,actvstrat=,-0.686259, actvprof=,0.031944, id=,S09, PRDE,actvstrat=,-0.402339, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.956352, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.249481, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.082778, best_B_strat=,0.702087, best_S_id=,S04, best_S_prof=,2.840000, best_S_strat=,0.330223, 
t=,14400, id=,B00, PRDE,actvstrat=,0.420392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.116156, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.891825, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.573328, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.020431, actvprof=,0.000417, id=,B05, PRDE,actvstrat=,-0.770573, actvprof=,0.014444, id=,B06, PRDE,actvstrat=,-0.506965, actvprof=,0.044167, id=,B07, PRDE,actvstrat=,0.721057, actvprof=,0.567778, id=,B08, PRDE,actvstrat=,-0.323127, actvprof=,0.397778, id=,B09, PRDE,actvstrat=,0.772126, actvprof=,2.411667, id=,B10, PRDE,actvstrat=,-0.395556, actvprof=,1.520833, id=,B11, PRDE,actvstrat=,0.702087, actvprof=,5.120694, id=,S00, PRDE,actvstrat=,-0.800694, actvprof=,2.692083, id=,S01, PRDE,actvstrat=,-0.792810, actvprof=,2.318333, id=,S02, PRDE,actvstrat=,-0.499851, actvprof=,2.299167, id=,S03, PRDE,actvstrat=,-0.298140, actvprof=,1.520556, id=,S04, PRDE,actvstrat=,0.330223, actvprof=,2.705694, id=,S05, PRDE,actvstrat=,-0.250261, actvprof=,0.580833, id=,S06, PRDE,actvstrat=,0.703631, actvprof=,1.764167, id=,S07, PRDE,actvstrat=,0.893639, actvprof=,1.449444, id=,S08, PRDE,actvstrat=,-0.686259, actvprof=,0.024583, id=,S09, PRDE,actvstrat=,-0.402339, actvprof=,0.002361, id=,S10, PRDE,actvstrat=,-0.956352, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.249481, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.120694, best_B_strat=,0.702087, best_S_id=,S04, best_S_prof=,2.705694, best_S_strat=,0.330223, 
t=,18000, id=,B00, PRDE,actvstrat=,0.420392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.831288, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.007622, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,0.176514, actvprof=,0.019722, id=,B04, PRDE,actvstrat=,0.586921, actvprof=,0.164167, id=,B05, PRDE,actvstrat=,-0.118053, actvprof=,0.156389, id=,B06, PRDE,actvstrat=,0.549629, actvprof=,0.927778, id=,B07, PRDE,actvstrat=,-0.275142, actvprof=,0.750556, id=,B08, PRDE,actvstrat=,-0.032633, actvprof=,1.565000, id=,B09, PRDE,actvstrat=,0.611264, actvprof=,3.730000, id=,B10, PRDE,actvstrat=,0.341856, actvprof=,4.778611, id=,B11, PRDE,actvstrat=,0.702087, actvprof=,6.394167, id=,S00, PRDE,actvstrat=,-0.102415, actvprof=,5.408333, id=,S01, PRDE,actvstrat=,0.870472, actvprof=,8.958333, id=,S02, PRDE,actvstrat=,-0.988038, actvprof=,4.760556, id=,S03, PRDE,actvstrat=,-0.499146, actvprof=,1.229167, id=,S04, PRDE,actvstrat=,0.609560, actvprof=,3.392778, id=,S05, PRDE,actvstrat=,0.508316, actvprof=,1.804722, id=,S06, PRDE,actvstrat=,0.636541, actvprof=,1.118889, id=,S07, PRDE,actvstrat=,-0.923110, actvprof=,0.219167, id=,S08, PRDE,actvstrat=,0.745880, actvprof=,0.219167, id=,S09, PRDE,actvstrat=,-0.402339, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.592446, actvprof=,0.006111, id=,S11, PRDE,actvstrat=,-0.249481, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.394167, best_B_strat=,0.702087, best_S_id=,S01, best_S_prof=,8.958333, best_S_strat=,0.870472, 
t=,21600, id=,B00, PRDE,actvstrat=,0.420392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.831288, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.007622, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.176514, actvprof=,0.020278, id=,B04, PRDE,actvstrat=,0.586921, actvprof=,0.133890, id=,B05, PRDE,actvstrat=,-0.118053, actvprof=,0.150280, id=,B06, PRDE,actvstrat=,0.549629, actvprof=,0.840010, id=,B07, PRDE,actvstrat=,-0.275142, actvprof=,0.699314, id=,B08, PRDE,actvstrat=,-0.032633, actvprof=,1.646269, id=,B09, PRDE,actvstrat=,0.611264, actvprof=,3.690598, id=,B10, PRDE,actvstrat=,0.341856, actvprof=,4.568108, id=,B11, PRDE,actvstrat=,0.702087, actvprof=,6.269795, id=,S00, PRDE,actvstrat=,-0.102415, actvprof=,5.436313, id=,S01, PRDE,actvstrat=,0.870472, actvprof=,9.064133, id=,S02, PRDE,actvstrat=,-0.988038, actvprof=,4.863945, id=,S03, PRDE,actvstrat=,-0.499146, actvprof=,1.297376, id=,S04, PRDE,actvstrat=,0.609560, actvprof=,3.173370, id=,S05, PRDE,actvstrat=,0.508316, actvprof=,1.703353, id=,S06, PRDE,actvstrat=,0.636541, actvprof=,1.114041, id=,S07, PRDE,actvstrat=,-0.923110, actvprof=,0.221530, id=,S08, PRDE,actvstrat=,0.745880, actvprof=,0.251392, id=,S09, PRDE,actvstrat=,-0.402339, actvprof=,0.000417, id=,S10, PRDE,actvstrat=,0.592446, actvprof=,0.008472, id=,S11, PRDE,actvstrat=,-0.249481, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.269795, best_B_strat=,0.702087, best_S_id=,S01, best_S_prof=,9.064133, best_S_strat=,0.870472, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.075141, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.172876, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.655990, actvprof=,0.013334, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.038612, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.119169, id=,B08, PRDE,actvstrat=,-0.715137, actvprof=,0.143614, id=,B09, PRDE,actvstrat=,-0.402551, actvprof=,0.580569, id=,B10, PRDE,actvstrat=,-0.583803, actvprof=,1.168360, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,5.489849, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.221510, id=,S01, PRDE,actvstrat=,-0.220093, actvprof=,3.831478, id=,S02, PRDE,actvstrat=,-0.630422, actvprof=,2.070048, id=,S03, PRDE,actvstrat=,0.142964, actvprof=,3.610084, id=,S04, PRDE,actvstrat=,-0.379206, actvprof=,0.633070, id=,S05, PRDE,actvstrat=,-0.636012, actvprof=,0.191671, id=,S06, PRDE,actvstrat=,0.041715, actvprof=,0.298340, id=,S07, PRDE,actvstrat=,0.667054, actvprof=,0.133336, id=,S08, PRDE,actvstrat=,-0.149556, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.883849, actvprof=,0.004167, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.425209, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.489849, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.221510, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.075141, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.172876, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.655990, actvprof=,0.007778, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.040139, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.135835, id=,B08, PRDE,actvstrat=,-0.715137, actvprof=,0.128613, id=,B09, PRDE,actvstrat=,-0.402551, actvprof=,0.551812, id=,B10, PRDE,actvstrat=,-0.583803, actvprof=,1.129180, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,5.345201, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.985891, id=,S01, PRDE,actvstrat=,-0.220093, actvprof=,3.939490, id=,S02, PRDE,actvstrat=,-0.630422, actvprof=,1.950439, id=,S03, PRDE,actvstrat=,0.142964, actvprof=,3.738238, id=,S04, PRDE,actvstrat=,-0.379206, actvprof=,0.677925, id=,S05, PRDE,actvstrat=,-0.636012, actvprof=,0.205836, id=,S06, PRDE,actvstrat=,0.041715, actvprof=,0.315420, id=,S07, PRDE,actvstrat=,0.667054, actvprof=,0.130002, id=,S08, PRDE,actvstrat=,-0.149556, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.883849, actvprof=,0.004861, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.425209, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.345201, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.985891, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.240331, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.823073, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.219420, actvprof=,0.014167, id=,B04, PRDE,actvstrat=,-0.172302, actvprof=,0.027501, id=,B05, PRDE,actvstrat=,0.622098, actvprof=,0.243897, id=,B06, PRDE,actvstrat=,-0.863858, actvprof=,0.435571, id=,B07, PRDE,actvstrat=,-0.825737, actvprof=,0.890031, id=,B08, PRDE,actvstrat=,-0.032633, actvprof=,1.304768, id=,B09, PRDE,actvstrat=,0.716233, actvprof=,3.295948, id=,B10, PRDE,actvstrat=,-0.322515, actvprof=,3.329560, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.754991, id=,S00, PRDE,actvstrat=,0.944386, actvprof=,11.454842, id=,S01, PRDE,actvstrat=,-0.466844, actvprof=,2.340637, id=,S02, PRDE,actvstrat=,-0.143220, actvprof=,1.927845, id=,S03, PRDE,actvstrat=,0.360346, actvprof=,2.580645, id=,S04, PRDE,actvstrat=,-0.736573, actvprof=,0.411681, id=,S05, PRDE,actvstrat=,0.628555, actvprof=,1.398660, id=,S06, PRDE,actvstrat=,0.703631, actvprof=,0.759193, id=,S07, PRDE,actvstrat=,0.667054, actvprof=,0.190284, id=,S08, PRDE,actvstrat=,0.709396, actvprof=,0.045835, id=,S09, PRDE,actvstrat=,0.984959, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,0.052997, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.638964, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.754991, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.454842, best_S_strat=,0.944386, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.240331, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.823073, actvprof=,0.003750, id=,B03, PRDE,actvstrat=,0.219420, actvprof=,0.011111, id=,B04, PRDE,actvstrat=,-0.172302, actvprof=,0.027639, id=,B05, PRDE,actvstrat=,0.622098, actvprof=,0.233751, id=,B06, PRDE,actvstrat=,-0.863858, actvprof=,0.502920, id=,B07, PRDE,actvstrat=,-0.825737, actvprof=,0.896672, id=,B08, PRDE,actvstrat=,-0.032633, actvprof=,1.443203, id=,B09, PRDE,actvstrat=,0.716233, actvprof=,3.348908, id=,B10, PRDE,actvstrat=,-0.322515, actvprof=,3.232935, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.681433, id=,S00, PRDE,actvstrat=,0.944386, actvprof=,11.213259, id=,S01, PRDE,actvstrat=,-0.466844, actvprof=,2.318486, id=,S02, PRDE,actvstrat=,-0.143220, actvprof=,1.842650, id=,S03, PRDE,actvstrat=,0.360346, actvprof=,2.744460, id=,S04, PRDE,actvstrat=,-0.736573, actvprof=,0.375974, id=,S05, PRDE,actvstrat=,0.628555, actvprof=,1.411953, id=,S06, PRDE,actvstrat=,0.703631, actvprof=,0.755838, id=,S07, PRDE,actvstrat=,0.667054, actvprof=,0.208473, id=,S08, PRDE,actvstrat=,0.709396, actvprof=,0.042361, id=,S09, PRDE,actvstrat=,0.984959, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,0.052997, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.638964, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.681433, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.213259, best_S_strat=,0.944386, 
