t=,1, id=,B00, PRDE,actvstrat=,-0.088172, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.746992, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.182633, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.001691, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.009627, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.865920, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.228665, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.757543, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.244407, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.010281, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.913245, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.978336, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.470040, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.980937, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.548963, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.041162, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.613285, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.271425, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.296458, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.370003, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.957934, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.728559, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.656866, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.358198, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.088172, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.470040, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.088172, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.746992, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.182633, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.001691, actvprof=,0.011667, id=,B04, PRDE,actvstrat=,0.009627, actvprof=,0.071110, id=,B05, PRDE,actvstrat=,0.865920, actvprof=,0.400829, id=,B06, PRDE,actvstrat=,-0.228665, actvprof=,0.304996, id=,B07, PRDE,actvstrat=,0.757543, actvprof=,1.385262, id=,B08, PRDE,actvstrat=,0.244407, actvprof=,1.479427, id=,B09, PRDE,actvstrat=,-0.010281, actvprof=,2.432194, id=,B10, PRDE,actvstrat=,0.913245, actvprof=,3.362739, id=,B11, PRDE,actvstrat=,-0.978336, actvprof=,6.086596, id=,S00, PRDE,actvstrat=,-0.470040, actvprof=,6.585202, id=,S01, PRDE,actvstrat=,0.980937, actvprof=,9.962385, id=,S02, PRDE,actvstrat=,-0.548963, actvprof=,2.952744, id=,S03, PRDE,actvstrat=,0.041162, actvprof=,3.950510, id=,S04, PRDE,actvstrat=,0.613285, actvprof=,3.744123, id=,S05, PRDE,actvstrat=,-0.271425, actvprof=,0.736103, id=,S06, PRDE,actvstrat=,0.296458, actvprof=,1.058321, id=,S07, PRDE,actvstrat=,-0.370003, actvprof=,0.135832, id=,S08, PRDE,actvstrat=,-0.957934, actvprof=,0.199442, id=,S09, PRDE,actvstrat=,-0.728559, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.656866, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.358198, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.086596, best_B_strat=,-0.978336, best_S_id=,S01, best_S_prof=,9.962385, best_S_strat=,0.980937, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.217202, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.679479, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.959394, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.023318, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.051180, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.086174, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.443732, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.864841, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.948747, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.648472, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.515776, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.850921, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.838172, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.590833, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.878173, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.731703, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.187523, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.099931, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.939175, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.053573, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.059370, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.533832, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.361624, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.277116, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.217202, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.838172, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.217202, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.679479, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.959394, actvprof=,0.025277, id=,B03, PRDE,actvstrat=,-0.023318, actvprof=,0.029722, id=,B04, PRDE,actvstrat=,-0.051180, actvprof=,0.094720, id=,B05, PRDE,actvstrat=,-0.086174, actvprof=,0.271660, id=,B06, PRDE,actvstrat=,0.443732, actvprof=,1.106363, id=,B07, PRDE,actvstrat=,0.864841, actvprof=,1.963843, id=,B08, PRDE,actvstrat=,-0.948747, actvprof=,3.282702, id=,B09, PRDE,actvstrat=,0.648472, actvprof=,4.580450, id=,B10, PRDE,actvstrat=,0.515776, actvprof=,5.777922, id=,B11, PRDE,actvstrat=,-0.850921, actvprof=,7.169278, id=,S00, PRDE,actvstrat=,0.838172, actvprof=,10.319761, id=,S01, PRDE,actvstrat=,0.590833, actvprof=,7.792597, id=,S02, PRDE,actvstrat=,0.878173, actvprof=,7.048170, id=,S03, PRDE,actvstrat=,-0.731703, actvprof=,1.105252, id=,S04, PRDE,actvstrat=,0.187523, actvprof=,1.991898, id=,S05, PRDE,actvstrat=,0.099931, actvprof=,0.794982, id=,S06, PRDE,actvstrat=,0.939175, actvprof=,1.424134, id=,S07, PRDE,actvstrat=,0.053573, actvprof=,0.143052, id=,S08, PRDE,actvstrat=,-0.059370, actvprof=,0.018055, id=,S09, PRDE,actvstrat=,-0.533832, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.361624, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.277116, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.169278, best_B_strat=,-0.850921, best_S_id=,S00, best_S_prof=,10.319761, best_S_strat=,0.838172, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.217202, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.854633, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.171475, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.023318, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.564722, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.851685, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.443732, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.923113, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.855800, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.648472, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.912885, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.671945, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.838172, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.098508, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.169500, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.933656, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.187523, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.336221, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.939175, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.835366, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.521543, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.783037, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.454735, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.841810, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.217202, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.838172, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.217202, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.854633, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.171475, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.023318, actvprof=,0.022222, id=,B04, PRDE,actvstrat=,0.564722, actvprof=,0.207778, id=,B05, PRDE,actvstrat=,-0.851685, actvprof=,0.346111, id=,B06, PRDE,actvstrat=,0.443732, actvprof=,1.426111, id=,B07, PRDE,actvstrat=,-0.923113, actvprof=,2.250000, id=,B08, PRDE,actvstrat=,-0.855800, actvprof=,2.822778, id=,B09, PRDE,actvstrat=,0.648472, actvprof=,5.441944, id=,B10, PRDE,actvstrat=,-0.912885, actvprof=,6.013333, id=,B11, PRDE,actvstrat=,0.671945, actvprof=,8.564167, id=,S00, PRDE,actvstrat=,0.838172, actvprof=,9.204167, id=,S01, PRDE,actvstrat=,0.098508, actvprof=,4.437222, id=,S02, PRDE,actvstrat=,0.169500, actvprof=,3.266667, id=,S03, PRDE,actvstrat=,0.933656, actvprof=,3.778611, id=,S04, PRDE,actvstrat=,0.187523, actvprof=,1.338611, id=,S05, PRDE,actvstrat=,-0.336221, actvprof=,0.301667, id=,S06, PRDE,actvstrat=,0.939175, actvprof=,1.488611, id=,S07, PRDE,actvstrat=,-0.835366, actvprof=,0.060556, id=,S08, PRDE,actvstrat=,-0.521543, actvprof=,0.017222, id=,S09, PRDE,actvstrat=,-0.783037, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.454735, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.841810, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.564167, best_B_strat=,0.671945, best_S_id=,S00, best_S_prof=,9.204167, best_S_strat=,0.838172, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.217202, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.854633, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.171475, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.023318, actvprof=,0.020417, id=,B04, PRDE,actvstrat=,0.564722, actvprof=,0.205141, id=,B05, PRDE,actvstrat=,-0.851685, actvprof=,0.403338, id=,B06, PRDE,actvstrat=,0.443732, actvprof=,1.459878, id=,B07, PRDE,actvstrat=,-0.923113, actvprof=,2.325999, id=,B08, PRDE,actvstrat=,-0.855800, actvprof=,2.706837, id=,B09, PRDE,actvstrat=,0.648472, actvprof=,5.495064, id=,B10, PRDE,actvstrat=,-0.912885, actvprof=,6.055903, id=,B11, PRDE,actvstrat=,0.671945, actvprof=,8.760101, id=,S00, PRDE,actvstrat=,0.838172, actvprof=,9.198440, id=,S01, PRDE,actvstrat=,0.098508, actvprof=,4.427412, id=,S02, PRDE,actvstrat=,0.169500, actvprof=,3.288371, id=,S03, PRDE,actvstrat=,0.933656, actvprof=,3.703237, id=,S04, PRDE,actvstrat=,0.187523, actvprof=,1.385155, id=,S05, PRDE,actvstrat=,-0.336221, actvprof=,0.310698, id=,S06, PRDE,actvstrat=,0.939175, actvprof=,1.435572, id=,S07, PRDE,actvstrat=,-0.835366, actvprof=,0.054445, id=,S08, PRDE,actvstrat=,-0.521543, actvprof=,0.016111, id=,S09, PRDE,actvstrat=,-0.783037, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.454735, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.841810, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.760101, best_B_strat=,0.671945, best_S_id=,S00, best_S_prof=,9.198440, best_S_strat=,0.838172, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.134483, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.423014, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.194085, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.019167, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.100835, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.868343, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.091679, id=,B08, PRDE,actvstrat=,0.237392, actvprof=,1.897800, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,3.431706, id=,B10, PRDE,actvstrat=,-0.525795, actvprof=,4.264216, id=,B11, PRDE,actvstrat=,-0.390472, actvprof=,5.165338, id=,S00, PRDE,actvstrat=,-0.809790, actvprof=,2.967257, id=,S01, PRDE,actvstrat=,0.813222, actvprof=,9.588167, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.881746, id=,S03, PRDE,actvstrat=,-0.012378, actvprof=,2.786421, id=,S04, PRDE,actvstrat=,-0.064680, actvprof=,1.308904, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.932800, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.011678, id=,S07, PRDE,actvstrat=,0.737062, actvprof=,0.400838, id=,S08, PRDE,actvstrat=,-0.237417, actvprof=,0.008056, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.010000, id=,S10, PRDE,actvstrat=,-0.065363, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.165338, best_B_strat=,-0.390472, best_S_id=,S01, best_S_prof=,9.588167, best_S_strat=,0.813222, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.568187, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.635193, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.038902, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.023318, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.473583, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.987621, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.004894, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.958487, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.520575, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.535502, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.965527, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.989235, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.010439, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.590833, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.541846, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.012378, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.423154, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.105485, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.631220, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.053573, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.957934, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.361624, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.076540, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.568187, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.010439, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.568187, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.635193, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.038902, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.023318, actvprof=,0.008334, id=,B04, PRDE,actvstrat=,0.473583, actvprof=,0.073891, id=,B05, PRDE,actvstrat=,0.987621, actvprof=,0.124171, id=,B06, PRDE,actvstrat=,-0.004894, actvprof=,0.233064, id=,B07, PRDE,actvstrat=,-0.958487, actvprof=,1.110316, id=,B08, PRDE,actvstrat=,-0.520575, actvprof=,0.979756, id=,B09, PRDE,actvstrat=,0.535502, actvprof=,2.909268, id=,B10, PRDE,actvstrat=,0.965527, actvprof=,2.877878, id=,B11, PRDE,actvstrat=,0.989235, actvprof=,4.160978, id=,S00, PRDE,actvstrat=,-0.010439, actvprof=,8.230841, id=,S01, PRDE,actvstrat=,0.590833, actvprof=,9.531442, id=,S02, PRDE,actvstrat=,-0.541846, actvprof=,3.734574, id=,S03, PRDE,actvstrat=,-0.012378, actvprof=,3.442064, id=,S04, PRDE,actvstrat=,-0.423154, actvprof=,1.815619, id=,S05, PRDE,actvstrat=,0.105485, actvprof=,2.130907, id=,S06, PRDE,actvstrat=,-0.631220, actvprof=,0.652523, id=,S07, PRDE,actvstrat=,0.053573, actvprof=,0.656967, id=,S08, PRDE,actvstrat=,-0.957934, actvprof=,0.572242, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.360568, id=,S10, PRDE,actvstrat=,0.361624, actvprof=,0.020001, id=,S11, PRDE,actvstrat=,-0.076540, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.160978, best_B_strat=,0.989235, best_S_id=,S01, best_S_prof=,9.531442, best_S_strat=,0.590833, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.568187, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.635193, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.038902, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.023318, actvprof=,0.013056, id=,B04, PRDE,actvstrat=,0.473583, actvprof=,0.056807, id=,B05, PRDE,actvstrat=,0.987621, actvprof=,0.126530, id=,B06, PRDE,actvstrat=,-0.004894, actvprof=,0.264588, id=,B07, PRDE,actvstrat=,-0.958487, actvprof=,1.127936, id=,B08, PRDE,actvstrat=,-0.520575, actvprof=,0.936961, id=,B09, PRDE,actvstrat=,0.535502, actvprof=,3.017969, id=,B10, PRDE,actvstrat=,0.965527, actvprof=,2.855466, id=,B11, PRDE,actvstrat=,0.989235, actvprof=,4.468133, id=,S00, PRDE,actvstrat=,-0.010439, actvprof=,8.391396, id=,S01, PRDE,actvstrat=,0.590833, actvprof=,9.317801, id=,S02, PRDE,actvstrat=,-0.541846, actvprof=,3.768538, id=,S03, PRDE,actvstrat=,-0.012378, actvprof=,3.585340, id=,S04, PRDE,actvstrat=,-0.423154, actvprof=,1.771003, id=,S05, PRDE,actvstrat=,0.105485, actvprof=,2.079342, id=,S06, PRDE,actvstrat=,-0.631220, actvprof=,0.549176, id=,S07, PRDE,actvstrat=,0.053573, actvprof=,0.662095, id=,S08, PRDE,actvstrat=,-0.957934, actvprof=,0.546676, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.348200, id=,S10, PRDE,actvstrat=,0.361624, actvprof=,0.017917, id=,S11, PRDE,actvstrat=,-0.076540, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.468133, best_B_strat=,0.989235, best_S_id=,S01, best_S_prof=,9.317801, best_S_strat=,0.590833, 
